YEAR ,Bludgeoned,Break on Wheel,Burned,Electrocution,Gas,Gibbeted,Hanging,Hung in Chains,Injection,Other,Pressing,Shot
1898,,,,4,,,78,,,,,
1899,,,,8,,,120,,,,,1
1900,,,,4,,,95,,,,,
1901,,,,11,,,101,,,,,
1902,,,,5,,,142,,,,,
1903,,,,13,,,117,,,,,1
1904,,,,20,,,113,,,,,1
1905,,,,8,,,148,,,,,
1906,,,,3,,,125,,,,,
1907,,,,18,,,101,,,,,
1908,,,,13,,,102,,,,,
1909,,,,37,,,102,,,,,
1910,,,,37,,,91,,,,,
1911,,,,39,,,67,,,,,
1912,,,,53,,,104,,,,,4
1913,,,,55,,,75,1,,,,2
1914,,,,43,,,56,,,,,
1915,,,,63,,,67,,,,,1
1916,,,,58,,,48,,,,,
1917,,,,44,,,33,,,,,
1918,,,,51,,,37,,,,,1
1919,,,,41,,,23,,,,,1
1920,,,,59,,,43,,,,,
1921,,,,78,,,62,,,,,
1922,,,,95,,,47,,,,,2
1923,,,,64,,,43,,,,,1
1924,,,,69,1,,55,,,,,1
1925,,,,96,,,46,,,,,2
1926,,,,87,1,,49,,,,,2
1927,,,,98,,,41,,,,,
1928,,,,108,,,37,,,,,
1929,,,,69,,,33,,,,,
1930,,,,105,1,,49,,,,,
1931,,,,121,1,,33,,,,,
1932,,,,106,1,,41,,,,,
1933,,,,121,1,,39,,,,,
1934,,,,130,6,,30,,,,,
1935,,,,149,3,,45,,,,,
1936,,,,132,23,,40,,,,,1
1937,,,,101,17,,33,,,,,
1938,,,,123,31,,33,,,,,1
1939,,,,118,30,,14,,,,,
1940,,,,84,22,,18,,,,,
1941,,,,84,23,,16,,,,,
1942,,,,119,20,,7,,,,,1
1943,,,,97,26,,9,,,,,1
1944,,,,83,24,,11,,,,,1
1945,,,,71,34,,21,,,,,1
1946,,,,95,23,,11,,,,,
1947,,,,113,36,,8,,,,,
1948,,,,89,20,,8,,,,,
1949,,,,84,28,,8,,,,,
1950,,,,66,15,,2,,,,,
1951,,,,80,14,,5,,,,,2
1952,,,,66,13,,2,,,,,
1953,,,,39,21,,3,,,,,
1954,,,,67,12,,4,,,,,
1955,,,,53,21,,4,,,,,1
1956,,,,46,16,,1,,,,,2
1957,,,,48,15,,6,,,,,
1958,,,,35,13,,2,,,,,
1959,,,,40,9,,1,,,,,
1960,,,,40,14,,1,,,,,1
1961,,,,24,18,,1,,,,,
1962,,,,29,15,,3,,,,,
1963,,,,13,6,,2,,,,,
1964,,,,11,4,,,,,,,
1965,,,,1,2,,4,,,,,
1966,,,,1,,,,,,,,
1967,,,,,2,,,,,,,
1977,,,,,,,,,,,,1
1979,,,,1,1,,,,,,,
1981,,,,1,,,,,,,,
1982,,,,1,,,,,1,,,
1983,,,,4,1,,,,,,,
1984,,,,16,,,,,5,,,
1985,,,,11,,,,,7,,,
1986,,,,7,,,,,11,,,
1987,,,,16,2,,,,7,,,
1988,,,,7,,,,,4,,,
1989,,,,8,1,,,,7,,,
1990,,,,11,,,,,12,,,
1991,,,,7,,,,,7,,,
1992,,,,8,2,,,,21,,,
1993,,,,10,1,,,,26,,,
1994,,,,6,1,,1,,23,,,
1995,,,,7,,,1,,49,,,
1996,,,,7,,,,,36,,,1
1997,,,,6,,,1,,68,,,
1998,,,,7,1,,,,60,,,
1999,,,,3,1,,,,94,,,
2000,,,,5,,,,,80,,,
2001,,,,,,,,,66,,,
2002,,,,1,,,,,70,,,
2003,,,,1,,,,,64,,,
2004,,,,1,,,,,58,,,
2005,,,,,,,,,60,,,
2006,,,,1,,,,,52,,,
2007,,,,1,,,,,41,,,
2008,,,,1,,,,,36,,,
2009,,,,1,,,,,51,,,
2010,,,,1,,,,,44,,,1
2011,,,,,,,,,43,,,
2012,,,,,,,,,43,,,
2013,,,,1,,,,,38,,,
2014,,,,,,,,,35,,,
2015,,,,,,,,,28,,,
2016,,,,,,,,,20,,,
2017,,,,,,,,,23,,,
2018,,,,2,,,,,23,,,
2019,,,,2,,,,,20,,,
2020,,,,1,,,,,16,,,
2021,,,,,,,,,11,,,
2022,,,,,,,,,4,,,
