name,count,rank,pctapi,pctblack,pctaian,pctwhite,pcttworace,pcthispanic,prop100k,year
Anderson,762394,12,0.48,18.06,0.7,77.6,1.59,1.58,282.62,2000
Thomas,756142,16,2.44,38.75,1.07,52.63,2.58,2.54,256.34,2010
Taylor,751209,17,0.56,28.42,0.76,65.38,2.41,2.46,254.67,2010
Moore,724374,18,0.48,27.74,0.68,66.41,2.34,2.34,245.57,2010
Taylor,720370,13,0.39,27.67,0.75,67.8,1.78,1.61,267.04,2000
Thomas,710696,14,1.63,38.17,1.01,55.53,2,1.66,263.45,2000
Jackson,708099,19,0.39,53.04,1.06,39.89,3.12,2.5,240.05,2010
Hernandez,706372,15,0.65,0.38,0.27,4.55,0.35,93.81,261.85,2000
Martin,702625,20,0.9,15.76,0.98,74.8,2.02,5.56,238.19,2010
Moore,698671,16,0.37,26.92,0.65,68.85,1.7,1.5,259.0,2000
Lee,693023,21,42.22,16.33,0.97,35.95,2.64,1.89,234.94,2010
Perez,681645,22,1.17,0.45,0.2,4.96,0.26,92.95,231.08,2010
Martin,672711,17,0.71,15.3,0.94,77.47,1.59,3.99,249.37,2000
Jackson,666125,18,0.31,53.02,1.04,41.93,2.18,1.53,246.93,2000
Thompson,664644,23,0.57,23.57,1.22,69.78,2.37,2.49,225.32,2010
White,660491,24,0.49,28.17,1.07,65.51,2.38,2.38,223.91,2010
Thompson,644368,19,0.44,22.53,1.15,72.48,1.78,1.62,238.87,2000
White,639515,20,0.39,27.38,1.01,67.91,1.76,1.55,237.07,2000
Harris,624252,25,0.47,42.39,0.67,51.4,2.8,2.26,211.63,2010
Lopez,621536,21,1.04,0.61,0.47,5.85,0.52,91.51,230.4,2000
Sanchez,612752,26,0.96,0.45,0.37,4.98,0.24,92.99,207.73,2010
Lee,605860,22,37.83,17.41,1.03,40.09,2.3,1.34,224.59,2000
Gonzalez,597718,23,0.38,0.37,0.18,4.76,0.33,93.99,221.57,2000
Harris,593542,24,0.36,41.63,0.65,53.88,2.02,1.45,220.02,2000
Clark,562679,27,0.54,19.02,1.01,74.65,2.19,2.58,190.75,2010
Ramirez,557423,28,0.93,0.31,0.2,3.89,0.19,94.48,188.97,2010
Clark,548369,25,0.41,18.53,0.94,76.84,1.6,1.68,203.28,2000
Lewis,531781,29,0.56,34.84,1.2,58.23,2.58,2.58,180.28,2010
Robinson,529821,30,0.46,44.93,0.53,48.7,2.77,2.61,179.61,2010
Walker,523129,31,0.45,35.05,0.87,58.66,2.55,2.41,177.34,2010
Lewis,509930,26,0.45,33.83,1.14,60.97,1.97,1.64,189.03,2000
Robinson,503028,27,0.37,44.1,0.51,51.34,1.99,1.68,186.47,2000
Walker,501307,28,0.35,34.17,0.83,61.25,1.8,1.6,185.83,2000
Perez,488521,29,1.18,0.48,0.26,5.95,0.48,91.65,181.09,2000
Young,484447,32,3.03,24.67,0.79,66.26,2.66,2.58,164.23,2010
Allen,482607,33,0.54,26.17,0.86,67.59,2.38,2.47,163.61,2010
Hall,473568,30,0.48,20.75,0.63,75.11,1.63,1.4,175.55,2000
Young,465948,31,2.95,23.79,0.73,68.91,1.93,1.69,172.73,2000
King,465422,34,1.23,22.76,0.98,70.16,2.31,2.55,157.78,2010
Allen,463368,32,0.41,25.14,0.83,70.24,1.77,1.62,171.77,2000
Wright,458980,35,0.51,28.23,0.69,65.8,2.41,2.36,155.6,2010
Sanchez,441242,33,1.01,0.5,0.49,5.77,0.45,91.78,163.57,2000
Wright,440367,34,0.4,27.36,0.66,68.3,1.75,1.52,163.24,2000
Scott,439530,36,0.51,32.92,1.18,60.21,2.59,2.58,149.0,2010
King,438986,35,0.88,22.02,0.97,72.8,1.71,1.62,162.73,2000
Torres,437813,37,1.43,0.57,0.2,5.35,0.28,92.16,148.42,2010
Nguyen,437645,38,96.45,0.12,0.03,0.95,1.83,0.63,148.36,2010
Hill,434827,39,0.53,29.12,0.97,64.36,2.51,2.51,147.41,2010
Flores,433969,40,2.08,0.42,0.34,4.87,0.36,91.94,147.12,2010
Green,430182,41,0.44,36.97,0.64,56.84,2.47,2.64,145.83,2010
Adams,427865,42,0.56,19.9,0.79,74.02,2.16,2.57,145.05,2010
Nelson,424958,43,0.67,15.97,1.16,77.66,2,2.55,144.06,2010
Scott,420091,36,0.41,32.26,1.15,62.6,1.9,1.68,155.73,2000
Baker,419586,44,0.56,14.44,0.87,79.83,2.02,2.28,142.24,2010
Green,413477,37,0.34,36.23,0.61,59.33,1.78,1.71,153.27,2000
Baker,413351,38,0.45,13.63,0.83,82.08,1.54,1.47,153.23,2000
Adams,413086,39,0.45,19.2,0.79,76.17,1.63,1.76,153.13,2000
Nelson,412236,40,0.51,14.93,1.09,80.29,1.49,1.68,152.81,2000
Hill,411770,41,0.42,28.42,0.91,66.83,1.78,1.64,152.64,2000
Hall,407076,45,0.64,21.59,0.65,72.65,2.22,2.25,138.0,2010
Rivera,391114,46,2.04,0.95,0.18,5.4,0.37,91.06,132.59,2010
Ramirez,388987,42,0.97,0.29,0.27,4.4,0.4,93.67,144.2,2000
Campbell,386157,47,0.53,20.47,0.71,73.66,2.13,2.49,130.91,2010
Mitchell,384486,48,0.48,32.5,1.04,61.02,2.5,2.47,130.34,2010
Carter,376966,49,0.45,35.59,0.78,58.2,2.65,2.34,127.79,2010
Roberts,376774,50,0.61,16.72,0.85,77.27,2.15,2.4,127.73,2010
Campbell,371953,43,0.43,19.13,0.65,76.47,1.67,1.65,137.88,2000
Mitchell,367433,44,0.39,31.52,0.98,63.55,1.93,1.63,136.21,2000
Roberts,366215,45,0.47,15.86,0.85,79.56,1.67,1.58,135.75,2000
Gomez,365655,51,1.01,0.75,0.26,5.12,0.26,92.6,123.96,2010
Carter,362548,46,0.39,34.99,0.71,60.51,1.88,1.52,134.4,2000
Phillips,360802,52,0.58,17.09,1.03,76.69,2.17,2.44,122.31,2010
Evans,355593,53,0.47,25.72,0.74,68.39,2.3,2.39,120.55,2010
Phillips,351848,47,0.45,16.36,0.99,78.95,1.68,1.58,130.43,2000
Turner,348627,54,0.42,30.13,0.6,64.25,2.38,2.23,118.19,2010
Diaz,347636,55,1.19,0.65,0.16,5.19,0.25,92.56,117.85,2010
Evans,342237,48,0.4,25.05,0.68,70.65,1.67,1.55,126.87,2000
Parker,336221,56,0.54,24.79,0.88,69.17,2.35,2.26,113.98,2010
Turner,335663,49,0.33,29.31,0.56,66.67,1.72,1.4,124.43,2000
Cruz,334201,57,5.19,0.8,0.27,5.17,0.7,87.88,113.3,2010
Edwards,332423,58,0.5,31.63,0.77,62.13,2.47,2.5,112.69,2010
Collins,329770,59,0.49,22.43,0.77,71.61,2.23,2.47,111.79,2010
Reyes,327904,60,5.58,0.59,0.24,4.41,0.59,88.58,111.16,2010
Torres,325169,50,1.42,0.58,0.26,6.05,0.53,91.16,120.54,2000
Stewart,324957,61,0.48,24.86,0.77,69.17,2.24,2.49,110.16,2010
Parker,324246,51,0.44,24.09,0.85,71.49,1.67,1.46,120.2,2000
Morris,318884,62,0.57,20.08,0.98,73.59,2.24,2.55,108.1,2010
Collins,317848,52,0.37,21.7,0.75,73.92,1.65,1.61,117.83,2000
Edwards,317070,53,0.4,30.21,0.75,65.16,1.84,1.63,117.54,2000
Stewart,312899,54,0.38,23.83,0.74,71.78,1.69,1.59,115.99,2000
Flores,312615,55,2.15,0.47,0.43,5.57,0.54,90.84,115.89,2000
Morales,311777,63,1.18,0.57,0.17,4.63,0.21,93.23,105.69,2010
Morris,311754,56,0.43,19.29,0.93,75.92,1.7,1.73,115.57,2000
Nguyen,310125,57,95.93,0.18,0.04,1.26,2.01,0.58,114.96,2000
Murphy,308417,64,0.58,11.53,0.68,83.11,1.76,2.34,104.56,2010
Cook,302589,65,0.57,12.55,0.92,81.8,1.98,2.17,102.58,2010
Rogers,302261,66,0.54,18.53,0.82,75.4,2.1,2.62,102.47,2010
Murphy,300501,58,0.43,11.03,0.65,85.05,1.29,1.54,111.39,2000
Rivera,299463,59,2.06,1.06,0.24,5.92,0.55,90.17,111.01,2000
Cook,294795,60,0.44,12.27,0.86,83.52,1.48,1.42,109.28,2000
Rogers,294403,61,0.42,17.66,0.77,77.8,1.58,1.77,109.13,2000
Gutierrez,293218,67,1.4,0.24,0.25,4.57,0.2,93.33,99.4,2010
Ortiz,286899,68,0.67,0.64,0.37,4.96,0.25,93.11,97.26,2010
Morgan,286280,69,0.54,17.27,1.24,76.07,2.1,2.78,97.05,2010
Cooper,280791,70,0.5,26.13,0.74,67.93,2.31,2.4,95.19,2010
Peterson,278297,71,0.66,10.09,0.74,84.39,1.72,2.4,94.34,2010
Bailey,277845,72,0.5,22,0.62,72.45,2.16,2.28,94.19,2010
Reed,277030,73,0.51,22.63,1.05,71.29,2.3,2.22,93.92,2010
Morgan,276400,62,0.42,16.47,1.15,78.47,1.64,1.86,102.46,2000
Peterson,275041,63,0.52,9.58,0.7,86.29,1.33,1.56,101.96,2000
Cooper,270097,64,0.4,25.26,0.76,70.36,1.69,1.54,100.12,2000
Reed,267443,65,0.4,21.97,1,73.51,1.67,1.45,99.14,2000
Kelly,267394,74,0.64,16.22,0.54,78.09,1.81,2.69,90.65,2010
Bailey,265916,66,0.4,21.14,0.61,74.77,1.63,1.45,98.57,2000
Howard,264826,75,0.5,29.49,0.87,64.31,2.46,2.37,89.78,2010
Bell,264752,67,0.41,31.78,0.9,63.57,1.8,1.55,98.14,2000
Gomez,263590,68,1.04,0.81,0.34,6.1,0.54,91.16,97.71,2000
Ramos,263464,76,4.89,0.98,0.19,6.49,0.65,86.79,89.32,2010
Kim,262352,77,94.47,0.39,0.02,2.52,1.96,0.65,88.94,2010
Cox,261231,78,0.5,12.07,0.67,82.62,1.82,2.33,88.56,2010
Ward,260464,79,0.49,18.5,0.91,75.58,2.08,2.44,88.3,2010
Kelly,260385,69,0.49,15.48,0.55,80.39,1.35,1.73,96.52,2000
Richardson,259798,80,0.48,33.63,1.1,59.7,2.44,2.65,88.07,2010
Howard,254779,70,0.38,28.69,0.82,66.83,1.74,1.55,94.45,2000
Ward,254121,71,0.4,17.77,0.83,77.79,1.57,1.64,94.2,2000
Cox,253771,72,0.39,11.55,0.64,84.48,1.42,1.52,94.07,2000
Watson,252579,81,0.53,27.9,0.82,66.03,2.3,2.41,85.63,2010
Diaz,251772,73,1.19,0.73,0.22,6.17,0.47,91.22,93.33,2000
Brooks,251663,82,0.48,33.47,0.79,60.22,2.56,2.48,85.32,2010
Chavez,250898,83,0.65,0.21,0.94,5.02,0.23,92.96,85.06,2010
Wood,250715,84,0.66,5.57,0.84,88.72,1.79,2.42,84.99,2010
Richardson,249533,74,0.36,32.77,1.05,62.25,1.82,1.75,92.5,2000
James,249379,85,1.27,38.86,2.58,51.58,2.64,3.08,84.54,2010
Bennett,247599,86,0.53,17.53,0.88,76.56,1.99,2.5,83.94,2010
Wood,247299,75,0.51,5.61,0.82,90.06,1.4,1.6,91.67,2000
Gray,246116,87,0.54,25.13,0.91,68.68,2.33,2.41,83.44,2010
Mendoza,242771,88,4.91,0.35,0.24,4.11,0.42,89.97,82.3,2010
Watson,242432,76,0.47,26.85,0.8,68.58,1.72,1.58,89.87,2000
Brooks,240751,77,0.41,32.67,0.75,62.72,1.83,1.62,89.25,2000
Bennett,239055,78,0.41,16.51,0.89,79,1.54,1.65,88.62,2000
Ruiz,238234,89,1.03,0.44,0.22,5.17,0.24,92.89,80.76,2010
Gray,236713,79,0.44,24.36,0.84,71.13,1.66,1.57,87.75,2000
Hughes,236271,90,0.5,16.13,0.53,78.39,1.97,2.47,80.1,2010
Price,235251,91,0.51,20.51,0.66,73.93,2.14,2.24,79.75,2010
Alvarez,233983,92,1.16,0.6,0.38,5.18,0.23,92.45,79.32,2010
James,233224,80,0.81,38.09,2.51,54.45,2.1,2.04,86.46,2000
Reyes,232511,81,6.02,0.75,0.3,5.26,0.76,86.9,86.19,2000
Cruz,231065,82,5.61,0.83,0.38,5.95,0.99,86.24,85.66,2000
Castillo,230420,93,3.04,0.72,0.59,4.92,0.46,90.26,78.11,2010
Sanders,230374,94,0.41,32.97,0.84,60.78,2.43,2.57,78.1,2010
Patel,229973,95,94.78,0.38,0.65,2.1,1.65,0.44,77.96,2010
Myers,229895,96,0.5,10.54,0.55,84.5,1.8,2.1,77.94,2010
Hughes,229390,83,0.39,15.45,0.52,80.6,1.46,1.58,85.03,2000
Long,229374,97,2.48,12.1,1.32,79.88,1.97,2.24,77.76,2010
Ross,229368,98,0.61,24.46,0.9,68.96,2.32,2.75,77.76,2010
Price,228756,84,0.42,19.79,0.64,76.11,1.58,1.46,84.8,2000
Foster,227764,99,0.55,23.94,0.88,69.65,2.33,2.65,77.21,2010
Jimenez,227118,100,1.49,0.29,0.2,3.84,0.21,93.97,76.99,2010
Powell,224874,101,0.46,27.12,0.62,67.2,2.29,2.31,76.23,2010
Myers,224824,85,0.38,9.75,0.53,86.59,1.35,1.4,83.34,2000
Long,223494,86,1.78,11.75,1.21,82.35,1.44,1.47,82.85,2000
Jenkins,222653,102,0.39,36.78,0.57,57.76,2.42,2.07,75.48,2010
Perry,221741,103,0.57,25.2,0.81,68.32,2.43,2.67,75.17,2010
Russell,221558,104,0.57,16.69,1.05,77.05,2.18,2.46,75.11,2010
Foster,221040,87,0.46,23.19,0.86,72,1.78,1.7,81.94,2000
Sullivan,220990,105,0.6,7.13,0.57,87.73,1.59,2.39,74.92,2010
Sanders,220902,88,0.33,31.9,0.85,63.44,1.73,1.76,81.89,2000
Bell,220599,106,0.55,32.35,1.01,61.11,2.51,2.46,74.78,2010
Ross,219961,89,0.46,23.67,0.89,71.46,1.69,1.82,81.54,2000
Coleman,219070,107,0.4,44.6,0.53,49.43,2.79,2.25,74.27,2010
Butler,218847,108,0.45,31.54,0.84,62.36,2.45,2.35,74.19,2010
Henderson,218393,109,0.45,33.98,0.86,59.63,2.56,2.51,74.04,2010
Barnes,218241,110,0.48,29.28,0.75,64.81,2.35,2.33,73.99,2010
Morales,217642,90,1.24,0.6,0.25,5.6,0.44,91.88,80.68,2000
Powell,216553,91,0.38,25.97,0.56,69.96,1.71,1.41,80.28,2000
Sullivan,215640,92,0.46,6.78,0.52,89.45,1.16,1.63,79.94,2000
Russell,215432,93,0.43,15.79,1,79.45,1.7,1.63,79.86,2000
Gonzales,214758,111,3.8,0.99,0.76,9.83,0.56,84.06,72.8,2010
Fisher,214703,112,0.55,11.79,0.76,82.58,1.89,2.43,72.79,2010
Ortiz,214683,94,0.68,0.64,0.48,5.4,0.45,92.35,79.58,2000
Jenkins,213737,95,0.33,35.97,0.55,60.12,1.69,1.34,79.23,2000
Gutierrez,212905,96,1.4,0.25,0.33,5.21,0.42,92.39,78.92,2000
Vasquez,212781,113,0.73,0.51,0.29,5.06,0.24,93.17,72.13,2010
Perry,212644,97,0.46,24.37,0.82,70.71,1.86,1.78,78.83,2000
Butler,210879,98,0.35,30.85,0.81,64.75,1.75,1.5,78.17,2000
Barnes,210426,99,0.4,28.23,0.72,67.45,1.71,1.49,78.0,2000
Fisher,210279,100,0.42,11.28,0.71,84.59,1.42,1.58,77.95,2000
Simmons,210182,114,0.47,36.15,0.67,57.91,2.52,2.29,71.25,2010
Henderson,210094,101,0.38,33.2,0.82,62.18,1.81,1.61,77.88,2000
Coleman,208624,102,0.33,43.83,0.5,52.04,1.87,1.44,77.34,2000
Romero,208614,115,1.3,0.5,0.69,8.65,0.37,88.5,70.72,2010
Jordan,208403,116,0.55,30.73,0.72,61.44,2.45,4.11,70.65,2010
Patterson,205423,117,0.47,26.8,0.68,67.27,2.35,2.43,69.64,2010
Alexander,204621,118,1.24,34.04,0.7,58.19,2.66,3.17,69.37,2010
Hamilton,201746,119,0.54,23.71,0.8,70.21,2.29,2.45,68.39,2010
Simmons,201650,103,0.35,35.26,0.61,60.55,1.74,1.5,74.75,2000
Graham,201159,120,0.51,23.99,0.8,70.02,2.13,2.55,68.19,2010
Reynolds,200247,121,0.52,13.21,0.71,81.08,2.02,2.45,67.89,2010
Patterson,198557,104,0.37,25.66,0.61,70.09,1.67,1.61,73.6,2000
Griffin,198406,122,0.44,30.81,0.47,63.77,2.28,2.21,67.26,2010
Wallace,197276,123,0.51,24.7,0.77,69.24,2.31,2.47,66.88,2010
Jordan,197212,105,0.44,30.06,0.68,64.3,1.67,2.86,73.11,2000
Moreno,196925,124,0.67,0.43,0.37,6.09,0.22,92.23,66.76,2010
West,195818,125,0.49,18.48,0.83,75.48,2.27,2.45,66.38,2010
Reynolds,195598,106,0.42,12.5,0.61,83.28,1.55,1.65,72.51,2000
Cole,195289,126,0.55,18.89,0.72,75.33,2.1,2.41,66.2,2010
Hamilton,194331,107,0.44,22.65,0.78,72.79,1.73,1.61,72.04,2000
Hayes,194246,127,0.49,24.69,0.81,69.38,2.34,2.29,65.85,2010
Graham,194074,108,0.42,22.72,0.77,72.84,1.61,1.64,71.94,2000
Kim,194067,109,94.52,0.36,0.03,2.6,1.99,0.5,71.94,2000
Gonzales,193934,110,3.1,0.86,0.76,10,0.84,84.44,71.89,2000
Alexander,193443,111,0.91,33.22,0.7,60.91,2.05,2.21,71.71,2000
Ramos,193096,112,5.04,0.92,0.25,7.2,1.18,85.42,71.58,2000
Bryant,192773,128,0.39,35.58,0.89,58.46,2.47,2.21,65.35,2010
Herrera,192711,129,0.96,0.36,0.51,4.92,0.22,93.03,65.33,2010
Wallace,190760,113,0.43,23.73,0.73,71.76,1.72,1.64,70.71,2000
Gibson,190667,130,0.46,21.78,0.97,72.14,2.34,2.31,64.64,2010
Griffin,190636,114,0.34,29.77,0.5,66.46,1.56,1.36,70.67,2000
Ellis,188968,131,0.54,23.47,0.66,70.36,2.24,2.73,64.06,2010
Tran,188498,132,96,0.1,0.03,1.35,1.7,0.81,63.9,2010
Medina,188497,133,1.92,0.6,0.3,5.69,0.33,91.16,63.9,2010
West,188464,115,0.39,17.8,0.81,77.69,1.64,1.66,69.86,2000
Cole,187793,116,0.43,18.2,0.68,77.59,1.61,1.48,69.61,2000
Hayes,187473,117,0.38,24.05,0.73,71.64,1.71,1.48,69.5,2000
Aguilar,186512,134,1.64,0.26,0.52,4.03,0.23,93.32,63.23,2010
Chavez,185865,118,0.59,0.21,1.15,5.65,0.43,91.98,68.9,2000
Stevens,185674,135,0.64,11.82,1.33,81.44,2.04,2.74,62.94,2010
Murray,184910,136,0.57,19.29,0.6,74.92,2.02,2.6,62.69,2010
Ford,184832,137,0.45,32,0.61,62.05,2.52,2.37,62.66,2010
Gibson,184420,119,0.36,21.07,0.85,74.57,1.65,1.49,68.36,2000
Castro,184134,138,3.74,0.66,0.24,7.29,0.64,87.42,62.42,2010
Marshall,183922,139,0.58,27.51,0.96,66.03,2.34,2.58,62.35,2010
Bryant,183761,120,0.3,34.68,0.89,60.97,1.79,1.37,68.12,2000
Owens,182719,140,0.36,28.41,0.75,65.85,2.47,2.17,61.94,2010
Ellis,181934,121,0.44,22.6,0.66,72.82,1.64,1.83,67.44,2000
Stevens,181417,122,0.53,11.4,1.23,83.4,1.64,1.79,67.25,2000
Harrison,181091,141,0.52,24.45,1.39,68.66,2.27,2.7,61.39,2010
Fernandez,180842,142,5.38,1.15,0.18,8.77,0.93,83.58,61.31,2010
Mcdonald,180497,143,0.55,17.28,0.78,76.65,2.01,2.73,61.19,2010
Murray,178414,123,0.48,18.13,0.6,77.59,1.54,1.66,66.14,2000
Ford,178397,124,0.37,31.4,0.61,64.28,1.84,1.51,66.13,2000
Woods,177425,144,0.42,35.3,0.88,58.3,2.74,2.35,60.15,2010
Washington,177386,145,0.3,87.53,0.68,5.17,3.78,2.54,60.14,2010
Marshall,177213,125,0.42,26.35,0.88,68.89,1.82,1.64,65.69,2000
Kennedy,176865,146,0.62,13.63,0.61,80.82,1.87,2.45,59.96,2010
Owens,176334,126,0.31,27.86,0.71,68.09,1.69,1.35,65.37,2000
Wells,176230,147,0.49,20,0.87,74,2.22,2.41,59.74,2010
Mcdonald,176094,127,0.43,16.26,0.76,79.19,1.51,1.85,65.28,2000
Harrison,175577,128,0.42,23.76,1.35,71,1.69,1.78,65.09,2000
Ruiz,175429,129,1.01,0.48,0.28,6.12,0.41,91.7,65.03,2000
Vargas,173835,148,0.85,0.42,0.18,5.41,0.22,92.92,58.93,2010
Kennedy,171636,130,0.46,12.98,0.62,82.97,1.4,1.57,63.62,2000
Henry,170964,149,0.84,30.68,1.87,61.43,2.34,2.84,57.96,2010
Wells,170635,131,0.37,19.34,0.8,76.31,1.61,1.56,63.25,2000
Chen,169580,150,96.12,0.3,0.02,1.4,1.64,0.52,57.49,2010
Freeman,169149,151,0.52,28.34,0.95,65.5,2.38,2.3,57.34,2010
Webb,168878,152,0.46,19.08,0.66,75.53,1.99,2.29,57.25,2010
Alvarez,168817,132,1.15,0.64,0.47,6.61,0.47,90.66,62.58,2000
Woods,168814,133,0.35,34.66,0.84,60.68,1.92,1.55,62.58,2000
Mendoza,168567,134,5.2,0.38,0.29,4.93,0.64,88.57,62.49,2000
Tucker,167446,153,0.45,24.17,0.78,70.01,2.25,2.35,56.77,2010
Guzman,167044,154,1.29,0.42,0.15,4.11,0.27,93.77,56.63,2010
Burns,165925,155,0.59,14.06,0.78,80.26,1.83,2.48,56.25,2010
Castillo,165473,135,3.26,0.77,0.75,5.62,0.75,88.85,61.34,2000
Crawford,164457,156,0.49,25.65,0.75,68.56,2.3,2.24,55.75,2010
Olson,164035,157,0.66,0.4,0.72,94.76,1.43,2.03,55.61,2010
Olson,163502,136,0.54,0.36,0.64,96.03,1.04,1.38,60.61,2000
Webb,163481,137,0.38,18.36,0.62,77.74,1.5,1.41,60.6,2000
Simpson,163181,158,0.53,23.09,0.78,70.78,2.3,2.53,55.32,2010
Porter,163054,159,0.55,25.4,0.72,68.57,2.31,2.45,55.28,2010
Washington,163036,138,0.25,89.87,0.64,5.16,2.64,1.45,60.44,2000
Tucker,162933,139,0.33,23.57,0.74,72.06,1.72,1.59,60.4,2000
Freeman,162686,140,0.37,27.47,0.95,67.96,1.76,1.49,60.31,2000
Hunter,162440,160,0.48,32.69,1.02,60.78,2.63,2.41,55.07,2010
Burns,162153,141,0.45,13.63,0.71,82.18,1.45,1.59,60.11,2000
Gordon,161833,161,0.62,29.15,0.68,64.25,2.26,3.04,54.86,2010
Mendez,161717,162,0.48,0.78,0.24,4.48,0.18,93.83,54.82,2010
Silva,161633,163,2.01,2.03,0.39,32.61,1.62,61.34,54.79,2010
Henry,161392,142,0.57,28.76,1.71,65.06,2,1.9,59.83,2000
Shaw,160400,164,1.48,21.19,0.75,72.07,2.15,2.36,54.38,2010
Snyder,160262,165,0.59,1.46,0.52,94.07,1.45,1.92,54.33,2010
Mason,160213,166,0.53,25.1,0.76,68.82,2.38,2.41,54.31,2010
Vasquez,159989,143,0.69,0.5,0.37,5.49,0.49,92.46,59.31,2000
Dixon,159480,167,0.43,39.26,0.96,54.25,2.61,2.49,54.06,2010
Snyder,159363,144,0.46,1.28,0.51,95.37,1.11,1.28,59.08,2000
Munoz,158483,168,0.91,0.3,0.21,4.89,0.21,93.48,53.73,2010
Hunt,158421,169,0.61,16.93,4.23,73.57,2.35,2.31,53.71,2010
Hicks,158320,170,0.42,26.88,0.98,67.37,2.23,2.13,53.67,2010
Simpson,158241,145,0.44,22.13,0.78,73.29,1.68,1.69,58.66,2000
Crawford,158121,146,0.4,24.47,0.69,71.31,1.69,1.45,58.61,2000
Jimenez,157475,147,1.53,0.31,0.27,4.46,0.45,92.98,58.38,2000
Porter,156848,148,0.42,24.44,0.75,71.19,1.62,1.58,58.14,2000
Holmes,156780,171,0.42,37.28,0.76,56.79,2.37,2.38,53.15,2010
Palmer,156601,172,0.55,18.57,0.81,75.08,2.11,2.87,53.09,2010
Wagner,155795,173,0.58,2.6,0.54,92.47,1.4,2.41,52.82,2010
Mason,155484,149,0.42,24.48,0.73,70.99,1.7,1.68,57.64,2000
Shaw,155172,150,1.24,20.23,0.73,74.67,1.65,1.48,57.52,2000
Gordon,154934,151,0.45,27.22,0.69,67.75,1.89,2,57.43,2000
Black,154738,174,0.53,19,1.44,74.63,2.08,2.33,52.46,2010
Wagner,154516,152,0.43,2.5,0.49,93.97,1,1.6,57.28,2000
Hunter,154410,153,0.4,32.3,0.97,62.92,1.87,1.54,57.24,2000
Romero,153772,154,1.34,0.46,0.95,10.44,0.66,86.13,57.0,2000
Robertson,153666,175,0.52,20.61,0.89,73.42,2.11,2.46,52.09,2010
Hicks,153618,155,0.37,26.14,0.94,69.46,1.68,1.42,56.95,2000
Boyd,153469,176,0.51,30.77,1.02,63.18,2.36,2.16,52.03,2010
Rose,153397,177,0.72,11.61,0.64,82.08,1.99,2.96,52.0,2010
Stone,153329,178,0.65,8.13,0.95,85.95,1.93,2.39,51.98,2010
Salazar,152703,179,1.69,0.27,0.46,5.62,0.3,91.65,51.77,2010
Fox,152334,180,0.56,6.06,1.03,88.08,1.84,2.42,51.64,2010
Warren,152147,181,0.55,23.94,0.84,70.08,2.26,2.33,51.58,2010
Dixon,152015,156,0.38,38.21,0.89,57.05,1.84,1.62,56.35,2000
Hunt,151986,157,0.48,16.33,3.93,76.03,1.68,1.55,56.34,2000
Mills,151942,182,0.51,16.77,0.82,77.5,2.06,2.33,51.51,2010
Meyer,150895,183,0.71,0.52,0.29,94.84,1.37,2.28,51.15,2010
Palmer,150407,158,0.45,17.31,0.83,77.87,1.62,1.93,55.76,2000
Robertson,150299,159,0.41,20.24,0.87,75.35,1.55,1.58,55.72,2000
