,generalcommodity,datetime,tons
237,Refuse,2016-08-26,3116.0
238,Refuse,2016-08-27,59.0
239,Refuse,2016-08-28,36.0
240,Refuse,2016-08-29,3484.0
241,Refuse,2016-08-30,3407.0
242,Refuse,2016-08-31,3359.0
243,Refuse,2016-09-01,2984.0
244,Refuse,2016-09-02,3021.0
245,Refuse,2016-09-03,41.0
246,Refuse,2016-09-04,45.0
247,Refuse,2016-09-05,75.0
248,Refuse,2016-09-06,3747.0
249,Refuse,2016-09-07,3550.0
250,Refuse,2016-09-08,3631.0
251,Refuse,2016-09-09,3493.0
252,Refuse,2016-09-10,3356.0
253,Refuse,2016-09-11,35.0
254,Refuse,2016-09-12,3235.0
255,Refuse,2016-09-13,3045.0
256,Refuse,2016-09-14,2959.0
257,Refuse,2016-09-15,2712.0
258,Refuse,2016-09-16,2673.0
259,Refuse,2016-09-17,56.0
260,Refuse,2016-09-18,34.0
261,Refuse,2016-09-19,3367.0
262,Refuse,2016-09-20,3240.0
263,Refuse,2016-09-21,3328.0
264,Refuse,2016-09-22,2979.0
265,Refuse,2016-09-23,2968.0
266,Refuse,2016-09-24,51.0
267,Refuse,2016-09-25,33.0
268,Refuse,2016-09-26,3345.0
269,Refuse,2016-09-27,3219.0
270,Refuse,2016-09-28,3139.0
271,Refuse,2016-09-29,2916.0
272,Refuse,2016-09-30,2865.0
273,Refuse,2016-10-01,59.0
274,Refuse,2016-10-02,42.0
275,Refuse,2016-10-03,3598.0
276,Refuse,2016-10-04,3174.0
277,Refuse,2016-10-05,3220.0
278,Refuse,2016-10-06,3015.0
279,Refuse,2016-10-07,3083.0
280,Refuse,2016-10-08,48.0
281,Refuse,2016-10-09,33.0
282,Refuse,2016-10-10,3432.0
283,Refuse,2016-10-11,3202.0
284,Refuse,2016-10-12,3230.0
285,Refuse,2016-10-13,2961.0
286,Refuse,2016-10-14,2945.0
287,Refuse,2016-10-15,62.0
288,Refuse,2016-10-16,43.0
289,Refuse,2016-10-17,3277.0
290,Refuse,2016-10-18,3428.0
291,Refuse,2016-10-19,3467.0
292,Refuse,2016-10-20,2934.0
293,Refuse,2016-10-21,2839.0
294,Refuse,2016-10-22,57.0
295,Refuse,2016-10-23,36.0
296,Refuse,2016-10-24,3561.0
297,Refuse,2016-10-25,3318.0
298,Refuse,2016-10-26,3219.0
299,Refuse,2016-10-27,3005.0
300,Refuse,2016-10-28,2938.0
301,Refuse,2016-10-29,70.0
302,Refuse,2016-10-30,27.0
303,Refuse,2016-10-31,3552.0
304,Refuse,2016-11-01,3251.0
305,Refuse,2016-11-02,3315.0
306,Refuse,2016-11-03,2948.0
307,Refuse,2016-11-04,2988.0
308,Refuse,2016-11-05,53.0
309,Refuse,2016-11-06,25.0
310,Refuse,2016-11-07,3563.0
311,Refuse,2016-11-08,3382.0
312,Refuse,2016-11-09,3219.0
313,Refuse,2016-11-10,2958.0
314,Refuse,2016-11-11,2997.0
