date,total,pop,pop_share
5/24/23,2326812,331449281,0.7
5/23/23,1757862,331449281,0.53
5/22/23,0,331449281,0
5/21/23,0,331449281,0
5/20/23,0,331449281,0
5/19/23,580492,331449281,0.18
5/18/23,2326812,331449281,0.7
5/17/23,580492,331449281,0.18
5/16/23,0,331449281,0
5/15/23,13035911,331449281,3.93
5/14/23,13421120,331449281,4.05
5/13/23,13421120,331449281,4.05
5/12/23,13494116,331449281,4.07
5/11/23,13494116,331449281,4.07
5/10/23,9268177,331449281,2.8
5/9/23,580492,331449281,0.18
5/8/23,0,331449281,0
5/7/23,0,331449281,0
5/6/23,0,331449281,0
5/5/23,2326812,331449281,0.7
5/4/23,0,331449281,0
5/3/23,2615110,331449281,0.79
5/2/23,2344296,331449281,0.71
5/1/23,580492,331449281,0.18
4/30/23,0,331449281,0
4/29/23,0,331449281,0
4/28/23,0,331449281,0
4/27/23,0,331449281,0
4/26/23,0,331449281,0
4/25/23,0,331449281,0
4/24/23,0,331449281,0
4/23/23,0,331449281,0
4/22/23,0,331449281,0
4/21/23,0,331449281,0
4/20/23,0,331449281,0
4/19/23,0,331449281,0
4/18/23,0,331449281,0
4/17/23,0,331449281,0
4/16/23,0,331449281,0
4/15/23,0,331449281,0
4/14/23,0,331449281,0
4/13/23,0,331449281,0
4/12/23,0,331449281,0
4/11/23,0,331449281,0
4/10/23,0,331449281,0
4/9/23,0,331449281,0
4/8/23,0,331449281,0
4/7/23,0,331449281,0
4/6/23,0,331449281,0
4/5/23,0,331449281,0
4/4/23,0,331449281,0
4/3/23,0,331449281,0
4/2/23,0,331449281,0
4/1/23,0,331449281,0
3/31/23,0,331449281,0
3/30/23,0,331449281,0
3/29/23,0,331449281,0
3/28/23,0,331449281,0
3/27/23,0,331449281,0
3/26/23,0,331449281,0
3/25/23,0,331449281,0
3/24/23,0,331449281,0
3/23/23,0,331449281,0
3/22/23,0,331449281,0
3/21/23,0,331449281,0
3/20/23,0,331449281,0
3/19/23,0,331449281,0
3/18/23,0,331449281,0
3/17/23,0,331449281,0
3/16/23,0,331449281,0
3/15/23,0,331449281,0
3/14/23,0,331449281,0
3/13/23,0,331449281,0
3/12/23,0,331449281,0
3/11/23,0,331449281,0
3/10/23,0,331449281,0
3/9/23,0,331449281,0
3/8/23,0,331449281,0
3/7/23,0,331449281,0
3/6/23,0,331449281,0
3/5/23,0,331449281,0
3/4/23,0,331449281,0
3/3/23,0,331449281,0
3/2/23,0,331449281,0
3/1/23,0,331449281,0
2/28/23,0,331449281,0
2/27/23,0,331449281,0
2/26/23,0,331449281,0
2/25/23,0,331449281,0
2/24/23,0,331449281,0
2/23/23,0,331449281,0
2/22/23,0,331449281,0
2/21/23,0,331449281,0
2/20/23,0,331449281,0
2/19/23,0,331449281,0
2/18/23,0,331449281,0
2/17/23,0,331449281,0
2/16/23,0,331449281,0
2/15/23,0,331449281,0
2/14/23,0,331449281,0
2/13/23,0,331449281,0
2/12/23,0,331449281,0
2/11/23,0,331449281,0
2/10/23,0,331449281,0
2/9/23,0,331449281,0
2/8/23,0,331449281,0
2/7/23,0,331449281,0
2/6/23,0,331449281,0
2/5/23,0,331449281,0
2/4/23,0,331449281,0
2/3/23,0,331449281,0
2/2/23,0,331449281,0
2/1/23,0,331449281,0
1/31/23,0,331449281,0
1/30/23,0,331449281,0
1/29/23,0,331449281,0
1/28/23,0,331449281,0
1/27/23,0,331449281,0
1/26/23,0,331449281,0
1/25/23,0,331449281,0
1/24/23,0,331449281,0
1/23/23,0,331449281,0
1/22/23,0,331449281,0
1/21/23,0,331449281,0
1/20/23,0,331449281,0
1/19/23,0,331449281,0
1/18/23,0,331449281,0
1/17/23,0,331449281,0
1/16/23,0,331449281,0
1/15/23,0,331449281,0
1/14/23,0,331449281,0
1/13/23,0,331449281,0
1/12/23,0,331449281,0
1/11/23,0,331449281,0
1/10/23,0,331449281,0
1/9/23,0,331449281,0
1/8/23,0,331449281,0
1/7/23,0,331449281,0
1/6/23,0,331449281,0
1/5/23,0,331449281,0
1/4/23,0,331449281,0
1/3/23,0,331449281,0
1/2/23,0,331449281,0
1/1/23,0,331449281,0
12/31/22,0,331449281,0
12/30/22,0,331449281,0
12/29/22,0,331449281,0
12/28/22,0,331449281,0
12/27/22,0,331449281,0
12/26/22,0,331449281,0
12/25/22,0,331449281,0
12/24/22,0,331449281,0
12/23/22,0,331449281,0
12/22/22,0,331449281,0
12/21/22,0,331449281,0
12/20/22,0,331449281,0
12/19/22,0,331449281,0
12/18/22,0,331449281,0
12/17/22,0,331449281,0
12/16/22,0,331449281,0
12/15/22,0,331449281,0
12/14/22,0,331449281,0
12/13/22,0,331449281,0
12/12/22,0,331449281,0
12/11/22,0,331449281,0
12/10/22,0,331449281,0
12/9/22,0,331449281,0
12/8/22,0,331449281,0
12/7/22,0,331449281,0
12/6/22,0,331449281,0
12/5/22,0,331449281,0
12/4/22,0,331449281,0
12/3/22,0,331449281,0
12/2/22,0,331449281,0
12/1/22,0,331449281,0
11/30/22,0,331449281,0
11/29/22,0,331449281,0
11/28/22,0,331449281,0
11/27/22,0,331449281,0
11/26/22,0,331449281,0
11/25/22,0,331449281,0
11/24/22,0,331449281,0
11/23/22,0,331449281,0
11/22/22,0,331449281,0
11/21/22,0,331449281,0
11/20/22,0,331449281,0
11/19/22,0,331449281,0
11/18/22,0,331449281,0
11/17/22,0,331449281,0
11/16/22,0,331449281,0
11/15/22,0,331449281,0
11/14/22,0,331449281,0
11/13/22,0,331449281,0
11/12/22,0,331449281,0
11/11/22,0,331449281,0
11/10/22,0,331449281,0
11/9/22,0,331449281,0
11/8/22,0,331449281,0
11/7/22,0,331449281,0
11/6/22,0,331449281,0
11/5/22,0,331449281,0
11/4/22,0,331449281,0
11/3/22,0,331449281,0
11/2/22,0,331449281,0
11/1/22,0,331449281,0
10/31/22,0,331449281,0
10/30/22,0,331449281,0
10/29/22,0,331449281,0
10/28/22,0,331449281,0
10/27/22,0,331449281,0
10/26/22,0,331449281,0
10/25/22,0,331449281,0
10/24/22,0,331449281,0
10/23/22,0,331449281,0
10/22/22,0,331449281,0
10/21/22,0,331449281,0
10/20/22,0,331449281,0
10/19/22,21135393,331449281,6.38
10/18/22,0,331449281,0
10/17/22,0,331449281,0
10/16/22,0,331449281,0
10/15/22,0,331449281,0
10/14/22,0,331449281,0
10/13/22,0,331449281,0
10/12/22,0,331449281,0
10/11/22,0,331449281,0
10/10/22,0,331449281,0
10/9/22,0,331449281,0
10/8/22,0,331449281,0
10/7/22,0,331449281,0
10/6/22,0,331449281,0
10/5/22,0,331449281,0
10/4/22,0,331449281,0
10/3/22,577121,331449281,0.17
10/2/22,1999147,331449281,0.6
10/1/22,0,331449281,0
9/30/22,0,331449281,0
9/29/22,0,331449281,0
9/28/22,22161572,331449281,6.69
9/27/22,22161572,331449281,6.69
9/26/22,22161572,331449281,6.69
9/25/22,22606467,331449281,6.82
9/24/22,22606467,331449281,6.82
9/23/22,22606467,331449281,6.82
9/22/22,3178760,331449281,0.96
9/21/22,4025426,331449281,1.21
9/20/22,0,331449281,0
9/19/22,0,331449281,0
9/18/22,0,331449281,0
9/17/22,0,331449281,0
9/16/22,0,331449281,0
9/15/22,0,331449281,0
9/14/22,0,331449281,0
9/13/22,0,331449281,0
9/12/22,0,331449281,0
9/11/22,1279823,331449281,0.39
9/10/22,18659370,331449281,5.63
9/9/22,40130246,331449281,12.11
9/8/22,49241931,331449281,14.86
9/7/22,61287626,331449281,18.49
9/6/22,58707961,331449281,17.71
9/5/22,54686125,331449281,16.5
9/4/22,53326506,331449281,16.09
9/3/22,52972473,331449281,15.98
9/2/22,54833794,331449281,16.54
9/1/22,52079220,331449281,15.71
8/31/22,58250898,331449281,17.57
8/30/22,65350656,331449281,19.72
8/29/22,62866919,331449281,18.97
8/28/22,33395849,331449281,10.08
8/27/22,0,331449281,0
8/26/22,0,331449281,0
8/25/22,5375660,331449281,1.62
8/24/22,5375660,331449281,1.62
8/23/22,20628410,331449281,6.22
8/22/22,16252556,331449281,4.9
8/21/22,0,331449281,0
8/20/22,13770647,331449281,4.15
8/19/22,22941787,331449281,6.92
8/18/22,27213269,331449281,8.21
8/17/22,59090284,331449281,17.83
8/16/22,64451349,331449281,19.45
8/15/22,62090898,331449281,18.73
8/14/22,24239930,331449281,7.31
8/13/22,34906040,331449281,10.53
8/12/22,21135393,331449281,6.38
8/11/22,23099920,331449281,6.97
8/10/22,25748842,331449281,7.77
8/9/22,54645491,331449281,16.49
8/8/22,68915710,331449281,20.79
8/7/22,105382879,331449281,31.79
8/6/22,89683265,331449281,27.06
8/5/22,77778731,331449281,23.47
8/4/22,93154753,331449281,28.11
8/3/22,124245979,331449281,37.49
8/2/22,108908604,331449281,32.86
8/1/22,30801095,331449281,9.29
7/31/22,19096459,331449281,5.76
7/30/22,16744199,331449281,5.05
7/29/22,28382035,331449281,8.56
7/28/22,49909119,331449281,15.06
7/27/22,48478553,331449281,14.63
7/26/22,39462743,331449281,11.91
7/25/22,74332197,331449281,22.43
7/24/22,109966901,331449281,33.18
7/23/22,108571057,331449281,32.76
7/22/22,104504877,331449281,31.53
7/21/22,139042902,331449281,41.95
7/20/22,154646517,331449281,46.66
7/19/22,105668812,331449281,31.88
7/18/22,65694765,331449281,19.82
7/17/22,51148288,331449281,15.43
7/16/22,55978632,331449281,16.89
