fips_code,county_name,state,estimated_hesitant,estimated_strongly_hesitant,social_vulnerability_index_(svi),svi_category,ability_to_handle_a_covid-19_outbreak_(cvac),cvac_category,percent_adults_fully_vaccinated_against_covid-19,percent_hispanic,percent_non-hispanic_american_indian_alaska_native,percent_non-hispanic_asian,percent_non-hispanic_black,percent_non-hispanic_native_hawaiian_pacific_islander,percent_non-hispanic_white,state_code,state_name,county_fips,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,winner,name
06097,Sonoma County,CALIFORNIA,0.1,0.04,0.4,Moderate Vulnerability,0.44,Moderate Vulnerability,0.27,0.2673,0.0047,0.0402,0.0148,0.003,0.6323,CA,California,06097,61825.0,199938.0,268252.0,-138113.0,0.2304735845,0.7453364747,0.5148628901,Biden,Sonoma County
06037,Los Angeles County,CALIFORNIA,0.11,0.04,0.77,High Vulnerability,0.71,High Vulnerability,0.191,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,CA,California,06037,1145530.0,3028885.0,4263443.0,-1883355.0,0.26868659910000003,0.7104316863,0.4417450872,Biden,Los Angeles County
06095,Solano County,CALIFORNIA,0.11,0.04,0.59,Moderate Vulnerability,0.53,Moderate Vulnerability,0.188,0.2645,0.0028,0.1499,0.135,0.0089,0.3804,CA,California,06095,69306.0,131639.0,205831.0,-62333.0,0.33671312870000003,0.6395489504,0.3028358216,Biden,Solano County
06079,San Luis Obispo County,CALIFORNIA,0.11,0.04,0.37,Low Vulnerability,0.39,Low Vulnerability,0.177,0.2252,0.0054,0.0353,0.0174,0.0009,0.6889,CA,California,06079,67436.0,88310.0,159681.0,-20874.0,0.42231699450000004,0.5530401237,0.1307231292,Biden,San Luis Obispo County
06113,Yolo County,CALIFORNIA,0.11,0.04,0.68,High Vulnerability,0.57,Moderate Vulnerability,0.22399999999999998,0.3161,0.0031,0.1387,0.0243,0.0041,0.4668,CA,California,06113,27292.0,67598.0,97264.0,-40306.0,0.2805971377,0.6949950650000001,0.4143979273,Biden,Yolo County
06091,Sierra County,CALIFORNIA,0.11,0.04,0.05,Very Low Vulnerability,0.78,High Vulnerability,,0.1066,0.0095,0.0,0.0007,0.0,0.8757,CA,California,06091,1142.0,730.0,1930.0,412.0,0.5917098446,0.378238342,0.2134715026,Trump,Sierra County
06073,San Diego County,CALIFORNIA,0.11,0.04,0.56,Moderate Vulnerability,0.55,Moderate Vulnerability,0.179,0.337,0.0038,0.1163,0.0471,0.0038,0.4556,CA,California,06073,600094.0,964650.0,1601722.0,-364556.0,0.37465552700000004,0.6022580698000001,0.2276025428,Biden,San Diego County
06057,Nevada County,CALIFORNIA,0.11,0.04,0.2,Low Vulnerability,0.47,Moderate Vulnerability,0.207,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516,CA,California,06057,26779.0,36359.0,64738.0,-9580.0,0.4136519509,0.561633044,0.147981093,Biden,Nevada County
06109,Tuolumne County,CALIFORNIA,0.12,0.05,0.47,Moderate Vulnerability,0.56,Moderate Vulnerability,0.256,0.1224,0.0141,0.0135,0.0175,0.0023,0.8019,CA,California,06109,17689.0,11978.0,30401.0,5711.0,0.58185586,0.39400019740000003,0.1878556626,Trump,Tuolumne County
06065,Riverside County,CALIFORNIA,0.12,0.05,0.79,High Vulnerability,0.65,High Vulnerability,0.17600000000000002,0.4891,0.0043,0.0632,0.061,0.0027,0.3532,CA,California,06065,448702.0,527945.0,996156.0,-79243.0,0.4504334662,0.5299822518,0.0795487855,Biden,Riverside County
06009,Calaveras County,CALIFORNIA,0.12,0.05,0.23,Low Vulnerability,0.62,High Vulnerability,0.205,0.1206,0.004,0.015,0.0069,0.0004,0.8094,CA,California,06009,16518.0,10046.0,27164.0,6472.0,0.6080842291,0.3698277131,0.238256516,Trump,Calaveras County
06083,Santa Barbara County,CALIFORNIA,0.12,0.05,0.71,High Vulnerability,0.54,Moderate Vulnerability,0.191,0.4537,0.0036,0.0537,0.0189,0.0009,0.4451,CA,California,06083,65736.0,129963.0,200288.0,-64227.0,0.3282073814,0.6488806119,0.3206732305,Biden,Santa Barbara County
06003,Alpine County,CALIFORNIA,0.12,0.05,0.73,High Vulnerability,0.9,Very High Vulnerability,,0.1251,0.3022,0.0096,0.0087,0.0,0.5303,CA,California,06003,244.0,476.0,741.0,-232.0,0.3292847503,0.6423751687,0.3130904184,Biden,Alpine County
06067,Sacramento County,CALIFORNIA,0.12,0.04,0.73,High Vulnerability,0.58,Moderate Vulnerability,0.18899999999999997,0.2318,0.0036,0.1544,0.0949,0.0112,0.4472,CA,California,06067,259405.0,440808.0,718290.0,-181403.0,0.3611424355,0.6136908491,0.2525484136,Biden,Sacramento County
06051,Mono County,CALIFORNIA,0.12,0.05,0.14,Very Low Vulnerability,0.68,High Vulnerability,,0.2701,0.0169,0.0254,0.0041,0.0,0.6505,CA,California,06051,2513.0,4013.0,6737.0,-1500.0,0.373014695,0.5956657266000001,0.22265103160000002,Biden,Mono County
06027,Inyo County,CALIFORNIA,0.12,0.05,0.57,Moderate Vulnerability,0.56,Moderate Vulnerability,,0.2236,0.1017,0.0181,0.0078,0.0019,0.6215,CA,California,06027,4620.0,4634.0,9481.0,-14.0,0.48729037020000004,0.48876700770000003,0.0014766375,Biden,Inyo County
06043,Mariposa County,CALIFORNIA,0.12,0.05,0.53,Moderate Vulnerability,0.8,Very High Vulnerability,,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,CA,California,06043,5950.0,4088.0,10280.0,1862.0,0.5787937743,0.39766536960000004,0.1811284047,Trump,Mariposa County
06077,San Joaquin County,CALIFORNIA,0.12,0.05,0.89,Very High Vulnerability,0.7,High Vulnerability,0.168,0.414,0.0023,0.152,0.0674,0.0055,0.3185,CA,California,06077,121098.0,161137.0,288443.0,-40039.0,0.41983338130000003,0.5586441689,0.1388107876,Biden,San Joaquin County
06053,Monterey County,CALIFORNIA,0.12,0.05,0.8,High Vulnerability,0.62,High Vulnerability,0.172,0.5867,0.0019,0.0539,0.0248,0.0046,0.2993,CA,California,06053,46299.0,113953.0,163883.0,-67654.0,0.2825125242,0.6953314255,0.41281890130000004,Biden,Monterey County
06005,Amador County,CALIFORNIA,0.12,0.05,0.53,Moderate Vulnerability,0.58,Moderate Vulnerability,0.17600000000000002,0.139,0.0065,0.0124,0.0221,0.0014,0.7816,CA,California,06005,13585.0,8153.0,22302.0,5432.0,0.6091381939,0.3655725944,0.2435655995,Trump,Amador County
06099,Stanislaus County,CALIFORNIA,0.13,0.05,0.87,Very High Vulnerability,0.65,High Vulnerability,0.166,0.4626,0.0046,0.0539,0.0282,0.0067,0.4186,CA,California,06099,104145.0,105841.0,214876.0,-1696.0,0.4846748823,0.49256780650000004,0.0078929243,Biden,Stanislaus County
06069,San Benito County,CALIFORNIA,0.13,0.06,0.52,Moderate Vulnerability,0.64,High Vulnerability,0.145,0.5976,0.0031,0.0291,0.0075,0.0006,0.3429,CA,California,06069,10590.0,17628.0,28821.0,-7038.0,0.367440408,0.6116373478,0.2441969397,Biden,San Benito County
06019,Fresno County,CALIFORNIA,0.13,0.05,0.96,Very High Vulnerability,0.77,High Vulnerability,0.184,0.5306,0.0047,0.10099999999999999,0.0449,0.0012,0.2942,CA,California,06019,164464.0,193025.0,364809.0,-28561.0,0.45082221110000004,0.5291124945,0.07829028340000001,Biden,Fresno County
06007,Butte County,CALIFORNIA,0.13,0.05,0.81,Very High Vulnerability,0.66,High Vulnerability,0.214,0.1635,0.0075,0.0445,0.0148,0.0021,0.7198,CA,California,06007,48730.0,50426.0,102042.0,-1696.0,0.47754846040000004,0.4941690676,0.0166206072,Biden,Butte County
06071,San Bernardino County,CALIFORNIA,0.13,0.05,0.9,Very High Vulnerability,0.69,High Vulnerability,0.16,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,CA,California,06071,366257.0,455859.0,840931.0,-89602.0,0.4355375173,0.542088471,0.1065509536,Biden,San Bernardino County
06023,Humboldt County,CALIFORNIA,0.13,0.05,0.76,High Vulnerability,0.66,High Vulnerability,0.214,0.1157,0.0461,0.03,0.0098,0.0032,0.7435,CA,California,06023,21770.0,44768.0,68828.0,-22998.0,0.31629569360000004,0.6504329633,0.3341372697,Biden,Humboldt County
06089,Shasta County,CALIFORNIA,0.13,0.05,0.7,High Vulnerability,0.57,Moderate Vulnerability,0.14400000000000002,0.1003,0.0218,0.0321,0.0113,0.0014,0.7979999999999999,CA,California,06089,60789.0,30000.0,92900.0,30789.0,0.6543487621,0.3229278794,0.33142088270000003,Trump,Shasta County
06045,Mendocino County,CALIFORNIA,0.14,0.06,0.88,Very High Vulnerability,0.69,High Vulnerability,0.281,0.2511,0.0337,0.0203,0.0072,0.0019,0.6519,CA,California,06045,13267.0,28782.0,43336.0,-15515.0,0.3061426989,0.6641591287,0.35801642980000004,Biden,Mendocino County
06025,Imperial County,CALIFORNIA,0.14,0.06,1.0,Very High Vulnerability,0.9,Very High Vulnerability,0.17600000000000002,0.8421,0.0061,0.0131,0.0215,0.0013,0.1064,CA,California,06025,20847.0,34678.0,56718.0,-13831.0,0.3675552735,0.6114108396,0.2438555661,Biden,Imperial County
06011,Colusa County,CALIFORNIA,0.14,0.05,0.74,High Vulnerability,0.84,Very High Vulnerability,0.16699999999999998,0.5937,0.0067,0.0127,0.0119,0.0018,0.3531,CA,California,06011,4554.0,3234.0,7951.0,1320.0,0.5727581436,0.4067412904,0.1660168532,Trump,Colusa County
06029,Kern County,CALIFORNIA,0.14,0.06,0.97,Very High Vulnerability,0.82,Very High Vulnerability,0.152,0.5333,0.0048,0.0459,0.0516,0.0013,0.3416,CA,California,06029,164484.0,133366.0,305226.0,31118.0,0.5388924928000001,0.4369418071,0.1019506857,Trump,Kern County
06107,Tulare County,CALIFORNIA,0.14,0.06,0.94,Very High Vulnerability,0.74,High Vulnerability,0.161,0.6457,0.006,0.0324,0.0125,0.0014,0.2852,CA,California,06107,77579.0,66105.0,146832.0,11474.0,0.5283521303000001,0.4502084014,0.0781437289,Trump,Tulare County
06033,Lake County,CALIFORNIA,0.14,0.06,0.92,Very High Vulnerability,0.82,Very High Vulnerability,0.23600000000000002,0.20600000000000002,0.03,0.0107,0.0207,0.0007,0.705,CA,California,06033,13123.0,14941.0,28800.0,-1818.0,0.4556597222,0.5187847222,0.063125,Biden,Lake County
06047,Merced County,CALIFORNIA,0.14,0.06,0.97,Very High Vulnerability,0.81,Very High Vulnerability,0.127,0.5963,0.0034,0.0724,0.0288,0.0022,0.2765,CA,California,06047,39397.0,48991.0,90541.0,-9594.0,0.4351288367,0.541091881,0.1059630444,Biden,Merced County
06105,Trinity County,CALIFORNIA,0.14,0.05,0.74,High Vulnerability,0.9,Very High Vulnerability,,0.073,0.055,0.0165,0.01,0.0022,0.821,CA,California,06105,3188.0,2851.0,6258.0,337.0,0.5094279322,0.4555768616,0.0538510706,Trump,Trinity County
06039,Madera County,CALIFORNIA,0.14,0.06,0.95,Very High Vulnerability,0.73,High Vulnerability,0.17600000000000002,0.5777,0.0099,0.0194,0.0307,0.0009,0.3413,CA,California,06039,29378.0,23168.0,53722.0,6210.0,0.5468523138,0.43125721310000004,0.11559510070000001,Trump,Madera County
06021,Glenn County,CALIFORNIA,0.14,0.05,0.89,Very High Vulnerability,0.87,Very High Vulnerability,0.19699999999999998,0.4175,0.013999999999999999,0.0295,0.0069,0.0004,0.5147,CA,California,06021,7063.0,3995.0,11292.0,3068.0,0.6254870705000001,0.353790294,0.2716967765,Trump,Glenn County
06101,Sutter County,CALIFORNIA,0.14,0.05,0.88,Very High Vulnerability,0.62,High Vulnerability,0.19899999999999998,0.3095,0.0065,0.1552,0.0175,0.0039,0.4621,CA,California,06101,24375.0,17367.0,42640.0,7008.0,0.5716463415,0.40729362100000005,0.1643527205,Trump,Sutter County
06103,Tehama County,CALIFORNIA,0.14,0.05,0.96,Very High Vulnerability,0.83,Very High Vulnerability,0.125,0.2497,0.0139,0.0151,0.0074,0.0002,0.6834,CA,California,06103,19141.0,8911.0,28721.0,10230.0,0.6664461544,0.3102607848,0.3561853696,Trump,Tehama County
06115,Yuba County,CALIFORNIA,0.14,0.05,0.94,Very High Vulnerability,0.79,High Vulnerability,0.139,0.2824,0.0078,0.0665,0.0334,0.0039,0.5519,CA,California,06115,17676.0,11230.0,29787.0,6446.0,0.593413234,0.3770101051,0.21640312890000002,Trump,Yuba County
06015,Del Norte County,CALIFORNIA,0.15,0.06,0.97,Very High Vulnerability,0.78,High Vulnerability,0.129,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193,CA,California,06015,6461.0,4677.0,11452.0,1784.0,0.5641809291000001,0.4084002794,0.1557806497,Trump,Del Norte County
06063,Plumas County,CALIFORNIA,0.15,0.06,0.27,Low Vulnerability,0.54,Moderate Vulnerability,,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314,CA,California,06063,6445.0,4561.0,11256.0,1884.0,0.572583511,0.40520611230000003,0.1673773987,Trump,Plumas County
06049,Modoc County,CALIFORNIA,0.15,0.06,0.75,High Vulnerability,0.78,High Vulnerability,,0.1449,0.0418,0.0111,0.0153,0.001,0.7769,CA,California,06049,3109.0,1150.0,4338.0,1959.0,0.7166897188,0.265099124,0.4515905947,Trump,Modoc County
06093,Siskiyou County,CALIFORNIA,0.15,0.06,0.72,High Vulnerability,0.68,High Vulnerability,0.215,0.1258,0.032,0.016,0.0157,0.0029,0.7609999999999999,CA,California,06093,13290.0,9593.0,23450.0,3697.0,0.5667377399,0.40908315570000003,0.1576545842,Trump,Siskiyou County
06035,Lassen County,CALIFORNIA,0.15,0.06,0.6,Moderate Vulnerability,0.7,High Vulnerability,0.131,0.1896,0.0274,0.0139,0.0848,0.008,0.6543,CA,California,06035,8970.0,2799.0,11985.0,6171.0,0.7484355444,0.23354192740000002,0.514893617,Trump,Lassen County
06031,Kings County,CALIFORNIA,0.16,0.06,0.97,Very High Vulnerability,0.75,High Vulnerability,0.10800000000000001,0.5449,0.0085,0.0369,0.0583,0.0016,0.3221,CA,California,06031,24072.0,18699.0,43858.0,5373.0,0.5488622372,0.4263532309,0.1225090063,Trump,Kings County
