,employercounty,2011,2012,2013,2014,2015,2016,2017,2018,2019
21,MARIPOSA,220757.7435704791,453.20173436588067,869.1747575732861,545.3618587793999,5743.780087504272,12636.543896636349,2307.0874836814623,0.0,0.0
22,MENDOCINO,205627.8373114489,359200.790848193,239126.2179629717,203525.8059230536,267629.95004155824,290832.24678030226,322578.18183338776,49258.67050301266,81020.0
23,MERCED,875284.1713175575,637942.1278387066,890650.617208326,501278.26187398634,1335590.1276448527,1381458.7645402008,1847644.3615412859,1953233.244979232,1270250.0
24,MODOC,0.0,0.0,0.0,11771.176753852393,85.21288768316197,10499.739795089308,12075.70474053525,14192.589533545459,191.0
25,MONO,64189.58201556869,46310.09073843393,53083.31189876244,54027.54145123683,67249.14804423312,58621.50554358831,46577.71828492168,107459.4869079715,110114.84
26,MONTEREY,4535366.659270826,4410877.744932359,4896795.598694181,5781280.631944445,7183888.675791187,8497987.890957346,9015014.22262157,8754383.236640159,6868160.0
27,NAPA,1321470.9260910735,1569448.7412867926,1559257.8122571984,1234126.8883059607,1366259.2167017555,1149736.9530555361,2670687.391473565,2515226.192555364,1770140.0
28,NEVADA,680053.5983133205,987808.2991802923,1183311.1960919828,1511507.6490014195,2187977.8790719653,2103672.985908745,2547480.3673506854,2893467.8667022428,1822094.0
29,ORANGE,71617048.71401137,73412595.59263305,70299606.14089726,74176717.28635326,77450886.73258038,84291694.8380714,98487729.021051,95053050.03901918,95497679.0
30,PLACER,5882969.452091455,7213564.124637403,7057375.285846745,8125806.381779705,10389192.565845741,10100515.33746099,11569331.370467523,10269993.990259135,5801904.0
31,PLUMAS,0.0,0.0,90929.72691097499,0.0,0.0,81167.66487227454,143564.04650375326,2374928.270725229,3005095.0
32,RIVERSIDE,17092947.948697206,15656546.52172531,16760261.73211365,17883355.963592354,19432143.220503174,19724879.139225107,25835860.77872879,24413568.183925577,24272199.0
33,SACRAMENTO,30838657.59079129,29561866.9794899,32428351.606635578,40982674.77601637,41947613.38927165,41364706.51048094,42589558.78181302,49976467.336450234,47261238.0
34,SAN BENITO,329077.73425684305,248813.31975574273,533574.5312911825,362561.96333890915,313089.4076543033,649259.2980829728,1111315.2797976502,1636208.05798325,1454117.0
35,SAN BERNARDINO,36948829.08997551,36568121.93239369,39696303.13403332,40886721.32675638,42574677.771425664,40962113.870116286,35040256.42853704,35552852.17439578,33713227.0
36,SAN DIEGO,51992052.0789814,67323859.78851336,66163543.67689743,69166595.50432129,68611051.6958657,71552533.21465214,80441883.67630966,81827105.15391846,78762374.0
37,SAN FRANCISCO,33152175.05746896,44611341.42664884,48060754.83372464,40919022.947663195,42820606.479855895,44492969.60663645,36227255.024865404,34856055.079245105,35068780.0
38,SAN JOAQUIN,6647290.115770365,6651228.740193559,7492858.584073845,8195949.344559384,10507818.020043753,10448430.931697825,12985760.012969155,12188304.709155861,11961412.0
39,SAN LUIS OBISPO,1053794.7885693456,1175645.385584989,3463727.2555020885,3497022.2271644357,3596144.578207471,4267472.614048757,4448278.480895072,4453278.25370858,3315199.0
40,SAN MATEO,11016373.524737641,12568828.543119593,13333955.083787996,13046521.119512876,17753930.408434834,17393457.561821114,20598144.312532637,22616779.71083785,21224370.0
41,SANTA BARBARA,12210715.834014954,14479831.012153152,15142663.856582971,16402900.462882703,20005963.807530858,22078757.398617543,24330464.292897355,24129045.452329084,14957832.0
42,SANTA CLARA,19798244.972685937,19089919.20269079,17789877.23869881,14112632.883169103,18721110.533429585,29226341.553338036,37404952.262161404,31824336.7295615,21056188.0
43,SANTA CRUZ,3973588.2390025742,4084886.2632275233,4043779.590023052,4237748.90262571,4986882.545201399,5257656.556558767,5258265.398204963,5239279.948368625,5167394.0
44,SHASTA,1625809.126878843,1852940.345104837,2243506.860613762,2385691.3908150853,385613.1255817093,2559659.098651289,3149549.890584203,295874.76698379574,152050.0
45,SIERRA,0.0,0.0,0.0,0.0,0.0,0.0,2084.9312296018275,0.0,0.0
46,SISKIYOU,588.7388403078168,2498.7338867740445,10995.280171877213,98200.77208789537,123143.40914364794,133052.80494318917,22189.55073025457,63409.51712616534,42048.0
47,SOLANO,3566696.9604159356,6153356.01325383,5459485.289478316,7366729.629676096,8792126.606053576,8503254.271554578,11508399.020610312,12037461.102792833,10580617.0
48,SONOMA,5228246.399210454,6961025.018947709,7345263.085663877,7667044.746401053,9270120.209681163,7040033.456953338,11030577.422633812,11772905.736040812,11291913.0
49,STANISLAUS,5525876.614215413,2085468.4674033294,4725275.154204424,2763548.324462693,5694450.454688905,6565636.316249108,8222744.527321313,8611967.625697412,8035876.0
50,SUTTER,843175.1732914256,1158007.26403129,1044245.4297660085,1411694.549675588,1726366.7227625018,1722384.47417367,2038307.6198841385,1834906.3476924181,1492107.0
51,TEHAMA,125468.43011216374,138284.43190588607,196762.72807427982,102417.87715429848,234005.3760194417,239600.07825188432,293490.3143684726,284863.80171799264,127827.0
52,TRINITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
