,monthday,time,calls
57,02/27,Average 2010-2019,2.6
58,02/28,Average 2010-2019,1.3
59,02/29,Average 2010-2019,0.1
60,03/01,Average 2010-2019,1.2
61,03/02,Average 2010-2019,0.9
62,03/03,Average 2010-2019,1.1
63,03/04,Average 2010-2019,0.8
64,03/05,Average 2010-2019,1.3
65,03/06,Average 2010-2019,1.0
66,03/07,Average 2010-2019,0.7
67,03/08,Average 2010-2019,1.8
68,03/09,Average 2010-2019,1.0
69,03/10,Average 2010-2019,0.9
70,03/11,Average 2010-2019,1.0
71,03/12,Average 2010-2019,2.3
72,03/13,Average 2010-2019,0.9
73,03/14,Average 2010-2019,1.1
74,03/15,Average 2010-2019,1.8
75,03/16,Average 2010-2019,1.8
76,03/17,Average 2010-2019,1.5
77,03/18,Average 2010-2019,1.0
78,03/19,Average 2010-2019,1.5
79,03/20,Average 2010-2019,0.8
80,03/21,Average 2010-2019,1.5
81,03/22,Average 2010-2019,1.6
82,03/23,Average 2010-2019,1.5
83,03/24,Average 2010-2019,2.4
84,03/25,Average 2010-2019,1.7
85,03/26,Average 2010-2019,1.3
86,03/27,Average 2010-2019,2.3
87,03/28,Average 2010-2019,1.9
88,03/29,Average 2010-2019,1.6
89,03/30,Average 2010-2019,1.9
90,03/31,Average 2010-2019,1.6
91,04/01,Average 2010-2019,1.9
92,04/02,Average 2010-2019,0.7
93,04/03,Average 2010-2019,1.4
94,04/04,Average 2010-2019,1.1
95,04/05,Average 2010-2019,1.7
96,04/06,Average 2010-2019,0.8
97,04/07,Average 2010-2019,1.8
98,04/08,Average 2010-2019,1.1
99,04/09,Average 2010-2019,1.5
100,04/10,Average 2010-2019,1.4
101,04/11,Average 2010-2019,1.4
102,04/12,Average 2010-2019,0.8
103,04/13,Average 2010-2019,1.3
104,04/14,Average 2010-2019,1.1
105,04/15,Average 2010-2019,1.0
106,04/16,Average 2010-2019,2.5
107,04/17,Average 2010-2019,1.7
108,04/18,Average 2010-2019,0.4
109,04/19,Average 2010-2019,3.9
110,04/20,Average 2010-2019,2.4
111,04/21,Average 2010-2019,1.8
112,04/22,Average 2010-2019,1.9
113,04/23,Average 2010-2019,1.2
114,04/24,Average 2010-2019,1.8
115,04/25,Average 2010-2019,2.0
116,04/26,Average 2010-2019,1.7
117,04/27,Average 2010-2019,2.3
118,04/28,Average 2010-2019,3.1
119,04/29,Average 2010-2019,2.5
120,04/30,Average 2010-2019,1.4
121,05/01,Average 2010-2019,2.4
122,05/02,Average 2010-2019,1.8
123,05/03,Average 2010-2019,2.6
124,05/04,Average 2010-2019,3.6
125,05/05,Average 2010-2019,5.5
126,05/06,Average 2010-2019,2.9
127,05/07,Average 2010-2019,4.7
128,05/08,Average 2010-2019,3.5
129,05/09,Average 2010-2019,3.0
130,05/10,Average 2010-2019,3.0
131,05/11,Average 2010-2019,2.6
132,05/12,Average 2010-2019,5.3
133,05/13,Average 2010-2019,4.2
134,05/14,Average 2010-2019,4.8
135,05/15,Average 2010-2019,3.5
136,05/16,Average 2010-2019,4.2
137,05/17,Average 2010-2019,4.3
138,05/18,Average 2010-2019,5.3
139,05/19,Average 2010-2019,6.0
140,05/20,Average 2010-2019,8.1
141,05/21,Average 2010-2019,4.5
142,05/22,Average 2010-2019,4.2
143,05/23,Average 2010-2019,5.9
144,05/24,Average 2010-2019,6.7
145,05/25,Average 2010-2019,8.2
146,05/26,Average 2010-2019,11.0
147,05/27,Average 2010-2019,15.3
148,05/28,Average 2010-2019,14.0
149,05/29,Average 2010-2019,12.3
150,05/30,Average 2010-2019,11.5
151,05/31,Average 2010-2019,11.0
152,06/01,Average 2010-2019,13.1
153,06/02,Average 2010-2019,14.7
154,06/03,Average 2010-2019,17.4
155,06/04,Average 2010-2019,15.3
156,06/05,Average 2010-2019,15.7
157,06/06,Average 2010-2019,14.6
158,06/07,Average 2010-2019,17.1
159,06/08,Average 2010-2019,22.0
160,06/09,Average 2010-2019,19.5
161,06/10,Average 2010-2019,21.2
162,06/11,Average 2010-2019,21.8
163,06/12,Average 2010-2019,25.8
164,06/13,Average 2010-2019,22.4
165,06/14,Average 2010-2019,26.0
166,06/15,Average 2010-2019,29.3
167,06/16,Average 2010-2019,36.7
168,06/17,Average 2010-2019,39.7
169,06/18,Average 2010-2019,33.6
170,06/19,Average 2010-2019,35.3
171,01/01,ThisYear,85.0
172,01/02,ThisYear,7.0
173,01/03,ThisYear,9.0
174,01/04,ThisYear,11.0
175,01/05,ThisYear,9.0
176,01/06,ThisYear,4.0
177,01/07,ThisYear,1.0
178,01/08,ThisYear,1.0
179,01/09,ThisYear,2.0
180,01/10,ThisYear,2.0
181,01/11,ThisYear,3.0
182,01/12,ThisYear,4.0
183,01/13,ThisYear,1.0
184,01/14,ThisYear,1.0
185,01/15,ThisYear,1.0
186,01/16,ThisYear,1.0
187,01/17,ThisYear,1.0
188,01/18,ThisYear,1.0
189,01/19,ThisYear,6.0
190,01/20,ThisYear,6.0
191,01/21,ThisYear,2.0
192,01/22,ThisYear,1.0
193,01/23,ThisYear,1.0
194,01/24,ThisYear,3.0
195,01/25,ThisYear,4.0
196,01/26,ThisYear,4.0
197,01/27,ThisYear,4.0
198,01/28,ThisYear,4.0
199,01/29,ThisYear,1.0
200,01/30,ThisYear,1.0
201,01/31,ThisYear,1.0
202,02/01,ThisYear,1.0
203,02/02,ThisYear,6.0
204,02/03,ThisYear,6.0
205,02/04,ThisYear,1.0
206,02/05,ThisYear,1.0
207,02/06,ThisYear,1.0
208,02/07,ThisYear,4.0
209,02/08,ThisYear,2.0
210,02/09,ThisYear,1.0
211,02/10,ThisYear,1.0
212,02/11,ThisYear,1.0
213,02/12,ThisYear,1.0
214,02/13,ThisYear,1.0
215,02/14,ThisYear,2.0
216,02/15,ThisYear,3.0
217,02/16,ThisYear,2.0
218,02/17,ThisYear,2.0
219,02/18,ThisYear,1.0
220,02/19,ThisYear,1.0
221,02/20,ThisYear,1.0
222,02/21,ThisYear,2.0
223,02/22,ThisYear,5.0
224,02/23,ThisYear,3.0
225,02/24,ThisYear,2.0
226,02/25,ThisYear,5.0
227,02/26,ThisYear,1.0
228,02/27,ThisYear,1.0
229,02/28,ThisYear,4.0
230,02/29,ThisYear,1.0
231,03/01,ThisYear,2.0
232,03/02,ThisYear,2.0
233,03/03,ThisYear,2.0
234,03/04,ThisYear,2.0
235,03/05,ThisYear,3.0
236,03/06,ThisYear,3.0
237,03/07,ThisYear,4.0
238,03/08,ThisYear,2.0
239,03/09,ThisYear,1.0
240,03/10,ThisYear,2.0
241,03/11,ThisYear,2.0
242,03/12,ThisYear,2.0
243,03/13,ThisYear,1.0
244,03/14,ThisYear,1.0
245,03/15,ThisYear,2.0
246,03/16,ThisYear,2.0
247,03/17,ThisYear,3.0
248,03/18,ThisYear,3.0
249,03/19,ThisYear,1.0
250,03/20,ThisYear,1.0
251,03/21,ThisYear,1.0
252,03/22,ThisYear,1.0
253,03/23,ThisYear,1.0
254,03/24,ThisYear,1.0
255,03/25,ThisYear,1.0
256,03/26,ThisYear,1.0
257,03/27,ThisYear,2.0
258,03/28,ThisYear,1.0
259,03/29,ThisYear,1.0
260,03/30,ThisYear,1.0
261,03/31,ThisYear,2.0
262,04/01,ThisYear,3.0
263,04/02,ThisYear,3.0
264,04/03,ThisYear,5.0
265,04/04,ThisYear,3.0
266,04/05,ThisYear,3.0
267,04/06,ThisYear,1.0
268,04/07,ThisYear,1.0
269,04/08,ThisYear,2.0
270,04/09,ThisYear,1.0
271,04/10,ThisYear,3.0
272,04/11,ThisYear,6.0
273,04/12,ThisYear,4.0
274,04/13,ThisYear,2.0
275,04/14,ThisYear,1.0
276,04/15,ThisYear,2.0
277,04/16,ThisYear,4.0
278,04/17,ThisYear,2.0
279,04/18,ThisYear,4.0
280,04/19,ThisYear,7.0
281,04/20,ThisYear,3.0
282,04/21,ThisYear,2.0
283,04/22,ThisYear,2.0
284,04/23,ThisYear,3.0
285,04/24,ThisYear,2.0
286,04/25,ThisYear,6.0
287,04/26,ThisYear,6.0
288,04/27,ThisYear,6.0
289,04/28,ThisYear,6.0
290,04/29,ThisYear,2.0
291,04/30,ThisYear,5.0
292,05/01,ThisYear,9.0
293,05/02,ThisYear,8.0
294,05/03,ThisYear,5.0
295,05/04,ThisYear,6.0
296,05/05,ThisYear,10.0
297,05/06,ThisYear,3.0
298,05/07,ThisYear,9.0
299,05/08,ThisYear,7.0
300,05/09,ThisYear,7.0
301,05/10,ThisYear,17.0
302,05/11,ThisYear,7.0
303,05/12,ThisYear,9.0
304,05/13,ThisYear,9.0
305,05/14,ThisYear,6.0
306,05/15,ThisYear,20.0
307,05/16,ThisYear,24.0
308,05/17,ThisYear,36.0
309,05/18,ThisYear,24.0
310,05/19,ThisYear,23.0
311,05/20,ThisYear,28.0
312,05/21,ThisYear,17.0
313,05/22,ThisYear,42.0
314,05/23,ThisYear,48.0
315,05/24,ThisYear,118.0
316,05/25,ThisYear,108.0
317,05/26,ThisYear,58.0
318,05/27,ThisYear,17.0
319,05/28,ThisYear,25.0
320,05/29,ThisYear,3.0
321,05/30,ThisYear,3.0
322,05/31,ThisYear,3.0
323,06/01,ThisYear,3.0
324,06/02,ThisYear,1.0
325,06/03,ThisYear,1.0
326,06/04,ThisYear,2.0
327,06/05,ThisYear,3.0
328,06/06,ThisYear,1.0
329,06/07,ThisYear,3.0
330,06/08,ThisYear,5.0
331,06/09,ThisYear,3.0
332,06/10,ThisYear,61.0
333,06/11,ThisYear,74.0
334,06/12,ThisYear,117.0
335,06/13,ThisYear,188.0
336,06/14,ThisYear,177.0
337,06/15,ThisYear,82.0
338,06/16,ThisYear,72.0
339,06/17,ThisYear,67.0
340,06/18,ThisYear,118.0
341,06/19,ThisYear,160.0
