name,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
Norwalk,Southeast,105741.0,74202.0,12983.0,4618.0,12726.0,3420.0,2962.0,27175.0,64322.0,70.17,12.28,4.37,12.04,10.9,12.59
Burbank,San Fernando Valley,103338.0,25328.0,60244.0,2600.0,12008.0,12824.0,466.0,41939.0,68037.0,24.51,58.3,2.52,11.62,1.11,30.58
Whittier,San Gabriel Valley,98003.0,64081.0,27346.0,1239.0,4447.0,6612.0,1139.0,32079.0,71326.0,65.39,27.9,1.26,4.54,3.55,20.61
Compton,Southeast,97428.0,63394.0,1018.0,31590.0,390.0,2995.0,3602.0,23222.0,44376.0,65.07,1.04,32.42,0.4,15.51,12.9
South Gate,Southeast,94030.0,89104.0,3205.0,898.0,726.0,2283.0,2672.0,23186.0,43657.0,94.76,3.41,0.96,0.77,11.52,9.85
Carson,Harbor,90867.0,35369.0,6650.0,22535.0,22559.0,3682.0,2154.0,25076.0,60872.0,38.92,7.32,24.8,24.83,8.59,14.68
Santa Monica,Westside,89687.0,11699.0,62899.0,3522.0,8046.0,22701.0,147.0,46890.0,80359.0,13.04,70.13,3.93,8.97,0.31,48.41
Van Nuys,San Fernando Valley,87546.0,55876.0,19391.0,4674.0,6304.0,6278.0,1376.0,27740.0,42392.0,63.82,22.15,5.34,7.2,4.96,22.63
Sherman Oaks,San Fernando Valley,83542.0,11898.0,58850.0,4383.0,5681.0,14911.0,166.0,39692.0,92149.0,14.24,70.44,5.25,6.8,0.42,37.57
Alhambra,San Gabriel Valley,83136.0,28596.0,8347.0,1281.0,43989.0,6477.0,826.0,29224.0,57077.0,34.4,10.04,1.54,52.91,2.83,22.16
Florence-Firestone,South L.A.,82807.0,74071.0,508.0,8163.0,190.0,1632.0,3176.0,18345.0,32741.0,89.45,0.61,9.86,0.23,17.31,8.9
Boyle Heights,Eastside,81371.0,77812.0,1242.0,987.0,1319.0,2584.0,2431.0,19970.0,35554.0,95.63,1.53,1.21,1.62,12.17,12.94
Bellflower,Southeast,76734.0,40160.0,14989.0,10770.0,8876.0,4623.0,1208.0,23682.0,54812.0,52.34,19.53,14.04,11.57,5.1,19.52
Baldwin Park,San Gabriel Valley,75514.0,60478.0,3257.0,915.0,10714.0,1470.0,2718.0,17158.0,57126.0,80.09,4.31,1.21,14.19,15.84,8.57
Sylmar,San Fernando Valley,75215.0,58574.0,9467.0,2743.0,3866.0,2326.0,2121.0,19145.0,59657.0,77.88,12.59,3.65,5.14,11.08,12.15
Lynwood,Southeast,73992.0,64161.0,1609.0,7531.0,516.0,1123.0,2733.0,15591.0,44554.0,86.71,2.17,10.18,0.7,17.53,7.2
San Pedro,Harbor,73453.0,35058.0,27704.0,4921.0,3762.0,8368.0,615.0,27942.0,61396.0,47.73,37.72,6.7,5.12,2.2,29.95
Pacoima,San Fernando Valley,72301.0,65865.0,1794.0,3196.0,1280.0,1551.0,3244.0,15422.0,48299.0,91.1,2.48,4.42,1.77,21.03,10.06
Reseda,San Fernando Valley,71395.0,35470.0,22445.0,2917.0,8811.0,4711.0,1331.0,22205.0,61546.0,49.68,31.44,4.09,12.34,5.99,21.22
Panorama City,San Fernando Valley,69792.0,50582.0,6554.0,2147.0,9861.0,2487.0,1866.0,18065.0,46261.0,72.48,9.39,3.08,14.13,10.33,13.77
Covina,San Gabriel Valley,67501.0,37885.0,18452.0,2677.0,7443.0,3948.0,924.0,21480.0,71628.0,56.13,27.34,3.97,11.03,4.3,18.38
Redondo Beach,South Bay,66497.0,10163.0,43294.0,1850.0,7980.0,9141.0,158.0,28829.0,91210.0,15.28,65.11,2.78,12.0,0.55,31.71
Northridge,San Fernando Valley,65213.0,21842.0,26344.0,4045.0,11074.0,5148.0,695.0,22059.0,66222.0,33.49,40.4,6.2,16.98,3.15,23.34
Pico Rivera,Southeast,64346.0,58617.0,3419.0,619.0,1638.0,2314.0,1719.0,16915.0,57187.0,91.1,5.31,0.96,2.55,10.16,13.68
Montebello,Southeast,62804.0,49849.0,5317.0,570.0,6898.0,3329.0,1055.0,18997.0,52912.0,79.37,8.47,0.91,10.98,5.55,17.52
Hollywood,Central L.A.,62261.0,18555.0,34014.0,3492.0,4518.0,16154.0,173.0,32162.0,54122.0,29.8,54.63,5.61,7.26,0.54,50.23
Monterey Park,San Gabriel Valley,60701.0,16704.0,3007.0,274.0,40209.0,3673.0,729.0,20083.0,52411.0,27.52,4.95,0.45,66.24,3.63,18.29
Huntington Park,Southeast,59920.0,58207.0,950.0,468.0,396.0,1674.0,1664.0,14990.0,38884.0,97.14,1.59,0.78,0.66,11.1,11.17
Woodland Hills,San Fernando Valley,59613.0,6360.0,42479.0,2606.0,5543.0,6569.0,179.0,24281.0,96823.0,10.67,71.26,4.37,9.3,0.74,27.05
Gardena,South Bay,58730.0,22130.0,5472.0,14322.0,15367.0,5132.0,744.0,20520.0,50729.0,37.68,9.32,24.39,26.17,3.63,25.01
North Hills,San Fernando Valley,57632.0,34992.0,11071.0,2501.0,8259.0,2303.0,1303.0,15981.0,48746.0,60.72,19.21,4.34,14.33,8.15,14.41
Canoga Park,San Fernando Valley,56586.0,30350.0,14750.0,2749.0,7537.0,4863.0,933.0,18903.0,53906.0,53.64,26.07,4.86,13.32,4.94,25.73
Cerritos,Southeast,54789.0,6882.0,9580.0,3944.0,32994.0,2191.0,499.0,17492.0,76855.0,12.56,17.49,7.2,60.22,2.85,12.53
Paramount,Southeast,54751.0,43158.0,3009.0,6383.0,1629.0,1904.0,1512.0,13999.0,44841.0,78.83,5.5,11.66,2.98,10.8,13.6
Sun Valley,San Fernando Valley,54668.0,38494.0,10609.0,978.0,3964.0,1921.0,1685.0,13954.0,61122.0,70.41,19.41,1.79,7.25,12.08,13.77
Westlake,Central L.A.,54607.0,39613.0,3595.0,2838.0,8139.0,6377.0,742.0,19506.0,27435.0,72.54,6.58,5.2,14.9,3.8,32.69
Granada Hills,San Fernando Valley,54001.0,16926.0,24395.0,1994.0,9224.0,3044.0,629.0,17562.0,76820.0,31.34,45.18,3.69,17.08,3.58,17.33
Hacienda Heights,San Gabriel Valley,52762.0,24082.0,7818.0,730.0,19556.0,2067.0,890.0,15805.0,77156.0,45.64,14.82,1.38,37.06,5.63,13.08
South Whittier,Southeast,52700.0,40331.0,9073.0,806.0,2139.0,1851.0,1357.0,14011.0,64469.0,76.53,17.22,1.53,4.06,9.69,13.21
Wilmington,Harbor,52431.0,47250.0,2294.0,1413.0,1016.0,1755.0,1381.0,13440.0,47699.0,90.12,4.38,2.69,1.94,10.28,13.06
Winnetka,San Fernando Valley,51868.0,25423.0,13818.0,2695.0,8748.0,2870.0,900.0,15944.0,62043.0,49.01,26.64,5.2,16.87,5.64,18.0
Rosemead,San Gabriel Valley,51849.0,17701.0,2485.0,253.0,31212.0,1674.0,1270.0,13794.0,50658.0,34.14,4.79,0.49,60.2,9.21,12.14
Westwood,Westside,51545.0,4513.0,30160.0,1128.0,13257.0,8148.0,49.0,19806.0,101358.0,8.76,58.51,2.19,25.72,0.25,41.14
La Mirada,Southeast,48685.0,19365.0,18474.0,1102.0,8654.0,2544.0,569.0,14730.0,77036.0,39.78,37.95,2.26,17.78,3.86,17.27
Koreatown,Central L.A.,48286.0,25522.0,2594.0,2228.0,17588.0,5459.0,467.0,18196.0,32455.0,52.86,5.37,4.61,36.42,2.57,30.0
Westchester,South Bay,48110.0,7991.0,25780.0,6496.0,5600.0,6748.0,109.0,20006.0,78483.0,16.61,53.59,13.5,11.64,0.54,33.73
Rowland Heights,San Gabriel Valley,47848.0,12074.0,5736.0,849.0,28477.0,1498.0,700.0,14202.0,76878.0,25.23,11.99,1.77,59.52,4.93,10.55
Highland Park,Northeast L.A.,45462.0,32803.0,5605.0,1302.0,5293.0,3277.0,790.0,14621.0,60375.0,72.15,12.33,2.86,11.64,5.4,22.41
Diamond Bar,San Gabriel Valley,45313.0,8621.0,9586.0,1958.0,24225.0,2041.0,312.0,14866.0,86579.0,19.03,21.16,4.32,53.46,2.1,13.73
Encino,San Fernando Valley,43455.0,4050.0,33803.0,1334.0,2458.0,5429.0,87.0,18464.0,102971.0,9.32,77.79,3.07,5.66,0.47,29.4
Walnut,San Gabriel Valley,42693.0,8469.0,5477.0,1199.0,26779.0,937.0,445.0,12487.0,87042.0,19.84,12.83,2.81,62.72,3.56,7.5
Exposition Park,South L.A.,42650.0,26044.0,2918.0,10665.0,2357.0,2161.0,1072.0,10928.0,29170.0,61.06,6.84,25.01,5.53,9.81,19.77
Claremont,Pomona Valley,42188.0,8293.0,24750.0,2029.0,5649.0,3379.0,171.0,14092.0,93494.0,19.66,58.67,4.81,13.39,1.21,23.98
Bell Gardens,Southeast,42065.0,40260.0,1136.0,377.0,262.0,750.0,1324.0,9655.0,45649.0,95.71,2.7,0.9,0.62,13.71,7.77
Altadena,Verdugos,41744.0,11356.0,16542.0,9995.0,2272.0,3375.0,470.0,14780.0,80541.0,27.2,39.63,23.94,5.44,3.18,22.83
Rancho Palos Verdes,South Bay,41096.0,3590.0,22819.0,1155.0,11923.0,2950.0,114.0,15416.0,115929.0,8.74,55.53,2.81,29.01,0.74,19.14
San Gabriel,San Gabriel Valley,40759.0,10656.0,4679.0,405.0,24500.0,2147.0,584.0,12844.0,71941.0,26.14,11.48,0.99,60.11,4.55,16.72
Watts,South L.A.,40442.0,28383.0,352.0,11441.0,122.0,1225.0,1595.0,9264.0,34490.0,70.18,0.87,28.29,0.3,17.22,13.22
Mar Vista,Westside,40425.0,10814.0,20400.0,1400.0,6252.0,5893.0,168.0,17693.0,65894.0,26.75,50.46,3.46,15.47,0.95,33.31
La Puente,San Gabriel Valley,40415.0,34426.0,1921.0,596.0,3309.0,950.0,1505.0,9469.0,55584.0,85.18,4.75,1.47,8.19,15.89,10.03
Pico-Union,Central L.A.,39585.0,32681.0,1142.0,1404.0,4302.0,2961.0,765.0,12259.0,25464.0,82.56,2.88,3.55,10.87,6.24,24.15
Palms,Westside,39562.0,9058.0,15630.0,3448.0,9811.0,7962.0,98.0,19298.0,58000.0,22.9,39.51,8.72,24.8,0.51,41.26
El Sereno,Eastside,39329.0,32537.0,1719.0,735.0,4289.0,1661.0,892.0,11040.0,53227.0,82.73,4.37,1.87,10.91,8.08,15.05
Vermont Vista,South L.A.,37988.0,25824.0,385.0,11527.0,87.0,1534.0,1203.0,9668.0,30148.0,67.98,1.01,30.34,0.23,12.44,15.87
Eagle Rock,Northeast L.A.,37705.0,16819.0,10546.0,786.0,8675.0,2980.0,474.0,12569.0,69746.0,44.61,27.97,2.08,23.01,3.77,23.71
Lake Balboa,San Fernando Valley,37588.0,19952.0,11950.0,1906.0,3053.0,2690.0,544.0,12416.0,54990.0,53.08,31.79,5.07,8.12,4.38,21.67
Harvard Park,South L.A.,36771.0,24083.0,308.0,12105.0,137.0,1975.0,1097.0,10079.0,34236.0,65.49,0.84,32.92,0.37,10.88,19.6
Temple City,San Gabriel Valley,36695.0,7141.0,8419.0,333.0,20258.0,2272.0,363.0,12213.0,67104.0,19.46,22.94,0.91,55.21,2.97,18.6
South Park,South L.A.,36543.0,30992.0,301.0,5127.0,139.0,1025.0,1382.0,8293.0,29151.0,84.81,0.82,14.03,0.38,16.66,12.36
Bell,Southeast,36160.0,33842.0,1693.0,238.0,260.0,1010.0,945.0,9118.0,41123.0,93.59,4.68,0.66,0.72,10.36,11.08
West Hills,San Fernando Valley,35809.0,5482.0,23189.0,1053.0,4814.0,2006.0,230.0,12273.0,82740.0,15.31,64.76,2.94,13.44,1.87,16.34
Culver City,Westside,35705.0,8681.0,17407.0,2757.0,5248.0,4967.0,164.0,15143.0,65009.0,24.31,48.75,7.72,14.7,1.08,32.8
Manhattan Beach,South Bay,34856.0,2425.0,27634.0,289.0,3010.0,3562.0,46.0,13890.0,119721.0,6.96,79.28,0.83,8.64,0.33,25.64
Chatsworth,San Fernando Valley,34655.0,7636.0,18633.0,1472.0,5835.0,2795.0,224.0,12620.0,84452.0,22.03,53.77,4.25,16.84,1.77,22.15
West Hollywood,Central L.A.,34561.0,3628.0,26917.0,1122.0,1884.0,13477.0,14.0,22602.0,68987.0,10.5,77.88,3.25,5.45,0.06,59.63
Beverly Hills,Westside,34212.0,1948.0,26874.0,750.0,3039.0,5433.0,90.0,14931.0,103949.0,5.69,78.55,2.19,8.88,0.6,36.39
West Los Angeles,Westside,34087.0,6147.0,18296.0,927.0,7197.0,7488.0,109.0,17316.0,66910.0,18.03,53.67,2.72,21.11,0.63,43.24
Willowbrook,South L.A.,32899.0,21208.0,246.0,11179.0,97.0,1200.0,1280.0,7928.0,42410.0,64.46,0.75,33.98,0.29,16.15,15.14
San Dimas,San Gabriel Valley,32875.0,10554.0,16993.0,1089.0,3390.0,2521.0,234.0,11732.0,82784.0,32.1,51.69,3.31,10.31,1.99,21.49
Lawndale,South Bay,32579.0,19878.0,5286.0,3302.0,3250.0,1749.0,659.0,9627.0,62212.0,61.01,16.23,10.14,9.98,6.85,18.17
Arleta,San Fernando Valley,32544.0,26337.0,2574.0,484.0,2965.0,717.0,1349.0,7279.0,55903.0,80.93,7.91,1.49,9.11,18.53,9.85
Venice,Westside,32441.0,6046.0,21610.0,1706.0,1843.0,7372.0,116.0,16456.0,78406.0,18.64,66.61,5.26,5.68,0.7,44.8
Porter Ranch,San Fernando Valley,31231.0,3722.0,16350.0,947.0,9294.0,1520.0,155.0,10665.0,100865.0,11.92,52.35,3.03,29.76,1.45,14.25
Lincoln Heights,Eastside,31149.0,21843.0,1463.0,452.0,7239.0,1368.0,723.0,8651.0,37628.0,70.12,4.7,1.45,23.24,8.36,15.81
Azusa,San Gabriel Valley,29999.0,21739.0,4532.0,911.0,2511.0,1009.0,991.0,7472.0,62923.0,72.47,15.11,3.04,8.37,13.26,13.5
Glassell Park,Northeast L.A.,29725.0,17219.0,5072.0,574.0,6432.0,1931.0,491.0,9620.0,56597.0,57.93,17.06,1.93,21.64,5.1,20.07
Brentwood,Westside,29276.0,1664.0,23527.0,435.0,2560.0,5586.0,25.0,14127.0,122242.0,5.68,80.36,1.49,8.74,0.18,39.54
East Hollywood,Central L.A.,28390.0,15583.0,6270.0,924.0,5185.0,3053.0,297.0,10064.0,38050.0,54.89,22.09,3.25,18.26,2.95,30.34
Castaic,Northwest County,28363.0,9301.0,13107.0,2839.0,2395.0,843.0,137.0,6563.0,93575.0,32.79,46.21,10.01,8.44,2.09,12.84
Tarzana,San Fernando Valley,28146.0,4167.0,19574.0,1265.0,1844.0,3210.0,109.0,11214.0,84258.0,14.8,69.54,4.49,6.55,0.97,28.62
Hyde Park,South L.A.,27864.0,10198.0,401.0,16728.0,165.0,2801.0,477.0,9630.0,42497.0,36.6,1.44,60.03,0.59,4.95,29.09
Hollywood Hills,Central L.A.,27793.0,2636.0,21170.0,1241.0,1759.0,7288.0,23.0,15325.0,78345.0,9.48,76.17,4.47,6.33,0.15,47.56
Harbor City,Harbor,26885.0,11877.0,6883.0,2747.0,4644.0,2179.0,293.0,9404.0,63910.0,44.18,25.6,10.22,17.27,3.12,23.17
Tujunga,Verdugos,26865.0,6902.0,16049.0,475.0,2525.0,2315.0,208.0,9750.0,66488.0,25.69,59.74,1.77,9.4,2.13,23.74
Valley Glen,San Fernando Valley,26552.0,11193.0,12359.0,1073.0,1446.0,2306.0,269.0,9340.0,50539.0,42.16,46.55,4.04,5.45,2.88,24.69
West Adams,South L.A.,26550.0,16863.0,1262.0,6674.0,1439.0,2462.0,454.0,8674.0,27137.0,63.51,4.75,25.14,5.42,5.23,28.38
Duarte,San Gabriel Valley,26044.0,13733.0,6257.0,1812.0,3751.0,1845.0,522.0,8208.0,71870.0,52.73,24.02,6.96,14.4,6.36,22.48
Maywood,Southeast,25646.0,24981.0,473.0,159.0,81.0,570.0,721.0,6148.0,40217.0,97.41,1.84,0.62,0.32,11.73,9.27
South Pasadena,San Gabriel Valley,25549.0,4759.0,11139.0,768.0,7958.0,3062.0,67.0,10436.0,82779.0,18.63,43.6,3.01,31.15,0.64,29.34
Cudahy,Southeast,24768.0,23774.0,534.0,342.0,139.0,425.0,693.0,5841.0,42607.0,95.99,2.16,1.38,0.56,11.86,7.28
Downtown,Central L.A.,24348.0,6834.0,7113.0,3323.0,6319.0,9472.0,52.0,14587.0,28749.0,28.07,29.21,13.65,25.95,0.36,64.93
University Park,South L.A.,24334.0,11263.0,5761.0,1758.0,4952.0,2153.0,362.0,6840.0,20732.0,46.29,23.67,7.22,20.35,5.29,31.48
San Fernando,San Fernando Valley,23624.0,21844.0,1259.0,223.0,249.0,730.0,691.0,5960.0,55724.0,92.47,5.33,0.94,1.05,11.59,12.25
West Carson,Harbor,23007.0,7541.0,4751.0,2449.0,7304.0,1764.0,301.0,7554.0,61618.0,32.78,20.65,10.64,31.75,3.98,23.35
Mission Hills,San Fernando Valley,22811.0,16327.0,3603.0,727.0,1866.0,1018.0,633.0,6198.0,57638.0,71.58,15.8,3.19,8.18,10.21,16.42
Valley Village,San Fernando Valley,22526.0,4409.0,14843.0,1256.0,1238.0,4370.0,68.0,10776.0,59166.0,19.57,65.89,5.58,5.5,0.63,40.55
Industry,San Gabriel Valley,22137.0,12584.0,2463.0,469.0,6385.0,630.0,596.0,5855.0,61100.0,56.85,11.13,2.12,28.84,10.18,10.76
South El Monte,San Gabriel Valley,21675.0,18317.0,660.0,120.0,2556.0,354.0,805.0,4808.0,49914.0,84.51,3.04,0.55,11.79,16.74,7.36
La Canada Flintridge,Verdugos,21422.0,1490.0,13718.0,124.0,5498.0,1098.0,66.0,7355.0,115901.0,6.96,64.04,0.58,25.67,0.9,14.93
Studio City,San Fernando Valley,21170.0,2151.0,15926.0,917.0,1450.0,4070.0,27.0,10316.0,106852.0,10.16,75.23,4.33,6.85,0.26,39.45
Stevenson Ranch,Northwest County,21096.0,3268.0,11457.0,715.0,4876.0,1073.0,90.0,6955.0,97742.0,15.49,54.31,3.39,23.11,1.29,15.43
Santa Fe Springs,Southeast,20725.0,17096.0,2270.0,420.0,805.0,965.0,487.0,5738.0,64520.0,82.49,10.95,2.03,3.88,8.49,16.82
Pacific Palisades,Westside,20620.0,938.0,17976.0,126.0,989.0,2256.0,30.0,8430.0,150673.0,4.55,87.18,0.61,4.8,0.36,26.76
Los Feliz,Central L.A.,20608.0,2545.0,14202.0,603.0,2595.0,5017.0,47.0,10830.0,67738.0,12.35,68.91,2.93,12.59,0.43,46.33
Lennox,South Bay,20136.0,18649.0,410.0,727.0,151.0,448.0,726.0,4618.0,40414.0,92.62,2.04,3.61,0.75,15.72,9.7
Lomita,South Bay,20039.0,6554.0,8794.0,931.0,2941.0,2389.0,117.0,7967.0,69160.0,32.71,43.88,4.65,14.68,1.47,29.99
Green Meadows,South L.A.,19811.0,13531.0,108.0,6088.0,53.0,719.0,719.0,4828.0,33758.0,68.3,0.55,30.73,0.27,14.89,14.89
Hermosa Beach,South Bay,19486.0,1630.0,15763.0,229.0,1111.0,3639.0,15.0,9538.0,106648.0,8.36,80.89,1.18,5.7,0.16,38.15
La Crescenta-Montrose,Verdugos,19214.0,2054.0,10961.0,130.0,5553.0,1374.0,74.0,6812.0,93267.0,10.69,57.05,0.68,28.9,1.09,20.17
Valinda,San Gabriel Valley,19066.0,14010.0,1418.0,488.0,3053.0,397.0,711.0,4349.0,64360.0,73.48,7.44,2.56,16.01,16.35,9.13
Agoura Hills,Santa Monica Mountains,18545.0,1781.0,14548.0,237.0,1418.0,1216.0,61.0,6665.0,106151.0,9.6,78.45,1.28,7.65,0.92,18.24
Sunland,Verdugos,17757.0,4630.0,10651.0,335.0,1604.0,1507.0,146.0,6325.0,63333.0,26.07,59.98,1.89,9.03,2.31,23.83
Harvard Heights,Central L.A.,16946.0,12374.0,571.0,2129.0,1778.0,896.0,346.0,4863.0,28117.0,73.02,3.37,12.56,10.49,7.11,18.42
Vermont Knolls,South L.A.,16689.0,8417.0,145.0,7898.0,82.0,1283.0,401.0,5126.0,32283.0,50.43,0.87,47.32,0.49,7.82,25.03
Artesia,Southeast,16515.0,5898.0,3515.0,590.0,6137.0,661.0,328.0,4535.0,76190.0,35.71,21.28,3.57,37.16,7.23,14.58
El Segundo,South Bay,16469.0,2579.0,11386.0,333.0,1443.0,2232.0,35.0,7009.0,100160.0,15.66,69.14,2.02,8.76,0.5,31.84
Walnut Park,Southeast,15976.0,15553.0,269.0,70.0,89.0,317.0,637.0,3615.0,37496.0,97.35,1.68,0.44,0.56,17.62,8.77
Hancock Park,Central L.A.,15590.0,1746.0,8501.0,609.0,4371.0,1795.0,101.0,6207.0,62331.0,11.2,54.53,3.91,28.04,1.63,28.92
Leimert Park,South L.A.,14865.0,3821.0,285.0,10274.0,192.0,2335.0,195.0,6050.0,36842.0,25.7,1.92,69.12,1.29,3.22,38.6
Hawaiian Gardens,Harbor,14779.0,10792.0,1294.0,571.0,1954.0,567.0,496.0,3757.0,65997.0,73.02,8.76,3.86,13.22,13.2,15.09
Calabasas,Santa Monica Mountains,14411.0,850.0,11813.0,203.0,1037.0,844.0,39.0,5168.0,118860.0,5.9,81.97,1.41,7.2,0.75,16.33
Atwater Village,Northeast L.A.,14122.0,6813.0,3775.0,238.0,3039.0,1561.0,158.0,5386.0,48022.0,48.24,26.73,1.69,21.52,2.93,28.98
Lake Los Angeles,Antelope Valley,13931.0,7601.0,4359.0,1540.0,132.0,520.0,396.0,3690.0,50484.0,54.56,31.29,11.05,0.95,10.73,14.09
Palos Verdes Estates,South Bay,13456.0,633.0,9875.0,161.0,2329.0,850.0,33.0,5073.0,122685.0,4.7,73.39,1.2,17.31,0.65,16.76
San Marino,San Gabriel Valley,13167.0,875.0,4880.0,58.0,7028.0,539.0,54.0,4344.0,102973.0,6.65,37.06,0.44,53.38,1.24,12.41
Carthay,Central L.A.,13146.0,931.0,10335.0,423.0,1011.0,4041.0,3.0,7526.0,69904.0,7.08,78.62,3.22,7.69,0.04,53.69
Echo Park,Central L.A.,13074.0,6762.0,3892.0,255.0,1901.0,1650.0,136.0,5216.0,49935.0,51.72,29.77,1.95,14.54,2.61,31.63
Commerce,Southeast,12968.0,12154.0,423.0,185.0,142.0,518.0,350.0,3324.0,41420.0,93.72,3.26,1.43,1.1,10.53,15.58
East Rancho Dominguez,Harbor,12258.0,10038.0,111.0,1979.0,35.0,203.0,571.0,2503.0,45282.0,81.89,0.91,16.14,0.29,22.81,8.11
Beverlywood,Westside,12244.0,1278.0,8886.0,554.0,1086.0,1634.0,71.0,5083.0,75265.0,10.44,72.57,4.52,8.87,1.4,32.15
Beverly Crest,Westside,11968.0,559.0,10069.0,197.0,683.0,1178.0,24.0,4898.0,156904.0,4.67,84.13,1.65,5.71,0.49,24.05
Century City,Westside,11872.0,648.0,9070.0,233.0,1441.0,2482.0,6.0,6020.0,101115.0,5.46,76.4,1.96,12.14,0.1,41.23
Ladera Heights,Westside,11657.0,902.0,2414.0,6975.0,873.0,1852.0,25.0,5343.0,75078.0,7.74,20.71,59.84,7.49,0.47,34.66
Signal Hill,Harbor,11033.0,3480.0,3325.0,1501.0,2268.0,1124.0,111.0,4153.0,58112.0,31.54,30.14,13.6,20.56,2.67,27.06
Sierra Madre,San Gabriel Valley,10920.0,1628.0,7888.0,201.0,841.0,1595.0,32.0,4837.0,109401.0,14.91,72.23,1.84,7.7,0.66,32.97
Quartz Hill,Antelope Valley,10584.0,2604.0,6308.0,942.0,413.0,564.0,100.0,3503.0,80978.0,24.6,59.6,8.9,3.9,2.85,16.1
Arcadia,San Gabriel Valley,10286.0,2950.0,3120.0,137.0,3878.0,704.0,104.0,3526.0,77053.0,28.68,30.33,1.33,37.7,2.95,19.97
Elysian Valley,Central L.A.,10071.0,6548.0,1245.0,127.0,2052.0,647.0,202.0,3149.0,50590.0,65.02,12.36,1.26,20.38,6.41,20.55
South San Gabriel,San Gabriel Valley,10037.0,4140.0,534.0,103.0,5172.0,425.0,207.0,2826.0,56080.0,41.25,5.32,1.03,51.53,7.32,15.04
Rolling Hills Estates,South Bay,9693.0,696.0,6060.0,145.0,2407.0,712.0,25.0,3633.0,118331.0,7.18,62.52,1.5,24.83,0.69,19.6
Malibu,Santa Monica Mountains,9491.0,621.0,8190.0,136.0,280.0,965.0,30.0,3674.0,125011.0,6.54,86.29,1.43,2.95,0.82,26.27
West Puente Valley,San Gabriel Valley,9283.0,7889.0,509.0,151.0,704.0,136.0,390.0,1976.0,63607.0,84.98,5.48,1.63,7.58,19.74,6.88
Cheviot Hills,Westside,9041.0,707.0,7045.0,207.0,754.0,1156.0,19.0,3784.0,84026.0,7.82,77.92,2.29,8.34,0.5,30.55
East Pasadena,San Gabriel Valley,8959.0,2401.0,4023.0,336.0,1948.0,643.0,84.0,3151.0,96955.0,26.8,44.9,3.75,21.74,2.67,20.41
Playa Vista,Westside,8895.0,1647.0,4020.0,814.0,1998.0,1779.0,27.0,4462.0,92920.0,18.52,45.19,9.15,22.46,0.61,39.87
Agua Dulce,Northwest County,8862.0,2059.0,5946.0,195.0,443.0,401.0,64.0,2922.0,88335.0,23.23,67.1,2.2,5.0,2.19,13.72
La Verne,Pomona Valley,8349.0,2023.0,4884.0,317.0,944.0,496.0,42.0,2910.0,87940.0,24.23,58.5,3.8,11.31,1.44,17.04
