store_number,name,address,city,zip,state,website,phone,latitude,longitude
9075055,McCarran International Airport- Terminal D,South Gate 5795 Paradise Rd. Terminal D,Las Vegas,89111,NV,https://store.tcby.com/home/mccarraninternationalairport,(702) 837-8654,36.1483132,-115.1951131
9106038,McCarran International Airport - Terminal B,5795 Paradise Rd. Terminal B,Las Vegas,89119,NV,https://store.tcby.com/home/mccarraninternationalairport-3,(702) 798-3303,35.9766942,-115.1411556
9445601,The Galleria at Sunset Mall,1300 W Sunset Rd,Henderson,89014,NV,https://store.tcby.com/home/,(702) 547-6196,36.0673234,-115.0416159
9447301,Fashion Show Mall,3200 Las Vegas Blvd. S. #3800,Las Vegas,89109,NV,https://store.tcby.com/home/fashionshowmall,(702) 904-7040,36.1273449,-115.1730984
9391701,Poppy's Bagels,204 W Englewood Ave,Teaneck,07666,NJ,https://store.tcby.com/home/poppysbagels,(201) 862-0800,40.9013096,-74.0067943
9446501,Bayonne,1053 Broadway,Bayonne,07002,NJ,https://store.tcby.com/home/,(201) 354-9272,40.6827807,-74.101078
9449001,Crispin Square,230 N Maple Ave,Marlton,08053,NJ,https://store.tcby.com/home/crispinsquare,(856) 983-8229,39.9153025,-74.9279102
9026303,NMSU Food Court,Williams & Frenger St,Las Cruces,88001,NM,https://store.tcby.com/home/nmsufoodcourt,(505) 646-4001,48.432044,-103.2923954
9445501,Pinetree Square,2812 Sudderth Dr,Ruidoso,88345,NM,https://store.tcby.com/home/,(575) 257-7822,33.3340219,-105.6803382
9132101,Jericho Turnpike,1955 Jericho Tpke,East Northport,11731,NY,https://store.tcby.com/home/jerichoturnpike,(631) 499-1007,40.8388872,-73.3307802
9326601,Garden City,158 7th St,Garden City,11530,NY,https://store.tcby.com/home/gardencity,(516) 741-5132,40.7250563,-73.6351392
9059015,Washington Avenue Plaza,10 Washington Ave Plaza,Plainview,11803,NY,https://store.tcby.com/home/washingtonavenueplaza,(516) 942-8229,40.7878718,-73.4633521
9423002,Waterloo Premium Outlets,665 Route 318 A025B,Waterloo,13165,NY,https://store.tcby.com/home/waterloopremiumoutlets,(315) 539-2700,42.9047884,-76.8627367
9443301,Philips Plaza,653 Sunrise Highway,Lynbrook,11563,NY,https://store.tcby.com/home/lynbrook,(516) 596-1994,40.6556833,-73.6769449
9447101,Bellmore,2880 Merrick Road,Bellmore,11710,NY,https://store.tcby.com/home/bellmore,(516) 490-6900,40.6635841,-73.5195294
9448511,Staten Island Mall,2655 Richmond Ave,Staten Island,10314,NY,https://store.tcby.com/home/statenislandmall,(718) 831-8229,40.5818414,-74.1668656
9449401,Roosevelt Field Mall,630 Old Country Road  (K114C),Garden City,11530,NY,https://store.tcby.com/home/rooseveltfieldmall,(516) 695-1178,40.7383205,-73.61396
9279301,Edgewood Drive Subway,1408 Edgewood Dr,Mt. Airy,27030,NC,https://store.tcby.com/home/edgewooddrivesubway,(336) 789-0800,36.474808,-80.619229
9279302,Pine Street Subway,701 W Pine St,Mt. Airy,27030,NC,https://store.tcby.com/home/pinestreetsubway,(336) 789-0900,36.498681,-80.620842
9150164,Charlotte Douglas Airport,5501 Josh Birmingham Pkwy Concourse C,Charlotte,28219,NC,https://store.tcby.com/home/charlottedouglasairport,(704) 359-4469,35.208999,-80.9394541
9400502,Crabtree Valley Mall,4325 Glenwood Ave,Raleigh,27612,NC,https://store.tcby.com/home/,(919) 783-5702,35.8377024,-78.6758944
9447801,Rosedale Commons,9334 Rose Commons Dr,Huntersville,28078,NC,https://store.tcby.com/home/rosedalecommons,(704) 947-9700,35.4074009,-80.8678581
9448503,Colony Place,7731 Colony Rd,Charlotte,28226,NC,https://store.tcby.com/home/colonyplace,(704) 341-2000,35.1065191,-80.8073691
7000007,Vending Machine - Sandusky Mall,4314 Milan Road,Sandusky,44870,OH,https://store.tcby.com/home/,(419) 624-8383,41.4179475,-82.6689345
9390403,Monroeville Mall,200 Monroeville Mall A10,Monroeville,15146,PA,https://store.tcby.com/home/monroevillemall,(412) 372-6227,40.4289701,-79.7969543
9244801,Charleroi Subway,407 McKean Ave,Charleroi,15022,PA,https://store.tcby.com/home/charleroisubway,(724) 483-9495,40.1375457,-79.8968742
9047104,Sutton Place,7 Brendan Way,Greenville,29615,SC,https://store.tcby.com/home/suttonplace,(864) 297-5683,34.8552705,-82.3289536
9297002,Sumter Texaco,2000 W Liberty St,Sumter,29153,SC,https://store.tcby.com/home/sumtertexaco,(803) 934-0708,33.9235879,-80.3193344
9449502,The Corner at Westcott,9514 Dorchester Rd,North Charleston,29485,SC,https://store.tcby.com/home/,(843) 871-9955,32.9365086,-80.1423786
9449503,South Windermere Shopping Cente,2 Windermere Blvd,Charleston,29407,SC,https://store.tcby.com/home/,(843) 312-0051,32.777072,-79.9741069
9449507,Azalea Square,214 Azalea Square Blvd.,Summerville,29483,SC,https://store.tcby.com/home/,(843) 821-1591,33.0381476,-80.1572166
9449506,Mount Pleasant Towne Center,1332 Theater Dr,Mount Pleasant,29464,SC,https://store.tcby.com/home/,(843) 884-8224,32.8300166,-79.8287332
9178902,Knoxville,7406 Strawberry Plains Pike,Knoxville,37924,TN,https://store.tcby.com/home/knoxvillebp,(865) 933-2251,36.0051,-83.772297
9178906,Powell,404 E Emory Rd,Powell,37849,TN,https://store.tcby.com/home/powellbp,(865) 947-0338,36.048995,-83.998428
9178907,Lenoir City BP,1104 Hwy 321 N,Lenoir City,37771,TN,https://store.tcby.com/home/lenoircitybp,(865) 986-5110,35.8267195,-84.2777754
9451000,Thornwood Shopping Center,1730 S. Germantown Road Suite 113,Germantown,38138,TN,https://store.tcby.com/home/thornwoodshoppingcenter,(901) 381-6200,35.1018605,-89.8048563
9447401,Brookhaven Circle,5134 Poplar Ave,Memphis,38117,TN,https://store.tcby.com/home/brookhavencircle,(901) 761-4126,35.1107312,-89.8905125
9447701,Wolf Chase,7990 US Hwy 64 STE 108,Barlett,38133,TN,https://store.tcby.com/home/wolfchase_TN,(901) 383-7994,35.2066446,-89.7959996
9449302,Morristown,2330 Sandstone Dr,Morristown,37814,TN,https://store.tcby.com/home/morristown,(423) 587-6212,36.2082374,-83.3256578
9427502,Clock Tower Square,1025 Cannon Dr,Dripping Springs,78620,TX,https://store.tcby.com/home/,(512) 894-2136,30.1950916,-98.0755841
9307601,Martin Luther King Boulevard,303 W Martin L King Jr Blvd,Austin,78701,TX,https://store.tcby.com/home/martinlutherkingboulevard,(512) 320-8229,30.281213,-97.740795
9174404,Lakewood Dallas,6402 East Mockingbird Lane,Dallas,75214,TX,https://store.tcby.com/home/lakewooddallas,(214) 821-5757,32.836123,-96.7525573
9236802,University Center,709 W Santa Gertrudis Ave,Kingsville,78363,TX,https://store.tcby.com/home/kingsvillesubway,(361) 592-6200,27.5217335,-97.8777883
9427501,Parkside Village,5701 W Slaughter Lane,Austin,78749,TX,https://store.tcby.com/home/parksidevillage,(512) 505-8229,30.2005716,-97.8690631
9441401,Plaza Theater,123 West Mills Ave,El Paso,79901,TX,https://store.tcby.com/home/,(915) 533-8826,31.7589007,-106.4892743
9436402,Irving Music Factory,370 West Las Colinas Blvd,Irving,75039,TX,https://store.tcby.com/home/,(214) 614-8958,32.8728131,-96.9435444
9443201,Panther Creek Shopping Center,4775 W Panther Creek Dr,Woodlands,77381,TX,https://store.tcby.com/home/panthercreekshoppingcenter,(281) 419-8053,30.1679376,-95.5039865
9443701,San Felipe,5884 San Felipe St,Houston,77057,TX,https://store.tcby.com/home/sanfelipe,(832) 742-5555,29.7504019,-95.4852217
9446101,Memorial City Mall,303 Memorial City Mall,Houston,77024,TX,https://store.tcby.com/home/memorialcitymall,(832) 358-3447,29.7810466,-95.5407043
9450000,Windermere Lakes Shopping Center,12149 FM 1960 Rd West,Houston,77065,TX,https://store.tcby.com/home/suncreekvillage,(281) 653-9141,29.92396,-95.59923
9435401,Sugarhouse Center,2274 S 1300 E,Salt Lake City,84106,UT,https://store.tcby.com/home/sugarhouse,(801) 708-7005,40.7215046,-111.8568715
9206901,Cockerham Food Mart  # 9,1115 E Stuart Dr,Galax,24333,VA,https://store.tcby.com/home/cockerhamsfoodmartbp9,(276) 236-3036,36.6909849,-80.8808131
9206902,Pizza Inn - Hillsville,49 Farmers Market Dr,Hillsville,24343,VA,https://store.tcby.com/home/hillsvillepizzainn,(276) 728-2799,36.7348555,-80.7674081
9437001,North City Plaza Subway,18002 15th Ave Northeast,Shoreline,98155,WA,https://store.tcby.com/home/,(206) 306-0933,47.7595213,-122.313198
9448301,Scott Way TCBY,42 Scott Way,Hurricane,25526,WV,https://store.tcby.com/home/,(304) 757-8220,38.4523029,-81.9390108
9435701,Southridge Mall TCBY,5300 S 76th St,Greendale,53129,WI,https://store.tcby.com/home/southridgemalltcby,(414) 421-8849,42.9489856,-88.0078198
9404502,Frontier Mall,1400 Del Range Blvd,Cheyenne,82009,WY,https://store.tcby.com/home/frontiermall,(307) 637-5547,41.161994,-104.807352
