name_clean,change_week9_to_15
Huntington Park,206.0
Industry,
Inglewood,174.0
La Canada Flintridge,87.0
La Mirada,128.0
La Puente,186.0
Lancaster,165.0
Lawndale,214.0
Lomita,129.0
Long Beach,131.0
Long Beach,131.0
Adams-Normandie,213.0
Alsace,252.0
Arleta,144.0
Atwater Village,153.0
Baldwin Hills,152.0
Bel Air,54.0
Beverly Crest,66.0
Marina del Rey,171.0
Monrovia,134.0
Monrovia,134.0
North Lancaster,107.0
North Whittier,135.0
Northeast San Gabriel,131.0
Pomona,132.0
Pomona,132.0
Quartz Hill,134.0
Rowland Heights,147.0
San Jose Hills,183.0
Santa Monica Mountains,114.0
South San Gabriel,133.0
South Whittier,172.0
Stevenson Ranch,123.0
Valinda,161.0
View Park/Windsor Hills,121.0
Walnut Park,188.0
West Carson,105.0
West Puente Valley,175.0
West Whittier/Los Nietos,170.0
Whittier Narrows,
Willowbrook,208.0
Diamond Bar,135.0
Baldwin Park,168.0
Bell,240.0
Bell Gardens,207.0
Beverlywood,98.0
Boyle Heights,168.0
Brentwood,87.0
Cadillac-Corning,218.0
Canoga Park,154.0
Carthay,103.0
Central,222.0
Century City,74.0
Century Palms/Cove,220.0
Chatsworth,102.0
Cheviot Hills,72.0
Chinatown,239.0
Cloverdale/Cochran,214.0
Country Club Park,132.0
Crenshaw District,171.0
Crestview,116.0
Downtown,191.0
Eagle Rock,135.0
East Hollywood,163.0
Echo Park,240.0
El Sereno,148.0
Elysian Park,153.0
Elysian Valley,177.0
Encino,76.0
Exposition Park,217.0
Figueroa Park Square,189.0
Glassell Park,142.0
Gramercy Place,143.0
Granada Hills,98.0
Green Meadows,246.0
Hancock Park,116.0
Harbor City,133.0
Harvard Heights,178.0
Harvard Park,202.0
Highland Park,172.0
Historic Filipinotown,152.0
Hollywood,218.0
