officer_name,title,department_name,state_abbreviation,cause,eow_date,eow_year,eow_weekday,police_dog,url,photo_url
Robert J. Thorpe,Patrolman,New York City Police Department,NY,Stabbed,1900-08-13,1900,Monday,False,https://www.odmp.org/officer/16285-patrolman-robert-j-thorpe,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
U.S.  Herbert Melvin Goddard,Deputy,United States Department of Justice - United States Marshals Service,US,Gunfire,1900-08-14,1900,Tuesday,False,https://www.odmp.org/officer/20303-deputy-us-marshal-herbert-melvin-goddard,https://www.odmp.org/media/image/officer/20303/125/20303.jpg
James Golden,Patrolman,Dunmore Borough Police Department,PA,Gunfire,1900-08-15,1900,Wednesday,False,https://www.odmp.org/officer/22827-patrolman-james-golden,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John Henry Dillingham,Sheriff,Platte County Sheriff's Office,MO,Gunfire,1900-08-20,1900,Monday,False,https://www.odmp.org/officer/4101-sheriff-john-henry-dillingham,https://www.odmp.org/media/image/officer/4101/125/4101.jpg
"W. D. ""Kechi"" Johnson",Chief,Grant County Sheriff's Office,NM,Gunfire,1900-08-27,1900,Monday,False,https://www.odmp.org/officer/25611-chief-deputy-w-d-kechi-johnson,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Andrew Harper,Police,Pittsburgh Bureau of Police,PA,Fall,1900-09-02,1900,Sunday,False,https://www.odmp.org/officer/24298-police-officer-andrew-harper,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John P. Looney,Police,St. Louis Metropolitan Police Department,MO,Electrocuted,1900-09-03,1900,Monday,False,https://www.odmp.org/officer/8251-police-officer-john-p-looney,https://www.odmp.org/media/image/officer/8251/125/police-officer-john-looney.jpg
Nicholas F. Beckman,Police,St. Louis Metropolitan Police Department,MO,Electrocuted,1900-09-03,1900,Monday,False,https://www.odmp.org/officer/1669-police-officer-nicholas-f-beckman,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
"Salathiel Coffee ""Sail"" Aulgur",Marshal,Marshall Police Department,MO,Gunfire,1900-09-07,1900,Friday,False,https://www.odmp.org/officer/1346-marshal-salathiel-coffee-sail-aulgur,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Adolph Howe,Police,Galveston Police Department,TX,Weather/Natural disaster,1900-09-08,1900,Saturday,False,https://www.odmp.org/officer/15931-police-officer-adolph-howe,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Charles Wolfe,Police,Galveston Police Department,TX,Weather/Natural disaster,1900-09-08,1900,Saturday,False,https://www.odmp.org/officer/15932-police-officer-charles-wolfe,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Frederick L. Richards,Police,Galveston Police Department,TX,Weather/Natural disaster,1900-09-08,1900,Saturday,False,https://www.odmp.org/officer/15933-police-officer-frederick-l-richards,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Samuel Eugene Tovrea,Police,Galveston Police Department,TX,Weather/Natural disaster,1900-09-08,1900,Saturday,False,https://www.odmp.org/officer/16185-police-officer-samuel-eugene-tovrea,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
T. Perry Gates,Patrolman,LaCrosse Police Department,WI,Gunfire,1900-09-08,1900,Saturday,False,https://www.odmp.org/officer/5337-patrolman-t-perry-gates,https://www.odmp.org/media/image/officer/5337/125/officer-gates%2C-perry.jpg
John J. Hallowell,Lieutenant,Philadelphia Police Department,PA,Heart attack,1900-09-09,1900,Sunday,False,https://www.odmp.org/officer/24312-lieutenant-john-j-hallowell,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Paul Sloan,Jailer,Calcasieu Parish Sheriff's Office,LA,Gunfire,1900-09-27,1900,Thursday,False,https://www.odmp.org/officer/18493-jailer-paul-sloan,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
William L. Foulks,Detective,Cleveland Division of Police,OH,Gunfire,1900-09-29,1900,Saturday,False,https://www.odmp.org/officer/5037-detective-william-l-foulks,https://www.odmp.org/media/image/officer/5037/125/5037.jpg
James C. Scurry,Officer,Georgetown Police Department,SC,Gunfire,1900-09-29,1900,Saturday,False,https://www.odmp.org/officer/16042-officer-james-c-scurry,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Thomas J. Bolin,Police,St. Louis Metropolitan Police Department,MO,Gunfire (Inadvertent),1900-09-30,1900,Sunday,False,https://www.odmp.org/officer/2009-police-officer-thomas-j-bolin,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Charles L. Horn,Patrolman,New York Police Department,NY,Stabbed,1900-10-08,1900,Monday,False,https://www.odmp.org/officer/16245-patrolman-charles-l-horn,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
"U.S.  Thomas Jefferson ""Tom"" Taylor",Deputy,United States Department of Justice - United States Marshals Service,US,Gunfire,1900-10-13,1900,Saturday,False,https://www.odmp.org/officer/13152-deputy-us-marshal-thomas-jefferson-tom-taylor,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
T. L. Fuller,Lieutenant,Texas Rangers,TX,Gunfire,1900-10-15,1900,Monday,False,https://www.odmp.org/officer/15965-lieutenant-t-l-fuller,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
U.S.  Samuel Jackson,Deputy,United States Department of Justice - United States Marshals Service,US,Fall,1900-10-25,1900,Thursday,False,https://www.odmp.org/officer/21683-deputy-us-marshal-samuel-jackson,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Charles I. Parker,Deputy,New Jersey Department of Corrections,NJ,Assault,1900-10-25,1900,Thursday,False,https://www.odmp.org/officer/21291-deputy-keeper-charles-i-parker,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
City  Alphonso J. Wake,Marshal,Rulo Police Department,NE,Gunfire,1900-10-27,1900,Saturday,False,https://www.odmp.org/officer/18893-city-marshal-alphonso-j-wake,https://www.odmp.org/media/image/officer/18893/125/alphonso-j.-wake.jpg
William Davis Mitchell,Police,Waco Police Department,TX,Gunfire,1900-10-27,1900,Saturday,False,https://www.odmp.org/officer/15612-police-officer-william-davis-mitchell,https://www.odmp.org/media/image/officer/15612/125/15612.jpg
Hugh McGovern,Keeper,New York City Department of Correction,NY,Assault,1900-10-29,1900,Monday,False,https://www.odmp.org/officer/16331-keeper-hugh-mcgovern,https://www.odmp.org/media/image/officer/16331/125/16331.jpg
Samuel Cooper,Patrolman,South Bend Police Department,IN,Gunfire,1900-11-01,1900,Thursday,False,https://www.odmp.org/officer/3430-patrolman-samuel-cooper,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Special  Stuart K. Harvey,Officer,Denver Police Department,CO,Gunfire,1900-11-06,1900,Tuesday,False,https://www.odmp.org/officer/21185-special-officer-stuart-k-harvey,https://www.odmp.org/media/image/officer/21185/125/special-officer-stuart-harvey.jpg
"City  Joseph Fishback, Sr.",Marshal,Cannelton Police Department,IN,Gunfire,1900-11-07,1900,Wednesday,False,https://www.odmp.org/officer/25327-city-marshal-joseph-fishback-sr,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
George T. Young,Sheriff,Park County Sheriff's Office,MT,Gunfire,1900-11-09,1900,Friday,False,https://www.odmp.org/officer/14620-sheriff-george-t-young,https://www.odmp.org/media/image/officer/14620/125/c_george_young.jpg
Charles O. Conaway,Policeman,Philadelphia Police Department,PA,Struck by streetcar,1900-11-10,1900,Saturday,False,https://www.odmp.org/officer/3315-policeman-charles-o-conaway,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John Lighter Frost,Sheriff,Chambers County Sheriff's Office,TX,Gunfire,1900-11-10,1900,Saturday,False,https://www.odmp.org/officer/15979-sheriff-john-lighter-frost,https://www.odmp.org/media/image/officer/15979/125/c_john-frost.jpg
John Horan,Police,Louisville Police Department,KY,Animal related,1900-11-15,1900,Thursday,False,https://www.odmp.org/officer/20346-police-officer-john-horan,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Daniel Jenkins,Constable,Bastrop County Constable's Office - Precinct 2,TX,Gunfire,1900-11-23,1900,Friday,False,https://www.odmp.org/officer/20878-constable-daniel-jenkins,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Mathew Wilson,Constable,Cobleskill Police Department,NY,Gunfire,1900-11-27,1900,Tuesday,False,https://www.odmp.org/officer/14349-constable-mathew-wilson,https://www.odmp.org/media/image/officer/14349/125/14349.jpg
of  William T. Strange,Chief,Lake City Police Department,FL,Gunfire,1900-11-28,1900,Wednesday,False,https://www.odmp.org/officer/12890-chief-of-police-william-t-strange,https://www.odmp.org/media/image/officer/12890/125/12890.jpg
James Lawrence Kent,Policeman,Ottumwa Police Department,IA,Gunfire (Inadvertent),1900-11-28,1900,Wednesday,False,https://www.odmp.org/officer/21914-policeman-james-lawrence-kent,https://www.odmp.org/media/image/officer/21914/125/c_kent%2C-james.jpg
Henry H. Raley,Officer,Jacksonville Police Department,FL,Gunfire,1900-11-29,1900,Thursday,False,https://www.odmp.org/officer/10980-officer-henry-h-raley,https://www.odmp.org/media/image/officer/10980/125/10980.jpg
William M. Lacey,Patrolman,San Antonio Police Department,TX,Gunfire,1900-11-29,1900,Thursday,False,https://www.odmp.org/officer/7796-patrolman-william-m-lacey,https://www.odmp.org/media/image/officer/7796/125/7796.jpg
William Baumeister,Patrolman,New York City Police Department,NY,Gunfire,1900-11-30,1900,Friday,False,https://www.odmp.org/officer/1600-patrolman-william-baumeister,https://www.odmp.org/media/image/officer/1600/125/william-baumeister.jpg
Night  Reuben J. Chappell,Watchman,Pierce City Police Department,MO,Gunfire,1900-12-03,1900,Monday,False,https://www.odmp.org/officer/2982-night-watchman-reuben-j-chappell,https://www.odmp.org/media/image/officer/2982/125/c_reuben_j_chappell.jpg
Jefferson Davis Surratt,Sheriff,United States Department of the Interior - Bureau of Indian Affairs - Office of Justice Services,US,Gunfire,1900-12-05,1900,Wednesday,False,https://www.odmp.org/officer/13006-sheriff-jefferson-davis-surratt,https://www.odmp.org/media/image/officer/13006/125/c_jeff-surratt-headstone.jpg
Raphael A. Girard,Patrolman,Hannibal Police Department,MO,Gunfire,1900-12-16,1900,Sunday,False,https://www.odmp.org/officer/5479-patrolman-raphael-a-girard,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
Town  Walter E. Richardson,Marshal,Gulfport Police Department,MS,Gunfire,1900-12-19,1900,Wednesday,False,https://www.odmp.org/officer/16707-town-marshal-walter-e-richardson,https://336c5c855b5779d81c79-2f69aaeddb7b46c0053eff946dbce2fe.ssl.cf5.rackcdn.com/images/no-photo-125.png
John J. Streb,Deputy,Silver Bow County Sheriff's Department,MT,Animal related,1900-12-20,1900,Thursday,False,https://www.odmp.org/officer/12898-deputy-sheriff-john-j-streb,https://www.odmp.org/media/image/officer/12898/125/streb%2C-john-.jpg
