county,fips,city,population,zcta_id,zcta_name
Los Angeles,037,Los Angeles - Cadillac-Corning,7121,,
Los Angeles,037,Los Angeles - Canoga Park,65289,,
Los Angeles,037,Los Angeles - Carthay,14363,,
Los Angeles,037,Los Angeles - Central,38992,,
Los Angeles,037,Los Angeles - Century City,12792,,
Los Angeles,037,Los Angeles - Century Palms/Cove,33766,,
Los Angeles,037,Los Angeles - Chatsworth,37061,,
Los Angeles,037,Los Angeles - Cheviot Hills,9171,,
Los Angeles,037,Los Angeles - Chinatown,8021,,
Los Angeles,037,Los Angeles - Cloverdale/Cochran,14553,,
Los Angeles,037,Los Angeles - Country Club Park,15153,,
Los Angeles,037,Los Angeles - Crenshaw District,13829,,
Los Angeles,037,Los Angeles - Crestview,11368,,
Los Angeles,037,Los Angeles - Del Rey,29936,,
Los Angeles,037,Los Angeles - Downtown,27507,,
Los Angeles,037,Los Angeles - Eagle Rock,39589,,
Los Angeles,037,Los Angeles - East Hollywood,29287,,
Los Angeles,037,Los Angeles - Echo Park,14256,,
Los Angeles,037,Los Angeles - El Sereno,41808,,
Los Angeles,037,Los Angeles - Elysian Park,5712,,
Los Angeles,037,Los Angeles - Elysian Valley,10171,,
Los Angeles,037,Los Angeles - Encino,45172,,
Los Angeles,037,Los Angeles - Exposition,3326,,
Los Angeles,037,Los Angeles - Exposition Park,44917,,
Los Angeles,037,Los Angeles - Faircrest Heights,3600,,
Los Angeles,037,Los Angeles - Figueroa Park Square,8721,,
Los Angeles,037,Los Angeles - Florence-Firestone,47445,,
Los Angeles,037,Los Angeles - Glassell Park,31604,,
Los Angeles,037,Los Angeles - Gramercy Place,10764,,
Los Angeles,037,Los Angeles - Granada Hills,58191,,
Los Angeles,037,Los Angeles - Green Meadows,21505,,
Los Angeles,037,Los Angeles - Hancock Park,17039,,
Los Angeles,037,Los Angeles - Harbor City,29070,,
Los Angeles,037,Los Angeles - Harbor Gateway,43600,,
Los Angeles,037,Los Angeles - Harbor Pines,2409,,
Los Angeles,037,Los Angeles - Harvard Heights,18035,,
Los Angeles,037,Los Angeles - Harvard Park,37935,,
Los Angeles,037,Los Angeles - Highland Park,48391,,
Los Angeles,037,Los Angeles - Historic Filipinotown,13870,,
Los Angeles,037,Los Angeles - Hollywood,68254,,
Los Angeles,037,Los Angeles - Hollywood Hills,29434,,
Los Angeles,037,Los Angeles - Hyde Park,28541,,
Los Angeles,037,Los Angeles - Jefferson Park,8073,,
Los Angeles,037,Los Angeles - Koreatown,51693,,
Los Angeles,037,Los Angeles - Lafayette Square,4559,,
Los Angeles,037,Los Angeles - Lake Balboa,42206,,
Los Angeles,037,Los Angeles - Lakeview Terrace,13133,,
Los Angeles,037,Los Angeles - Leimert Park,15235,,
Los Angeles,037,Los Angeles - Lincoln Heights,32597,,
Los Angeles,037,Los Angeles - Little Armenia,8025,,
Los Angeles,037,Los Angeles - Little Bangladesh,28343,,
Los Angeles,037,Los Angeles - Little Tokyo,3133,,
Los Angeles,037,Los Angeles - Longwood,4304,,
Los Angeles,037,Los Angeles - Los Feliz,21608,,
Los Angeles,037,Los Angeles - Manchester Square,8536,,
Los Angeles,037,Los Angeles - Mandeville Canyon,3124,,
Los Angeles,037,Los Angeles - Mar Vista,42471,,
Los Angeles,037,Los Angeles - Marina Peninsula,4360,,
Los Angeles,037,Los Angeles - Melrose,77696,,
Los Angeles,037,Los Angeles - Mid-city,15030,,
Los Angeles,037,Los Angeles - Miracle Mile,17985,,
Los Angeles,037,Los Angeles - Mission Hills,24124,,
Los Angeles,037,Los Angeles - Mt. Washington,24145,,
Los Angeles,037,Los Angeles - North Hills,61575,,
Los Angeles,037,Los Angeles - North Hollywood,151421,,
Los Angeles,037,Los Angeles - Northridge,69797,,
Los Angeles,037,Los Angeles - Pacific Palisades,21291,,
Los Angeles,037,Los Angeles - Pacoima,76979,,
Los Angeles,037,Los Angeles - Palisades Highlands,3846,,
Los Angeles,037,Los Angeles - Palms,43877,,
Los Angeles,037,Los Angeles - Panorama City,75250,,
Los Angeles,037,Los Angeles - Park La Brea,13580,,
Los Angeles,037,Los Angeles - Pico-Union,41842,,
Los Angeles,037,Los Angeles - Playa Del Rey,3196,,
Los Angeles,037,Los Angeles - Playa Vista,10947,,
Los Angeles,037,Los Angeles - Porter Ranch,35588,,
Los Angeles,037,Los Angeles - Rancho Park,6560,,
Los Angeles,037,Los Angeles - Regent Square,2780,,
Los Angeles,037,Los Angeles - Reseda,76617,,
Los Angeles,037,Los Angeles - Reseda Ranch,4636,,
Los Angeles,037,Los Angeles - Reynier Village,4228,,
Los Angeles,037,Los Angeles - San Pedro,78038,,
Los Angeles,037,Los Angeles - Shadow Hills,4442,,
Los Angeles,037,Los Angeles - Sherman Oaks,87254,,
Los Angeles,037,Los Angeles - Silverlake,44083,,
Los Angeles,037,Los Angeles - South Carthay,10595,,
Los Angeles,037,Los Angeles - South Park,37961,,
Los Angeles,037,Los Angeles - St Elmo Village,4584,,
Los Angeles,037,Los Angeles - Studio City,22440,,
Los Angeles,037,Los Angeles - Sun Valley,52483,,
Los Angeles,037,Los Angeles - Sunland,20408,,
Los Angeles,037,Los Angeles - Sycamore Square,647,,
Los Angeles,037,Los Angeles - Sylmar,82398,,
Los Angeles,037,Los Angeles - Tarzana,30876,,
Los Angeles,037,Los Angeles - Temple-Beaudry,39482,,
Los Angeles,037,Los Angeles - Thai Town,9809,,
Los Angeles,037,Los Angeles - Toluca Lake,8704,,
Los Angeles,037,Los Angeles - Toluca Terrace,1306,,
Los Angeles,037,Los Angeles - Toluca Woods,1858,,
Los Angeles,037,Los Angeles - Tujunga,27810,,
Los Angeles,037,Los Angeles - University Hills,3429,,
Los Angeles,037,Los Angeles - University Park,27456,,
Los Angeles,037,Los Angeles - Valley Glen,30016,,
Los Angeles,037,Los Angeles - Valley Village,24720,,
Los Angeles,037,Los Angeles - Van Nuys,93194,,
Los Angeles,037,Los Angeles - Venice,33885,,
Los Angeles,037,Los Angeles - Vermont Knolls,17200,,
Los Angeles,037,Los Angeles - Vermont Square,7657,,
Los Angeles,037,Los Angeles - Vermont Vista,41186,,
Los Angeles,037,Los Angeles - Vernon Central,51998,,
Los Angeles,037,Los Angeles - Victoria Park,8399,,
Los Angeles,037,Los Angeles - View Heights,3694,,
Los Angeles,037,Los Angeles - Watts,42674,,
Los Angeles,037,Los Angeles - Wellington Square,4915,,
Los Angeles,037,Los Angeles - West Adams,27630,,
Los Angeles,037,Los Angeles - West Hills,40545,,
Los Angeles,037,Los Angeles - West Los Angeles,37636,,
Los Angeles,037,Los Angeles - West Vernon,53644,,
Los Angeles,037,Los Angeles - Westchester,51603,,
Los Angeles,037,Los Angeles - Westlake,59355,,
Los Angeles,037,Los Angeles - Westwood,54109,,
Los Angeles,037,Los Angeles - Wholesale District,36129,,
Los Angeles,037,Los Angeles - Wilmington,56487,,
Los Angeles,037,Los Angeles - Wilshire Center,50170,,
Los Angeles,037,Los Angeles - Winnetka,51786,,
Los Angeles,037,Los Angeles - Woodland Hills,68055,,
Los Angeles,037,Unincorporated - Acton,7971,,
Los Angeles,037,Unincorporated - Agua Dulce,4158,,
Los Angeles,037,Unincorporated - Altadena,43620,,
Los Angeles,037,Unincorporated - Anaverde,1508,,
Los Angeles,037,Unincorporated - Angeles National Forest,1245,,
Los Angeles,037,Unincorporated - Arcadia,7981,,
Los Angeles,037,Unincorporated - Athens Village,4897,,
Los Angeles,037,Unincorporated - Athens-Westmont,42442,,
Los Angeles,037,Unincorporated - Avocado Heights,6775,,
Los Angeles,037,Unincorporated - Azusa,15923,,
Los Angeles,037,Unincorporated - Bassett,14817,,
Los Angeles,037,Unincorporated - Bouquet Canyon,1073,,
Los Angeles,037,Unincorporated - Bradbury,108,,
Los Angeles,037,Unincorporated - Canyon Country,7728,,
Los Angeles,037,Unincorporated - Castaic,27191,,
Los Angeles,037,Unincorporated - Cerritos,587,,
Los Angeles,037,Unincorporated - Claremont,702,,
Los Angeles,037,Unincorporated - Covina,16819,,
Los Angeles,037,Unincorporated - Covina (Charter Oak),13144,,
Los Angeles,037,Unincorporated - Del Aire,4393,,
Los Angeles,037,Unincorporated - Del Rey,318,,
Los Angeles,037,Unincorporated - Del Sur,2415,,
Los Angeles,037,Unincorporated - Desert View Highlands,2493,,
Los Angeles,037,Unincorporated - Duarte,4428,,
Los Angeles,037,Unincorporated - East Covina,329,,
Los Angeles,037,Unincorporated - East La Mirada,5292,,
Los Angeles,037,Unincorporated - East Lancaster,114,,
Los Angeles,037,Unincorporated - East Los Angeles,125269,,
Los Angeles,037,Unincorporated - East Pasadena,6403,,
Los Angeles,037,Unincorporated - East Rancho Dominguez,15308,,
Los Angeles,037,Unincorporated - East Whittier,5306,,
Los Angeles,037,Unincorporated - El Camino Village,8791,,
Los Angeles,037,Unincorporated - El Monte,145,,
Los Angeles,037,Unincorporated - Elizabeth Lake,1661,,
Los Angeles,037,Unincorporated - Florence-Firestone,64705,,
Los Angeles,037,Unincorporated - Glendora,660,,
Los Angeles,037,Unincorporated - Hacienda Heights,55926,,
Los Angeles,037,Unincorporated - Hawthorne,2514,,
Los Angeles,037,Unincorporated - Hi Vista,1098,,
Los Angeles,037,Unincorporated - Kagel/Lopez Canyons,1412,,
Los Angeles,037,Unincorporated - La Crescenta-Montrose,19801,,
Los Angeles,037,Unincorporated - La Habra Heights,676,,
Los Angeles,037,Unincorporated - La Rambla,2075,,
Los Angeles,037,Unincorporated - La Verne,2040,,
Los Angeles,037,Unincorporated - Ladera Heights,7071,,
Los Angeles,037,Unincorporated - Lake Hughes,668,,
Los Angeles,037,Unincorporated - Lake Los Angeles,12994,,
Los Angeles,037,Unincorporated - Lake Manor,1643,,
Los Angeles,037,Unincorporated - Lennox,22542,,
Los Angeles,037,Unincorporated - Leona Valley,1751,,
Los Angeles,037,Unincorporated - Littlerock,4021,,
Los Angeles,037,Unincorporated - Littlerock/Juniper Hills,1297,,
Los Angeles,037,Unincorporated - Littlerock/Pearblossom,3569,,
Los Angeles,037,Unincorporated - Llano,877,,
Los Angeles,037,Unincorporated - Marina del Rey,9411,,
Los Angeles,037,Unincorporated - Monrovia,3881,,
Los Angeles,037,Unincorporated - Newhall,220,,
Los Angeles,037,Unincorporated - North Lancaster,1198,,
Los Angeles,037,Unincorporated - North Whittier,8360,,
Los Angeles,037,Unincorporated - Northeast San Gabriel,24036,,
Los Angeles,037,Unincorporated - Palmdale,842,,
Los Angeles,037,Unincorporated - Palos Verdes Peninsula,621,,
Los Angeles,037,Unincorporated - Pearblossom/Llano,1956,,
Los Angeles,037,Unincorporated - Pellissier Village,619,,
Los Angeles,037,Unincorporated - Pomona,1938,,
Los Angeles,037,Unincorporated - Quartz Hill,12906,,
Los Angeles,037,Unincorporated - Rancho Dominguez,2661,,
Los Angeles,037,Unincorporated - Roosevelt,931,,
Los Angeles,037,Unincorporated - Rosewood,1286,,
Los Angeles,037,Unincorporated - Rosewood/East Gardena,1193,,
Los Angeles,037,Unincorporated - Rosewood/West Rancho Dominguez,3361,,
Los Angeles,037,Unincorporated - Rowland Heights,51022,,
Los Angeles,037,Unincorporated - San Francisquito Canyon/Bouquet Canyon,858,,
Los Angeles,037,Unincorporated - San Jose Hills,20221,,
Los Angeles,037,Unincorporated - San Pasqual,2035,,
Los Angeles,037,Unincorporated - Sand Canyon,308,,
Los Angeles,037,Unincorporated - Santa Catalina Island,267,,
Los Angeles,037,Unincorporated - Santa Monica Mountains,18621,,
Los Angeles,037,Unincorporated - Saugus,155,,
Los Angeles,037,Unincorporated - Saugus/Canyon Country,356,,
Los Angeles,037,Unincorporated - South Antelope Valley,455,,
Los Angeles,037,Unincorporated - South El Monte,1795,,
Los Angeles,037,Unincorporated - South San Gabriel,8848,,
Los Angeles,037,Unincorporated - South Whittier,59222,,
Los Angeles,037,Unincorporated - Southeast Antelope Valley,781,,
Los Angeles,037,Unincorporated - Stevenson Ranch,20966,,
Los Angeles,037,Unincorporated - Sun Village,6036,,
Los Angeles,037,Unincorporated - Sunrise Village,1296,,
Los Angeles,037,Unincorporated - Twin Lakes/Oat Mountain,1658,,
Los Angeles,037,Unincorporated - Val Verde,3309,,
Los Angeles,037,Unincorporated - Valencia,3072,,
Los Angeles,037,Unincorporated - Valinda,23371,,
Los Angeles,037,Unincorporated - View Park/Windsor Hills,11635,,
Los Angeles,037,Unincorporated - Walnut Park,16143,,
Los Angeles,037,Unincorporated - West Antelope Valley,1511,,
Los Angeles,037,Unincorporated - West Carson,22086,,
Los Angeles,037,Unincorporated - West LA,952,,
Los Angeles,037,Unincorporated - West Puente Valley,9835,,
Los Angeles,037,Unincorporated - West Rancho Dominguez,1359,,
Los Angeles,037,Unincorporated - West Whittier/Los Nietos,26925,,
Los Angeles,037,Unincorporated - Westfield/Academy Hills,1300,,
Los Angeles,037,Unincorporated - Westhills,839,,
Los Angeles,037,Unincorporated - White Fence Farms,3683,,
Los Angeles,037,Unincorporated - Whittier,3784,,
Los Angeles,037,Unincorporated - Whittier Narrows,12,,
Los Angeles,037,Unincorporated - Willowbrook,34913,,
Los Angeles,037,Unincorporated - Wiseburn,6027,,
Los Angeles,037,Unincorporated - Franklin Canyon,12,,
Los Angeles,037,Unincorporated - Harbor Gateway,1,,
Los Angeles,037,Unincorporated - Placerita Canyon,460,,
Los Angeles,037,Unincorporated - Charter Oak,9046,,
Los Angeles,037,Unincorporated - San Clemente Island,148,,
Los Angeles,037,City of Long Beach,462645,,
Los Angeles,037,City of Pasadena,141040,,
Los Angeles,037,Los Angeles,3979537,,
Long Beach,,90755: Long Beach,11555,90755,Long Beach
Long Beach,,90802: Long Beach,39453,90802,Long Beach
Long Beach,,90803: Long Beach,32389,90803,Long Beach
Long Beach,,90804: Long Beach,39344,90804,Long Beach
Long Beach,,90805: Long Beach,96708,90805,Long Beach
Long Beach,,90806: Long Beach,42817,90806,Long Beach
Long Beach,,90807: Long Beach,32067,90807,Long Beach
Long Beach,,90808: Long Beach,38860,90808,Long Beach
Long Beach,,90810: Long Beach,38579,90810,Long Beach
Long Beach,,90813: Long Beach,59000,90813,Long Beach
Long Beach,,90814: Long Beach,18587,90814,Long Beach
Long Beach,,90815: Long Beach,41026,90815,Long Beach
Ventura,111,91307: Bell Canyon,2391,91307,Bell Canyon
Ventura,111,91320: Thousand Oaks/Newbury Park,46191,91320,Thousand Oaks/Newbury Park
Ventura,111,91360: Thousand Oaks,42104,91360,Thousand Oaks
Ventura,111,91361: Thousand Oaks/Lake Sherwood/Westlake,20487,91361,Thousand Oaks/Lake Sherwood/Westlake
Ventura,111,91362: Thousand Oaks/Westlake,36980,91362,Thousand Oaks/Westlake
Ventura,111,91377: Oak Park,14226,91377,Oak Park
Ventura,111,93001: Ventura,33139,93001,Ventura
Ventura,111,93003: Ventura,51304,93003,Ventura
Ventura,111,93004: Ventura,30473,93004,Ventura
Ventura,111,93010: Camarillo,44240,93010,Camarillo
Ventura,111,93012: Camarillo/Santa Rosa Valley,37622,93012,Camarillo/Santa Rosa Valley
Ventura,111,93015: Fillmore,18832,93015,Fillmore
Ventura,111,93021: Moorpark,38325,93021,Moorpark
Ventura,111,93022: Oak View,5550,93022,Oak View
Ventura,111,93023: Ojai,20656,93023,Ojai
Ventura,111,93030: Oxnard,62016,93030,Oxnard
Ventura,111,93033: Oxnard,83319,93033,Oxnard
Ventura,111,93035: Oxnard,28321,93035,Oxnard
Ventura,111,93036: Oxnard,48022,93036,Oxnard
Ventura,111,93040: Piru,1831,93040,Piru
Ventura,111,93041: Port Hueneme,24129,93041,Port Hueneme
Ventura,111,93060: Santa Paula,34229,93060,Santa Paula
Ventura,111,93063: Simi Valley (Santa Susana),56563,93063,Simi Valley (Santa Susana)
Ventura,111,93065: Simi Valley,74780,93065,Simi Valley
Ventura,111,93066: Somis,3481,93066,Somis
Orange,059,Coto De Caza,14931,,
Orange,059,Ladera Ranch,30288,,
Orange,059,Aliso Viejo,51372,,
Orange,059,Anaheim,359339,,
Orange,059,Brea,45606,,
Orange,059,Buena Park,83384,,
Orange,059,Costa Mesa,115830,,
Orange,059,Cypress,49833,,
Orange,059,Dana Point,34249,,
Orange,059,Fountain Valley,56652,,
Orange,059,Fullerton,142824,,
Orange,059,Garden Grove,175155,,
Orange,059,Huntington Beach,203761,,
Orange,059,Irvine,280202,,
Orange,059,La Habra,63542,,
Orange,059,La Palma,15820,,
Orange,059,Laguna Beach,23358,,
Orange,059,Laguna Hills,31572,,
Orange,059,Laguna Niguel,66748,,
Orange,059,Laguna Woods,16518,,
Orange,059,Lake Forest,86346,,
Orange,059,Los Alamitos,11721,,
Orange,059,Midway City,8374,,
Orange,059,Mission Viejo,96434,,
Orange,059,Newport Beach,87180,,
Orange,059,Orange,141691,,
Orange,059,Placentia,52333,,
Orange,059,Rancho Santa Margarita,48960,,
Orange,059,San Clemente,65405,,
Orange,059,San Juan Capistrano,36821,,
Orange,059,Santa Ana,337716,,
Orange,059,Seal Beach,25073,,
Orange,059,Stanton,39307,,
Orange,059,Tustin,81369,,
Orange,059,Villa Park,5933,,
Orange,059,Westminster,92610,,
Orange,059,Yorba Linda,68706,,
Orange,059,Rancho Mission Viejo,0,,
Orange,059,Trabuco Canyon,0,,
Orange,059,Rossmoor,11160,,
Orange,059,Silverado,0,,
San Bernardino,071,Adelanto,35234,,
San Bernardino,071,Angelus Oaks,385,,
San Bernardino,071,Apple Valley,73694,,
San Bernardino,071,Arrowbear,723,,
San Bernardino,071,Baker,799,,
San Bernardino,071,Baldy Mesa,1504,,
San Bernardino,071,Barstow,23754,,
San Bernardino,071,Big Bear City,10045,,
San Bernardino,071,Big Bear Lake,5231,,
San Bernardino,071,Big River,1264,,
San Bernardino,071,Bloomington,17115,,
San Bernardino,071,Blue Jay,900,,
San Bernardino,071,Cedar Glen,739,,
San Bernardino,071,Chino,93099,,
San Bernardino,071,Chino Hills,82917,,
San Bernardino,071,Colton,54636,,
San Bernardino,071,Crestline,8010,,
San Bernardino,071,Daggett,549,,
San Bernardino,071,Devore,2283,,
San Bernardino,071,Fawnskin,528,,
San Bernardino,071,Fontana,215334,,
San Bernardino,071,Forest Falls,920,,
San Bernardino,071,Grand Terrace,12403,,
San Bernardino,071,Green Valley Lake,412,,
San Bernardino,071,Helendale,6629,,
San Bernardino,071,Hesperia,97312,,
San Bernardino,071,Highland,55484,,
San Bernardino,071,Hinkley,1259,,
San Bernardino,071,Joshua Tree,9887,,
San Bernardino,071,Lake Arrowhead,8104,,
San Bernardino,071,Landers,2983,,
San Bernardino,071,Loma Linda,25260,,
San Bernardino,071,Lucerne Valley,7041,,
San Bernardino,071,Lytle Creek,837,,
San Bernardino,071,Mentone,9255,,
San Bernardino,071,Montclair,40415,,
San Bernardino,071,Morongo Valley,3739,,
San Bernardino,071,Mt Baldy,537,,
San Bernardino,071,Muscoy,11536,,
San Bernardino,071,Needles,4964,,
San Bernardino,071,Newberry Springs,2215,,
San Bernardino,071,Oak Glen,625,,
San Bernardino,071,Oak Hills,9488,,
San Bernardino,071,Ontario,182380,,
San Bernardino,071,Oro Grande,1137,,
San Bernardino,071,Phelan,14757,,
San Bernardino,071,Piñon Hills,8042,,
San Bernardino,071,Pioneertown,365,,
San Bernardino,071,Rancho Cucamonga,177037,,
San Bernardino,071,Redlands,72099,,
San Bernardino,071,Rialto,103884,,
San Bernardino,071,Rimforest,756,,
San Bernardino,071,Running Springs,4661,,
San Bernardino,071,San Bernardino,218515,,
San Bernardino,071,Sugarloaf,3137,,
San Bernardino,071,Trona,1191,,
San Bernardino,071,Twentynine Palms,24966,,
San Bernardino,071,Twin Peaks,2493,,
San Bernardino,071,Upland,78249,,
San Bernardino,071,Victorville,128353,,
San Bernardino,071,Wrightwood,5177,,
San Bernardino,071,Yermo,1672,,
San Bernardino,071,Yucaipa,54490,,
San Bernardino,071,Yucca Valley,22146,,
Kern,029,93203: Arvin,22471,93203,Arvin
Kern,029,93205: Bodfish,1593,93205,Bodfish
Kern,029,93206: Buttonwillow,2044,93206,Buttonwillow
Kern,029,93215: Delano,55845,93215,Delano
Kern,029,93220: Edison,313,93220,Edison
Kern,029,93222: Pine Mountain Club,1420,93222,Pine Mountain Club
Kern,029,93224: Fellows,402,93224,Fellows
Kern,029,93225: Frazier Park,5319,93225,Frazier Park
Kern,029,93226: Glennville,195,93226,Glennville
Kern,029,93238: Kernville,1408,93238,Kernville
Kern,029,93240: Lake Isabella,6960,93240,Lake Isabella
Kern,029,93241: Lamont,16969,93241,Lamont
Kern,029,93243: Lebec,1709,93243,Lebec
