timestamp,value,date,dollars_per_bushel
1647993600000,1105.75,2022-03-23,11.06
1648080000000,1085.75,2022-03-24,10.86
1648166400000,1102.25,2022-03-25,11.02
1648425600000,1057.0,2022-03-28,10.57
1648512000000,1014.25,2022-03-29,10.14
1648598400000,1027.25,2022-03-30,10.27
1648684800000,1006.0,2022-03-31,10.06
1648771200000,984.5,2022-04-01,9.85
1649030400000,1010.25,2022-04-04,10.1
1649116800000,1045.25,2022-04-05,10.45
1649203200000,1038.25,2022-04-06,10.38
1649289600000,1020.0,2022-04-07,10.2
1649376000000,1051.5,2022-04-08,10.52
1649635200000,1081.25,2022-04-11,10.81
1649721600000,1103.75,2022-04-12,11.04
1649808000000,1121.25,2022-04-13,11.21
1649894400000,1104.5,2022-04-14,11.04
1650240000000,1128.75,2022-04-18,11.29
1650326400000,1109.0,2022-04-19,11.09
1650412800000,1097.5,2022-04-20,10.98
1650499200000,1076.5,2022-04-21,10.76
1650585600000,1075.25,2022-04-22,10.75
1650844800000,1072.5,2022-04-25,10.72
1650931200000,1095.0,2022-04-26,10.95
1651017600000,1091.25,2022-04-27,10.91
1651104000000,1085.75,2022-04-28,10.86
1651190400000,1055.75,2022-04-29,10.56
1651449600000,1055.5,2022-05-02,10.56
1651536000000,1045.5,2022-05-03,10.46
1651622400000,1076.5,2022-05-04,10.76
1651708800000,1106.5,2022-05-05,11.06
1651795200000,1108.5,2022-05-06,11.08
1652054400000,1092.75,2022-05-09,10.93
1652140800000,1092.75,2022-05-10,10.93
1652227200000,1113.0,2022-05-11,11.13
1652313600000,1178.75,2022-05-12,11.79
1652400000000,1177.5,2022-05-13,11.78
1652659200000,1247.5,2022-05-16,12.48
1652745600000,1277.5,2022-05-17,12.78
1652832000000,1230.75,2022-05-18,12.31
1652918400000,1200.5,2022-05-19,12.0
1653004800000,1168.75,2022-05-20,11.69
1653264000000,1190.0,2022-05-23,11.9
1653350400000,1154.75,2022-05-24,11.55
1653436800000,1148.25,2022-05-25,11.48
1653523200000,1143.25,2022-05-26,11.43
1653609600000,1157.5,2022-05-27,11.58
1653955200000,1087.5,2022-05-31,10.88
1654041600000,1041.25,2022-06-01,10.41
1654128000000,1058.25,2022-06-02,10.58
1654214400000,1040.0,2022-06-03,10.4
1654473600000,1093.0,2022-06-06,10.93
1654560000000,1071.75,2022-06-07,10.72
1654646400000,1074.75,2022-06-08,10.75
1654732800000,1071.25,2022-06-09,10.71
1654819200000,1070.75,2022-06-10,10.71
1655078400000,1071.0,2022-06-13,10.71
1655164800000,1050.25,2022-06-14,10.5
1655251200000,1050.0,2022-06-15,10.5
1655337600000,1078.25,2022-06-16,10.78
1655424000000,1034.25,2022-06-17,10.34
1655769600000,975.25,2022-06-21,9.75
1655856000000,988.75,2022-06-22,9.89
1655942400000,949.25,2022-06-23,9.49
1656028800000,936.5,2022-06-24,9.36
1656288000000,917.5,2022-06-27,9.18
1656374400000,936.0,2022-06-28,9.36
1656460800000,930.0,2022-06-29,9.3
1656547200000,884.0,2022-06-30,8.84
1656633600000,846.0,2022-07-01,8.46
1656979200000,807.0,2022-07-05,8.07
1657065600000,804.5,2022-07-06,8.04
1657152000000,836.5,2022-07-07,8.36
1657238400000,891.5,2022-07-08,8.91
1657497600000,856.5,2022-07-11,8.56
1657584000000,814.25,2022-07-12,8.14
1657670400000,810.75,2022-07-13,8.11
1657756800000,795.0,2022-07-14,7.95
1657843200000,776.75,2022-07-15,7.77
1658102400000,812.75,2022-07-18,8.13
1658188800000,812.25,2022-07-19,8.12
1658275200000,819.5,2022-07-20,8.2
1658361600000,806.25,2022-07-21,8.06
1658448000000,759.0,2022-07-22,7.59
1658707200000,770.0,2022-07-25,7.7
1658793600000,803.75,2022-07-26,8.04
1658880000000,790.25,2022-07-27,7.9
1658966400000,817.0,2022-07-28,8.17
1659052800000,807.75,2022-07-29,8.08
1659312000000,800.25,2022-08-01,8.0
1659398400000,774.75,2022-08-02,7.75
1659484800000,763.75,2022-08-03,7.64
1659571200000,782.5,2022-08-04,7.82
1659657600000,775.75,2022-08-05,7.76
1659916800000,779.75,2022-08-08,7.8
1660003200000,781.5,2022-08-09,7.82
1660089600000,799.75,2022-08-10,8.0
1660176000000,810.75,2022-08-11,8.11
1660262400000,806.0,2022-08-12,8.06
1660521600000,800.75,2022-08-15,8.01
1660608000000,802.75,2022-08-16,8.03
1660694400000,780.5,2022-08-17,7.8
1660780800000,749.0,2022-08-18,7.49
1660867200000,771.0,2022-08-19,7.71
1661126400000,788.25,2022-08-22,7.88
1661212800000,800.5,2022-08-23,8.01
1661299200000,813.25,2022-08-24,8.13
1661385600000,789.0,2022-08-25,7.89
1661472000000,805.25,2022-08-26,8.05
1661731200000,842.75,2022-08-29,8.43
1661817600000,820.25,2022-08-30,8.2
1661904000000,831.5,2022-08-31,8.32
1661990400000,794.25,2022-09-01,7.94
1662076800000,811.0,2022-09-02,8.11
1662422400000,817.0,2022-09-06,8.17
1662508800000,844.25,2022-09-07,8.44
1662595200000,829.0,2022-09-08,8.29
1662681600000,869.5,2022-09-09,8.7
1662940800000,858.75,2022-09-12,8.59
1663027200000,860.5,2022-09-13,8.6
1663113600000,872.25,2022-09-14,8.72
1663200000000,845.0,2022-09-15,8.45
1663286400000,859.75,2022-09-16,8.6
1663545600000,830.5,2022-09-19,8.3
1663632000000,893.75,2022-09-20,8.94
1663718400000,903.75,2022-09-21,9.04
1663804800000,910.75,2022-09-22,9.11
1663891200000,880.5,2022-09-23,8.8
1664150400000,858.0,2022-09-26,8.58
1664236800000,871.5,2022-09-27,8.72
1664323200000,903.25,2022-09-28,9.03
1664409600000,896.25,2022-09-29,8.96
1664496000000,921.5,2022-09-30,9.22
1664755200000,912.0,2022-10-03,9.12
1664841600000,903.0,2022-10-04,9.03
1664928000000,902.0,2022-10-05,9.02
1665014400000,879.0,2022-10-06,8.79
1665100800000,880.25,2022-10-07,8.8
1665360000000,938.0,2022-10-10,9.38
1665446400000,901.0,2022-10-11,9.01
1665532800000,882.25,2022-10-12,8.82
1665619200000,892.25,2022-10-13,8.92
1665705600000,861.25,2022-10-14,8.61
