date,democratic,republican
2021-07-26,50435.0,84266.0
2021-07-27,85176.0,143164.0
2021-07-28,67840.0,161789.0
2021-07-29,62249.0,113374.0
2021-07-31,54952.0,85888.0
2021-08-01,155349.0,156715.0
2021-08-02,116538.0,147802.0
2021-08-03,110979.0,117371.0
2021-08-04,93910.0,65828.0
2021-08-05,83412.0,55592.0
2021-08-06,85271.0,55963.0
2021-08-07,71507.0,66231.0
2021-08-08,59092.0,53655.0
2021-08-09,63645.0,51809.0
2021-08-11,65907.0,64100.0
2021-08-12,56603.0,50916.0
2021-08-13,56731.0,50971.0
2021-08-14,62248.0,43971.0
2021-08-15,49291.0,48997.0
2021-08-16,69151.0,60956.0
2021-08-17,65935.0,62163.0
2021-08-18,62880.0,79170.0
2021-08-19,67454.0,63788.0
2021-08-21,45244.0,59624.0
2021-08-22,43610.0,73950.0
2021-08-23,53823.0,65596.0
2021-08-24,64153.0,74513.0
2021-08-25,84284.0,87572.0
2021-08-26,61230.0,70714.0
2021-08-27,61504.0,81662.0
2021-08-28,48341.0,61461.0
2021-08-29,43236.0,52027.0
2021-08-31,55292.0,109157.0
2021-09-01,104295.0,188396.0
2021-09-02,103872.0,120120.0
2021-09-03,149377.0,155543.0
2021-09-04,42665.0,46526.0
2021-09-05,43244.0,50790.0
2021-09-06,39219.0,46478.0
2021-09-07,43657.0,53515.0
2021-09-08,53575.0,50886.0
2021-09-09,52741.0,46619.0
2021-09-11,44668.0,38660.0
2021-09-12,41651.0,39104.0
2021-09-13,61392.0,64587.0
2021-09-14,128782.0,59528.0
2021-09-15,106413.0,49209.0
2021-09-16,82683.0,48257.0
2021-09-17,68790.0,86631.0
2021-09-18,49490.0,49187.0
2021-09-19,50932.0,47580.0
2021-09-21,62397.0,44691.0
2021-09-22,83565.0,52607.0
2021-09-23,86851.0,67783.0
2021-09-24,88088.0,67998.0
2021-09-25,65740.0,51140.0
2021-09-26,58473.0,57413.0
2021-09-27,65359.0,82495.0
2021-09-28,72668.0,60083.0
2021-09-29,98984.0,94362.0
2021-10-01,144371.0,95567.0
2021-10-02,146376.0,105284.0
2021-10-03,116633.0,90365.0
2021-10-04,67020.0,46301.0
2021-10-05,67796.0,47149.0
2021-10-06,61292.0,41679.0
2021-10-07,53914.0,44142.0
2021-10-08,51999.0,59024.0
2021-10-09,39156.0,49544.0
2021-10-11,44033.0,39595.0
2021-10-12,57578.0,41888.0
2021-10-13,64533.0,46131.0
2021-10-14,59261.0,44227.0
2021-10-15,52320.0,42176.0
2021-10-16,43070.0,34120.0
2021-10-17,43544.0,38861.0
2021-10-18,54275.0,40865.0
2021-10-19,64775.0,53198.0
2021-10-21,78661.0,83918.0
2021-10-22,57719.0,78885.0
2021-10-23,42021.0,59790.0
2021-10-24,44898.0,48044.0
2021-10-25,50476.0,64274.0
2021-10-26,56064.0,72079.0
2021-10-27,57534.0,64600.0
2021-10-28,68846.0,60759.0
2021-10-29,72622.0,81632.0
2021-10-31,41625.0,43004.0
2021-11-01,111835.0,131166.0
2021-11-02,121629.0,109917.0
2021-11-03,141526.0,163013.0
2021-11-04,73513.0,51172.0
2021-11-05,70550.0,72061.0
2021-11-06,87271.0,96570.0
2021-11-07,62012.0,67535.0
2021-11-08,57641.0,63794.0
2021-11-09,70615.0,99582.0
2021-11-11,57767.0,60803.0
2021-11-12,59038.0,55581.0
2021-11-13,49092.0,44610.0
2021-11-14,45264.0,55022.0
2021-11-15,58933.0,53388.0
2021-11-16,82548.0,70516.0
2021-11-17,94889.0,121699.0
2021-11-18,98419.0,160987.0
2021-11-19,91208.0,116158.0
2021-11-21,53145.0,60979.0
2021-11-22,61478.0,55370.0
2021-11-23,62109.0,51913.0
2021-11-24,60000.0,46047.0
2021-11-25,40684.0,42014.0
2021-11-26,43920.0,67015.0
2021-11-27,43595.0,72637.0
2021-11-28,41364.0,59723.0
2021-11-29,46404.0,71450.0
2021-12-01,73355.0,116276.0
2021-12-02,66696.0,76982.0
2021-12-03,50020.0,59103.0
2021-12-04,43172.0,62855.0
2021-12-05,49642.0,98191.0
