id,seniority,full_name,apstate,first_name,last_name,chamber,session,state,party,dw_nominate,votes_with_party_pct
G000568,12,Morgan Griffith,Va.,Morgan,Griffith,house,117,VA,R,0.54,91.31
G000551,20,Raúl Grijalva,Ariz.,Raúl,Grijalva,house,117,AZ,D,-0.598,98.68
G000576,8,Glenn Grothman,Wis.,Glenn,Grothman,house,117,WI,R,0.603,91.39
G000591,4,Michael Guest,Miss.,Michael,Guest,house,117,MS,R,,96.15
G000558,14,Brett Guthrie,Ky.,Brett,Guthrie,house,117,KY,R,0.42,98.03
H001080,4,Debra Haaland,N.M.,Debra,Haaland,house,117,NM,D,,97.3
H001088,4,Jim Hagedorn,Minn.,Jim,Hagedorn,house,117,MN,R,,98.86
H001090,4,Josh Harder,Calif.,Josh,Harder,house,117,CA,D,,97.84
H001052,12,Andy Harris,Md.,Andy,Harris,house,117,MD,R,0.669,84.67
H001086,2,Diana Harshbarger,Tenn.,Diana,Harshbarger,house,117,TN,R,,93.63
H001053,12,Vicky Hartzler,Mo.,Vicky,Hartzler,house,117,MO,R,0.467,97.04
H000324,30,Alcee Hastings,Fla.,Alcee,Hastings,house,117,FL,D,-0.564,98.84
H001081,4,Jahana Hayes,Conn.,Jahana,Hayes,house,117,CT,D,,98.06
H001082,6,Kevin Hern,Okla.,Kevin,Hern,house,117,OK,R,,92.67
H001084,2,Yvette Herrell,N.M.,Yvette,Herrell,house,117,NM,R,,88.76
H001056,12,Jaime Herrera Beutler,Wash.,Jaime,Herrera Beutler,house,117,WA,R,0.351,92.54
H001071,8,Jody Hice,Ga.,Jody,Hice,house,117,GA,R,0.79,85.71
H001038,16,Brian Higgins,N.Y.,Brian,Higgins,house,117,NY,D,-0.347,98.91
H001077,6,Clay Higgins,La.,Clay,Higgins,house,117,LA,R,0.612,82.83
H001072,8,French Hill,Ark.,French,Hill,house,117,AR,R,0.447,97.36
H001047,14,Jim Himes,Conn.,Jim,Himes,house,117,CT,D,-0.243,98.92
H001091,2,Ashley Hinson,Iowa,Ashley,Hinson,house,117,IA,R,,95.41
H001074,6,Trey Hollingsworth,Ind.,Trey,Hollingsworth,house,117,IN,R,0.413,93.08
H001066,4,Steven Horsford,Nev.,Steven,Horsford,house,117,NV,D,-0.352,97.81
H001085,4,Chrissy Houlahan,Pa.,Chrissy,Houlahan,house,117,PA,D,,97.83
H000874,42,Steny Hoyer,Md.,Steny,Hoyer,house,117,MD,D,-0.38,98.68
H001067,10,Richard Hudson,N.C.,Richard,Hudson,house,117,NC,R,0.561,97.31
H001068,10,Jared Huffman,Calif.,Jared,Huffman,house,117,CA,D,-0.428,98.04
H001058,12,Bill Huizenga,Mich.,Bill,Huizenga,house,117,MI,R,0.568,96.44
I000056,2,Darrell Issa,Calif.,Darrell,Issa,house,117,CA,R,0.5,97.25
J000304,2,Ronny Jackson,Texas,Ronny,Jackson,house,117,TX,R,,90.41
J000032,28,Sheila Jackson Lee,Texas,Sheila,Jackson Lee,house,117,TX,D,-0.46,99.12
J000305,2,Sara Jacobs,Calif.,Sara,Jacobs,house,117,CA,D,,98.7
J000020,4,Chris Jacobs,N.Y.,Chris,Jacobs,house,117,NY,R,,94.43
J000298,6,Pramila Jayapal,Wash.,Pramila,Jayapal,house,117,WA,D,-0.691,97.82
J000294,10,Hakeem Jeffries,N.Y.,Hakeem,Jeffries,house,117,NY,D,-0.488,98.92
J000288,16,Hank Johnson,Ga.,Hank,Johnson,house,117,GA,D,-0.468,98.24
J000126,30,Eddie Johnson,Texas,Eddie,Johnson,house,117,TX,D,-0.485,99.13
J000299,6,Mike Johnson,La.,Mike,Johnson,house,117,LA,R,0.561,96.36
J000292,12,Bill Johnson,Ohio,Bill,Johnson,house,117,OH,R,0.427,97.81
J000301,4,Dusty Johnson,S.D.,Dusty,Johnson,house,117,SD,R,,97.59
J000306,2,Mondaire Jones,N.Y.,Mondaire,Jones,house,117,NY,D,,98.25
J000289,16,Jim Jordan,Ohio,Jim,Jordan,house,117,OH,R,0.717,90.09
J000302,4,John Joyce,Pa.,John,Joyce,house,117,PA,R,,98.25
J000295,10,Dave Joyce,Ohio,Dave,Joyce,house,117,OH,R,0.264,91.87
K000396,2,Kaialiʻi Kahele,Hawaii,Kaialiʻi,Kahele,house,117,HI,D,,98.91
K000009,40,Marcy Kaptur,Ohio,Marcy,Kaptur,house,117,OH,D,-0.35,98.9
K000386,8,John Katko,N.Y.,John,Katko,house,117,NY,R,0.196,81.64
K000375,12,Bill Keating,Mass.,Bill,Keating,house,117,MA,D,-0.329,98.68
K000395,4,Fred Keller,Pa.,Fred,Keller,house,117,PA,R,,98.25
K000376,12,Mike Kelly,Pa.,Mike,Kelly,house,117,PA,R,0.359,98.68
K000385,10,Robin Kelly,Ill.,Robin,Kelly,house,117,IL,D,-0.461,98.91
K000388,8,Trent Kelly,Miss.,Trent,Kelly,house,117,MS,R,0.633,96.04
K000389,6,Ro Khanna,Calif.,Ro,Khanna,house,117,CA,D,-0.562,98.92
K000380,10,Dan Kildee,Mich.,Dan,Kildee,house,117,MI,D,-0.395,99.35
K000381,10,Derek Kilmer,Wash.,Derek,Kilmer,house,117,WA,D,-0.31,99.35
K000394,4,Andy Kim,N.J.,Andy,Kim,house,117,NJ,D,,98.27
K000397,2,Young Kim,Calif.,Young,Kim,house,117,CA,R,,92.05
K000188,26,Ron Kind,Wis.,Ron,Kind,house,117,WI,D,-0.261,97.4
K000378,12,Adam Kinzinger,Ill.,Adam,Kinzinger,house,117,IL,R,0.249,83.15
K000368,4,Ann Kirkpatrick,Ariz.,Ann,Kirkpatrick,house,117,AZ,D,-0.167,98.49
K000391,6,Raja Krishnamoorthi,Ill.,Raja,Krishnamoorthi,house,117,IL,D,-0.317,99.13
K000382,10,Ann Kuster,N.H.,Ann,Kuster,house,117,NH,D,-0.256,98.91
K000392,6,David Kustoff,Tenn.,David,Kustoff,house,117,TN,R,0.526,98.22
L000585,8,Darin LaHood,Ill.,Darin,LaHood,house,117,IL,R,0.464,98.47
L000578,10,Doug LaMalfa,Calif.,Doug,LaMalfa,house,117,CA,R,0.534,94.93
L000588,6,Conor Lamb,Pa.,Conor,Lamb,house,117,PA,D,-0.134,97.83
L000564,16,Doug Lamborn,Colo.,Doug,Lamborn,house,117,CO,R,0.675,95.76
L000559,22,Jim Langevin,R.I.,Jim,Langevin,house,117,RI,D,-0.375,98.48
L000560,22,Rick Larsen,Wash.,Rick,Larsen,house,117,WA,D,-0.365,98.65
L000557,24,John Larson,Conn.,John,Larson,house,117,CT,D,-0.397,98.9
L000566,16,Robert Latta,Ohio,Robert,Latta,house,117,OH,R,0.516,98.91
L000266,2,Jake LaTurner,Kan.,Jake,LaTurner,house,117,KS,R,,98.68
L000581,8,Brenda Lawrence,Mich.,Brenda,Lawrence,house,117,MI,D,-0.448,98.47
L000586,6,Al Lawson,Fla.,Al,Lawson,house,117,FL,D,-0.259,98.91
L000551,26,Barbara Lee,Calif.,Barbara,Lee,house,117,CA,D,-0.681,98.25
L000590,4,Susie Lee,Nev.,Susie,Lee,house,117,NV,D,,96.72
L000589,6,Debbie Lesko,Ariz.,Debbie,Lesko,house,117,AZ,R,0.596,95.83
L000595,2,Julia Letlow,La.,Julia,Letlow,house,117,LA,R,,97.78
L000593,4,Mike Levin,Calif.,Mike,Levin,house,117,CA,D,,98.7
L000592,4,Andy Levin,Mich.,Andy,Levin,house,117,MI,D,,98.26
L000582,8,Ted Lieu,Calif.,Ted,Lieu,house,117,CA,D,-0.375,98.91
L000397,28,Zoe Lofgren,Calif.,Zoe,Lofgren,house,117,CA,D,-0.402,98.24
L000576,12,Billy Long,Mo.,Billy,Long,house,117,MO,R,0.543,97.56
L000583,8,Barry Loudermilk,Ga.,Barry,Loudermilk,house,117,GA,R,0.688,93.18
L000579,10,Alan Lowenthal,Calif.,Alan,Lowenthal,house,117,CA,D,-0.451,98.25
L000491,30,Frank Lucas,Okla.,Frank,Lucas,house,117,OK,R,0.364,97.58
L000569,14,Blaine Luetkemeyer,Mo.,Blaine,Luetkemeyer,house,117,MO,R,0.442,96.4
L000591,4,Elaine Luria,Va.,Elaine,Luria,house,117,VA,D,,97.4
L000562,22,Stephen Lynch,Mass.,Stephen,Lynch,house,117,MA,D,-0.35,98.48
M000194,2,Nancy Mace,S.C.,Nancy,Mace,house,117,SC,R,,91.25
