date,member,views,party
2021-07-03,Marjorie Taylor Greene,5989,Republican
2021-07-31,Marjorie Taylor Greene,5691,Republican
2021-08-01,Marjorie Taylor Greene,4871,Republican
2021-08-02,Marjorie Taylor Greene,3746,Republican
2021-08-03,Marjorie Taylor Greene,3704,Republican
2021-08-04,Marjorie Taylor Greene,3838,Republican
2021-08-05,Marjorie Taylor Greene,4367,Republican
2021-08-06,Marjorie Taylor Greene,7838,Republican
2021-08-07,Marjorie Taylor Greene,11051,Republican
2021-08-08,Marjorie Taylor Greene,6957,Republican
2021-08-09,Marjorie Taylor Greene,5595,Republican
2021-08-01,Marjorie Taylor Greene,18639,Republican
2021-08-11,Marjorie Taylor Greene,11665,Republican
2021-08-12,Marjorie Taylor Greene,6046,Republican
2021-08-13,Marjorie Taylor Greene,5967,Republican
2021-08-14,Marjorie Taylor Greene,4569,Republican
2021-08-15,Marjorie Taylor Greene,4497,Republican
2021-08-16,Marjorie Taylor Greene,3312,Republican
2021-08-17,Marjorie Taylor Greene,4051,Republican
2021-08-18,Marjorie Taylor Greene,4222,Republican
2021-08-19,Marjorie Taylor Greene,4925,Republican
2021-08-02,Marjorie Taylor Greene,7811,Republican
2021-08-21,Marjorie Taylor Greene,9466,Republican
2021-08-22,Marjorie Taylor Greene,10300,Republican
2021-08-23,Marjorie Taylor Greene,5347,Republican
2021-08-24,Marjorie Taylor Greene,4251,Republican
2021-08-25,Marjorie Taylor Greene,3578,Republican
2021-08-26,Marjorie Taylor Greene,3287,Republican
2021-08-27,Marjorie Taylor Greene,2912,Republican
2021-08-28,Marjorie Taylor Greene,2668,Republican
2021-08-29,Marjorie Taylor Greene,2543,Republican
2021-08-03,Marjorie Taylor Greene,2806,Republican
2021-08-31,Marjorie Taylor Greene,2936,Republican
2021-09-01,Marjorie Taylor Greene,6005,Republican
2021-09-02,Marjorie Taylor Greene,3531,Republican
2021-09-03,Marjorie Taylor Greene,2965,Republican
2021-09-04,Marjorie Taylor Greene,2713,Republican
2021-09-05,Marjorie Taylor Greene,2429,Republican
2021-09-06,Marjorie Taylor Greene,2535,Republican
2021-09-07,Marjorie Taylor Greene,3173,Republican
2021-09-08,Marjorie Taylor Greene,4307,Republican
2021-09-09,Marjorie Taylor Greene,4230,Republican
2021-09-01,Marjorie Taylor Greene,3017,Republican
2021-09-11,Marjorie Taylor Greene,2503,Republican
2021-09-12,Marjorie Taylor Greene,2481,Republican
2021-09-13,Marjorie Taylor Greene,2586,Republican
2021-09-14,Marjorie Taylor Greene,2479,Republican
2021-09-15,Marjorie Taylor Greene,2519,Republican
2021-09-16,Marjorie Taylor Greene,3079,Republican
2021-09-17,Marjorie Taylor Greene,2997,Republican
2021-09-18,Marjorie Taylor Greene,3031,Republican
2021-09-19,Marjorie Taylor Greene,5350,Republican
2021-09-02,Marjorie Taylor Greene,4664,Republican
2021-09-21,Marjorie Taylor Greene,5155,Republican
2021-09-22,Marjorie Taylor Greene,3889,Republican
2021-09-23,Marjorie Taylor Greene,9043,Republican
2021-09-24,Marjorie Taylor Greene,8227,Republican
2021-09-25,Marjorie Taylor Greene,10210,Republican
2021-09-26,Marjorie Taylor Greene,7872,Republican
2021-09-27,Marjorie Taylor Greene,5428,Republican
2021-09-28,Marjorie Taylor Greene,4059,Republican
2021-09-29,Marjorie Taylor Greene,4147,Republican
2021-09-03,Marjorie Taylor Greene,4654,Republican
2021-10-01,Marjorie Taylor Greene,5293,Republican
2021-10-02,Marjorie Taylor Greene,2856,Republican
2021-10-03,Marjorie Taylor Greene,2511,Republican
2021-10-04,Marjorie Taylor Greene,2638,Republican
2021-10-05,Marjorie Taylor Greene,2256,Republican
2021-10-06,Marjorie Taylor Greene,2164,Republican
2021-10-07,Marjorie Taylor Greene,2483,Republican
2021-10-08,Marjorie Taylor Greene,2242,Republican
2021-10-09,Marjorie Taylor Greene,2736,Republican
2021-10-01,Marjorie Taylor Greene,2343,Republican
2021-10-11,Marjorie Taylor Greene,2267,Republican
2021-10-12,Marjorie Taylor Greene,2787,Republican
2021-10-13,Marjorie Taylor Greene,2949,Republican
2021-10-14,Marjorie Taylor Greene,2657,Republican
2021-10-15,Marjorie Taylor Greene,3873,Republican
2021-10-16,Marjorie Taylor Greene,2836,Republican
2021-10-17,Marjorie Taylor Greene,3045,Republican
2021-10-18,Marjorie Taylor Greene,2502,Republican
2021-10-19,Marjorie Taylor Greene,2931,Republican
2021-10-02,Marjorie Taylor Greene,3348,Republican
2021-10-21,Marjorie Taylor Greene,3890,Republican
2021-10-22,Marjorie Taylor Greene,6515,Republican
2021-10-23,Marjorie Taylor Greene,5804,Republican
2021-10-24,Marjorie Taylor Greene,5322,Republican
2021-10-25,Marjorie Taylor Greene,6078,Republican
2021-10-26,Marjorie Taylor Greene,7261,Republican
2021-10-27,Marjorie Taylor Greene,8008,Republican
2021-10-28,Marjorie Taylor Greene,5467,Republican
2021-10-29,Marjorie Taylor Greene,3865,Republican
2021-10-03,Marjorie Taylor Greene,2734,Republican
2021-10-31,Marjorie Taylor Greene,2316,Republican
2021-11-01,Marjorie Taylor Greene,2782,Republican
2021-11-02,Marjorie Taylor Greene,4145,Republican
2021-11-03,Marjorie Taylor Greene,6088,Republican
2021-11-04,Marjorie Taylor Greene,3563,Republican
2021-11-05,Marjorie Taylor Greene,3863,Republican
2021-11-06,Marjorie Taylor Greene,4449,Republican
2021-11-07,Marjorie Taylor Greene,4628,Republican
2021-11-08,Marjorie Taylor Greene,3485,Republican
2021-11-09,Marjorie Taylor Greene,5731,Republican
2021-11-01,Marjorie Taylor Greene,3765,Republican
2021-11-11,Marjorie Taylor Greene,3504,Republican
2021-11-12,Marjorie Taylor Greene,3010,Republican
2021-11-13,Marjorie Taylor Greene,2562,Republican
2021-11-14,Marjorie Taylor Greene,3713,Republican
2021-11-15,Marjorie Taylor Greene,3544,Republican
2021-11-16,Marjorie Taylor Greene,3266,Republican
2021-11-17,Marjorie Taylor Greene,5656,Republican
2021-11-18,Marjorie Taylor Greene,6272,Republican
2021-11-19,Marjorie Taylor Greene,3692,Republican
2021-11-02,Marjorie Taylor Greene,2649,Republican
2021-11-21,Marjorie Taylor Greene,3026,Republican
2021-11-22,Marjorie Taylor Greene,2834,Republican
2021-11-23,Marjorie Taylor Greene,3158,Republican
2021-11-24,Marjorie Taylor Greene,2958,Republican
2021-11-25,Marjorie Taylor Greene,6833,Republican
2021-11-26,Marjorie Taylor Greene,7435,Republican
2021-11-27,Marjorie Taylor Greene,6652,Republican
2021-11-28,Marjorie Taylor Greene,4528,Republican
2021-11-29,Marjorie Taylor Greene,3387,Republican
2021-11-03,Marjorie Taylor Greene,7207,Republican
2021-12-01,Marjorie Taylor Greene,8443,Republican
2021-12-02,Marjorie Taylor Greene,4526,Republican
2021-12-03,Marjorie Taylor Greene,4303,Republican
2021-12-04,Marjorie Taylor Greene,6634,Republican
2021-12-05,Marjorie Taylor Greene,8618,Republican
