zip,donation_amount_sum,donation_amount_count,zip3
01743,5.0,1,017
01746,295.0,4,017
01747,120.0,2,017
01748,335.0,6,017
01749,120.0,3,017
01752,305.0,6,017
01756,20.0,1,017
01757,45.0,2,017
01760,130.0,4,017
01761,100.0,1,017
01772,175.0,4,017
01773,90.0,2,017
01775,620.0,7,017
01776,355.0,5,017
01778,110.0,2,017
01801,395.0,10,018
01803,392.0,5,018
01810,300.0,6,018
01821,545.0,12,018
01824,555.0,8,018
01826,1285.0,8,018
01827,115.0,3,018
01830,170.0,4,018
01832,375.0,5,018
01833,160.0,3,018
01834,5.0,1,018
01835,275.0,3,018
01843,25.0,1,018
01844,500.0,6,018
01845,337.0,7,018
01850,95.0,2,018
01851,225.0,2,018
01852,250.0,3,018
01853,70.0,2,018
01854,100.0,1,018
01860,75.0,3,018
01862,24.0,1,018
01863,100.0,1,018
01864,560.0,4,018
01867,200.0,4,018
01876,775.0,8,018
01879,1085.0,4,018
01880,220.0,6,018
01886,795.0,9,018
01887,131.0,2,018
01890,192.0,6,018
01902,250.0,3,019
01904,55.0,1,019
01905,40.0,2,019
01906,300.0,4,019
01907,787.0,10,019
01908,150.0,2,019
01913,104.0,5,019
01915,435.0,5,019
01921,790.0,7,019
01922,100.0,1,019
01923,175.0,3,019
01924,100.0,1,019
01929,100.0,1,019
01930,595.0,8,019
01938,100.0,1,019
01940,20.0,1,019
01944,50.0,1,019
01945,525.0,5,019
01949,125.0,2,019
01950,215.0,5,019
01951,50.0,1,019
01960,450.0,9,019
01966,175.0,3,019
01969,245.0,3,019
01970,520.0,8,019
01982,25.0,1,019
01983,111.0,4,019
01984,50.0,1,019
01985,100.0,1,019
02019,64.0,3,020
02021,10.0,1,020
02025,100.0,2,020
02026,320.0,4,020
02027,50.0,1,020
02034,100.0,1,020
02035,120.0,3,020
02038,145.0,4,020
02043,171.0,4,020
02045,315.0,5,020
02048,410.0,11,020
02050,215.0,5,020
02052,675.0,5,020
02053,100.0,3,020
02054,10.0,1,020
02056,635.0,7,020
02061,270.0,3,020
02062,200.0,6,020
02066,495.0,8,020
02067,25.0,1,020
02072,160.0,3,020
02081,125.0,3,020
02090,250.0,1,020
02093,395.0,5,020
02108,100.0,1,021
02109,320.0,4,021
02110,106.0,4,021
02111,120.0,2,021
02113,195.0,4,021
02114,50.0,1,021
02115,50.0,1,021
02116,287.0,4,021
02118,50.0,1,021
02122,100.0,1,021
02124,35.0,3,021
02125,160.0,3,021
02127,170.0,4,021
02128,610.0,3,021
02129,138.0,3,021
02130,30.0,1,021
02131,125.0,3,021
02132,295.0,5,021
02134,465.0,6,021
02135,280.0,5,021
02136,170.0,5,021
02138,870.0,11,021
02139,150.0,5,021
02140,300.0,3,021
02142,108.0,1,021
02143,200.0,2,021
02144,515.0,5,021
02145,130.0,3,021
02147,100.0,1,021
02148,125.0,2,021
02149,100.0,1,021
02151,275.0,4,021
02152,500.0,4,021
02155,435.0,6,021
02169,308.0,6,021
02170,125.0,3,021
02171,25.0,1,021
02173,50.0,1,021
02176,410.0,9,021
02179,13.0,1,021
02180,500.0,6,021
02184,160.0,5,021
02186,150.0,2,021
02188,150.0,2,021
02189,325.0,3,021
02190,305.0,7,021
02191,100.0,1,021
02201,20.0,1,022
02205,11.0,1,022
02210,100.0,1,022
02215,70.0,2,022
02233,50.0,1,022
02286,50.0,1,022
02301,150.0,2,023
02302,20.0,1,023
02322,50.0,1,023
02324,250.0,5,023
02330,20.0,1,023
02332,293.0,7,023
02333,60.0,2,023
02338,100.0,1,023
02339,50.0,1,023
02341,145.0,3,023
02343,25.0,1,023
02346,145.0,4,023
02347,90.0,4,023
02351,545.0,9,023
02356,120.0,2,023
02359,600.0,2,023
02360,363.0,12,023
02364,330.0,4,023
02368,35.0,2,023
02370,110.0,3,023
02375,50.0,1,023
02379,120.0,3,023
02382,95.0,4,023
02420,210.0,3,024
02421,210.0,3,024
02445,225.0,3,024
02446,220.0,4,024
02451,350.0,4,024
02452,150.0,3,024
02453,230.0,6,024
02458,1143.0,4,024
02459,68.0,2,024
02460,25.0,1,024
02465,238.0,4,024
02467,70.0,3,024
02468,10.0,1,024
02472,320.0,5,024
02474,160.0,6,024
02476,1450.0,5,024
02478,220.0,4,024
02481,295.0,5,024
02482,275.0,4,024
02492,150.0,2,024
02493,780.0,4,024
02494,70.0,3,024
02532,25.0,1,025
02535,200.0,1,025
02536,305.0,6,025
02537,25.0,1,025
02540,100.0,1,025
02553,50.0,1,025
02554,100.0,1,025
02556,50.0,1,025
02559,100.0,2,025
02562,1050.0,2,025
02563,10.0,1,025
02568,75.0,2,025
02575,100.0,1,025
02584,100.0,1,025
02601,105.0,2,026
02631,20.0,1,026
02633,150.0,2,026
02635,20.0,1,026
02638,10.0,1,026
02642,180.0,4,026
02645,280.0,5,026
02648,100.0,3,026
02649,125.0,3,026
02653,110.0,3,026
02655,50.0,1,026
02662,30.0,1,026
02664,10.0,1,026
02667,10.0,1,026
02675,145.0,3,026
02702,35.0,2,027
02703,200.0,6,027
02715,100.0,1,027
02717,30.0,2,027
02718,130.0,3,027
02719,197.0,5,027
02720,200.0,2,027
02721,90.0,3,027
02726,47.0,2,027
02738,25.0,1,027
02739,150.0,2,027
02740,25.0,1,027
02743,30.0,2,027
02744,5.0,1,027
02745,210.0,5,027
02746,20.0,1,027
02747,110.0,3,027
02748,120.0,2,027
02760,465.0,7,027
02762,260.0,4,027
02766,200.0,3,027
02767,100.0,1,027
02769,115.0,5,027
02777,5.0,1,027
02780,165.0,4,027
02790,425.0,5,027
02806,150.0,3,028
02808,50.0,1,028
02809,120.0,5,028
02812,50.0,1,028
02813,10.0,1,028
02814,320.0,4,028
02816,100.0,3,028
02818,125.0,2,028
02825,220.0,2,028
02827,100.0,1,028
02828,243.0,3,028
02831,71.0,2,028
02833,10.0,1,028
02837,25.0,1,028
02840,660.0,9,028
02842,175.0,3,028
02852,795.0,4,028
02857,150.0,2,028
02859,200.0,1,028
02860,100.0,1,028
02861,70.0,2,028
02864,290.0,7,028
02865,600.0,8,028
02871,345.0,6,028
02874,250.0,3,028
02878,20.0,1,028
02879,175.0,3,028
02885,100.0,1,028
02886,10.0,1,028
02888,86.0,2,028
02889,487.0,8,028
02891,175.0,4,028
02892,90.0,3,028
02893,145.0,3,028
02895,135.0,4,028
02896,80.0,1,028
02903,50.0,1,029
02904,40.0,3,029
02905,75.0,2,029
02906,145.0,3,029
02908,70.0,2,029
02909,20.0,1,029
02910,40.0,2,029
02911,50.0,1,029
02915,105.0,2,029
02916,220.0,3,029
02917,145.0,3,029
02919,125.0,2,029
02920,120.0,3,029
02921,100.0,1,029
03006,100.0,1,030
0303&,40.0,1,030
03031,922.0,8,030
03032,220.0,5,030
03033,295.0,4,030
03034,370.0,3,030
03036,95.0,3,030
03037,50.0,1,030
03038,539.0,12,030
03042,200.0,1,030
03044,150.0,2,030
03045,350.0,5,030
03046,30.0,1,030
03048,120.0,2,030
03049,650.0,7,030
03051,700.0,2,030
03052,230.0,5,030
03053,400.0,4,030
03054,1050.0,9,030
03055,235.0,5,030
03057,50.0,1,030
03060,485.0,6,030
03062,365.0,6,030
03063,25.0,1,030
03064,44.0,1,030
03070,350.0,5,030
03071,325.0,4,030
03076,160.0,4,030
03079,330.0,8,030
03082,55.0,2,030
03084,120.0,2,030
03086,125.0,3,030
03087,254.0,7,030
03101,100.0,1,031
03102,380.0,8,031
03103,190.0,5,031
03104,257.0,7,031
03106,170.0,3,031
03109,35.0,1,031
03110,630.0,12,031
03184,100.0,1,031
03217,100.0,1,032
03218,25.0,1,032
03220,50.0,1,032
03221,35.0,2,032
03222,25.0,1,032
03223,150.0,1,032
03225,100.0,4,032
03226,100.0,1,032
03227,50.0,1,032
03229,100.0,1,032
03234,250.0,4,032
03235,60.0,2,032
03241,20.0,1,032
03242,10.0,1,032
03244,145.0,3,032
03246,350.0,3,032
03249,100.0,1,032
03251,50.0,1,032
03253,30.0,1,032
03255,25.0,1,032
03256,77.0,2,032
03257,85.0,3,032
03259,50.0,1,032
03261,140.0,3,032
03262,250.0,2,032
03264,200.0,2,032
03269,25.0,1,032
03275,185.0,3,032
03278,50.0,1,032
03285,15.0,1,032
03287,20.0,1,032
03290,500.0,1,032
03301,115.0,2,033
03303,200.0,1,033
03304,250.0,3,033
03307,115.0,2,033
03431,190.0,5,034
03440,75.0,2,034
03442,25.0,1,034
03443,100.0,1,034
03444,50.0,1,034
03445,50.0,1,034
03446,80.0,2,034
03449,75.0,2,034
03450,47.0,1,034
03458,280.0,4,034
03461,205.0,4,034
03462,250.0,1,034
03467,100.0,1,034
03470,1045.0,3,034
03561,50.0,1,035
03574,90.0,1,035
03576,50.0,1,035
03580,50.0,1,035
03582,28.0,1,035
03584,10.0,1,035
03585,100.0,1,035
03586,100.0,1,035
03592,100.0,1,035
03595,50.0,1,035
03602,100.0,1,036
03603,100.0,1,036
03709,100.0,1,037
03741,130.0,2,037
03743,220.0,3,037
03745,50.0,1,037
03748,210.0,2,037
03750,50.0,1,037
03755,218.0,4,037
03766,70.0,2,037
03768,50.0,1,037
03770,20.0,1,037
03773,130.0,3,037
03774,333.0,1,037
03779,5.0,1,037
03782,125.0,2,037
03784,320.0,3,037
03785,25.0,1,037
03801,910.0,8,038
03809,10.0,1,038
03810,75.0,2,038
03811,580.0,4,038
03813,115.0,3,038
03814,55.0,2,038
03816,60.0,3,038
03819,65.0,3,038
03820,315.0,6,038
03824,5.0,1,038
03825,130.0,2,038
03826,25.0,1,038
03827,50.0,1,038
03830,125.0,3,038
03833,594.0,4,038
03835,550.0,2,038
03836,200.0,1,038
03837,25.0,1,038
03840,140.0,3,038
03841,22.0,1,038
03842,605.0,10,038
03843,100.0,1,038
03844,70.0,2,038
03845,45.0,2,038
03848,70.0,2,038
03849,60.0,3,038
03851,500.0,1,038
03852,100.0,1,038
03855,150.0,2,038
03857,15.0,1,038
03858,55.0,2,038
03860,200.0,3,038
03861,100.0,2,038
03865,50.0,2,038
03867,725.0,5,038
03873,25.0,1,038
03874,10.0,1,038
03878,30.0,2,038
03884,9.0,1,038
03885,1275.0,5,038
03886,50.0,1,038
03894,20.0,2,038
03901,75.0,2,039
03903,25.0,1,039
03904,50.0,1,039
03906,25.0,1,039
03907,100.0,1,039
03908,85.0,3,039
03909,70.0,2,039
04002,135.0,3,040
04003,10.0,1,040
04005,20.0,1,040
04008,20.0,1,040
04009,50.0,1,040
04011,68.0,2,040
04017,100.0,1,040
04020,50.0,2,040
04021,100.0,1,040
04030,50.0,1,040
04032,50.0,2,040
04037,20.0,1,040
04038,223.0,3,040
04039,30.0,1,040
04041,50.0,1,040
04042,250.0,2,040
04043,70.0,2,040
04046,200.0,3,040
04049,120.0,2,040
04050,20.0,1,040
04051,20.0,1,040
04055,115.0,3,040
04062,255.0,5,040
04064,135.0,4,040
04068,40.0,1,040
04071,45.0,1,040
04072,95.0,3,040
04073,125.0,3,040
04074,300.0,5,040
04079,250.0,1,040
04084,150.0,2,040
04085,100.0,1,040
04086,50.0,1,040
04088,50.0,1,040
04090,705.0,6,040
04091,20.0,1,040
04092,60.0,2,040
04093,80.0,2,040
04096,20.0,1,040
04097,20.0,1,040
04101,5.0,1,041
04102,100.0,1,041
04103,620.0,8,041
04105,800.0,4,041
04106,135.0,5,041
04210,100.0,2,042
04224,50.0,1,042
04240,125.0,2,042
04250,45.0,2,042
04252,100.0,1,042
04258,250.0,3,042
04260,55.0,2,042
04263,30.0,1,042
04268,25.0,1,042
04270,100.0,1,042
04274,25.0,1,042
04281,105.0,2,042
04282,200.0,1,042
04284,20.0,1,042
04287,20.0,1,042
04300,20.0,1,043
04330,107.0,5,043
04345,70.0,3,043
04347,5.0,1,043
04349,25.0,1,043
04350,100.0,1,043
04351,10.0,1,043
04352,100.0,1,043
04355,100.0,1,043
04357,50.0,1,043
04358,10.0,2,043
04359,20.0,1,043
04401,410.0,11,044
04406,20.0,1,044
04410,50.0,2,044
04411,45.0,2,044
04412,70.0,2,044
04416,55.0,3,044
04419,70.0,3,044
04424,220.0,3,044
04427,20.0,1,044
04429,50.0,1,044
04444,90.0,4,044
04448,10.0,1,044
04451,50.0,1,044
04462,30.0,1,044
04471,50.0,1,044
04474,25.0,1,044
04493,25.0,1,044
04502,10.0,1,045
04530,110.0,2,045
04535,20.0,1,045
04538,10.0,1,045
04539,50.0,1,045
04548,50.0,1,045
04551,510.0,2,045
04562,25.0,1,045
04579,250.0,2,045
04600,25.0,1,046
04605,235.0,4,046
04606,25.0,1,046
04609,100.0,1,046
04611,50.0,1,046
04616,100.0,1,046
04617,100.0,1,046
04619,50.0,1,046
04622,99.0,1,046
04626,45.0,1,046
04630,30.0,2,046
04649,100.0,1,046
04653,200.0,2,046
04654,25.0,1,046
04666,50.0,1,046
04669,150.0,2,046
04679,220.0,3,046
04686,75.0,1,046
04730,30.0,2,047
04736,100.0,1,047
04743,40.0,1,047
04745,20.0,1,047
04756,50.0,1,047
04757,50.0,1,047
04766,100.0,1,047
04769,100.0,1,047
04780,10.0,1,047
04834,20.0,1,048
04840,20.0,1,048
04841,40.0,2,048
04843,40.0,1,048
04847,50.0,1,048
04849,25.0,1,048
04854,110.0,2,048
04856,200.0,3,048
04861,10.0,1,048
04862,10.0,1,048
04865,100.0,1,048
04884,100.0,1,048
04901,35.0,2,049
04915,200.0,1,049
04918,400.0,2,049
04920,20.0,1,049
04921,20.0,1,049
04930,20.0,1,049
04937,30.0,2,049
04938,50.0,1,049
04941,40.0,2,049
04947,75.0,2,049
04949,100.0,1,049
04950,25.0,2,049
04951,40.0,1,049
04956,75.0,2,049
04963,50.0,1,049
04965,25.0,1,049
04966,25.0,1,049
04969,25.0,1,049
04970,95.0,3,049
04974,100.0,1,049
04981,5.0,1,049
04986,5.0,1,049
04989,20.0,1,049
05000,50.0,1,050
05001,25.0,1,050
05012,20.0,1,050
05032,10.0,1,050
05033,50.0,1,050
05039,10.0,1,050
05048,125.0,2,050
05059,175.0,1,050
05061,150.0,2,050
05068,50.0,1,050
05071,10.0,1,050
05086,50.0,1,050
05089,15.0,1,050
05091,190.0,1,050
05143,50.0,2,051
05146,90.0,1,051
05149,2500.0,1,051
05156,25.0,1,051
05201,133.0,2,052
05251,20.0,1,052
05254,50.0,1,052
05301,20.0,1,053
05304,100.0,1,053
05342,50.0,1,053
05346,145.0,3,053
05350,220.0,2,053
05356,25.0,1,053
05401,10.0,1,054
05402,250.0,1,054
05403,400.0,5,054
05404,110.0,3,054
05408,20.0,1,054
05440,100.0,1,054
05443,70.0,2,054
05446,285.0,5,054
05448,25.0,1,054
05452,795.0,6,054
05454,100.0,1,054
05458,50.0,1,054
05462,125.0,2,054
05465,50.0,1,054
05468,210.0,3,054
05471,50.0,1,054
05472,50.0,1,054
05474,165.0,3,054
05476,200.0,2,054
05477,105.0,2,054
05478,114.0,5,054
05482,250.0,3,054
05483,100.0,1,054
05487,10.0,1,054
05488,50.0,1,054
05489,50.0,1,054
05491,150.0,2,054
05494,100.0,1,054
05495,125.0,2,054
05510,50.0,1,055
05602,365.0,4,056
05641,120.0,3,056
05647,100.0,1,056
05655,50.0,1,056
05661,105.0,3,056
05663,100.0,1,056
05670,25.0,1,056
05672,50.0,1,056
05673,220.0,3,056
05674,200.0,1,056
05682,20.0,1,056
05701,110.0,2,057
05730,10.0,1,057
05733,200.0,1,057
05735,50.0,1,057
05738,50.0,1,057
05751,20.0,1,057
05753,25.0,1,057
05758,100.0,1,057
05772,10.0,1,057
05819,150.0,2,058
05821,10.0,1,058
05824,20.0,1,058
05828,300.0,2,058
05867,20.0,1,058
05871,100.0,1,058
06001,750.0,4,060
06002,200.0,2,060
06010,10.0,1,060
06013,120.0,2,060
06019,100.0,2,060
06029,150.0,4,060
06032,45.0,2,060
06033,155.0,4,060
06035,296.0,3,060
06037,150.0,2,060
06039,600.0,3,060
06040,764.0,9,060
06042,88.0,3,060
06043,100.0,1,060
06050,50.0,1,060
06052,70.0,2,060
06053,200.0,2,060
06056,30.0,1,060
06057,205.0,5,060
06058,20.0,1,060
06060,110.0,2,060
06063,50.0,1,060
06066,155.0,4,060
06067,250.0,3,060
06069,100.0,1,060
06070,310.0,5,060
06071,150.0,2,060
06074,100.0,3,060
06076,15.0,2,060
06078,25.0,1,060
06082,390.0,4,060
06084,270.0,4,060
06085,99.0,3,060
06088,50.0,1,060
06095,144.0,5,060
06096,20.0,1,060
06098,200.0,3,060
06108,20.0,1,061
06109,100.0,1,061
06110,85.0,3,061
06111,265.0,5,061
06117,210.0,5,061
06118,250.0,2,061
06119,100.0,2,061
06237,100.0,1,062
06238,72.0,3,062
06248,25.0,1,062
06249,150.0,2,062
06255,170.0,4,062
06256,18.0,1,062
06259,50.0,1,062
06260,30.0,1,062
06277,50.0,1,062
06278,20.0,1,062
06279,50.0,1,062
06281,220.0,4,062
06320,300.0,2,063
06330,25.0,1,063
06333,105.0,3,063
06335,35.0,2,063
06339,60.0,2,063
06340,68.0,2,063
06351,140.0,5,063
06355,120.0,2,063
06359,100.0,1,063
06360,200.0,3,063
06369,40.0,1,063
06371,399.0,7,063
06373,60.0,1,063
06374,215.0,4,063
06377,350.0,4,063
06378,70.0,2,063
06379,25.0,1,063
06382,135.0,3,063
06385,145.0,5,063
06401,5.0,1,064
06403,120.0,4,064
06405,355.0,9,064
06410,395.0,7,064
06412,50.0,1,064
06415,135.0,4,064
06416,215.0,3,064
06417,10.0,1,064
06419,65.0,2,064
06420,100.0,2,064
06422,45.0,1,064
06423,20.0,1,064
06424,250.0,5,064
06437,60.0,2,064
06443,470.0,7,064
06447,50.0,1,064
06450,65.0,2,064
06451,100.0,2,064
06455,40.0,2,064
06457,170.0,4,064
06460,215.0,5,064
06461,20.0,1,064
06468,200.0,3,064
06469,450.0,3,064
06470,1118.0,8,064
06471,100.0,1,064
06472,45.0,2,064
06473,50.0,1,064
06475,25.0,3,064
06477,120.0,2,064
06478,340.0,4,064
06480,110.0,2,064
06481,45.0,1,064
06482,50.0,1,064
06483,20.0,1,064
06484,425.0,9,064
06488,100.0,1,064
06489,140.0,4,064
06492,215.0,4,064
06498,125.0,2,064
06511,255.0,4,065
06512,75.0,3,065
06513,5.0,1,065
06514,10.0,1,065
06516,195.0,5,065
06517,125.0,2,065
06518,100.0,2,065
06524,150.0,2,065
06525,55.0,3,065
06604,550.0,2,066
06606,250.0,4,066
06610,100.0,2,066
06611,692.0,10,066
06612,270.0,4,066
06614,557.0,8,066
06615,50.0,1,066
06704,150.0,2,067
06705,25.0,1,067
06706,25.0,1,067
06708,25.0,1,067
06710,110.0,2,067
06712,230.0,4,067
06716,160.0,4,067
06750,40.0,2,067
06751,200.0,1,067
06752,70.0,2,067
06754,25.0,1,067
06756,100.0,1,067
06757,250.0,2,067
06759,300.0,2,067
06762,50.0,1,067
06763,50.0,1,067
06770,100.0,3,067
06776,181.0,4,067
06783,75.0,1,067
06784,110.0,2,067
06785,100.0,1,067
06786,50.0,1,067
06787,99.0,2,067
06790,75.0,2,067
06791,240.0,2,067
06793,50.0,1,067
06795,120.0,2,067
06798,70.0,2,067
06801,55.0,3,068
06804,100.0,4,068
06807,235.0,2,068
06810,250.0,5,068
06811,495.0,8,068
06812,165.0,4,068
06820,275.0,3,068
06824,130.0,4,068
06825,300.0,6,068
06829,10.0,1,068
06830,1362.0,8,068
06831,850.0,10,068
06840,75.0,2,068
06850,570.0,3,068
06851,845.0,8,068
06853,50.0,1,068
06854,25.0,1,068
06855,25.0,1,068
06856,50.0,1,068
06870,175.0,2,068
06877,650.0,3,068
06878,350.0,4,068
06880,300.0,6,068
06883,200.0,2,068
06896,105.0,3,068
06897,715.0,8,068
06901,25.0,1,069
06902,666.0,10,069
06903,625.0,8,069
06905,645.0,6,069
06906,50.0,1,069
06907,130.0,2,069
07002,730.0,6,070
07003,120.0,3,070
07004,50.0,1,070
07005,75.0,2,070
07006,55.0,2,070
07008,100.0,2,070
07009,197.0,6,070
07010,10.0,1,070
07011,150.0,3,070
07012,125.0,2,070
07013,100.0,1,070
07014,85.0,4,070
07016,260.0,7,070
07018,130.0,2,070
07020,110.0,2,070
07022,25.0,1,070
07023,150.0,3,070
07024,440.0,7,070
07026,150.0,4,070
07027,20.0,1,070
07028,50.0,1,070
07029,1050.0,2,070
07030,910.0,13,070
07032,20.0,1,070
07033,180.0,4,070
07034,120.0,2,070
07035,170.0,2,070
07036,155.0,3,070
07039,390.0,8,070
07040,190.0,4,070
07041,151.0,2,070
07042,50.0,1,070
07043,50.0,1,070
07044,190.0,4,070
07045,145.0,3,070
07046,50.0,1,070
07047,400.0,6,070
07052,315.0,4,070
07054,450.0,5,070
07055,40.0,3,070
07057,30.0,2,070
07059,311.0,3,070
07060,141.0,3,070
07064,25.0,1,070
07065,150.0,2,070
07066,255.0,5,070
07067,110.0,2,070
07068,25.0,1,070
07069,20.0,1,070
07070,95.0,3,070
07071,447.0,7,070
07072,22.0,1,070
07073,205.0,4,070
07075,75.0,3,070
07076,20.0,1,070
07079,405.0,6,070
07080,150.0,5,070
07081,200.0,2,070
07083,40.0,3,070
07086,290.0,3,070
07087,100.0,1,070
07090,245.0,6,070
07092,35.0,2,070
07093,190.0,4,070
07094,20.0,1,070
07095,70.0,2,070
07105,20.0,1,071
07107,20.0,1,071
07109,45.0,5,071
07110,50.0,1,071
07203,79.0,2,072
07204,50.0,1,072
07205,45.0,2,072
07208,45.0,2,072
07302,496.0,6,073
07305,5.0,1,073
07306,50.0,1,073
07307,100.0,3,073
07310,110.0,3,073
07401,125.0,2,074
07403,50.0,2,074
07405,220.0,3,074
07410,260.0,5,074
07417,155.0,3,074
07418,50.0,1,074
07419,50.0,1,074
07420,125.0,2,074
07421,100.0,1,074
07422,105.0,2,074
07423,20.0,1,074
07424,70.0,3,074
07430,110.0,4,074
07432,25.0,1,074
07435,25.0,1,074
07436,100.0,4,074
07438,25.0,1,074
07446,300.0,3,074
07450,200.0,2,074
07452,210.0,4,074
07456,145.0,3,074
07457,25.0,1,074
07458,1950.0,9,074
07460,50.0,1,074
07461,320.0,5,074
07463,145.0,3,074
07465,50.0,1,074
07470,285.0,8,074
07480,275.0,7,074
07481,450.0,4,074
07506,126.0,2,075
07508,100.0,1,075
07512,200.0,3,075
07569,100.0,1,075
07601,10.0,1,076
07605,50.0,1,076
07607,50.0,1,076
07621,75.0,2,076
07626,120.0,2,076
07627,50.0,1,076
07628,140.0,3,076
07630,50.0,1,076
07631,10.0,1,076
07632,150.0,2,076
07640,25.0,1,076
07641,250.0,2,076
07642,255.0,8,076
07644,55.0,2,076
07645,250.0,3,076
07646,150.0,3,076
07649,500.0,2,076
07650,25.0,1,076
07656,48.0,2,076
07663,15.0,1,076
07666,90.0,2,076
07670,385.0,5,076
07675,739.0,11,076
07676,40.0,2,076
07677,50.0,1,076
07701,80.0,4,077
07702,45.0,2,077
07704,100.0,3,077
07708,25.0,1,077
07712,115.0,4,077
07716,420.0,5,077
07717,130.0,2,077
07719,545.0,9,077
07721,10.0,1,077
07722,50.0,1,077
07724,200.0,2,077
07726,50.0,2,077
07727,50.0,1,077
07728,520.0,11,077
07730,170.0,5,077
07731,162.0,5,077
07732,100.0,1,077
07733,120.0,2,077
07735,1340.0,8,077
07737,50.0,1,077
07738,350.0,5,077
07739,100.0,2,077
07740,210.0,3,077
07746,165.0,3,077
07747,652.0,6,077
07748,505.0,8,077
07750,20.0,2,077
07751,270.0,3,077
07753,245.0,4,077
07755,200.0,2,077
07756,25.0,1,077
07757,150.0,2,077
07758,20.0,1,077
07760,50.0,1,077
07801,25.0,1,078
07803,20.0,1,078
07821,150.0,3,078
07823,70.0,2,078
07825,225.0,3,078
07826,125.0,2,078
07828,25.0,1,078
07830,500.0,2,078
07832,50.0,1,078
07834,390.0,5,078
07836,165.0,5,078
07840,170.0,3,078
07843,50.0,2,078
07848,30.0,1,078
07849,200.0,1,078
07852,125.0,2,078
07853,75.0,2,078
07857,50.0,1,078
07860,365.0,4,078
07865,50.0,1,078
07866,323.0,6,078
07869,300.0,9,078
07871,260.0,6,078
07874,280.0,4,078
07876,195.0,4,078
07882,235.0,5,078
07885,60.0,2,078
07901,190.0,4,079
07902,55.0,2,079
07920,1910.0,12,079
07921,135.0,4,079
07922,290.0,5,079
07926,25.0,1,079
