county,area,confirmed_cases,cases_rate,confirmed_deaths,deaths_rate,county_date
Los Angeles,Los Angeles - Pico-Union,6714,16046,178,425,2021-02-09
Los Angeles,Los Angeles - Playa Del Rey,98,3066,0,0,2021-02-09
Los Angeles,Los Angeles - Playa Vista,528,4823,6,55,2021-02-09
Los Angeles,Los Angeles - Porter Ranch,2216,6227,27,76,2021-02-09
Los Angeles,Los Angeles - Rancho Park,322,4909,1,15,2021-02-09
Los Angeles,Los Angeles - Regent Square,225,8094,1,36,2021-02-09
Los Angeles,Los Angeles - Reseda,10773,14061,240,313,2021-02-09
Los Angeles,Los Angeles - Reseda Ranch,617,13309,2,43,2021-02-09
Los Angeles,Los Angeles - Reynier Village,237,5605,1,24,2021-02-09
Los Angeles,Los Angeles - San Pedro*,6452,8268,89,114,2021-02-09
Los Angeles,Los Angeles - Shadow Hills,354,7969,2,45,2021-02-09
Los Angeles,Los Angeles - Sherman Oaks,5168,5923,78,89,2021-02-09
Los Angeles,Los Angeles - Silverlake,2926,6637,91,206,2021-02-09
Los Angeles,Los Angeles - South Carthay,633,5975,5,47,2021-02-09
Los Angeles,Los Angeles - South Park,6984,18398,84,221,2021-02-09
Los Angeles,Los Angeles - St Elmo Village,642,14005,23,502,2021-02-09
Los Angeles,Los Angeles - Studio City,1199,5343,39,174,2021-02-09
Los Angeles,Los Angeles - Sun Valley,8764,16699,113,215,2021-02-09
Los Angeles,Los Angeles - Sunland,2065,10119,48,235,2021-02-09
Los Angeles,Los Angeles - Sycamore Square,27,4173,2,309,2021-02-09
Los Angeles,Los Angeles - Sylmar*,15032,18243,200,243,2021-02-09
Los Angeles,Los Angeles - Tarzana,3081,9979,66,214,2021-02-09
Los Angeles,Los Angeles - Temple-Beaudry,4728,11975,99,251,2021-02-09
Los Angeles,Los Angeles - Thai Town,807,8227,13,133,2021-02-09
Los Angeles,Los Angeles - Toluca Lake,448,5147,6,69,2021-02-09
Los Angeles,Los Angeles - Toluca Terrace,127,9724,4,306,2021-02-09
Los Angeles,Los Angeles - Toluca Woods,93,5005,0,0,2021-02-09
Los Angeles,Los Angeles - Tujunga,2563,9216,52,187,2021-02-09
Los Angeles,Los Angeles - University Hills,256,7466,1,29,2021-02-09
Los Angeles,Los Angeles - University Park,3146,11458,43,157,2021-02-09
Los Angeles,Los Angeles - Valley Glen,3518,11720,50,167,2021-02-09
Los Angeles,Los Angeles - Valley Village,1818,7354,51,206,2021-02-09
Los Angeles,Los Angeles - Van Nuys*,13677,14676,251,269,2021-02-09
Los Angeles,Los Angeles - Venice,1406,4149,12,35,2021-02-09
Los Angeles,Los Angeles - Vermont Knolls,2668,15512,48,279,2021-02-09
Los Angeles,Los Angeles - Vermont Square,1394,18206,13,170,2021-02-09
Los Angeles,Los Angeles - Vermont Vista,7116,17278,72,175,2021-02-09
Los Angeles,Los Angeles - Vernon Central,10553,20295,123,237,2021-02-09
Los Angeles,Los Angeles - Victoria Park,1001,11918,12,143,2021-02-09
Los Angeles,Los Angeles - View Heights,210,5685,4,108,2021-02-09
Los Angeles,Los Angeles - Watts,7060,16544,77,180,2021-02-09
Los Angeles,Los Angeles - Wellington Square,527,10722,8,163,2021-02-09
Los Angeles,Los Angeles - West Adams,3718,13456,119,431,2021-02-09
Los Angeles,Los Angeles - West Hills,2740,6758,83,205,2021-02-09
Los Angeles,Los Angeles - West Los Angeles,2098,5574,39,104,2021-02-09
Los Angeles,Los Angeles - West Vernon,9605,17905,150,280,2021-02-09
Los Angeles,Los Angeles - Westchester,2218,4298,38,74,2021-02-09
Los Angeles,Los Angeles - Westlake,7246,12208,252,425,2021-02-09
Los Angeles,Los Angeles - Westwood,2308,4265,21,39,2021-02-09
Los Angeles,Los Angeles - Wholesale District*,5998,16602,90,249,2021-02-09
Los Angeles,Los Angeles - Wilmington,7668,13575,75,133,2021-02-09
Los Angeles,Los Angeles - Wilshire Center,5194,10353,99,197,2021-02-09
Los Angeles,Los Angeles - Winnetka,6267,12102,57,110,2021-02-09
Los Angeles,Los Angeles - Woodland Hills,4466,6562,68,100,2021-02-09
Los Angeles,Unincorporated - Acton,409,5131,6,75,2021-02-09
Los Angeles,Unincorporated - Agua Dulce,242,5820,2,48,2021-02-09
Los Angeles,Unincorporated - Altadena,3016,6914,50,115,2021-02-09
Los Angeles,Unincorporated - Anaverde,139,9218,0,0,2021-02-09
Los Angeles,Unincorporated - Angeles National Forest,29,2329,0,0,2021-02-09
Los Angeles,Unincorporated - Arcadia,572,7167,13,163,2021-02-09
Los Angeles,Unincorporated - Athens-Westmont,5918,13944,72,170,2021-02-09
Los Angeles,Unincorporated - Athens Village,1003,20482,26,531,2021-02-09
Los Angeles,Unincorporated - Avocado Heights,1026,15144,12,177,2021-02-09
Los Angeles,Unincorporated - Azusa,2221,13948,28,176,2021-02-09
Los Angeles,Unincorporated - Bassett,2464,16630,37,250,2021-02-09
Los Angeles,Unincorporated - Bouquet Canyon,42,3914,1,93,2021-02-09
Los Angeles,Unincorporated - Bradbury,52,48148,22,20370,2021-02-09
Los Angeles,Unincorporated - Canyon Country,738,9550,3,39,2021-02-09
Los Angeles,Unincorporated - Castaic*,3484,12813,12,44,2021-02-09
Los Angeles,Unincorporated - Cerritos,70,11925,0,0,2021-02-09
Los Angeles,Unincorporated - Charter Oak,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - Claremont,40,5698,4,570,2021-02-09
Los Angeles,Unincorporated - Covina,2186,12997,30,178,2021-02-09
Los Angeles,Unincorporated - Covina (Charter Oak),1431,10887,8,61,2021-02-09
Los Angeles,Unincorporated - Del Aire,269,6123,3,68,2021-02-09
Los Angeles,Unincorporated - Del Rey,22,6918,0,0,2021-02-09
Los Angeles,Unincorporated - Del Sur,155,6418,1,41,2021-02-09
Los Angeles,Unincorporated - Desert View Highlands,318,12756,3,120,2021-02-09
Los Angeles,Unincorporated - Duarte,793,17909,9,203,2021-02-09
Los Angeles,Unincorporated - East Covina,34,10334,1,304,2021-02-09
Los Angeles,Unincorporated - East La Mirada,464,8768,5,94,2021-02-09
Los Angeles,Unincorporated - East Lancaster,15,13158,0,0,2021-02-09
Los Angeles,Unincorporated - East Los Angeles,23889,19070,323,258,2021-02-09
Los Angeles,Unincorporated - East Pasadena,181,2827,6,94,2021-02-09
Los Angeles,Unincorporated - East Rancho Dominguez,2615,17083,40,261,2021-02-09
Los Angeles,Unincorporated - East Whittier,433,8161,6,113,2021-02-09
Los Angeles,Unincorporated - El Camino Village,751,8543,11,125,2021-02-09
Los Angeles,Unincorporated - El Monte,23,15862,0,0,2021-02-09
Los Angeles,Unincorporated - Elizabeth Lake,71,4275,0,0,2021-02-09
Los Angeles,Unincorporated - Florence-Firestone,12930,19983,162,250,2021-02-09
Los Angeles,Unincorporated - Franklin Canyon,1,8333,0,0,2021-02-09
Los Angeles,Unincorporated - Glendora,61,9242,2,303,2021-02-09
Los Angeles,Unincorporated - Hacienda Heights,4847,8667,82,147,2021-02-09
Los Angeles,Unincorporated - Harbor Gateway,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - Hawthorne,296,11774,1,40,2021-02-09
Los Angeles,Unincorporated - Hi Vista,42,3825,0,0,2021-02-09
Los Angeles,Unincorporated - Kagel/Lopez Canyons,198,14023,2,142,2021-02-09
Los Angeles,Unincorporated - La Crescenta-Montrose,969,4894,9,45,2021-02-09
Los Angeles,Unincorporated - La Habra Heights,13,1923,1,148,2021-02-09
Los Angeles,Unincorporated - La Rambla,219,10554,15,723,2021-02-09
Los Angeles,Unincorporated - La Verne*,148,7255,1,49,2021-02-09
Los Angeles,Unincorporated - Ladera Heights,342,4837,10,141,2021-02-09
Los Angeles,Unincorporated - Lake Hughes,38,5689,1,150,2021-02-09
Los Angeles,Unincorporated - Lake Los Angeles,1466,11282,13,100,2021-02-09
Los Angeles,Unincorporated - Lake Manor,123,7486,2,122,2021-02-09
Los Angeles,Unincorporated - Lakewood,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - Lennox,3293,14608,39,173,2021-02-09
Los Angeles,Unincorporated - Leona Valley,103,5882,0,0,2021-02-09
Los Angeles,Unincorporated - Littlerock,490,12186,5,124,2021-02-09
Los Angeles,Unincorporated - Littlerock/Juniper Hills,103,7941,1,77,2021-02-09
Los Angeles,Unincorporated - Littlerock/Pearblossom,481,13477,7,196,2021-02-09
Los Angeles,Unincorporated - Llano,35,3991,0,0,2021-02-09
Los Angeles,Unincorporated - Marina del Rey,314,3337,0,0,2021-02-09
Los Angeles,Unincorporated - Miracle Mile,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - Monrovia,345,8889,1,26,2021-02-09
Los Angeles,Unincorporated - Newhall,66,30000,1,455,2021-02-09
Los Angeles,Unincorporated - North Lancaster,135,11269,2,167,2021-02-09
Los Angeles,Unincorporated - North Whittier,1049,12548,21,251,2021-02-09
Los Angeles,Unincorporated - Northeast San Gabriel,1533,6378,31,129,2021-02-09
Los Angeles,Unincorporated - Padua Hills,9,4186,0,0,2021-02-09
Los Angeles,Unincorporated - Palmdale,107,12708,2,238,2021-02-09
Los Angeles,Unincorporated - Palos Verdes Peninsula,19,3060,0,0,2021-02-09
Los Angeles,Unincorporated - Pearblossom/Llano,114,5828,1,51,2021-02-09
Los Angeles,Unincorporated - Pellissier Village,157,25363,1,162,2021-02-09
Los Angeles,Unincorporated - Placerita Canyon,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - Pomona,58,2993,1,52,2021-02-09
Los Angeles,Unincorporated - Quartz Hill,1069,8283,19,147,2021-02-09
Los Angeles,Unincorporated - Rancho Dominguez,349,13115,5,188,2021-02-09
Los Angeles,Unincorporated - Roosevelt,80,8593,0,0,2021-02-09
Los Angeles,Unincorporated - Rosewood,146,11353,2,156,2021-02-09
Los Angeles,Unincorporated - Rosewood/East Gardena,147,12322,5,419,2021-02-09
Los Angeles,Unincorporated - Rosewood/West Rancho Dominguez,472,14043,7,208,2021-02-09
Los Angeles,Unincorporated - Rowland Heights,3407,6678,43,84,2021-02-09
Los Angeles,Unincorporated - San Clemente Island,0,0,0,0,2021-02-09
Los Angeles,Unincorporated - San Francisquito Canyon/Bouquet Canyon,14,1632,0,0,2021-02-09
Los Angeles,Unincorporated - San Jose Hills,3329,16463,47,232,2021-02-09
Los Angeles,Unincorporated - San Pasqual,29,1425,1,49,2021-02-09
Los Angeles,Unincorporated - Sand Canyon,15,4870,0,0,2021-02-09
Los Angeles,Unincorporated - Santa Catalina Island,153,57303,1,375,2021-02-09
Los Angeles,Unincorporated - Santa Monica Mountains*,493,2648,4,21,2021-02-09
Los Angeles,Unincorporated - Saugus,125,80645,0,0,2021-02-09
Los Angeles,Unincorporated - Saugus/Canyon Country,34,9551,0,0,2021-02-09
Los Angeles,Unincorporated - South Antelope Valley,25,5495,0,0,2021-02-09
Los Angeles,Unincorporated - South El Monte,336,18719,4,223,2021-02-09
