zip,donation_amount_sum,donation_amount_count,city,state,x,y
10460,10.0,1,Bronx,NY,-73.87,40.84
10461,240.0,6,Bronx,NY,-73.87,40.84
10463,495.0,10,Bronx,NY,-73.87,40.84
10465,10.0,1,Bronx,NY,-73.87,40.84
10466,50.0,1,Bronx,NY,-73.87,40.84
10467,250.0,2,Bronx,NY,-73.87,40.84
10469,20.0,1,Bronx,NY,-73.87,40.84
10470,150.0,2,Bronx,NY,-73.87,40.84
10471,94.0,4,Bronx,NY,-73.87,40.84
10472,125.0,2,Bronx,NY,-73.87,40.84
10502,150.0,3,Ardsley,NY,-73.84,41.01
10504,100.0,1,Armonk,NY,-73.71,41.13
10506,75.0,2,Bedford,NY,-73.64,41.19
10509,370.0,7,Brewster,NY,-73.61,41.39
10511,100.0,2,Buchanan,NY,-73.94,41.26
10512,150.0,5,Carmel,NY,-73.68,41.41
10514,700.0,3,Chappaqua,NY,-73.77,41.17
10520,150.0,3,Croton On Hudson,NY,-73.89,41.22
10523,20.0,1,Elmsford,NY,-73.81,41.05
10528,120.0,4,Harrison,NY,-73.72,41.02
10530,345.0,3,Hartsdale,NY,-73.8,41.02
10532,100.0,1,Hawthorne,NY,-73.79,41.1
10533,250.0,3,Irvington,NY,-73.86,41.03
10535,75.0,1,Jefferson Valley,NY,-73.79,41.33
10536,475.0,5,Katonah,NY,-73.68,41.26
10538,271.0,5,Larchmont,NY,-73.75,40.92
10541,280.0,7,Mahopac,NY,-73.74,41.36
10543,18.0,1,Mamaroneck,NY,-73.72,40.93
10546,200.0,1,Millwood,NY,-73.79,41.19
10547,36.0,1,Mohegan Lake,NY,-73.84,41.31
10549,125.0,2,Mount Kisco,NY,-73.73,41.2
10552,70.0,3,Mount Vernon,NY,-73.82,40.91
10562,30.0,1,Ossining,NY,-73.87,41.15
10567,175.0,3,Cortlandt Manor,NY,-73.89,41.3
10570,222.0,3,Pleasantville,NY,-73.78,41.13
10573,130.0,2,Port Chester,NY,-73.66,41.0
10576,200.0,2,Pound Ridge,NY,-73.57,41.21
10579,150.0,2,Putnam Valley,NY,-73.87,41.34
10580,300.0,4,Rye,NY,-73.69,40.98
10583,650.0,7,Scarsdale,NY,-73.77,40.98
10588,100.0,1,Shrub Oak,NY,-73.82,41.32
10589,50.0,2,Somers,NY,-73.69,41.33
10590,375.0,5,South Salem,NY,-73.54,41.25
10591,475.0,8,Tarrytown,NY,-73.86,41.06
10594,200.0,2,Thornwood,NY,-73.76,41.11
10595,30.0,1,Valhalla,NY,-73.77,41.07
10598,230.0,5,Yorktown Heights,NY,-73.78,41.27
10601,200.0,1,White Plains,NY,-73.75,41.02
10603,50.0,2,White Plains,NY,-73.75,41.02
10604,270.0,3,West Harrison,NY,-73.74,41.05
10605,280.0,5,White Plains,NY,-73.75,41.02
10606,61.0,2,White Plains,NY,-73.75,41.02
10701,250.0,5,Yonkers,NY,-73.86,40.94
10703,50.0,1,Yonkers,NY,-73.86,40.94
10704,590.0,4,Yonkers,NY,-73.86,40.94
10705,160.0,3,Yonkers,NY,-73.86,40.94
10707,60.0,2,Tuckahoe,NY,-73.82,40.95
10708,1065.0,10,Bronxville,NY,-73.82,40.93
10709,150.0,2,Eastchester,NY,-73.8,40.95
10710,395.0,5,Yonkers,NY,-73.86,40.94
10801,20.0,1,New Rochelle,NY,-73.77,40.92
10803,220.0,4,Pelham,NY,-73.8,40.91
10804,75.0,2,New Rochelle,NY,-73.78,40.94
10805,150.0,2,New Rochelle,NY,-73.77,40.92
10901,445.0,12,Suffern,NY,-74.14,41.11
10913,300.0,2,Blauvelt,NY,-73.95,41.06
10914,25.0,1,Blooming Grove,NY,-74.19,41.35
10916,210.0,2,Campbell Hall,NY,-74.25,41.44
10918,335.0,7,Chester,NY,-74.27,41.35
10920,200.0,2,Congers,NY,-73.94,41.14
10922,50.0,2,Fort Montgomery,NY,-73.98,41.33
10923,135.0,3,Garnerville,NY,-74.0,41.2
10924,60.0,2,Goshen,NY,-74.32,41.4
10925,225.0,4,Greenwood Lake,NY,-74.28,41.22
10928,100.0,1,Highland Falls,NY,-73.96,41.36
10930,25.0,1,Highland Mills,NY,-74.12,41.35
10940,118.0,7,Middletown,NY,-74.42,41.44
10941,80.0,3,Middletown,NY,-74.42,41.44
10950,170.0,3,Monroe,NY,-74.18,41.32
10952,36.0,2,Monsey,NY,-74.06,41.11
10953,100.0,1,Mountainville,NY,-74.05,41.41
10954,200.0,3,Nanuet,NY,-74.01,41.09
10956,85.0,3,New City,NY,-73.99,41.15
10960,20.0,1,Nyack,NY,-73.91,41.09
10965,110.0,2,Pearl River,NY,-74.0,41.06
10970,50.0,1,Pomona,NY,-74.05,41.18
10973,25.0,1,Slate Hill,NY,-74.49,41.37
10974,40.0,1,Sloatsburg,NY,-74.19,41.16
10976,60.0,3,Sparkill,NY,-73.9,41.02
10977,150.0,2,Spring Valley,NY,-74.04,41.11
10980,333.0,1,Stony Point,NY,-73.99,41.22
10983,10.0,1,Tappan,NY,-73.95,41.02
10985,10.0,1,Thompson Ridge,NY,-74.36,41.58
10989,295.0,3,Valley Cottage,NY,-73.94,41.11
10990,795.0,11,Warwick,NY,-74.35,41.25
10992,450.0,7,Washingtonville,NY,-74.15,41.42
10994,60.0,2,West Nyack,NY,-73.96,41.09
10998,200.0,3,Westtown,NY,-74.54,41.32
11001,185.0,4,Floral Park,NY,-73.7,40.72
11003,20.0,1,Elmont,NY,-73.7,40.7
11004,75.0,2,Glen Oaks,NY,-73.71,40.74
11010,155.0,5,Franklin Square,NY,-73.67,40.7
11020,60.0,1,Great Neck,NY,-73.73,40.8
11021,200.0,2,Great Neck,NY,-73.73,40.8
11023,20.0,1,Great Neck,NY,-73.73,40.8
11030,420.0,3,Manhasset,NY,-73.69,40.79
11040,730.0,7,New Hyde Park,NY,-73.68,40.73
11050,300.0,5,Port Washington,NY,-73.68,40.82
11096,18.0,1,Inwood,NY,-73.75,40.62
11101,332.0,6,Long Island City,NY,-73.93,40.74
11102,85.0,3,Astoria,NY,-73.91,40.78
11103,320.0,5,Astoria,NY,-73.91,40.78
11104,120.0,2,Sunnyside,NY,-73.92,40.74
11105,350.0,2,Astoria,NY,-73.91,40.78
11106,110.0,4,Astoria,NY,-73.91,40.78
11109,50.0,2,Long Island City,NY,-73.93,40.74
11201,810.0,9,Brooklyn,NY,-73.94,40.64
11203,25.0,1,Brooklyn,NY,-73.94,40.64
11204,15.0,2,Brooklyn,NY,-73.94,40.64
11205,190.0,6,Brooklyn,NY,-73.94,40.64
11206,150.0,2,Brooklyn,NY,-73.94,40.64
11209,530.0,8,Brooklyn,NY,-73.94,40.64
11210,50.0,1,Brooklyn,NY,-73.94,40.64
11211,210.0,4,Brooklyn,NY,-73.94,40.64
11213,298.0,7,Brooklyn,NY,-73.94,40.64
11214,325.0,7,Brooklyn,NY,-73.94,40.64
11215,211.0,6,Brooklyn,NY,-73.94,40.64
11217,760.0,10,Brooklyn,NY,-73.94,40.64
11218,423.0,8,Brooklyn,NY,-73.94,40.64
11219,175.0,3,Brooklyn,NY,-73.94,40.64
11220,525.0,9,Brooklyn,NY,-73.94,40.64
11221,160.0,3,Brooklyn,NY,-73.94,40.64
11222,730.0,9,Brooklyn,NY,-73.94,40.64
11223,215.0,7,Brooklyn,NY,-73.94,40.64
11224,300.0,3,Brooklyn,NY,-73.94,40.64
11225,100.0,1,Brooklyn,NY,-73.94,40.64
11226,310.0,4,Brooklyn,NY,-73.94,40.64
11228,205.0,3,Brooklyn,NY,-73.94,40.64
11229,425.0,8,Brooklyn,NY,-73.94,40.64
11230,478.0,8,Brooklyn,NY,-73.94,40.64
11231,1040.0,3,Brooklyn,NY,-73.94,40.64
11233,37.0,2,Brooklyn,NY,-73.94,40.64
11234,200.0,6,Brooklyn,NY,-73.94,40.64
11235,1405.0,10,Brooklyn,NY,-73.94,40.64
11236,100.0,1,Brooklyn,NY,-73.94,40.64
11237,120.0,2,Brooklyn,NY,-73.94,40.64
11238,25.0,1,Brooklyn,NY,-73.94,40.64
11249,15.0,2,Brooklyn,NY,-73.94,40.64
11354,125.0,3,Flushing,NY,-73.84,40.77
11355,470.0,3,Flushing,NY,-73.84,40.77
11356,125.0,2,College Point,NY,-73.84,40.78
11357,670.0,6,Whitestone,NY,-73.81,40.79
11358,245.0,5,Flushing,NY,-73.84,40.77
11360,350.0,2,Bayside,NY,-73.78,40.78
11361,105.0,3,Bayside,NY,-73.77,40.76
11362,210.0,3,Little Neck,NY,-73.74,40.76
11364,120.0,4,Oakland Gardens,NY,-73.75,40.74
11367,101.0,4,Flushing,NY,-73.84,40.77
11370,5.0,1,East Elmhurst,NY,-73.88,40.76
11372,20.0,1,Jackson Heights,NY,-73.88,40.75
11373,190.0,5,Elmhurst,NY,-73.87,40.72
11374,200.0,2,Rego Park,NY,-73.86,40.72
11375,763.0,15,Forest Hills,NY,-73.84,40.72
11377,390.0,10,Woodside,NY,-73.9,40.74
11378,520.0,8,Maspeth,NY,-73.9,40.72
11379,402.0,9,Middle Village,NY,-73.88,40.71
11385,190.0,4,Ridgewood,NY,-73.89,40.7
11412,20.0,1,Saint Albans,NY,-73.75,40.69
11414,25.0,1,Howard Beach,NY,-73.84,40.66
11415,33.0,2,Kew Gardens,NY,-73.82,40.7
11417,50.0,1,Ozone Park,NY,-73.85,40.69
11418,130.0,4,Richmond Hill,NY,-73.83,40.69
11419,20.0,1,South Richmond Hill,NY,-73.82,40.68
11420,149.0,2,South Ozone Park,NY,-73.81,40.67
11421,125.0,2,Woodhaven,NY,-73.85,40.69
11426,165.0,5,Bellerose,NY,-73.71,40.72
11427,25.0,1,Queens Village,NY,-73.74,40.72
11429,10.0,1,Queens Village,NY,-73.74,40.72
11432,75.0,3,Jamaica,NY,-73.78,40.68
11435,50.0,1,Jamaica,NY,-73.78,40.68
11501,125.0,2,Mineola,NY,-73.63,40.74
11507,50.0,1,Albertson,NY,-73.64,40.77
11510,48.0,3,Baldwin,NY,-73.61,40.66
11514,15.0,1,Carle Place,NY,-73.61,40.75
11516,50.0,1,Cedarhurst,NY,-73.72,40.62
11518,70.0,3,East Rockaway,NY,-73.66,40.64
11520,120.0,3,Freeport,NY,-73.58,40.65
11530,455.0,10,Garden City,NY,-73.64,40.72
11542,765.0,7,Glen Cove,NY,-73.63,40.86
11545,110.0,2,Glen Head,NY,-73.61,40.84
11548,1000.0,1,Greenvale,NY,-73.62,40.81
11550,70.0,3,Hempstead,NY,-73.61,40.7
11552,75.0,2,West Hempstead,NY,-73.65,40.69
11554,85.0,3,East Meadow,NY,-73.55,40.71
11558,20.0,1,Island Park,NY,-73.64,40.6
11559,225.0,2,Lawrence,NY,-73.71,40.6
11560,190.0,2,Locust Valley,NY,-73.58,40.88
11561,946.0,13,Long Beach,NY,-73.65,40.58
11563,632.0,8,Lynbrook,NY,-73.67,40.65
11566,70.0,2,Merrick,NY,-73.55,40.65
11569,70.0,2,Point Lookout,NY,-73.58,40.59
11570,295.0,8,Rockville Centre,NY,-73.63,40.66
11572,690.0,11,Oceanside,NY,-73.63,40.63
11577,50.0,1,Roslyn Heights,NY,-73.64,40.77
11579,120.0,2,Sea Cliff,NY,-73.64,40.84
11580,118.0,2,Valley Stream,NY,-73.7,40.66
11581,130.0,3,Valley Stream,NY,-73.7,40.66
11590,195.0,2,Westbury,NY,-73.58,40.75
11596,240.0,3,Williston Park,NY,-73.64,40.75
11598,300.0,2,Woodmere,NY,-73.72,40.63
11691,15.0,1,Far Rockaway,NY,-73.81,40.59
11692,50.0,1,Arverne,NY,-73.79,40.59
11693,115.0,2,Far Rockaway,NY,-73.81,40.59
11694,235.0,4,Rockaway Park,NY,-73.85,40.57
11697,95.0,4,Breezy Point,NY,-73.91,40.56
11701,125.0,2,Amityville,NY,-73.41,40.66
11702,425.0,4,Babylon,NY,-73.32,40.69
11703,120.0,3,North Babylon,NY,-73.32,40.73
11704,390.0,6,West Babylon,NY,-73.35,40.71
11705,100.0,1,Bayport,NY,-73.05,40.74
11706,25.0,1,Bay Shore,NY,-73.25,40.72
11709,50.0,1,Bayville,NY,-73.56,40.9
11710,270.0,4,Bellmore,NY,-73.52,40.65
11713,15.0,1,Bellport,NY,-72.94,40.75
11714,280.0,5,Bethpage,NY,-73.48,40.74
11715,30.0,1,Blue Point,NY,-73.03,40.75
11716,100.0,2,Bohemia,NY,-73.12,40.77
11717,20.0,1,Brentwood,NY,-73.24,40.78
11718,200.0,2,Brightwaters,NY,-73.26,40.71
11720,260.0,5,Centereach,NY,-73.08,40.87
11721,55.0,3,Centerport,NY,-73.37,40.9
11722,45.0,2,Central Islip,NY,-73.19,40.78
11724,100.0,2,Cold Spring Harbor,NY,-73.44,40.86
11725,266.0,7,Commack,NY,-73.28,40.84
11726,20.0,1,Copiague,NY,-73.39,40.67
11727,25.0,1,Coram,NY,-73.0,40.87
11729,120.0,3,Deer Park,NY,-73.32,40.76
11730,230.0,4,East Islip,NY,-73.18,40.72
11731,205.0,5,East Northport,NY,-73.32,40.87
11733,431.0,7,East Setauket,NY,-73.1,40.93
11735,245.0,6,Farmingdale,NY,-73.44,40.73
11738,185.0,3,Farmingville,NY,-73.04,40.84
11740,345.0,6,Greenlawn,NY,-73.36,40.86
11741,90.0,4,Holbrook,NY,-73.07,40.79
11742,30.0,1,Holtsville,NY,-73.04,40.81
11743,504.0,8,Huntington,NY,-73.4,40.87
11746,420.0,9,Huntington Station,NY,-73.4,40.84
11747,55.0,3,Melville,NY,-73.41,40.78
11749,220.0,3,Islandia,NY,-73.17,40.8
11751,150.0,2,Islip,NY,-73.21,40.73
11752,20.0,1,Islip Terrace,NY,-73.18,40.74
11753,250.0,4,Jericho,NY,-73.54,40.78
11754,50.0,1,Kings Park,NY,-73.24,40.89
11755,80.0,3,Lake Grove,NY,-73.11,40.85
11756,240.0,5,Levittown,NY,-73.51,40.72
11757,400.0,8,Lindenhurst,NY,-73.37,40.68
11758,1050.0,9,Massapequa,NY,-73.47,40.66
11762,265.0,5,Massapequa Park,NY,-73.44,40.68
11763,405.0,5,Medford,NY,-72.98,40.82
11764,50.0,1,Miller Place,NY,-72.98,40.93
11766,137.0,4,Mount Sinai,NY,-73.01,40.93
11767,55.0,3,Nesconset,NY,-73.15,40.84
11768,120.0,4,Northport,NY,-73.34,40.9
11769,120.0,2,Oakdale,NY,-73.13,40.73
11771,300.0,5,Oyster Bay,NY,-73.53,40.86
11772,310.0,7,Patchogue,NY,-73.01,40.76
11776,111.0,2,Port Jefferson Station,NY,-73.06,40.92
11777,225.0,4,Port Jefferson,NY,-73.05,40.94
11778,20.0,2,Rocky Point,NY,-72.92,40.92
11779,185.0,5,Ronkonkoma,NY,-73.12,40.8
11780,800.0,6,Saint James,NY,-73.15,40.87
11782,200.0,3,Sayville,NY,-73.08,40.74
11783,300.0,3,Seaford,NY,-73.49,40.66
11784,140.0,2,Selden,NY,-73.04,40.86
11787,291.0,8,Smithtown,NY,-73.21,40.85
11788,243.0,5,Hauppauge,NY,-73.21,40.82
11789,35.0,2,Sound Beach,NY,-72.96,40.95
11790,100.0,2,Stony Brook,NY,-73.12,40.9
11791,75.0,2,Syosset,NY,-73.5,40.81
11792,95.0,3,Wading River,NY,-72.81,40.94
11793,70.0,3,Wantagh,NY,-73.51,40.66
11795,410.0,6,West Islip,NY,-73.29,40.7
11798,25.0,1,Wyandanch,NY,-73.37,40.74
11801,10.0,1,Hicksville,NY,-73.52,40.76
11803,370.0,4,Plainview,NY,-73.47,40.78
11804,24.0,1,Old Bethpage,NY,-73.45,40.75
11901,310.0,6,Riverhead,NY,-72.67,40.94
11930,25.0,1,Amagansett,NY,-72.18,40.98
11932,500.0,1,Bridgehampton,NY,-72.29,40.94
11933,208.0,3,Calverton,NY,-72.76,40.92
11934,160.0,3,Center Moriches,NY,-72.79,40.79
11935,150.0,2,Cutchogue,NY,-72.48,41.01
11937,400.0,5,East Hampton,NY,-72.19,40.95
11940,225.0,4,East Moriches,NY,-72.76,40.81
11944,20.0,1,Greenport,NY,-72.36,41.1
11946,80.0,3,Hampton Bays,NY,-72.52,40.86
11949,320.0,4,Manorville,NY,-72.79,40.85
11951,75.0,2,Mastic Beach,NY,-72.84,40.76
11953,70.0,2,Middle Island,NY,-72.94,40.88
11954,90.0,3,Montauk,NY,-71.94,41.04
11956,100.0,1,New Suffolk,NY,-72.48,40.99
11960,210.0,3,Remsenburg,NY,-72.42,40.89
11961,50.0,1,Ridge,NY,-72.88,40.91
11963,207.0,4,Sag Harbor,NY,-72.29,40.99
11964,20.0,1,Shelter Island,NY,-72.32,41.06
11967,45.0,1,Shirley,NY,-72.87,40.79
11968,150.0,2,Southampton,NY,-72.39,40.88
11971,180.0,4,Southold,NY,-72.42,41.05
11977,165.0,4,Westhampton,NY,-72.66,40.83
11978,70.0,2,Westhampton Beach,NY,-72.61,40.8
11980,200.0,2,Yaphank,NY,-72.92,40.83
12009,100.0,1,Altamont,NY,-74.03,42.7
12010,131.0,3,Amsterdam,NY,-74.19,42.94
12015,50.0,1,Athens,NY,-73.81,42.26
12018,55.0,2,Averill Park,NY,-73.55,42.63
12019,415.0,5,Ballston Lake,NY,-73.84,42.92
12020,745.0,16,Ballston Spa,NY,-73.85,43.0
12027,20.0,1,Burnt Hills,NY,-73.9,42.91
12028,100.0,1,Buskirk,NY,-73.45,42.96
12029,28.0,2,Canaan,NY,-73.41,42.41
12043,25.0,1,Cobleskill,NY,-74.48,42.67
12047,265.0,5,Cohoes,NY,-73.7,42.77
12051,100.0,1,Coxsackie,NY,-73.8,42.35
12053,75.0,2,Delanson,NY,-74.18,42.74
12054,70.0,2,Delmar,NY,-73.83,42.62
12059,50.0,1,East Berne,NY,-74.05,42.61
12061,40.0,2,East Greenbush,NY,-73.7,42.59
12063,25.0,1,East Schodack,NY,-73.68,42.52
12065,720.0,15,Clifton Park,NY,-73.8,42.85
12066,25.0,1,Esperance,NY,-74.25,42.76
12070,50.0,1,Fort Johnson,NY,-74.23,42.95
12075,25.0,1,Ghent,NY,-73.64,42.3
12076,10.0,1,Gilboa,NY,-74.39,42.39
12077,125.0,2,Glenmont,NY,-73.78,42.59
12078,45.0,3,Gloversville,NY,-74.34,43.05
12087,5.0,1,Hannacroix,NY,-73.88,42.42
12095,20.0,1,Johnstown,NY,-74.37,43.0
12110,192.0,6,Latham,NY,-73.74,42.74
12117,125.0,2,Mayfield,NY,-74.26,43.1
12118,40.0,2,Mechanicville,NY,-73.69,42.9
12121,25.0,1,Melrose,NY,-73.6,42.85
12122,50.0,1,Middleburgh,NY,-74.32,42.59
12134,100.0,1,Northville,NY,-74.17,43.22
12136,325.0,3,Old Chatham,NY,-73.56,42.42
12140,25.0,1,Poestenkill,NY,-73.56,42.69
12144,215.0,5,Rensselaer,NY,-73.73,42.64
12148,300.0,2,Rexford,NY,-73.85,42.84
12149,25.0,1,Richmondville,NY,-74.56,42.63
12150,20.0,1,Rotterdam Junction,NY,-74.04,42.87
12151,100.0,2,Round Lake,NY,-73.79,42.93
12157,120.0,3,Schoharie,NY,-74.31,42.66
12158,220.0,3,Selkirk,NY,-73.8,42.53
12159,45.0,2,Slingerlands,NY,-73.88,42.64
12170,50.0,1,Stillwater,NY,-73.64,42.95
12180,180.0,4,Troy,NY,-73.67,42.73
12182,60.0,2,Troy,NY,-73.67,42.73
12184,150.0,3,Valatie,NY,-73.67,42.41
12186,170.0,4,Voorheesville,NY,-73.93,42.64
12188,240.0,5,Waterford,NY,-73.67,42.79
12192,25.0,1,West Coxsackie,NY,-73.81,42.4
12193,50.0,1,Westerlo,NY,-74.04,42.51
12196,40.0,2,West Sand Lake,NY,-73.6,42.63
12198,92.0,4,Wynantskill,NY,-73.63,42.68
12201,80.0,1,Albany,NY,-73.79,42.66
12203,600.0,9,Albany,NY,-73.79,42.66
12204,20.0,1,Albany,NY,-73.79,42.66
12205,324.0,7,Albany,NY,-73.79,42.66
12208,155.0,3,Albany,NY,-73.79,42.66
12209,30.0,1,Albany,NY,-73.79,42.66
12211,250.0,3,Albany,NY,-73.79,42.66
12302,375.0,4,Schenectady,NY,-73.92,42.8
12303,220.0,4,Schenectady,NY,-73.92,42.8
12304,125.0,3,Schenectady,NY,-73.92,42.8
12306,55.0,2,Schenectady,NY,-73.92,42.8
12309,605.0,7,Schenectady,NY,-73.92,42.8
12345,385.0,7,Schenectady,NY,-73.92,42.8
12401,165.0,5,Kingston,NY,-73.99,41.93
12402,50.0,1,Kingston,NY,-73.99,41.93
12404,125.0,4,Accord,NY,-74.23,41.8
12413,40.0,2,Cairo,NY,-74.0,42.3
12414,220.0,2,Catskill,NY,-73.86,42.21
12423,15.0,1,East Durham,NY,-74.11,42.38
12443,45.0,2,Hurley,NY,-74.05,41.91
12446,155.0,2,Kerhonkson,NY,-74.29,41.77
12449,25.0,1,Lake Katrine,NY,-73.99,41.98
12451,25.0,1,Leeds,NY,-73.94,42.3
12456,250.0,2,Mount Marion,NY,-74.0,42.03
12457,400.0,1,Mount Tremper,NY,-74.23,42.04
12461,150.0,2,Olivebridge,NY,-74.24,41.89
12463,100.0,1,Palenville,NY,-74.01,42.17
12470,100.0,1,Purling,NY,-74.0,42.26
12477,63.0,3,Saugerties,NY,-73.94,42.07
12486,20.0,1,Tillson,NY,-74.06,41.83
12487,25.0,1,Ulster Park,NY,-73.99,41.86
12492,50.0,1,West Kill,NY,-74.34,42.18
12496,100.0,1,Windham,NY,-74.25,42.3
12498,250.0,2,Woodstock,NY,-74.11,42.03
12501,50.0,1,Amenia,NY,-73.55,41.84
12508,400.0,3,Beacon,NY,-73.96,41.5
12514,20.0,1,Clinton Corners,NY,-73.76,41.87
12515,50.0,1,Clintondale,NY,-74.04,41.69
12518,25.0,1,Cornwall,NY,-74.04,41.41
12524,270.0,5,Fishkill,NY,-73.89,41.53
12525,50.0,1,Gardiner,NY,-74.18,41.68
12526,225.0,2,Germantown,NY,-73.85,42.11
12528,50.0,1,Highland,NY,-73.96,41.71
12529,65.0,2,Hillsdale,NY,-73.54,42.2
12533,190.0,6,Hopewell Junction,NY,-73.8,41.58
12534,245.0,3,Hudson,NY,-73.78,42.25
12538,175.0,5,Hyde Park,NY,-73.93,41.78
12540,20.0,1,Lagrangeville,NY,-73.73,41.67
12545,75.0,2,Millbrook,NY,-73.69,41.78
12546,150.0,2,Millerton,NY,-73.51,41.95
12547,60.0,2,Milton,NY,-73.96,41.65
12549,25.0,1,Montgomery,NY,-74.23,41.52
12550,750.0,9,Newburgh,NY,-74.02,41.5
12553,40.0,2,New Windsor,NY,-74.02,41.47
12561,220.0,5,New Paltz,NY,-74.08,41.74
12563,50.0,1,Patterson,NY,-73.58,41.5
12564,25.0,2,Pawling,NY,-73.59,41.56
12566,190.0,4,Pine Bush,NY,-74.29,41.6
12569,75.0,2,Pleasant Valley,NY,-73.82,41.74
12570,18.0,1,Poughquag,NY,-73.66,41.63
12571,110.0,3,Red Hook,NY,-73.87,41.99
12575,45.0,2,Rock Tavern,NY,-74.16,41.47
12580,10.0,1,Staatsburg,NY,-73.92,41.84
12586,20.0,1,Walden,NY,-74.18,41.55
12589,10.0,1,Wallkill,NY,-74.16,41.6
12590,305.0,8,Wappingers Falls,NY,-73.91,41.59
12594,200.0,2,Wingdale,NY,-73.56,41.64
12601,215.0,4,Poughkeepsie,NY,-73.92,41.69
12603,645.0,9,Poughkeepsie,NY,-73.92,41.69
12732,150.0,1,Eldred,NY,-74.88,41.52
12733,100.0,1,Fallsburg,NY,-74.6,41.73
12734,25.0,1,Ferndale,NY,-74.73,41.77
12740,25.0,1,Grahamsville,NY,-74.54,41.84
12763,20.0,1,Mountain Dale,NY,-74.53,41.68
12767,200.0,1,Obernburg,NY,-75.0,41.84
12768,50.0,1,Parksville,NY,-74.76,41.85
12770,50.0,1,Pond Eddy,NY,-74.82,41.44
12801,5.0,1,Glens Falls,NY,-73.64,43.31
12803,79.0,2,South Glens Falls,NY,-73.63,43.29
12804,120.0,3,Queensbury,NY,-73.67,43.34
12814,255.0,2,Bolton Landing,NY,-73.65,43.55
12816,160.0,3,Cambridge,NY,-73.38,43.02
12828,50.0,1,Fort Edward,NY,-73.58,43.26
12831,150.0,2,Gansevoort,NY,-73.64,43.19
12832,20.0,1,Granville,NY,-73.26,43.4
12834,485.0,5,Greenwich,NY,-73.49,43.08
12839,25.0,1,Hudson Falls,NY,-73.58,43.3
12844,100.0,1,Kattskill Bay,NY,-73.62,43.51
12845,50.0,1,Lake George,NY,-73.71,43.42
12846,20.0,1,Lake Luzerne,NY,-73.8,43.32
12847,20.0,1,Long Lake,NY,-74.42,43.97
12853,22.0,1,North Creek,NY,-73.98,43.69
12859,10.0,1,Porter Corners,NY,-73.88,43.14
12866,210.0,8,Saratoga Springs,NY,-73.77,43.06
12870,40.0,1,Schroon Lake,NY,-73.73,43.83
12883,100.0,2,Ticonderoga,NY,-73.42,43.84
12886,25.0,1,Wevertown,NY,-73.92,43.64
12901,765.0,8,Plattsburgh,NY,-73.45,44.69
12910,30.0,2,Altona,NY,-73.65,44.89
