,tract,geoid,black_alone10,black_alone17,black_change,white_change,latino_change,black_significant
91,540800,06037540800,3896,3028,-22,-88,97,True
92,540902,06037540902,2927,2649,-9,-64,29,False
93,541605,06037541605,1349,1600,18,-82,15,False
98,603004,06037603004,334,459,37,-58,-29,False
99,291210,06037291210,781,569,-27,100,24,False
100,291220,06037291220,261,245,-6,45,11,False
104,239202,06037239202,574,1046,82,-92,8,True
105,239201,06037239201,471,760,61,0,3,False
116,237402,06037237402,1248,1208,-3,137,-3,False
117,237401,06037237401,1302,975,-25,0,33,False
118,237202,06037237202,1124,1470,30,-64,-10,False
119,237201,06037237201,1548,926,-40,0,-7,True
120,237101,06037237101,1270,896,-29,-67,20,True
121,236204,06037236204,1771,1633,-7,155,-32,False
122,236203,06037236203,2530,1924,-23,572,56,True
123,234902,06037234902,1988,1555,-21,-38,52,False
124,222001,06037222001,598,858,43,189,-29,False
126,221601,06037221601,474,439,-7,252,-23,False
127,221402,06037221402,940,575,-38,-35,2,True
129,541603,06037541603,371,429,15,0,22,False
130,240010,06037240010,698,861,23,-93,22,False
131,238400,06037238400,3825,4419,15,15,46,False
132,240020,06037240020,1321,1427,8,0,13,False
133,240200,06037240200,1225,1330,8,0,-4,False
134,240300,06037240300,2087,1348,-35,100,20,True
135,238200,06037238200,3809,3694,-3,-44,-35,False
136,240700,06037240700,2405,1812,-24,-52,21,True
137,240600,06037240600,1413,1408,0,-7,58,False
138,535101,06037535101,1275,869,-31,38,20,False
139,542000,06037542000,1420,1221,-14,0,7,False
140,540102,06037540102,707,804,13,726,3,False
141,541001,06037541001,407,589,44,-51,63,False
142,600502,06037600502,1101,1038,-5,215,-4,False
143,603500,06037603500,372,258,-30,-19,23,False
157,222002,06037222002,1270,1059,-16,0,2,False
160,601402,06037601402,439,145,-66,-6,19,False
161,238000,06037238000,4572,4126,-9,-16,-25,False
162,240500,06037240500,2380,2003,-15,-87,31,False
163,240900,06037240900,1323,1701,28,0,12,False
164,240800,06037240800,1413,1387,-1,0,3,False
165,242100,06037242100,757,727,-3,-100,5,False
166,241110,06037241110,775,986,27,3,12,False
167,241300,06037241300,1471,1225,-16,0,64,False
168,241120,06037241120,1734,1615,-6,0,19,False
169,241400,06037241400,1470,1101,-25,-82,31,False
170,242000,06037242000,1174,1262,7,0,33,False
171,543322,06037543322,5408,4974,-8,10,39,False
173,543801,06037543801,86,168,95,-21,-2,False
174,543802,06037543802,660,678,2,-29,-5,False
175,541300,06037541300,2454,2019,-17,0,25,False
176,541200,06037541200,3943,3611,-8,-14,163,False
177,541604,06037541604,1013,1036,2,0,-8,False
189,221401,06037221401,1210,1650,36,-23,-19,True
190,221304,06037221304,726,377,-48,236,32,True
191,221303,06037221303,343,147,-57,117,14,False
192,219902,06037219902,652,728,11,34,0,False
193,218702,06037218702,1133,686,-39,128,-2,True
194,218701,06037218701,1011,888,-12,47,-11,False
200,212502,06037212502,99,281,183,51,-31,False
201,277400,06037277400,879,682,-22,-84,30,False
202,242200,06037242200,2243,1706,-23,-91,1,False
203,242300,06037242300,1073,924,-13,-60,14,False
204,242600,06037242600,1569,1466,-6,-81,83,False
205,242700,06037242700,1138,1286,13,0,35,False
865,543703,06037543703,78,69,-11,-9,-22,False
1004,272202,06037272202,92,141,53,23,2,False
1184,275400,06037275400,85,141,65,46,-14,False
1207,543306,06037543306,1453,1238,-14,-7,21,False
1209,542105,06037542105,781,596,-23,-27,-3,False
1214,269907,06037269907,381,480,25,-9,19,False
1215,269906,06037269906,294,211,-28,53,-20,False
1219,603802,06081603802,111,36,-67,1,-9,False
1220,603802,06037603802,124,358,188,-21,-9,True
1221,603801,06081603801,0,2,0,-34,-12,False
1222,603801,06037603801,813,898,10,-32,11,False
1223,603006,06037603006,140,189,35,-11,-25,False
1224,603005,06037603005,1484,1979,33,2,-5,False
1225,602802,06037602802,2859,2986,4,-68,17,False
1226,602801,06037602801,1311,1191,-9,0,12,False
1227,602509,06037602509,1019,719,-29,-24,27,False
1228,602508,06037602508,1943,2260,16,-6,-23,False
1230,600304,06037600304,1503,1149,-23,115,77,False
1231,535002,06037535002,154,139,-9,-96,22,False
1232,535001,06037535001,396,420,6,-100,-6,False
1233,533001,06037533001,126,105,-16,-69,8,False
1235,275101,06037275101,47,13,-72,-22,12,False
1236,241201,06037241201,1424,1101,-22,-60,49,False
1237,239801,06037239801,511,570,11,33,-4,False
1238,234901,06037234901,1525,1417,-7,0,-8,False
1239,212501,06037212501,88,112,27,0,-3,False
1240,234502,06037234502,1608,1683,4,-44,27,False
1241,234501,06037234501,1279,1399,9,189,3,False
1242,219901,06037219901,963,714,-25,321,-13,False
1243,212701,06037212701,78,147,88,-12,55,False
1253,980025,06037980025,0,0,0,0,0,False
1256,240401,06037240401,1675,1572,-6,-100,38,False
1257,237102,06037237102,633,543,-14,-45,2,False
1263,543321,06037543321,2925,3589,22,-1,2,True
1264,541500,06037541500,976,814,-16,-9,15,False
1265,542401,06037542401,1737,1659,-4,-98,9,False
1266,543702,06037543702,115,328,185,-22,4,True
1267,541100,06037541100,1642,1433,-12,-44,-12,False
1278,243000,06037243000,1160,958,-17,0,30,False
1279,243100,06037243100,1771,1730,-2,-19,29,False
1280,541700,06037541700,795,770,-3,-77,9,False
1281,541801,06037541801,984,818,-16,-75,45,False
1284,542601,06037542601,540,505,-6,0,21,False
1285,542602,06037542602,1714,1177,-31,0,24,False
1286,542800,06037542800,1636,1594,-2,0,-19,False
1287,542700,06037542700,1153,1277,10,21,10,False
1288,542900,06037542900,635,591,-6,55,-17,False
1305,216900,06037216900,2079,1347,-35,0,102,True
1314,275200,06037275200,214,140,-34,-21,6,False
1316,275311,06037275311,140,80,-42,4,43,False
1317,276000,06037276000,174,155,-10,-14,0,False
1318,276100,06037276100,3589,2589,-27,-23,138,True
1320,276400,06037276400,21,121,476,11,-51,True
1322,540600,06037540600,1428,1898,32,-87,44,False
1323,542501,06037542501,2894,2658,-8,46,35,False
1324,543000,06037543000,2531,2495,-1,0,-1,False
1326,543202,06037543202,1178,828,-29,300,4,False
1327,543400,06037543400,822,799,-2,19,2,False
1328,543304,06037543304,4877,4704,-3,317,31,False
1329,543201,06037543201,1364,1410,3,487,2,False
1342,217200,06037217200,1425,1003,-29,54,22,True
1343,217100,06037217100,1988,1713,-13,37,-2,False
1344,218210,06037218210,884,586,-33,123,-5,False
1345,218110,06037218110,871,672,-22,-8,-4,False
1346,218120,06037218120,723,558,-22,-46,12,False
1347,218300,06037218300,2121,1440,-32,181,0,True
1348,218600,06037218600,1459,857,-41,-7,20,True
1349,218220,06037218220,1612,1194,-25,78,-3,True
1350,218400,06037218400,1425,1015,-28,206,-3,True
1351,218500,06037218500,893,938,5,254,-41,False
1352,218800,06037218800,1009,672,-33,88,39,True
1353,219500,06037219500,849,876,3,24,1722,False
1354,219300,06037219300,1287,1243,-3,2027,1,False
1355,220000,06037220000,2091,2098,0,72,-3,False
1357,542103,06037542103,753,561,-25,-17,50,False
1358,277000,06037277000,0,113,0,7,-2,False
1359,277100,06037277100,56,157,180,15,-28,False
1383,602600,06081602600,386,323,-16,-25,-46,False
1384,602600,06037602600,5923,5564,-6,-6,21,False
1385,219800,06037219800,667,545,-18,394,-14,False
1386,219010,06037219010,815,682,-16,31,27,False
1387,218900,06037218900,2368,2289,-3,-18,6,False
1388,220100,06037220100,1355,1463,7,790,60,False
1389,219700,06037219700,1217,1142,-6,233,12,False
1390,221220,06037221220,5,53,960,-53,7,False
1391,219020,06037219020,1493,1451,-2,326,-5,False
1392,221110,06037221110,28,73,160,-24,17,False
1394,221302,06037221302,546,548,0,76,48,False
1395,221500,06037221500,978,1379,41,7,3,False
1396,221900,06037221900,475,333,-29,-54,-28,False
1399,222100,06037222100,937,1057,12,357,-9,False
1400,222200,06037222200,660,876,32,4,-20,False
1401,222600,06037222600,1534,1243,-18,22,0,False
1414,602900,06037602900,864,558,-35,43,10,True
1415,602900,06081602900,72,121,68,-11,21,False
1416,602301,06037602301,181,258,42,-21,26,False
1417,603704,06037603704,2117,1834,-13,-44,-13,False
1419,600302,06037600302,2166,1966,-9,23,-11,False
1420,603703,06037603703,114,76,-33,-19,5,False
1424,222500,06037222500,1256,1161,-7,-26,4,False
1431,702400,06037702400,157,266,69,-1,11,False
1432,702801,06037702801,351,201,-42,6,-5,False
1448,603101,06037603101,800,859,7,158,-20,False
1449,603102,06037603102,356,414,16,82,-29,False
1459,226420,06037226420,206,375,82,345,-7,False
1461,227010,06037227010,184,317,72,100,6,False
1468,269500,06037269500,31,65,109,-5,-22,False
1470,269700,06037269700,428,442,3,-10,-4,False
1471,269800,06037269800,418,176,-57,-1,-9,True
1472,270100,06037270100,540,439,-18,-1,-20,False
1483,702802,06037702802,117,57,-51,10,23,False
1484,702502,06037702502,832,538,-35,11,-3,False
1485,702700,06037702700,46,31,-32,12,-16,False
1486,702803,06037702803,94,140,48,26,11,False
1493,702501,06037702501,195,190,-2,-6,-8,False
1494,541400,06037541400,1258,1221,-2,58,-2,False
1503,270200,06037270200,150,198,32,-17,-11,False
1504,270300,06037270300,910,816,-10,9,12,False
1506,271600,06037271600,401,303,-24,-1,79,False
1507,271500,06037271500,74,66,-10,3,45,False
1508,271701,06037271701,58,561,867,-9,160,True
1509,271801,06037271801,337,130,-61,-6,-36,False
1510,271702,06037271702,284,172,-39,-8,-14,False
1511,703002,06037703002,5249,5090,-3,26,115,False
1512,231300,06037231300,1831,1101,-39,480,29,True
1513,228710,06037228710,409,619,51,0,2,False
1514,228720,06037228720,681,469,-31,-67,1,False
1515,229100,06037229100,192,335,74,178,20,False
1516,229300,06037229300,519,610,17,-86,5,False
1517,229410,06037229410,513,335,-34,471,18,False
1518,229420,06037229420,289,446,54,21,11,False
1519,231800,06037231800,686,425,-38,-100,5,False
1520,231100,06037231100,292,876,200,347,0,True
1521,231900,06037231900,423,559,32,61,-16,False
1522,231210,06037231210,552,657,19,-89,9,False
1523,231720,06037231720,983,935,-4,452,9,False
1524,232400,06037232400,3121,2638,-15,-20,18,False
1525,232300,06037232300,1367,982,-28,-88,60,True
1526,232200,06037232200,1136,1160,2,-62,-24,False
1527,232110,06037232110,832,628,-24,0,9,False
1529,291110,06037291110,2001,2055,2,-40,18,False
1530,703001,06037703001,2107,993,-52,9,32,True
1531,231600,06037231600,2377,2365,0,456,-17,False
1532,291120,06037291120,393,656,66,0,5,True
1533,291130,06037291130,867,605,-30,35,21,False
1534,540400,06037540400,243,471,93,0,9,False
1537,540502,06037540502,1238,589,-52,-56,17,True
1539,540501,06037540501,2024,694,-65,-38,-7,True
1543,271802,06037271802,824,417,-49,-3,-5,False
1544,272302,06037272302,159,264,66,-19,25,False
1545,272301,06037272301,187,77,-58,-22,21,False
1546,232600,06037232600,1864,1722,-7,-19,19,False
1547,232500,06037232500,2081,1695,-18,-81,33,False
1548,232800,06037232800,619,422,-31,-25,-3,False
1549,232700,06037232700,1522,1161,-23,150,42,False
1550,234300,06037234300,4187,3346,-20,0,40,True
1551,234700,06037234700,2525,1344,-46,570,112,True
1552,234800,06037234800,2464,1990,-19,375,18,False
1553,235100,06037235100,3236,3596,11,130,15,False
1554,234600,06037234600,2750,2298,-16,125,31,False
1555,234000,06037234000,3685,3014,-18,76,28,True
1556,235202,06037235202,2870,2644,-7,-44,-16,False
1557,235201,06037235201,1528,1716,12,-47,27,False
1558,703100,06037703100,4566,4363,-4,183,226,False
1559,703200,06037703200,4804,4573,-4,199,272,False
1566,542502,06037542502,1393,1914,37,50,-2,True
1583,541606,06037541606,690,332,-51,0,0,False
1584,602106,06037602106,1407,772,-45,-56,22,True
1585,602002,06037602002,314,273,-13,-38,14,False
1586,603001,06037603001,1519,1930,27,49,9,False
1587,602404,06037602404,1892,1036,-45,-11,36,True
1588,602403,06037602403,958,929,-3,-71,2,False
1589,600703,06037600703,1476,1612,9,31,160,False
1590,602402,06037602402,517,790,52,-36,21,False
1591,600602,06037600602,738,857,16,1500,-3,False
1592,601303,06037601303,2896,2659,-8,325,-22,False
1593,236000,06037236000,2551,2488,-2,30,11,False
1594,236100,06037236100,3669,3761,2,151,22,False
1595,237300,06037237300,3778,2983,-21,933,34,True
1596,237500,06037237500,698,696,0,108,36,False
1597,237600,06037237600,941,865,-8,0,-15,False
1598,237720,06037237720,758,777,2,0,7,False
1599,237800,06037237800,2446,2153,-11,-74,-12,False
1600,237710,06037237710,886,613,-30,0,-14,False
1601,237900,06037237900,2728,3091,13,392,58,False
1602,239330,06037239330,534,286,-46,0,6,False
1603,239310,06037239310,713,472,-33,0,13,False
1604,239320,06037239320,521,602,15,-41,49,False
1605,238310,06037238310,1678,1149,-31,47,54,True
1606,238100,06037238100,3715,2992,-19,303,4,True
1612,543100,06037543100,3114,3197,2,-7,0,False
1619,275603,06037275603,52,47,-9,72,-38,False
1620,275500,06037275500,424,188,-55,43,18,False
1621,275102,06037275102,43,161,274,-1,-12,False
1622,272201,06037272201,0,215,0,-19,30,True
1623,271902,06037271902,68,179,163,-6,-3,False
1624,271901,06037271901,414,386,-6,12,-19,False
1625,269905,06037269905,633,281,-55,24,1,True
1626,269904,06037269904,414,347,-16,51,-57,False
1628,221210,06037221210,236,296,25,104,1,False
1630,540203,06037540203,402,715,77,6,0,False
1631,541002,06037541002,1526,1512,0,-3,-23,False
1632,600911,06037600911,1117,948,-15,13,11,False
1633,601202,06037601202,296,236,-20,-14,0,False
1634,600802,06037600802,1989,2042,2,-76,10,False
1635,601301,06037601301,1380,1177,-14,3,28,False
1636,601001,06037601001,1383,1502,8,-33,115,False
1637,601302,06037601302,4760,4786,0,109,12,False
1638,600704,06037600704,2586,2225,-13,9,177,False
1639,600912,06037600912,1031,936,-9,0,-1,False
1640,238320,06037238320,955,1224,28,-76,11,False
1644,543601,06037543601,124,237,91,11,-3,False
1645,532900,06037532900,282,449,59,97,9,False
1647,535102,06037535102,723,972,34,0,18,False
1648,535200,06037535200,1490,851,-42,-33,15,True
1649,535400,06037535400,600,206,-65,262,-3,True
1662,269903,06037269903,468,261,-44,8,2,False
1663,269602,06037269602,588,536,-8,-46,-19,False
1664,269601,06037269601,554,644,16,28,-12,False
1667,601401,06037601401,1778,1939,9,-16,15,False
1668,601211,06037601211,1356,1190,-12,31,4,False
1669,600201,06037600201,1210,1689,39,0,-12,True
1670,601002,06037601002,3332,2291,-31,-47,6,True
1671,600100,06037600100,2830,2605,-7,312,37,False
1672,600100,06081600100,33,248,651,13,3,True
1673,601212,06037601212,1707,2169,27,-20,-6,False
1678,600902,06037600902,3474,2772,-20,133,6,False
1679,602004,06037602004,866,800,-7,414,-15,False
1680,602003,06037602003,929,493,-46,-61,4,True
1681,602103,06037602103,1868,1357,-27,-45,4,False
1682,535300,06037535300,329,243,-26,-100,6,False
1688,532800,06037532800,675,276,-59,228,21,True
1690,212202,06037212202,289,94,-67,1450,14,False
1691,212304,06037212304,108,33,-69,54,-3,False
1692,212303,06037212303,84,141,67,12,-18,False
1693,212204,06037212204,44,250,468,-38,3,False
1694,212203,06037212203,29,109,275,273,-10,False
1695,212306,06037212306,22,27,22,21,-28,False
1696,212410,06037212410,112,301,168,-9,-11,False
1697,212305,06037212305,208,101,-51,2,-8,False
1699,213201,06037213201,155,35,-77,7,-9,False
1700,212420,06037212420,176,214,21,-58,8,False
1701,212620,06037212620,312,152,-51,1,6,False
1702,212900,06037212900,556,246,-55,89,36,True
1703,212800,06037212800,452,360,-20,82,7,False
1704,213100,06037213100,325,223,-31,18,30,False
1705,213202,06037213202,193,93,-51,42,21,False
1706,213402,06037213402,198,215,8,0,-16,False
1707,213401,06037213401,55,91,65,15,-5,False
1708,213310,06037213310,10,57,470,0,13,False
1709,213320,06037213320,200,59,-70,-32,5,False
1711,227020,06037227020,142,136,-4,0,45,False
1712,228220,06037228220,274,532,94,42,0,False
1713,228310,06037228310,262,120,-54,-40,26,False
1714,228210,06037228210,385,395,2,0,16,False
1715,228100,06037228100,448,466,4,-100,10,False
1716,228420,06037228420,183,241,31,0,4,False
1717,228320,06037228320,315,104,-66,0,-12,False
1747,212102,06037212102,40,181,352,0,-3,False
1748,212101,06037212101,131,496,278,89,-6,True
1749,211922,06037211922,127,63,-50,37,-6,False
1751,211803,06037211803,344,59,-82,5,17,True
1752,211202,06037211202,68,136,100,-35,-14,False
1796,211122,06037211122,127,190,49,9,-13,False
1944,192520,06037192520,26,86,230,73,-9,False
1949,192620,06037192620,118,73,-38,-12,1,False
2003,211320,06037211320,331,229,-30,81,-9,False
2004,211310,06037211310,112,140,25,-50,10,False
2005,211420,06037211420,132,226,71,-20,-4,False
2006,211802,06037211802,448,291,-35,75,0,False
2008,211910,06037211910,269,136,-49,5,-1,False
2080,211120,06037211120,205,289,40,82,17,False
2148,211921,06037211921,0,102,0,-33,-45,False
2149,211201,06037211201,285,81,-71,69,11,False
