geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,american indian area/alaska native area/hawaiian home land
5860,"Tonkawa OTSA, OK",3918.0,,78.0,,5860
2340,"Mooretown Rancheria and Off-Reservation Trust Land, CA",160.0,,60.0,,2340
5241,"Waiehu Hawaiian Home Land, HI",1507.0,,222.0,,5241
7205,"Pedro Bay ANVSA, AK",20.0,,14.0,,7205
0265,"Big Sandy Rancheria and Off-Reservation Trust Land, CA",148.0,,59.0,,0265
9745,"Haliwa-Saponi (state) SDTSA, NC",8713.0,,646.0,,9745
9970,"Waccamaw Siouan (state) SDTSA, NC",2008.0,,278.0,,9970
6075,"Ambler ANVSA, AK",299.0,,74.0,,6075
6025,"Akiak ANVSA, AK",416.0,,53.0,,6025
6895,"McGrath ANVSA, AK",283.0,,45.0,,6895
7500,"Solomon ANVSA, AK",0.0,,9.0,,7500
3840,"Skull Valley Reservation, UT",29.0,,30.0,,3840
7410,"Sand Point ANVSA, AK",1372.0,,160.0,,7410
2625,"Paiute (UT) Reservation, UT",378.0,,132.0,,2625
5283,"Waiohinu Hawaiian Home Land, HI",0.0,,11.0,,5283
0585,"Chemehuevi Reservation, CA",352.0,,73.0,,0585
1235,"Fort Mojave Reservation and Off-Reservation Trust Land, AZ--CA--NV",1754.0,,331.0,,1235
1735,"Kalispel Reservation and Off-Reservation Trust Land, WA",210.0,,77.0,,1735
9580,"Chickahominy (state) SDTSA, VA",3601.0,,189.0,,9580
3070,"Ramona Village, CA",0.0,,12.0,,3070
7740,"Wales ANVSA, AK",170.0,,35.0,,7740
1220,"Fort McDowell Yavapai Nation Reservation, AZ",1104.0,,90.0,,1220
2055,"Lower Sioux Indian Community, MN",551.0,,100.0,,2055
7180,"Ouzinkie ANVSA, AK",180.0,,63.0,,7180
2415,"Narragansett Reservation, RI",0.0,,13.0,,2415
6300,"Chignik Lagoon ANVSA, AK",75.0,,30.0,,6300
6275,"Chefornak ANVSA, AK",501.0,,69.0,,6275
7400,"Salamatof ANVSA, AK",1015.0,,141.0,,7400
1670,"Jamul Indian Village, CA",0.0,,12.0,,1670
3235,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",11418.0,,177.0,,3235
0170,"Bay Mills Reservation and Off-Reservation Trust Land, MI",1263.0,,121.0,,0170
9370,"Shinnecock Reservation (state), NY",16.0,,20.0,,9370
4180,"Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land, CA--NV",24.0,,10.0,,4180
5166,"Nienie Hawaiian Home Land, HI",0.0,,11.0,,5166
2785,"Picuris Pueblo, NM",2216.0,,243.0,,2785
5148,"Maluohai Hawaiian Home Land, HI",1238.0,,201.0,,5148
2115,"Manzanita Reservation and Off-Reservation Trust Land, CA",61.0,,36.0,,2115
2300,"Mississippi Choctaw Reservation, MS",7867.0,,490.0,,2300
4225,"Tonawanda Reservation, NY",452.0,,120.0,,4225
4930,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",0.0,,12.0,,4930
7540,"Tanana ANVSA, AK",242.0,,38.0,,7540
7655,"Tyonek ANVSA, AK",348.0,,85.0,,7655
5176,"Panaewa (Agricultural) Hawaiian Home Land, HI",649.0,,98.0,,5176
7035,"Newhalen ANVSA, AK",121.0,,46.0,,7035
1450,"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, WI--MN",1632.0,,211.0,,1450
1970,"Lone Pine Reservation, CA",157.0,,48.0,,1970
3445,"San Manuel Reservation and Off-Reservation Trust Land, CA",51.0,,33.0,,3445
5030,"Honolulu Makai Hawaiian Home Land, HI",0.0,,11.0,,5030
6140,"Arctic Village ANVSA, AK",153.0,,32.0,,6140
6915,"Mary's Igloo ANVSA, AK",0.0,,9.0,,6915
7133,"Nunam Iqua ANVSA, AK",167.0,,42.0,,7133
0010,"Acoma Pueblo and Off-Reservation Trust Land, NM",2784.0,,256.0,,0010
7505,"South Naknek ANVSA, AK",41.0,,20.0,,7505
4360,"Tuscarora Nation Reservation, NY",1078.0,,123.0,,4360
4710,"Yavapai-Prescott Reservation, AZ",368.0,,195.0,,4710
5540,"Caddo-Wichita-Delaware OTSA, OK",15327.0,,456.0,,5540
7535,"Tanacross ANVSA, AK",141.0,,50.0,,7535
0955,"Dry Creek Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0955
0125,"Augustine Reservation, CA",0.0,,12.0,,0125
9675,"Eastern Chickahominy (state) SDTSA, VA",251.0,,83.0,,9675
6900,"Manley Hot Springs ANVSA, AK",80.0,,29.0,,6900
7510,"Stebbins ANVSA, AK",473.0,,64.0,,7510
7175,"Oscarville ANVSA, AK",64.0,,25.0,,7175
9300,"Poospatuck Reservation (state), NY",692.0,,214.0,,9300
0325,"Blue Lake Rancheria and Off-Reservation Trust Land, CA",72.0,,29.0,,0325
2495,"North Fork Rancheria and Off-Reservation Trust Land, CA",138.0,,50.0,,2495
2835,"Pit River Trust Land, CA",0.0,,12.0,,2835
6335,"Chuathbaluk ANVSA, AK",124.0,,37.0,,6335
7085,"Noatak ANVSA, AK",422.0,,48.0,,7085
7075,"Nikolski ANVSA, AK",26.0,,12.0,,7075
6525,"Galena ANVSA, AK",510.0,,67.0,,6525
3495,"Santa Clara Pueblo and Off-Reservation Trust Land, NM",11693.0,,703.0,,3495
3540,"Santa Ynez Reservation, CA",263.0,,137.0,,3540
5026,"Honokaia Hawaiian Home Land, HI",0.0,,11.0,,5026
5580,"Chickasaw OTSA, OK",312615.0,,731.0,,5580
1545,"Hualapai Indian Reservation and Off-Reservation Trust Land, AZ",1590.0,,181.0,,1545
2320,"Mohegan Reservation and Off-Reservation Trust Land, CT",283.0,,228.0,,2320
1400,"Guidiville Rancheria and Off-Reservation Trust Land, CA",58.0,,48.0,,1400
4130,"Tampa Reservation, FL",0.0,,13.0,,4130
1070,"Fallon Paiute-Shoshone Colony and Off-Reservation Trust Land, NV",74.0,,51.0,,1070
5067,"Kanehili Hawaiian Home Land, HI",1659.0,,631.0,,5067
5730,"Miami OTSA, OK",226.0,,28.0,,5730
6520,"Gakona ANVSA, AK",103.0,,51.0,,6520
3635,"Sault Sainte Marie Reservation and Off-Reservation Trust Land, MI",2180.0,,387.0,,3635
6905,"Manokotak ANVSA, AK",804.0,,156.0,,6905
6045,"Aleknagik ANVSA, AK",204.0,,39.0,,6045
1720,"Kaibab Indian Reservation, AZ",253.0,,88.0,,1720
4430,"Upper Lake Rancheria, CA",105.0,,80.0,,4430
6310,"Chilkat ANVSA, AK",49.0,,14.0,,6310
6825,"Koyuk ANVSA, AK",271.0,,46.0,,6825
0165,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",407.0,,197.0,,0165
1140,"Fort Apache Reservation, AZ",15515.0,,799.0,,1140
5123,"Kolaoa Hawaiian Home Land, HI",0.0,,11.0,,5123
3030,"Quileute Reservation, WA",451.0,,87.0,,3030
0690,"Coconut Creek Trust Land, FL",0.0,,13.0,,0690
2555,"Oneida Nation Reservation, NY",0.0,,12.0,,2555
5114,"Keokea (Agricultural) Hawaiian Home Land, HI",165.0,,137.0,,5114
6560,"Gulkana ANVSA, AK",76.0,,56.0,,6560
0965,"Duck Valley Reservation, NV--ID",1351.0,,234.0,,0965
5223,"Waiahole Hawaiian Home Land, HI",42.0,,25.0,,5223
6020,"Akiachak ANVSA, AK",567.0,,64.0,,6020
7475,"Sitka ANVSA, AK",4701.0,,219.0,,7475
1825,"Lac du Flambeau Reservation, WI",3413.0,,76.0,,1825
9950,"United Cherokee Ani-Yun-Wiya Nation SDTSA, AL",6496.0,,524.0,,9950
4580,"Wells Colony, NV",99.0,,48.0,,4580
4545,"Warm Springs Reservation and Off-Reservation Trust Land, OR",4296.0,,249.0,,4545
7235,"Pitkas Point ANVSA, AK",122.0,,31.0,,7235
0815,"Cow Creek Reservation and Off-Reservation Trust Land, OR",182.0,,62.0,,0815
1550,"Huron Potawatomi Reservation and Off-Reservation Trust Land, MI",62.0,,30.0,,1550
2360,"Morongo Reservation and Off-Reservation Trust Land, CA",777.0,,187.0,,2360
5004,"Anahola (Residential) Hawaiian Home Land, HI",1670.0,,262.0,,5004
6830,"Koyukuk ANVSA, AK",62.0,,19.0,,6830
5106,"Keaukaha Hawaiian Home Land, HI",1693.0,,226.0,,5106
6385,"Craig ANVSA, AK",1613.0,,100.0,,6385
1940,"Leech Lake Reservation and Off-Reservation Trust Land, MN",11229.0,,306.0,,1940
9720,"Four Winds Cherokee (state) SDTSA, LA",31380.0,,1242.0,,9720
3780,"Shoalwater Bay Indian Reservation and Off-Reservation Trust Land, WA",78.0,,47.0,,3780
5133,"Lalamilo Hawaiian Home Land, HI",63.0,,35.0,,5133
7310,"Ruby ANVSA, AK",207.0,,36.0,,7310
7695,"Unalaska ANVSA, AK",4781.0,,132.0,,7695
1963,"Little Traverse Bay Reservation and Off-Reservation Trust Land, MI",73.0,,46.0,,1963
2375,"Muckleshoot Reservation and Off-Reservation Trust Land, WA",4049.0,,421.0,,2375
4940,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",0.0,,12.0,,4940
5071,"Kapaa Hawaiian Home Land, HI",0.0,,11.0,,5071
3795,"Siletz Reservation and Off-Reservation Trust Land, OR",675.0,,159.0,,3795
3285,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",141.0,,38.0,,3285
0990,"Eastern Cherokee Reservation, NC",9191.0,,605.0,,0990
6460,"Ekwok ANVSA, AK",80.0,,25.0,,6460
7530,"Takotna ANVSA, AK",23.0,,15.0,,7530
9630,"Clifton Choctaw (state) SDTSA, LA",476.0,,106.0,,9630
6265,"Chalkyitsik ANVSA, AK",115.0,,35.0,,6265
6540,"Golovin ANVSA, AK",128.0,,33.0,,6540
2865,"Poarch Creek Reservation and Off-Reservation Trust Land, AL--FL",356.0,,111.0,,2865
6290,"Chickaloon ANVSA, AK",27331.0,,630.0,,6290
7645,"Tununak ANVSA, AK",339.0,,60.0,,7645
1830,"Lac Vieux Desert Reservation, MI",226.0,,63.0,,1830
5003,"Anahola (Agricultural) Hawaiian Home Land, HI",200.0,,56.0,,5003
6690,"Kaltag ANVSA, AK",172.0,,52.0,,6690
5600,"Citizen Potawatomi Nation-Absentee Shawnee OTSA, OK",124874.0,,1161.0,,5600
5550,"Cherokee OTSA, OK",517039.0,,1479.0,,5550
6550,"Grayling ANVSA, AK",176.0,,37.0,,6550
2285,"Minnesota Chippewa Trust Land, MN",0.0,,9.0,,2285
2680,"Pascua Pueblo Yaqui Reservation and Off-Reservation Trust Land, AZ",4111.0,,272.0,,2680
2850,"Pleasant Point Reservation, ME",723.0,,87.0,,2850
4110,"Table Mountain Rancheria, CA",9.0,,14.0,,4110
5780,"Pawnee OTSA, OK",16197.0,,83.0,,5780
6380,"Council ANVSA, AK",0.0,,9.0,,6380
3520,"Santa Rosa Rancheria, CA",940.0,,189.0,,3520
5066,"Kamoku-Kapulena Hawaiian Home Land, HI",36.0,,17.0,,5066
5177,"Panaewa (Residential) Hawaiian Home Land, HI",1327.0,,188.0,,5177
1395,"Grindstone Indian Rancheria, CA",256.0,,93.0,,1395
6400,"Deering ANVSA, AK",154.0,,31.0,,6400
0750,"Colusa Rancheria, CA",27.0,,21.0,,0750
5056,"Kamaoa-Puueo Hawaiian Home Land, HI",11.0,,9.0,,5056
5120,"Kewalo Hawaiian Home Land, HI",394.0,,121.0,,5120
2900,"Ponca (NE) Trust Land, NE--IA",0.0,,11.0,,2900
4030,"Sulphur Bank Rancheria, CA",46.0,,62.0,,4030
5760,"Otoe-Missouria OTSA, OK",969.0,,161.0,,5760
0495,"Capitan Grande Reservation, CA",0.0,,12.0,,0495
1610,"Isabella Reservation, MI",27617.0,,531.0,,1610
6195,"Belkofski ANVSA, AK",0.0,,9.0,,6195
5029,"Honokowai Hawaiian Home Land, HI",0.0,,11.0,,5029
5198,"Princess Kahanu Estates Hawaiian Home Land, HI",1542.0,,326.0,,5198
5222,"Upolu Hawaiian Home Land, HI",0.0,,11.0,,5222
6815,"Kotlik ANVSA, AK",811.0,,76.0,,6815
7245,"Platinum ANVSA, AK",13.0,,7.0,,7245
5104,"Keanae-Wailua Hawaiian Home Land, HI",13.0,,21.0,,5104
6285,"Chevak ANVSA, AK",1144.0,,161.0,,6285
0155,"Barona Reservation and Off-Reservation Trust Land, CA",876.0,,112.0,,0155
3980,"Stewart Community, NV",122.0,,56.0,,3980
6450,"Eklutna ANVSA, AK",43.0,,38.0,,6450
7010,"Napakiak ANVSA, AK",369.0,,47.0,,7010
1955,"Likely Rancheria, CA",0.0,,12.0,,1955
5061,"Kamiloloa-Makakupaia Hawaiian Home Land, HI",77.0,,35.0,,5061
4610,"Wind River Reservation and Off-Reservation Trust Land, WY",26855.0,,427.0,,4610
6810,"Kongiganak ANVSA, AK",441.0,,68.0,,6810
1410,"Hannahville Indian Community and Off-Reservation Trust Land, MI",656.0,,89.0,,1410
1860,"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",11052.0,,260.0,,1860
2040,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",603.0,,138.0,,2040
6455,"Ekuk ANVSA, AK",0.0,,9.0,,6455
7185,"Paimiut ANVSA, AK",0.0,,9.0,,7185
9260,"Pamunkey Reservation (state), VA",87.0,,33.0,,9260
5134,"Lanai City Hawaiian Home Land, HI",90.0,,56.0,,5134
4090,"Sycuan Reservation and Off-Reservation Trust Land, CA",172.0,,52.0,,4090
4725,"Yerington Colony, NV",216.0,,115.0,,4725
1355,"Grand Portage Reservation and Off-Reservation Trust Land, MN",722.0,,96.0,,1355
9100,"Golden Hill Paugussett (state) Reservation, CT",1.0,,3.0,,9100
5181,"Pauahi Hawaiian Home Land, HI",0.0,,11.0,,5181
7050,"New Stuyahok ANVSA, AK",557.0,,96.0,,7050
2475,"Nooksack Reservation and Off-Reservation Trust Land, WA",1139.0,,190.0,,2475
3265,"Rumsey Indian Rancheria, CA",2.0,,3.0,,3265
6225,"Bill Moore's ANVSA, AK",0.0,,9.0,,6225
6650,"Ivanof Bay ANVSA, AK",0.0,,9.0,,6650
3220,"Rohnerville Rancheria, CA",23.0,,12.0,,3220
3305,"Saint Croix Reservation and Off-Reservation Trust Land, WI",636.0,,87.0,,3305
7485,"Skagway ANVSA, AK",1061.0,,123.0,,7485
1280,"Fort Yuma Indian Reservation, CA--AZ",1265.0,,278.0,,1280
9515,"Apache Choctaw (state) SDTSA, LA",6903.0,,401.0,,9515
9820,"MaChis Lower Creek (state) SDTSA, AL",22625.0,,562.0,,9820
6795,"Kodiak ANVSA, AK",0.0,,9.0,,6795
0605,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",8556.0,,21.0,,0605
1380,"Greenville Rancheria, CA",28.0,,19.0,,1380
9400,"Tama Reservation (state), GA",11.0,,12.0,,9400
5083,"Kapolei Hawaiian Home Land, HI",0.0,,11.0,,5083
5135,"Leialii Hawaiian Home Land, HI",568.0,,162.0,,5135
5795,"Peoria OTSA, OK",5053.0,,196.0,,5795
6750,"Kipnuk ANVSA, AK",613.0,,65.0,,6750
9525,"Beaver Creek SDTSA, SC",1005.0,,209.0,,9525
2810,"Pine Ridge Reservation, SD--NE",19895.0,,163.0,,2810
7100,"Nondalton ANVSA, AK",114.0,,44.0,,7100
3400,"San Felipe Pueblo, NM",3544.0,,417.0,,3400
4690,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",30810.0,,847.0,,4690
5236,"Waiakea Hawaiian Home Land, HI",0.0,,11.0,,5236
6257,"Canyon Village ANVSA, AK",0.0,,9.0,,6257
6595,"Hooper Bay ANVSA, AK",1101.0,,122.0,,6595
7420,"Saxman ANVSA, AK",360.0,,58.0,,7420
7450,"Shaktoolik ANVSA, AK",294.0,,40.0,,7450
1895,"La Posta Indian Reservation, CA",31.0,,19.0,,1895
9865,"Sappony SDTSA, NC",2611.0,,394.0,,9865
2745,"Pechanga Reservation, CA",343.0,,128.0,,2745
5810,"Quapaw OTSA, OK",5092.0,,180.0,,5810
6240,"Brevig Mission ANVSA, AK",407.0,,41.0,,6240
6530,"Gambell ANVSA, AK",601.0,,55.0,,6530
6610,"Huslia ANVSA, AK",404.0,,50.0,,6610
6800,"Kokhanok ANVSA, AK",150.0,,56.0,,6800
0825,"Coyote Valley Reservation, CA",300.0,,103.0,,0825
1310,"Gila River Indian Reservation, AZ",11150.0,,881.0,,1310
4470,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",1544.0,,360.0,,4470
5286,"Waiohuli (Residential) Hawaiian Home Land, HI",1277.0,,246.0,,5286
2150,"Match-e-be-nash-she-wish Band of Pottawatomi Reservation and Off-Reservation Trust Land, MI",39.0,,59.0,,2150
7570,"Teller ANVSA, AK",182.0,,30.0,,7570
3550,"Santa Ysabel Reservation, CA",198.0,,53.0,,3550
5009,"Haiku Hawaiian Home Land, HI",0.0,,11.0,,5009
6165,"Atqasuk ANVSA, AK",164.0,,56.0,,6165
0140,"Bad River Reservation, WI",1595.0,,153.0,,0140
5008,"East Kapolei Hawaiian Home Land, HI",0.0,,11.0,,5008
6330,"Chitina ANVSA, AK",73.0,,49.0,,6330
6235,"Birch Creek ANVSA, AK",2.0,,3.0,,6235
5053,"Kalawahine Hawaiian Home Land, HI",384.0,,71.0,,5053
5186,"Paukukalo Hawaiian Home Land, HI",845.0,,208.0,,5186
7300,"Rampart ANVSA, AK",60.0,,26.0,,7300
7555,"Tatitlek ANVSA, AK",78.0,,46.0,,7555
3100,"Red Lake Reservation, MN",5859.0,,62.0,,3100
3860,"Snoqualmie Reservation, WA",0.0,,12.0,,3860
5800,"Ponca OTSA, OK",2119.0,,140.0,,5800
2085,"Makah Indian Reservation, WA",1632.0,,170.0,,2085
7215,"Perryville ANVSA, AK",86.0,,31.0,,7215
7745,"White Mountain ANVSA, AK",186.0,,28.0,,7745
0120,"Auburn Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0120
1260,"Fort Pierce Reservation, FL",87.0,,67.0,,1260
1590,"Iowa (KS-NE) Reservation and Off-Reservation Trust Land, KS--NE",173.0,,36.0,,1590
6390,"Crooked Creek ANVSA, AK",90.0,,29.0,,6390
7565,"Telida ANVSA, AK",0.0,,9.0,,7565
2980,"Prairie Band of Potawatomi Nation Reservation, KS",1645.0,,169.0,,2980
4275,"Trinidad Rancheria and Off-Reservation Trust Land, CA",170.0,,76.0,,4275
5620,"Creek OTSA, OK",792241.0,,1465.0,,5620
5041,"Kahikinui Hawaiian Home Land, HI",0.0,,11.0,,5041
0695,"Cocopah Reservation, AZ",1203.0,,197.0,,0695
2175,"Menominee Reservation, WI",3390.0,,241.0,,2175
5239,"Waianae Kai Hawaiian Home Land, HI",782.0,,100.0,,5239
6765,"Klawock ANVSA, AK",675.0,,75.0,,6765
3970,"Standing Rock Reservation, SD--ND",8618.0,,21.0,,3970
6095,"Andreafsky ANVSA, AK",113.0,,28.0,,6095
6065,"Algaaciq ANVSA, AK",527.0,,72.0,,6065
6440,"Eek ANVSA, AK",518.0,,54.0,,6440
2890,"Pokagon Reservation and Off-Reservation Trust Land, MI",86.0,,45.0,,2890
5670,"Iowa OTSA, OK",6590.0,,461.0,,5670
1785,"Klamath Reservation, OR",38.0,,19.0,,1785
7630,"Tuluksak ANVSA, AK",415.0,,58.0,,7630
7735,"Wainwright ANVSA, AK",508.0,,139.0,,7735
2147,"Mashpee Wampanoag Trust Land, MA",0.0,,12.0,,2147
3250,"Round Valley Reservation and Off-Reservation Trust Land, CA",416.0,,109.0,,3250
5051,"Kalaupapa Hawaiian Home Land, HI",75.0,,16.0,,5051
6965,"Minto ANVSA, AK",229.0,,38.0,,6965
0575,"Chehalis Reservation and Off-Reservation Trust Land, WA",922.0,,284.0,,0575
6585,"Holy Cross ANVSA, AK",183.0,,32.0,,6585
0735,"Colorado River Indian Reservation, AZ--CA",9929.0,,367.0,,0735
0940,"Dresslerville Colony, NV",452.0,,127.0,,0940
3320,"Saint Regis Mohawk Reservation, NY",3302.0,,18.0,,3320
5086,"Kaumana Hawaiian Home Land, HI",134.0,,47.0,,5086
6150,"Atka ANVSA, AK",35.0,,19.0,,6150
5213,"South Maui Hawaiian Home Land, HI",0.0,,11.0,,5213
6935,"Mekoryuk ANVSA, AK",226.0,,35.0,,6935
0240,"Big Lagoon Rancheria, CA",4.0,,4.0,,0240
9838,"Occaneechi-Saponi SDTSA, NC",9522.0,,532.0,,9838
6860,"Lesnoi ANVSA, AK",0.0,,9.0,,6860
7055,"Newtok ANVSA, AK",360.0,,53.0,,7055
9280,"Paucatuck Eastern Pequot Reservation (state), CT",36.0,,21.0,,9280
4530,"Wampanoag-Aquinnah Trust Land, MA",66.0,,44.0,,4530
6785,"Knik ANVSA, AK",76056.0,,633.0,,6785
4170,"Tesuque Pueblo and Off-Reservation Trust Land, NM",921.0,,130.0,,4170
4330,"Tuolumne Rancheria, CA",196.0,,71.0,,4330
5076,"Kapaakea Hawaiian Home Land, HI",184.0,,59.0,,5076
5590,"Choctaw OTSA, OK",231451.0,,574.0,,5590
7525,"Stony River ANVSA, AK",41.0,,20.0,,7525
1925,"Laytonville Rancheria, CA",251.0,,76.0,,1925
2775,"Picayune Rancheria and Off-Reservation Trust Land, CA",111.0,,76.0,,2775
2695,"Passamaquoddy Trust Land, ME",0.0,,10.0,,2695
4515,"Walker River Reservation, NV",1209.0,,165.0,,4515
5970,"Miami/Peoria joint-use OTSA, OK",4279.0,,178.0,,5970
6605,"Hughes ANVSA, AK",90.0,,24.0,,6605
7005,"Napaimute ANVSA, AK",0.0,,9.0,,7005
0050,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",606.0,,117.0,,0050
3355,"San Carlos Reservation, AZ",10443.0,,502.0,,3355
7250,"Point Hope ANVSA, AK",592.0,,154.0,,7250
0400,"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",96.0,,50.0,,0400
3020,"Quartz Valley Reservation and Off-Reservation Trust Land, CA",198.0,,76.0,,3020
4500,"Viejas Reservation and Off-Reservation Trust Land, CA",459.0,,230.0,,4500
5201,"Puukapu Hawaiian Home Land, HI",961.0,,259.0,,5201
0350,"Bridgeport Reservation and Off-Reservation Trust Land, CA",62.0,,48.0,,0350
0450,"Campo Indian Reservation, CA",393.0,,120.0,,0450
1340,"Goshute Reservation, NV--UT",140.0,,56.0,,1340
1110,"Flathead Reservation, MT",29717.0,,332.0,,1110
1880,"L'Anse Reservation and Off-Reservation Trust Land, MI",3564.0,,291.0,,1880
5018,"Homuula-Upper Piihonua Hawaiian Home Land, HI",2.0,,4.0,,5018
1815,"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, WI",2721.0,,211.0,,1815
3870,"Soboba Reservation and Off-Reservation Trust Land, CA",417.0,,106.0,,3870
5238,"Waianae Hawaiian Home Land, HI",2542.0,,263.0,,5238
6835,"Kwethluk ANVSA, AK",653.0,,68.0,,6835
1195,"Fort Independence Reservation, CA",74.0,,22.0,,1195
9815,"Lumbee (state) SDTSA, NC",503825.0,,1605.0,,9815
6725,"Ketchikan ANVSA, AK",13208.0,,116.0,,6725
0250,"Big Pine Reservation and Off-Reservation Trust Land, CA",422.0,,61.0,,0250
2130,"Maricopa (Ak Chin) Indian Reservation and Off-Reservation Trust Land, AZ",1348.0,,320.0,,2130
3415,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",1881.0,,149.0,,3415
3750,"Shingle Springs Rancheria and Off-Reservation Trust Land, CA",140.0,,86.0,,3750
6570,"Hamilton ANVSA, AK",0.0,,9.0,,6570
0435,"Cahuilla Reservation, CA",82.0,,40.0,,0435
1270,"Fort Sill Apache Indian Reservation, NM",0.0,,12.0,,1270
6820,"Kotzebue ANVSA, AK",3288.0,,25.0,,6820
4760,"Yurok Reservation, CA",811.0,,127.0,,4760
6405,"Dillingham ANVSA, AK",2315.0,,169.0,,6405
5111,"Kekaha Hawaiian Home Land, HI",555.0,,145.0,,5111
1370,"Grand Traverse Reservation and Off-Reservation Trust Land, MI",725.0,,117.0,,1370
6295,"Chignik ANVSA, AK",61.0,,28.0,,6295
0540,"Cattaraugus Reservation, NY",2208.0,,186.0,,0540
1040,"Ely Reservation, NV",230.0,,72.0,,1040
1770,"Kickapoo (KS) Reservation, KS",3983.0,,279.0,,1770
7130,"Nulato ANVSA, AK",257.0,,36.0,,7130
5031,"Honomu Hawaiian Home Land, HI",0.0,,11.0,,5031
5835,"Seneca-Cayuga OTSA, OK",4532.0,,201.0,,5835
1010,"Elk Valley Rancheria and Off-Reservation Trust Land, CA",78.0,,34.0,,1010
2560,"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",24800.0,,412.0,,2560
4300,"Tule River Reservation and Off-Reservation Trust Land, CA",1227.0,,218.0,,4300
4700,"Yankton Reservation, SD",6829.0,,166.0,,4700
4910,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",0.0,,10.0,,4910
1440,"Havasupai Reservation, AZ",15.0,,22.0,,1440
3115,"Redwood Valley Rancheria, CA",323.0,,82.0,,3115
1055,"Enterprise Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,1055
5248,"Waiku-Hana Hawaiian Home Land, HI",0.0,,11.0,,5248
8100,"Cayuga Nation TDSA, NY",3081.0,,270.0,,8100
0020,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",26028.0,,729.0,,0020
6515,"Fort Yukon ANVSA, AK",533.0,,64.0,,6515
6480,"Emmonak ANVSA, AK",761.0,,86.0,,6480
1980,"Lookout Rancheria, CA",17.0,,10.0,,1980
6205,"Bethel ANVSA, AK",6424.0,,19.0,,6205
6160,"Atmautluak ANVSA, AK",209.0,,45.0,,6160
