geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,public use microdata area
00700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA; Arkansas",103027.0,,-555555555.0,*****,05,00700
00800,"White, Jackson, Prairie & Woodruff Counties PUMA; Arkansas",110933.0,,-555555555.0,*****,05,00800
01100,"Faulkner & Lonoke Counties PUMA, Arkansas",194622.0,,-555555555.0,*****,05,01100
01200,"Saline County PUMA, Arkansas",118009.0,,-555555555.0,*****,05,01200
01300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA; Arkansas",142736.0,,-555555555.0,*****,05,01300
01400,"Sebastian & Crawford Counties PUMA, Arkansas",189933.0,,-555555555.0,*****,05,01400
01500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA; Arkansas",100724.0,,-555555555.0,*****,05,01500
01600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA; Arkansas",163194.0,,-555555555.0,*****,05,01600
01900,"South Central Arkansas PUMA, Arkansas",100364.0,,-555555555.0,*****,05,01900
02000,"Southwest Arkansas PUMA, Arkansas",104357.0,,-555555555.0,*****,05,02000
01100,"Colusa, Glenn, Tehama & Trinity Counties PUMA; California",125596.0,,-555555555.0,*****,06,01100
01500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",129786.0,,-555555555.0,*****,06,01500
01700,"El Dorado County--El Dorado Hills PUMA, California",186661.0,,-555555555.0,*****,06,01700
02300,"Humboldt County PUMA, California",135768.0,,-555555555.0,*****,06,02300
02500,"Imperial County--El Centro City PUMA, California",180216.0,,-555555555.0,*****,06,02500
03100,"Kings County--Hanford City PUMA, California",150075.0,,-555555555.0,*****,06,03100
03300,"Lake & Mendocino Counties PUMA, California",151570.0,,-555555555.0,*****,06,03300
03900,"Madera County--Madera City PUMA, California",155013.0,,-555555555.0,*****,06,03900
05500,"Napa County--Napa City PUMA, California",140530.0,,-555555555.0,*****,06,05500
08900,"Shasta County--Redding City PUMA, California",179085.0,,-555555555.0,*****,06,08900
10100,"Sutter & Yuba Counties--Yuba City PUMA, California",171365.0,,-555555555.0,*****,06,10100
11300,"Yolo County--Davis, Woodland & West Sacramento Cities PUMA; California",214977.0,,-555555555.0,*****,06,11300
00200,"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties PUMA; Colorado",102937.0,,-555555555.0,*****,08,00200
00500,"Litchfield County PUMA, Connecticut",183031.0,,-555555555.0,*****,09,00500
00700,"Middlesex County PUMA, Connecticut",163368.0,,-555555555.0,*****,09,00700
00200,"Kent County--Dover City PUMA, Delaware",174822.0,,-555555555.0,*****,10,00200
00300,"Sussex County PUMA, Delaware",219540.0,,-555555555.0,*****,10,00300
00500,"Walton, Washington, Holmes & Bay Counties PUMA; Florida",292336.0,,-555555555.0,*****,12,00500
01500,"Charlotte County PUMA, Florida",176954.0,,-555555555.0,*****,12,01500
01701,"Citrus County PUMA, Florida",143087.0,,-555555555.0,*****,12,01701
01900,"Clay County PUMA, Florida",207291.0,,-555555555.0,*****,12,01900
02300,"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties PUMA; Florida",185336.0,,-555555555.0,*****,12,02300
05301,"Hernando County PUMA, Florida",182696.0,,-555555555.0,*****,12,05301
06100,"Indian River County PUMA, Florida",150984.0,,-555555555.0,*****,12,06100
06300,"Apalachee Region (Outside Leon County) PUMA, Florida",191071.0,,-555555555.0,*****,12,06300
08900,"Nassau & Baker Counties PUMA, Florida",108363.0,,-555555555.0,*****,12,08900
09100,"Okaloosa County PUMA, Florida",200737.0,,-555555555.0,*****,12,09100
11300,"Santa Rosa County PUMA, Florida",170442.0,,-555555555.0,*****,12,11300
12100,"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties PUMA; Florida",107509.0,,-555555555.0,*****,12,12100
00100,"Coastal Regional Commission (South)--Glynn Camden & McIntosh Counties PUMA, Georgia",150808.0,,-555555555.0,*****,13,00100
00200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA; Georgia",116149.0,,-555555555.0,*****,13,00200
00300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA; Georgia",147461.0,,-555555555.0,*****,13,00300
00500,"Southern Georgia Regional Commission (East & Central) PUMA, Georgia",169864.0,,-555555555.0,*****,13,00500
00600,"Southern Georgia Regional Commission (South Central)--Lowndes County--Valdosta City PUMA, Georgia",114582.0,,-555555555.0,*****,13,00600
00700,"Southern Georgia Regional Commission (West) PUMA, Georgia",126725.0,,-555555555.0,*****,13,00700
00800,"Southwest Georgia Regional Commission (East)--Colquitt, Thomas & Worth Counties PUMA; Georgia",110992.0,,-555555555.0,*****,13,00800
00900,"Southwest Georgia Regional Commission (North Central)--Dougherty & Lee Counties PUMA, Georgia",120397.0,,-555555555.0,*****,13,00900
01100,"Southwest Georgia Regional Commission (West & Central) PUMA, Georgia",117288.0,,-555555555.0,*****,13,01100
01200,"Heart of Georgia Altamaha Regional Commission (Southeast) PUMA, Georgia",159430.0,,-555555555.0,*****,13,01200
01300,"Heart of Georgia Altamaha Regional Commission (North & West) PUMA, Georgia",139791.0,,-555555555.0,*****,13,01300
01500,"Middle Georgia Regional Commission (South)--Houston & Pulaski Counties PUMA, Georgia",162977.0,,-555555555.0,*****,13,01500
01700,"River Valley Regional Commission (West Central)--Muscogee & Chattahoochee Counties PUMA, Georgia",207437.0,,-555555555.0,*****,13,01700
01900,"Three Rivers Regional Commission (East) PUMA, Georgia",151280.0,,-555555555.0,*****,13,01900
02100,"Three Rivers Regional Commission (North Central)--Coweta County PUMA, Georgia",140516.0,,-555555555.0,*****,13,02100
02200,"Three Rivers Regional Commission (Southwest)--Troup, Meriwether & Heard Counties PUMA; Georgia",102564.0,,-555555555.0,*****,13,02200
02300,"Three Rivers Regional Commission (Northwest)--Carroll County PUMA, Georgia",116022.0,,-555555555.0,*****,13,02300
02400,"Atlanta Regional Commission (South Central)--Fayette County PUMA, Georgia",111369.0,,-555555555.0,*****,13,02400
02500,"Northwest Georgia Regional Commission (Southwest)--Floyd, Polk & Haralson Counties PUMA; Georgia",167401.0,,-555555555.0,*****,13,02500
02600,"Northwest Georgia Regional Commission--Walker, Catoosa, Chattooga & Dade Counties PUMA; Georgia",176167.0,,-555555555.0,*****,13,02600
02700,"Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA, Georgia",103849.0,,-555555555.0,*****,13,02700
02800,"Northwest Georgia Regional Commission (Northeast) PUMA, Georgia",182026.0,,-555555555.0,*****,13,02800
02900,"Northwest Georgia Regional Commission (East Central)--Bartow County PUMA, Georgia",103620.0,,-555555555.0,*****,13,02900
03200,"Georgia Mountains Regional Commission (North & Northwest) PUMA, Georgia",135389.0,,-555555555.0,*****,13,03200
03300,"Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA, Georgia",219880.0,,-555555555.0,*****,13,03300
03400,"Georgia Mountains Regional Commission (South Central)--Hall County PUMA, Georgia",195961.0,,-555555555.0,*****,13,03400
03500,"Georgia Mountains Regional Commission (Southeast) PUMA, Georgia",136620.0,,-555555555.0,*****,13,03500
03600,"Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA, Georgia",124602.0,,-555555555.0,*****,13,03600
03700,"Northeast Georgia Regional Commission (East) PUMA, Georgia",116889.0,,-555555555.0,*****,13,03700
03800,"Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA, Georgia",142642.0,,-555555555.0,*****,13,03800
03900,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA; Georgia",122151.0,,-555555555.0,*****,13,03900
04000,"Central Savannah River Area Regional Commission (East Central)--Richmond County PUMA, Georgia",201463.0,,-555555555.0,*****,13,04000
04100,"Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA, Georgia",147295.0,,-555555555.0,*****,13,04100
04300,"Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA, Georgia",195508.0,,-555555555.0,*****,13,04300
04400,"Atlanta Regional Commission (Southwest)--Douglas County PUMA, Georgia",141840.0,,-555555555.0,*****,13,04400
04500,"Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA, Georgia",155840.0,,-555555555.0,*****,13,04500
00100,"Maui, Kalawao & Kauai Counties PUMA; Hawaii",236733.0,,-555555555.0,*****,15,00100
00200,"Hawaii County PUMA, Hawaii",197658.0,,-555555555.0,*****,15,00200
00900,"Twin Falls & Cassia Counties--Twin Falls City PUMA, Idaho",107281.0,,-555555555.0,*****,16,00900
00104,"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",127319.0,,-555555555.0,*****,17,00104
00105,"Rock Island County PUMA, Illinois",145275.0,,-555555555.0,*****,17,00105
00202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",173784.0,,-555555555.0,*****,17,00202
00300,"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",109698.0,,-555555555.0,*****,17,00300
00401,"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",138002.0,,-555555555.0,*****,17,00401
00501,"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",139247.0,,-555555555.0,*****,17,00501
00600,"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",99854.0,,-555555555.0,*****,17,00600
00700,"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",106417.0,,-555555555.0,*****,17,00700
00800,"South & Southeast Illinois PUMA, Illinois",134274.0,,-555555555.0,*****,17,00800
00900,"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",186361.0,,-555555555.0,*****,17,00900
01001,"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",156890.0,,-555555555.0,*****,17,01001
01300,"Sangamon County--Springfield City PUMA, Illinois",197661.0,,-555555555.0,*****,17,01300
01500,"Macon County--Decatur City PUMA, Illinois",106512.0,,-555555555.0,*****,17,01500
01602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",143809.0,,-555555555.0,*****,17,01602
01701,"Peoria County--Peoria City PUMA, Illinois",184463.0,,-555555555.0,*****,17,01701
01900,"Tazewell County PUMA, Illinois",133852.0,,-555555555.0,*****,17,01900
02000,"McLean County PUMA, Illinois",173219.0,,-555555555.0,*****,17,02000
02100,"Champaign County--Champaign & Urbana Cities PUMA, Illinois",209448.0,,-555555555.0,*****,17,02100
02200,"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",156298.0,,-555555555.0,*****,17,02200
02300,"Kankakee County PUMA, Illinois",111061.0,,-555555555.0,*****,17,02300
02400,"LaSalle County PUMA, Illinois",110401.0,,-555555555.0,*****,17,02400
02501,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",146237.0,,-555555555.0,*****,17,02501
02601,"DeKalb County PUMA, Illinois",104200.0,,-555555555.0,*****,17,02601
02700,"Stephenson & Ogle Counties PUMA, Illinois",96761.0,,-555555555.0,*****,17,02700
03700,"Kendall & Grundy Counties PUMA, Illinois",175135.0,,-555555555.0,*****,17,03700
00200,"Porter County PUMA, Indiana",168041.0,,-555555555.0,*****,18,00200
00300,"LaPorte County PUMA, Indiana",110552.0,,-555555555.0,*****,18,00300
00500,"Elkhart County--Elkhart & Goshen Cities PUMA, Indiana",203604.0,,-555555555.0,*****,18,00500
00600,"Noble, DeKalb, LaGrange & Steuben Counties PUMA; Indiana",163571.0,,-555555555.0,*****,18,00600
00700,"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",103280.0,,-555555555.0,*****,18,00700
00800,"Kosciusko & Marshall Counties PUMA, Indiana",125401.0,,-555555555.0,*****,18,00800
00900,"Huntington, Whitley, Adams & Wells Counties PUMA; Indiana",133169.0,,-555555555.0,*****,18,00900
01100,"Montgomery, Clinton, White, Carroll & Benton Counties PUMA; Indiana",123455.0,,-555555555.0,*****,18,01100
01200,"Tippecanoe County--Lafayette & West Lafayette Cities PUMA, Indiana",189294.0,,-555555555.0,*****,18,01200
01300,"Howard, Cass & Tipton Counties--Kokomo City PUMA; Indiana",135689.0,,-555555555.0,*****,18,01300
01400,"Grant, Miami & Wabash Counties PUMA; Indiana",134476.0,,-555555555.0,*****,18,01400
01500,"Henry, Randolph, Jay & Blackford Counties PUMA; Indiana",106681.0,,-555555555.0,*****,18,01500
01600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA; Indiana",104349.0,,-555555555.0,*****,18,01600
01700,"Vigo County--Terre Haute City PUMA, Indiana",107693.0,,-555555555.0,*****,18,01700
01900,"Madison County--Anderson City PUMA, Indiana",129505.0,,-555555555.0,*****,18,01900
02000,"Delaware County--Muncie City PUMA, Indiana",115616.0,,-555555555.0,*****,18,02000
02100,"Morgan, Putnam & Brown Counties PUMA; Indiana",122320.0,,-555555555.0,*****,18,02100
02200,"Hendricks County PUMA, Indiana",160940.0,,-555555555.0,*****,18,02200
02400,"Johnson County--Greenwood City PUMA, Indiana",151564.0,,-555555555.0,*****,18,02400
02500,"Hancock & Shelby Counties PUMA, Indiana",118229.0,,-555555555.0,*****,18,02500
02600,"Wayne, Fayette, Rush & Union Counties PUMA; Indiana",113729.0,,-555555555.0,*****,18,02600
02700,"Greene, Daviess, Owen, Orange & Martin Counties PUMA; Indiana",161486.0,,-555555555.0,*****,18,02700
02800,"Monroe County--Bloomington City PUMA, Indiana",145403.0,,-555555555.0,*****,18,02800
02900,"Bartholomew & Jackson Counties--Columbus City PUMA, Indiana",125831.0,,-555555555.0,*****,18,02900
03000,"Jefferson, Jennings, Decatur & Scott Counties PUMA; Indiana",110259.0,,-555555555.0,*****,18,03000
03100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",117283.0,,-555555555.0,*****,18,03100
03200,"Warrick, Gibson & Posey Counties PUMA; Indiana",121113.0,,-555555555.0,*****,18,03200
03300,"Vanderburgh County--Evansville City PUMA, Indiana",181313.0,,-555555555.0,*****,18,03300
03400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA; Indiana",142486.0,,-555555555.0,*****,18,03400
03500,"Floyd, Harrison & Washington Counties PUMA; Indiana",144348.0,,-555555555.0,*****,18,03500
03600,"Clark County--Jeffersonville City PUMA, Indiana",115702.0,,-555555555.0,*****,18,03600
00100,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA; Iowa",118595.0,,-555555555.0,*****,19,00100
00200,"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA; Iowa",113496.0,,-555555555.0,*****,19,00200
00400,"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties PUMA; Iowa",118027.0,,-555555555.0,*****,19,00400
00500,"Black Hawk County--Waterloo & Cedar Falls Cities PUMA, Iowa",133009.0,,-555555555.0,*****,19,00500
00600,"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties PUMA; Iowa",128685.0,,-555555555.0,*****,19,00600
00700,"Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City PUMA; Iowa",154580.0,,-555555555.0,*****,19,00700
00800,"Clinton, Muscatine, Jones & Cedar Counties PUMA; Iowa",129181.0,,-555555555.0,*****,19,00800
00900,"Scott County--Davenport City PUMA, Iowa",172288.0,,-555555555.0,*****,19,00900
01100,"Johnson County--Iowa City PUMA, Iowa",147001.0,,-555555555.0,*****,19,01100
01300,"Story & Boone Counties--Ames City PUMA, Iowa",123321.0,,-555555555.0,*****,19,01300
01800,"South Central Iowa PUMA, Iowa",103508.0,,-555555555.0,*****,19,01800
01900,"Northwest Central Iowa--Storm Lake, Denison & Cherokee Region PUMA; Iowa",120465.0,,-555555555.0,*****,19,01900
02000,"Woodbury & Plymouth Counties--Sioux City PUMA, Iowa",127437.0,,-555555555.0,*****,19,02000
02100,"Southwest Iowa--Council Bluffs City PUMA, Iowa",179974.0,,-555555555.0,*****,19,02100
02200,"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA; Iowa",124051.0,,-555555555.0,*****,19,02200
02300,"Des Moines, Lee, Henry & Louisa Counties PUMA; Iowa",105290.0,,-555555555.0,*****,19,02300
00100,"Northwest Kansas PUMA, Kansas",108792.0,,-555555555.0,*****,20,00100
00200,"North Central Kansas--Salina City PUMA, Kansas",145726.0,,-555555555.0,*****,20,00200
00300,"Riley, Geary & Pottawatomie Counties--Manhattan City PUMA; Kansas",133736.0,,-555555555.0,*****,20,00300
00400,"Northeast Kansas PUMA, Kansas",123029.0,,-555555555.0,*****,20,00400
00500,"Wyandotte County--Kansas City PUMA, Kansas",164345.0,,-555555555.0,*****,20,00500
00700,"Douglas County--Lawrence City PUMA, Kansas",119319.0,,-555555555.0,*****,20,00700
01000,"Central Kansas--Hutchinson City PUMA, Kansas",101493.0,,-555555555.0,*****,20,01000
01400,"East Central Kansas PUMA, Kansas",103509.0,,-555555555.0,*****,20,01400
01500,"Southeast Kansas PUMA, Kansas",128901.0,,-555555555.0,*****,20,01500
00100,"Purchase Area Development District PUMA, Kentucky",196229.0,,-555555555.0,*****,21,00100
00200,"Pennyrile Area Development District (North) PUMA, Kentucky",107818.0,,-555555555.0,*****,21,00200
00300,"Pennyrile Area Development District (South) PUMA, Kentucky",107143.0,,-555555555.0,*****,21,00300
00400,"Barren River Area Development District (Outer) PUMA, Kentucky",173518.0,,-555555555.0,*****,21,00400
00500,"Barren River Area Development District (Central)--Warren County PUMA, Kentucky",126427.0,,-555555555.0,*****,21,00500
00600,"Lake Cumberland Area Development District (West) PUMA, Kentucky",106244.0,,-555555555.0,*****,21,00600
00700,"Lake Cumberland Area Development District (East) PUMA, Kentucky",102389.0,,-555555555.0,*****,21,00700
00800,"Cumberland Valley Area Development District (North) PUMA, Kentucky",111001.0,,-555555555.0,*****,21,00800
00900,"Cumberland Valley Area Development District (South) PUMA, Kentucky",121878.0,,-555555555.0,*****,21,00900
01000,"Kentucky River Area Development District PUMA, Kentucky",107131.0,,-555555555.0,*****,21,01000
01100,"Big Sandy Area Development District PUMA, Kentucky",144837.0,,-555555555.0,*****,21,01100
01400,"Green River Area Development District (Southwest) PUMA, Kentucky",107496.0,,-555555555.0,*****,21,01400
01500,"Green River Area Development District (Northeast)--Daviess & Hancock Counties PUMA, Kentucky",108656.0,,-555555555.0,*****,21,01500
02100,"Bluegrass Area Development District (South) PUMA, Kentucky",124121.0,,-555555555.0,*****,21,02100
02200,"Bluegrass Area Development District (Southeast) PUMA, Kentucky",116334.0,,-555555555.0,*****,21,02200
02300,"Bluegrass Area Development District (Northeast) PUMA, Kentucky",135301.0,,-555555555.0,*****,21,02300
02400,"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",164688.0,,-555555555.0,*****,21,02400
02500,"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",129095.0,,-555555555.0,*****,21,02500
02600,"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",161857.0,,-555555555.0,*****,21,02600
02700,"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",139787.0,,-555555555.0,*****,21,02700
02800,"FIVCO Area Development District PUMA, Kentucky",134446.0,,-555555555.0,*****,21,02800
00200,"Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA, Louisiana",165762.0,,-555555555.0,*****,22,00200
00300,"Coordinating & Development Corporation 4--Northwest Louisiana PUMA, Louisiana",176062.0,,-555555555.0,*****,22,00300
00400,"North Delta Regional Planning & Development District 1--Ouachita Parish PUMA, Louisiana",156075.0,,-555555555.0,*****,22,00400
00500,"North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA, Louisiana",149728.0,,-555555555.0,*****,22,00500
00600,"Kisatchie Delta Regional Planning & Development District 1 PUMA, Louisiana",122587.0,,-555555555.0,*****,22,00600
00700,"Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA, Louisiana",182553.0,,-555555555.0,*****,22,00700
01000,"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes PUMA, Louisiana",117085.0,,-555555555.0,*****,22,01000
01100,"Acadiana Regional Development District 2--Acadia & Vermilion Parishes PUMA, Louisiana",122435.0,,-555555555.0,*****,22,01100
01300,"Acadiana Regional Development District 5--Iberia, St. Mary & St. Martin Parishes PUMA; Louisiana",178177.0,,-555555555.0,*****,22,01300
01400,"Capital Region Planning Commission 1--Baton Rouge Metropolitan Area (West) PUMA, Louisiana",115850.0,,-555555555.0,*****,22,01400
01600,"Capital Region Planning Commission 5--Ascension Parish PUMA, Louisiana",121176.0,,-555555555.0,*****,22,01600
01700,"Capital Region Planning Commission 6--Livingston & St. Helena Parishes PUMA, Louisiana",148522.0,,-555555555.0,*****,22,01700
01800,"Capital Region Planning Commission 7--Tangipahoa & Washington Parishes PUMA, Louisiana",176961.0,,-555555555.0,*****,22,01800
01900,"South Central Planning & Development Commission 1--River Parishes PUMA, Louisiana",117527.0,,-555555555.0,*****,22,01900
02000,"South Central Planning & Development Commission 2--Lafourche & Assumption Parishes PUMA, Louisiana",120928.0,,-555555555.0,*****,22,02000
02100,"South Central Planning & Development Commission 3--Terrebonne Parish PUMA, Louisiana",112587.0,,-555555555.0,*****,22,02100
00100,"Northeast Maine--Aroostook & Washington Counties PUMA, Maine",99963.0,,-555555555.0,*****,23,00100
00200,"Northwest Maine--Oxford, Somerset, Franklin & Piscataquis Counties PUMA; Maine",154941.0,,-555555555.0,*****,23,00200
00300,"Penobscot County PUMA, Maine",151748.0,,-555555555.0,*****,23,00300
00400,"Kennebec County PUMA, Maine",121545.0,,-555555555.0,*****,23,00400
00500,"Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties PUMA; Maine",167849.0,,-555555555.0,*****,23,00500
00600,"Androscoggin County PUMA, Maine",107444.0,,-555555555.0,*****,23,00600
00100,"Allegany & Garrett Counties--Cumberland City PUMA, Maryland",101353.0,,-555555555.0,*****,24,00100
00200,"Washington County--Hagerstown City PUMA, Maryland",149811.0,,-555555555.0,*****,24,00200
00400,"Carroll County PUMA, Maryland",167522.0,,-555555555.0,*****,24,00400
00700,"Cecil County PUMA, Maryland",102517.0,,-555555555.0,*****,24,00700
01300,"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA; Maryland",171295.0,,-555555555.0,*****,24,01300
01400,"Wicomico, Worcester & Somerset Counties--Salisbury City PUMA; Maryland",179473.0,,-555555555.0,*****,24,01400
01500,"St. Mary's & Calvert Counties PUMA, Maryland",202613.0,,-555555555.0,*****,24,01500
01600,"Charles County--La Plata Town & Waldorf PUMA, Maryland",157671.0,,-555555555.0,*****,24,01600
00100,"Berkshire County--Pittsfield City PUMA, Massachusetts",127328.0,,-555555555.0,*****,25,00100
00100,"Western Upper Peninsula PUMA, Michigan",172100.0,,-555555555.0,*****,26,00100
00200,"Eastern Upper Peninsula PUMA, Michigan",131702.0,,-555555555.0,*****,26,00200
00300,"Northeast Lower Peninsula PUMA, Michigan",133002.0,,-555555555.0,*****,26,00300
00400,"Northwest Lower Peninsula (East) PUMA, Michigan",148015.0,,-555555555.0,*****,26,00400
00700,"Muskegon County PUMA, Michigan",173043.0,,-555555555.0,*****,26,00700
00900,"Allegan County PUMA, Michigan",115250.0,,-555555555.0,*****,26,00900
01100,"Ionia, Montcalm, Mecosta & Osceola Counties PUMA; Michigan",193881.0,,-555555555.0,*****,26,01100
01200,"Isabella, Gratiot & Clare Counties PUMA; Michigan",142458.0,,-555555555.0,*****,26,01200
01300,"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA; Michigan",110506.0,,-555555555.0,*****,26,01300
01400,"Bay & Midland Counties PUMA, Michigan",188175.0,,-555555555.0,*****,26,01400
01500,"Saginaw County PUMA, Michigan",192778.0,,-555555555.0,*****,26,01500
01600,"Tuscola, Sanilac & Huron Counties PUMA; Michigan",126169.0,,-555555555.0,*****,26,01600
01900,"Eaton & Clinton Counties PUMA, Michigan",187051.0,,-555555555.0,*****,26,01900
02000,"Calhoun & Barry Counties PUMA, Michigan",194530.0,,-555555555.0,*****,26,02000
02200,"St. Joseph & Branch Counties PUMA, Michigan",104481.0,,-555555555.0,*****,26,02200
02300,"Van Buren & Cass Counties PUMA, Michigan",126732.0,,-555555555.0,*****,26,02300
02400,"Berrien County PUMA, Michigan",154807.0,,-555555555.0,*****,26,02400
02500,"Lenawee & Hillsdale Counties PUMA, Michigan",144304.0,,-555555555.0,*****,26,02500
02600,"Jackson County PUMA, Michigan",158913.0,,-555555555.0,*****,26,02600
02800,"Livingston County PUMA, Michigan",188482.0,,-555555555.0,*****,26,02800
03100,"St. Clair County PUMA, Michigan",159566.0,,-555555555.0,*****,26,03100
03300,"Monroe County PUMA, Michigan",149699.0,,-555555555.0,*****,26,03300
