geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,school district (secondary)
3099999,"Remainder of Montana, Montana",124640.0,,1773.0,,30,99999
3000933,"Shields Valley High School District, Montana",1619.0,,178.0,,30,00933
3001740,"Absarokee High School District, Montana",2077.0,,181.0,,30,01740
3002030,"Anaconda High School District, Montana",8875.0,,125.0,,30,02030
3002250,"Arlee High School District, Montana",2809.0,,328.0,,30,02250
3002450,"Augusta High School District, Montana",683.0,,153.0,,30,02450
3003090,"Beaverhead County High School District, Montana",9063.0,,86.0,,30,03090
3003330,"Belgrade High School District, Montana",22326.0,,775.0,,30,03330
3003450,"Belt High School District, Montana",1739.0,,231.0,,30,03450
3003840,"Bigfork High School District, Montana",8420.0,,569.0,,30,03840
3003900,"Billings High School District, Montana",136243.0,,794.0,,30,03900
3004500,"Box Elder High School District, Montana",567.0,,92.0,,30,04500
3004590,"Bozeman High School District, Montana",69674.0,,895.0,,30,04590
3004860,"Powder River County High School District, Montana",1651.0,,114.0,,30,04860
3004920,"Broadview High School District, Montana",756.0,,134.0,,30,04920
3005040,"Brockton High School District, Montana",582.0,,130.0,,30,05040
3005190,"Browning High School District, Montana",9017.0,,298.0,,30,05190
3005310,"Butte High School District, Montana",34710.0,,144.0,,30,05310
3005610,"Carter County High School District, Montana",1286.0,,114.0,,30,05610
3005910,"Cascade High School District, Montana",2715.0,,269.0,,30,05910
3006115,"Charlo High School District, Montana",1704.0,,183.0,,30,06115
3006270,"Chinook High School District, Montana",2226.0,,134.0,,30,06270
3006330,"Choteau High School District, Montana",2912.0,,209.0,,30,06330
3006810,"Circle High School District, Montana",1630.0,,118.0,,30,06810
3007080,"Colstrip High School District, Montana",2711.0,,339.0,,30,07080
3007140,"Columbia Falls High School District, Montana",15410.0,,719.0,,30,07140
3007200,"Columbus High School District, Montana",4603.0,,252.0,,30,07200
3007320,"Conrad High School District, Montana",3468.0,,161.0,,30,07320
3007860,"Culbertson High School District, Montana",901.0,,160.0,,30,07860
3007930,"Custer County High School District, Montana",11845.0,,-555555555.0,*****,30,07930
3008190,"Cut Bank High School District, Montana",4682.0,,298.0,,30,08190
3008340,"Dawson High School District, Montana",8778.0,,86.0,,30,08340
3008850,"Denton High School District, Montana",450.0,,80.0,,30,08850
3009210,"Drummond High School District, Montana",1382.0,,167.0,,30,09210
3300003,"John Stark Regional School District, New Hampshire",13961.0,,23.0,,33,00003
3300017,"Exeter Regional Cooperative School District, New Hampshire",33492.0,,205.0,,33,00017
3300049,"Prospect Mountain High School Joint Maintenance Agreement District, New Hampshire",9922.0,,29.0,,33,00049
3302670,"Dresden School District, New Hampshire",11512.0,,51.0,,33,02670
3303850,"Hollis-Brookline Cooperative School District, New Hampshire",13178.0,,43.0,,33,03850
3305830,"Profile School District, New Hampshire",4503.0,,212.0,,33,05830
3306260,"Souhegan Cooperative School District, New Hampshire",13843.0,,53.0,,33,06260
3307230,"Winnacunnet Cooperative School District, New Hampshire",31109.0,,151.0,,33,07230
3399965,"Pemi-Baker Regional School District, New Hampshire",19395.0,,471.0,,33,99965
3399999,"Remainder of New Hampshire, New Hampshire",1192707.0,,518.0,,33,99999
3412260,"River Dell Regional School District, New Jersey",19664.0,,36.0,,34,12260
3412510,"Pascack Valley Regional School District, New Jersey",34625.0,,60.0,,34,12510
3412570,"Passaic Valley Regional School District, New Jersey",37776.0,,46.0,,34,12570
3412600,"Passaic County Manchester Regional School District, New Jersey",22645.0,,40.0,,34,12600
3413000,"Pinelands Regional School District, New Jersey",27324.0,,274.0,,34,13000
3413560,"Ramapo-Indian Hill Regional School District, New Jersey",40939.0,,40.0,,34,13560
3413620,"Rancocas Valley Regional School District, New Jersey",42565.0,,83.0,,34,13620
3413750,"Red Bank Regional School District, New Jersey",22072.0,,54.0,,34,13750
3414400,"Rumson-Fair Haven Regional School District, New Jersey",12748.0,,23.0,,34,14400
3414940,"Shore Regional School District, New Jersey",18240.0,,152.0,,34,14940
3415450,"Delsea Regional High School School District, New Jersey",20625.0,,48.0,,34,15450
3415480,"Southern Regional School District, New Jersey",34338.0,,231.0,,34,15480
3416870,"Wallkill Valley Regional School District, New Jersey",18159.0,,144.0,,34,16870
3416970,"Warren Hills Regional School District, New Jersey",23425.0,,56.0,,34,16970
3417220,"Watchung Hills Regional School District, New Jersey",30476.0,,41.0,,34,17220
3417460,"West Essex Regional School District, New Jersey",22075.0,,51.0,,34,17460
3417550,"West Morris Regional School District, New Jersey",38673.0,,128.0,,34,17550
3499999,"Remainder of New Jersey, New Jersey",7251905.0,,773.0,,34,99999
3402880,"Sterling High School School District, New Jersey",16663.0,,40.0,,34,02880
3401770,"Black Horse Pike Regional School District, New Jersey",83443.0,,86.0,,34,01770
3402800,"Carlstadt-East Rutherford School District, New Jersey",15657.0,,46.0,,34,02800
3402910,"Central Regional School District, New Jersey",49365.0,,338.0,,34,02910
3403210,"Clearview Regional School District, New Jersey",27922.0,,50.0,,34,03210
3403620,"Cumberland Regional School District, New Jersey",23167.0,,237.0,,34,03620
3403750,"Delaware Valley Regional School District, New Jersey",16297.0,,217.0,,34,03750
3404380,"Eastern Camden County Regional School District, New Jersey",38987.0,,145.0,,34,04380
3405610,"Freehold Regional School District, New Jersey",192339.0,,178.0,,34,05610
3405820,"Gateway Regional School District, New Jersey",12386.0,,80.0,,34,05820
3406060,"Greater Egg Harbor Regional School District, New Jersey",72795.0,,59.0,,34,06060
3406660,"Hanover Park Regional School District, New Jersey",37183.0,,36.0,,34,06660
3407050,"Henry Hudson Regional School District, New Jersey",9107.0,,24.0,,34,07050
3407140,"High Point Regional School District, New Jersey",21487.0,,215.0,,34,07140
3407590,"Hunterdon Central Regional School District, New Jersey",50929.0,,67.0,,34,07590
3408490,"Lenape Regional School District, New Jersey",139018.0,,299.0,,34,08490
3407980,"Kingsway Regional School District, New Jersey",28529.0,,34.0,,34,07980
3408060,"Kittatinny Regional School District, New Jersey",13997.0,,182.0,,34,08060
3408190,"Lakeland Regional School District, New Jersey",23965.0,,43.0,,34,08190
3408500,"Lenape Valley Regional School District, New Jersey",14596.0,,45.0,,34,08500
3409090,"Lower Cape May Regional School District, New Jersey",26432.0,,180.0,,34,09090
3409360,"Mainland Regional School District, New Jersey",25630.0,,61.0,,34,09360
3409550,"North Warren Regional School District, New Jersey",12601.0,,172.0,,34,09550
3410440,"Monmouth Regional School District, New Jersey",31022.0,,179.0,,34,10440
3410740,"Morris Hills Regional School District, New Jersey",54384.0,,47.0,,34,10740
3411610,"North Hunterdon-Voorhees Regional School District, New Jersey",49855.0,,249.0,,34,11610
3411700,"Northern Burlington Regional School District, New Jersey",22492.0,,228.0,,34,11700
3411730,"Northern Highlands Regional School District, New Jersey",15004.0,,41.0,,34,11730
3411760,"Northern Valley Regional School District, New Jersey",38319.0,,65.0,,34,11760
3619020,"Bellmore-Merrick Central High School District, New York",68407.0,,1275.0,,36,19020
3626520,"Sewanhaka Central High School District, New York",126690.0,,2034.0,,36,26520
3629520,"Valley Stream Central High School District, New York",62562.0,,1673.0,,36,29520
3699999,"Remainder of New York, New York",19360794.0,,2313.0,,36,99999
4099001,"Frederick Public Schools in Davidson (9-12), Oklahoma",484.0,,103.0,,40,99001
4040001,"Secondary Coverage Area in White Oak Public Schools (9-12), Oklahoma",832.0,,90.0,,40,40001
4099999,"Remainder of Oklahoma, Oklahoma",3916821.0,,136.0,,40,99999
4103630,"Harney County Union High School District 1J, Oregon",1314.0,,181.0,,41,03630
4199999,"Remainder of Oregon, Oregon",4080629.0,,181.0,,41,99999
4400420,"Foster-Glocester Regional School District, Rhode Island",14751.0,,31.0,,44,00420
4499999,"Remainder of Rhode Island, Rhode Island",1041860.0,,31.0,,44,99999
4545013,"Beaufort County School District within Beaufort Marine Corps Air Station, South Carolina",765.0,,228.0,,45,45013
4545079,"Richland County School District 2 within Fort Jackson, South Carolina",16240.0,,835.0,,45,45079
4599999,"Remainder of South Carolina, South Carolina",4938920.0,,852.0,,45,99999
4747002,"Arlington Community Schools in Lakeland (9-12), Tennessee",10309.0,,486.0,,47,47002
4747001,"Anderson County School District in Clinton, Tennessee",9908.0,,24.0,,47,47001
4747029,"Cocke County School District in Newport, Tennessee",6757.0,,22.0,,47,47029
4747031,"Coffee County School District in Manchester, Tennessee",10537.0,,27.0,,47,47031
4747033,"Crockett County School District in Alamo, Tennessee",3910.0,,366.0,,47,47033
4747034,"Crockett County School District in Bells, Tennessee",3923.0,,303.0,,47,47034
4747073,"Hawkins County School District in Rogersville, Tennessee",4341.0,,22.0,,47,47073
4747077,"Henderson County School District in Lexington, Tennessee",7735.0,,26.0,,47,47077
4747079,"Henry County School District in Paris, Tennessee",12051.0,,407.0,,47,47079
4747107,"McMinn County School District in Athens, Tennessee",13752.0,,26.0,,47,47107
4747108,"McMinn County School District in Etowah, Tennessee",3474.0,,27.0,,47,47108
4747123,"Monroe County School District in Sweetwater, Tennessee",11725.0,,707.0,,47,47123
4747143,"Rhea County School District in Dayton, Tennessee",7340.0,,29.0,,47,47143
4747149,"Rutherford County School District in Murfreesboro, Tennessee",130972.0,,154.0,,47,47149
4747187,"Williamson County School District in Franklin, Tennessee",39025.0,,1098.0,,47,47187
4747189,"Wilson County School District in Lebanon, Tennessee",33907.0,,985.0,,47,47189
4799999,"Remainder of Tennessee, Tennessee",6341423.0,,1811.0,,47,99999
4848285,"Hallettsville Independent School District (9-12) in Vysehrad, Texas",832.0,,179.0,,48,48285
4899999,"Remainder of Texas, Texas",27882136.0,,362.0,,48,99999
4848449,"Mount Pleasant Independent School District (9-12) in Winfield, Texas",1068.0,,234.0,,48,48449
4848143,"Stephenville Independent School District (9-12) in Bluff Dale, Texas",1159.0,,229.0,,48,48143
5000006,"Essex Community Education Center, Vermont",21225.0,,52.0,,50,00006
5099999,"Remainder of Vermont, Vermont",603752.0,,52.0,,50,99999
5507650,"Lake Geneva-Genoa City Union High School District, Wisconsin",24470.0,,538.0,,55,07650
5509630,"Lakeland Union High School District, Wisconsin",17876.0,,356.0,,55,09630
5513290,"Westosha Central High School District, Wisconsin",20687.0,,643.0,,55,13290
5515150,"Union Grove Union High School District, Wisconsin",13562.0,,339.0,,55,15150
5515480,"Big Foot Union High School District, Wisconsin",9448.0,,360.0,,55,15480
5515600,"Waterford Union High School District, Wisconsin",18727.0,,412.0,,55,15600
5516770,"Wilmot Union High School District, Wisconsin",19030.0,,494.0,,55,16770
5599999,"Remainder of Wisconsin, Wisconsin",5561452.0,,1128.0,,55,99999
5505490,"Nicolet Union High School District, Wisconsin",25627.0,,60.0,,55,05490
5506120,"Hartford Union High School District, Wisconsin",32925.0,,547.0,,55,06120
5506180,"Arrowhead Union High School District, Wisconsin",34590.0,,615.0,,55,06180
