geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,not_hispanic_or_latino,not_hispanic_or_latino_annotation,not_hispanic_or_latino_moe,not_hispanic_or_latino_moe_annotation,hispanic_or_latino,hispanic_or_latino_annotation,hispanic_or_latino_moe,hispanic_or_latino_moe_annotation,mexican,mexican_annotation,mexican_moe,mexican_moe_annotation,puerto_rican,puerto_rican_annotation,puerto_rican_moe,puerto_rican_moe_annotation,cuban,cuban_annotation,cuban_moe,cuban_moe_annotation,dominican,dominican_annotation,dominican_moe,dominican_moe_annotation,central_american,central_american_annotation,central_american_moe,central_american_moe_annotation,costa_rican,costa_rican_annotation,costa_rican_moe,costa_rican_moe_annotation,guatemalan,guatemalan_annotation,guatemalan_moe,guatemalan_moe_annotation,honduran,honduran_annotation,honduran_moe,honduran_moe_annotation,nicaraguan,nicaraguan_annotation,nicaraguan_moe,nicaraguan_moe_annotation,GEO_ID,state,panamanian,panamanian_annotation,panamanian_moe,panamanian_moe_annotation,salvadoran,salvadoran_annotation,salvadoran_moe,salvadoran_moe_annotation,other_central_american,other_central_american_annotation,other_central_american_moe,other_central_american_moe_annotation,south_american,south_american_annotation,south_american_moe,south_american_moe_annotation,argentinean,argentinean_annotation,argentinean_moe,argentinean_moe_annotation,bolivian,bolivian_annotation,bolivian_moe,bolivian_moe_annotation,chilean,chilean_annotation,chilean_moe,chilean_moe_annotation,colombian,colombian_annotation,colombian_moe,colombian_moe_annotation,ecuadorian,ecuadorian_annotation,ecuadorian_moe,ecuadorian_moe_annotation,paraguayan,paraguayan_annotation,paraguayan_moe,paraguayan_moe_annotation,peruvian,peruvian_annotation,peruvian_moe,peruvian_moe_annotation,uruguayan,uruguayan_annotation,uruguayan_moe,uruguayan_moe_annotation,venezuelan,venezuelan_annotation,venezuelan_moe,venezuelan_moe_annotation,other_south_american,other_south_american_annotation,other_south_american_moe,other_south_american_moe_annotation,other_hispanic_or_latino,other_hispanic_or_latino_annotation,other_hispanic_or_latino_moe,other_hispanic_or_latino_moe_annotation,spaniard,spaniard_annotation,spaniard_moe,spaniard_moe_annotation,spanish,spanish_annotation,spanish_moe,spanish_moe_annotation,spanish_american,spanish_american_annotation,spanish_american_moe,spanish_american_moe_annotation,all_other_hispanic_or_latino,all_other_hispanic_or_latino_annotation,all_other_hispanic_or_latino_moe,all_other_hispanic_or_latino_moe_annotation
13,Georgia,10403847.0,,-555555555.0,*****,9411453.0,,478.0,,992394.0,,479.0,,565361.0,,7650.0,,100970.0,,4373.0,,32778.0,,2357.0,,25979.0,,2476.0,,151782.0,,5379.0,,4195.0,,875.0,,55077.0,,3277.0,,30349.0,,3132.0,,5799.0,,914.0,,0400000US13,13,9801.0,,1077.0,,45864.0,,3552.0,,697.0,,569.0,,78400.0,,4146.0,,5069.0,,967.0,,1045.0,,316.0,,2435.0,,633.0,,35510.0,,2863.0,,6768.0,,1100.0,,461.0,,242.0,,10909.0,,1215.0,,2477.0,,564.0,,13239.0,,1639.0,,487.0,,275.0,,37124.0,,2658.0,,10511.0,,1105.0,,4711.0,,1055.0,,264.0,,163.0,,21638.0,,1824.0,
15,Hawaii,1422094.0,,-555555555.0,*****,1272976.0,,-555555555.0,*****,149118.0,,-555555555.0,*****,46989.0,,2348.0,,46650.0,,2011.0,,2281.0,,627.0,,1113.0,,309.0,,4825.0,,813.0,,501.0,,375.0,,1752.0,,638.0,,517.0,,255.0,,350.0,,146.0,,0400000US15,15,915.0,,367.0,,786.0,,251.0,,4.0,,7.0,,5753.0,,849.0,,835.0,,326.0,,129.0,,103.0,,515.0,,203.0,,1825.0,,469.0,,478.0,,198.0,,48.0,,69.0,,948.0,,224.0,,9.0,,14.0,,899.0,,403.0,,67.0,,57.0,,41507.0,,2030.0,,10916.0,,1215.0,,24018.0,,1661.0,,0.0,,27.0,,6573.0,,811.0,
16,Idaho,1717750.0,,-555555555.0,*****,1502274.0,,-555555555.0,*****,215476.0,,-555555555.0,*****,184988.0,,2235.0,,4793.0,,941.0,,1342.0,,775.0,,583.0,,325.0,,5039.0,,898.0,,511.0,,308.0,,1674.0,,477.0,,572.0,,229.0,,229.0,,115.0,,0400000US16,16,98.0,,74.0,,1919.0,,667.0,,36.0,,55.0,,6305.0,,958.0,,598.0,,282.0,,31.0,,50.0,,783.0,,404.0,,1352.0,,511.0,,475.0,,243.0,,57.0,,64.0,,2064.0,,662.0,,21.0,,23.0,,845.0,,365.0,,79.0,,86.0,,12426.0,,1519.0,,4684.0,,786.0,,2296.0,,555.0,,66.0,,68.0,,5380.0,,903.0,
17,Illinois,12770631.0,,-555555555.0,*****,10584244.0,,231.0,,2186387.0,,231.0,,1717260.0,,8844.0,,203068.0,,5519.0,,26137.0,,1621.0,,7657.0,,1203.0,,92761.0,,4434.0,,2793.0,,702.0,,45775.0,,3008.0,,16583.0,,1858.0,,3629.0,,987.0,,0400000US17,17,3275.0,,723.0,,19255.0,,1990.0,,1451.0,,695.0,,88137.0,,3633.0,,6436.0,,745.0,,2756.0,,639.0,,3224.0,,660.0,,24163.0,,1771.0,,30206.0,,2177.0,,329.0,,147.0,,12734.0,,1396.0,,929.0,,324.0,,6151.0,,1190.0,,1209.0,,428.0,,51367.0,,2553.0,,16132.0,,1535.0,,6887.0,,958.0,,200.0,,134.0,,28148.0,,2097.0,
18,Indiana,6665703.0,,-555555555.0,*****,6203853.0,,263.0,,461850.0,,263.0,,336097.0,,3759.0,,41626.0,,2362.0,,6408.0,,932.0,,4041.0,,848.0,,35648.0,,2422.0,,1023.0,,455.0,,9316.0,,1352.0,,8704.0,,1226.0,,2266.0,,591.0,,0400000US18,18,1353.0,,378.0,,12779.0,,1688.0,,207.0,,218.0,,14340.0,,1540.0,,1638.0,,390.0,,166.0,,93.0,,878.0,,349.0,,3450.0,,645.0,,1472.0,,429.0,,82.0,,63.0,,3381.0,,752.0,,132.0,,103.0,,3088.0,,689.0,,53.0,,45.0,,23690.0,,1917.0,,6092.0,,824.0,,3076.0,,713.0,,223.0,,240.0,,14299.0,,1628.0,
19,Iowa,3139508.0,,-555555555.0,*****,2951197.0,,135.0,,188311.0,,135.0,,145886.0,,2259.0,,7103.0,,820.0,,2283.0,,456.0,,524.0,,169.0,,19844.0,,1921.0,,501.0,,246.0,,6797.0,,1096.0,,3278.0,,776.0,,1050.0,,412.0,,0400000US19,19,656.0,,310.0,,7306.0,,986.0,,256.0,,130.0,,4266.0,,603.0,,413.0,,184.0,,264.0,,125.0,,266.0,,118.0,,1201.0,,323.0,,967.0,,352.0,,74.0,,55.0,,731.0,,278.0,,54.0,,67.0,,273.0,,133.0,,23.0,,29.0,,8405.0,,925.0,,2145.0,,382.0,,789.0,,184.0,,22.0,,40.0,,5449.0,,827.0,
20,Kansas,2910652.0,,-555555555.0,*****,2564972.0,,72.0,,345680.0,,71.0,,281161.0,,2921.0,,12518.0,,1205.0,,4255.0,,709.0,,1161.0,,355.0,,24556.0,,2007.0,,415.0,,188.0,,9832.0,,1277.0,,5385.0,,932.0,,865.0,,332.0,,0400000US20,20,626.0,,217.0,,7375.0,,1194.0,,58.0,,70.0,,8601.0,,1070.0,,772.0,,267.0,,368.0,,174.0,,159.0,,86.0,,2581.0,,664.0,,1048.0,,505.0,,384.0,,167.0,,1611.0,,415.0,,216.0,,126.0,,1324.0,,682.0,,138.0,,131.0,,13428.0,,1194.0,,4332.0,,675.0,,2147.0,,585.0,,51.0,,50.0,,6898.0,,912.0,
21,Kentucky,4449052.0,,-555555555.0,*****,4286058.0,,515.0,,162994.0,,515.0,,91325.0,,2505.0,,16039.0,,1429.0,,15885.0,,1613.0,,1122.0,,274.0,,20997.0,,1512.0,,663.0,,267.0,,9242.0,,1283.0,,5691.0,,921.0,,546.0,,236.0,,0400000US21,21,871.0,,295.0,,3843.0,,763.0,,141.0,,129.0,,8538.0,,1181.0,,705.0,,247.0,,285.0,,156.0,,590.0,,214.0,,2700.0,,571.0,,644.0,,301.0,,80.0,,69.0,,1741.0,,479.0,,29.0,,26.0,,1570.0,,469.0,,194.0,,200.0,,9088.0,,946.0,,2845.0,,612.0,,1458.0,,315.0,,59.0,,84.0,,4726.0,,719.0,
22,Louisiana,4664362.0,,-555555555.0,*****,4425198.0,,365.0,,239164.0,,365.0,,92224.0,,2791.0,,15486.0,,1258.0,,11892.0,,1171.0,,5744.0,,1076.0,,77477.0,,3204.0,,992.0,,315.0,,9623.0,,1407.0,,47031.0,,2840.0,,7567.0,,1035.0,,0400000US22,22,2068.0,,636.0,,8780.0,,1275.0,,1416.0,,707.0,,12935.0,,1333.0,,779.0,,293.0,,651.0,,324.0,,583.0,,216.0,,4386.0,,711.0,,1923.0,,514.0,,29.0,,23.0,,1769.0,,494.0,,241.0,,151.0,,2468.0,,648.0,,106.0,,94.0,,23406.0,,1760.0,,8396.0,,963.0,,4134.0,,797.0,,0.0,,30.0,,10876.0,,1150.0,
23,Maine,1335492.0,,-555555555.0,*****,1313392.0,,-555555555.0,*****,22100.0,,-555555555.0,*****,6286.0,,678.0,,5947.0,,556.0,,1509.0,,354.0,,933.0,,268.0,,2040.0,,476.0,,238.0,,135.0,,421.0,,193.0,,237.0,,109.0,,212.0,,121.0,,0400000US23,23,198.0,,103.0,,722.0,,407.0,,12.0,,20.0,,2684.0,,496.0,,358.0,,202.0,,15.0,,22.0,,163.0,,92.0,,681.0,,230.0,,404.0,,232.0,,63.0,,53.0,,694.0,,266.0,,174.0,,207.0,,101.0,,68.0,,31.0,,29.0,,2701.0,,388.0,,1007.0,,222.0,,430.0,,170.0,,13.0,,24.0,,1251.0,,298.0,
24,Maryland,6018848.0,,-555555555.0,*****,5412366.0,,-555555555.0,*****,606482.0,,-555555555.0,*****,100975.0,,4461.0,,55176.0,,2614.0,,13858.0,,1272.0,,21714.0,,1845.0,,301046.0,,6009.0,,3392.0,,707.0,,55208.0,,4155.0,,34013.0,,2994.0,,11147.0,,1392.0,,0400000US24,24,8382.0,,1248.0,,188211.0,,5335.0,,693.0,,342.0,,79411.0,,2980.0,,6207.0,,1065.0,,9042.0,,1110.0,,4317.0,,729.0,,18138.0,,1748.0,,8692.0,,1258.0,,1615.0,,482.0,,25092.0,,2319.0,,943.0,,283.0,,4303.0,,950.0,,1062.0,,467.0,,34302.0,,2190.0,,7964.0,,757.0,,3608.0,,796.0,,65.0,,88.0,,22665.0,,1880.0,
25,Massachusetts,6850553.0,,-555555555.0,*****,6041374.0,,328.0,,809179.0,,328.0,,48777.0,,2602.0,,327501.0,,4711.0,,14906.0,,1205.0,,153773.0,,4090.0,,136841.0,,4863.0,,3323.0,,722.0,,45235.0,,3052.0,,16883.0,,1922.0,,1936.0,,389.0,,0400000US25,25,3100.0,,759.0,,63516.0,,3811.0,,2848.0,,1043.0,,84349.0,,3608.0,,6009.0,,690.0,,1946.0,,469.0,,3920.0,,659.0,,36559.0,,2480.0,,14927.0,,1447.0,,627.0,,219.0,,10374.0,,1225.0,,2290.0,,650.0,,7230.0,,918.0,,467.0,,246.0,,43032.0,,2273.0,,12059.0,,1042.0,,4732.0,,774.0,,58.0,,48.0,,26183.0,,1880.0,
26,Michigan,9965265.0,,-555555555.0,*****,9457912.0,,71.0,,507353.0,,72.0,,366137.0,,2873.0,,47174.0,,2187.0,,13142.0,,1099.0,,6981.0,,1016.0,,26854.0,,1815.0,,1260.0,,296.0,,13315.0,,1457.0,,4399.0,,864.0,,1127.0,,374.0,,0400000US26,26,1947.0,,491.0,,4559.0,,933.0,,247.0,,209.0,,16604.0,,1069.0,,2535.0,,474.0,,623.0,,229.0,,1151.0,,271.0,,5065.0,,586.0,,1368.0,,295.0,,162.0,,66.0,,2877.0,,477.0,,292.0,,162.0,,2248.0,,389.0,,283.0,,141.0,,30461.0,,1882.0,,9447.0,,1046.0,,4838.0,,640.0,,78.0,,57.0,,16098.0,,1385.0,
27,Minnesota,5563378.0,,-555555555.0,*****,5263822.0,,33.0,,299556.0,,33.0,,201662.0,,2872.0,,15286.0,,1367.0,,5446.0,,719.0,,2822.0,,583.0,,33494.0,,2156.0,,1175.0,,313.0,,11293.0,,1310.0,,5060.0,,857.0,,2011.0,,466.0,,0400000US27,27,993.0,,253.0,,12893.0,,1676.0,,69.0,,49.0,,25259.0,,1706.0,,1804.0,,466.0,,624.0,,267.0,,1504.0,,363.0,,5506.0,,607.0,,10095.0,,1260.0,,359.0,,138.0,,2817.0,,626.0,,371.0,,223.0,,1946.0,,528.0,,233.0,,184.0,,15587.0,,1228.0,,4870.0,,613.0,,1866.0,,409.0,,12.0,,12.0,,8839.0,,976.0,
28,Mississippi,2984418.0,,-555555555.0,*****,2893216.0,,993.0,,91202.0,,993.0,,54516.0,,1934.0,,9736.0,,1249.0,,3027.0,,776.0,,1762.0,,602.0,,10488.0,,1374.0,,177.0,,89.0,,4444.0,,791.0,,3390.0,,866.0,,581.0,,298.0,,0400000US28,28,526.0,,261.0,,1342.0,,433.0,,28.0,,39.0,,4571.0,,789.0,,323.0,,182.0,,227.0,,206.0,,154.0,,101.0,,2210.0,,601.0,,315.0,,207.0,,0.0,,30.0,,546.0,,271.0,,12.0,,20.0,,592.0,,220.0,,192.0,,233.0,,7102.0,,823.0,,2054.0,,478.0,,1456.0,,513.0,,0.0,,30.0,,3592.0,,690.0,
29,Missouri,6104910.0,,-555555555.0,*****,5850119.0,,210.0,,254791.0,,210.0,,174640.0,,3060.0,,15429.0,,1250.0,,7591.0,,936.0,,2100.0,,458.0,,25074.0,,1963.0,,1019.0,,446.0,,8745.0,,1086.0,,6050.0,,1199.0,,1148.0,,352.0,,0400000US29,29,1733.0,,547.0,,6294.0,,971.0,,85.0,,67.0,,12505.0,,1312.0,,1206.0,,291.0,,640.0,,295.0,,1068.0,,449.0,,3676.0,,580.0,,1239.0,,330.0,,100.0,,87.0,,2077.0,,503.0,,166.0,,123.0,,2277.0,,778.0,,56.0,,50.0,,17452.0,,1226.0,,5632.0,,655.0,,2689.0,,486.0,,57.0,,42.0,,9074.0,,1073.0,
30,Montana,1050649.0,,-555555555.0,*****,1010335.0,,129.0,,40314.0,,129.0,,28776.0,,919.0,,2443.0,,551.0,,1104.0,,340.0,,502.0,,323.0,,1446.0,,347.0,,142.0,,75.0,,466.0,,215.0,,196.0,,160.0,,159.0,,107.0,,0400000US30,30,169.0,,112.0,,194.0,,122.0,,120.0,,95.0,,1632.0,,313.0,,112.0,,81.0,,10.0,,14.0,,196.0,,162.0,,479.0,,226.0,,109.0,,67.0,,59.0,,72.0,,363.0,,146.0,,48.0,,49.0,,256.0,,135.0,,0.0,,24.0,,4411.0,,541.0,,1740.0,,374.0,,1199.0,,272.0,,10.0,,17.0,,1462.0,,324.0,
31,Nebraska,1914571.0,,-555555555.0,*****,1706300.0,,105.0,,208271.0,,105.0,,153123.0,,2243.0,,6108.0,,709.0,,5209.0,,789.0,,612.0,,257.0,,28261.0,,2140.0,,192.0,,107.0,,17421.0,,1732.0,,2453.0,,619.0,,420.0,,235.0,,0400000US31,31,505.0,,211.0,,6667.0,,1001.0,,603.0,,371.0,,4358.0,,686.0,,365.0,,165.0,,153.0,,102.0,,401.0,,153.0,,1336.0,,337.0,,232.0,,132.0,,26.0,,33.0,,906.0,,291.0,,45.0,,59.0,,794.0,,437.0,,100.0,,96.0,,10600.0,,1442.0,,2571.0,,485.0,,1348.0,,361.0,,8.0,,13.0,,6673.0,,1253.0,
32,Nevada,2972382.0,,-555555555.0,*****,2119341.0,,-555555555.0,*****,853041.0,,-555555555.0,*****,643198.0,,5852.0,,28414.0,,1980.0,,31745.0,,2402.0,,4458.0,,1163.0,,81807.0,,3783.0,,2103.0,,628.0,,22171.0,,2234.0,,5877.0,,1006.0,,4926.0,,908.0,,0400000US32,32,1810.0,,550.0,,44170.0,,3045.0,,750.0,,632.0,,25689.0,,2231.0,,3350.0,,563.0,,716.0,,401.0,,1819.0,,438.0,,6943.0,,878.0,,1925.0,,483.0,,67.0,,52.0,,7725.0,,1365.0,,401.0,,225.0,,2515.0,,675.0,,228.0,,106.0,,37730.0,,2130.0,,12936.0,,1185.0,,7958.0,,982.0,,221.0,,219.0,,16615.0,,1450.0,
33,New Hampshire,1348124.0,,-555555555.0,*****,1297631.0,,230.0,,50493.0,,230.0,,8262.0,,950.0,,17483.0,,1304.0,,2057.0,,435.0,,7833.0,,992.0,,5017.0,,823.0,,517.0,,241.0,,1323.0,,477.0,,1591.0,,523.0,,248.0,,114.0,,0400000US33,33,295.0,,162.0,,1043.0,,364.0,,0.0,,27.0,,5533.0,,757.0,,408.0,,235.0,,69.0,,78.0,,443.0,,239.0,,2087.0,,442.0,,687.0,,262.0,,64.0,,73.0,,802.0,,289.0,,651.0,,349.0,,322.0,,152.0,,0.0,,27.0,,4308.0,,687.0,,1531.0,,351.0,,509.0,,142.0,,0.0,,27.0,,2268.0,,569.0,
34,New Jersey,8878503.0,,-555555555.0,*****,7083767.0,,-555555555.0,*****,1794736.0,,-555555555.0,*****,225484.0,,6345.0,,476373.0,,7416.0,,92910.0,,3699.0,,291845.0,,6146.0,,227109.0,,6700.0,,21066.0,,1831.0,,66580.0,,4479.0,,48150.0,,3082.0,,10117.0,,1400.0,,0400000US34,34,8313.0,,1096.0,,72631.0,,3675.0,,252.0,,156.0,,395470.0,,7424.0,,16632.0,,1496.0,,3735.0,,690.0,,8736.0,,1134.0,,126085.0,,4384.0,,127212.0,,4563.0,,2702.0,,638.0,,88387.0,,4240.0,,10545.0,,1325.0,,10563.0,,1203.0,,873.0,,340.0,,85545.0,,3750.0,,27708.0,,1557.0,,8757.0,,1034.0,,211.0,,144.0,,48869.0,,3087.0,
