storeNumber,name,address,city,state,zip,phone,latitude,longitude,brand,open_date
11286,San Francisco Outlets,2788 Livermore Outlets Drive,Livermore,CA,94551,925-447-0589,37.69641,-121.84259,ACF,2012-11-08
21286,San Francisco Outlets,2788 Livermore Outlets Drive,Livermore,CA,94551,925-447-0589,37.69641,-121.84259,KID,2012-11-08
11574,Vacaville Premium Outlets,"321 Nut Tree Road, Unit 0304",Vacaville,CA,95687,707-451-7409,38.3679,-121.95268,ACF,2015-08-08
10402,Valley Fair,2855 Stevens Creek Blvd,Santa Clara,CA,95050,408-551-0252,37.32565,-121.949,ACF,2002-03-22
21404,Valley Fair,2855 Stevens Creek Blvd,Santa Clara,CA,95050,408-551-0252,37.32565,-121.949,KID,2021-01-22
11549,Arden Fair,"1689 Arden Way, Ste 1214",Sacramento,CA,95815,916-570-0287,38.6014,-121.42776,ACF,2015-10-06
20173,Arden Fair,1689 Arden Way Ste 2086,Sacramento,CA,95815,916-924-1540,38.6014,-121.42776,KID,2007-09-06
21995,Vintage Faire,"3401 Dale Road, Suite 147",Modesto,CA,95356,209-661-2028,37.68987,-121.05035,KID,2019-11-01
11002,Galleria At Roseville,"1151 Galleria Blvd, Ste 2235",Roseville,CA,95678,916-788-0844,38.75683,-121.26688,ACF,2010-07-16
21102,Galleria At Roseville,"1151 Galleria Blvd., Space 2235",Roseville,CA,95678,916-788-0844,38.75683,-121.26688,KID,2015-11-07
11592,Gilroy Outlet,681 Leavesley Road,Gilroy,CA,95020,408-848-3085,37.02484,-121.56532,ACF,2014-09-18
21532,Las Americas Po,4211 Camino De La Plaza,San Diego,CA,92173,619-761-5003,32.5437,-117.041,KID,2019-10-25
11646,Fashion Valley,"7007 Friars Road, Ste 940",San Diego,CA,92108,619-298-8778,32.76877,-117.16757,ACF,2018-08-25
21852,Northridge,"796 Northridge Drive, Ste J09",Salinas,CA,93906,831-202-9106,36.71774,-121.65895,KID,2019-11-16
10424,Valley Plaza,2701 Ming Ave Ste 160,Bakersfield,CA,93304,661-832-1549,35.33823,-119.03442,ACF,2001-06-07
21424,Valley Plaza,2701 Ming Ave Ste 160,Bakersfield,CA,93304,661-832-1549,35.33823,-119.03442,KID,2017-01-27
20226,Mall Of Georgia,"3333 Buford Drive, Suite 2024",Buford,GA,30519,678-482-7051,34.06422,-83.98414,KID,1999-08-06
10683,Perimeter,4400 Ashford Dunwoody Rd Ne,Atlanta,GA,30346,770-390-3004,33.92473,-84.34309,ACF,1997-07-17
21683,Perimeter,4400 Ashford Dunwoody Rd,Atlanta,GA,30346,770-390-3004,33.92473,-84.34309,KID,2015-11-07
11938,Lenox Square,3393 Peachtree Rd Ne Ste 4042b,Atlanta,GA,30326,404-816-2143,33.847,-84.36339,ACF,2017-07-21
10583,Town Center At Cobb,"400 Barrett Parkway, Suite # 133",Kennesaw,GA,30144,770-426-0043,34.01814,-84.56189,ACF,1995-11-09
11192,Green Hills,2126 Abbott Martin Road,Nashville,TN,37215,615-522-0044,36.10672,-86.81615,ACF,2019-10-25
21192,Green Hills,2126 Abbott Martin Road,Nashville,TN,37215,615-522-0039,36.10672,-86.81615,KID,2019-10-25
11130,Opry Mills,311 Opry Mills Drive,Nashville,TN,37214,615-932-5185,36.204,-86.6924,ACF,2016-09-30
21130,Opry Mills,433 Opry Mills Drive,Nashville,TN,37214,615-932-5185,36.204,-86.6924,KID,2016-09-30
10430,Fashion Fair,595 East Shaw Avenue,Fresno,CA,93710,559-226-4853,36.80844,-119.77695,ACF,2002-09-05
20146,Fashion Fair,691 East Shaw Avenue,Fresno,CA,93710,559-221-1343,36.80844,-119.77695,KID,2006-10-26
10546,Oak Park,11741 W. 95th St.,Overland Park,KS,66214,913-888-6250,38.95641,-94.71762,ACF,1993-10-14
21546,Oak Park,11741 W. 95th St.,Overland Park,KS,66214,913-888-6250,38.95641,-94.71762,KID,2020-01-01
10606,Barton Creek,2901 S Capital Of Texas Hwy Ste D3,Austin,TX,78746,512-329-8323,30.25621,-97.81001,ACF,1995-08-10
21606,Barton Creek,2901 S Capital Of Texas Hwy Ste D3,Austin,TX,78746,512-329-8323,30.25621,-97.81001,KID,2018-02-16
11003,San Marcos Outlet,3939 Ih South 35,San Marcos,TX,78666,512-215-3618,29.82883,-97.98402,ACF,2010-02-18
20408,San Marcos Outlet,4015 I-35 South,San Marcos,TX,78666,614-765-2574,29.82883,-97.98402,KID,2010-09-23
11497,Fashion Show,3200 Las Vegas Blvd S Ste 2190,Las Vegas,NV,89109,702-650-6509,36.12742,-115.17081,ACF,2018-09-18
21497,Fashion Show,"3200 Las Vegas Blvd S, Ste 2190",Las Vegas,NV,89109,702-650-6509,36.12742,-115.17081,KID,2018-09-18
11755,Downtown Summerlin,"1875 Festival Plaza Dr, Suite 170",Las Vegas,NV,89135,702-266-8312,36.15,-115.33302,ACF,2023-08-11
10971,Town Square,6623 Las Vegas Blvd S Unit 135,Las Vegas,NV,89119,702-270-2889,36.06692,-115.17221,ACF,2007-12-06
21598,Springfield Town Center,"6500 Springfield Mall, Ste 22008",Springfield,VA,22150,571-255-6022,38.7893,-77.1872,KID,2019-11-15
11861,Tysons Corner,7865 Tysons Corner Ctr Spc N13u,Mclean,VA,22102,703-852-1054,38.91977,-77.22608,ACF,2017-08-05
21860,Tysons Corner,"1961 Chain Bridge Road, Space 161",Mclean,VA,22102,571-326-1110,38.91977,-77.22608,KID,2019-11-08
10561,Wisconsin Avenue,1208 Wisconsin Ave Nw Lowr,Washington,DC,20007,202-333-1566,38.90567,-77.06303,ACF,1982-10-08
11570,Leesburg Po,241 Fort Evans Road Ne,Leesburg,VA,20176,703-777-6491,39.10672,-77.53845,ACF,2016-04-23
11519,Harbor East,810 Aliceanna St,Baltimore,MD,21202,410-469-2805,39.28354,-76.60104,ACF,2023-10-03
12506,Ala Moana,"1450 Ala Moana Blvd, Unit 3110",Honolulu,HI,96814,808-946-5655,21.2915,-157.84339,ACF,2021-05-14
11311,Int'L Market Place,2330 Kalakaua Avenue,Honolulu,HI,96815,808-377-6523,21.28111,-157.82888,ACF,2016-12-16
11924,Dolphin Mall,"11401 Nw 12th St., Suite 188",Miami,FL,33172,305-714-4324,25.78758,-80.38024,ACF,2022-11-23
21113,Dolphin Mall,"11401 Nw 12th St,  Suite 220",Miami,FL,33172,305-397-0000,25.78758,-80.38024,KID,2019-07-19
11212,Brickell City Centre,701 S Miami Ave,Miami,FL,33130,305-200-0082,25.76707,-80.1914,ACF,2023-09-29
11650,Aventura,19575 Biscayne Blvd,Aventura,FL,33180,305-466-0110,25.95796,-80.14192,ACF,2023-09-09
21396,Aventura,19575 Biscayne Blvd,Aventura,FL,33180,,25.95796,-80.14192,KID,2023-09-09
11695,Dadeland,7535 N Kendall Dr,Miami,FL,33156,305-423-7465,25.69019,-80.31226,ACF,2022-12-05
10455,Falls,8888 Sw 136th Street,Miami,FL,33176,305-256-3765,25.6454,-80.33888,ACF,2001-11-23
21999,Sawgrass Mills,"12801 W Sunrise Blvd, Ste 527",Sunrise,FL,33323,954-200-6206,26.1517,-80.3208,KID,2019-09-20
11928,Galleria Ft Lauderdale,2496 East Sunrise Blvd,Fort Lauderdale,FL,33304,954-561-4712,26.13704,-80.113,ACF,2015-04-09
10798,Tc At Boca Raton,"6000 Glades Rd., Space #1211a",Boca Raton,FL,33431,561-368-2247,26.36812,-80.13471,ACF,2000-11-17
21798,Tc At Boca Raton, 6000 Glades Road Ste 1211a,Boca Raton,FL,33431,561-368-2247,26.36812,-80.13471,KID,2018-02-16
10410,Wellington Green,10300 West Forest Hill Blvd,Wellington,FL,33414,561-333-4031,26.64623,-80.20834,ACF,2001-11-03
21410,Wellington Green,10300 West Forest Hill Blvd,Wellington,FL,33414,561-333-4031,26.64623,-80.20834,KID,2015-11-07
11499,Gardens,"3101 Pga Boulevard, Space B113",Palm Beach Gardens,FL,33410,561-775-9410,26.84881,-80.08565,ACF,2014-08-29
11640,Southpark,4400 Sharon Road Ste 142,Charlotte,NC,28211,704-364-4605,35.15231,-80.83296,ACF,2015-10-13
21640,Southpark,4400 Sharon Road,Charlotte,NC,28211,704-364-4605,35.15231,-80.83296,KID,2015-10-13
10516,Hanes,3320 Silas Creek Parkway Suite 430,Winston Salem,NC,27103,336-768-9379,36.07184,-80.29936,ACF,1991-06-12
21201,Hanes,"3320 Silas Creek Parkway, Suite 430",Winston Salem,NC,27103,336-768-9379,36.07184,-80.29936,KID,2017-01-27
10648,Mayfair,"2500 North Mayfair Road, Ste M132",Wauwatosa,WI,53226,414-479-1779,43.06395,-88.04436,ACF,1996-11-15
21648,Mayfair,"2500 North Mayfair Road, Suite M132",Wauwatosa,WI,53226,414-479-1779,43.06395,-88.04436,KID,2017-01-27
11521,King Street,235 King St,Charleston,SC,29401,843-614-3040,32.78115,-79.93357,ACF,2023-09-29
12518,Park Meadows,8401 Park Meadow Center Dr,Lone Tree,CO,80124,303-302-0440,39.56326,-104.87705,ACF,2021-06-11
11973,Cherry Creek,"3000 East 1st Avenue, Space 2224",Denver,CO,80206,303-302-0443,39.71748,-104.9529,ACF,2022-11-23
10425,Chandler Fashion,3111 W Chandler Blvd Ste 2036,Chandler,AZ,85226,480-792-9275,33.30224,-111.89796,ACF,2001-11-03
21425,Chandler Fashion,3111 W Chandler Blvd Ste 2036,Chandler,AZ,85226,480-792-9275,33.30224,-111.89796,KID,2014-07-26
11599,Fashion Square,7014 E Camelback Rd Ste 1001,Scottsdale,AZ,85251,480-970-7616,33.50109,-111.92894,ACF,2017-08-04
20203,Fashion Square,7014 E. Camelback Rd. Space 2224,Scottsdale,AZ,85251,480-874-2680,33.50109,-111.92894,KID,1998-09-17
11568,Tanger Outlets Phoenix,6800 N 95th Avenue,Glendale,AZ,85305,623-872-6157,33.53508,-112.26625,ACF,2014-11-26
11691,Kenwood Towne Centre,"7875 Montgomery Road, Space 2227",Cincinnati,OH,45236,513-984-4211,39.20093,-84.376,ACF,2023-07-21
11972,Washington Square,9573 Sw Washington Square Rd,Tigard,OR,97223,503-207-5210,45.45218,-122.783,ACF,2019-07-19
21972,Washington Square,9561 Sw Washington Square Rd,Tigard,OR,97223,503-207-5221,45.45218,-122.783,KID,2019-10-25
12536,Crabtree Valley,4325 Glenwood Ave,Raleigh,NC,27612,919-325-0407,35.83851,-78.6786,ACF,2021-09-24
11575,Clinton Crossing Premium Outlet,20 Killingworth Turnpike,Clinton,CT,06413,860-664-0879,41.2901,-72.53315,ACF,2016-11-19
11548,Keystone,8701 Keystone Crossing,Indianapolis,IN,46240,317-564-3085,39.91411,-86.11098,ACF,2018-11-09
10943,North Star,"7400 San Pedro Avenue, Ste 732",San Antonio,TX,78216,210-377-1537,29.51802,-98.49892,ACF,2005-05-06
21943,North Star,7400 San Pedro Avenue Ste 732,San Antonio,TX,78216,210-377-1537,29.51802,-98.49892,KID,2018-02-16
11631,Shops At Lacantera,15900 La Cantera Pkwy,San Antonio,TX,78256,210-339-2910,29.59321,-98.61164,ACF,2023-08-11
20164,Shops At Lacantera,15900 La Cantera Pkwy Ste 10030,San Antonio,TX,78256,210-877-6281,29.5929,-98.61806,KID,2007-03-29
11918,Westfarms,1500 New Britain Ave,Farmington,CT,06032,860-256-0081,41.72389,-72.7614,ACF,2022-11-18
10640,Southpark,232 Southpark Center,Strongsville,OH,44136,440-846-0669,41.31085,-81.82267,ACF,1996-10-16
11516,Outlet Shoppes At Laredo,1600 Water Street,Laredo,TX,78040,956-898-3890,27.5017,-99.511,ACF,2016-10-27
21516,Outlet Shoppes At Laredo,1600 Water Street,Laredo,TX,78040,956-898-3890,27.5017,-99.511,KID,2016-10-27
11005,Park City Outlet,6699 North Landmark Drive,Park City,UT,84098,435-649-7063,40.73581,-111.54905,ACF,2010-08-26
10404,Twelve Oaks,"27500 Novi Road, Space B-135",Novi,MI,48377,248-596-0801,42.49189,-83.47137,ACF,1994-05-12
22404,Twelve Oaks,27500 Novi Road,Novi,MI,48377,248-596-0801,42.49189,-83.47137,KID,2022-01-14
11668,Somerset North,"2800 W Big Beaver Road, Space P-151",Troy,MI,48084,248-816-9668,42.56252,-83.18403,ACF,2017-07-21
21103,Somerset North,"2800 W Big Beaver Road, Ste V-368",Troy,MI,48084,248-282-6696,42.56252,-83.18403,KID,2018-08-03
10671,Franklin Park,"5001 Monroe Street, Ste 1460",Toledo,OH,43623,419-475-1491,41.69847,-83.64302,ACF,1997-05-22
10558,Eastview,437 Eastview Mall,Victor,NY,14564,585-223-4520,43.02999,-77.44391,ACF,1995-11-22
21558,Eastview,437 Eastview Mall,Victor,NY,14564,585-223-4520,43.02999,-77.44391,KID,2018-08-17
10637,South Shore,"250 Granite Street, Ste 154",Braintree,MA,02184,781-380-3754,42.21997,-71.02276,ACF,1997-02-13
21333,South Shore,250 Granite Street,Braintree,MA,02184,781-917-0499,42.2223,-71.02421,KID,2021-07-30
11336,Newbury Street,321 Newbury Street,Boston,MA,02115,617-535-6168,42.34901,-71.08614,ACF,2023-03-17
10684,Faneuil Hall,"1 Faneuil Hall Square, Stop 100",Boston,MA,02109,617-722-0021,42.36005,-71.05623,ACF,2008-03-14
21685,Faneuil Hall,"1 Faneuil Hall Square, Stop 100",Boston,MA,02109,617-722-0021,42.36005,-71.05623,KID,2019-01-25
12504,Natick,1245 Worcester Street,Natick,MA,01760,508-651-3085,42.30443,-71.32653,ACF,2021-05-07
21178,Natick,"1245 Worcester Street, Suite 2132",Natick,MA,01760,508-433-1054,42.29945,-71.38493,KID,2018-08-10
12521,Providence Place,"1 Providence Place, Unit 3250",Providence,RI,02903,401-473-0024,41.82807,-71.41588,ACF,2021-05-21
10968,Burlington,75 Middlesex Turnpike Ste 2200,Burlington,MA,01803,781-272-3509,42.48112,-71.21675,ACF,2010-03-26
21166,Burlington,75 Middlesex Turnpike,Burlington,MA,01803,781-203-7930,42.48244,-71.21348,KID,2021-07-09
12524,Marketstreet Lynnfield,1100 Market St,Lynnfield,MA,01940,781-716-5420,42.51647,-71.03493,ACF,2021-10-08
20198,Northshore,210 Andover St Space X115,Peabody,MA,01960,978-531-2559,42.54286,-70.94198,KID,2008-11-04
10653,Pheasant Lane,310 Daniel Webster Hwy. Suite #116,Nashua,NH,03060,603-888-9953,42.70185,-71.44052,ACF,1996-08-29
10524,Rockingham Park,99 Rockingham Park Blvd  Ste 3,Salem,NH,03079,603-893-1924,42.76815,-71.23136,ACF,1991-10-31
11670,Bellevue,240 Bellevue Square,Bellevue,WA,98004,425-201-2219,47.61511,-122.20308,ACF,2022-10-14
10620,Southcenter,661 Southcenter Mall,Tukwila,WA,98188,206-439-2355,47.45982,-122.26131,ACF,1995-11-22
21620,Southcenter,661 Southcenter Mall,Tukwila,WA,98188,206-439-2355,47.45982,-122.26131,KID,2015-11-07
11391,Seattle Outlets,10600 Quil Ceda Blvd,Quil Ceda Village,WA,98271-8090,360-657-5613,48.09679,-122.19137,ACF,2013-12-12
11681,Easton Town Center,3964 Easton Station,Columbus,OH,43219,614-418-7648,40.04987,-82.91549,ACF,2019-07-03
21210,Easton Town Center,215 Easton Town Center,Columbus,OH,43219,614-418-7662,40.04987,-82.91549,KID,2018-11-16
11680,Polaris Fashion Place,"1500 Polaris Parkway, Ste 1190",Columbus,OH,43240,614-781-0510,40.1456,-82.9814,ACF,2017-02-17
21121,Polaris Fashion Place,1500 Polaris Pkwy,Columbus,OH,43240-2126,614-807-3010,40.1456,-82.9814,KID,2019-05-17
11508,Mall At Robinson,2230 Robinson Center Drive,Pittsburgh,PA,15205,412-859-1014,40.4542,-80.1565,ACF,2016-02-03
10435,Rehoboth Beach Outlet,36470 Seaside Drive,Rehoboth Beach,DE,19971,302-227-8480,38.72194,-75.11303,ACF,2006-10-12
11773,St Johns Town Center,4790 River City Drive Suite 125,Jacksonville,FL,32246,904-596-9964,30.25778,-81.52632,ACF,2023-11-17
20233,The Florida Mall,8001 S Orange Blossom Trail,Orlando,FL,32809,407-850-2023,28.44549,-81.39278,KID,1999-11-05
