,arrest_date,year,weekday,total
73,2010-03-31,2010,Wednesday,4
74,2010-04-01,2010,Thursday,15
75,2010-04-02,2010,Friday,4
76,2010-04-03,2010,Saturday,9
77,2010-04-04,2010,Sunday,2
78,2010-04-05,2010,Monday,2
79,2010-04-07,2010,Wednesday,2
80,2010-04-09,2010,Friday,4
81,2010-04-10,2010,Saturday,2
82,2010-04-11,2010,Sunday,2
83,2010-04-12,2010,Monday,10
84,2010-04-13,2010,Tuesday,2
85,2010-04-14,2010,Wednesday,11
86,2010-04-15,2010,Thursday,6
87,2010-04-16,2010,Friday,10
88,2010-04-17,2010,Saturday,9
89,2010-04-18,2010,Sunday,4
90,2010-04-20,2010,Tuesday,1
91,2010-04-21,2010,Wednesday,6
92,2010-04-22,2010,Thursday,1
93,2010-04-23,2010,Friday,7
94,2010-04-24,2010,Saturday,2
95,2010-04-25,2010,Sunday,1
96,2010-04-27,2010,Tuesday,2
97,2010-04-28,2010,Wednesday,1
98,2010-04-29,2010,Thursday,8
99,2010-04-30,2010,Friday,6
100,2010-05-01,2010,Saturday,11
101,2010-05-02,2010,Sunday,6
102,2010-05-03,2010,Monday,1
103,2010-05-04,2010,Tuesday,1
104,2010-05-05,2010,Wednesday,9
105,2010-05-06,2010,Thursday,5
106,2010-05-07,2010,Friday,10
107,2010-05-08,2010,Saturday,4
108,2010-05-10,2010,Monday,8
109,2010-05-12,2010,Wednesday,8
110,2010-05-13,2010,Thursday,9
111,2010-05-14,2010,Friday,11
112,2010-05-15,2010,Saturday,2
113,2010-05-16,2010,Sunday,3
114,2010-05-17,2010,Monday,1
115,2010-05-19,2010,Wednesday,10
116,2010-05-20,2010,Thursday,4
117,2010-05-21,2010,Friday,26
118,2010-05-22,2010,Saturday,20
119,2010-05-23,2010,Sunday,3
120,2010-05-24,2010,Monday,4
121,2010-05-25,2010,Tuesday,3
122,2010-05-26,2010,Wednesday,3
123,2010-05-27,2010,Thursday,9
124,2010-05-28,2010,Friday,18
125,2010-05-29,2010,Saturday,4
126,2010-05-30,2010,Sunday,2
127,2010-06-01,2010,Tuesday,7
128,2010-06-02,2010,Wednesday,1
129,2010-06-03,2010,Thursday,6
130,2010-06-04,2010,Friday,5
131,2010-06-05,2010,Saturday,1
132,2010-06-06,2010,Sunday,2
133,2010-06-07,2010,Monday,1
134,2010-06-08,2010,Tuesday,2
135,2010-06-10,2010,Thursday,3
136,2010-06-11,2010,Friday,8
137,2010-06-12,2010,Saturday,2
138,2010-06-13,2010,Sunday,3
139,2010-06-14,2010,Monday,4
140,2010-06-15,2010,Tuesday,5
141,2010-06-16,2010,Wednesday,10
142,2010-06-17,2010,Thursday,2
143,2010-06-18,2010,Friday,3
144,2010-06-19,2010,Saturday,5
145,2010-06-20,2010,Sunday,5
146,2010-06-21,2010,Monday,2
147,2010-06-22,2010,Tuesday,4
148,2010-06-23,2010,Wednesday,8
149,2010-06-24,2010,Thursday,14
150,2010-06-25,2010,Friday,11
151,2010-06-26,2010,Saturday,2
152,2010-06-27,2010,Sunday,1
153,2010-06-28,2010,Monday,6
154,2010-06-29,2010,Tuesday,13
155,2010-06-30,2010,Wednesday,7
156,2010-07-01,2010,Thursday,9
157,2010-07-02,2010,Friday,6
158,2010-07-03,2010,Saturday,3
159,2010-07-04,2010,Sunday,3
160,2010-07-05,2010,Monday,5
161,2010-07-06,2010,Tuesday,5
162,2010-07-08,2010,Thursday,5
163,2010-07-09,2010,Friday,4
164,2010-07-10,2010,Saturday,16
165,2010-07-12,2010,Monday,3
166,2010-07-13,2010,Tuesday,6
167,2010-07-14,2010,Wednesday,10
168,2010-07-15,2010,Thursday,1
169,2010-07-16,2010,Friday,5
170,2010-07-17,2010,Saturday,1
171,2010-07-18,2010,Sunday,1
172,2010-07-20,2010,Tuesday,2
173,2010-07-21,2010,Wednesday,3
174,2010-07-22,2010,Thursday,9
175,2010-07-23,2010,Friday,4
176,2010-07-24,2010,Saturday,15
177,2010-07-25,2010,Sunday,2
178,2010-07-26,2010,Monday,3
179,2010-07-27,2010,Tuesday,1
180,2010-07-28,2010,Wednesday,3
181,2010-07-29,2010,Thursday,3
182,2010-07-30,2010,Friday,9
183,2010-07-31,2010,Saturday,9
184,2010-08-01,2010,Sunday,1
185,2010-08-02,2010,Monday,1
186,2010-08-03,2010,Tuesday,2
187,2010-08-04,2010,Wednesday,3
188,2010-08-05,2010,Thursday,6
189,2010-08-06,2010,Friday,12
190,2010-08-07,2010,Saturday,5
191,2010-08-09,2010,Monday,2
192,2010-08-10,2010,Tuesday,3
193,2010-08-11,2010,Wednesday,10
194,2010-08-12,2010,Thursday,4
195,2010-08-13,2010,Friday,2
196,2010-08-14,2010,Saturday,2
197,2010-08-15,2010,Sunday,2
198,2010-08-16,2010,Monday,3
199,2010-08-18,2010,Wednesday,3
200,2010-08-19,2010,Thursday,11
201,2010-08-20,2010,Friday,7
202,2010-08-21,2010,Saturday,5
203,2010-08-22,2010,Sunday,1
204,2010-08-23,2010,Monday,3
205,2010-08-24,2010,Tuesday,1
206,2010-08-25,2010,Wednesday,14
207,2010-08-26,2010,Thursday,4
208,2010-08-27,2010,Friday,6
209,2010-08-28,2010,Saturday,4
210,2010-08-29,2010,Sunday,1
211,2010-08-30,2010,Monday,5
212,2010-08-31,2010,Tuesday,1
213,2010-09-01,2010,Wednesday,7
214,2010-09-02,2010,Thursday,3
215,2010-09-03,2010,Friday,18
216,2010-09-04,2010,Saturday,14
217,2010-09-05,2010,Sunday,7
218,2010-09-06,2010,Monday,2
219,2010-09-07,2010,Tuesday,4
220,2010-09-08,2010,Wednesday,1
221,2010-09-09,2010,Thursday,2
222,2010-09-10,2010,Friday,3
223,2010-09-14,2010,Tuesday,1
224,2010-09-15,2010,Wednesday,2
225,2010-09-16,2010,Thursday,4
226,2010-09-17,2010,Friday,4
227,2010-09-19,2010,Sunday,3
228,2010-09-20,2010,Monday,3
229,2010-09-21,2010,Tuesday,3
230,2010-09-22,2010,Wednesday,5
231,2010-09-23,2010,Thursday,3
232,2010-09-24,2010,Friday,2
233,2010-09-25,2010,Saturday,3
234,2010-09-26,2010,Sunday,1
235,2010-09-27,2010,Monday,1
236,2010-09-28,2010,Tuesday,1
237,2010-09-29,2010,Wednesday,2
238,2010-09-30,2010,Thursday,6
239,2010-10-01,2010,Friday,10
240,2010-10-02,2010,Saturday,8
241,2010-10-05,2010,Tuesday,6
242,2010-10-06,2010,Wednesday,4
243,2010-10-07,2010,Thursday,2
244,2010-10-08,2010,Friday,8
245,2010-10-09,2010,Saturday,2
246,2010-10-12,2010,Tuesday,4
247,2010-10-13,2010,Wednesday,7
248,2010-10-14,2010,Thursday,7
249,2010-10-15,2010,Friday,5
250,2010-10-16,2010,Saturday,1
251,2010-10-17,2010,Sunday,2
252,2010-10-18,2010,Monday,1
253,2010-10-19,2010,Tuesday,4
254,2010-10-20,2010,Wednesday,3
255,2010-10-21,2010,Thursday,4
256,2010-10-22,2010,Friday,7
257,2010-10-24,2010,Sunday,1
258,2010-10-26,2010,Tuesday,3
259,2010-10-27,2010,Wednesday,7
260,2010-10-28,2010,Thursday,2
261,2010-10-29,2010,Friday,5
262,2010-10-30,2010,Saturday,1
263,2010-10-31,2010,Sunday,6
264,2010-11-01,2010,Monday,1
265,2010-11-03,2010,Wednesday,3
266,2010-11-04,2010,Thursday,10
267,2010-11-05,2010,Friday,13
268,2010-11-06,2010,Saturday,4
269,2010-11-07,2010,Sunday,1
270,2010-11-08,2010,Monday,2
271,2010-11-09,2010,Tuesday,4
272,2010-11-10,2010,Wednesday,8
273,2010-11-11,2010,Thursday,15
274,2010-11-12,2010,Friday,9
275,2010-11-13,2010,Saturday,11
276,2010-11-14,2010,Sunday,2
277,2010-11-15,2010,Monday,1
278,2010-11-18,2010,Thursday,6
279,2010-11-19,2010,Friday,1
280,2010-11-20,2010,Saturday,1
281,2010-11-21,2010,Sunday,3
282,2010-11-22,2010,Monday,3
283,2010-11-23,2010,Tuesday,6
284,2010-11-25,2010,Thursday,1
285,2010-11-27,2010,Saturday,1
286,2010-11-29,2010,Monday,3
287,2010-11-30,2010,Tuesday,2
288,2010-12-01,2010,Wednesday,6
289,2010-12-02,2010,Thursday,7
290,2010-12-03,2010,Friday,9
291,2010-12-04,2010,Saturday,5
292,2010-12-07,2010,Tuesday,2
293,2010-12-09,2010,Thursday,8
294,2010-12-10,2010,Friday,2
295,2010-12-11,2010,Saturday,11
296,2010-12-12,2010,Sunday,5
297,2010-12-13,2010,Monday,3
298,2010-12-15,2010,Wednesday,2
299,2010-12-16,2010,Thursday,8
300,2010-12-18,2010,Saturday,2
301,2010-12-23,2010,Thursday,1
302,2010-12-24,2010,Friday,1
303,2010-12-27,2010,Monday,2
304,2010-12-28,2010,Tuesday,2
305,2010-12-30,2010,Thursday,3
306,2010-12-31,2010,Friday,4
307,2011-01-01,2011,Saturday,2
308,2011-01-05,2011,Wednesday,1
309,2011-01-06,2011,Thursday,6
310,2011-01-07,2011,Friday,4
311,2011-01-08,2011,Saturday,1
312,2011-01-12,2011,Wednesday,1
313,2011-01-14,2011,Friday,6
314,2011-01-16,2011,Sunday,1
315,2011-01-18,2011,Tuesday,10
316,2011-01-19,2011,Wednesday,7
317,2011-01-20,2011,Thursday,3
318,2011-01-21,2011,Friday,2
319,2011-01-22,2011,Saturday,4
320,2011-01-23,2011,Sunday,2
321,2011-01-24,2011,Monday,1
322,2011-01-25,2011,Tuesday,2
323,2011-01-26,2011,Wednesday,5
324,2011-01-27,2011,Thursday,1
325,2011-01-28,2011,Friday,1
326,2011-01-29,2011,Saturday,2
327,2011-01-30,2011,Sunday,1
328,2011-01-31,2011,Monday,2
329,2011-02-01,2011,Tuesday,6
330,2011-02-02,2011,Wednesday,1
331,2011-02-03,2011,Thursday,16
332,2011-02-04,2011,Friday,1
333,2011-02-05,2011,Saturday,1
334,2011-02-06,2011,Sunday,1
335,2011-02-07,2011,Monday,6
336,2011-02-08,2011,Tuesday,1
337,2011-02-09,2011,Wednesday,5
338,2011-02-10,2011,Thursday,2
339,2011-02-11,2011,Friday,6
340,2011-02-12,2011,Saturday,1
341,2011-02-13,2011,Sunday,1
342,2011-02-14,2011,Monday,1
343,2011-02-15,2011,Tuesday,4
344,2011-02-16,2011,Wednesday,3
345,2011-02-17,2011,Thursday,1
346,2011-02-18,2011,Friday,3
347,2011-02-21,2011,Monday,7
348,2011-02-22,2011,Tuesday,2
349,2011-02-24,2011,Thursday,5
350,2011-02-25,2011,Friday,1
351,2011-03-01,2011,Tuesday,2
352,2011-03-02,2011,Wednesday,1
353,2011-03-03,2011,Thursday,2
354,2011-03-04,2011,Friday,4
355,2011-03-05,2011,Saturday,2
356,2011-03-06,2011,Sunday,3
357,2011-03-08,2011,Tuesday,5
358,2011-03-09,2011,Wednesday,7
359,2011-03-10,2011,Thursday,2
360,2011-03-11,2011,Friday,5
361,2011-03-12,2011,Saturday,4
362,2011-03-13,2011,Sunday,2
363,2011-03-14,2011,Monday,3
364,2011-03-15,2011,Tuesday,4
365,2011-03-16,2011,Wednesday,4
366,2011-03-17,2011,Thursday,2
367,2011-03-18,2011,Friday,4
368,2011-03-19,2011,Saturday,4
369,2011-03-21,2011,Monday,5
370,2011-03-23,2011,Wednesday,2
371,2011-03-24,2011,Thursday,1
372,2011-03-25,2011,Friday,3
373,2011-03-26,2011,Saturday,2
374,2011-03-27,2011,Sunday,2
375,2011-03-28,2011,Monday,2
376,2011-03-29,2011,Tuesday,3
377,2011-03-31,2011,Thursday,6
378,2011-04-01,2011,Friday,2
379,2011-04-02,2011,Saturday,5
380,2011-04-03,2011,Sunday,1
381,2011-04-04,2011,Monday,1
382,2011-04-06,2011,Wednesday,13
383,2011-04-08,2011,Friday,4
384,2011-04-09,2011,Saturday,3
385,2011-04-11,2011,Monday,1
386,2011-04-12,2011,Tuesday,1
387,2011-04-13,2011,Wednesday,3
388,2011-04-14,2011,Thursday,6
389,2011-04-15,2011,Friday,2
390,2011-04-17,2011,Sunday,5
391,2011-04-18,2011,Monday,1
392,2011-04-19,2011,Tuesday,2
393,2011-04-20,2011,Wednesday,3
394,2011-04-21,2011,Thursday,2
395,2011-04-22,2011,Friday,1
396,2011-04-25,2011,Monday,1
397,2011-04-26,2011,Tuesday,6
398,2011-04-27,2011,Wednesday,5
399,2011-04-28,2011,Thursday,5
400,2011-04-29,2011,Friday,1
401,2011-05-01,2011,Sunday,2
402,2011-05-02,2011,Monday,1
403,2011-05-03,2011,Tuesday,1
404,2011-05-04,2011,Wednesday,3
405,2011-05-05,2011,Thursday,5
406,2011-05-06,2011,Friday,3
407,2011-05-07,2011,Saturday,1
408,2011-05-08,2011,Sunday,1
409,2011-05-09,2011,Monday,5
410,2011-05-10,2011,Tuesday,2
411,2011-05-11,2011,Wednesday,8
412,2011-05-12,2011,Thursday,4
413,2011-05-17,2011,Tuesday,1
414,2011-05-18,2011,Wednesday,4
415,2011-05-19,2011,Thursday,3
416,2011-05-20,2011,Friday,1
417,2011-05-21,2011,Saturday,2
418,2011-05-23,2011,Monday,3
419,2011-05-24,2011,Tuesday,2
420,2011-05-25,2011,Wednesday,4
421,2011-05-26,2011,Thursday,9
422,2011-05-27,2011,Friday,7
423,2011-05-28,2011,Saturday,2
424,2011-05-29,2011,Sunday,4
425,2011-05-30,2011,Monday,4
426,2011-06-01,2011,Wednesday,1
427,2011-06-02,2011,Thursday,3
428,2011-06-03,2011,Friday,6
429,2011-06-05,2011,Sunday,1
430,2011-06-06,2011,Monday,8
431,2011-06-07,2011,Tuesday,8
432,2011-06-08,2011,Wednesday,15
433,2011-06-09,2011,Thursday,6
434,2011-06-10,2011,Friday,5
435,2011-06-11,2011,Saturday,2
436,2011-06-13,2011,Monday,1
437,2011-06-14,2011,Tuesday,3
438,2011-06-15,2011,Wednesday,10
439,2011-06-16,2011,Thursday,13
440,2011-06-17,2011,Friday,3
441,2011-06-18,2011,Saturday,9
442,2011-06-20,2011,Monday,3
443,2011-06-21,2011,Tuesday,1
444,2011-06-22,2011,Wednesday,2
445,2011-06-23,2011,Thursday,12
446,2011-06-24,2011,Friday,3
447,2011-06-25,2011,Saturday,4
448,2011-06-26,2011,Sunday,3
449,2011-06-27,2011,Monday,2
450,2011-06-28,2011,Tuesday,1
451,2011-06-29,2011,Wednesday,3
452,2011-06-30,2011,Thursday,2
453,2011-07-01,2011,Friday,10
454,2011-07-02,2011,Saturday,7
455,2011-07-03,2011,Sunday,1
456,2011-07-04,2011,Monday,7
457,2011-07-05,2011,Tuesday,4
458,2011-07-06,2011,Wednesday,4
459,2011-07-07,2011,Thursday,11
460,2011-07-08,2011,Friday,5
461,2011-07-09,2011,Saturday,2
462,2011-07-10,2011,Sunday,4
463,2011-07-11,2011,Monday,1
464,2011-07-12,2011,Tuesday,13
465,2011-07-14,2011,Thursday,4
466,2011-07-15,2011,Friday,3
467,2011-07-16,2011,Saturday,6
468,2011-07-17,2011,Sunday,2
469,2011-07-18,2011,Monday,6
470,2011-07-19,2011,Tuesday,3
471,2011-07-20,2011,Wednesday,5
472,2011-07-22,2011,Friday,2
473,2011-07-23,2011,Saturday,2
474,2011-07-25,2011,Monday,1
475,2011-07-26,2011,Tuesday,3
476,2011-07-30,2011,Saturday,1
477,2011-07-31,2011,Sunday,2
478,2011-08-01,2011,Monday,4
479,2011-08-02,2011,Tuesday,7
480,2011-08-03,2011,Wednesday,7
481,2011-08-04,2011,Thursday,11
482,2011-08-05,2011,Friday,7
483,2011-08-06,2011,Saturday,9
484,2011-08-08,2011,Monday,1
485,2011-08-09,2011,Tuesday,3
486,2011-08-10,2011,Wednesday,8
487,2011-08-11,2011,Thursday,4
488,2011-08-12,2011,Friday,4
489,2011-08-13,2011,Saturday,4
490,2011-08-14,2011,Sunday,3
491,2011-08-15,2011,Monday,3
492,2011-08-16,2011,Tuesday,1
493,2011-08-17,2011,Wednesday,1
494,2011-08-18,2011,Thursday,11
495,2011-08-19,2011,Friday,15
496,2011-08-20,2011,Saturday,2
497,2011-08-21,2011,Sunday,2
498,2011-08-23,2011,Tuesday,2
499,2011-08-24,2011,Wednesday,5
500,2011-08-26,2011,Friday,2
501,2011-08-27,2011,Saturday,2
502,2011-08-28,2011,Sunday,1
503,2011-08-30,2011,Tuesday,2
504,2011-08-31,2011,Wednesday,7
505,2011-09-01,2011,Thursday,6
506,2011-09-02,2011,Friday,2
507,2011-09-03,2011,Saturday,1
508,2011-09-05,2011,Monday,1
509,2011-09-06,2011,Tuesday,11
510,2011-09-07,2011,Wednesday,11
511,2011-09-08,2011,Thursday,6
512,2011-09-09,2011,Friday,12
513,2011-09-11,2011,Sunday,6
514,2011-09-12,2011,Monday,8
515,2011-09-13,2011,Tuesday,1
516,2011-09-14,2011,Wednesday,8
517,2011-09-15,2011,Thursday,1
518,2011-09-16,2011,Friday,1
519,2011-09-17,2011,Saturday,5
520,2011-09-18,2011,Sunday,2
521,2011-09-19,2011,Monday,1
522,2011-09-20,2011,Tuesday,5
523,2011-09-21,2011,Wednesday,2
524,2011-09-22,2011,Thursday,12
525,2011-09-23,2011,Friday,7
526,2011-09-24,2011,Saturday,7
527,2011-09-25,2011,Sunday,1
528,2011-09-26,2011,Monday,2
529,2011-09-27,2011,Tuesday,5
530,2011-09-28,2011,Wednesday,18
531,2011-09-29,2011,Thursday,5
532,2011-09-30,2011,Friday,5
533,2011-10-01,2011,Saturday,1
534,2011-10-02,2011,Sunday,1
535,2011-10-03,2011,Monday,4
536,2011-10-04,2011,Tuesday,10
537,2011-10-05,2011,Wednesday,5
538,2011-10-06,2011,Thursday,8
539,2011-10-07,2011,Friday,4
540,2011-10-08,2011,Saturday,4
541,2011-10-09,2011,Sunday,2
542,2011-10-10,2011,Monday,7
543,2011-10-11,2011,Tuesday,2
544,2011-10-12,2011,Wednesday,14
545,2011-10-13,2011,Thursday,7
546,2011-10-14,2011,Friday,6
547,2011-10-15,2011,Saturday,2
548,2011-10-16,2011,Sunday,7
549,2011-10-17,2011,Monday,1
550,2011-10-18,2011,Tuesday,8
551,2011-10-19,2011,Wednesday,12
552,2011-10-20,2011,Thursday,29
553,2011-10-21,2011,Friday,2
554,2011-10-22,2011,Saturday,6
555,2011-10-23,2011,Sunday,4
556,2011-10-25,2011,Tuesday,7
557,2011-10-26,2011,Wednesday,8
558,2011-10-27,2011,Thursday,10
559,2011-10-28,2011,Friday,10
560,2011-10-29,2011,Saturday,4
561,2011-10-30,2011,Sunday,2
562,2011-11-01,2011,Tuesday,13
563,2011-11-02,2011,Wednesday,2
564,2011-11-03,2011,Thursday,10
565,2011-11-04,2011,Friday,1
566,2011-11-05,2011,Saturday,2
567,2011-11-06,2011,Sunday,3
568,2011-11-07,2011,Monday,2
569,2011-11-08,2011,Tuesday,4
570,2011-11-09,2011,Wednesday,13
571,2011-11-10,2011,Thursday,14
572,2011-11-11,2011,Friday,8
573,2011-11-12,2011,Saturday,6
574,2011-11-14,2011,Monday,1
575,2011-11-15,2011,Tuesday,15
576,2011-11-16,2011,Wednesday,9
577,2011-11-17,2011,Thursday,1
578,2011-11-18,2011,Friday,12
579,2011-11-19,2011,Saturday,7
580,2011-11-20,2011,Sunday,1
581,2011-11-21,2011,Monday,2
582,2011-11-22,2011,Tuesday,12
583,2011-11-23,2011,Wednesday,6
584,2011-11-25,2011,Friday,3
585,2011-11-26,2011,Saturday,16
586,2011-11-27,2011,Sunday,4
587,2011-11-28,2011,Monday,5
588,2011-11-30,2011,Wednesday,9
589,2011-12-01,2011,Thursday,6
590,2011-12-02,2011,Friday,2
591,2011-12-03,2011,Saturday,1
592,2011-12-04,2011,Sunday,1
593,2011-12-06,2011,Tuesday,7
594,2011-12-07,2011,Wednesday,5
595,2011-12-08,2011,Thursday,4
596,2011-12-09,2011,Friday,7
597,2011-12-10,2011,Saturday,3
598,2011-12-11,2011,Sunday,5
599,2011-12-12,2011,Monday,1
600,2011-12-13,2011,Tuesday,9
601,2011-12-14,2011,Wednesday,8
602,2011-12-16,2011,Friday,10
603,2011-12-17,2011,Saturday,2
604,2011-12-18,2011,Sunday,4
605,2011-12-20,2011,Tuesday,7
606,2011-12-21,2011,Wednesday,11
607,2011-12-22,2011,Thursday,4
608,2011-12-23,2011,Friday,1
609,2011-12-25,2011,Sunday,2
610,2011-12-26,2011,Monday,1
611,2011-12-27,2011,Tuesday,6
612,2011-12-28,2011,Wednesday,10
613,2011-12-29,2011,Thursday,2
614,2011-12-30,2011,Friday,4
615,2011-12-31,2011,Saturday,4
616,2012-01-01,2012,Sunday,7
617,2012-01-03,2012,Tuesday,3
618,2012-01-04,2012,Wednesday,10
619,2012-01-05,2012,Thursday,11
620,2012-01-06,2012,Friday,7
621,2012-01-07,2012,Saturday,15
622,2012-01-08,2012,Sunday,7
623,2012-01-09,2012,Monday,8
624,2012-01-10,2012,Tuesday,5
625,2012-01-11,2012,Wednesday,7
626,2012-01-12,2012,Thursday,15
627,2012-01-13,2012,Friday,5
628,2012-01-14,2012,Saturday,1
629,2012-01-15,2012,Sunday,2
630,2012-01-16,2012,Monday,3
631,2012-01-17,2012,Tuesday,14
632,2012-01-18,2012,Wednesday,11
633,2012-01-19,2012,Thursday,5
634,2012-01-20,2012,Friday,14
635,2012-01-21,2012,Saturday,2
636,2012-01-22,2012,Sunday,1
637,2012-01-23,2012,Monday,1
638,2012-01-24,2012,Tuesday,3
639,2012-01-25,2012,Wednesday,11
640,2012-01-26,2012,Thursday,7
641,2012-01-27,2012,Friday,8
642,2012-01-28,2012,Saturday,7
643,2012-01-29,2012,Sunday,1
644,2012-01-30,2012,Monday,4
645,2012-01-31,2012,Tuesday,5
646,2012-02-01,2012,Wednesday,17
647,2012-02-02,2012,Thursday,11
648,2012-02-03,2012,Friday,7
649,2012-02-05,2012,Sunday,2
650,2012-02-06,2012,Monday,7
651,2012-02-07,2012,Tuesday,7
652,2012-02-08,2012,Wednesday,10
653,2012-02-09,2012,Thursday,17
654,2012-02-10,2012,Friday,18
655,2012-02-11,2012,Saturday,9
656,2012-02-12,2012,Sunday,5
657,2012-02-13,2012,Monday,1
658,2012-02-14,2012,Tuesday,4
659,2012-02-15,2012,Wednesday,2
660,2012-02-16,2012,Thursday,7
661,2012-02-17,2012,Friday,7
662,2012-02-18,2012,Saturday,10
663,2012-02-19,2012,Sunday,3
664,2012-02-20,2012,Monday,4
665,2012-02-21,2012,Tuesday,5
666,2012-02-22,2012,Wednesday,3
667,2012-02-23,2012,Thursday,12
668,2012-02-24,2012,Friday,23
669,2012-02-25,2012,Saturday,3
670,2012-02-26,2012,Sunday,2
671,2012-02-27,2012,Monday,6
672,2012-02-28,2012,Tuesday,8
673,2012-02-29,2012,Wednesday,9
674,2012-03-01,2012,Thursday,14
675,2012-03-02,2012,Friday,25
676,2012-03-03,2012,Saturday,3
677,2012-03-05,2012,Monday,10
678,2012-03-06,2012,Tuesday,13
679,2012-03-07,2012,Wednesday,19
680,2012-03-08,2012,Thursday,22
681,2012-03-09,2012,Friday,27
682,2012-03-10,2012,Saturday,12
683,2012-03-12,2012,Monday,11
684,2012-03-13,2012,Tuesday,10
685,2012-03-14,2012,Wednesday,22
686,2012-03-15,2012,Thursday,19
687,2012-03-16,2012,Friday,13
688,2012-03-17,2012,Saturday,1
689,2012-03-18,2012,Sunday,1
690,2012-03-19,2012,Monday,11
691,2012-03-20,2012,Tuesday,18
692,2012-03-21,2012,Wednesday,22
693,2012-03-22,2012,Thursday,9
694,2012-03-23,2012,Friday,15
695,2012-03-24,2012,Saturday,9
696,2012-03-26,2012,Monday,2
697,2012-03-27,2012,Tuesday,14
698,2012-03-28,2012,Wednesday,16
699,2012-03-29,2012,Thursday,14
700,2012-03-30,2012,Friday,9
701,2012-03-31,2012,Saturday,4
702,2012-04-01,2012,Sunday,1
703,2012-04-02,2012,Monday,4
704,2012-04-03,2012,Tuesday,17
705,2012-04-04,2012,Wednesday,13
706,2012-04-05,2012,Thursday,13
707,2012-04-06,2012,Friday,9
708,2012-04-07,2012,Saturday,5
709,2012-04-08,2012,Sunday,2
710,2012-04-09,2012,Monday,11
711,2012-04-10,2012,Tuesday,11
712,2012-04-11,2012,Wednesday,3
713,2012-04-12,2012,Thursday,10
714,2012-04-13,2012,Friday,7
715,2012-04-14,2012,Saturday,13
716,2012-04-15,2012,Sunday,5
717,2012-04-16,2012,Monday,5
718,2012-04-17,2012,Tuesday,9
719,2012-04-18,2012,Wednesday,19
720,2012-04-19,2012,Thursday,21
721,2012-04-20,2012,Friday,13
722,2012-04-21,2012,Saturday,1
723,2012-04-22,2012,Sunday,10
724,2012-04-23,2012,Monday,4
725,2012-04-24,2012,Tuesday,3
726,2012-04-25,2012,Wednesday,2
727,2012-04-26,2012,Thursday,20
728,2012-04-27,2012,Friday,18
729,2012-04-28,2012,Saturday,6
730,2012-04-29,2012,Sunday,4
731,2012-04-30,2012,Monday,2
732,2012-05-01,2012,Tuesday,2
733,2012-05-02,2012,Wednesday,9
734,2012-05-03,2012,Thursday,6
