,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
3588,191510494,2019-04-27,0730,15,N Hollywood,1563,61,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LAUREL CANYON                BL,"34.1512, -118.3864",2019,2,27,4,April,Saturday,07,30,False,34.1512,-118.3864,White,Misdemeanor,POINT (-118.3864 34.1512)
3749,190211033,2019-05-09,1530,2,Rampart,265,49,M,H,nan,,I,41.18DLAMC,,7TH                          ST,"34.057, -118.2779",2019,2,9,5,May,Thursday,15,30,False,34.057,-118.2779,Hispanic,Infraction,POINT (-118.2779 34.057)
3804,190211043,2019-04-25,1810,2,Rampart,275,50,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,BEACON,"34.0498, -118.2754",2019,2,25,4,April,Thursday,18,10,False,34.0498,-118.2754,Black,Misdemeanor,POINT (-118.2754 34.0498)
3851,191412072,2019-04-29,0850,14,Pacific,1412,25,F,W,nan,,I,41.18(D)LAM,,PARK,"33.9923, -118.4759",2019,2,29,4,April,Monday,08,50,False,33.9923,-118.4759,White,Infraction,POINT (-118.4759 33.9923)
3911,191510499,2019-04-27,0730,15,N Hollywood,1563,47,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LAUREL CANYON                BL,"34.1512, -118.3864",2019,2,27,4,April,Saturday,07,30,False,34.1512,-118.3864,White,Misdemeanor,POINT (-118.3864 34.1512)
4040,191412075,2019-05-02,1317,14,Pacific,1412,29,M,W,nan,,I,41.18(D)LAM,,MARKET,"33.9933, -118.4765",2019,2,2,5,May,Thursday,13,17,False,33.9933,-118.4765,White,Infraction,POINT (-118.4765 33.9933)
4176,190509670,2019-05-04,0820,5,Harbor,508,50,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SEPULVEDA,"33.8112, -118.3039",2019,2,4,5,May,Saturday,08,20,False,33.8112,-118.3039,White,Misdemeanor,POINT (-118.3039 33.8112)
5733,190611957,2019-05-14,0750,6,Hollywood,676,64,M,W,nan,,I,41.18(D)LAM,,WILLOUGHBY,"34.0871, -118.3266",2019,2,14,5,May,Tuesday,07,50,False,34.0871,-118.3266,White,Infraction,POINT (-118.3266 34.0871)
6039,190611594,2019-05-06,1210,6,Hollywood,637,37,M,W,nan,,I,41.18(D)LAM,,GOWER,"34.1043, -118.3224",2019,2,6,5,May,Monday,12,10,False,34.1043,-118.3224,White,Infraction,POINT (-118.3224 34.1043)
7326,190810076,2019-05-20,2030,8,West LA,853,63,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SAWTELLE,"34.0445, -118.4491",2019,2,20,5,May,Monday,20,30,False,34.0445,-118.4491,White,Misdemeanor,POINT (-118.4491 34.0445)
7370,192110432,2019-05-18,1110,21,Topanga,2177,48,M,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,WINNETKA                     AV,"34.1721, -118.5709",2019,2,18,5,May,Saturday,11,10,False,34.1721,-118.5709,White,Misdemeanor,POINT (-118.5709 34.1721)
7384,190211627,2019-05-13,1615,2,Rampart,261,33,M,W,nan,,I,41.18(D)LAM,,CORONADO,"34.0567, -118.2815",2019,2,13,5,May,Monday,16,15,False,34.0567,-118.2815,White,Infraction,POINT (-118.2815 34.0567)
7483,191412815,2019-05-11,1605,14,Pacific,1431,33,M,W,nan,,I,41.18(D)LAM,,00    MARKET                       ST,"33.9881, -118.4731",2019,2,11,5,May,Saturday,16,05,False,33.9881,-118.4731,White,Infraction,POINT (-118.4731 33.9881)
7585,190810077,2019-05-20,2015,8,West LA,853,34,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,PICO,"34.0445, -118.4491",2019,2,20,5,May,Monday,20,15,False,34.0445,-118.4491,White,Misdemeanor,POINT (-118.4491 34.0445)
7674,192110433,2019-05-18,1110,21,Topanga,2177,54,F,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,WINNETKA                     AV,"34.1721, -118.5709",2019,2,18,5,May,Saturday,11,10,False,34.1721,-118.5709,White,Misdemeanor,POINT (-118.5709 34.1721)
7839,190810078,2019-05-20,2010,8,West LA,884,29,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,PICO                         BL,"34.0362, -118.4367",2019,2,20,5,May,Monday,20,10,False,34.0362,-118.4367,Hispanic,Misdemeanor,POINT (-118.4367 34.0362)
7890,191311957,2019-05-17,1200,13,Newton,1307,27,F,W,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,700    STANFORD                     AV,"34.039, -118.2444",2019,2,17,5,May,Friday,12,00,False,34.039,-118.2444,White,Misdemeanor,POINT (-118.2444 34.039)
8065,190114416,2019-05-24,1525,1,Central,156,36,M,B,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,5TH,"34.0442, -118.2439",2019,2,24,5,May,Friday,15,25,False,34.0442,-118.2439,Black,Misdemeanor,POINT (-118.2439 34.0442)
8118,191412805,2019-05-18,1615,14,Pacific,1413,37,M,B,nan,,I,41.18ALAMC,,3RD,"33.997, -118.4761",2019,2,18,5,May,Saturday,16,15,False,33.997,-118.4761,Black,Infraction,POINT (-118.4761 33.997)
8145,190211628,2019-05-13,1620,2,Rampart,261,31,M,H,nan,,I,41.18(D)LAM,,CORONADO,"34.0567, -118.2815",2019,2,13,5,May,Monday,16,20,False,34.0567,-118.2815,Hispanic,Infraction,POINT (-118.2815 34.0567)
9343,190212146,2019-05-24,1615,2,Rampart,245,42,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,CORONADO,"34.0605, -118.2815",2019,2,24,5,May,Friday,16,15,False,34.0605,-118.2815,White,Misdemeanor,POINT (-118.2815 34.0605)
9496,191111364,2019-05-29,1045,11,Northeast,1152,45,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,CLAYTON,"34.1, -118.2885",2019,2,29,5,May,Wednesday,10,45,False,34.1,-118.2885,White,Misdemeanor,POINT (-118.2885 34.1)
9539,191312123,2019-05-25,1930,13,Newton,1333,31,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,28TH                         ST,"34.0181, -118.2586",2019,2,25,5,May,Saturday,19,30,False,34.0181,-118.2586,Hispanic,Misdemeanor,POINT (-118.2586 34.0181)
9747,191413099,2019-05-26,1620,14,Pacific,1431,43,M,W,nan,,I,41.18(D)LAM,,00    MARKET                       ST,"33.9881, -118.473",2019,2,26,5,May,Sunday,16,20,False,33.9881,-118.473,White,Infraction,POINT (-118.473 33.9881)
9889,190114940,2019-05-31,2125,1,Central,111,29,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,MAIN,"34.0583, -118.2378",2019,2,31,5,May,Friday,21,25,False,34.0583,-118.2378,Hispanic,Misdemeanor,POINT (-118.2378 34.0583)
9962,190212104,2019-05-21,1615,2,Rampart,245,51,F,W,nan,,I,41.18(D)LAM,,2200 W  6TH                          ST,"34.0601, -118.2761",2019,2,21,5,May,Tuesday,16,15,False,34.0601,-118.2761,White,Infraction,POINT (-118.2761 34.0601)
9971,190212099,2019-05-18,1515,2,Rampart,245,34,M,H,nan,,I,41.18(D)LAM,,WILSHIRE,"34.0601, -118.2805",2019,2,18,5,May,Saturday,15,15,False,34.0601,-118.2805,Hispanic,Infraction,POINT (-118.2805 34.0601)
