,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
57,1563,1,0,0,1,0,0,0,0,0,2
58,1044,0,0,0,0,0,0,0,1,4,2
59,159,0,4,10,11,8,9,31,10,8,2
60,289,0,0,0,1,0,0,0,0,0,2
61,256,1,1,1,0,0,0,0,0,0,2
62,127,0,0,4,2,2,12,5,2,8,2
63,882,0,1,0,0,1,1,2,13,14,2
64,656,2,15,13,1,1,2,4,6,28,1
65,129,0,1,0,6,8,11,8,0,0,1
66,275,4,4,3,6,0,0,0,0,4,1
67,669,0,0,0,1,2,1,4,2,0,1
68,212,0,1,0,4,0,1,2,0,0,1
69,1333,0,1,1,4,4,1,0,0,0,1
70,134,0,1,9,13,7,4,7,3,4,1
71,667,3,2,12,3,5,2,2,0,3,1
72,1798,0,4,1,7,0,0,0,0,2,1
73,161,0,0,0,3,1,1,73,22,15,1
74,508,1,0,0,0,0,0,0,0,0,1
75,143,0,0,8,26,12,12,8,8,5,1
76,648,7,6,10,14,2,2,4,1,1,1
77,218,0,0,0,1,1,0,0,0,0,1
78,1761,0,0,0,0,0,0,1,2,0,1
79,644,5,11,19,22,7,7,15,20,6,1
80,1511,0,0,0,1,0,5,7,2,2,1
81,426,0,0,0,0,0,0,0,0,0,1
82,164,0,0,10,21,2,12,15,7,2,1
83,635,0,2,6,12,0,4,5,0,7,1
84,147,0,9,41,89,142,138,94,79,24,1
85,500,0,0,0,0,0,0,0,0,2,1
86,141,0,0,1,5,10,17,46,6,0,1
87,245,0,1,4,4,0,0,5,0,3,1
88,555,5,0,0,0,0,0,3,0,1,1
89,152,0,0,16,16,34,5,9,12,4,1
90,195,0,2,13,19,11,34,9,115,88,1
91,923,2,0,3,0,0,3,8,1,0,1
92,964,0,0,0,2,0,0,1,0,1,1
93,1061,0,1,0,0,0,0,1,1,1,1
94,892,0,0,0,0,0,0,2,4,10,1
95,118,0,0,0,0,7,1,7,2,1,1
96,881,0,0,2,0,0,0,1,25,18,1
97,851,0,1,0,0,2,0,6,9,14,1
98,1183,0,0,0,0,0,0,0,0,4,1
99,1152,2,0,1,0,1,2,0,6,2,1
100,236,0,0,1,1,0,0,0,0,6,0
101,233,0,0,1,0,0,0,0,0,0,0
102,935,0,0,2,0,0,4,39,6,0,0
103,934,0,0,2,0,0,0,0,0,0,0
104,752,0,0,1,0,0,0,0,0,0,0
105,237,0,0,1,0,0,0,0,0,0,0
106,238,0,0,0,2,0,0,0,0,0,0
107,219,0,4,0,4,0,0,1,0,1,0
108,239,0,0,0,2,2,0,0,0,0,0
109,241,0,1,0,0,0,0,2,0,0,0
110,231,0,0,0,1,0,0,0,0,0,0
111,938,0,1,0,0,0,0,0,0,0,0
112,2189,0,0,0,1,0,0,1,1,0,0
113,932,0,0,1,0,0,0,0,2,0,0
114,941,0,0,1,0,0,1,0,1,0,0
115,946,0,0,0,0,0,0,1,0,0,0
116,948,0,1,0,0,0,0,0,0,0,0
117,952,0,0,1,0,0,0,0,0,0,0
118,955,0,0,0,0,0,0,1,0,0,0
119,2175,0,0,0,0,0,1,0,0,3,0
120,217,0,1,1,0,0,0,0,0,2,0
121,2169,0,0,0,0,1,0,0,0,0,0
122,216,0,0,3,0,2,0,0,0,0,0
123,963,0,0,0,1,0,0,1,0,0,0
124,2158,1,0,1,0,0,0,0,0,0,0
125,2157,0,0,0,1,0,0,0,0,0,0
126,933,0,2,1,0,0,2,27,3,0,0
127,931,0,0,0,0,0,1,0,0,0,0
128,248,0,0,1,0,0,0,0,0,0,0
129,249,0,0,0,0,0,0,1,0,0,0
130,326,2,0,1,1,0,0,0,0,0,0
131,889,0,0,0,0,0,5,0,0,0,0
132,325,0,0,0,0,0,1,0,0,0,0
133,319,0,0,0,0,0,1,0,0,0,0
134,895,0,0,0,0,0,0,0,0,1,0
135,314,0,1,0,0,0,0,0,0,0,0
136,898,0,0,0,0,0,0,0,0,2,0
137,899,0,0,3,0,0,0,0,1,18,0
138,313,0,0,1,8,0,3,0,0,0,0
139,311,0,1,0,0,0,0,0,0,0,0
140,308,0,0,0,3,0,1,0,0,0,0
141,307,0,17,0,0,0,0,0,0,0,0
142,901,0,0,0,0,0,2,1,1,0,0
143,904,0,0,0,2,0,4,3,0,2,0
144,279,0,0,0,0,0,1,0,0,0,0
145,905,0,0,2,0,0,2,2,1,0,0
146,271,0,12,15,26,1,0,0,0,0,0
147,269,0,0,0,3,0,0,1,6,2,0
148,906,0,0,1,0,0,0,2,0,0,0
149,266,0,0,0,0,1,2,0,0,0,0
150,914,0,0,7,2,0,1,1,0,0,0
151,265,0,3,9,3,0,0,0,0,1,0
152,915,0,0,2,0,0,0,2,3,0,0
153,261,0,5,3,4,0,0,1,0,0,0
154,257,0,0,0,2,0,0,0,0,0,0
155,926,0,0,4,0,0,0,1,0,0,0
156,251,0,0,2,1,0,0,0,0,0,0
157,2155,0,0,0,0,0,0,1,2,2,0
158,215,0,0,0,0,0,2,1,0,0,0
159,887,0,0,0,0,0,0,1,1,0,0
160,985,0,0,1,0,0,0,0,0,0,0
161,2062,0,0,1,0,0,0,0,1,0,0
162,2058,0,0,0,0,0,0,0,0,1,0
163,2056,0,1,0,0,0,0,1,0,0,0
164,2054,0,0,0,1,0,0,0,0,1,0
165,2053,1,0,0,0,0,0,0,0,0,0
166,205,0,1,1,0,0,0,2,0,0,0
167,2049,0,1,0,0,0,0,0,0,0,0
168,2046,0,0,0,0,0,0,0,1,0,0
169,2041,1,0,0,0,0,0,0,0,0,0
170,2039,0,0,0,0,0,0,1,3,8,0
171,2036,1,0,1,0,0,0,0,0,0,0
172,2033,0,1,0,0,0,0,2,2,1,0
173,2031,0,0,0,0,0,0,1,0,0,0
174,203,0,7,1,0,0,0,0,0,0,0
175,2029,1,1,0,0,0,1,0,1,2,0
176,2026,0,1,0,0,0,0,0,0,2,0
177,2025,0,0,0,0,0,0,0,1,0,0
178,2024,1,0,1,1,0,0,0,1,1,0
179,2021,0,0,0,0,0,0,0,0,3,0
180,202,0,0,0,1,0,0,0,0,2,0
181,2019,0,0,0,2,0,0,0,0,3,0
182,2017,0,0,1,0,0,0,0,0,0,0
183,2016,3,0,0,0,0,0,0,0,0,0
184,2015,3,0,0,0,0,0,0,0,0,0
185,2014,0,0,0,1,0,0,1,0,0,0
186,201,0,13,1,2,0,0,0,0,0,0
187,2002,0,2,0,0,0,0,0,0,0,0
188,1999,0,0,0,0,0,0,0,1,0,0
189,1998,0,0,0,0,0,4,1,0,0,0
190,2069,1,0,0,0,0,0,0,0,0,0
191,2071,0,0,0,0,0,0,0,1,0,0
192,971,0,0,0,0,0,2,0,0,0,0
193,2073,0,1,0,0,0,0,0,0,0,0
194,2147,1,0,0,0,0,0,0,0,0,0
195,2146,0,0,0,0,4,6,1,1,0,0
196,2145,0,0,0,0,0,0,0,1,0,0
197,2144,0,0,0,0,0,0,0,2,0,0
198,2142,0,0,0,0,1,0,0,0,0,0
199,2141,0,2,0,0,0,0,0,0,0,0
200,2139,0,0,1,0,0,0,0,0,0,0
201,2137,0,0,0,1,2,0,0,0,0,0
202,2136,0,0,0,0,0,0,0,4,0,0
203,2134,0,0,3,0,3,0,0,0,0,0
204,2129,0,0,2,0,1,0,0,0,0,0
205,2128,0,1,0,0,0,0,0,0,0,0
206,2126,8,5,3,4,4,0,0,0,0,0
207,974,1,0,1,1,0,0,0,0,0,0
208,2118,0,0,2,0,0,0,0,0,0,0
209,2115,0,1,0,1,0,17,0,1,0,0
210,981,0,1,0,0,0,0,0,0,0,0
211,2114,0,0,0,0,0,0,0,1,0,0
212,2111,0,4,0,0,0,0,0,0,0,0
213,211,0,1,0,0,0,0,1,0,1,0
214,2105,1,0,1,0,0,0,0,0,0,0
215,2104,0,0,1,0,0,0,0,1,0,0
216,2097,0,1,0,0,0,0,0,0,0,0
217,2093,0,0,0,0,0,0,1,0,0,0
218,2088,0,2,0,3,0,0,0,0,0,0
219,2081,0,1,0,0,1,0,0,0,0,0
220,2079,0,2,0,0,0,0,0,0,0,0
221,2076,1,1,0,0,0,0,0,0,0,0
222,2074,1,1,0,0,0,0,0,0,1,0
223,328,0,0,0,0,0,1,0,0,0,0
224,332,0,4,0,0,0,0,0,0,0,0
225,329,0,0,1,0,0,0,0,0,0,0
226,331,0,1,2,0,0,0,0,0,0,0
227,817,0,0,0,0,0,0,2,0,0,0
228,647,11,29,57,52,22,15,2,7,8,0
229,822,0,1,0,0,2,1,2,0,0,0
230,827,1,0,0,0,0,0,0,0,15,0
231,829,0,0,0,0,0,0,0,5,2,0
232,831,0,0,0,1,0,0,0,0,0,0
233,642,0,0,1,16,0,7,1,3,1,0
234,639,0,2,3,0,2,2,4,6,0,0
235,638,2,7,10,4,13,8,9,3,14,0
236,832,0,0,0,0,0,1,0,0,22,0
237,835,1,0,1,0,0,9,1,11,3,0
238,837,0,0,0,0,0,0,0,0,1,0
239,632,2,0,2,0,0,1,1,0,0,0
240,631,0,1,0,0,0,0,0,0,0,0
241,841,0,0,3,0,1,0,1,1,0,0
242,629,0,0,1,0,0,0,0,0,0,0
243,628,0,4,0,1,0,0,0,0,1,0
244,627,0,1,1,0,0,0,0,0,0,0
245,842,0,0,0,0,2,1,0,0,1,0
246,626,3,14,6,4,6,2,4,3,0,0
247,625,4,9,3,4,0,13,1,0,1,0
248,622,0,0,0,1,0,0,0,0,0,0
249,615,0,0,0,0,0,0,0,0,6,0
250,585,1,0,0,0,0,0,0,0,1,0
251,569,0,0,0,0,0,0,1,0,0,0
252,567,0,0,0,0,0,1,16,1,5,0
253,847,0,0,1,0,0,0,0,0,0,0
254,565,0,0,0,1,0,0,3,0,3,0
255,564,0,0,0,0,0,2,6,7,2,0
256,649,10,4,6,3,1,1,7,3,0,0
257,813,0,0,0,0,0,0,0,1,0,0
258,811,0,0,1,0,0,0,0,1,0,0
259,705,0,0,2,0,0,0,0,0,4,0
260,755,0,0,1,1,0,0,0,0,0,0
261,734,0,0,0,1,0,0,0,0,0,0
262,762,0,1,0,0,0,0,0,0,0,0
263,732,0,0,1,1,0,0,0,0,0,0
264,763,0,0,1,0,0,0,0,0,0,0
265,764,0,3,0,0,0,0,0,1,0,0
266,765,0,1,0,0,0,0,0,0,0,0
267,726,1,2,0,0,0,0,0,0,0,0
268,722,0,0,0,0,1,0,0,0,0,0
269,721,0,0,1,0,0,0,0,0,0,0
270,719,0,0,0,1,0,0,0,0,0,0
271,711,0,5,0,1,0,0,0,0,0,0
272,706,0,0,1,0,0,0,0,0,0,0
273,702,0,0,3,1,0,0,0,0,2,0
274,657,4,0,0,0,0,0,0,2,0,0
275,698,0,1,0,0,0,0,0,0,0,0
276,679,1,0,0,0,1,3,6,2,3,0
277,678,0,0,1,2,1,2,0,0,0,0
278,767,0,0,0,1,0,0,0,0,0,0
279,774,0,0,0,0,0,0,0,2,0,0
280,775,2,0,0,1,0,0,1,0,0,0
281,776,0,0,0,2,0,0,0,0,0,0
282,782,0,0,0,0,1,0,0,0,0,0
283,784,1,0,0,3,0,0,0,1,0,0
284,785,0,1,0,0,1,0,0,0,0,0
285,665,95,75,64,31,3,3,1,1,5,0
286,789,0,0,0,1,0,0,0,0,0,0
287,659,4,2,12,2,2,0,11,0,1,0
288,563,0,0,0,0,0,0,2,0,0,0
289,559,0,0,0,0,0,0,2,0,0,0
290,557,1,0,0,0,0,5,9,2,0,0
291,373,0,0,0,0,0,0,1,0,0,0
292,404,0,0,0,1,0,0,0,0,0,0
293,403,0,1,0,0,0,0,0,0,0,0
294,402,23,3,1,2,0,0,0,0,0,0
295,401,0,0,0,1,0,0,0,0,0,0
296,399,1,7,2,0,0,0,0,0,0,0
297,398,0,0,2,0,0,0,0,0,0,0
298,396,0,1,0,0,0,0,0,0,0,0
299,393,1,0,0,0,0,0,1,0,0,0
300,392,0,0,0,0,0,0,0,0,2,0
301,379,0,0,0,2,0,0,0,0,0,0
302,859,0,0,0,2,0,0,0,2,0,0
303,376,1,6,0,0,0,0,0,0,0,0
304,375,0,1,0,0,0,0,0,0,0,0
305,363,0,1,3,0,0,0,0,0,0,0
306,409,0,0,0,0,1,0,0,0,0,0
307,362,0,1,1,2,0,0,0,0,0,0
308,359,0,0,1,0,0,0,0,0,0,0
309,871,0,0,0,0,0,0,0,1,0,0
310,358,0,0,0,0,0,0,0,0,1,0
311,357,0,1,1,0,0,0,0,0,0,0
312,355,0,1,1,0,0,0,0,0,0,0
313,341,0,0,0,1,0,0,0,0,0,0
314,338,0,2,0,0,1,0,0,0,0,0
315,885,0,0,0,0,0,1,0,0,0,0
316,336,1,0,1,0,0,0,0,0,0,0
317,334,0,4,1,0,0,0,0,0,0,0
318,333,0,0,1,0,0,0,0,0,0,0
319,735,0,0,0,0,0,0,0,0,1,0
320,408,0,1,0,0,0,0,0,0,0,0
321,422,0,0,0,0,1,0,0,0,0,0
322,848,0,1,0,0,0,0,0,0,0,0
323,506,39,0,0,0,0,0,0,0,1,0
324,541,24,0,0,0,0,0,0,0,0,0
325,531,4,0,0,0,0,0,0,0,1,0
326,529,0,0,0,0,0,0,0,3,6,0
327,526,0,0,0,0,0,0,0,0,2,0
328,525,4,0,0,0,0,0,0,1,0,0
329,521,0,0,0,0,0,0,0,1,1,0
330,519,1,0,0,0,0,0,0,1,0,0
331,517,0,1,0,0,0,0,0,0,0,0
332,513,4,2,0,0,0,0,1,0,0,0
333,511,50,3,0,0,0,0,0,0,0,0
334,509,1,0,0,0,0,0,0,0,0,0
335,849,0,0,1,0,0,0,0,1,0,0
336,507,1,0,0,0,1,0,0,0,0,0
337,505,1,0,0,0,0,0,0,0,0,0
338,424,0,0,0,1,0,0,0,0,0,0
339,504,4,0,0,0,0,0,0,0,0,0
340,1994,0,0,0,0,4,0,0,0,0,0
341,501,61,0,0,0,0,0,0,0,0,0
342,499,0,0,0,0,0,0,1,0,0,0
343,852,0,0,0,0,0,1,0,1,0,0
344,497,0,0,1,0,0,0,1,0,0,0
345,463,0,0,0,0,0,0,0,1,0,0
346,461,0,0,1,0,0,0,0,0,0,0
347,855,0,0,0,1,2,3,2,18,6,0
348,459,0,0,1,0,0,0,0,0,0,0
349,455,0,0,0,1,0,0,0,0,0,0
350,427,0,0,0,0,1,0,0,0,0,0
351,857,0,0,0,0,1,0,0,0,0,0
352,1995,1,0,0,1,1,0,11,0,0,0
353,100,1,4,5,2,0,1,0,0,0,0
354,1993,1,1,0,2,1,2,1,0,0,0
355,133,0,0,4,2,3,1,1,0,0,0
356,1341,0,3,11,19,17,14,0,0,0,0
357,1342,0,3,1,2,0,0,0,0,0,0
358,1343,3,5,2,0,0,1,0,0,0,0
359,1344,0,0,1,0,0,0,0,3,0,0
360,1345,0,1,0,0,1,0,0,0,0,0
361,1346,0,0,4,0,0,0,0,0,0,0
362,1347,1,2,0,0,0,0,0,0,0,0
363,1351,1,6,13,1,7,28,3,0,0,0
364,1352,0,1,2,15,47,18,1,0,0,0
365,1353,0,0,8,2,21,2,0,0,0,0
366,1354,0,1,0,0,10,3,0,0,0,0
367,1361,1,1,7,1,17,22,0,0,0,0
368,1362,5,0,4,3,4,4,0,0,0,0
369,1363,0,0,4,4,1,1,0,0,0,0
370,1364,3,3,5,4,0,0,0,0,0,0
371,1331,0,0,4,10,4,2,0,0,0,0
372,1327,0,1,2,9,3,0,0,0,0,0
373,1367,6,1,1,3,0,0,0,0,0,0
374,1326,0,1,1,0,0,0,0,0,0,0
375,1259,0,0,0,0,0,0,1,0,0,0
376,1265,0,0,0,0,0,1,0,0,0,0
377,1267,0,0,0,0,3,0,0,0,0,0
378,1273,0,0,0,0,0,0,6,0,0,0
379,1283,0,0,0,0,0,0,1,0,0,0
380,1309,1,6,15,28,13,10,0,0,1,0
381,131,0,0,0,0,0,1,3,5,0,0
382,1313,12,6,17,40,23,40,0,0,0,0
383,1317,2,5,36,9,3,19,1,0,0,0
384,132,0,0,2,8,5,11,4,1,1,0
385,1321,0,3,3,1,1,4,0,1,0,0
386,1322,0,2,3,11,1,0,0,0,0,0
387,1323,0,3,7,10,2,7,0,0,0,0
388,1324,0,2,1,0,0,0,0,0,0,0
389,1325,0,3,5,0,0,0,0,0,0,0
390,1365,0,0,0,2,0,0,0,0,0,0
391,1371,2,1,0,2,2,1,0,0,0,0
392,1256,0,0,0,0,0,1,0,0,0,0
393,1415,1,0,3,10,5,5,2,2,1,0
394,1425,0,0,0,0,0,0,0,1,0,0
395,1431,19,5,84,189,154,40,32,4,0,0
396,1432,0,0,2,29,2,7,0,1,0,0
397,1434,0,0,0,1,0,3,0,0,0,0
398,1435,0,0,0,1,1,0,0,0,0,0
399,1436,0,0,0,0,2,0,0,1,4,0
400,1437,0,0,0,1,0,2,0,0,0,0
401,1438,0,0,1,2,0,0,0,0,0,0
402,144,0,0,2,7,3,2,3,1,1,0
403,1441,43,5,18,36,27,9,3,1,0,0
404,1443,1,0,4,0,3,0,0,0,0,0
405,1444,2,0,8,0,1,2,0,2,0,0
406,1445,1,0,0,0,0,0,0,0,0,0
407,145,0,0,3,5,9,9,1,18,3,0
408,1452,16,0,3,7,4,0,0,0,0,0
409,142,0,8,35,93,116,55,105,10,4,0
410,1414,1,0,9,19,15,3,2,3,0,0
411,1372,0,2,10,5,0,1,0,0,0,0
412,1413,6,11,176,194,215,71,70,26,18,0
413,1373,0,0,0,2,0,0,0,0,0,0
414,1375,1,0,8,4,4,1,0,0,0,0
415,1377,0,2,0,0,0,0,0,0,0,0
416,1381,0,4,0,7,10,0,0,0,0,0
417,1383,0,5,2,35,9,2,0,0,0,0
418,1385,0,3,1,1,7,0,0,0,0,0
419,1391,0,5,0,23,5,2,2,0,0,0
420,1393,0,4,2,2,3,0,0,0,0,0
421,1394,0,5,1,1,0,0,0,0,0,0
422,1395,0,1,0,0,0,0,0,0,0,0
423,1400,0,0,2,1,2,3,3,0,1,0
424,1402,0,0,0,0,0,0,0,0,3,0
425,1406,1,0,0,0,1,0,0,0,0,0
426,1411,5,7,33,36,14,0,4,0,1,0
427,1412,1,17,133,232,160,57,37,5,1,0
428,1257,0,0,0,0,0,0,2,0,0,0
429,1255,0,0,0,0,0,4,0,0,0,0
430,1991,7,0,1,1,3,4,0,0,0,0
431,1073,0,0,1,0,0,0,0,0,0,0
432,1078,0,0,1,0,0,0,0,0,0,0
433,1083,0,0,0,1,0,0,0,0,0,0
434,109,0,0,0,0,0,0,1,0,0,0
435,1105,0,0,0,2,1,0,1,0,0,0
436,1112,0,0,0,0,0,1,0,0,0,0
437,1113,0,0,0,0,1,0,0,1,0,0
438,1115,0,0,1,1,0,0,4,0,2,0
439,1116,0,0,0,1,0,0,0,0,0,0
440,1117,0,0,0,0,2,0,0,0,0,0
441,112,0,0,1,6,6,5,30,0,0,0
442,1123,0,0,0,7,0,0,0,0,0,0
443,1124,2,0,0,0,4,0,1,0,0,0
444,1127,1,0,0,0,0,0,0,0,0,0
445,1132,1,0,0,0,0,0,1,0,0,0
446,1133,1,0,0,0,0,0,0,0,0,0
447,1075,0,0,0,0,0,0,1,0,0,0
448,1065,0,0,0,0,0,1,0,0,0,0
449,1137,0,0,0,0,0,1,0,0,0,0
450,1063,0,0,1,0,0,0,0,0,1,0
451,1005,0,0,1,0,0,0,0,0,0,0
452,1008,0,0,1,0,0,0,0,0,0,0
453,101,0,0,0,1,3,12,4,2,0,0
454,1011,0,0,0,0,0,0,0,2,0,0
455,1012,0,0,1,0,0,0,0,0,0,0
456,1015,0,1,0,0,0,0,0,0,0,0
457,1021,0,0,1,0,0,0,0,0,0,0
458,1024,0,0,0,1,0,0,0,0,0,0
459,1025,0,0,0,1,0,0,0,0,0,0
460,1033,0,0,2,0,0,0,0,0,0,0
461,1035,0,0,3,1,0,0,0,0,0,0
462,1039,0,1,0,0,0,0,0,0,0,0
463,1041,0,0,0,0,0,0,0,0,2,0
464,1043,0,0,0,0,0,0,0,1,2,0
465,105,0,0,1,0,0,0,0,0,0,0
466,1136,3,0,0,12,1,0,0,0,0,0
467,1141,0,0,0,1,0,0,0,0,0,0
468,1251,0,0,0,0,2,0,0,0,0,0
469,1205,0,0,0,0,0,1,0,0,0,0
470,1208,0,0,0,0,1,0,0,0,0,0
471,1209,0,0,0,0,2,0,0,0,0,0
472,121,0,1,1,18,35,9,2,5,1,0
473,1213,0,0,0,4,0,0,1,0,0,0
474,1215,0,0,0,1,0,0,0,0,0,0
475,1218,0,0,0,1,0,0,0,0,0,0
476,122,0,0,1,4,0,0,0,1,0,0
477,1232,0,0,0,2,0,0,0,0,0,0
478,1233,0,0,0,1,0,0,0,0,0,0
479,1235,0,0,0,0,0,1,0,0,0,0
480,1239,0,0,0,0,4,0,0,0,0,0
481,1241,0,0,0,0,1,0,1,0,0,0
482,1243,4,0,0,1,2,1,1,0,0,0
483,1245,0,0,0,1,1,0,0,0,0,0
484,1249,0,1,0,0,21,0,0,0,0,0
485,1207,0,0,1,0,0,0,0,0,0,0
486,1204,0,1,0,0,1,0,1,0,0,0
487,1142,0,2,0,1,0,0,0,0,0,0
488,1203,0,0,0,0,7,0,0,0,0,0
489,1145,2,0,1,0,0,0,0,1,0,0
490,1148,2,0,0,0,0,0,0,0,0,0
491,1149,0,3,1,0,0,0,0,0,0,0
492,1151,2,2,6,3,0,0,4,2,1,0
493,1159,4,4,0,0,0,0,0,0,0,0
494,1161,0,0,7,0,0,0,2,0,0,0
495,1162,2,1,11,2,2,1,34,1,0,0
496,1163,0,0,4,0,0,0,1,2,0,0
497,1169,2,0,0,0,0,0,4,0,0,0
498,1171,2,0,0,1,0,0,0,0,0,0
499,1174,0,0,1,0,0,0,0,0,0,0
500,1177,3,0,0,0,0,0,0,0,0,0
501,1181,0,0,0,1,0,0,19,0,5,0
502,119,0,3,4,12,13,4,12,7,0,0
503,1195,0,0,0,3,0,0,0,0,0,0
504,1453,1,0,2,0,0,0,0,0,0,0
505,1455,1,0,0,0,0,0,0,0,0,0
506,1457,0,0,0,1,0,1,0,0,0,0
507,1831,0,0,0,1,0,0,0,0,0,0
508,1834,0,2,0,0,0,0,0,0,0,0
509,1835,0,0,0,1,1,0,0,0,0,0
510,1836,0,0,0,1,1,0,1,0,0,0
511,1837,0,2,0,8,3,5,1,0,0,0
512,1838,0,1,2,0,0,0,0,0,0,0
513,1841,3,2,8,10,22,93,0,0,0,0
514,1842,0,0,0,2,4,11,0,0,0,0
515,1844,0,2,5,6,7,10,0,0,0,0
516,1846,3,0,1,1,0,0,1,0,0,0
517,1849,2,0,1,0,0,0,0,0,0,0
518,1861,0,0,0,0,0,1,0,0,0,0
519,1862,0,0,1,0,1,1,0,0,0,0
520,1863,1,0,0,0,0,0,0,0,0,0
521,1871,0,0,1,0,2,0,0,0,0,0
522,1901,0,0,0,0,0,0,0,1,0,0
523,1832,0,1,0,0,5,0,0,0,0,0
524,1827,0,0,0,0,0,1,0,0,0,0
525,1907,2,0,0,0,2,7,0,0,0,0
526,1826,0,0,0,0,0,0,1,0,0,0
527,1757,0,0,0,0,0,0,0,1,2,0
528,1759,0,1,0,0,0,0,0,0,0,0
529,1776,0,1,0,0,0,0,0,0,0,0
530,1779,0,5,3,1,0,0,0,0,1,0
531,1788,0,0,0,0,0,0,1,0,0,0
532,1793,0,3,0,0,0,0,0,0,0,0
533,1794,0,0,0,0,1,0,0,0,0,0
534,1795,0,0,4,0,0,1,0,0,0,0
535,1799,0,0,0,1,0,0,0,0,0,0
536,1801,5,1,3,1,7,29,6,0,0,0
537,1802,0,0,4,3,9,46,13,0,0,0
538,1804,0,3,0,0,0,0,0,0,0,0
539,181,0,0,0,1,1,0,11,32,13,0
540,1821,1,1,17,7,28,72,0,0,0,0
541,1822,0,0,8,2,8,19,1,0,0,0
542,1902,4,0,0,0,0,0,0,0,0,0
543,191,0,2,1,3,1,6,8,4,25,0
544,146,1,6,31,57,61,72,33,36,7,0
545,1963,0,0,0,0,0,1,0,1,0,0
546,1966,1,3,2,1,0,0,0,0,0,0
547,1967,1,2,0,0,0,2,0,0,0,0
548,1969,0,0,0,0,1,5,0,0,0,0
549,1971,7,8,2,3,5,1,0,1,0,0
550,1972,14,0,1,2,0,0,0,0,0,0
551,1974,1,3,1,5,3,2,0,0,0,0
552,1977,0,0,0,0,0,1,0,0,0,0
553,1979,0,0,0,0,0,1,0,0,0,0
554,1981,10,11,7,9,1,2,0,0,0,0
555,1982,95,13,7,7,2,0,0,0,0,0
556,1983,27,2,4,6,4,3,0,0,0,0
557,1984,9,4,4,12,2,0,0,0,0,0
558,1985,5,0,2,3,0,0,4,0,1,0
559,1987,0,0,0,1,0,3,3,0,0,0
560,1988,0,0,0,0,0,0,1,0,0,0
561,1964,0,0,0,1,0,6,0,0,0,0
562,1961,2,1,0,0,3,2,0,2,0,0
563,1911,0,0,0,1,0,0,0,0,0,0
564,1959,2,0,0,0,0,0,0,0,0,0
565,1913,1,0,0,0,0,0,0,1,0,0
566,1915,0,0,2,9,0,0,0,1,0,0
567,1916,0,0,0,8,2,0,0,0,0,0
