date,2022,2021,2020,2019,month_day
2021-09-09,,1685668.0,755051,2449302,09-09
2021-09-08,,1439804.0,616923,2005867,09-08
2021-09-07,,1662932.0,704075,1943379,09-07
2021-09-06,,2025556.0,935308,2292985,09-06
2021-09-05,,1630786.0,689630,2370003,09-05
2021-09-04,,1545955.0,664640,1755502,09-04
2021-09-03,,2129999.0,968673,2198828,09-03
2021-09-02,,1896846.0,877698,2109858,09-02
2021-09-01,,1465197.0,578131,1889044,09-01
2021-08-31,,1345064.0,516068,2037750,08-31
2021-08-30,,1629475.0,711178,2278159,08-30
2021-08-29,,1900658.0,807695,1887845,08-29
2021-08-28,,1511294.0,591734,1954902,08-28
2021-08-27,,1853622.0,738873,2658558,08-27
2021-08-26,,1826310.0,721060,2561109,08-26
2021-08-25,,1539707.0,540043,2188688,08-25
2021-08-24,,1468219.0,523186,2015088,08-24
2021-08-23,,1820355.0,726788,2358007,08-23
2021-08-22,,1965020.0,841806,2493162,08-22
2021-08-21,,1685462.0,625822,2039233,08-21
2021-08-20,,1990608.0,764468,2559244,08-20
2021-08-19,,1945026.0,772380,2533184,08-19
2021-08-18,,1678231.0,586718,2306838,08-18
2021-08-17,,1607238.0,565946,2247446,08-17
2021-08-16,,1980585.0,773319,2576965,08-16
2021-08-15,,2114166.0,862949,2584444,08-15
2021-08-14,,1811767.0,689895,2171962,08-14
2021-08-13,,2065379.0,783744,2627564,08-13
2021-08-12,,2045301.0,761821,2602446,08-12
2021-08-11,,1761348.0,590749,2391906,08-11
2021-08-10,,1727075.0,559420,2306829,08-10
2021-08-09,,2022858.0,761861,2567986,08-09
2021-08-08,,2168264.0,831789,2647897,08-08
2021-08-07,,1925641.0,683212,2290340,08-07
2021-08-06,,2109091.0,762547,2725000,08-06
2021-08-05,,2063720.0,743599,2707986,08-05
2021-08-04,,1855299.0,595739,2430094,08-04
2021-08-03,,1797120.0,543601,2387115,08-03
2021-08-02,,2031758.0,737235,2619406,08-02
2021-08-01,,2238462.0,799861,2688640,08-01
2021-07-31,,2007412.0,709033,2367967,07-31
2021-07-30,,2198585.0,767320,2730936,07-30
2021-07-29,,2127634.0,718310,2742882,07-29
2021-07-28,,1923980.0,573200,2542365,07-28
2021-07-27,,1858328.0,536756,2438967,07-27
2021-07-26,,2124474.0,700043,2613346,07-26
2021-07-25,,2177129.0,751205,2700723,07-25
2021-07-24,,1942871.0,649027,2364925,07-24
2021-07-23,,2159300.0,724770,2732770,07-23
2021-07-22,,2101343.0,704815,2705399,07-22
2021-07-21,,1934918.0,570951,2561911,07-21
2021-07-20,,1871986.0,530421,2499460,07-20
2021-07-19,,2141429.0,695330,2635312,07-19
2021-07-18,,2227704.0,747422,2727355,07-18
2021-07-17,,1979981.0,646654,2396462,07-17
2021-07-16,,2199815.0,720378,2776960,07-16
2021-07-15,,2152053.0,706164,2716828,07-15
2021-07-14,,1900945.0,589285,2522563,07-14
2021-07-13,,1832878.0,540268,2447177,07-13
2021-07-12,,2093066.0,697985,2615115,07-12
2021-07-11,,2198635.0,754545,2669717,07-11
2021-07-10,,1987652.0,656284,2312178,07-10
2021-07-09,,2147903.0,711124,2716812,07-09
2021-07-08,,2027364.0,709653,2608209,07-08
2021-07-07,,1880160.0,632498,2515902,07-07
2021-07-06,,1889911.0,641761,2506859,07-06
2021-07-05,,2160147.0,755555,2748718,07-05
2021-07-04,,1681896.0,732123,2795369,07-04
2021-07-03,,1915017.0,466669,2345846,07-03
2021-07-02,,2196411.0,718988,2184253,07-02
2021-07-01,,2147090.0,764761,2088760,07-01
2021-06-30,,1920663.0,626516,2547889,06-30
2021-06-29,,1808306.0,500054,2347767,06-29
2021-06-28,,2066964.0,625235,2455536,06-28
2021-06-27,,2167380.0,633810,2632030,06-27
2021-06-26,,1918705.0,546310,2368846,06-26
2021-06-25,,2137584.0,632984,2730515,06-25
2021-06-24,,2085327.0,623624,2711222,06-24
2021-06-23,,1801329.0,494826,2594661,06-23
2021-06-22,,1795141.0,471421,2506510,06-22
2021-06-21,,2030577.0,607540,2716428,06-21
2021-06-20,,2100761.0,590456,2719643,06-20
2021-06-19,,1882381.0,507129,2378559,06-19
2021-06-18,,2081115.0,587908,2772903,06-18
2021-06-17,,2039425.0,576514,2728786,06-17
2021-06-16,,1792370.0,441829,2552395,06-16
2021-06-15,,1678688.0,417924,2466574,06-15
2021-06-14,,1800954.0,534528,2699580,06-14
2021-06-13,,2097433.0,544046,2642083,06-13
2021-06-12,,1812797.0,437119,2318946,06-12
2021-06-11,,2028961.0,519304,2727860,06-11
2021-06-10,,1975189.0,502209,2675686,06-10
2021-06-09,,1669537.0,386969,2509058,06-09
2021-06-08,,1560561.0,338382,2433189,06-08
2021-06-07,,1828396.0,430414,2644981,06-07
2021-06-06,,1984658.0,441255,2669860,06-06
2021-06-05,,1681192.0,353016,2225952,06-05
2021-06-04,,1879885.0,419675,2649808,06-04
2021-06-03,,1815931.0,391882,2623947,06-03
2021-06-02,,1587910.0,304436,2370152,06-02
2021-06-01,,1682752.0,267742,2247421,06-01
2021-05-31,,1900170.0,353261,2499002,05-31
2021-05-30,,1650454.0,352947,2555578,05-30
2021-05-29,,1605810.0,268867,2117180,05-29
2021-05-28,,1959593.0,327133,2570613,05-28
2021-05-27,,1854534.0,321776,2485770,05-27
2021-05-26,,1618169.0,261170,2269035,05-26
2021-05-25,,1470840.0,264843,2453649,05-25
2021-05-24,,1747353.0,340769,2512237,05-24
2021-05-23,,1863697.0,267451,2070716,05-23
2021-05-22,,1550044.0,253190,2124825,05-22
2021-05-21,,1820433.0,348673,2792670,05-21
2021-05-20,,1728496.0,318449,2673635,05-20
2021-05-19,,1496089.0,230367,2472123,05-19
2021-05-18,,1408017.0,190477,2312727,05-18
2021-05-17,,1734541.0,244176,2615691,05-17
2021-05-16,,1850531.0,253807,2620276,05-16
2021-05-15,,1453267.0,193340,2091116,05-15
2021-05-14,,1716561.0,250467,2664549,05-14
2021-05-13,,1743515.0,234928,2611324,05-13
2021-05-12,,1424664.0,176667,2343675,05-12
2021-05-11,,1315493.0,163205,2191387,05-11
2021-05-10,,1657722.0,215645,2512315,05-10
2021-05-09,,1707805.0,200815,2419114,05-09
2021-05-08,,1429657.0,169580,1985942,05-08
2021-05-07,,1703267.0,215444,2602631,05-07
2021-05-06,,1644050.0,190863,2555342,05-06
2021-05-05,,1268938.0,140409,2270662,05-05
2021-05-04,,1134103.0,130601,2106597,05-04
2021-05-03,,1463672.0,163692,2470969,05-03
2021-05-02,,1626962.0,170254,2512598,05-02
2021-05-01,,1335535.0,134261,1968278,05-01
2021-04-30,,1558553.0,171563,2546029,04-30
2021-04-29,,1526681.0,154695,2499461,04-29
2021-04-28,,1184326.0,119629,2256442,04-28
2021-04-27,,1077199.0,110913,2102068,04-27
2021-04-26,,1369410.0,119854,2412770,04-26
2021-04-25,,1571220.0,128875,2506809,04-25
2021-04-24,,1259724.0,114459,1990464,04-24
2021-04-23,,1521393.0,123464,2521897,04-23
2021-04-22,,1509649.0,111627,2526961,04-22
2021-04-21,,1164099.0,98968,2254209,04-21
2021-04-20,,1082443.0,92859,2227475,04-20
2021-04-19,,1412500.0,99344,2594171,04-19
2021-04-18,,1572383.0,105382,2356802,04-18
2021-04-17,,1277815.0,97236,1988205,04-17
2021-04-16,,1468218.0,106385,2457133,04-16
2021-04-15,,1491435.0,95085,2616158,04-15
2021-04-14,,1152703.0,90784,2317381,04-14
2021-04-13,,1085034.0,87534,2208688,04-13
2021-04-12,,1468972.0,102184,2484580,04-12
2021-04-11,,1561495.0,90510,2446801,04-11
2021-04-10,,1378237.0,93645,2059142,04-10
2021-04-09,,1549181.0,108977,2590499,04-09
2021-04-08,,1510829.0,104090,2487398,04-08
2021-04-07,,1230939.0,94931,2229276,04-07
2021-04-06,,1195306.0,97130,2091056,04-06
2021-04-05,,1561959.0,108310,2384091,04-05
2021-04-04,,1543474.0,122029,2462929,04-04
2021-04-03,,1397958.0,118302,2011715,04-03
2021-04-02,,1580785.0,129763,2476884,04-02
2021-04-01,,1562239.0,124021,2411500,04-01
2021-03-31,,1278113.0,136023,2151626,03-31
2021-03-30,,1130520.0,146348,2026256,03-30
2021-03-29,,1406234.0,154080,2360053,03-29
2021-03-28,,1574228.0,180002,2510294,03-28
2021-03-27,,1408198.0,184027,2172920,03-27
2021-03-26,,1535156.0,199644,2538384,03-26
2021-03-25,,1444744.0,203858,2487162,03-25
2021-03-24,,1164954.0,239234,2273811,03-24
2021-03-23,,1076453.0,279018,2151913,03-23
2021-03-22,,1360290.0,331431,2434370,03-22
2021-03-21,,1543136.0,454516,2542643,03-21
2021-03-20,,1373259.0,548132,2227181,03-20
2021-03-19,,1477841.0,593167,2559307,03-19
2021-03-18,,1413141.0,620883,2513231,03-18
2021-03-17,,1146539.0,779631,2320885,03-17
2021-03-16,,1092548.0,953699,2177929,03-16
2021-03-15,,1267345.0,1257823,2465709,03-15
2021-03-14,,1345284.0,1519192,2545742,03-14
2021-03-13,,1227484.0,1485553,2274658,03-13
2021-03-12,,1409771.0,1714372,2634215,03-12
2021-03-11,,1286894.0,1788456,2503924,03-11
2021-03-10,,974221.0,1702686,2187298,03-10
2021-03-09,,825745.0,1617220,2122898,03-09
2021-03-08,,1119303.0,1909363,2378673,03-08
2021-03-07,,1278557.0,2119867,2485430,03-07
2021-03-06,,992406.0,1844811,2156262,03-06
2021-03-05,,1168734.0,2198517,2543689,03-05
2021-03-04,,1107534.0,2130015,2402692,03-04
2021-03-03,,826924.0,1877401,2143619,03-03
2021-03-02,,744812.0,1736393,1979558,03-02
2021-03-01,,1049692.0,2089641,2257920,03-01
2021-02-28,,1190682.0,2353150,2307393,02-28
2021-02-27,,917282.0,1949696,2015079,02-27
2021-02-26,,1096348.0,2441643,1861286,02-26
2021-02-25,,1051149.0,2364727,2160322,02-25
2021-02-24,,802230.0,2075554,2197938,02-24
2021-02-23,,714725.0,1919803,2274217,02-23
2021-02-22,,963280.0,2267382,2331841,02-22
2021-02-21,,1115479.0,2380359,2415570,02-21
2021-02-20,,942238.0,1951535,2351856,02-20
2021-02-19,,1059452.0,2429489,2022861,02-19
2021-02-18,,914823.0,2358511,2177690,02-18
2021-02-17,,773422.0,2129862,2476445,02-17
2021-02-16,,738825.0,2190300,2147045,02-16
2021-02-15,,967693.0,2494922,1922613,02-15
2021-02-14,,946458.0,2198657,2227730,02-14
2021-02-13,,900696.0,1972248,1950385,02-13
2021-02-12,,1151420.0,2507588,1620239,02-12
2021-02-11,,1034514.0,2415185,2055827,02-11
2021-02-10,,735009.0,2038375,2105696,02-10
2021-02-09,,617619.0,1814047,1648328,02-09
2021-02-08,,864783.0,2164951,2134744,02-08
2021-02-07,,854636.0,2224826,2064640,02-07
2021-02-06,,705951.0,1770241,1756152,02-06
2021-02-05,,868624.0,2271551,1655868,02-05
2021-02-04,,778065.0,2167857,2001482,02-04
2021-02-03,,618615.0,1843877,1792677,02-03
2021-02-02,,493338.0,1677798,1591591,02-02
2021-02-01,,628989.0,2054725,2078169,02-01
2021-01-31,,859039.0,1948138,1938817,01-31
2021-01-30,,617489.0,1658886,1593697,01-30
2021-01-29,,774688.0,2159047,1534386,01-29
2021-01-28,,750558.0,2085468,1862420,01-28
2021-01-27,,536935.0,1777171,2010374,01-27
2021-01-26,,468933.0,1643435,1571077,01-26
2021-01-25,,701709.0,2004609,2052814,01-25
2021-01-24,,838116.0,2136584,1991328,01-24
2021-01-23,,603527.0,1645196,1763884,01-23
2021-01-22,,755028.0,2145063,1804629,01-22
2021-01-21,,728978.0,2100401,2179066,01-21
2021-01-20,,542338.0,1801444,1776235,01-20
2021-01-19,,560190.0,1870459,1600698,01-19
2021-01-18,,878048.0,2298616,2271398,01-18
2021-01-17,,810654.0,2000260,2139242,01-17
2021-01-16,,690438.0,1781893,1786012,01-16
2021-01-15,,903039.0,2347075,1605758,01-15
2021-01-14,,803688.0,2242656,1886642,01-14
2021-01-13,,567401.0,1876782,1970450,01-13
2021-01-12,,520117.0,1691205,1604862,01-12
2021-01-11,,708177.0,1992453,1959788,01-11
2020-04-27,,,119854,2412770,04-27
2020-04-26,,,128875,2506809,04-26
2020-04-25,,,114459,1990464,04-25
2020-04-24,,,123464,2521897,04-24
2020-04-23,,,111627,2526961,04-23
2020-04-22,,,98968,2254209,04-22
2020-04-21,,,92859,2227475,04-21
2020-04-20,,,99344,2594171,04-20
2020-04-19,,,105382,2356802,04-19
2020-04-18,,,97236,1988205,04-18
2020-04-17,,,106385,2457133,04-17
2020-04-16,,,95085,2616158,04-16
2020-04-15,,,90784,2317381,04-15
2020-04-14,,,87534,2208688,04-14
2020-04-13,,,102184,2484580,04-13
2020-04-12,,,90510,2446801,04-12
2020-04-11,,,93645,2059142,04-11
2020-04-10,,,108977,2590499,04-10
2020-04-09,,,104090,2487398,04-09
2020-04-08,,,94931,2229276,04-08
2020-04-07,,,97130,2091056,04-07
2020-04-06,,,108310,2384091,04-06
2020-04-05,,,122029,2462929,04-05
2020-04-04,,,118302,2011715,04-04
2020-04-03,,,129763,2476884,04-03
2020-04-02,,,124021,2411500,04-02
2020-04-01,,,136023,2151626,04-01
2020-03-31,,,146348,2026256,03-31
2020-03-30,,,154080,2360053,03-30
2020-03-29,,,180002,2510294,03-29
2020-03-28,,,184027,2172920,03-28
2020-03-27,,,199644,2538384,03-27
2020-03-26,,,203858,2487162,03-26
2020-03-25,,,239234,2273811,03-25
2020-03-24,,,279018,2151913,03-24
2020-03-23,,,331431,2434370,03-23
2020-03-22,,,454516,2542643,03-22
2020-03-21,,,548132,2227181,03-21
2020-03-20,,,593167,2559307,03-20
2020-03-19,,,620883,2513231,03-19
2020-03-18,,,779631,2320885,03-18
2020-03-17,,,953699,2177929,03-17
2020-03-16,,,1257823,2465709,03-16
2020-03-15,,,1519192,2545742,03-15
2020-03-14,,,1485553,2274658,03-14
2020-03-13,,,1714372,2634215,03-13
2020-03-12,,,1788456,2503924,03-12
2020-03-11,,,1702686,2187298,03-11
2020-03-10,,,1617220,2122898,03-10
2020-03-09,,,1909363,2378673,03-09
2020-03-08,,,2119867,2485430,03-08
2020-03-07,,,1844811,2156262,03-07
2020-03-06,,,2198517,2543689,03-06
2020-03-05,,,2130015,2402692,03-05
2020-03-04,,,1877401,2143619,03-04
2020-03-03,,,1736393,1979558,03-03
2020-03-02,,,2089641,2257920,03-02
2020-03-01,,,2280522,2301439,03-01
