,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,2019,adjusted_ot_pct_change
85,LARKSPUR,CITY,429679.336015542,538974.8950451667,274695.4390080573,769018.5368004867,888890.1480357948,848992.9604303208,756276.2101909269,751147.3826018391,126630.0,-39.407286237388156
86,LEMON GROVE,CITY,436105.45455434587,426490.66998266504,484898.549981327,463505.74358779396,573204.4439175249,441136.06988129515,555154.9201125979,715574.2779890645,612273.0,38.0076294377754
87,LINCOLN,CITY,92484.27975584494,212808.83602358948,211280.79987723057,391199.40050942823,492100.11179366877,612929.367530947,674430.9258240861,759571.3055430554,837499.0,190.44372748884098
88,LODI,CITY,166661.96395022643,389750.1510013328,770921.7943526058,679396.6847247569,1231477.2372023952,776426.8374922397,1084077.6714629568,0.0,1499000.0,196.10605497575278
89,LOMA LINDA,CITY,509895.571288216,522892.3578229397,847014.0935837943,669129.8427615572,1024020.5295949238,967605.8269883795,1123497.3692232377,1408578.8770125885,867046.0,53.37535495917998
91,LONG BEACH,CITY,15671747.163493222,15727472.03639469,17079953.42646926,13751097.32324616,16703145.481598368,17968952.379730586,22267273.086582076,21677219.61382198,21372734.0,41.45841384504848
92,LOS ANGELES,CITY,109199314.19713807,125749782.79086526,154272930.19269264,174201837.0068176,199022321.9622182,198223609.73198718,204805434.48415828,198411725.6474411,207856755.0,56.63398417492053
93,LOS ANGELES,COUNTY,143138158.0014047,147633266.58040735,162505149.90284473,165835905.09880647,178752293.3608558,200750586.16690773,206097766.43453443,203838869.0549724,206244625.0,38.053560814225314
94,LOS BANOS,CITY,135919.1128083614,142991.27154019702,122211.23864060751,153547.98124493108,196890.30953475912,183510.56839592181,279908.5362434726,320955.1292914973,144767.0,5.762294704171305
95,MADERA,COUNTY,0.0,0.0,12881.784475246506,21508.855725364967,436.8508798946911,17376.712516718264,80131.65654781333,34636.43442835126,3112.0,14.468459130208775
96,MANHATTAN BEACH,CITY,2166327.0737933395,1735703.626179256,1800509.7770704469,4485999.780591038,2425536.3089145506,2268932.3073077034,2286791.997539981,2408368.4144289093,2201757.0,0.789788852865091
97,MANTECA,CITY,299332.9091054465,375771.04885580624,499226.76416677755,479548.02163169096,593773.1091736037,632942.4659655762,1148976.5012932436,1626166.3427343722,900941.0,125.45314833070229
98,MARIN,COUNTY,931485.9993375983,2174398.4509743284,2101089.503745326,2893093.9043744924,3374074.3996844105,2999394.422075192,4203100.372372714,4790888.804246797,3310814.0,82.24164438854706
99,MARINA,CITY,136255.53500282296,169201.25292472797,186780.3876766957,188056.96777422956,315000.765084361,354983.23890969844,487826.9733069517,437483.00895235897,267759.0,69.92746216936379
102,MERCED,CITY,739365.058509196,494950.8562985096,768439.3785677186,347730.2806290552,1105662.0265044284,1195871.0436028948,1550132.288882996,1551364.065430275,1121118.0,109.78420999177887
104,MILL VALLEY,CITY,292896.43649167113,510280.65550493484,538214.5197697431,645920.1059914844,685993.9478855946,609183.0365114352,924640.4041571475,917598.764972701,1029174.0,113.98895260864286
106,MILPITAS,CITY,1422167.9990130656,1420426.657477983,718973.238387342,423070.1315516019,1250816.2481298812,1043043.7464657282,1323144.9185174608,1373000.6818009855,1276098.0,-34.52619036880636
108,MONROVIA,CITY,1064966.0512361128,1145323.1830579194,1414845.304240697,1104290.8087109693,1583926.3698131354,1603351.9162816086,1781170.6211773828,1748563.682844365,1661187.0,53.991298674291386
109,MONTCLAIR,CITY,541593.1340630128,717762.4224936196,1036320.7947604063,755190.1039258925,682042.8743718805,895916.3689434058,778134.0910207246,883061.0881616203,637556.0,12.707113803282061
110,MONTEBELLO,CITY,1585050.8960829375,2128254.274384349,2264448.265568324,2318210.150281326,2183201.6427851175,2700838.3634602325,2812492.961712631,3001379.398786174,2695985.0,47.92206193136741
111,MONTEREY,CITY,1022216.5647486652,1907634.1111701527,1689342.1060882485,1926905.9970980329,2271437.970014809,2586860.2100855387,2972491.3560827347,2634099.8201563484,2428159.0,72.96372720665762
112,MONTEREY PARK,CITY,1371031.825454901,1725607.360514647,1897746.508188206,1588816.2022379362,1722317.018027905,1760400.6265067265,2108138.735749837,2113666.521415174,2192255.0,51.68773917262175
114,MORRO BAY,CITY,210383.2104926225,249983.6269371151,248532.40085080083,241588.82389243718,269626.52035929915,312577.3708725162,330979.44299118797,351201.4312902468,308826.0,40.7480726638279
115,MOUNTAIN VIEW,CITY,2689204.4501664904,2930723.1075289417,2197305.612988664,2707760.5061207423,2422970.214486725,2563649.3619436105,3253175.8747348227,4616751.635764833,120367.0,-94.8694481790312
116,MURRIETA,CITY,1986215.0414334557,1942003.9508088196,2037331.364994398,2064151.4385011161,2583551.204715273,3032865.3385651265,2869597.54888218,2501882.7149063936,2853847.0,42.03334805689332
117,NAPA,CITY,1301870.9235792814,1538234.6110220645,1522120.3453427034,1161143.4325831302,1216108.7153832847,932295.2989912797,2310725.4227154055,2221160.6243951777,1398399.0,8.31319143802743
119,NATIONAL CITY,CITY,677464.5112897275,755771.2382205112,719244.3067776458,812856.9908505677,929327.4384959728,1309331.506651889,1329459.1624714427,2130857.47365864,1749687.0,131.90788795312037
122,NEWPORT BEACH,CITY,220711.14455030035,183580.10795142732,171484.22887485675,296558.0594839822,547700.9816848581,1951322.90125288,2409942.700359008,2123936.295491563,2147306.0,649.6518283138278
125,OAKLAND,CITY,187965.94487696668,16571623.180405425,18161241.943062454,22341243.15030667,23179978.60387227,23263548.16492021,20376971.59529617,19384230.63995826,22427180.0,99.543315049672
126,OCEANSIDE,CITY,3112132.611063444,2893669.1221588105,2588346.458466584,2657540.778360706,3463136.968331387,3132073.3395609297,4039459.8670202363,4299102.341352491,3065679.0,-1.7479924086846486
127,ONTARIO,CITY,5047837.724307478,4781090.11305609,4885698.256334856,5468636.017513183,6301112.2827856215,7207672.449520224,162340.94341546996,401708.31662598014,344965.0,-85.99717935599728
128,ORANGE,CITY,2609805.4025891456,3245703.8805021024,3519153.60794052,3255529.5165500795,3481702.591404836,3728559.115409136,4262597.571968832,4182092.891042464,3490337.0,27.047261987167097
129,OROVILLE,CITY,147776.85860166533,175371.25491519817,225645.22967758,131217.3029957421,233925.55635249795,170859.11160924478,261716.7550995431,477129.6107476096,353949.0,157.12267871031065
130,OXNARD,CITY,2924285.141353878,3353530.2607123884,3748171.2795752,3267527.4774432285,3756112.898560018,4624821.676442769,4973232.666298138,5160646.486386278,4866495.0,59.43974066182483
131,PACIFICA,CITY,251980.22365174553,247805.58616949926,432469.31403649604,597598.8854546838,195238.90534434243,308930.1040511319,360914.21598808747,1090926.528240949,469518.0,36.401971563708756
132,PALM SPRINGS,CITY,1715998.6890312487,1666853.7086422122,1558900.045879712,1707457.7847475673,1805949.0879936889,2423439.4349873126,2889229.695222749,2662355.698013197,2773734.0,61.94796266222935
133,PALO ALTO,CITY,0.0,1374991.6469532743,1242172.5447314316,1243439.6817928837,1329160.157296228,1663633.0134454414,1606426.4750693536,1383394.666488788,1038155.0,83.49057981671544
135,PASADENA,CITY,7075867.998701869,7431860.933014366,7062637.524435842,8055123.165184,9133427.951395892,9266573.74390747,4699029.269537368,6057552.985241351,2113335.0,-61.607164743936124
136,PATTERSON,CITY,140284.64540608786,283298.96524299413,255898.4374326592,245429.03531782242,342113.564385677,493766.854454245,808277.4614392951,600663.1725160988,754074.0,250.088321375291
137,PETALUMA,CITY,683908.8148120156,1058732.7003318903,762280.5291491562,1272425.3298104214,1352740.5695962736,884157.5551463083,1513198.0294019259,1674161.5266081798,1705026.0,80.24967448110456
138,PIEDMONT,CITY,150720.55280320442,90761.72031063531,126971.94583549754,34970.11427919708,31029.356202297728,56880.958234551494,46739.38128671671,95077.11431780079,100869.0,-142.55473232142103
139,PINOLE,CITY,475364.56077425444,384103.5023650444,350872.2413406766,260367.63055048665,225957.61203204832,251860.60427820857,352394.05429993477,417213.262537484,402434.0,-28.010609698317634
140,PLEASANTON,CITY,4523424.853391365,3989174.0878637945,4301448.202814256,4580239.389712592,5251465.325525174,5008621.9449432725,5274073.9538063,6052288.287933034,5722945.0,26.18902735308567
141,PORTERVILLE,CITY,170289.86815536657,168959.61956758454,135632.96501071018,186158.46055099354,255137.09352071796,327772.54061756545,563733.4890788186,681551.7697794168,314763.0,77.60760989160552
142,POWAY,CITY,1224699.5364787788,1596206.5734165525,1541509.9660709922,1791526.6651840028,1655136.2991684135,1746229.1201423293,1817777.3827064296,1659332.6122210857,1437329.0,11.868618405374535
143,RANCHO CUCAMONGA,CITY,3378651.7290109764,3578894.009647466,3665649.0625351476,3991080.1140130786,4260029.556993801,4212424.876082783,4888776.785199086,4800836.852477232,4133330.0,18.909123581340133
144,RED BLUFF,CITY,124637.6036792197,133394.97535649888,195082.5430315466,102417.87715429848,234005.3760194417,239600.07825188432,293490.3143684726,278903.7286097161,125104.0,0.45538565506259177
145,REDDING,CITY,1508793.3044025272,1649437.1771257087,2051614.5840219443,2147491.36991839,144496.2486952413,2305604.169124234,3043347.728275946,72943.19061197019,58665.0,-67.52661848683637
146,REDLANDS,CITY,2346447.062083498,2320164.6088094637,1963837.8104929237,2180403.148152372,2459237.4666711665,2664693.778827283,3070280.784375,2683917.4384107175,2395218.0,2.236785337511064
147,REDONDO BEACH,CITY,2859314.741609948,2866782.689861233,2628849.7826809227,2707717.3091418287,2757884.9078293964,2705976.919285688,3129539.1399233034,2949410.4934669277,3151640.0,10.796003608024355
148,REDWOOD CITY,CITY,1972088.7189504711,2755104.651667726,2167906.2157908967,3217695.4425689373,4297000.085162667,3965645.3064827286,5031602.396830126,4313432.865751889,4316437.0,72.85799177991355
150,RIALTO,CITY,2588950.6362169306,2738637.9508131742,2436714.9712135717,2639087.028968978,3306870.5546943885,2975858.685971659,3705471.4062214424,4331665.88393792,4232134.0,62.26332613309148
151,RICHMOND,CITY,3913058.384913242,4517212.011324338,4717687.434161671,3147761.69355738,2831148.5756422537,2702121.937210166,3692704.2010280676,2553419.9374449938,3408179.0,-16.039314092505606
152,RIVERSIDE,CITY,6418658.149329375,4938384.520414298,4738678.224045638,5074178.484869221,4861218.344684138,4424459.542300848,8816476.41161064,9102774.657377133,8733976.0,45.62941287096445
153,RIVERSIDE,COUNTY,256.86289171731005,2532.1394200196873,2202.567851577759,505.40465328467155,4356.6437133201425,9022.298474627823,4736.20445904047,17531.004245202246,29977.0,5880.463686895
154,ROCKLIN,CITY,724543.1604079329,823047.7551416853,803070.2859540601,777697.8897886253,934624.6599062516,886970.7653318446,1183303.293003427,120535.19905856866,931166.0,26.56852259792375
157,SACRAMENTO,CITY,8718589.160221219,8663667.144333046,12042240.675317766,14702330.436422868,14381719.905837977,14833045.362222759,13895696.38487273,17237273.63844498,16768402.0,54.751951567056004
159,SALINAS,CITY,1715158.7701065626,831736.5343388765,904895.4257352217,1337236.9970473442,1480243.8583856851,2056409.7765440177,2196046.904177545,2268181.4676532317,1805177.0,6.731658643322018
161,SAN BERNARDINO,COUNTY,7610095.077892231,5780452.272668271,8675357.266383925,9137466.668833628,6634701.322470541,6762051.860562401,8141755.535370431,8753796.799655126,8565501.0,10.455916904917412
162,SAN BRUNO,CITY,728583.6364258755,1362490.327652291,1023174.5265521103,1080159.8963655718,1201057.3149436542,1456726.2509885125,1520627.2265747383,1141555.5879485637,906661.0,16.48620395677564
163,SAN BUENAVENTURA,CITY,0.0,2126806.7012770376,1927888.8742128368,2603636.3482993715,3119340.719075003,2842634.3827930023,2971806.113552546,3564233.6756840697,3098222.0,118.99595740486875
165,SAN DIEGO,CITY,22422999.568260718,34272610.60711955,34778859.147632375,34848757.76656279,33382612.5668623,35550931.241001375,40670330.043076955,44342226.15114275,43009407.0,59.0735760787773
167,SAN FRANCISCO,CITY,33152175.05746896,44611341.42664884,48060754.83372464,40919022.947663195,42820606.479855895,44492969.60663645,36227255.024865404,34856055.079245105,35068780.0,4.683897132593913
168,SAN GABRIEL,CITY,422470.12662544067,816482.4543411413,930718.2566010036,979353.2665247365,1220829.940818591,1195554.6772927456,1304046.7815763713,979120.6880533005,935920.0,52.42744277522564
169,SAN JOSE,CITY,8283827.121321787,6117449.519085863,6547247.621595398,8131818.321319953,10853559.032339454,12491960.232072404,16088913.665025305,16039610.488329675,13499129.0,64.1345105436599
170,SAN LUIS OBISPO,CITY,0.0,0.0,1848808.2380310532,1945595.1700248376,2208477.511102579,2348723.725470506,2591326.5023988257,2490649.799531675,1995917.0,102.58644916221292
171,SAN MARCOS,CITY,1189379.7523061812,1668410.406491459,1601093.432122666,2249465.398114355,2092459.62519988,2582335.2131646164,2651673.736488249,2892762.3097046283,2173428.0,43.745871731065996
172,SAN MARINO,CITY,446335.644325795,416611.5402841538,511105.48585361254,414229.86981701135,684602.4969348192,886781.1585870414,854978.2522030027,788442.1277383744,836082.0,94.08938950886808
173,SAN MATEO,CITY,2576615.534607162,2549282.0261635757,2973609.267203819,2024416.6974477908,3390562.55412903,2432608.731949484,2768841.8652537535,3089019.148215701,138803.0,-120.42049137811127
174,SAN RAFAEL,CITY,3215963.1839520945,3654349.314624947,2972456.95218431,2445770.829012065,3157566.7890320113,2411834.0109163485,2891384.5065886094,2750137.984209919,3022302.0,-7.918206467051586
175,SANGER,CITY,142289.53983524424,260015.3085707815,236976.32736942873,260782.32154805362,375013.2895404127,315868.8587457866,164707.48116432768,378862.72720394103,353660.0,81.05244976347338
177,SANTA BARBARA,CITY,3656284.792830457,4308012.053003518,4347690.055825752,4256779.33168593,5104580.117344073,4730129.049465222,5177571.571605743,5693636.256197556,165275.0,-82.01058877646392
178,SANTA BARBARA,COUNTY,5987202.367739699,7061998.766230829,7189099.159334124,8202614.929985297,10113018.049895158,11330576.311895074,12243287.737157311,12541458.89415667,10083977.0,49.94473917438478
179,SANTA CLARA,CITY,498683.39240860846,751309.372496668,1751817.3341174554,1018180.8710208839,2248518.9391604816,2811167.119600678,4309501.745218669,3080637.986304642,3522636.0,296.99562166782914
181,SANTA CRUZ,CITY,806844.9859739752,898425.9824187915,615801.5361976675,1083979.5892259735,1410105.0226692604,1576237.086568309,1481479.7484497388,2030515.6620325197,1389176.0,53.721584780193524
182,SANTA FE SPRINGS,CITY,2981879.2571719447,3413171.3862513825,2599697.3101301957,2415929.276054339,2625884.7515874393,2667641.205023187,2972717.6842852486,2996081.1035255883,2482868.0,-20.65504409081555
183,SANTA MARIA,CITY,955956.1677388091,968335.1003336327,1427301.2808801627,1357091.4084803327,2166112.683550125,2280015.780227243,2445555.495173792,2411842.2390694013,2071175.0,82.17713451668004
184,SANTA MONICA,CITY,5419744.504354516,5133954.98776536,4995566.554952203,5817471.060877941,6557732.512009689,6958112.691134006,6978613.18317151,7517995.901237318,8292872.0,49.38791212846854
186,SANTA ROSA,CITY,2519610.1576294033,3655871.4934231746,4038884.994797324,3243512.1170164226,3584114.460026075,3928274.6692471467,4817529.292840242,5074451.448904251,5741243.0,99.32544495421982
187,SANTEE,CITY,1589694.8862402698,1531990.0033406797,1286488.385496036,2007194.0619550894,1590252.6177404996,1761395.529313728,1797679.0211284275,1806520.1505055614,1961771.0,18.53712706768935
188,SEASIDE,CITY,427723.31372950005,294545.4947690271,356383.5994625618,513325.89929288323,663373.701460233,613537.6004033216,612029.0071312011,798704.7749764044,601413.0,33.836143181117684
189,SELMA,CITY,64705.58092193884,62770.110486336765,82638.54598488133,19525.034468775342,190437.8602420923,453460.50829350814,547823.76372797,598314.3702166805,347352.0,1447.6103462458545
190,SHASTA,COUNTY,0.0,2939.6869256165232,7725.997845095876,4651.234704480941,5278.884459764489,0.0,5946.069504732377,15581.30489392968,1729.0,37.172925252176654
191,SIERRA MADRE,CITY,17371.205473483926,8667.622359469326,37033.20984130119,27366.36606599757,32428.357662108618,8017.808809743049,22105.068774477808,62793.5546679304,129520.0,409.80521219388277
