Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI
20200525ALORM,https://www.fox10tv.com/news/mpd-makes-arrest-in-overnight-robbery-and-shooting-in-school-parking-lot/article_711aa7e0-9fa6-11ea-ac6c-ef149a798701.html,,,3,2020-05-25,Spring,O Rourke Elementary School,Mobile,AL,Elementary,Parking Lot,Outside on School Property,No,Night,1:30 AM,Three adult males shot during robbery in school parking lot,"A group of three adult men met at 1:30 AM in the elementary school parking lot to carry out an unspecified transaction. While they were meeting, they were approached by two other men to robbed them. One of the two robbers fired multiple shots striking all three of the men then fled the scene. Police arrested a 19 year-old male but did not identify him as the shooter.",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,,No
20200522OHMIC,https://fox8.com/news/man-killed-in-shooting-near-miles-elementary-school-in-cleveland/,,,2,2020-05-22,Spring,Miles Elementary School,Cleveland,OH,Elementary,Beside Building,Outside on School Property,No,Night,1:30 AM,Adult man found dead outside of school from gunshot to chest,A 34 year-old male was found dead outside of the school with a gunshot wound to the chest. Police have not identified a suspect or motive.,Unknown,Victims Targeted,,No,No,No,No,No,,No,,No
20200519VAWEM,https://patch.com/virginia/manassas/suspect-manassas-area-school-shooting-arrested-police https://patch.com/virginia/manassas/gunshot-fired-manassas-school-after-argument-escalates-police,,,3,2020-05-19,Spring,West Gate Elementary School,Manassas,VA,Elementary,Beside Building,Outside on School Property,No,Not a School Day,2:40 PM,Teen fired shot at another group of teens during a dispute,An 18 year-old male was given a handgun by a person in his group and then fired at another group of males during a dispute outside of the school. Shooter fled the scene and was arrested the following day. Shooter held without bond on multiple felony charges. School was closed for COVID-19.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,<10,No
20200515NCSTC,https://abc11.com/nc-man-shoots-at-couple-after-mistaking-them-for-russian-mafia-/6196277/,,,2,2020-05-15,Spring,Stuart W Cramer High School,Cramerton,NC,High,Parking Lot,Outside on School Property,No,Night,,Couple confused with mafia members during drug deal,Couple came to school parking lot at night to see the school campus. They were unaware of a drug deal taking place in the parking lot. Adult male involved with the drug deal thought the couple were members of the Russian Mafia and fired shots at the vehicle. Bullets struck the windshield but did not hit the occupants. Shooter was later arrested and charged with two counts of attempted murder. FBI is investigating with local police. ,Illegal Activity,Random Shooting,,No,No,No,No,No,Yes,No,,No
20200505CAGOV,https://www.yourcentralvalley.com/news/crime/1-year-later-suspects-still-wanted-after-3-teens-killed-in-visalia-high-school-shooting/ https://kmph.com/news/local/three-found-shot-dead-at-golden-west-high-school-in-visalia https://www.nytimes.com/2020/05/06/us/golden-west-high-school-shooting.html,null,Regional,4,2020-05-05,Spring,Golden West High School,Visalia,CA,High,Parking Lot,Outside on School Property,No,Night,23:15:00,Three victims found dead in school parking lot,,Escalation of Dispute,null,null,No,No,No,No,No,null,No,null,No
20200413NEMOO,https://www.ketv.com/article/opd-investigating-after-18-year-old-reportedly-shot-in-middle-school-parking-lot/32132676 https://www.omaha.com/news/crime/18-year-old-shot-in-parking-lot-of-morton-middle-school/article_8b193c0c-18ef-5b54-bd7d-f1845ae11403.html,,,3,2020-04-13,Spring,Morton Middle School,Omaha,NE,Middle,Parking Lot,Outside on School Property,No,Not a School Day,10:15 AM,18YOM shot during fight in school parking lot,An 18 year-old male was shot during argument that escalated into shooting in the school parking lot. Driven to the hospital and notified police of the shooting from the hospital. School was closed due to COVID-19.,Escalation of Dispute,,,No,No,No,No,No,No,No,,No
20200330GANAS,https://www.11alive.com/article/news/crime/shooting-narvie-j-harris-elementary-school-parking-lot/85-c9d614da-8330-4b61-a094-f8d7968ff691 https://www.fox5atlanta.com/news/police-2-arrested-after-shooting-in-elementary-school-parking-lot https://www.ajc.com/news/crime--law/breaking-hospital-after-shooting-dekalb-elementary-school-parking-lot/7VJuNo9nNlnwSmGaa8NdPK/,,,4,2020-03-30,Spring,Narvie J. Harris Elementary School,Stonecrest,GA,Elementary,Parking Lot,Outside on School Property,No,Night,9:40 PM,Three people shot during fight in the school parking lot,Three people were shot and 2 suspects (names not released) were arrested following a fight in the parking lot of the school. School was closed for COVID-19.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,,No
20200324LAROM,https://www.knoe.com/content/news/Monroe-Police-investigating-parking-lot-shooting-at-Roy-Shelling-Elementary-School-569072391.html https://www.thenewsstar.com/story/news/crime/2020/03/25/mpd-arrests-roy-neal-shelling-elementary-parking-lot-shooting/5083688002/ https://www.myarklamiss.com/crime/monroe-police-investigating-shooting-at-roy-shelling-elementary-parking-lot/ https://www.hannapub.com/ouachitacitizen/news/crime/police-probe-rival-groups-shooting-at-monroe-school/article_d989642a-7449-11ea-a4bf-333d705e9435.html https://www.thenewsstar.com/story/news/crime/2020/04/08/suspect-school-parking-lot-shooting-faces-attempted-murder-charge/2974196001/,,,4,2020-03-24,Spring,Roy Shelling Elementary School,Monroe,LA,Elementary,Parking Lot,Outside on School Property,No,Not a School Day,4:12 PM,Male shot during fight between 20 people in school parking lot,"Multiple shots fired during fight between rival rappers and a group of 20 people in parking lot of the elementary school (closed for COVID-19). One male injured and transported to hospital. One person arrested later in connection and police looking for other suspects. “At some point during the fight multiple persons retrieve handguns and began shooting,” said Monroe Police Sgt. Charles “Chuck” Johnson. “It was a clear division among groups with persons from both sides firing upon each other.  There were several shots fired from both groups.”",Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,Yes,No,<10,No
20200318LABOS,https://www.ksla.com/2020/03/19/fight-leads-shooting-police-search-gunman/ https://www.ktbs.com/news/crime/teen-shot-at-shreveport-s-btw-high-school/article_92485794-69c5-11ea-b9d0-f78542daac93.html,,,4,2020-03-18,Spring,Booker T. Washington High School,Shreveport,LA,High,Parking Lot,Outside on School Property,No,Night,11:00 PM,Teen shot outside of school during fight,15YOM shot in the leg during a fight with another teen in the parking lot outside of the school. Shooter fled the scene and was not arrested. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1,No
20200315TXATH,https://abc13.com/teen-shot-during-argument-at-atascocita-high-school/6015648/ https://www.khou.com/article/news/crime/one-person-shot-during-argument-at-atascocita-hs-football-field/285-3abb11dd-c75a-41f8-adcc-4c674e805c34,,,4,2020-03-15,Spring,Atascocita High School,Humble,TX,High,Football Field/Track,Outside on School Property,No,Not a School Day,10:45 AM,19YOM former student shot during fight on school football field,20YOM (former student) shot another 19YOM (former student) during a fight on the high school football field. Victim was targeted and had prior disputes with shooter. Shooter chased down victim and shot him multiple times. 20-30 men had jumped the fence and were on the football field during the shooting. Shooter fled the scene and murder warrant was issued.,Escalation of Dispute,Victims Targeted,,No,No,No,No,No,No,No,<10,No
20200313TNPIR,https://www.wsmv.com/news/sro-accidentally-fires-gun-inside-elementary-school/article_37ac76fe-654b-11ea-88b9-3fd9db99f2ae.html,,,4,2020-03-13,Spring,Pine View Elementary,Rockwood,TN,Elementary,Office,Inside School Building,Yes,Morning Classes,,SRO discharged firearm inside his office in the school,SRO discharged firearm inside his office inside the elementary school. No students were inside the office during the shooting. Officer notified authorities and placed on administrative leave.,Accidental,Neither,No,No,No,Yes,N/A,N/A,N/A,N/A,1,N/A
20200310PASHN,https://www.wfmj.com/story/43620249/new-castle-man-awaits-sentencing-for-shooting-into-shenango-school-van https://www.ncnewsonline.com/news/local_news/man-who-shot-at-school-van-pleads-guilty/article_201eb8dc-8e90-5807-9b51-494b8d934485.html https://www.ncnewsonline.com/news/update-shenango-school-van-struck-by-bullet-one-in-custody/article_cdb90098-62d2-11ea-81b6-cf7f408fb362.html https://www.wpxi.com/news/top-stories/man-wearing-camo-suspected-shooting-school-van-woods-shenango-twp/R4K2OBISFFHM3D77SJ3BANFQOI/,5,Local,5,2020-03-10,Spring,Shenango Area Schools (bus),New Castle,PA,Elementary,School Bus,School Bus,Yes,School Start,08:43:00,Adult male fired shot breaking two windows of school van with elementary school students abroad,"41YOM fired rifle at school van (7 students inside) traveling along highway. Bullet broke window, traveled across van, and broke a second window on the opposite side. 15 bullets struck different parts of the school bus. None of the students were injured. Shooter was arrested by police hiding in a wooded area with a .22 rifle and .22 pistol. Benetas was dressed in a woodland camouflage ghillie suit, commonly used by military personnel for concealment evasion, overalls, gloves, a camo boonie hat, camo facemask and two tactical magazine pouches. Police said they found .22-caliber long rifle with a suppressor lying on the ground next to him. The rifle had a targeting scope and “bumpfire” buttstock, a device that allows a semiautomatic firearm to fire more than one shot with a single pull of the trigger. Officers also found a .22-caliber Walther PPK semi automatic handgun with eight live rounds in the magazine in a shoulder holster on Benetas.",Indiscriminate Shooting,null,No,No,No,No,No,No,No,No,1,No
20200305FLSAW,https://www.sun-sentinel.com/local/broward/weston/fl-ne-weston-sagemont-school-security-officer-shooting-20200306-vvd4lm6hp5addlohnmxaushnse-story.html https://www.local10.com/news/local/2020/03/06/school-security-guard-accidentally-shoots-coworker-in-face-at-weston-school-deputies-say/ https://www.campussafetymagazine.com/news/school-security-officer-gun-discharges-strikes-co-worker/,,,4,2020-03-05,Spring,Sagemont School,Weston,FL,K-12,Parking Lot,Outside on School Property,Yes,Lunch,12:20 PM,School security officer was showing off gun and accidentally shot another school employee,55YOM security officer was showing a handgun to a coworker in the school parking lot when he accidentally fired the weapon striking the other employee in the eye. The security officer drove the school employee to a health clinic and then drove home. Arrested after the health clinic notified police about the injury. The security guard was not authorized to carry the weapon at the school.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,No
20200302TXNOF,https://www.dallasnews.com/news/crime/2020/03/02/forney-school-on-lockdown-after-gun-went-off-kaufman-sheriffs-office-says/ https://www.nbcdfw.com/news/local/shooting-sends-kaufman-county-school-into-lockdown-2-in-custody-sheriff/2322717/ https://www.wfaa.com/article/news/crime/2-in-custody-after-gun-was-found-at-north-forney-high-school/287-77b70d70-3c52-4d84-81fd-2a3b9f507f31,,,4,2020-03-02,Spring,North Forney High School,Forney,TX,High,Inside School Building,Inside School Building,Yes,Morning Classes,11:00 AM,Accidental discharge showing off gun,Student accidentally fired handgun inside school. Police said there was no intent to harm or threat made. School locked down and student arrested.,Accidental,Neither,No,No,No,No,No,No,No,No,1,No
20200221NMCEA,https://www.abqjournal.com/1424911/apd-drive-by-sent-bullets-flying-into-abq-school.html,,,4,2020-02-21,Winter,Cesar Chavez Community School,Albuquerque,NM,Other,Front of School,Outside on School Property,Yes,Morning Classes,11:20 AM,Shots fired from vehicle struck school damaging screen inside classroom,"Multiple shots fired from one vehicle at another vehicle struck the occupied school building. One of the bullets went into a classroom and hit a large video screen, which stopped it, according to an Albuquerque Police Department report. Another bullet went into a wall, through an office and stopped inside a water heater closet. No injuries. Shooter fled.",Drive-by Shooting,Victims Targeted,,No,No,No,No,No,,No,,No
20200215DCDUW,https://www.washingtonpost.com/local/crime/man-fatally-shot-saturday-outside-dcs-dunbar-high-school-police-say/2020/02/16/230d4f12-50dc-11ea-929a-64efa7482a77_story.html https://www.wusa9.com/article/news/local/dc/man-killed-outside-dc-high-school/65-d46c93df-de43-45e7-b230-d1705f971613 https://wtop.com/dc/2020/02/dc-police-investigating-fatal-shooting-outside-dunbar-high-school/,,,4,2020-02-15,Winter,Dunbar High School,Washington,DC,High,Front of School,Outside on School Property,No,Sport Event,6:00 PM,Adult male shot and killed in front of school during basketball game,34YOM shot and killed by front doors of high school during high school basketball game. Shots were fired from dark SUV that fled the scene. No suspect identified.,Drive-by Shooting,,,No,No,No,No,No,,No,,No
20200212MOJOF,https://www.ksdk.com/article/news/crime/man-pleads-guilty-pointing-loaded-gun-students-ferguson-florissant/63-a81916ef-aacd-4fa5-8b74-3fb6ed1c833c https://www.kmov.com/news/dad-accused-of-forcing-his-way-on-school-bus-with/article_9905e14e-4e10-11ea-bc76-6b2f685351e4.html https://fox2now.com/2020/02/12/ferguson-florissant-district-administrators-respond-after-parent-pulls-gun-on-school-bus/,null,Local,4,2020-02-12,Winter,Johnson-Wabash Elementary School,Ferguson,MO,Elementary,School Bus,School Bus,Yes,School Start,08:00:00,Father pointed gun at students on school bus following fight between students,,Escalation of Dispute,Victims Targeted,No,No,No,No,null,No,No,No,0,No
20200205NHSEC,https://www.nhpr.org/post/report-student-fired-gun-concord-school-employee-killing-himself#stream/0 https://www.eagletribune.com/news/new_hampshire/one-student-dead-in-concord-alternative-high-school-shooting/article_5597252b-fee4-56a9-9f35-0ad82455a702.html  https://www.wmur.com/article/person-dies-from-apparent-suicide-at-new-hampshire-school-ag-says/30779029 https://www.wmur.com/article/person-dies-from-apparent-suicide-at-new-hampshire-school-ag-says/30779029#,2,Regional,4,2020-02-05,Winter,Second Start Alternative High School,Concord,NH,High,Classroom,Inside School Building,Yes,Morning Classes,10:00:00,Student fired shot at school employee then killed self,"A 17 year-old male student shot at a school employee, shot missed, and then he killed himself inside a classroom. He was alone at the time and no one else was injured. A group of students and staff were then led out of the building and moved to a nearby building. Many of these students have been identified as having learning and/or emotional handicaps that have interfered with their functioning effectively in a previous educational setting.",Suicide/Attempted,Victims Targeted,No,No,No,No,,No,No,No,1,No
20200204LABEA,https://www.brproud.com/news/teens-arrested-for-pointing-rifle-at-soccer-match/ https://www.arklatexhomepage.com/louisiana-network/teens-arrested-for-pointing-rifle-at-soccer-match/ https://www.katc.com/news/st-landry-parish/two-arrested-for-allegedly-bringing-weapon-on-beau-chene-high-campus,,,4,2020-02-04,Winter,Beau Chene High School,Arnaudville,LA,High,Parking Lot,Outside on School Property,No,Sport Event,6:00 PM,"17YOM pointed rifle at people in school parking lot during soccer game, arrested by SRO",17YOM took rifle out of vehicle in school parking lot and pointed it at people in the parking lot. Student reported this to SRO who arrested the shooter. Brother was also arrested. Neither were students. Police said they both had gang involvement.,Escalation of Dispute,Neither,Yes,No,No,No,No,No,Yes,No,1,No
20200203FLGEJ,https://www.actionnewsjax.com/news/local/jacksonville-police-investigating-shooting-elementary-school-no-students-or-staff-involved/IDQOHQDGDBH35PH62FCB2YJB6I/ https://www.wokv.com/news/local/shooting-near-jacksonville-elementary-school-rattles-parents/oNZdCm8QnUr3Efzp1NACyK/ https://www.firstcoastnews.com/article/news/crime/shell-casings-blood-trail-and-a-gold-bracelet-found-after-shooting-outside-florida-elementary-school/77-db509e14-f315-4997-9f1d-3285002f7ca3,,,4,2020-02-03,Winter,George Washington Carver Elementary School,Jacksonville,FL,Elementary,Parking Lot,Outside on School Property,No,Evening,5:30 PM,Drive-by shooting in school parking lot,Adult male was shot during drive-by shooting in school parking lot. Group of adult males ran from the shooting across the school playground. Vehicles in the school parking lot and the building were struck by bullets. School was placed on lockdown for 45 minutes. Victim attempted to gain entry to school but was denied access.,Drive-by Shooting,,Yes,No,No,No,No,No,,No,10,No
20200201TXHIH,https://abc13.com/shooting-at-hicks-elementary-leaves-man-injured/5897932/,,,3,2020-02-01,Winter,Hicks Elementary School,Houston,TX,Elementary,Outside on School Property,Outside on School Property,No,Not a School Day,,Adult male shot during robbery at the school,Adult male shot during robbery at the school. He was meeting the shooter to sell a pair of shoes. Shooter fled the area.,Illegal Activity,Victims Targeted,,No,No,No,No,No,No,No,1,No
20200131CADEA,https://abc7news.com/antioch-student-fighting-for-his-life-after-shooting-outside-high-school/5897744/ https://abc7news.com/5899287/ https://www.kron4.com/news/bay-area/family-heartbroken-after-teen-killed-in-antioch-shooting/ https://www.eastbaytimes.com/2020/02/14/parents-others-ask-antioch-school-trustees-to-ensure-safety-at-schools/ https://www.nbcbayarea.com/news/local/east-bay/antioch-police-seek-15-year-old-connected-to-deer-valley-high-homicide/2254464/,,,4,2020-01-31,Winter,Deer Valley High School,Antioch,CA,High,Parking Lot,Outside on School Property,No,Sport Event,8:45 PM,16YOM student shot during fight outside of school during basketball game,16YOM student shot 3 times and killed during a fight outside of a high school in the parking lot during a basketball game. Police said the fight was not related to the rivalry. Shooter fled the area.,Escalation of Dispute,,,No,No,No,No,No,No,No,,No
20200128TXLUL,https://www.cbs19.tv/article/news/local/lufkin-police-searching-for-2-suspects-in-shooting-investigation/501-e0d443bd-ae32-4dcd-81ef-479743b75e67 https://www.ktre.com/2020/01/29/lufkin-police-identify-victim-shooting-outside-middle-school/ https://www.ktre.com/2020/03/03/white-gloves-revolver-lead-attempted-murder-charge-shooting-near-lufkin-school/,,,4,2020-01-28,Winter,Lufkin Middle School,Lufkin,TX,High,Front of School,Outside on School Property,No,Sport Event,8:30 PM,17YOM student shot by two suspects in front of school during basketball game,Police officers assigned to the high school basketball game heard gunshots and found a 17YOM student shot in front of the school. Victim was seen talking to 2 unidentified males prior to the shooting who fled the area. Police said the shooting was not related to the rivalry basketball game. Shooter and victim were members of rival gang. Agreed to meet in front of school for fight when the shooting occured.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,Yes,No,<10,No
20200128TNWHM,https://wreg.com/2020/01/31/police-release-photos-of-suspects-vehicle-after-shooting-outside-white-station-high-school/ https://www.wmcactionnews5.com/2020/01/31/police-investigating-shooting-near-white-station-high-school/,,,4,2020-01-28,Winter,White Station High School,Memphis,TN,High,Parking Lot,Outside on School Property,No,Evening,,18YPM fired shots from vehicle following argument in school parking lot,18YOM fired 5 shots from vehicle following an argument in the school parking lot. Shots struck 2 other vehicles and an adult male victim was cut by broken glass. Police have not identified the 18YOM shooter who fled the scene in a vehicle.,Drive-by Shooting,Both,,No,No,No,No,No,No,No,5,No
20200128NYMAQ,https://www.amny.com/police-fire/teen-accidentally-shoots-self-outside-queens-high-school-campus-cops/ https://1010wins.radio.com/articles/teen-shot-outside-queens-high-school-police-seek-3,,,4,2020-01-28,Winter,Martin Van Buren High School,Queens,NY,High,Beside Building,Outside on School Property,Yes,Dismissal,2:45 PM,Student accidentally shot self during fight outside of school,16YOM student accidentally shot himself in the leg during a fight outside of the school. Other students involved in the fight fled the area. Student was taken to the hospital. School locked down.,Escalation of Dispute,,No,No,No,No,No,No,No,No,1,No
20200127WAROY,https://kimatv.com/news/local/police-yakima-teen-arrested-for-threatening-woman-girl-at-and-elementary-school,,,4,2020-01-27,Winter,Robertson Elementary School,Yakima,WA,Elementary,Playground,Outside on School Property,No,After School,3:30 PM,18YOM pointed gun at multiple students and parents on school playground then fled the area in a vehicle,"18YOM approached juvenile on school playground and asked him if he ""banged"". Shooter then pulled out a handgun and pointed it at the juvenile, pointed it at another juvenile film with her cell phone, and then a parent in a vehicle in the parking lot. According to court documents, the man then noticed the woman turned his attention away from the girl recording on her phone, pointed a gun at the woman calling 911, and then ran to a car with 4 other people inside and was then driven away. ",Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,Yes,No,0,No
20200123CAOXO,https://abc7.com/oxnard-police-respond-to-report-of-possible-shooting-victim-at-school/5873647/?fbclid=IwAR0p0mrpJe74HJ9aojEiuC8_Z-4mRTTFqQN2qAD-n7Q4RUEoxBPpUKdT0tg https://ktla.com/2020/01/23/elementary-school-in-oxnard-on-lockdown-after-person-possibly-shot-police/ https://keyt.com/news/2020/01/23/police-investigate-possible-shooting-victim-near-oxnard-elementary-school/,11-100,Regional,4,2020-01-23,Winter,Oxnard's Christa McAuliffe Elementary School,Oxnard,CA,Elementary,Playground,Outside on School Property,Yes,Lunch,11:30 AM,"Car-to-car shooting, a student was struck on the playground",A 9 year-old girl at an Oxnard elementary school was hospitalized after she was struck by a stray bullet from a nearby car-to-car shooting as she was playing on the playground. Victim was sent to the hospital with a wound in the lower extremities.,Drive-by Shooting,Random Shooting,,No,No,No,N/A,,Yes,No,,No
20200121NEPAL,https://www.klkntv.com/story/41605181/car-breakins-occur-at-a-lincoln-middle-school,,,4,2020-01-21,Winter,Park Middle School,Lincoln,NE,Middle,Parking Lot,Outside on School Property,No,Evening,5:45 PM,Shot vehicle windows in school parking lot during break-in,Multiple vehicle windows shot with BB gun during vehicle break-ins in school parking lot,Intentional Property Damage,Neither,,No,No,No,No,No,No,No,,No
20200121ILLIC,https://chicago.cbslocal.com/2020/01/22/lindblom-high-school-shooting-robbery-swim-team-members/,,,3,2020-01-21,Winter,Lindblom Math & Science Academy High School,Chicago,IL,High,Front of School,Outside on School Property,No,Sport Event,6:30 PM,Student shot during robbery after leaving swim meet at school,Two students (15YOM 17YOM) were leaving the school after a swim meet. Car pulled up in front of school and occupant demanded their property. Students ran from the vehicle and the 17YOM student was shot in the chest in front of the school. Shooter fled the area.,Illegal Activity,Victims Targeted,Yes,No,No,No,No,No,No,No,,No
