year,month_year,date,day_count
2022,2022-02,2022-02-18,798
2022,2022-02,2022-02-17,668
2022,2022-02,2022-02-16,910
2022,2022-02,2022-02-15,895
2022,2022-02,2022-02-14,1402
2022,2022-02,2022-02-13,974
2022,2022-02,2022-02-12,1195
2022,2022-02,2022-02-11,6122
2022,2022-02,2022-02-10,4210
2022,2022-02,2022-02-09,1694
2022,2022-02,2022-02-08,2533
2022,2022-02,2022-02-07,3856
2022,2022-02,2022-02-06,6217
2022,2022-02,2022-02-05,5693
2022,2022-02,2022-02-04,1769
2022,2022-02,2022-02-03,740
2022,2022-02,2022-02-02,768
2022,2022-02,2022-02-01,1025
2022,2022-01,2022-01-31,791
2022,2022-01,2022-01-30,674
2022,2022-01,2022-01-29,869
2022,2022-01,2022-01-28,1208
2022,2022-01,2022-01-27,1404
2022,2022-01,2022-01-26,740
2022,2022-01,2022-01-25,662
2022,2022-01,2022-01-24,659
2022,2022-01,2022-01-23,722
2022,2022-01,2022-01-22,883
2022,2022-01,2022-01-21,1026
2022,2022-01,2022-01-20,824
2022,2022-01,2022-01-19,824
2022,2022-01,2022-01-18,1039
2022,2022-01,2022-01-17,994
2022,2022-01,2022-01-16,1092
2022,2022-01,2022-01-15,833
2022,2022-01,2022-01-14,708
2022,2022-01,2022-01-13,587
2022,2022-01,2022-01-12,713
2022,2022-01,2022-01-11,676
2022,2022-01,2022-01-10,724
2022,2022-01,2022-01-09,734
2022,2022-01,2022-01-08,1049
2022,2022-01,2022-01-07,919
2022,2022-01,2022-01-06,781
2022,2022-01,2022-01-05,1038
2022,2022-01,2022-01-04,854
2022,2022-01,2022-01-03,790
2022,2022-01,2022-01-02,889
2022,2022-01,2022-01-01,801
2021,2021-12,2021-12-31,1496
2021,2021-12,2021-12-30,794
2021,2021-12,2021-12-29,893
2021,2021-12,2021-12-28,902
2021,2021-12,2021-12-27,771
2021,2021-12,2021-12-26,780
2021,2021-12,2021-12-25,944
2021,2021-12,2021-12-24,1434
2021,2021-12,2021-12-23,1077
2021,2021-12,2021-12-22,1246
2021,2021-12,2021-12-21,962
2021,2021-12,2021-12-20,705
2021,2021-12,2021-12-19,749
2021,2021-12,2021-12-18,738
2021,2021-12,2021-12-17,1419
2021,2021-12,2021-12-16,2001
2021,2021-12,2021-12-15,6720
2021,2021-12,2021-12-14,2673
2021,2021-12,2021-12-13,803
2021,2021-12,2021-12-12,763
2021,2021-12,2021-12-11,728
2021,2021-12,2021-12-10,740
2021,2021-12,2021-12-09,608
2021,2021-12,2021-12-08,722
2021,2021-12,2021-12-07,724
2021,2021-12,2021-12-06,829
2021,2021-12,2021-12-05,1055
2021,2021-12,2021-12-04,663
2021,2021-12,2021-12-03,659
2021,2021-12,2021-12-02,790
2021,2021-12,2021-12-01,770
2021,2021-11,2021-11-30,837
2021,2021-11,2021-11-29,1640
2021,2021-11,2021-11-28,1003
2021,2021-11,2021-11-27,929
2021,2021-11,2021-11-26,792
2021,2021-11,2021-11-25,939
2021,2021-11,2021-11-24,789
2021,2021-11,2021-11-23,904
2021,2021-11,2021-11-22,914
2021,2021-11,2021-11-21,1024
2021,2021-11,2021-11-20,906
2021,2021-11,2021-11-19,1044
2021,2021-11,2021-11-18,983
2021,2021-11,2021-11-17,899
2021,2021-11,2021-11-16,964
2021,2021-11,2021-11-15,892
2021,2021-11,2021-11-14,1112
2021,2021-11,2021-11-13,878
2021,2021-11,2021-11-12,1307
2021,2021-11,2021-11-11,1192
2021,2021-11,2021-11-10,888
2021,2021-11,2021-11-09,815
2021,2021-11,2021-11-08,835
2021,2021-11,2021-11-07,867
2021,2021-11,2021-11-06,937
2021,2021-11,2021-11-05,2222
2021,2021-11,2021-11-04,6272
2021,2021-11,2021-11-03,844
2021,2021-11,2021-11-02,801
2021,2021-11,2021-11-01,765
2021,2021-10,2021-10-31,787
2021,2021-10,2021-10-30,879
2021,2021-10,2021-10-29,878
2021,2021-10,2021-10-28,1261
2021,2021-10,2021-10-27,1862
2021,2021-10,2021-10-26,924
2021,2021-10,2021-10-25,921
2021,2021-10,2021-10-24,755
2021,2021-10,2021-10-23,772
2021,2021-10,2021-10-22,729
2021,2021-10,2021-10-21,650
2021,2021-10,2021-10-20,754
2021,2021-10,2021-10-19,745
2021,2021-10,2021-10-18,920
2021,2021-10,2021-10-17,768
2021,2021-10,2021-10-16,855
2021,2021-10,2021-10-15,825
2021,2021-10,2021-10-14,1047
2021,2021-10,2021-10-13,1046
2021,2021-10,2021-10-12,1330
2021,2021-10,2021-10-11,989
2021,2021-10,2021-10-10,972
2021,2021-10,2021-10-09,800
2021,2021-10,2021-10-08,811
2021,2021-10,2021-10-07,816
2021,2021-10,2021-10-06,788
2021,2021-10,2021-10-05,771
2021,2021-10,2021-10-04,981
2021,2021-10,2021-10-03,741
2021,2021-10,2021-10-02,656
2021,2021-10,2021-10-01,750
2021,2021-09,2021-09-30,800
2021,2021-09,2021-09-29,700
2021,2021-09,2021-09-28,754
2021,2021-09,2021-09-27,1207
2021,2021-09,2021-09-26,844
2021,2021-09,2021-09-25,696
2021,2021-09,2021-09-24,747
2021,2021-09,2021-09-23,886
2021,2021-09,2021-09-22,1148
2021,2021-09,2021-09-21,2654
2021,2021-09,2021-09-20,1904
2021,2021-09,2021-09-19,930
2021,2021-09,2021-09-18,959
2021,2021-09,2021-09-17,923
2021,2021-09,2021-09-16,1065
2021,2021-09,2021-09-15,1563
2021,2021-09,2021-09-14,1119
2021,2021-09,2021-09-13,822
2021,2021-09,2021-09-12,798
2021,2021-09,2021-09-11,738
2021,2021-09,2021-09-10,855
2021,2021-09,2021-09-09,1187
2021,2021-09,2021-09-08,987
2021,2021-09,2021-09-07,859
2021,2021-09,2021-09-06,848
2021,2021-09,2021-09-05,877
2021,2021-09,2021-09-04,835
2021,2021-09,2021-09-03,817
2021,2021-09,2021-09-02,823
2021,2021-09,2021-09-01,986
2021,2021-08,2021-08-31,1077
2021,2021-08,2021-08-30,982
2021,2021-08,2021-08-29,988
2021,2021-08,2021-08-28,1032
2021,2021-08,2021-08-27,1512
2021,2021-08,2021-08-26,3841
2021,2021-08,2021-08-25,919
2021,2021-08,2021-08-24,817
2021,2021-08,2021-08-23,1227
2021,2021-08,2021-08-22,723
2021,2021-08,2021-08-21,911
2021,2021-08,2021-08-20,817
2021,2021-08,2021-08-19,806
2021,2021-08,2021-08-18,860
2021,2021-08,2021-08-17,1015
2021,2021-08,2021-08-16,875
