year,month_year,date,day_count
2022,2022-02,2022-02-23,184567
2022,2022-02,2022-02-22,216675
2022,2022-02,2022-02-21,159522
2022,2022-02,2022-02-20,161228
2022,2022-02,2022-02-19,163997
2022,2022-02,2022-02-18,178845
2022,2022-02,2022-02-17,193784
2022,2022-02,2022-02-16,121723
2022,2022-02,2022-02-15,144771
2022,2022-02,2022-02-14,127715
2022,2022-02,2022-02-13,128955
2022,2022-02,2022-02-12,159516
2022,2022-02,2022-02-11,197398
2022,2022-02,2022-02-10,204169
2022,2022-02,2022-02-09,137481
2022,2022-02,2022-02-08,236664
2022,2022-02,2022-02-07,236671
2022,2022-02,2022-02-06,233284
2022,2022-02,2022-02-05,226500
2022,2022-02,2022-02-04,130432
2022,2022-02,2022-02-03,152842
2022,2022-02,2022-02-02,148950
2022,2022-02,2022-02-01,170923
2022,2022-01,2022-01-31,330565
2022,2022-01,2022-01-30,382835
2022,2022-01,2022-01-29,302008
2022,2022-01,2022-01-28,496546
2022,2022-01,2022-01-27,362615
2022,2022-01,2022-01-26,265346
2022,2022-01,2022-01-25,415835
2022,2022-01,2022-01-24,99819
2022,2022-01,2022-01-23,105121
2022,2022-01,2022-01-22,102468
2022,2022-01,2022-01-21,201947
2022,2022-01,2022-01-20,254966
2022,2022-01,2022-01-19,339504
2022,2022-01,2022-01-18,220309
2022,2022-01,2022-01-17,266663
2022,2022-01,2022-01-16,326475
2022,2022-01,2022-01-15,306242
2022,2022-01,2022-01-14,278618
2022,2022-01,2022-01-13,145482
2022,2022-01,2022-01-12,137984
2022,2022-01,2022-01-11,139253
2022,2022-01,2022-01-10,167511
2022,2022-01,2022-01-09,211817
2022,2022-01,2022-01-08,150191
2022,2022-01,2022-01-07,193508
2022,2022-01,2022-01-06,222790
2022,2022-01,2022-01-05,165351
2022,2022-01,2022-01-04,181068
2022,2022-01,2022-01-03,246437
2022,2022-01,2022-01-02,203891
2022,2022-01,2022-01-01,110671
2021,2021-12,2021-12-31,128908
2021,2021-12,2021-12-30,229775
2021,2021-12,2021-12-29,118902
2021,2021-12,2021-12-28,128262
2021,2021-12,2021-12-27,192979
2021,2021-12,2021-12-26,308648
2021,2021-12,2021-12-25,196618
2021,2021-12,2021-12-24,141376
2021,2021-12,2021-12-23,186835
2021,2021-12,2021-12-22,173207
2021,2021-12,2021-12-21,239046
2021,2021-12,2021-12-20,336385
2021,2021-12,2021-12-19,235206
2021,2021-12,2021-12-18,246230
2021,2021-12,2021-12-17,192644
2021,2021-12,2021-12-16,272839
2021,2021-12,2021-12-15,294473
2021,2021-12,2021-12-14,413829
2021,2021-12,2021-12-13,312242
2021,2021-12,2021-12-12,215990
2021,2021-12,2021-12-11,226441
2021,2021-12,2021-12-10,413652
2021,2021-12,2021-12-09,216755
2021,2021-12,2021-12-08,263593
2021,2021-12,2021-12-07,200483
2021,2021-12,2021-12-06,152716
2021,2021-12,2021-12-05,150764
