|name|address|city|state|zipcode|hours
133|Castaic Sports Complex|31320 N Castaic Rd|Castaic|CA|91384|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
134|Castelar Elementary School|840 Yale St|Los Angeles|CA|90012|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
135|Castlebay Ln Charter Elem Sch|19010 Castlebay Ln|Porter Ranch|CA|91326|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
136|Catalina Country Club|1 Country Club Dr|Avalon|CA|90704|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
137|Catholic Kolping House|1225 S Union Ave|Los Angeles|CA|90015|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
138|Cathy Hensel Youth Center|236 S George Hensel Dr|Montebello|CA|90640|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
139|Cedarcreek Elementary School|27792 Camp Plenty Rd|Santa Clarita|CA|91351|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
140|Centennial High School|2606 N Central Ave|Compton|CA|90222|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
141|Center Street Elementary|700 Center St|El Segundo|CA|90245|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
142|Centinela Bible Church|4475 W 137th St|Hawthorne|CA|90250|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
143|Centinela Elementary School|1123 Marlborough Ave|Inglewood|CA|90302|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
144|Central American Resource Center|2845 W 7th St|Los Angeles|CA|90005|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
145|Central Park Recreation Center|1357 E 22nd St|Los Angeles|CA|90011|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
146|Centro Estrella|4701 E Cesar E Chavez Ave|Los Angeles|CA|90222|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
147|Century Villages at Cabrillo|2220 W Williams St|Long Beach|CA|90810|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
148|Cerritos College|11110 Alondra Blvd|Norwalk|CA|90650|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
149|Cesar E Chavez Park|401 Golden Ave|Long Beach|CA|90802|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
150|Charles Kim Elementary School|225 S Oxford Ave|Los Angeles|CA|90004|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
151|Charles S Farnsworth Park|568 Mount Curve Ave E|Altadena|CA|91001|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
152|Cheremoya Avenue Elementary School|6017 Franklin Ave|Los Angeles|CA|90028|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
153|Chester W Nimitz Middle School|6021 Carmelita Ave|Huntington Park|CA|90255|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
154|Chevy Chase Branch Library|3301 E Chevy Chase Dr|Glendale|CA|91206|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
155|Chevy Chase Recreation Center|4165 Chevy Chase Dr|Los Angeles|CA|90039|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
156|Chinatown Library|639 N Hill St|Los Angeles|CA|90012|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
157|Christ Temple Church|3125 W 54th St|Los Angeles|CA|90043|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
158|Christ the Good Shepherd Church|3303 W Vernon Ave|Los Angeles|CA|90008|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
159|Christian Life Assembly|3250 E Lancaster Blvd|Lancaster|CA|93535|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
160|Christian Life Church|3400 Pacific Ave|Long Beach|CA|90807|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
161|Church of the Epiphany|2808 Altura|Los Angeles|CA|90031|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
162|Cienega Elementary School|2611 S Orange Dr|Los Angeles|CA|90016|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
163|Cimmaron Avenue Elementary School|11559 Cimarron Ave|Hawthorne|CA|90250|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
164|Citadel Outlets|100 Citadel Dr|Commerce|CA|90040|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
165|Citrus Valley Association of Realtors|504 E Route 66|Glendora|CA|91740|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
166|City of Walnut Senior Center|21215 La Puente Rd|Walnut|CA|91789|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
167|City Terrace Elementary School|4350 City Terrace Dr|Los Angeles|CA|90063|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
168|Clara Street Park|4835 Clara St|Cudahy|CA|90201|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
169|Claremont Cntr for Spiritual Living|509 S College Ave|Claremont|CA|91711|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
170|Claremont Helen Renwick Library|208 Harvard Ave N|Claremont|CA|91711|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
171|Claremont Joslyn Senior Center|660 N Mountain Ave|Claremont|CA|91711|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
172|Clark Building|861 Valley Dr|Hermosa Beach|CA|90254|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
173|Claude Pepper Senior Center|1762 S La Cienega Blvd|Los Angeles|CA|90035|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
174|Cleveland Elementary School|524 Palisade St|Pasadena|CA|91103|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
175|Cochran Avenue Baptist Church|1304 S Cochran Ave|Los Angeles|CA|90019|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
176|Coeur D'Alene Avenue Elementary|810 Coeur D Alene Ave|Venice|CA|90291|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
177|Col Leon H Washington Park|8908 S Maie Ave|Los Angeles|CA|90002|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
178|College Estates Park|808 Stevely Ave|Long Beach|CA|90815|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
179|College of the Canyons|26455 Rockwell Canyon Rd|Santa Clarita|CA|91355|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
180|Columbia Elementary School|3400 California Ave|El Monte|CA|91731|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
181|Columbus Elementary School|425 Milford St|Glendale|CA|91203|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
182|Columbus Middle School|22250 Elkwood St|Canoga Park|CA|91304|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
183|Commerce Senior Citizens Center|2555 Commerce Way|Commerce|CA|90040|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
184|Community Church of Los Angeles|10611 S Hoover St|Los Angeles|CA|90044|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
185|Compton Adult School|1104 E 148th St|Compton|CA|90220|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
186|Compton College|1111 E Artesia Blvd|Compton|CA|90221|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
187|Compton High School|601 S Acacia Ave|Compton|CA|90220|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
188|Compton Library|240 W Compton Blvd|Compton|CA|90220|February 22 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
189|Compton Neighborhood Center|600 N Alameda St|Compton|CA|90221|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
190|Cornerstone School at Pedregal|6069 Groveoak Pl|Rancho Palos Verdes|CA|90275|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
191|Cortada Elementary School|3111 Potrero Ave|El Monte|CA|91733|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
192|Cortez Park Comm & Senior Center|2501 E Cortez St|West Covina|CA|91791|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
193|Covenant Manor|600 E 4th St|Long Beach|CA|90802|February 29 - March 2: 8AM - 5PM<br>March 3: 7AM - 8PM
