,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
253,935,0,0,2,0,0,4,39,6,0,0
254,938,0,1,0,0,0,0,0,0,0,0
255,941,0,0,1,0,0,1,0,1,0,0
256,946,0,0,0,0,0,0,1,0,0,0
257,952,0,0,1,0,0,0,0,0,0,0
258,931,0,0,0,0,0,1,0,0,0,0
259,955,0,0,0,0,0,0,1,0,0,0
260,963,0,0,0,1,0,0,1,0,0,0
261,971,0,0,0,0,0,2,0,0,0,0
262,974,1,0,1,1,0,0,0,0,0,0
263,981,0,1,0,0,0,0,0,0,0,0
264,985,0,0,1,0,0,0,0,0,0,0
265,932,0,0,1,0,0,0,0,2,0,0
266,926,0,0,4,0,0,0,1,0,0,0
267,855,0,0,0,1,2,3,2,18,6,0
268,895,0,0,0,0,0,0,0,0,1,0
269,857,0,0,0,0,1,0,0,0,0,0
270,859,0,0,0,2,0,0,0,2,0,0
271,871,0,0,0,0,0,0,0,1,0,0
272,885,0,0,0,0,0,1,0,0,0,0
273,887,0,0,0,0,0,0,1,1,0,0
274,889,0,0,0,0,0,5,0,0,0,0
275,898,0,0,0,0,0,0,0,0,2,0
276,915,0,0,2,0,0,0,2,3,0,0
277,899,0,0,3,0,0,0,0,1,18,0
278,901,0,0,0,0,0,2,1,1,0,0
279,904,0,0,0,2,0,4,3,0,2,0
280,905,0,0,2,0,0,2,2,1,0,0
281,906,0,0,1,0,0,0,2,0,0,0
282,914,0,0,7,2,0,1,1,0,0,0
283,719,0,0,0,1,0,0,0,0,0,0
284,711,0,5,0,1,0,0,0,0,0,0
285,706,0,0,1,0,0,0,0,0,0,0
286,1999,0,0,0,0,0,0,0,1,0,0
287,461,0,0,1,0,0,0,0,0,0,0
288,463,0,0,0,0,0,0,0,1,0,0
289,497,0,0,1,0,0,0,1,0,0,0
290,499,0,0,0,0,0,0,1,0,0,0
291,501,61,0,0,0,0,0,0,0,0,0
292,504,4,0,0,0,0,0,0,0,0,0
293,506,39,0,0,0,0,0,0,0,1,0
