,id,total,year
1262,6196,1,2018
1263,6196,1,2013
1264,6202,2,2019
1265,6202,1,2011
1266,6201,1,2011
1267,6200,1,2013
1268,6207,1,2015
1269,6205,1,2015
1270,6211,1,2015
1271,6210,3,2015
1272,2143,1,2012
1273,6233,1,2018
1274,6239,3,2010
1275,6240,55,2010
1276,6240,5,2011
1277,6240,1,2016
1278,6240,1,2018
1279,2148,3,2018
1280,2148,1,2017
1281,6295,13,2011
1282,6295,8,2014
1283,6295,5,2014
1284,6295,2,2012
1285,6295,2,2017
1286,6295,1,2012
1287,6295,1,2017
1288,6295,1,2016
1289,6295,1,2018
1290,6295,1,2013
1291,6294,3,2013
1292,6294,3,2017
1293,6294,1,2011
1294,6294,1,2012
1295,6294,1,2016
1296,6294,1,2018
1297,6293,2,2013
1298,6293,1,2016
1299,6292,1,2013
1300,6299,2,2017
1301,6299,2,2018
1302,6299,1,2012
1303,6299,1,2016
1304,6298,2,2013
1305,6298,1,2017
1306,6297,4,2016
1307,6297,2,2018
1308,6297,1,2017
1309,6296,1,2017
1310,6296,1,2016
1311,6296,1,2013
1312,6296,1,2015
1313,6303,1,2010
1314,6303,1,2011
1315,6302,1,2016
1316,6301,1,2011
1317,6301,1,2017
1318,6300,3,2017
1319,6300,3,2016
1320,6300,1,2012
1321,6300,1,2013
1322,6300,1,2015
1323,6306,8,2019
1324,6306,2,2011
1325,6306,1,2012
1326,6306,1,2014
1327,6305,1,2015
1328,6310,1,2011
1329,6310,1,2011
1330,6310,1,2016
1331,6308,2,2013
1332,6315,1,2015
1333,6313,1,2013
1334,2245,1,2014
1335,2251,3,2012
1336,2250,2,2013
1337,2250,2,2012
1338,2249,1,2011
1339,2254,1,2012
1340,2254,1,2014
1341,6345,1,2010
1342,2253,4,2018
1343,2253,2,2019
1344,2253,1,2017
1345,6344,2,2019
1346,6351,17,2010
1347,6351,1,2017
1348,6349,1,2018
1349,6355,3,2016
1350,6354,8,2016
1351,6354,2,2017
1352,6354,1,2013
1353,6353,1,2010
1354,6353,1,2016
1355,6352,6,2016
1356,6352,1,2018
1357,6352,1,2019
1358,6356,1,2018
1359,6399,2,2011
