name,club,position,height_cm,foot,age,rating,position_second,height_inches
Marc-André Ter Stegen,Barcelona,Gk,187,Right,30,93,,73.62
Leon Goretzka,Bayern München,DM,189,Right,27,93,"M,AM(C)",74.41
Raphaël Varane,Manchester United,D(C),191,Right,29,93,,75.2
Tavares Fabinho,Liverpool,D,188,Right,29,93,"DM,M(C)",74.02
Rúben Dias,Manchester City,D(C),188,Right,25,93,,74.02
Andy Robertson,Liverpool,D,178,Left,28,93,"DM,M(L)",70.08
Ciro Immobile,SS Lazio,F(C),181,Right,32,93,,71.26
Hernández Rodri,Manchester City,DM,191,Right,26,93,M(C),75.2
Roberto Firmino,Liverpool,AM,181,Right,31,92,F(C),71.26
Sergej Milinković-Savić,SS Lazio,M,192,Right,27,92,AM(C),75.59
Diogo Jota,Liverpool,AM,178,Both,25,92,F(RLC),70.08
José María Giménez,Atlético Madrid,D(C),185,Right,27,92,,72.83
Georginio Wijnaldum,Paris Saint-Germain,DM,175,Right,32,92,"M,AM(C)",68.9
Luis Díaz,Liverpool,AM,180,Right,25,92,F(RL),70.87
Thomas Partey,Arsenal,DM,185,Right,29,92,M(C),72.83
Gabriel Jesus,Arsenal,AM(RL),175,Both,25,92,F(RLC),68.9
Phil Foden,Manchester City,M(C),171,Left,22,92,"AM,F(RLC)",67.32
Lucas Hernández,Bayern München,D(LC),184,Left,26,92,DM(L),72.44
Keylor Navas,Paris Saint-Germain,Gk,185,Right,35,92,,72.83
Marco Reus,Borussia Dortmund,AM,180,Both,33,92,F(RLC),70.87
Frello Jorginho,Chelsea,DM,180,Both,30,92,M(C),70.87
Sergio Busquets,Barcelona,DM,189,Right,34,92,M(C),74.41
Dani Parejo,Villarreal CF,DM,180,Right,33,92,M(C),70.87
Ángel di María,Juventus,AM(RLC),180,Left,34,92,F(RL),70.87
Leroy Sanè,Bayern München,AM(RLC),184,Left,26,92,F(RL),72.44
Kingsley Coman,Bayern München,M,178,Right,26,92,"AM,F(RL)",70.08
Riyad Mahrez,Manchester City,AM(RC),178,Left,31,92,F(R),70.08
Stefan de Vrij,Internazionale,D(C),189,Right,30,92,,74.41
Matthijs de Ligt,Bayern München,D(C),189,Both,23,92,,74.41
Mason Mount,Chelsea,M(C),178,Right,23,92,AM(RLC),70.08
Jamie Vardy,Leicester City,F(C),178,Both,35,92,,70.08
Daniel Carvajal,Real Madrid,D,173,Right,30,92,"DM,M(R)",68.11
Harry Maguire,Manchester United,D(C),194,Right,29,92,,76.38
Samir Handanovič,Internazionale,Gk,193,Right,38,92,,75.98
Jordi Alba,Barcelona,D,170,Left,33,92,"DM,M(L)",66.93
Memphis Depay,Barcelona,AM,177,Right,28,92,F(RLC),69.69
Theo Hernández,AC Milan,D,184,Left,25,92,"DM,M(L)",72.44
Kyle Walker,Manchester City,D(RC),178,Right,32,92,"DM,M(R)",70.08
Jules Koundé,Barcelona,D(RC),178,Right,24,92,,70.08
Federico Chiesa,Juventus,M,175,Right,25,92,"AM(RL),F(RLC)",68.9
Achraf Hakimi,Paris Saint-Germain,D,180,Right,24,92,"DM,M,AM(RL)",70.87
Christopher Nkunku,RB Leipzig,M,175,Right,25,92,"AM,F(RLC)",68.9
Marcus Rashford,Manchester United,AM(RL),185,Right,25,92,F(RLC),72.83
Sergio Ramos,Paris Saint-Germain,D(C),183,Right,36,92,,72.05
Marcelo Brozović,Internazionale,DM,181,Both,30,92,"M,AM(C)",71.26
Mateo Kovačić,Chelsea,DM,181,Both,28,92,M(C),71.26
Alessandro Bastoni,Internazionale,D(C),190,Left,23,92,,74.8
Jordan Henderson,Liverpool,DM,187,Right,32,92,M(C),73.62
Mikel Oyarzabal,Real Sociedad,AM(RLC),180,Left,25,92,F(RL),70.87
Federico Valverde,Real Madrid,D(R),182,Right,24,92,"DM,M,AM(RC)",71.65
Lautaro Martínez,Internazionale,AM,174,Right,25,92,F(C),68.5
Gianluigi Donnarumma,Paris Saint-Germain,Gk,196,Right,23,92,,77.17
Wojciech Szczęsny,Juventus,Gk,196,Right,32,92,,77.17
Antonio Rüdiger,Real Madrid,D(C),190,Right,29,92,,74.8
Reece James,Chelsea,D(RC),182,Right,22,92,"DM,M(R)",71.65
Édouard Mendy,Chelsea,Gk,197,Right,30,92,,77.56
Pierre-Emerick Aubameyang,Chelsea,AM(RL),187,Both,33,92,F(RLC),73.62
Leonardo Bonucci,Juventus,D(C),190,Right,35,92,,74.8
Marcos Llorente,Atlético Madrid,D(R),182,Right,27,92,"DM,M,AM(RC)",71.65
Aymeric Laporte,Manchester City,D(LC),191,Left,28,92,,75.2
Mats Hummels,Borussia Dortmund,D(C),191,Right,33,92,,75.2
Stefan Savić,Atlético Madrid,D(C),187,Right,31,92,,73.62
Paul Pogba,Juventus,DM(C),191,Both,29,92,"M,AM(LC)",75.2
Thiago Silva,Chelsea,D(C),183,Right,38,92,,72.05
Luis Alberto,SS Lazio,M,182,Right,30,92,AM(C),71.65
Nicolò Barella,Internazionale,DM,172,Right,25,92,"M,AM(C)",67.72
Milan Skriniar,Internazionale,D(C),186,Right,27,92,,73.23
Hugo Lloris,Tottenham Hotspur,Gk,188,Left,35,92,,74.02
Antoine Griezmann,Atlético Madrid,AM,176,Left,31,92,F(RLC),69.29
Timo Werner,RB Leipzig,AM(RL),180,Both,26,92,F(RLC),70.87
Gerard Moreno,Villarreal CF,AM(RL),177,Left,30,92,F(RLC),69.69
Alphonso Davies,Bayern München,D,181,Left,22,92,"DM,M,AM(L)",71.26
Jadon Sancho,Manchester United,AM(RLC),180,Right,22,92,F(RL),70.87
Éder Militão,Real Madrid,D(RC),186,Right,24,92,,73.23
Joël Matip,Liverpool,D(C),195,Right,31,92,,76.77
Ivan Rakitić,Sevilla,DM,184,Right,34,91,"M,AM(C)",72.44
Duván Zapata,Atalanta BC,F(C),189,Right,31,91,,74.41
Hakim Ziyech,Chelsea,AM(RLC),181,Left,29,91,F(RL),71.26
Jack Grealish,Manchester City,AM(LC),175,Right,27,91,F(L),68.9
Manuel Locatelli,US Sassuolo,DM,185,Right,24,91,M(C),72.83
Álvaro Morata,Atlético Madrid,AM(L),187,Right,30,91,F(LC),73.62
Andrade Richarlison,Tottenham Hotspur,AM(RL),184,Right,25,91,F(RLC),72.44
Mike Maignan,AC Milan,Gk,191,Right,27,91,,75.2
Olivier Giroud,AC Milan,F(C),192,Left,36,91,,75.59
Pau Torres,Villarreal CF,D(C),192,Left,25,91,,75.59
Sandro Tonali,AC Milan,DM,182,Right,22,91,M(C),71.65
Gonzalez Pedri,Barcelona,M(C),174,Both,19,91,AM(RLC),68.5
Patrik Schick,Bayer Leverkusen,F(C),191,Left,26,91,,75.2
Dušan Vlahović,Juventus,F(C),190,Left,22,91,,74.8
Presnel Kimpembe,Paris Saint-Germain,D(C),183,Left,27,91,,72.05
Ferland Mendy,Real Madrid,D,180,Left,27,91,"DM,M(L)",70.87
Joan Jordán,Sevilla,DM,184,Right,28,91,"M,AM(C)",72.44
Matthias Ginter,SC Freiburg,D(C),190,Right,28,91,,74.8
Denis Zakaria,Juventus,D,191,Right,25,91,"DM,M(C)",75.2
André Onana,Internazionale,Gk,190,Right,26,91,,74.8
Rafael Leão,AC Milan,AM,186,Right,23,91,F(LC),73.23
Christian Pulisic,Chelsea,M(RL),179,Both,24,91,"AM,F(RLC)",70.47
Julian Brandt,Borussia Dortmund,M(C),183,Right,26,91,AM(RLC),72.05
Mikel Merino,Real Sociedad,DM,188,Left,26,91,"M,AM(C)",74.02
Eden Hazard,Real Madrid,AM,173,Both,31,91,F(RLC),68.11
João Moutinho,Wolverhampton Wanderers,DM,171,Right,36,91,"M,AM(C)",67.32
John Stones,Manchester City,D(RC),188,Right,28,91,,74.02
Kasper Schmeichel,OGC Nice,Gk,189,Right,36,91,,74.41
Péter Gulácsi,RB Leipzig,Gk,190,Right,32,91,,74.8
Rui Patrício,AS Roma,Gk,190,Left,34,91,,74.8
Ángel Correa,Atlético Madrid,AM,171,Right,27,91,F(RC),67.32
Nabil Fekir,Real Betis,AM(RLC),173,Left,29,91,,68.11
Belloli Raphinha,Barcelona,AM(RLC),176,Left,25,91,F(RL),69.29
Giovanni di Lorenzo,SSC Napoli,D(RC),187,Right,29,91,"DM,M(R)",73.62
Wilfred Ndidi,Leicester City,D,184,Right,25,91,"DM,M(C)",72.44
James Maddison,Leicester City,M(C),179,Right,25,91,AM(RLC),70.47
Lucas Digne,Aston Villa,D,175,Left,29,91,"DM,M(L)",68.9
Robin Gosens,Internazionale,D,181,Left,28,91,"DM,M(L)",71.26
Sergio Canales,Real Betis,M(C),179,Left,31,91,AM(RLC),70.47
David de Gea,Manchester United,Gk,192,Right,32,91,,75.59
Dušan Tadić,Ajax,AM,181,Left,33,91,F(RLC),71.26
Josè Gaya,Valencia CF,D,172,Left,27,91,"DM,M(L)",67.72
Tomáš Souček,West Ham United,DM,190,Right,27,91,M(C),74.8
Kai Havertz,Chelsea,M(C),189,Left,23,91,"AM,F(RC)",74.41
Alex Sandro,Juventus,D(LC),180,Left,31,91,"DM,M(L)",70.87
Carlos Soler,Paris Saint-Germain,M(C),183,Right,25,91,AM(RLC),72.05
Franck Kessié,Barcelona,DM,183,Right,25,91,"M,AM(C)",72.05
Víctor Osimhen,SSC Napoli,F(C),186,Right,23,91,,73.23
Édinson Cavani,Valencia CF,F(C),184,Right,35,91,,72.44
Edin Džeko,Internazionale,F(C),193,Both,36,91,,75.98
Philippe Coutinho,Aston Villa,M(C),171,Right,30,91,AM(RLC),67.32
Daley Blind,Ajax,D(LC),180,Left,32,91,DM(C),70.87
Wissam Ben Yedder,AS Monaco,F(C),170,Both,32,91,,66.93
Adrien Rabiot,Juventus,DM(C),188,Left,27,91,M(LC),74.02
Ivan Perišić,Tottenham Hotspur,M,186,Both,33,91,AM(RL),73.23
Raphaël Guerreiro,Borussia Dortmund,D,170,Left,28,91,"DM(L),M(LC)",66.93
Zlatan Ibrahimović,AC Milan,F(C),195,Both,41,91,,76.77
Christian Eriksen,Manchester United,M(C),182,Both,30,91,AM(RLC),71.65
Jude Bellingham,Borussia Dortmund,DM(C),185,Right,19,91,"M,AM(RLC)",72.83
Juan Cuadrado,Juventus,D,178,Right,34,91,"DM(R),M,AM(RC)",70.08
Axel Witsel,Atlético Madrid,D,186,Right,33,91,"DM,M(C)",73.23
Ousmane Dembélé,Barcelona,AM(RL),178,Both,25,91,F(RLC),70.08
Niklas Süle,Borussia Dortmund,D(RC),195,Right,27,91,,76.77
Dayot Upamecano,Bayern München,D(C),185,Right,24,91,,72.83
Luis Suárez,Nacional,F(C),182,Right,35,91,,71.65
Lorenzo Insigne,Toronto FC,AM,163,Right,31,91,F(LC),64.17
Saúl Níguez,Atlético Madrid,DM,184,Left,27,91,"AM(C),M(RLC)",72.44
Youri Tielemans,Leicester City,DM,177,Both,25,91,"M,AM(C)",69.69
Kieran Trippier,Newcastle United,D,177,Right,32,91,"DM,M(RL)",69.69
Bukayo Saka,Arsenal,M,178,Left,21,91,"AM,F(RL)",70.08
Cristian Romero,Tottenham Hotspur,D(C),185,Right,24,91,,72.83
Luke Shaw,Manchester United,D(LC),185,Left,27,91,"DM,M(L)",72.83
Domenico Berardi,US Sassuolo,AM(R),185,Left,28,91,F(RC),72.83
Rúben Neves,Wolverhampton Wanderers,DM,180,Right,25,91,M(C),70.87
Andrea Belotti,AS Roma,F(C),181,Right,28,91,,71.26
Benjamin Pavard,Bayern München,D(RC),186,Right,26,91,DM(R),73.23
Moussa Diaby,Bayer Leverkusen,AM,170,Left,23,91,F(RL),66.93
Fabián Ruiz,Paris Saint-Germain,DM,189,Left,26,91,"AM(C),M(RLC)",74.41
Rodrigo de Paul,Atlético Madrid,M(C),180,Both,28,91,AM(RLC),70.87
Lucas Paquetá,West Ham United,M(C),180,Left,25,91,"AM,F(RC)",70.87
Declan Rice,West Ham United,D,185,Right,23,91,"DM,M(C)",72.83
Marco Asensio,Real Madrid,AM(RLC),182,Left,26,91,F(RL),71.65
Rodrigo Bentancur,Tottenham Hotspur,DM,185,Right,25,91,M(C),72.83
Martin Odegaard,Arsenal,M(C),178,Left,23,91,AM(RLC),70.08
Emiliano Martínez,Aston Villa,Gk,195,Right,30,91,,76.77
Marcel Sabitzer,Bayern München,M,177,Right,28,91,AM(RLC),69.69
Lucas Ocampos,Sevilla,M,187,Both,28,91,AM(RL),73.62
Lukas Klostermann,RB Leipzig,D(RC),185,Right,26,91,"DM,M(R)",72.83
Diego Carlos,Aston Villa,D(C),186,Right,29,91,,73.23
Jesús Navas,Sevilla,D,170,Right,36,91,"DM,M,AM(R)",66.93
Aurélien Tchouameni,Real Madrid,DM,185,Right,22,91,M(C),72.83
Hakan Çalhanoğlu,Internazionale,M(C),178,Right,28,91,AM(LC),70.08
Papu Gómez,Sevilla,AM,167,Right,34,91,F(LC),65.75
Piotr Zielinski,SSC Napoli,M(C),180,Both,28,91,AM(RLC),70.87
André Silva,RB Leipzig,F(C),182,Right,27,91,,71.65
João Félix,Atlético Madrid,AM,180,Both,23,91,F(RLC),70.87
Lorenzo Pellegrini,AS Roma,DM,186,Both,26,91,"M(C),AM(LC)",73.23
Yannick Carrasco,Atlético Madrid,M,181,Right,29,91,AM(RL),71.26
David Silva,Real Sociedad,M(C),170,Left,36,90,AM(RLC),66.93
Emre Can,Borussia Dortmund,D,185,Both,28,90,"DM,M(C)",72.83
Iñigo Martínez,Athletic Club,D(C),182,Left,31,90,,71.65
André Zambo Anguissa,SSC Napoli,DM,184,Right,27,90,M(C),72.44
Conor Coady,Wolverhampton Wanderers,D,185,Right,29,90,DM(C),72.83
James Rodríguez,Olympiacos,M(C),180,Left,31,90,AM(RLC),70.87
Wilfried Zaha,Crystal Palace,AM(RL),180,Right,30,90,F(RLC),70.87
Anthony Lopes,Olympique Lyonnais,Gk,184,Left,32,90,,72.44
Sergio Reguilón,Tottenham Hotspur,D,180,Left,25,90,"DM,M(L)",70.87
Marc Cucurella,Chelsea,D(LC),172,Left,24,90,"DM,M(L)",67.72
Renato Sanches,Paris Saint-Germain,M(C),176,Right,25,90,AM(RLC),69.29
Naby Keïta,Liverpool,DM,172,Right,27,90,"M,AM(C)",67.72
Ben Chilwell,Chelsea,D,178,Left,25,90,"DM,M(L)",70.08
Alexander Isak,Newcastle United,F(C),192,Right,23,90,,75.59
Abdoulaye Doucouré,Everton,DM,182,Right,29,90,"M,AM(C)",71.65
Sébastien Haller,Borussia Dortmund,F(C),190,Right,28,90,,74.8
Martin Terrier,Stade Rennais,AM(RL),184,Right,25,90,F(RLC),72.44
Dimitri Payet,Olympique Marseille,AM,175,Both,35,90,F(RLC),68.9
Nikola Milenković,ACF Fiorentina,D(RC),195,Right,25,90,,76.77
Kalvin Phillips,Manchester City,D,178,Right,26,90,"DM,M(C)",70.08
Jan Vertonghen,RSC Anderlecht,D(LC),189,Left,35,90,,74.41
Renan Lodi,Atlético Madrid,D,178,Left,24,90,"DM,M(L)",70.08
Eduardo Camavinga,Real Madrid,DM,182,Left,20,90,M(C),71.65
Ferreira Pepe,FC Porto,D(C),188,Right,39,90,,74.02
Goes Rodrygo,Real Madrid,AM(RL),175,Right,21,90,F(RLC),68.9
Bruno Guimarães,Newcastle United,DM,182,Right,25,90,M(C),71.65
Filip Kostić,Juventus,M,184,Left,30,90,AM(RL),72.44
Thomas Lemar,Atlético Madrid,M(C),170,Left,27,90,AM(RLC),66.93
Santos Antony,Manchester United,AM,175,Left,22,90,F(RL),68.9
Yussuf Poulsen,RB Leipzig,AM(RL),192,Right,28,90,F(RLC),75.59
Ben White,Arsenal,D(RC),182,Right,25,90,DM(C),71.65
Denzel Dumfries,Internazionale,D,189,Right,26,90,"DM,M(R)",74.41
Alassane Pléa,Borussia Mönchengladbach,AM(RL),181,Right,29,90,F(RLC),71.26
Pierre-Emile Höjbjerg,Tottenham Hotspur,DM,185,Right,27,90,M(C),72.83
Marten de Roon,Atalanta BC,D,185,Right,31,90,"DM,M(C)",72.83
Guido Rodríguez,Real Betis,DM,185,Right,28,90,M(C),72.83
Aaron Wan-Bissaka,Manchester United,D,183,Right,24,90,"DM,M(R)",72.05
Giovani Lo Celso,Tottenham Hotspur,M(C),177,Left,26,90,AM(RLC),69.69
Marcus Thuram,Borussia Mönchengladbach,AM(RL),189,Right,25,90,F(RLC),74.41
Henrikh Mkhitaryan,Internazionale,M(C),177,Both,33,90,AM(RLC),69.69
Moussa Dembélé,Olympique Lyonnais,F(C),183,Right,26,90,,72.05
David Neres,SL Benfica,AM,177,Left,25,90,F(RL),69.69
Edmond Tapsoba,Bayer Leverkusen,D(C),190,Right,23,90,,74.8
Nélson Semedo,Wolverhampton Wanderers,D(RL),177,Right,29,90,"DM,M(R)",69.69
Eric Dier,Tottenham Hotspur,D,191,Both,28,90,DM(C),75.2
Kevin Volland,AS Monaco,AM,179,Left,30,90,F(RLC),70.47
Thomas Meunier,Borussia Dortmund,D,191,Right,31,90,"DM,M(R)",75.2
Davide Calabria,AC Milan,D,176,Right,25,90,"DM,M(R)",69.29
Jonathan Bamba,Lille OSC,AM,175,Right,26,90,F(RL),68.9
Yann Sommer,Borussia Mönchengladbach,Gk,183,Right,33,90,,72.05
Idrissa Gueye,Everton,DM,174,Right,33,90,M(C),68.5
Donny van de Beek,Manchester United,M,183,Right,25,90,AM(C),72.05
Hirving Lozano,SSC Napoli,AM(RL),177,Right,27,90,F(RLC),69.69
Dries Mertens,Galatasaray SK,AM,169,Right,35,90,F(LC),66.54
Luis Muriel,Atalanta BC,AM(RL),179,Right,31,90,F(RLC),70.47
Gareth Bale,Los Angeles FC,AM,183,Left,33,90,F(RLC),72.05
Kerem Demirbay,Bayer Leverkusen,DM,185,Left,29,90,"M,AM(C)",72.83
Alex Telles,Manchester United,D,179,Left,29,90,"DM,M(L)",70.47
Monteiro Otávio,FC Porto,M,171,Right,27,90,AM(RLC),67.32
Leandro Paredes,Paris Saint-Germain,DM,180,Right,28,90,M(C),70.87
Hans Hateboer,Atalanta BC,D(RC),185,Right,28,90,"DM,M(R)",72.83
Matteo Politano,SSC Napoli,AM,171,Left,29,90,F(RL),67.32
Mario Hermoso,Atlético Madrid,D(LC),184,Left,27,90,,72.44
Luiz Danilo,Juventus,D,184,Right,31,90,DM(RLC),72.44
Joaquín Correa,Internazionale,AM,188,Right,28,90,F(C),74.02
Álex Grimaldo,SL Benfica,D,171,Left,27,90,"DM,M(L)",67.32
Granit Xhaka,Arsenal,DM,185,Left,30,90,M(C),72.83
Dani Olmo,RB Leipzig,M(C),179,Right,24,90,AM(RLC),70.47
Joe Gomez,Liverpool,D(RC),188,Right,25,90,,74.02
Michail Antonio,West Ham United,AM(RL),182,Right,32,90,F(RLC),71.65
Houssem Aouar,Olympique Lyonnais,M,175,Right,24,90,AM(LC),68.9
Willi Orban,RB Leipzig,D(C),186,Right,30,90,,73.23
Iñaki Williams,Athletic Club,AM(RL),186,Right,28,90,F(RLC),73.23
Konrad Laimer,RB Leipzig,D(R),179,Right,25,90,"DM,M(RC)",70.47
Charles Aránguiz,Bayer Leverkusen,DM,171,Right,33,90,M(C),67.32
Gonçalo Guedes,Wolverhampton Wanderers,AM,179,Right,25,90,F(RLC),70.47
William Carvalho,Real Betis,DM,187,Right,30,90,M(C),73.62
Andreas Christensen,Barcelona,D(C),186,Right,26,90,,73.23
Ferrán Torres,Barcelona,AM(RL),180,Right,22,90,F(RLC),70.87
Emil Forsberg,RB Leipzig,AM,179,Right,31,90,F(LC),70.47
Alexis Sánchez,Olympique Marseille,AM,169,Right,33,90,F(RLC),66.54
Timothy Castagne,Leicester City,D,187,Right,26,90,"DM,M(RL)",73.62
Rodrigues Fred,Manchester United,DM,169,Left,29,90,M(C),66.54
Unai Simón,Athletic Club,Gk,189,Right,25,90,,74.41
Arkadiusz Milik,Olympique Marseille,AM,189,Left,28,90,F(C),74.41
Raúl Jiménez,Wolverhampton Wanderers,F(C),190,Right,31,90,,74.8
Nicolás Tagliafico,Olympique Lyonnais,D(LC),172,Left,30,90,"DM,M(L)",67.72
Mario Pašalić,Atalanta BC,M(C),188,Both,27,90,"AM,F(LC)",74.02
Ante Rebić,AC Milan,AM,182,Right,29,90,F(LC),71.65
James Ward-Prowse,Southampton,D(R),173,Right,28,90,"DM,M,AM(RC)",68.11
Oleksandr Zinchenko,Arsenal,D,175,Left,25,90,"DM(L),M,AM(LC)",68.9
Jonathan Tah,Bayer Leverkusen,D(C),193,Both,26,90,,75.98
Marcos Acuña,Sevilla,D,175,Left,31,90,"DM,M,AM(L)",68.9
Jarrod Bowen,West Ham United,AM,174,Left,25,90,F(RC),68.5
Dominic Calvert-Lewin,Everton,F(C),187,Right,25,90,,73.62
Fikayo Tomori,AC Milan,D(C),185,Right,24,90,,72.83
Ismaël Bennacer,AC Milan,DM,175,Left,24,90,M(C),68.9
Berat Djimsiti,Atalanta BC,D(C),190,Right,29,90,,74.8
Mauro Icardi,Paris Saint-Germain,F(C),181,Right,29,90,,71.26
Nico Elvedi,Borussia Mönchengladbach,D(C),189,Right,26,90,,74.41
Gianluca Mancini,AS Roma,D,190,Right,26,90,DM(C),74.8
Pablo Sarabia,Paris Saint-Germain,AM,181,Left,30,90,F(RLC),71.26
Dejan Kulusevski,Juventus,M(R),186,Left,22,90,"AM,F(RC)",73.23
Lisandro Martínez,Manchester United,D(LC),175,Left,24,90,DM(C),68.9
Anthony Martial,Manchester United,AM(RL),181,Right,26,90,F(RLC),71.26
Davinson Sánchez,Tottenham Hotspur,D(C),188,Right,26,90,,74.02
Yassine Bounou,Sevilla,Gk,190,Left,31,90,,74.8
Leonardo Spinazzola,AS Roma,D,186,Right,29,90,"DM,M(RL)",73.23
Geoffrey Kondogbia,Atlético Madrid,D,188,Left,29,90,"DM,M(C)",74.02
José Fonte,Lille OSC,D(C),187,Right,38,90,,73.62
Alexandre Lacazette,Olympique Lyonnais,AM,176,Right,31,90,F(C),69.29
Tanguy Ndombélé,Tottenham Hotspur,DM,181,Right,25,90,"M,AM(C)",71.26
Miralem Pjanić,Al Sharjah,DM,180,Both,32,90,"M,AM(C)",70.87
Jordan Pickford,Everton,Gk,185,Left,28,90,,72.83
Yves Bissouma,Tottenham Hotspur,DM,181,Right,26,90,"M,AM(C)",71.26
Corentin Tolisso,Olympique Lyonnais,DM,181,Right,28,90,"M,AM(C)",71.26
Ruslan Malinovskyi,Atalanta BC,M(C),181,Left,29,90,"AM,F(RC)",71.26
Remo Freuler,Nottingham Forest,DM,181,Right,30,90,M(C),71.26
Manuel Akanji,Manchester City,D(C),187,Right,27,90,,73.62
Gabriel Magalhães,Arsenal,D(C),190,Left,24,90,,74.8
Kurt Zouma,West Ham United,D(RC),190,Right,28,90,,74.8
Robin le Normand,Real Sociedad,D(C),187,Right,26,90,,73.62
Caglar Söyüncü,Leicester City,D(C),187,Right,26,90,,73.62
Rafael Tolói,Atalanta BC,D(RC),187,Right,32,90,,73.62
Jamal Musiala,Bayern München,M(C),181,Right,19,90,AM(RLC),71.26
Thorgan Hazard,Borussia Dortmund,D,174,Both,29,90,"DM,M(RL),AM(RLC)",68.5
Gabriel Barbosa,Flamengo,AM(R),178,Left,26,90,F(RC),70.08
Luka Jović,ACF Fiorentina,F(C),181,Right,24,90,,71.26
Francesco Acerbi,SS Lazio,D(C),192,Left,34,90,,75.59
José Angeliño,RB Leipzig,D,170,Left,25,90,"DM,M(L)",66.93
Ronald Araújo,Barcelona,D(RC),188,Right,23,90,,74.02
Fernando Reges,Sevilla,D,182,Right,35,90,"DM,M(C)",71.65
Jonathan David,Lille OSC,AM,180,Both,22,90,F(C),70.87
Jordan Veretout,Olympique Marseille,DM,176,Right,29,90,"M,AM(C)",69.29
Ibrahima Konaté,Liverpool,D(C),194,Right,23,90,,76.38
Nordi Mukiele,Paris Saint-Germain,D(RC),187,Right,25,90,"DM,M(R)",73.62
Gleison Bremer,Juventus,D(C),188,Right,25,90,,74.02
Darwin Núñez,Liverpool,AM(L),187,Right,23,90,F(LC),73.62
Tammy Abraham,AS Roma,F(C),190,Right,25,90,,74.8
Simon Kjaer,AC Milan,D(C),190,Right,33,90,,74.8
Jonas Hofmann,Borussia Mönchengladbach,D,174,Right,30,90,"DM(R),M,AM(RLC)",68.5
Alessio Romagnoli,SS Lazio,D(C),188,Left,27,90,,74.02
Victor Lindelöf,Manchester United,D(RC),187,Right,28,90,,73.62
Raúl Albiol,Villarreal CF,D(C),190,Right,37,90,,74.8
Kieran Tierney,Arsenal,D(LC),178,Left,25,90,"DM,M(L)",70.08
Joakim Maehle,Atalanta BC,D,184,Right,25,90,"DM,M(RL)",72.44
