Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches,squad_id,season,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Teddy Sheringham,eng ENG,FW,34.0,29,23,2003.0,22.3,15.0,6.0,14.0,1.0,1.0,1.0,0.0,0.67,0.27,0.94,0.63,0.9,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Irwin,ie IRL,DF,34.0,21,20,1758.0,19.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ole Gunnar Solskjær,no NOR,FW,27.0,31,19,1755.0,19.5,10.0,4.0,10.0,0.0,0.0,1.0,0.0,0.51,0.21,0.72,0.51,0.72,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Yorke,tt TRI,"FW,MF",28.0,22,15,1473.0,16.4,9.0,4.0,9.0,0.0,0.0,2.0,0.0,0.55,0.24,0.79,0.55,0.79,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Cole,eng ENG,FW,28.0,19,15,1314.0,14.6,9.0,3.0,9.0,0.0,0.0,1.0,1.0,0.62,0.21,0.82,0.62,0.82,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaap Stam,nl NED,DF,28.0,15,15,1235.0,13.7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronny Johnsen,no NOR,DF,31.0,11,11,895.0,9.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Chadwick,eng ENG,MF,19.0,16,6,623.0,6.9,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.29,0.0,0.29,0.29,0.29,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton Fortune,za RSA,MF,23.0,7,6,538.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raimond van der Gouw,nl NED,GK,37.0,10,5,531.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Wallwork,eng ENG,"DF,MF",22.0,12,4,565.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Greening,eng ENG,MF,21.0,7,3,273.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Stewart,sct SCO,MF,19.0,3,3,239.0,2.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Goram,sct SCO,GK,36.0,2,2,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David May,eng ENG,DF,30.0,2,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Rachubka,eng ENG,GK,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henning Berg,no NOR,DF,30.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan Djordjic,se SWE,MF,18.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19538871,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Pirès,fr FRA,"FW,MF",26.0,33,29,2489.0,27.7,4.0,7.0,4.0,0.0,0.0,1.0,0.0,0.14,0.25,0.4,0.14,0.4,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Vieira,fr FRA,MF,24.0,30,28,2552.0,28.4,6.0,4.0,6.0,0.0,0.0,5.0,2.0,0.21,0.14,0.35,0.21,0.35,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Keown,eng ENG,"DF,MF",34.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Parlour,eng ENG,MF,27.0,33,28,2486.0,27.6,4.0,1.0,4.0,0.0,0.0,4.0,0.0,0.14,0.04,0.18,0.14,0.18,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilles Grimandi,fr FRA,DF,29.0,30,28,2392.0,26.6,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.04,0.08,0.11,0.04,0.11,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thierry Henry,fr FRA,FW,22.0,35,27,2589.0,28.8,17.0,9.0,16.0,1.0,1.0,4.0,0.0,0.59,0.31,0.9,0.56,0.87,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Dixon,eng ENG,DF,36.0,29,26,2382.0,26.5,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.04,0.08,0.11,0.04,0.11,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Adams,eng ENG,DF,33.0,26,26,2340.0,26.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Ljungberg,se SWE,"FW,MF",23.0,30,25,2202.0,24.5,6.0,3.0,6.0,0.0,0.0,3.0,0.0,0.25,0.12,0.37,0.25,0.37,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Seaman,eng ENG,GK,36.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylvinho,br BRA,DF,26.0,24,23,2013.0,22.4,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylvain Wiltord,fr FRA,"FW,MF",26.0,27,20,1752.0,19.5,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.41,0.26,0.67,0.41,0.67,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Bergkamp,nl NED,FW,31.0,25,19,1692.0,18.8,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.16,0.16,0.32,0.16,0.32,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oleh Luzhny,ua UKR,DF,31.0,19,16,1395.0,15.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Cole,eng ENG,DF,19.0,17,15,1300.0,14.4,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren,cm CMR,DF,23.0,18,15,1227.0,13.6,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nwankwo Kanu,ng NGA,FW,23.0,27,13,1330.0,14.8,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.2,0.34,0.54,0.2,0.54,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Manninger,at AUT,GK,23.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igors Stepanovs,lv LVA,DF,24.0,9,9,810.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nelson Vivas,ar ARG,DF,30.0,12,3,421.0,4.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Lukic,eng ENG,GK,39.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edu Gaspar,br BRA,MF,22.0,5,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paolo Vernazza,eng ENG,MF,20.0,2,0,43.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,2.09,2.09,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomas Danilevičius,lt LTU,FW,22.0,2,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Malz,de GER,"DF,MF",28.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Upson,eng ENG,DF,21.0,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,18bb7c10,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sander Westerveld,nl NED,GK,25.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markus Babbel,de GER,DF,27.0,38,38,3354.0,37.3,3.0,3.0,3.0,0.0,0.0,6.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sami Hyypiä,fi FIN,DF,26.0,35,35,3150.0,35.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emile Heskey,eng ENG,FW,22.0,36,33,2694.0,29.9,14.0,4.0,14.0,0.0,0.0,4.0,0.0,0.47,0.13,0.6,0.47,0.6,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stéphane Henchoz,ch SUI,DF,25.0,32,32,2851.0,31.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Carragher,eng ENG,"DF,MF",22.0,34,30,2691.0,29.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Gerrard,eng ENG,MF,20.0,33,29,2523.0,28.0,7.0,2.0,7.0,0.0,0.0,6.0,1.0,0.25,0.07,0.32,0.25,0.32,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dietmar Hamann,de GER,MF,26.0,30,26,2334.0,25.9,2.0,3.0,2.0,0.0,0.0,5.0,1.0,0.08,0.12,0.19,0.08,0.19,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary McAllister,sct SCO,MF,35.0,30,21,1928.0,21.4,5.0,5.0,4.0,1.0,1.0,1.0,1.0,0.23,0.23,0.47,0.19,0.42,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Barmby,eng ENG,"FW,MF",26.0,26,21,1834.0,20.4,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.1,0.15,0.25,0.1,0.25,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Owen,eng ENG,FW,20.0,28,20,1789.0,19.9,16.0,3.0,16.0,0.0,0.0,0.0,0.0,0.8,0.15,0.96,0.8,0.96,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimír Šmicer,cz CZE,"FW,MF",27.0,27,16,1506.0,16.7,2.0,9.0,2.0,0.0,0.0,2.0,0.0,0.12,0.54,0.66,0.12,0.66,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Fowler,eng ENG,FW,25.0,27,15,1567.0,17.4,8.0,3.0,8.0,0.0,1.0,0.0,0.0,0.46,0.17,0.63,0.46,0.63,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Murphy,eng ENG,MF,23.0,27,13,1382.0,15.4,4.0,3.0,4.0,0.0,0.0,3.0,1.0,0.26,0.2,0.46,0.26,0.46,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Ziege,de GER,"DF,MF",28.0,15,11,956.0,10.6,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.09,0.19,0.28,0.09,0.28,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrik Berger,cz CZE,MF,26.0,14,11,899.0,10.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.2,0.5,0.7,0.1,0.6,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djimi Traoré,ml MLI,DF,20.0,8,8,695.0,7.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Bišćan,hr CRO,"DF,MF",22.0,13,8,658.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grégory Vignal,fr FRA,DF,19.0,6,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jari Litmanen,fi FIN,"FW,MF",29.0,5,4,336.0,3.7,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.27,0.27,0.54,0.0,0.27,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernard Diomède,fr FRA,"FW,MF",26.0,2,1,108.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegard Heggem,no NOR,"DF,MF",25.0,3,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Wright,eng ENG,DF,20.0,2,0,61.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,1.48,0.0,1.48,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erik Meijer,nl NED,FW,30.0,3,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,822bd0ba,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Bowyer,eng ENG,MF,23.0,38,38,3342.0,37.1,9.0,5.0,9.0,0.0,0.0,9.0,0.0,0.24,0.13,0.38,0.24,0.38,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Viduka,au AUS,FW,24.0,34,34,3008.0,33.4,17.0,4.0,17.0,0.0,0.0,5.0,0.0,0.51,0.12,0.63,0.51,0.63,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olivier Dacourt,fr FRA,MF,25.0,33,33,2772.0,30.8,3.0,3.0,3.0,0.0,0.0,13.0,0.0,0.1,0.1,0.19,0.1,0.19,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Matteo,sct SCO,"DF,MF",26.0,30,30,2598.0,28.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Harte,ie IRL,DF,22.0,29,29,2610.0,29.0,7.0,6.0,5.0,2.0,3.0,1.0,0.0,0.24,0.21,0.45,0.17,0.38,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Smith,eng ENG,"FW,MF",19.0,33,26,2430.0,27.0,11.0,6.0,11.0,0.0,0.0,7.0,1.0,0.41,0.22,0.63,0.41,0.63,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eirik Bakke,no NOR,MF,22.0,29,24,2085.0,23.2,2.0,1.0,2.0,0.0,0.0,9.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio Ferdinand,eng ENG,DF,21.0,23,23,2070.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigel Martyn,eng ENG,GK,33.0,23,23,2051.0,22.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Kelly,ie IRL,DF,26.0,24,22,2028.0,22.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Mills,eng ENG,DF,23.0,22,20,1855.0,20.6,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Radebe,za RSA,DF,31.0,20,19,1664.0,18.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Robinson,eng ENG,GK,20.0,16,15,1369.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Woodgate,eng ENG,DF,20.0,14,14,1067.0,11.9,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Batty,eng ENG,MF,31.0,16,13,1210.0,13.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Kewell,au AUS,"FW,MF",21.0,17,12,1163.0,12.9,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.15,0.31,0.46,0.15,0.46,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Keane,ie IRL,FW,20.0,18,12,1036.0,11.5,9.0,3.0,8.0,1.0,1.0,1.0,0.0,0.78,0.26,1.04,0.69,0.96,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Wilcox,eng ENG,"FW,MF",29.0,17,7,796.0,8.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Bridges,eng ENG,"FW,MF",21.0,7,6,539.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Duberry,eng ENG,DF,24.0,5,5,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen McPhail,ie IRL,MF,20.0,7,3,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Burns,au AUS,MF,22.0,4,3,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Hay,nz NZL,DF,25.0,4,2,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,5bfb9659,2000-2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
