,name,address,city,waitTime
493,Northridge Academy High School,9601 Zelzah Ave,Northridge,8
488,Normandale Recreation Center,22400 Halldale Ave,Torrance,8
529,Piute Middle School,425 East Avenue H 11,Lancaster,8
519,Paramount High School - West Campus,14708 Paramount Blvd,Paramount,8
520,Park View Educational Complex,44327 Fig Ave,Lancaster,8
521,Pasadena City College,1570 E Colorado Blvd,Pasadena,8
523,Patrick Henry Middle School,17340 San Jose St,Granada Hills,8
525,Philadelphia Elementary School,600 Philadelphia St,Pomona,8
526,Pico Park Community Center,9528 Beverly Blvd,Pico Rivera,8
527,Pio Pico Middle School,1512 S Arlington Ave,Los Angeles,8
531,Playa Las Tunas Banquet Hall,1457 W Washington Blvd,Los Angeles,8
492,Northeast Mental Health Center,3303 N Broadway,Los Angeles,8
532,Plaza West Covina,312 California Ave,West Covina,8
534,Pomona High School,475 Bangor St,Pomona,8
535,Port of Long Beach Maintenance Division,725 Harbor Plaza,Long Beach,8
536,Potrero Elementary School,2611 Potrero Ave,El Monte,8
537,Powell Academy for Success,150 W Victoria St,Long Beach,8
538,Prairie Vista Middle School,13600 Prairie Ave,Hawthorne,8
539,Prince of Peace Episcopal Church,5700 Rudnick Ave,Woodland Hills,8
518,Paradise Baptist Church,5100 S Broadway,Los Angeles,8
516,Panorama Presbyterian Church,14201 Roscoe Blvd,Panorama City,8
514,Palos Verdes Peninsula High School,27118 Silver Spur Rd,Rolling Hills Estates,8
513,Palos Verdes High School,600 Cloyden Rd,Palos Verdes Estates,8
443,Mass Liberation,21519 Menlo Ave,Torrance,8
494,Norwalk Arts and Sports Complex,13200 Clarkdale Ave,Norwalk,8
495,Norwalk High School,11356 Leffingwell Rd,Norwalk,8
496,Norwalk Masonic Center,12345 Rosecrans Ave,Norwalk,8
497,Oak Tree Community Day School,38136 35th Street E,Palmdale,8
499,Occidental College,1600 Campus Rd,Los Angeles,8
501,One Santa Fe,300 S Santa Fe Ave,Los Angeles,8
502,ONEgeneration,17400 Victory Blvd,Van Nuys,8
504,Our Lady of the Holy Rosary,7800 Vineland Ave,Sun Valley,8
505,Our Savior Lutheran Church,512 W Duarte Rd,Arcadia,8
506,Pacific Park Community Center,501 S Pacific Ave,Glendale,8
507,Pacific Unitarian Church,5621 Montemalaga Dr,Rancho Palos Verdes,8
508,Palisades Recreation Center,851 Alma Real Dr,Pacific Palisades,8
509,Palm Park and Community Center,12305 207th St,Lakewood,8
512,Palomares Park,499 E Arrow Hwy,Pomona,8
444,Maurice Sendak Elementary School,11414 W Tiara St,North Hollywood,8
435,Manhattan Heights Community Center,1600 Manhattan Beach Blvd,Manhattan Beach,8
442,Masonic Lodge,135 N Valley Center Ave,Glendora,8
345,Joe Walker Middle School,West Avenue L 8,Quartz Hill,8
348,John Muir Elementary School,2526 6th St,Santa Monica,8
349,John Muir Middle School,1111 N Kenneth Rd,Burbank,8
350,Joohyang Presbyterian Church,3412 W 4th St,Los Angeles,8
352,Joslyn Community Center,1601 N Valley Dr,Manhattan Beach,8
354,Juan De Anza Elementary School,12110 Hindry Ave,Hawthorne,8
355,Juarez Academy of Engineering and Tech,11939 Aclare St,Cerritos,8
356,Junior Achievement of So Cal (JASoCal),6250 Forest Lawn Dr,Los Angeles,8
357,Katy Geissert Civic Center Library,3301 Torrance Blvd,Torrance,8
358,Kelso Elementary School,809 E Kelso St,Inglewood,8
360,Kenneth Hahn Hall of Administration,500 W Temple St,Los Angeles,8
361,Killian Elementary School,19100 Killian Ave,Rowland Heights,8
364,Kranz Intermediate School,12460 Fineview St,El Monte,8
365,L Aronoff and Sons,21210 Erwin St,Woodland Hills,8
367,La Canada Unified School Ditrict,4490 Cornishon Ave,La Canada Flintridge,8
369,LA County Department of Public Works,900 S Fremont Ave,Alhambra,8
346,John F Kennedy High School,11254 Gothic Ave,Granada Hills,8
344,JH Hull Middle School,2080 W 231st St,Torrance,8
372,LA Family Housing,7843 Lankershim Blvd,North Hollywood,8
342,Jethawk Stadium,45116 Valley Central Way,Lancaster,8
319,ICEF View Park K8,5311 Crenshaw Blvd,Los Angeles,8
320,Iglesia Adventista Hispana,901 E Broadway,Glendale,8
321,Iglesia de Cristo Centro de Alabanza,11105 S Western Ave,Los Angeles,8
322,Iman Cultural Center,3376 Motor Ave,Los Angeles,8
323,Immanuel Presbyterian Church,3300 Wilshire Blvd,Los Angeles,8
324,Imperial Courts Recreation Center,2250 E 114th St,Los Angeles,8
325,Impressions Banquet Hall,212 N Orange St,Glendale,8
327,Incarnation Community Center,214 W Fairview Ave,Glendale,8
329,Inglewood High School,231 S Grevillea Ave,Inglewood,8
331,IOOF Bellflower Lodge #463,15720 Clark Ave,Bellflower,8
332,Iranian American Jewish Federation,1317 N Crescent Heights Blvd,West Hollywood,8
334,Jackie Robinson Park,8773 East Avenue R,Sun Village,8
338,Jeff Seymour Family Center,10900 Mulhall St,El Monte,8
340,Jellick Elementary School,1400 S Jellick Ave,Rowland Heights,8
341,Jesse Owens Park,9651 S Western Ave,Los Angeles,8
370,LA County Registrar-Recorder/County Clerk,12400 Imperial Hwy,Norwalk,8
374,LA Harbor Masonic Lodge,1640 W 9th St,San Pedro,8
440,Masjid Umar Ibn Al-Khattab,1025 Exposition Blvd,Los Angeles,8
409,Loreto Street Elementary School,3408 Arroyo Seco Ave,Los Angeles,8
413,Los Angeles Elementary School,1211 S Hobart Blvd,Los Angeles,8
414,Los Angeles Harbor College,1111 Figueroa Pl,Wilmington,8
416,Los Angeles Mission College,13356 Eldridge Ave,Sylmar,8
417,Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,8
418,Los Angeles Southwest College,1600 W Imperial Hwy,Los Angeles,8
419,Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,8
420,Los Angeles Valley College,5800 Fulton Ave,Valley Glen,8
423,Los Nietos Middle School,11425 Rivera Rd,Los Nietos,8
425,Lucy Avalos Community Center,11832 Atlantic Ave,Lynwood,8
432,Magic Castle,7001 Franklin Ave,Los Angeles,8
433,Malabar Street Elementary School,3200 Malabar St,Los Angeles,8
542,PUC Excel Charter Academy,1855 N Main St,Los Angeles,8
436,Manual Arts Senior High School,4131 S Vermont Ave,Los Angeles,8
438,Mary E Bragg Elementary School,11501 Bos St,Cerritos,8
439,Masjid Al-Fatiha,210 N Citrus Ave,Azusa,8
410,Los Altos Elementary School,15565 Los Altos Dr,Hacienda Heights,8
405,Long Beach City College,4901 E Carson St,Long Beach,8
377,La Mirada Adult School,15920 Barbata Rd,La Mirada,8
402,Living Stone Cathedral of Worship,37721 100th Street East,Littlerock,8
380,La Puente Community Center,501 Glendora Ave,La Puente,8
382,La Tijera K-8 Academy of Excellence,1415 N La Tijera Blvd,Inglewood,8
1,15th Street Elementary School,1527 S Mesa St,San Pedro,8
386,Lancaster Market Place,44920 Valley Central Way,Lancaster,8
387,Lancaster National Soccer Center,43000 30th Street East,Lancaster,8
388,Langley Senior Center,400 W Emerson Ave,Monterey Park,8
389,Las Palmas Park,505 S Huntington St,San Fernando,8
390,Latin Paradise Banquet Hall,6357 Van Nuys Blvd,Van Nuys,8
391,Laurel Elementary School,925 N Hayworth Ave,Los Angeles,8
392,Leland R Weaver Library,4035 Tweedy Blvd,South Gate,8
393,Lennox Middle School,11033 Buford Ave,Lennox,8
394,Lennox Park,10828 Condon Ave,Lennox,8
396,Liberty Community Plaza,14181 Telegraph Rd,Whittier,8
398,Lincoln Heights Senior Citizen Center,2323 Workman St,Los Angeles,8
400,Little White Chapel,1711 N Avon St,Burbank,8
540,Progress Park,15500 Downey Ave,Paramount,8
554,Reigning Champ,115 South La Brea Ave,Los Angeles,8
543,PUC Lakeview Charter Academy,11465 Kagel Canyon St,Lakeview Terrace,8
682,Tom Bradley International Hall,Charles E Young Dr,Los Angeles,8
685,Topanga Library,122 N Topanga Canyon Blvd,Topanga,8
687,Town Center Hall,11740 Telegraph Rd,Santa Fe Springs,8
688,Tree of Life Baptist Church,9702 Holmes Ave,Los Angeles,8
689,TreePeople,12601 Mullholland Dr,Beverly Hills,8
690,Trinity Lutheran Church,997 E Walnut,Pasadena,8
692,Uber - Burbank,4201 Vanowen Pl,Burbank,8
694,UCLA Ackerman Union,340 Royce Dr,Los Angeles,8
695,Union Avenue Elementary School,150 S Burlington Ave,Los Angeles,8
696,Union Church LA,201 S New Ave,Monterey Park,8
697,Union Station,811 N Vignes St,Los Angeles,8
700,USC Health Science Campus,2001 N Soto St,Los Angeles,8
701,Valencia Valley Elementary School,23601 Carrizo Dr,Valencia,8
702,Valinda School of Academics,1030 Indian Summer Ave,La Puente,8
703,Valley Academy of Arts and Sciences,10445 Balboa Blvd,Granada Hills,8
704,Valley Korean United Methodist Church,10408 Balboa Blvd,Granada Hills,8
684,Topanga Community Center,1440 N Topanga Canyon Blvd,Topanga,8
681,Toberman Neighborhood Center,131 N Grand Ave,San Pedro,8
706,Van Nuys Middle School,5435 Vesper Ave,Van Nuys,8
680,Tibby Elementary School,1400 W Poplar St,Compton,8
659,Temple City High School,9501 Lemon Ave,Temple City,8
660,Temple Intermediate School,8510 Fern Ave,Rosemead,8
661,Terasaki Budokan,249 S Los Angeles St,Los Angeles,8
662,The Beverly Hilton,9876 Wilshire Blvd,Beverly Hills,8
664,The Canyon - Santa Clarita,24201 Valencia Blvd,Santa Clarita,8
665,The Catalina Room,128 Catalina Ave,Redondo Beach,8
666,The Grand Long Beach,4101 E Willow St,Long Beach,8
667,The LA Forum,3900 W Manchester Blvd,Inglewood,8
669,The Music Center,135 N Grand,Los Angeles,8
670,The Portofino Hotel and Marina,260 Portofino Way,Redondo Beach,8
671,The Rose Room,6 Rose Ave,Venice,8
674,The Westin Long Beach,333 E Ocean Blvd,Long Beach,8
675,The Wiltern,3790 Wilshire Blvd,Los Angeles,8
676,Thee Chateau Banquet Hall,1700 Holt Ave,Pomona,8
677,Thomas Jefferson Elementary School,1900 N 6th St,Burbank,8
705,Van Nuys Elks Lodge,14440 Friar St,Van Nuys,8
709,Vector 90,6111 S Gramercy Pl,Los Angeles,8
657,Ted Watkins Park,1335 E 103rd St,Los Angeles,8
739,Westchester Enriched Sciences Magnets,7400 W Manchester Ave,Los Angeles,8
744,Westminster Presbyterian Church,1757 N Lake Ave,Pasadena,8
745,Westminster Senior Center,1234 Pacific Ave,Venice,8
747,WGA Theater,135 South Doheny Dr,Beverly Hills,8
749,Wiley Canyon Elementary School,24240 W La Glorita Cir,Newhall,8
750,Wilkerson Middle School,2700 Doreen Ave,El Monte,8
751,Will Rogers Learning Community,2401 14th St,Santa Monica,8
752,Will Rogers Middle School,365 Monrovia Ave,Long Beach,8
754,Willow Adult Education Center,14101 Nelson Ave,La Puente,8
755,Willow Elementary School,11733 205th St,Lakewood,8
758,Wilshire Crest Elementary School,5241 W Olympic Blvd,Los Angeles,8
760,Wilson Elementary School,8317 Sheffield Rd,San Gabriel,8
761,Wilson Senior High,4500 Multnomah St,Los Angeles,8
762,Wilsona Elementary School,41625 170th Street East,Lake Los Angeles,8
764,Winnetka Recreation Center,8401 Winnetka Ave,Winnetka,8
765,Wittmann Elementary School,16801 Yvette Ave,Cerritos,8
743,Westminster Avenue Elementary School,1010 Abbot Kinney Blvd,Venice,8
738,West Whittier Elementary School,6411 Norwalk Blvd,Whittier,8
712,Veterans Park,22400 Moneta Ave,Carson,8
737,West Los Angeles College,10100 Jefferson Blvd,Culver City,8
713,VFW Post 8620,2328 Merced Ave,West Covina,8
714,Victoria Community Regional Park,419 E 192nd St,Carson,8
715,Victory Boulevard Elementary School,6315 Radford Ave,North Hollywood,8
716,Victory Park,2575 Paloma St,Pasadena,8
717,Villa Parke Community Center,363 E Villa St,Pasadena,8
720,Vista Del Mar Child & Family Services,3200 Motor Ave,Los Angeles,8
722,Walnut Elementary School,4701 Walnut St,Baldwin Park,8
723,Walnut High School,400 Pierre Rd,Walnut,8
725,War Memorial Building,435 Fair Oaks Ave,South Pasadena,8
726,Ward Elementary School,8851 Adoree St,Downey,8
729,Warner Grand Theatre,478 W 6th St,San Pedro,8
730,Washington Middle School,1505 N Marengo Ave,Pasadena,8
733,Wellnest Emotional Health & Wellness,3787 S Vermont Ave,Los Angeles,8
734,West Angeles Church of God In Christ,3600 Crenshaw Blvd,Los Angeles,8
735,West Athens Elementary School,1110 W 119th St,Los Angeles,8
658,Telfair Elementary School,10975 Telfair Ave,Pacoima,8
656,Taylor Reception Hall,1775 N Indian Hill Blvd,Claremont,8
544,PUC Triumph Charter High School,13361 Glenoaks Blvd,Sylmar,8
577,Roy Romer Middle School,6501 Laurel Canyon Blvd,North Hollywood,8
579,Saban Beverly Hills,8440 Wilshire Blvd,Beverly Hills,8
580,Salazar Park,3864 Whittier Blvd,Los Angeles,8
582,Salt Lake Park,3401 E Florence Ave,Huntington Park,8
584,San Fernando Library,217 N Maclay Ave,San Fernando,8
585,San Fernando Recreation Park,208 Park Ave,San Fernando,8
586,San Fernando Spanish SDA Church,14646 Chatsworth Dr,Mission Hills,8
588,San Jose Edison Academy,2021 W Alwood St,West Covina,8
589,San Pedro Elks Lodge,1748 Cumbre Dr,San Pedro,8
591,Sanatana Dharma Temple,15311 Pioneer Blvd,Norwalk,8
592,Sanctuary for Spiritual Living,5446 N Citrus Ave,Covina,8
593,Santa Anita Church,226 Colorado Blvd,Arcadia,8
594,Santa Anita Park,285 W Huntington Dr,Arcadia,8
595,Santa Clarita Athletic Club,24640 Wiley Canyon Rd,Newhall,8
599,Saugus Union School District,24930 Avenue Stanford,Santa Clarita,8
600,Scholarship Prep - South Bay,24910 S Avalon Blvd,Wilmington,8
578,S G Oswalt Academy,19501 Shadow Oak Dr,Walnut,8
575,Rowley Park,13220 Van Ness Ave,Gardena,8
603,Scottsdale Townhouse,23400 S Avalon Blvd,Carson,8
574,Rowland High School,2000 S Otterbein Ave,Rowland Heights,8
545,Ramon Garcia Recreation Center,1016 S Fresno St,Los Angeles,8
547,Ranch Hills Elementary School,2 Trabuco Pl,Pomona,8
551,Recreation Park,4900 E 7th St,Long Beach,8
552,Redeemer Christian Academy,10792 National Blvd,West Los Angeles,8
317,Hyatt Regency LAX,6225 W Century Blvd,Los Angeles,8
556,Rio Hondo College,3600 Workman Mill Rd,Whittier,8
557,Rio Hondo Elementary School,11425 Wildflower Rd,Arcadia,8
560,Rios,3101 W Exposition Pl,Los Angeles,8
561,Rivera Park Community Recreation Center,9530 Shade Ln,Pico Rivera,8
563,Robert Gross Park,2800 Empire Ave,Burbank,8
566,Rogers Park,400 W Beach Ave,Inglewood,8
568,Roosevelt Middle School,1200 E Alondra Blvd,Compton,8
569,Rosecrans Recreation Center,840 W 149th St,Gardena,8
572,Ross Middle School,17707 Elaine Ave,Artesia,8
573,Rowland Elementary School,2036 Fullerton Rd,Rowland Heights,8
602,Scottish Rite Cathedral,855 Elm Ave,Long Beach,8
605,Selma Avenue Elementary School,6611 Selma Ave,Los Angeles,8
655,Tamarisk Elementary School,1834 East Avenue Q 5,Palmdale,8
630,St Bernadette Catholic Church,3825 Don Felipe Dr,Los Angeles,8
633,St Cross Episcopal Church,1818 Monterey Blvd,Hermosa Beach,8
634,St Euphrasia Church,11766 Shoshone Ave,Granada Hills,8
638,St Luke's Episcopal Church,525 E 7th St,Long Beach,8
639,St Mark Baptist Church,1703 Lemon Ave,Long Beach,8
640,St Mary & St Athanasius Church,17431 Roscoe Blvd,Northridge,8
641,St Mary's Catholic Church,1600 East Avenue R4,Palmdale,8
642,St Patrick's Catholic Church,10626 Erwin St,North Hollywood,8
643,St Paul The Apostle Catholic Community,1526 Selby Ave,Los Angeles,8
645,St Stephen Baptist Church,1718 Walnut Ave,La Puente,8
646,Stanley Social,1510 N Stanley Ave,Los Angeles,8
648,Stephen Sorensen County Park,16801 East Avenue P,Palmdale,8
650,Stonehurst Recreation Center,9901 Dronfield St,Sun Valley,8
651,Stoner Recreation Center,1835 Stoner Ave,Los Angeles,8
652,Sun Valley Senior High,9171 Telfair Ave,Sun Valley,8
654,Sunland Senior Citizen Center,8640 Fenwick St,Sunland,8
631,St Casimir Church,3855 Evans St,Los Angeles,8
629,Southeast Rio Vista Ymca,4801 E 58th St,Maywood,8
606,Sepulveda Middle School,15330 Plummer St,North Hills,8
627,South Pasadena Public Library,1115 El Centro St,South Pasadena,8
607,Serenity Event Center,695 E Foothill Blvd,Pomona,8
608,Shadow Oak Park Recreation Center,2121 Shadow Oak Dr,West Covina,8
609,Shatto Recreation Center,3191 W 4th St,Los Angeles,8
610,Shelyn Elementary School,19500 Nacora St,Rowland Heights,8
613,Shiekh Compton Community Center,1900 N Long Beach Blvd,Compton,8
614,Shirpser Elementary School,4020 Gibson Rd,El Monte,8
615,Shrine Auditorium & Expo Hall,700 W. 32nd Street,Los Angeles,8
616,Sierra Park Elementary School,3170 Budau Ave,Los Angeles,8
617,Sierra Vista Jr High School,19425 Stillmore St,Canyon Country,8
618,Signal Hill Park,1780 E Hill St,Signal Hill,8
619,Simms Park Community Center,16614 Clark Ave,Bellflower,8
620,Skirball Cultural Center,2701 N Sepulveda Blvd,Los Angeles,8
622,Sonia Sotomayor Arts & Sciences Magnet,2050 N San Fernando Rd,Los Angeles,8
624,South Coast Botanic Gardens,26300 Crenshaw Blvd,Palos Verdes Estates,8
625,South El Monte Community Center,1530 Central Ave,South El Monte,8
318,IAC Shepher Community Center,6530 Winnetka Ave,Woodland Hills,8
384,Lakewood Youth Center,4658 Woodruff Ave,Lakewood,8
164,DEL Records and Sony Music Latin,6400 Garfield Ave,Bell Gardens,8
153,Culver City Julian Dixon Library,4975 Overland Ave,Culver City,8
95,Carmenita Middle School,13435 166th St,Cerritos,8
223,Fairgrove Academy,15540 Fairgrove Ave,La Puente,8
94,Carmelitos Community Center,851 Via Carmelitos,Long Beach,8
49,Bell Gardens High School,6119 Agra St,Bell Gardens,8
220,Estrella Elementary School,120 E 57th St,Los Angeles,8
219,Estelle Van Meter Multi-Purpose Center,7600 S Avalon Blvd,Los Angeles,8
91,Canyon Club Dinner Theater,28912 Roadside Dr,Agoura Hills,8
217,Eshelman Avenue Elementary School,25902 Eshelman Ave,Lomita,8
51,Belvedere Park,4914 E. Cesar Chavez,Los Angeles,8
52,Bethel AME Church LA,7900 S Western Ave,Los Angeles,8
215,ERETZ Synagogue & Cultural Center,6170 Wilbur Ave,Tarzana,8
53,Bethesda Presbyterian Church ,14420 Crenshaw Blvd,Gardena,8
54,Betty Hill Senior Citizen Center,3570 S Denker Ave,Los Angeles,8
55,Beverly Hills City Hall,450 N Crescent Dr,Beverly Hills,8
56,Beverly Hills Women's Club,1700 Chevy Chase Dr,Beverly Hills,8
57,Birdielee V Bright Elementary School,1771 W 36th St,Los Angeles,8
212,Enterprise Park,13055 Clovis Ave,Los Angeles,8
58,Birmingham Comm Charter High School,17000 Haynes St,Van Nuys,8
155,Cyrus J Morris Elementary School,19875 E Calle Baja Dr,Walnut,8
211,Endeavour Middle School,43755 45th Street West,Lancaster,8
210,Encinita Elementary School,4515 Encinita Ave,Rosemead,8
208,Embassy Suites by Hilton LAX South,1440 East Imperial Highway,El Segundo,8
207,Embassy Suites by Hilton LAX North,9801 Airport Blvd,El Segundo,8
224,Fairplex,1101 W McKinley Ave Gate 1,Pomona,8
226,Faithful Central Bible Church,333 W Florence Ave,Inglewood,8
205,Elysian Park Therapeutic Rec Center,929 Academy Rd,Los Angeles,8
228,Felicia Mahood Multipurpose Center,11338 Santa Monica Blvd,Los Angeles,8
149,Crenshaw High School,5010 11th Ave,Los Angeles,8
41,Barrio Action Youth and Family Center,4927 Huntington Dr N Unit 200,Los Angeles,8
160,Daniel Webster Middle School,11330 Graham Pl,Los Angeles,8
243,Franklin D Roosevelt Park,7600 Graham Ave,Los Angeles,8
43,Bassett Adult School,943 N Sunkist Ave,La Puente,8
151,Crowther Teen and Family Center,241 W Dawson Ave,Glendora,8
241,Frank D Parent Elementary School,5354 W 64th St,Inglewood,8
240,Four Seasons Westlake Village,2 Dole Dr,Westlake Village,8
45,Bateman Hall,11331 Ernestine Ave,Lynwood,8
239,Four Points by Sheraton LAX,9750 Airport Blvd,Los Angeles,8
238,Four Points by Sheraton LA Westside,5990 Green Valley Cir,Culver City,8
237,Founders Hall,200 Civic Center Way,Calabasas,8
47,Beardslee Elementary School,1212 Kellwill Way,Duarte,8
236,Foster Elementary School,13900 Foster Ave,Baldwin Park,8
99,Carver Elementary School,1425 E 120th St,Los Angeles,8
234,Foisia Park,23410 Catskill Ave,Carson,8
98,Carson High School,22328 S Main St,Carson,8
97,Carson Civic Center,801 E Carson St,Carson,8
233,Florence Avenue Foursquare Church,11457 Florence Ave,Santa Fe Springs,8
232,First United Methodist Church,500 E Colorado Blvd,Pasadena,8
231,First UMC San Fernando,1525 Glenoaks Blvd,San Fernando,8
230,First Baptist Church,28 Moccasin Ln,Rolling Hills Estates,8
48,Bell Community Center,6250 Pine Ave,Bell,8
206,Elysian Valley Recreation Center,1811 Ripple St,Los Angeles,8
59,Blair High School,1201 S Marengo Ave,Pasadena,8
39,Barker Hangar,3021 Airport Ave Suite 203,Santa Monica,8
181,E Whittier United Methodist Church,10005 Cole Rd,Whittier,8
179,Duarte High School,1565 E Central Ave,Duarte,8
74,Burbank High School,902 N 3rd St,Burbank,8
178,Drake Park,951 Maine Ave,Long Beach,8
77,Cabrillo Avenue Elementary School,732 S Cabrillo Ave,San Pedro,8
177,Dr Ronald E McNair Elementary School,1450 W El Segundo Blvd,Compton,8
85,CalArts,24700 McBean Pkwy,Valencia,8
175,DoubleTree by Hilton LAX - El Segundo,1985 East Grand Ave,El Segundo,8
78,Cabrillo High School,2001 Santa Fe Ave,Long Beach,8
174,DoubleTree by Hilton LA Downtown,120 S Los Angeles St,Los Angeles,8
173,Dominguez Elementary School,21250 S Santa Fe Ave,Carson,8
172,Dollarhide Health Center,1108 N Oleander Ave,Compton,8
80,"Cal State Poly University, Pomona",3801 W Temple Ave,Pomona,8
171,Dodger Stadium,1000 Vin Scully Ave,Los Angeles,8
170,Dockweiler Youth Center,12505 Vista del Mar,Playa Del Rey,8
169,Disabled American Veterans #73,6543 Corbin Ave,Woodland Hills,8
168,Diamond Bar High School,21400 Pathfinder Rd,Diamond Bar,8
167,Diamond Bar City Hall,21810 Copley Dr,Diamond Bar,8
166,Diamond Bar Center,1600 Grand Ave,Diamond Bar,8
165,Destiny Christian Center International,44628 10th Street West,Lancaster,8
84,"Cal State University, Northridge",18111 Nordhoff St,Northridge,8
315,Huntington Middle School,1700 Huntington Dr,San Marino,8
163,Del Aire Park,12601 Isis Ave,Hawthorne,8
83,"Cal State University, Los Angeles",5151 State University Dr,Los Angeles,8
72,Bud Carson Middle School,13838 Yukon Ave,Hawthorne,8
182,Eagle Rock Elementary School,2057 Fair Park Ave,Los Angeles,8
204,Elysian Masonic Lodge,1900 N Vermont Ave,Los Angeles,8
89,Canoga Park High School,6850 Topanga Canyon Blvd,Canoga Park,8
60,Blandford Elementary School,2601 Blandford Dr,Rowland Heights,8
203,Elks Lodge 2190,20925 Osborne St,Canoga Park,8
202,Elizabeth Learning Center,4811 Elizabeth St,Cudahy,8
201,El Segundo Teen Center,405 East Grand Ave,El Segundo,8
200,El Roble Intermediate School,665 N Mountain Ave,Claremont,8
199,El Monte Station (LA Metro),3501 Santa Anita Ave,El Monte,8
198,El Monte Community Center,3130 Tyler Ave,El Monte,8
197,El Hussein Community Center,4313 Gage Ave,Bell,8
62,Bob Hope Patriotic Hall,1816 S Figueroa St,Los Angeles,8
156,D D Johnston Elementary School,13421 Fairford Ave,Norwalk,8
195,El Camino High School,14625 Keese Dr,Whittier,8
194,El Camino Community College,16007 Crenshaw Blvd,Torrance,8
193,Edgewood Academy Elementary School,14135 Fairgrove Ave,La Puente,8
65,Bradley Multi Purpose Room,10957 S Central Ave,Los Angeles,8
190,Eastmont Community Center,701 Hoefner Ave,Los Angeles,8
66,Branford Recreation Center,13306 Branford St,Arleta,8
188,East Rancho Dominguez Park,15116 S Atlantic Ave,Compton,8
187,East Los Angeles Library,4837 E 3rd St,Los Angeles,8
90,Canyon Center,19361 Soledad Canyon Rd,Santa Clarita,8
186,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,8
185,East LA Rising Youth Club,324 N McDonnell Ave,Los Angeles,8
184,Eagle Rock Recreation Center,1100 Eagle Vista Dr,Los Angeles,8
157,Dae Hueng Korean Presbyterian Church,15411 S Figueroa St,Gardena,8
244,Franklin Elementary School,527 Ventura St,Altadena,8
42,Barton Hill Elementary School,423 N Pacific Ave,San Pedro,8
38,Banning Recreation Center,1331 Eubank Ave,Wilmington,8
284,Hacienda Park,1885 Hacienda Rd,La Habra Heights,8
