,city,waitTime,time
35,Glendale,6.428571428571429,2020-11-03 12:56:24.296624
36,Glendora,8.25,2020-11-03 12:56:24.296624
37,Granada Hills,8.0,2020-11-03 12:56:24.296624
38,Hacienda Heights,5.333333333333333,2020-11-03 12:56:24.296624
39,Hawaiian Gardens,8.0,2020-11-03 12:56:24.296624
40,Hawthorne,6.625,2020-11-03 12:56:24.296624
41,Hermosa Beach,6.0,2020-11-03 12:56:24.296624
42,Hollywood,8.0,2020-11-03 12:56:24.296624
43,Huntington Park,2.25,2020-11-03 12:56:24.296624
44,Inglewood,6.461538461538462,2020-11-03 12:56:24.296624
45,Irwindale,5.0,2020-11-03 12:56:24.296624
46,La Canada Flintridge,8.0,2020-11-03 12:56:24.296624
47,La Crescenta,9.0,2020-11-03 12:56:24.296624
48,La Habra Heights,8.0,2020-11-03 12:56:24.296624
49,La Mirada,7.0,2020-11-03 12:56:24.296624
50,La Puente,7.636363636363637,2020-11-03 12:56:24.296624
51,La Verne,4.0,2020-11-03 12:56:24.296624
52,Lake Los Angeles,8.0,2020-11-03 12:56:24.296624
53,Lakeview Terrace,8.0,2020-11-03 12:56:24.296624
54,Lakewood,7.4,2020-11-03 12:56:24.296624
55,Lancaster,7.0,2020-11-03 12:56:24.296624
56,Lawndale,4.0,2020-11-03 12:56:24.296624
57,Lennox,8.0,2020-11-03 12:56:24.296624
58,Littlerock,8.0,2020-11-03 12:56:24.296624
59,Lomita,19.0,2020-11-03 12:56:24.296624
60,Long Beach,7.352941176470588,2020-11-03 12:56:24.296624
61,Los Angeles,6.950549450549451,2020-11-03 12:56:24.296624
62,Los Angleles,8.0,2020-11-03 12:56:24.296624
63,Los Nietos,8.0,2020-11-03 12:56:24.296624
64,Lynwood,8.25,2020-11-03 12:56:24.296624
65,Malibu,5.333333333333333,2020-11-03 12:56:24.296624
66,Manhattan Beach,8.0,2020-11-03 12:56:24.296624
67,Marina Del Rey,4.0,2020-11-03 12:56:24.296624
68,Maywood,8.0,2020-11-03 12:56:24.296624
69,Mission Hills,6.0,2020-11-03 12:56:24.296624
70,Monrovia,5.333333333333333,2020-11-03 12:56:24.296624
71,Montebello,6.666666666666667,2020-11-03 12:56:24.296624
72,Monterey Park,8.0,2020-11-03 12:56:24.296624
73,Newhall,8.0,2020-11-03 12:56:24.296624
74,North Hills,6.0,2020-11-03 12:56:24.296624
75,North Hollywood,7.0,2020-11-03 12:56:24.296624
76,Northridge,7.2,2020-11-03 12:56:24.296624
77,Norwalk,7.2727272727272725,2020-11-03 12:56:24.296624
78,Pacific Palisades,8.0,2020-11-03 12:56:24.296624
79,Pacoima,8.0,2020-11-03 12:56:24.296624
80,Palmdale,7.666666666666667,2020-11-03 12:56:24.296624
81,Palos Verdes Estates,8.0,2020-11-03 12:56:24.296624
82,Panorama City,15.5,2020-11-03 12:56:24.296624
83,Paramount,7.0,2020-11-03 12:56:24.296624
84,Pasadena,7.076923076923077,2020-11-03 12:56:24.296624
85,Pico Rivera,11.2,2020-11-03 12:56:24.296624
86,Playa Del Rey,8.0,2020-11-03 12:56:24.296624
87,Pomona,6.214285714285714,2020-11-03 12:56:24.296624
88,Porter Ranch,4.0,2020-11-03 12:56:24.296624
89,Quartz Hill,0.0,2020-11-03 12:56:24.296624
90,Rancho Palos Verdes,4.333333333333333,2020-11-03 12:56:24.296624
91,Redondo Beach,7.0,2020-11-03 12:56:24.296624
92,Reseda,8.0,2020-11-03 12:56:24.296624
93,Rolling Hills Estates,8.0,2020-11-03 12:56:24.296624
94,Rosemead,6.8,2020-11-03 12:56:24.296624
95,Rowland Heights,8.0,2020-11-03 12:56:24.296624
96,San Dimas,8.0,2020-11-03 12:56:24.296624
97,San Fernando,8.0,2020-11-03 12:56:24.296624
98,San Gabriel,6.0,2020-11-03 12:56:24.296624
99,San Marino,8.0,2020-11-03 12:56:24.296624
100,San Pedro,6.545454545454546,2020-11-03 12:56:24.296624
101,Santa Clarita,6.4,2020-11-03 12:56:24.296624
102,Santa Fe Springs,6.0,2020-11-03 12:56:24.296624
103,Santa Monica,5.6,2020-11-03 12:56:24.296624
104,Saugus,4.0,2020-11-03 12:56:24.296624
105,Sherman Oaks,5.333333333333333,2020-11-03 12:56:24.296624
106,Sierra Madre,2.0,2020-11-03 12:56:24.296624
107,Signal Hill,8.0,2020-11-03 12:56:24.296624
108,South El Monte,8.0,2020-11-03 12:56:24.296624
109,South Gate,6.0,2020-11-03 12:56:24.296624
110,South Pasadena,8.0,2020-11-03 12:56:24.296624
111,Stevenson Ranch,8.0,2020-11-03 12:56:24.296624
112,Studio City,0.0,2020-11-03 12:56:24.296624
113,Sun Valley,8.0,2020-11-03 12:56:24.296624
114,Sun Village,8.0,2020-11-03 12:56:24.296624
115,Sunland,8.0,2020-11-03 12:56:24.296624
116,Sunland-Tujunga,8.0,2020-11-03 12:56:24.296624
117,Sylmar,6.666666666666667,2020-11-03 12:56:24.296624
118,Tarzana,9.0,2020-11-03 12:56:24.296624
119,Temple City,6.0,2020-11-03 12:56:24.296624
120,Topanga,5.333333333333333,2020-11-03 12:56:24.296624
121,Torrance,7.636363636363637,2020-11-03 12:56:24.296624
122,Tujunga,8.0,2020-11-03 12:56:24.296624
123,Universal City,4.0,2020-11-03 12:56:24.296624
124,Valencia,5.333333333333333,2020-11-03 12:56:24.296624
125,Valley Glen,8.0,2020-11-03 12:56:24.296624
126,Valley Village,8.0,2020-11-03 12:56:24.296624
127,Van Nuys,7.625,2020-11-03 12:56:24.296624
128,Venice,4.0,2020-11-03 12:56:24.296624
129,Vernon,8.0,2020-11-03 12:56:24.296624
130,Walnut,6.0,2020-11-03 12:56:24.296624
131,Walnut Park,6.0,2020-11-03 12:56:24.296624
132,West Covina,6.625,2020-11-03 12:56:24.296624
133,West Hollywood,6.0,2020-11-03 12:56:24.296624
134,West Los Angeles,8.0,2020-11-03 12:56:24.296624
135,Westlake Village,8.0,2020-11-03 12:56:24.296624
136,Whittier,7.166666666666667,2020-11-03 12:56:24.296624
137,Wilmington,8.666666666666666,2020-11-03 12:56:24.296624
138,Winnetka,7.5,2020-11-03 12:56:24.296624
139,Woodland Hills,8.0,2020-11-03 12:56:24.296624
