,zipCode,waitTime,time
206,91504,8.0,2020-11-03 09:46:37.638235
207,91505,9.666666666666666,2020-11-03 09:46:37.638235
208,91601,6.0,2020-11-03 09:46:37.638235
209,91602,8.0,2020-11-03 09:46:37.638235
210,91604,0.0,2020-11-03 09:46:37.638235
211,91605,6.5,2020-11-03 09:46:37.638235
212,91606,8.0,2020-11-03 09:46:37.638235
213,91607,8.0,2020-11-03 09:46:37.638235
214,91608,4.0,2020-11-03 09:46:37.638235
215,91702,8.0,2020-11-03 09:46:37.638235
216,91706,6.25,2020-11-03 09:46:37.638235
217,91711,6.0,2020-11-03 09:46:37.638235
218,91722,8.0,2020-11-03 09:46:37.638235
219,91723,4.0,2020-11-03 09:46:37.638235
220,91724,7.0,2020-11-03 09:46:37.638235
221,91731,5.714285714285714,2020-11-03 09:46:37.638235
222,91732,4.0,2020-11-03 09:46:37.638235
223,91733,8.0,2020-11-03 09:46:37.638235
224,91741,6.5,2020-11-03 09:46:37.638235
225,91744,7.428571428571429,2020-11-03 09:46:37.638235
226,91745,6.428571428571429,2020-11-03 09:46:37.638235
227,91746,5.6,2020-11-03 09:46:37.638235
228,91748,8.0,2020-11-03 09:46:37.638235
229,91750,6.0,2020-11-03 09:46:37.638235
230,91754,6.666666666666667,2020-11-03 09:46:37.638235
231,91755,6.5,2020-11-03 09:46:37.638235
232,91765,5.714285714285714,2020-11-03 09:46:37.638235
233,91766,4.666666666666667,2020-11-03 09:46:37.638235
234,91767,6.0,2020-11-03 09:46:37.638235
235,91768,6.75,2020-11-03 09:46:37.638235
236,91770,8.0,2020-11-03 09:46:37.638235
237,91773,6.0,2020-11-03 09:46:37.638235
238,91775,8.0,2020-11-03 09:46:37.638235
239,91776,4.0,2020-11-03 09:46:37.638235
240,91780,5.0,2020-11-03 09:46:37.638235
241,91789,8.0,2020-11-03 09:46:37.638235
242,91790,6.833333333333333,2020-11-03 09:46:37.638235
243,91791,8.0,2020-11-03 09:46:37.638235
244,91792,8.0,2020-11-03 09:46:37.638235
245,91801,4.0,2020-11-03 09:46:37.638235
246,91803,5.0,2020-11-03 09:46:37.638235
247,93510,5.333333333333333,2020-11-03 09:46:37.638235
248,93534,6.2,2020-11-03 09:46:37.638235
249,93535,6.8,2020-11-03 09:46:37.638235
250,93536,7.5,2020-11-03 09:46:37.638235
251,93543,8.0,2020-11-03 09:46:37.638235
252,93550,7.0,2020-11-03 09:46:37.638235
253,93551,5.0,2020-11-03 09:46:37.638235
254,93552,5.0,2020-11-03 09:46:37.638235
255,93591,8.0,2020-11-03 09:46:37.638235
