,locationID,name,address,city,waitTime
444,14670,Maurice Sendak Elementary School,11414 W Tiara St,North Hollywood,8
447,12821,Maywood Hall,4319 E Slauson Ave,Maywood,8
448,14566,McCarty Memorial Christian Church,4103 W Adams Blvd,Los Angeles,8
449,2662,McKinley Elementary School,14431 S Stanford Ave,Compton,8
480,5788,New Lexington Elementary School,10410 Bodger St,El Monte,8
479,14213,New Hope Youth Group,10438 Oro Vista Ave,Sunland-Tujunga,8
0,14246,100 Thieves,6050 Jefferson Blvd,Los Angeles,8
481,14571,New Power of Love,1430 W Manchester,Los Angeles,8
429,3193,MacArthur Park,1321 E Anaheim St,Long Beach,8
509,2539,Palm Park and Community Center,12305 207th St,Lakewood,8
510,6017,Palmdale Elks Lodge,2705 East Avenue Q,Palmdale,8
511,14010,Palmdale High School,2137 East Avenue R,Palmdale,8
512,4378,Palomares Park,499 E Arrow Hwy,Pomona,8
513,10005,Palos Verdes High School,600 Cloyden Rd,Palos Verdes Estates,8
514,9635,Palos Verdes Peninsula High School,27118 Silver Spur Rd,Rolling Hills Estates,8
515,8251,Pan American Park,5157 E Centralia St,Long Beach,8
516,13818,Panorama Presbyterian Church,14201 Roscoe Blvd,Panorama City,8
518,6826,Paradise Baptist Church,5100 S Broadway,Los Angeles,8
519,14011,Paramount High School - West Campus,14708 Paramount Blvd,Paramount,8
520,11792,Park View Educational Complex,44327 Fig Ave,Lancaster,8
521,13885,Pasadena City College,1570 E Colorado Blvd,Pasadena,8
523,2549,Patrick Henry Middle School,17340 San Jose St,Granada Hills,8
524,9990,Perry Park,2301 Grant Ave,Redondo Beach,8
526,4743,Pico Park Community Center,9528 Beverly Blvd,Pico Rivera,8
527,14425,Pio Pico Middle School,1512 S Arlington Ave,Los Angeles,8
529,5244,Piute Middle School,425 East Avenue H 11,Lancaster,8
507,1993,Pacific Unitarian Church,5621 Montemalaga Dr,Rancho Palos Verdes,8
506,500,Pacific Park Community Center,501 S Pacific Ave,Glendale,8
505,6819,Our Savior Lutheran Church,512 W Duarte Rd,Arcadia,8
493,9342,Northridge Academy High School,9601 Zelzah Ave,Northridge,8
483,14214,New Vista Middle School,753 East Avenue K2,Lancaster,8
484,6488,Newcomb Academy,3351 Val Verde Ave,Long Beach,8
485,13866,Nickerson Gardens Boys & Girls Club,11251 Compton Ave,Los Angeles,8
489,2655,North High School,3620 W 182nd St,Torrance,8
490,1949,North Hollywood Recreation Center,11430 Chandler Blvd,North Hollywood,8
491,4544,North Weddington Recreation Center,10844 Acama St,North Hollywood,8
492,13562,Northeast Mental Health Center,3303 N Broadway,Los Angeles,8
494,4810,Norwalk Arts and Sports Complex,13200 Clarkdale Ave,Norwalk,8
503,7049,Orangewood Elementary School,1440 S Orange Ave,West Covina,8
495,14417,Norwalk High School,11356 Leffingwell Rd,Norwalk,8
496,2821,Norwalk Masonic Center,12345 Rosecrans Ave,Norwalk,8
497,14419,Oak Tree Community Day School,38136 35th Street E,Palmdale,8
498,1907,Oakwood Recreation Center,767 California Ave,Venice,8
499,11756,Occidental College,1600 Campus Rd,Los Angeles,8
500,8035,Olive Vista Middle School,14600 Tyler St,Sylmar,8
501,14568,One Santa Fe,300 S Santa Fe Ave,Los Angeles,8
482,1776,New River Elementary School,13432 Halcourt Ave,Norwalk,8
423,5819,Los Nietos Middle School,11425 Rivera Rd,Los Nietos,8
427,5189,Lynwood Middle School,12124 Bullis Rd,Lynwood,8
366,14618,La Brea Tar Pits,5801 Wilshire Blvd,Los Angeles,8
357,260,Katy Geissert Civic Center Library,3301 Torrance Blvd,Torrance,8
358,14200,Kelso Elementary School,809 E Kelso St,Inglewood,8
360,14201,Kenneth Hahn Hall of Administration,500 W Temple St,Los Angeles,8
361,14379,Killian Elementary School,19100 Killian Ave,Rowland Heights,8
362,14588,Kimpton La Peer Hotel,627 N La Peer Dr,West Hollywood,8
364,4420,Kranz Intermediate School,12460 Fineview St,El Monte,8
365,14617,L Aronoff and Sons,21210 Erwin St,Woodland Hills,8
367,11814,La Canada Unified School Ditrict,4490 Cornishon Ave,La Canada Flintridge,8
355,7895,Juarez Academy of Engineering and Tech,11939 Aclare St,Cerritos,8
368,2175,LA County Arboretum Botanic Garden,301 N Baldwin Ave,Arcadia,8
369,13946,LA County Department of Public Works,900 S Fremont Ave,Alhambra,8
370,13565,LA County Registrar-Recorder/County Clerk,12400 Imperial Hwy,Norwalk,8
372,13784,LA Family Housing,7843 Lankershim Blvd,North Hollywood,8
374,5100,LA Harbor Masonic Lodge,1640 W 9th St,San Pedro,8
377,14418,La Mirada Adult School,15920 Barbata Rd,La Mirada,8
379,8503,La Mirada Theater,14900 La Mirada Blvd,La Mirada,8
356,14199,Junior Achievement of So Cal (JASoCal),6250 Forest Lawn Dr,Los Angeles,8
352,2428,Joslyn Community Center,1601 N Valley Dr,Manhattan Beach,8
381,14383,La Serna High School,15301 Youngwood Dr,Whittier,8
340,2204,Jellick Elementary School,1400 S Jellick Ave,Rowland Heights,8
330,13664,International City Masonic Center,5155 Pacific Coast Hwy,Long Beach,8
331,6627,IOOF Bellflower Lodge #463,15720 Clark Ave,Bellflower,8
332,12744,Iranian American Jewish Federation,1317 N Crescent Heights Blvd,West Hollywood,8
334,13973,Jackie Robinson Park,8773 East Avenue R,Sun Village,8
335,14532,James Madison Middle School,13000 Hart St,North Hollywood,8
338,5400,Jeff Seymour Family Center,10900 Mulhall St,El Monte,8
339,14654,Jefferson Middle School,1372 E Las Tunas Dr,San Gabriel,8
341,4461,Jesse Owens Park,9651 S Western Ave,Los Angeles,8
351,13348,Jordan Downs Recreation Center,9900 Grape St,Los Angeles,8
343,14585,JF Chen,830 N Highland Ave,Hollywood,8
344,9915,JH Hull Middle School,2080 W 231st St,Torrance,8
346,14533,John F Kennedy High School,11254 Gothic Ave,Granada Hills,8
347,14376,John Marshall Middle School,1921 Arroyo Ave,Pomona,8
348,9789,John Muir Elementary School,2526 6th St,Santa Monica,8
349,14377,John Muir Middle School,1111 N Kenneth Rd,Burbank,8
350,13132,Joohyang Presbyterian Church,3412 W 4th St,Los Angeles,8
380,10639,La Puente Community Center,501 Glendora Ave,La Puente,8
382,5357,La Tijera K-8 Academy of Excellence,1415 N La Tijera Blvd,Inglewood,8
426,6343,Lutheran Church of the Master,725 East Avenue J,Lancaster,8
414,14097,Los Angeles Harbor College,1111 Figueroa Pl,Wilmington,8
405,10547,Long Beach City College,4901 E Carson St,Long Beach,8
407,13939,Long Beach Convention Center,300 E Ocean Blvd,Long Beach,8
408,14391,Longfellow Elementary School,6005 Magnolia Ave,Whittier,8
409,5947,Loreto Street Elementary School,3408 Arroyo Seco Ave,Los Angeles,8
410,5092,Los Altos Elementary School,15565 Los Altos Dr,Hacienda Heights,8
411,12808,Los Angeles Academy Middle School,644 E 56th St,Los Angeles,8
413,9495,Los Angeles Elementary School,1211 S Hobart Blvd,Los Angeles,8
415,14534,Los Angeles High School,4650 W Olympic Blvd,Los Angeles,8
403,3694,Lockwood Avenue Elementary School,4345 Lockwood Ave,Los Angeles,8
416,9532,Los Angeles Mission College,13356 Eldridge Ave,Sylmar,8
418,13824,Los Angeles Southwest College,1600 W Imperial Hwy,Los Angeles,8
419,7658,Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,8
420,14663,Los Angeles Valley College,5800 Fulton Ave,Valley Glen,8
422,14206,Los Molinos Elementary School,3112 Las Marias Ave,Hacienda Heights,8
531,14572,Playa Las Tunas Banquet Hall,1457 W Washington Blvd,Los Angeles,8
425,14004,Lucy Avalos Community Center,11832 Atlantic Ave,Lynwood,8
404,10854,Lomita Park,24428 Eshelman Ave,Lomita,8
402,11727,Living Stone Cathedral of Worship,37721 100th Street East,Littlerock,8
383,6619,Laborers Local 300,14800 Devonshire St,Mission Hills,8
392,13898,Leland R Weaver Library,4035 Tweedy Blvd,South Gate,8
1,14247,15th Street Elementary School,1527 S Mesa St,San Pedro,8
386,13813,Lancaster Market Place,44920 Valley Central Way,Lancaster,8
387,14094,Lancaster National Soccer Center,43000 30th Street East,Lancaster,8
388,13168,Langley Senior Center,400 W Emerson Ave,Monterey Park,8
389,13831,Las Palmas Park,505 S Huntington St,San Fernando,8
390,14386,Latin Paradise Banquet Hall,6357 Van Nuys Blvd,Van Nuys,8
391,5974,Laurel Elementary School,925 N Hayworth Ave,Los Angeles,8
393,14205,Lennox Middle School,11033 Buford Ave,Lennox,8
401,13585,LiUNA Local 1309,3971 Pixie Ave,Lakewood,8
394,1757,Lennox Park,10828 Condon Ave,Lennox,8
395,2044,Levy Adult Center,3420 W 229th Pl,Torrance,8
396,9473,Liberty Community Plaza,14181 Telegraph Rd,Whittier,8
397,11754,Liberty II Facility,19033 Studebaker Rd,Cerritos,8
398,2736,Lincoln Heights Senior Citizen Center,2323 Workman St,Los Angeles,8
399,9427,Lindero Canyon Middle School,5844 Larboard Ln,Agoura Hills,8
400,8293,Little White Chapel,1711 N Avon St,Burbank,8
530,14013,Playa Las Tunas Banquet Hall,1911 4th Ave,Los Angeles,8
536,5993,Potrero Elementary School,2611 Potrero Ave,El Monte,8
532,13798,Plaza West Covina,312 California Ave,West Covina,8
696,7566,Union Church LA,201 S New Ave,Monterey Park,8
684,14122,Topanga Community Center,1440 N Topanga Canyon Blvd,Topanga,8
685,13902,Topanga Library,122 N Topanga Canyon Blvd,Topanga,8
689,1568,TreePeople,12601 Mullholland Dr,Beverly Hills,8
690,3547,Trinity Lutheran Church,997 E Walnut,Pasadena,8
692,14596,Uber - Burbank,4201 Vanowen Pl,Burbank,8
694,9725,UCLA Ackerman Union,340 Royce Dr,Los Angeles,8
695,6166,Union Avenue Elementary School,150 S Burlington Ave,Los Angeles,8
697,14552,Union Station,811 N Vignes St,Los Angeles,8
681,14121,Toberman Neighborhood Center,131 N Grand Ave,San Pedro,8
700,14645,USC Health Science Campus,2001 N Soto St,Los Angeles,8
701,2544,Valencia Valley Elementary School,23601 Carrizo Dr,Valencia,8
702,14237,Valinda School of Academics,1030 Indian Summer Ave,La Puente,8
703,14580,Valley Academy of Arts and Sciences,10445 Balboa Blvd,Granada Hills,8
704,6976,Valley Korean United Methodist Church,10408 Balboa Blvd,Granada Hills,8
705,14590,Van Nuys Elks Lodge,14440 Friar St,Van Nuys,8
706,14537,Van Nuys Middle School,5435 Vesper Ave,Van Nuys,8
682,13788,Tom Bradley International Hall,Charles E Young Dr,Los Angeles,8
680,5225,Tibby Elementary School,1400 W Poplar St,Compton,8
709,14239,Vector 90,6111 S Gramercy Pl,Los Angeles,8
663,14484,The Brewery Artist Lofts,600 Moulton Ave #101B,Los Angeles,8
654,11813,Sunland Senior Citizen Center,8640 Fenwick St,Sunland,8
655,14480,Tamarisk Elementary School,1834 East Avenue Q 5,Palmdale,8
657,2329,Ted Watkins Park,1335 E 103rd St,Los Angeles,8
658,2165,Telfair Elementary School,10975 Telfair Ave,Pacoima,8
660,14229,Temple Intermediate School,8510 Fern Ave,Rosemead,8
661,14117,Terasaki Budokan,249 S Los Angeles St,Los Angeles,8
662,14638,The Beverly Hilton,9876 Wilshire Blvd,Beverly Hills,8
664,13987,The Canyon - Santa Clarita,24201 Valencia Blvd,Santa Clarita,8
677,4425,Thomas Jefferson Elementary School,1900 N 6th St,Burbank,8
665,14640,The Catalina Room,128 Catalina Ave,Redondo Beach,8
667,13791,The LA Forum,3900 W Manchester Blvd,Inglewood,8
669,13166,The Music Center,135 N Grand,Los Angeles,8
670,14488,The Portofino Hotel and Marina,260 Portofino Way,Redondo Beach,8
672,14232,The Valley Vineyard Christian Church,6642 Reseda Blvd,Reseda,8
674,14519,The Westin Long Beach,333 E Ocean Blvd,Long Beach,8
676,14233,Thee Chateau Banquet Hall,1700 Holt Ave,Pomona,8
708,14238,Vasquez High School,33630 Red Rover Mine Rd,Acton,8
711,441,Veterans Memorial Complex,4117 Overland Ave,Culver City,8
652,11536,Sun Valley Senior High,9171 Telfair Ave,Sun Valley,8
752,3200,Will Rogers Middle School,365 Monrovia Ave,Long Beach,8
743,2229,Westminster Avenue Elementary School,1010 Abbot Kinney Blvd,Venice,8
744,4084,Westminster Presbyterian Church,1757 N Lake Ave,Pasadena,8
745,14559,Westminster Senior Center,1234 Pacific Ave,Venice,8
747,14502,WGA Theater,135 South Doheny Dr,Beverly Hills,8
749,14542,Wiley Canyon Elementary School,24240 W La Glorita Cir,Newhall,8
750,5792,Wilkerson Middle School,2700 Doreen Ave,El Monte,8
751,11488,Will Rogers Learning Community,2401 14th St,Santa Monica,8
754,1751,Willow Adult Education Center,14101 Nelson Ave,La Puente,8
739,14581,Westchester Enriched Sciences Magnets,7400 W Manchester Ave,Los Angeles,8
755,5807,Willow Elementary School,11733 205th St,Lakewood,8
758,7976,Wilshire Crest Elementary School,5241 W Olympic Blvd,Los Angeles,8
759,3908,Wilshire Park Elementary School,4063 Ingraham St,Los Angeles,8
761,8517,Wilson Senior High,4500 Multnomah St,Los Angeles,8
762,11629,Wilsona Elementary School,41625 170th Street East,Lake Los Angeles,8
764,1975,Winnetka Recreation Center,8401 Winnetka Ave,Winnetka,8
765,3600,Wittmann Elementary School,16801 Yvette Ave,Cerritos,8
740,14035,Westfield Century City,10250 Santa Monica Blvd,Los Angeles,8
737,879,West Los Angeles College,10100 Jefferson Blvd,Culver City,8
712,8561,Veterans Park,22400 Moneta Ave,Carson,8
725,5847,War Memorial Building,435 Fair Oaks Ave,South Pasadena,8
714,10465,Victoria Community Regional Park,419 E 192nd St,Carson,8
715,1836,Victory Boulevard Elementary School,6315 Radford Ave,North Hollywood,8
716,3829,Victory Park,2575 Paloma St,Pasadena,8
717,240,Villa Parke Community Center,363 E Villa St,Pasadena,8
718,4305,Vineyard Recreation Center,2942 Vineyard Ave,Los Angeles,8
720,14240,Vista Del Mar Child & Family Services,3200 Motor Ave,Los Angeles,8
723,9391,Walnut High School,400 Pierre Rd,Walnut,8
726,3323,Ward Elementary School,8851 Adoree St,Downey,8
735,9153,West Athens Elementary School,1110 W 119th St,Los Angeles,8
727,14496,Ward Villas for Seniors,1177 W Adams Blvd,Los Angeles,8
728,14587,Warner Center Marriott Woodland Hills,21850 W Oxnard St,Woodland Hills,8
729,13912,Warner Grand Theatre,478 W 6th St,San Pedro,8
730,14523,Washington Middle School,1505 N Marengo Ave,Pasadena,8
732,11487,Webster Elementary School,3602 Winter Canyon Rd,Malibu,8
733,13878,Wellnest Emotional Health & Wellness,3787 S Vermont Ave,Los Angeles,8
734,11728,West Angeles Church of God In Christ,3600 Crenshaw Blvd,Los Angeles,8
653,14637,Sunkist Library,840 N Puente Ave,La Puente,8
649,13894,Stevenson Ranch Library,25950 The Old Rd,Stevenson Ranch,8
534,14427,Pomona High School,475 Bangor St,Pomona,8
575,10717,Rowley Park,13220 Van Ness Ave,Gardena,8
566,13880,Rogers Park,400 W Beach Ave,Inglewood,8
567,11486,Roosevelt Elementary School,801 Montana Ave,Santa Monica,8
568,5300,Roosevelt Middle School,1200 E Alondra Blvd,Compton,8
569,1990,Rosecrans Recreation Center,840 W 149th St,Gardena,8
572,1707,Ross Middle School,17707 Elaine Ave,Artesia,8
573,14451,Rowland Elementary School,2036 Fullerton Rd,Rowland Heights,8
574,14453,Rowland High School,2000 S Otterbein Ave,Rowland Heights,8
577,9339,Roy Romer Middle School,6501 Laurel Canyon Blvd,North Hollywood,8
563,8660,Robert Gross Park,2800 Empire Ave,Burbank,8
578,4651,S G Oswalt Academy,19501 Shadow Oak Dr,Walnut,8
579,14018,Saban Beverly Hills,8440 Wilshire Blvd,Beverly Hills,8
580,3636,Salazar Park,3864 Whittier Blvd,Los Angeles,8
582,4596,Salt Lake Park,3401 E Florence Ave,Huntington Park,8
583,326,San Dimas City Hall,245 E Bonita Ave,San Dimas,8
584,14512,San Fernando Library,217 N Maclay Ave,San Fernando,8
585,13832,San Fernando Recreation Park,208 Park Ave,San Fernando,8
564,479,Robinson Park Recreation Center,1081 N Fair Oaks Ave,Pasadena,8
562,12653,Riviera United Methodist Church,375 Palos Verdes Blvd,Redondo Beach,8
589,13929,San Pedro Elks Lodge,1748 Cumbre Dr,San Pedro,8
543,14629,PUC Lakeview Charter Academy,11465 Kagel Canyon St,Lakeview Terrace,8
535,11566,Port of Long Beach Maintenance Division,725 Harbor Plaza,Long Beach,8
327,5481,Incarnation Community Center,214 W Fairview Ave,Glendale,8
537,3361,Powell Academy for Success,150 W Victoria St,Long Beach,8
538,14215,Prairie Vista Middle School,13600 Prairie Ave,Hawthorne,8
539,14015,Prince of Peace Episcopal Church,5700 Rudnick Ave,Woodland Hills,8
540,3797,Progress Park,15500 Downey Ave,Paramount,8
542,14628,PUC Excel Charter Academy,1855 N Main St,Los Angeles,8
547,5036,Ranch Hills Elementary School,2 Trabuco Pl,Pomona,8
561,414,Rivera Park Community Recreation Center,9530 Shade Ln,Pico Rivera,8
550,13819,RCCG Victory House Hollywood,16730 Schoenborn St,North Hills,8
551,14439,Recreation Park,4900 E 7th St,Long Beach,8
552,14108,Redeemer Christian Academy,10792 National Blvd,West Los Angeles,8
554,14586,Reigning Champ,115 South La Brea Ave,Los Angeles,8
555,14445,Ridgecrest Intermediate School,28915 Northbay Rd,Rancho Palos Verdes,8
556,13882,Rio Hondo College,3600 Workman Mill Rd,Whittier,8
560,14446,Rios,3101 W Exposition Pl,Los Angeles,8
588,7473,San Jose Edison Academy,2021 W Alwood St,West Covina,8
591,2895,Sanatana Dharma Temple,15311 Pioneer Blvd,Norwalk,8
648,11555,Stephen Sorensen County Park,16801 East Avenue P,Palmdale,8
631,6114,St Casimir Church,3855 Evans St,Los Angeles,8
623,14114,South Bay Adult School,3401 Inglewood Ave,Redondo Beach,8
624,6389,South Coast Botanic Gardens,26300 Crenshaw Blvd,Palos Verdes Estates,8
625,13815,South El Monte Community Center,1530 Central Ave,South El Monte,8
627,257,South Pasadena Public Library,1115 El Centro St,South Pasadena,8
628,12286,Southeast Academy High School,12940 Foster Rd,Norwalk,8
629,5237,Southeast Rio Vista Ymca,4801 E 58th St,Maywood,8
630,14567,St Bernadette Catholic Church,3825 Don Felipe Dr,Los Angeles,8
633,14023,St Cross Episcopal Church,1818 Monterey Blvd,Hermosa Beach,8
619,4965,Simms Park Community Center,16614 Clark Ave,Bellflower,8
634,14467,St Euphrasia Church,11766 Shoshone Ave,Granada Hills,8
639,14635,St Mark Baptist Church,1703 Lemon Ave,Long Beach,8
640,13106,St Mary & St Athanasius Church,17431 Roscoe Blvd,Northridge,8
641,13559,St Mary's Catholic Church,1600 East Avenue R4,Palmdale,8
642,12533,St Patrick's Catholic Church,10626 Erwin St,North Hollywood,8
645,6021,St Stephen Baptist Church,1718 Walnut Ave,La Puente,8
646,13927,Stanley Social,1510 N Stanley Ave,Los Angeles,8
622,5208,Sonia Sotomayor Arts & Sciences Magnet,2050 N San Fernando Rd,Los Angeles,8
618,12727,Signal Hill Park,1780 E Hill St,Signal Hill,8
592,12948,Sanctuary for Spiritual Living,5446 N Citrus Ave,Covina,8
605,6548,Selma Avenue Elementary School,6611 Selma Ave,Los Angeles,8
593,6465,Santa Anita Church,226 Colorado Blvd,Arcadia,8
594,14110,Santa Anita Park,285 W Huntington Dr,Arcadia,8
595,14220,Santa Clarita Athletic Club,24640 Wiley Canyon Rd,Newhall,8
600,14459,Scholarship Prep - South Bay,24910 S Avalon Blvd,Wilmington,8
602,13924,Scottish Rite Cathedral,855 Elm Ave,Long Beach,8
603,12817,Scottsdale Townhouse,23400 S Avalon Blvd,Carson,8
604,14545,Second Home Hollywood,1370 N St Andrews Pl,Los Angeles,8
607,14631,Serenity Event Center,695 E Foothill Blvd,Pomona,8
617,10654,Sierra Vista Jr High School,19425 Stillmore St,Canyon Country,8
608,10678,Shadow Oak Park Recreation Center,2121 Shadow Oak Dr,West Covina,8
609,385,Shatto Recreation Center,3191 W 4th St,Los Angeles,8
610,14632,Shelyn Elementary School,19500 Nacora St,Rowland Heights,8
613,14223,Shiekh Compton Community Center,1900 N Long Beach Blvd,Compton,8
614,14224,Shirpser Elementary School,4020 Gibson Rd,El Monte,8
615,14043,Shrine Auditorium & Expo Hall,700 W. 32nd Street,Los Angeles,8
616,2494,Sierra Park Elementary School,3170 Budau Ave,Los Angeles,8
329,14194,Inglewood High School,231 S Grevillea Ave,Inglewood,8
384,13793,Lakewood Youth Center,4658 Woodruff Ave,Lakewood,8
208,14591,Embassy Suites by Hilton LAX South,1440 East Imperial Highway,El Segundo,8
174,14164,DoubleTree by Hilton LA Downtown,120 S Los Angeles St,Los Angeles,8
47,14543,Beardslee Elementary School,1212 Kellwill Way,Duarte,8
188,9389,East Rancho Dominguez Park,15116 S Atlantic Ave,Compton,8
187,14315,East Los Angeles Library,4837 E 3rd St,Los Angeles,8
186,11770,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,8
48,450,Bell Community Center,6250 Pine Ave,Bell,8
185,8782,East LA Rising Youth Club,324 N McDonnell Ave,Los Angeles,8
184,379,Eagle Rock Recreation Center,1100 Eagle Vista Dr,Los Angeles,8
49,14604,Bell Gardens High School,6119 Agra St,Bell Gardens,8
181,3155,E Whittier United Methodist Church,10005 Cole Rd,Whittier,8
180,4374,Durfee Elementary School,4220 Durfee Ave,Pico Rivera,8
179,13811,Duarte High School,1565 E Central Ave,Duarte,8
178,6503,Drake Park,951 Maine Ave,Long Beach,8
177,14165,Dr Ronald E McNair Elementary School,1450 W El Segundo Blvd,Compton,8
175,14163,DoubleTree by Hilton LAX - El Segundo,1985 East Grand Ave,El Segundo,8
51,14665,Belvedere Park,4914 E. Cesar Chavez,Los Angeles,8
45,310,Bateman Hall,11331 Ernestine Ave,Lynwood,8
173,14529,Dominguez Elementary School,21250 S Santa Fe Ave,Carson,8
172,14061,Dollarhide Health Center,1108 N Oleander Ave,Compton,8
52,11752,Bethel AME Church LA,7900 S Western Ave,Los Angeles,8
171,14161,Dodger Stadium,1000 Vin Scully Ave,Los Angeles,8
170,11055,Dockweiler Youth Center,12505 Vista del Mar,Playa Del Rey,8
53,14666,Bethesda Presbyterian Church ,14420 Crenshaw Blvd,Gardena,8
169,1926,Disabled American Veterans #73,6543 Corbin Ave,Woodland Hills,8
54,13357,Betty Hill Senior Citizen Center,3570 S Denker Ave,Los Angeles,8
167,3968,Diamond Bar City Hall,21810 Copley Dr,Diamond Bar,8
55,13844,Beverly Hills City Hall,450 N Crescent Dr,Beverly Hills,8
56,14148,Beverly Hills Women's Club,1700 Chevy Chase Dr,Beverly Hills,8
165,14064,Destiny Christian Center International,44628 10th Street West,Lancaster,8
164,14309,DEL Records and Sony Music Latin,6400 Garfield Ave,Bell Gardens,8
163,2328,Del Aire Park,12601 Isis Ave,Hawthorne,8
190,14770,Eastmont Community Center,701 Hoefner Ave,Los Angeles,8
43,12366,Bassett Adult School,943 N Sunkist Ave,La Puente,8
220,13148,Estrella Elementary School,120 E 57th St,Los Angeles,8
207,14167,Embassy Suites by Hilton LAX North,9801 Airport Blvd,El Segundo,8
218,2802,Esperanza Elementary School,680 Little St,Los Angeles,8
30,2569,Atwater Avenue Elementary School,3271 Silver Lake Blvd,Los Angeles,8
217,12833,Eshelman Avenue Elementary School,25902 Eshelman Ave,Lomita,8
32,14553,Avenue of the Stars,10050 Constellation Blvd,Los Angeles,8
214,13038,Epoca Hall,6624 Atlantic Ave,Bell,8
33,13821,Aviation Gymnasium,1935 Manhattan Beach Blvd,Redondo Beach,8
34,14145,Awaken LA Church,5853 Laurel Canyon Blvd,Valley Village,8
35,11533,Azusa Women's Club,1003 N Azusa Ave,Azusa,8
36,14550,Baldwin Park Library,4181 Baldwin Park Blvd,Baldwin Park,8
212,1823,Enterprise Park,13055 Clovis Ave,Los Angeles,8
211,14171,Endeavour Middle School,43755 45th Street West,Lancaster,8
37,13803,Banc of California Stadium,3939 S Figueroa St,Los Angeles,8
209,14582,Emerson Middle School,1650 Selby Ave,Los Angeles,8
93,14152,Caravan 4 Justice,646 W Pacific Coast Hwy,Long Beach,8
206,4401,Elysian Valley Recreation Center,1811 Ripple St,Los Angeles,8
193,10862,Edgewood Academy Elementary School,14135 Fairgrove Ave,La Puente,8
205,2755,Elysian Park Therapeutic Rec Center,929 Academy Rd,Los Angeles,8
204,9291,Elysian Masonic Lodge,1900 N Vermont Ave,Los Angeles,8
38,6867,Banning Recreation Center,1331 Eubank Ave,Wilmington,8
39,10308,Barker Hangar,3021 Airport Ave Suite 203,Santa Monica,8
41,8746,Barrio Action Youth and Family Center,4927 Huntington Dr N Unit 200,Los Angeles,8
203,14318,Elks Lodge 2190,20925 Osborne St,Canoga Park,8
201,14481,El Segundo Teen Center,405 East Grand Ave,El Segundo,8
200,12476,El Roble Intermediate School,665 N Mountain Ave,Claremont,8
199,13395,El Monte Station (LA Metro),3501 Santa Anita Ave,El Monte,8
42,14526,Barton Hill Elementary School,423 N Pacific Ave,San Pedro,8
197,11791,El Hussein Community Center,4313 Gage Ave,Bell,8
