"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-02-20";"345.4058";"31.09";"-0.17";"881.91";"2784.5";"1110.8093";"11275.8";"19440.23"
"2022-02-19";"347.3129";"31.27";"-0.22";"721.78";"3207.8";"1110.8093";"11275.49";"19441.05"
"2022-02-18";"349.79";"31.49";"-0.24";"581.11";"3259.8";"1110.8093";"11275.45";"19441.16"
"2022-02-17";"352.4798";"31.73";"-0.24";"718.47";"3350.3";"1110.8093";"11275.55";"19440.88"
"2022-02-16";"355.0888";"31.97";"-0.3";"638.54";"3939.5";"1110.8093";"11275.38";"19441.34"
"2022-02-15";"358.3805";"32.26";"-0.36";"386.99";"4337.9";"1110.8093";"11275.22";"19441.76"
"2022-02-14";"362.482";"32.63";"-0.36";"622.58";"4593.3";"1110.8093";"11275.13";"19442.01"
"2022-02-13";"366.408";"32.99";"-0.26";"784.14";"3718.3";"1110.8117";"11275.06";"19442.45"
"2022-02-12";"369.3376";"33.25";"-0.34";"479.43";"4270.2";"1110.8117";"11274.86";"19442.98"
"2022-02-11";"373.1594";"33.59";"-0.42";"440.62";"5128.5";"1110.8117";"11274.57";"19443.75"
"2022-02-10";"377.8224";"34.01";"-0.41";"451.57";"5059.5";"1110.8117";"11274.28";"19475.73"
"2022-02-09";"382.4287";"34.43";"-0.36";"506.3";"4500.8";"1110.8117";"11273.89";"19476.74"
"2022-02-08";"386.3185";"34.78";"-0.37";"346.48";"4430.8";"1110.8117";"11273.69";"19477.28"
"2022-02-07";"390.4029";"35.15";"-0.39";"328.46";"4675.5";"1110.8117";"11273.32";"19478.24"
"2022-02-06";"394.7603";"35.54";"-0.22";"649.7";"3073.9";"1110.8107";"11273.25";"19478.32"
"2022-02-05";"397.2595";"35.76";"-0.24";"602.34";"3301.4";"1110.8107";"11273.18";"19478.51"
"2022-02-04";"399.9629";"36.01";"-0.34";"591.39";"4350.1";"1110.8107";"11273.18";"19478.52"
"2022-02-03";"403.7377";"36.35";"-0.41";"410.59";"5002.7";"1110.8107";"11272.96";"19479.08"
"2022-02-02";"408.3312";"36.76";"-0.44";"273.09";"5123.6";"1110.8107";"11272.7";"19446.82"
"2022-02-01";"413.1853";"37.2";"-0.45";"296.26";"5305";"1110.8107";"11272.4";"19480.58"
"2022-01-31";"418.1289";"37.64";"-0.55";"222.97";"6365.2";"1110.8107";"11272.09";"19501.49"
"2022-01-30";"424.2649";"38.19";"-0.35";"506.39";"4403.1";"1110.8229";"11272.09";"19502.88"
"2022-01-29";"428.1475";"38.54";"-0.36";"589";"4594";"1110.8229";"11271.83";"19503.56"
"2022-01-28";"432.1361";"38.9";"-0.56";"210.35";"6430.7";"1110.8229";"11271.44";"19523.09"
"2022-01-27";"438.3505";"39.46";"-0.59";"281.3";"6795.5";"1110.8229";"11271.14";"19523.9"
"2022-01-26";"444.8837";"40.05";"-0.68";"234.16";"7819.4";"1110.8229";"11270.68";"19525.1"
"2022-01-25";"452.4141";"40.73";"-0.72";"170.59";"8184.6";"1110.8229";"11270.25";"19526.23"
"2022-01-24";"460.4331";"41.45";"-0.7";"189.45";"7915.7";"1110.8229";"11269.85";"19494.08"
"2022-01-23";"468.1584";"42.14";"-0.54";"261.97";"6254.3";"1110.8449";"11269.97";"19529.47"
"2022-01-22";"474.273";"42.69";"-0.58";"234.26";"6661";"1110.8449";"11269.55";"19530.58"
"2022-01-21";"480.7003";"43.27";"-0.69";"166.85";"7817.8";"1110.8449";"11270.08";"19529.2"
"2022-01-20";"488.3528";"43.96";"-0.65";"158.96";"7396.8";"1110.8449";"11269.68";"19492.91"
"2022-01-19";"495.5687";"44.61";"-0.64";"207.14";"7333";"1110.8449";"11269.28";"19508.05"
"2022-01-18";"502.4789";"45.23";"-0.69";"199.79";"7844.2";"1110.8449";"11268.73";"19552.55"
"2022-01-17";"510.1639";"45.93";"-0.64";"213.01";"7351.8";"1110.8449";"11268.37";"19509.95"
"2022-01-16";"517.276";"46.56";"-0.49";"459.31";"5947.3";"1110.9449";"11270.45";"19559.44"
"2022-01-15";"522.7782";"47.06";"-0.56";"366.08";"6558.3";"1110.9449";"11269.95";"19560.76"
"2022-01-14";"528.9643";"47.61";"-0.7";"189.15";"8011.3";"1110.9449";"11269.46";"19562.05"
"2022-01-13";"536.8254";"48.32";"-0.71";"249.13";"8108.6";"1110.9449";"11269.65";"19561.54"
"2022-01-12";"557.3189";"50.17";"-0.76";"194.24";"8644.6";"1110.9449";"11269.23";"19562.65"
"2022-01-11";"552.7912";"49.76";"-0.73";"227.92";"8294.6";"1110.9449";"11268.79";"19563.8"
"2022-01-10";"560.8372";"50.49";"-0.69";"180.26";"7850.1";"1110.8941";"11268.31";"19560.87"
"2022-01-09";"568.9187";"51.22";"-0.43";"372.73";"5139.7";"1110.7599";"11264.64";"19555.27"
"2022-01-08";"573.6877";"51.65";"-0.43";"386.57";"5135.2";"1110.7599";"11264.22";"19556.37"
"2022-01-07";"578.4525";"52.08";"-0.52";"334.34";"6109";"1110.7599";"11263.83";"19557.4"
"2022-01-06";"584.2132";"52.6";"-0.48";"398.5";"5712.3";"1110.7599";"11263.49";"19558.28"
"2022-01-05";"588.5382";"52.99";"-0.39";"565.01";"4843.6";"1110.7599";"11263.09";"19559.34"
"2022-01-04";"592.7334";"53.36";"-0.25";"1131.49";"3961.6";"1110.7599";"11262.91";"19559.83"
"2022-01-03";"595.5332";"53.61";"-0.15";"1572.83";"3188.2";"1110.7599";"11263.08";"19559.39"
"2022-01-02";"597.0875";"53.76";"-0.01";"2303.97";"2377";"1110.7433";"11263.03";"19557.61"
"2022-01-01";"597.1406";"53.76";"0.18";"3913.47";"1898.4";"1110.7209";"11263.26";"19556.25"
