attendance,localdate,winner,matchstatus,resulttype,group_name,humidity,temperature,home_score,home_idteam,home_tactics,home_team,away_score,away_idteam,away_tactics,away_team,overallhome,overallaway,winner_team,winner_possession
84985,2022-11-30,43911,0,1,Group C,71,24,1,43835,4-4-2,Saudi Arabia,2,43911,4-5-1,Mexico,39.59435,60.40565,away,away
43984,2022-12-01,,0,1,Group F,56,27,0,43938,4-3-3,Croatia,0,43935,3-4-3,Belgium,49.719357,50.280643,home,away
43102,2022-12-01,43872,0,1,Group F,59,27,1,43899,4-4-2,Canada,2,43872,4-3-3,Morocco,57.062214,42.937786,away,home
44851,2022-12-01,43819,0,1,Group E,62,24,2,43819,3-4-3,Japan,1,43969,4-3-3,Spain,20.337528,79.66247,home,away
67054,2022-12-01,43948,0,1,Group E,73,23,2,43901,5-4-1,Costa Rica,4,43948,4-3-3,Germany,33.412308,66.58769,away,away
43443,2022-12-02,43930,0,1,Group H,64,26,0,43860,4-5-1,Ghana,2,43930,4-3-3,Uruguay,53.139244,46.860756,away,home
44097,2022-12-02,43822,0,1,Group H,64,26,2,43822,4-3-3,Korea Republic,1,43963,4-5-1,Portugal,39.243492,60.756508,home,away
41378,2022-12-02,43971,0,1,Group G,79,24,2,1902465,3-5-2,Serbia,3,43971,4-5-1,Switzerland,51.476353,48.52365,away,home
85986,2022-12-02,43849,0,1,Group G,79,24,1,43849,4-4-2,Cameroon,0,43924,4-4-2,Brazil,37.78654,62.213455,home,away
44846,2022-12-03,43960,0,1,,59,26,3,43960,3-5-2,Netherlands,1,43921,4-3-3,USA,42.413094,57.58691,home,away
45032,2022-12-03,43922,0,1,,72,24,2,43922,4-3-3,Argentina,1,43976,4-4-2,Australia,60.432373,39.567627,home,home
40989,2022-12-04,43946,0,1,,63,26,3,43946,4-5-1,France,1,43962,4-5-1,Poland,53.832672,46.167328,home,home
65985,2022-12-04,43942,0,1,,71,24,3,43942,4-3-3,England,0,43879,4-4-2,Senegal,58.332726,41.667274,home,home
42523,2022-12-05,43938,0,2,,53,25,1,43819,3-4-3,Japan,1,43938,4-3-3,Croatia,41.644608,58.355392,home,away
43847,2022-12-05,43924,0,1,,71,25,4,43924,4-3-3,Brazil,1,43822,4-4-2,Korea Republic,52.759884,47.24012,home,home
44667,2022-12-06,43872,0,2,,63,25,0,43872,4-3-3,Morocco,0,43969,4-3-3,Spain,28.400448,71.59955,home,away
83720,2022-12-06,43963,0,1,,78,24,6,43963,4-3-3,Portugal,1,43971,3-5-2,Switzerland,46.838210000000004,53.161785,home,away
43893,2022-12-09,43938,0,2,,44,23,1,43938,4-3-3,Croatia,1,43924,4-3-3,Brazil,51.763077,48.236923,home,home
88235,2022-12-09,43922,0,2,,54,21,2,43960,3-5-2,Netherlands,2,43922,3-5-2,Argentina,53.35453,46.64547,home,home
44198,2022-12-10,43872,0,1,,57,21,1,43872,4-3-3,Morocco,0,43963,4-3-3,Portugal,31.314236,68.68577,home,away
68895,2022-12-10,43946,0,1,,58,19,1,43942,4-3-3,England,2,43946,4-5-1,France,57.90713,42.09287,away,home
88966,2022-12-13,43922,0,1,,69,21,3,43922,4-4-2,Argentina,0,43938,4-3-3,Croatia,41.335835,58.66416,home,away
68294,2022-12-14,43946,0,1,,76,20,2,43946,4-3-3,France,0,43872,3-4-3,Morocco,40.78011,59.21989,home,away
44137,2022-12-17,43938,0,1,,57,23,2,43938,4-4-2,Croatia,1,43872,4-3-3,Morocco,48.827496,51.17251,home,away
88966,2022-12-18,43922,0,2,,62,22,3,43922,4-3-3,Argentina,3,43946,4-3-3,France,51.878417999999996,48.121582,home,home
