attendance,idmatch,matchday,hometeamscore,awayteamscore,hometeampenaltyscore,awayteampenaltyscore,winner,matchstatus,resulttype,matchnumber,group_name,home_team,away_team,stage_name,local_date,local_time,pst_date,pst_time,humidity,temperature,windspeed,type,description,stadium_name,overallhome,overallaway
41663,400235491,,0,0,0,0,,0,1,14,Group H,URU,KOR,First stage,2022-11-24,13:00:00,2022-11-24,05:00:00,33,27,4,4,Partly Cloudy,Education City Stadium,56.55,43.45
42662,400235493,,3,2,0,0,43963,0,1,15,Group H,POR,GHA,First stage,2022-11-24,16:00:00,2022-11-24,08:00:00,39,25,1,9,Partly Cloudy Night,Stadium 974,61.8,38.2
88103,400235484,,2,0,0,0,43924,0,1,16,Group G,BRA,SRB,First stage,2022-11-24,19:00:00,2022-11-24,11:00:00,45,23,1,8,Cloudy Night,Lusail Stadium,57.69,42.31
40875,400235453,,0,2,0,0,43817,0,1,17,Group B,WAL,IRN,First stage,2022-11-25,10:00:00,2022-11-25,02:00:00,37,30,3,7,Sunny,Ahmad Bin Ali Stadium,59.88,40.12
41797,400235448,,1,3,0,0,43879,0,1,18,Group A,QAT,SEN,First stage,2022-11-25,13:00:00,2022-11-25,05:00:00,45,28,4,7,Sunny,Al Thumama Stadium,46.17,53.83
44833,400235452,,1,1,0,0,,0,1,19,Group A,NED,ECU,First stage,2022-11-25,16:00:00,2022-11-25,08:00:00,57,26,3,10,Clear Night,Khalifa International Stadium,54.65,45.35
68463,400235457,,0,0,0,0,,0,1,20,Group B,ENG,USA,First stage,2022-11-25,19:00:00,2022-11-25,11:00:00,66,25,2,10,Clear Night,Al Bayt Stadium,54.31,45.69
41823,400235469,,0,1,0,0,43976,0,1,21,Group D,TUN,AUS,First stage,2022-11-26,10:00:00,2022-11-26,02:00:00,32,31,2,4,Partly Cloudy,Al Janoub Stadium,54.4,45.6
44259,400235459,,2,0,0,0,43962,0,1,22,Group C,POL,KSA,First stage,2022-11-26,13:00:00,2022-11-26,05:00:00,47,29,3,4,Partly Cloudy,Education City Stadium,37.85,62.15
42860,400235467,,2,1,0,0,43946,0,1,23,Group D,FRA,DEN,First stage,2022-11-26,16:00:00,2022-11-26,08:00:00,57,27,2,10,Clear Night,Stadium 974,49.5,50.5
88966,400235462,,2,0,0,0,43922,0,1,24,Group C,ARG,MEX,First stage,2022-11-26,19:00:00,2022-11-26,11:00:00,71,24,1,10,Clear Night,Lusail Stadium,56.42,43.58
41479,400235471,,0,1,0,0,43901,0,1,25,Group E,JPN,CRC,First stage,2022-11-27,10:00:00,2022-11-27,02:00:00,29,32,5,7,Sunny,Ahmad Bin Ali Stadium,55.29,44.71
43738,400235480,,0,2,0,0,43872,0,1,26,Group F,BEL,MAR,First stage,2022-11-27,13:00:00,2022-11-27,05:00:00,39,30,5,7,Sunny,Al Thumama Stadium,63.17,36.83
44374,400235482,,4,1,0,0,43938,0,1,27,Group F,CRO,CAN,First stage,2022-11-27,16:00:00,2022-11-27,08:00:00,49,26,4,10,Clear Night,Khalifa International Stadium,46.79,53.21
68895,400235474,,1,1,0,0,,0,1,28,Group E,ESP,GER,First stage,2022-11-27,19:00:00,2022-11-27,11:00:00,69,24,3,10,Clear Night,Al Bayt Stadium,59.23,40.77
39789,400235487,,3,3,0,0,,0,1,29,Group G,CMR,SRB,First stage,2022-11-28,10:00:00,2022-11-28,02:00:00,40,31,7,7,Sunny,Al Janoub Stadium,43.93,56.07
43983,400235489,,2,3,0,0,43860,0,1,30,Group H,KOR,GHA,First stage,2022-11-28,13:00:00,2022-11-28,05:00:00,47,29,7,7,Sunny,Education City Stadium,59.71,40.29
43649,400235485,,1,0,0,0,43924,0,1,31,Group G,BRA,SUI,First stage,2022-11-28,16:00:00,2022-11-28,08:00:00,61,26,5,10,Clear Night,Stadium 974,54.17,45.83
88668,400235492,,2,0,0,0,43963,0,1,32,Group H,POR,URU,First stage,2022-11-28,19:00:00,2022-11-28,11:00:00,71,24,5,9,Partly Cloudy Night,Lusail Stadium,59.6,40.4
66784,400235450,,2,0,0,0,43960,0,1,36,Group A,NED,QAT,First stage,2022-11-29,15:00:00,2022-11-29,07:00:00,71,26,2,9,Partly Cloudy Night,Al Bayt Stadium,59.32,40.68
44569,400235451,,1,2,0,0,43879,0,1,35,Group A,ECU,SEN,First stage,2022-11-29,15:00:00,2022-11-29,07:00:00,71,25,2,9,Partly Cloudy Night,Khalifa International Stadium,57.62,42.38
44297,400235454,,0,3,0,0,43942,0,1,33,Group B,WAL,ENG,First stage,2022-11-29,19:00:00,2022-11-29,11:00:00,75,24,1,9,Partly Cloudy Night,Ahmad Bin Ali Stadium,38.07,61.93
42127,400235456,,0,1,0,0,43921,0,1,34,Group B,IRN,USA,First stage,2022-11-29,19:00:00,2022-11-29,11:00:00,75,24,1,9,Partly Cloudy Night,Al Thumama Stadium,47.34,52.66
41232,400235468,,1,0,0,0,43976,0,1,37,Group D,AUS,DEN,First stage,2022-11-30,15:00:00,2022-11-30,07:00:00,70,26,3,4,Partly Cloudy,Al Janoub Stadium,34.35,65.65
43627,400235465,,1,0,0,0,43888,0,1,38,Group D,TUN,FRA,First stage,2022-11-30,15:00:00,2022-11-30,07:00:00,70,26,3,4,Partly Cloudy,Education City Stadium,37.09,62.91
44089,400235464,,0,2,0,0,43922,0,1,39,Group C,POL,ARG,First stage,2022-11-30,19:00:00,2022-11-30,11:00:00,71,24,1,9,Partly Cloudy Night,Stadium 974,30.38,69.62
84985,400235460,,1,2,0,0,43911,0,1,40,Group C,KSA,MEX,First stage,2022-11-30,19:00:00,2022-11-30,11:00:00,71,24,1,9,Partly Cloudy Night,Lusail Stadium,39.59,60.41
43984,400235478,,0,0,0,0,,0,1,41,Group F,CRO,BEL,First stage,2022-12-01,15:00:00,2022-12-01,07:00:00,56,27,3,10,Clear Night,Ahmad Bin Ali Stadium,49.72,50.28
43102,400235479,,1,2,0,0,43872,0,1,42,Group F,CAN,MAR,First stage,2022-12-01,15:00:00,2022-12-01,07:00:00,59,27,3,10,Clear Night,Al Thumama Stadium,57.06,42.94
44851,400235475,,2,1,0,0,43819,0,1,43,Group E,JPN,ESP,First stage,2022-12-01,19:00:00,2022-12-01,11:00:00,62,24,3,8,Cloudy Night,Khalifa International Stadium,20.34,79.66
67054,400235473,,2,4,0,0,43948,0,1,44,Group E,CRC,GER,First stage,2022-12-01,19:00:00,2022-12-01,11:00:00,73,23,3,10,Clear Night,Al Bayt Stadium,33.41,66.59
43443,400235494,,0,2,0,0,43930,0,1,45,Group H,GHA,URU,First stage,2022-12-02,15:00:00,2022-12-02,07:00:00,64,26,5,9,Partly Cloudy Night,Al Janoub Stadium,53.14,46.86
44097,400235490,,2,1,0,0,43822,0,1,46,Group H,KOR,POR,First stage,2022-12-02,15:00:00,2022-12-02,07:00:00,64,26,5,9,Partly Cloudy Night,Education City Stadium,39.24,60.76
41378,400235486,,2,3,0,0,43971,0,1,47,Group G,SRB,SUI,First stage,2022-12-02,19:00:00,2022-12-02,11:00:00,79,24,4,10,Clear Night,Stadium 974,51.48,48.52
85986,400235483,,1,0,0,0,43849,0,1,48,Group G,CMR,BRA,First stage,2022-12-02,19:00:00,2022-12-02,11:00:00,79,24,4,10,Clear Night,Lusail Stadium,37.79,62.21
44846,400128136,,3,1,0,0,43960,0,1,49,,NED,USA,Round of 16,2022-12-03,15:00:00,2022-12-03,07:00:00,59,26,5,10,Clear Night,Khalifa International Stadium,42.41,57.59
45032,400128131,,2,1,0,0,43922,0,1,50,,ARG,AUS,Round of 16,2022-12-03,19:00:00,2022-12-03,11:00:00,72,24,3,10,Clear Night,Ahmad Bin Ali Stadium,60.43,39.57
40989,400128135,,3,1,0,0,43946,0,1,52,,FRA,POL,Round of 16,2022-12-04,15:00:00,2022-12-04,07:00:00,63,26,4,9,Partly Cloudy Night,Al Thumama Stadium,53.83,46.17
65985,400128134,,3,0,0,0,43942,0,1,51,,ENG,SEN,Round of 16,2022-12-04,19:00:00,2022-12-04,11:00:00,71,24,2,9,Partly Cloudy Night,Al Bayt Stadium,58.33,41.67
42523,400128132,,1,1,1,3,43938,0,2,53,,JPN,CRO,Round of 16,2022-12-05,15:00:00,2022-12-05,07:00:00,53,25,3,10,Clear Night,Al Janoub Stadium,41.64,58.36
43847,400128133,,4,1,0,0,43924,0,1,54,,BRA,KOR,Round of 16,2022-12-05,19:00:00,2022-12-05,11:00:00,71,25,1,8,Cloudy Night,Stadium 974,52.76,47.24
44667,400128137,,0,0,3,0,43872,0,2,55,,MAR,ESP,Round of 16,2022-12-06,15:00:00,2022-12-06,07:00:00,63,25,4,9,Partly Cloudy Night,Education City Stadium,28.4,71.6
83720,400128130,,6,1,0,0,43963,0,1,56,,POR,SUI,Round of 16,2022-12-06,19:00:00,2022-12-06,11:00:00,78,24,4,9,Partly Cloudy Night,Lusail Stadium,46.84,53.16
43893,400128141,,1,1,4,2,43938,0,2,58,,CRO,BRA,Quarter-final,2022-12-09,15:00:00,2022-12-09,07:00:00,44,23,6,10,Clear Night,Education City Stadium,51.76,48.24
88235,400128139,,2,2,3,4,43922,0,2,57,,NED,ARG,Quarter-final,2022-12-09,19:00:00,2022-12-09,11:00:00,54,21,6,10,Clear Night,Lusail Stadium,53.35,46.65
44198,400128140,,1,0,0,0,43872,0,1,60,,MAR,POR,Quarter-final,2022-12-10,15:00:00,2022-12-10,07:00:00,57,21,5,10,Clear Night,Al Thumama Stadium,31.31,68.69
68895,400128138,,1,2,0,0,43946,0,1,59,,ENG,FRA,Quarter-final,2022-12-10,19:00:00,2022-12-10,11:00:00,58,19,4,10,Clear Night,Al Bayt Stadium,57.91,42.09
88966,400128143,,3,0,0,0,43922,0,1,61,,ARG,CRO,Semi-final,2022-12-13,19:00:00,2022-12-13,11:00:00,69,21,2,10,Clear Night,Lusail Stadium,41.34,58.66
68294,400128142,,2,0,0,0,43946,0,1,62,,FRA,MAR,Semi-final,2022-12-14,19:00:00,2022-12-14,11:00:00,76,20,1,10,Clear Night,Al Bayt Stadium,40.78,59.22
44137,400128144,,2,1,0,0,43938,0,1,63,,CRO,MAR,Play-off for third place,2022-12-17,15:00:00,2022-12-17,07:00:00,57,23,5,10,Clear Night,Khalifa International Stadium,48.83,51.17
88966,400128145,,3,3,4,2,43922,0,2,64,,ARG,FRA,Final,2022-12-18,15:00:00,2022-12-18,07:00:00,62,22,5,9,Partly Cloudy Night,Lusail Stadium,51.88,48.12
