id,title,street,city,state,postal_code,latitude,longitude,phone
105,Norco (Temp Hrs),1295 Hamner Ave,Norco,CA,92860,33.9001593,-117.5616753,(951) 270-0526
81,Northfield at Stapleton,7980 E. 49th Ave,Denver,CO,80238,39.785478,-104.8955228,(303) 574-0466
74,Ontario International Airport,Terminal 4,Ontario,CA,91761,34.0602799,-117.5872622,
102,Orange (Temp Hrs),234 W. Chapman Ave.,Orange,CA,92866,33.7876351,-117.8548592,(714) 289-1579
79,Park Meadows,9617 E. County Line Rd #A,Engelwood,CO,80112,39.5674054,-104.8760648,(303) 662-8226
106,Rancho Cucamonga (Temp Hrs),11561 Foothill Blvd Ste 101,Rancho Cucamonga,CA,91730,34.1060605,-117.552331,(909) 948-6949
91,San Clemente (Temp Hrs),641 Camino de los Mares #A100,San Clemente,CA,92673,33.4594165,-117.6505433,(949) 487-6995
96,South Coast Plaza (Temp Hrs),3333 Bear St #211,Costa Mesa,CA,92626,33.6924446,-117.8932716,(714) 549-0565
62,Temecula (Temp Hrs),29073 Overland Drive,Temecula,CA,92590,33.5190102,-117.1519952,(951) 694-4444
84,Tokyo,7010 H.L.N.A. Skygarden,Diver City Tokyo Plaza 7F,"1-1-10 Aomi, Koto-ku","135-0064 Tokyo, Japan",35.6246984,139.7748291,
94,Torrance (Temp Hrs),3556 Torrance Blvd #E,Torrance,CA,90503,33.837203,-118.3489799,(310) 540-7725
90,Tustin (Temp Hrs),13791 Newport Ave #4,Tustin,CA,92780,33.7404424,-117.8201731,(714) 544-1154
114,UC Santa Barbara (closed temporaily),1304 UCEN Rd,Isla Vista,CA,93117,34.4115603,-119.8475683,805-685-2582
95,Yorba Linda (Temp Hrs),23042 Eastpark Drive,Yorba Linda,CA,92887,33.8718364,-117.7361919,(714) 921-3051
