name,population,code
ZCTA5 92250,8255,92250
ZCTA5 92364,5,92364
ZCTA5 92545,44278,92545
ZCTA5 92626,50978,92626
ZCTA5 74080,2862,74080
ZCTA5 74033,12663,74033
ZCTA5 74045,319,74045
ZCTA5 74047,7289,74047
ZCTA5 74083,1040,74083
ZCTA5 74001,373,74001
ZCTA5 74008,30144,74008
ZCTA5 74030,3750,74030
ZCTA5 74032,1729,74032
ZCTA5 74034,81,74034
ZCTA5 18240,3806,18240
ZCTA5 18255,4411,18255
ZCTA5 18301,29694,18301
ZCTA5 18332,3309,18332
ZCTA5 18343,4010,18343
ZCTA5 18439,526,18439
ZCTA5 18458,2968,18458
ZCTA5 18459,58,18459
ZCTA5 18503,1197,18503
ZCTA5 18509,13786,18509
ZCTA5 18512,11550,18512
ZCTA5 18657,11575,18657
ZCTA5 18702,40105,18702
ZCTA5 18705,14425,18705
ZCTA5 18814,205,18814
ZCTA5 18821,1203,18821
ZCTA5 18822,3096,18822
ZCTA5 18828,337,18828
ZCTA5 18832,1944,18832
ZCTA5 18842,209,18842
ZCTA5 18845,345,18845
ZCTA5 18847,6011,18847
ZCTA5 18854,1715,18854
ZCTA5 18942,2805,18942
ZCTA5 18944,26301,18944
ZCTA5 18974,40405,18974
ZCTA5 18938,13560,18938
ZCTA5 18940,29164,18940
ZCTA5 18642,3862,18642
ZCTA5 18655,5441,18655
ZCTA5 18660,3645,18660
ZCTA5 18618,3684,18618
ZCTA5 18517,4807,18517
ZCTA5 18603,19441,18603
ZCTA5 18610,5247,18610
ZCTA5 18622,193,18622
ZCTA5 18629,1838,18629
ZCTA5 18630,3086,18630
ZCTA5 18661,5055,18661
ZCTA5 17949,209,17949
ZCTA5 17954,4393,17954
ZCTA5 17970,3167,17970
ZCTA5 17936,969,17936
ZCTA5 17944,149,17944
ZCTA5 17952,223,17952
ZCTA5 17982,502,17982
ZCTA5 17983,1343,17983
ZCTA5 17946,115,17946
ZCTA5 17957,326,17957
ZCTA5 17968,210,17968
ZCTA5 17003,12565,17003
ZCTA5 17007,5888,17007
ZCTA5 17013,36627,17013
ZCTA5 17018,4299,17018
ZCTA5 17023,3405,17023
ZCTA5 17026,3981,17026
ZCTA5 17037,862,17037
ZCTA5 17045,3687,17045
ZCTA5 17066,5284,17066
ZCTA5 17070,16609,17070
ZCTA5 17077,0,17077
ZCTA5 17229,1268,17229
ZCTA5 17235,886,17235
ZCTA5 17241,11877,17241
ZCTA5 17264,2304,17264
ZCTA5 17270,140,17270
ZCTA5 17306,337,17306
ZCTA5 17331,52219,17331
ZCTA5 17350,12830,17350
ZCTA5 17362,13088,17362
ZCTA5 17363,8772,17363
ZCTA5 17368,6198,17368
ZCTA5 17402,38026,17402
ZCTA5 17407,3070,17407
ZCTA5 17508,302,17508
ZCTA5 17527,5655,17527
ZCTA5 17529,5100,17529
ZCTA5 17560,5287,17560
ZCTA5 17578,7667,17578
ZCTA5 17581,824,17581
ZCTA5 17731,181,17731
ZCTA5 17747,3494,17747
ZCTA5 17767,31,17767
ZCTA5 17777,7163,17777
ZCTA5 17778,165,17778
ZCTA5 17824,3758,17824
ZCTA5 17881,1375,17881
ZCTA5 17931,8728,17931
ZCTA5 17951,389,17951
ZCTA5 17963,9073,17963
ZCTA5 17979,118,17979
ZCTA5 17356,21784,17356
ZCTA5 17364,3699,17364
ZCTA5 17372,4028,17372
ZCTA5 17401,16973,17401
ZCTA5 17404,37280,17404
ZCTA5 04920,1655,04920
ZCTA5 04927,3366,04927
ZCTA5 04936,205,04936
ZCTA5 04942,1124,04942
ZCTA5 04945,1117,04945
ZCTA5 04957,4153,04957
ZCTA5 04963,7311,04963
ZCTA5 04543,2288,04543
ZCTA5 04579,3145,04579
ZCTA5 04642,108,04642
ZCTA5 04652,1584,04652
ZCTA5 04654,3359,04654
ZCTA5 04660,1054,04660
ZCTA5 04669,123,04669
ZCTA5 04758,1246,04758
ZCTA5 04765,1026,04765
ZCTA5 04848,625,04848
ZCTA5 04849,3714,04849
ZCTA5 04911,1873,04911
ZCTA5 04947,1601,04947
ZCTA5 04961,791,04961
ZCTA5 04779,301,04779
ZCTA5 73032,216,73032
ZCTA5 73040,1456,73040
ZCTA5 73057,2518,73057
ZCTA5 73622,323,73622
ZCTA5 73626,1047,73626
ZCTA5 73638,96,73638
ZCTA5 73642,96,73642
ZCTA5 73660,295,73660
ZCTA5 73661,535,73661
ZCTA5 73663,1606,73663
ZCTA5 73673,404,73673
ZCTA5 73728,2082,73728
ZCTA5 73735,637,73735
ZCTA5 73743,52,73743
ZCTA5 73746,42,73746
ZCTA5 73750,7309,73750
ZCTA5 73507,21069,73507
ZCTA5 73528,568,73528
ZCTA5 73532,511,73532
ZCTA5 73533,27185,73533
ZCTA5 73543,2101,73543
ZCTA5 73567,719,73567
ZCTA5 73570,949,73570
ZCTA5 73573,2639,73573
ZCTA5 73627,479,73627
ZCTA5 73644,14097,73644
ZCTA5 73659,138,73659
ZCTA5 73729,624,73729
ZCTA5 73731,111,73731
ZCTA5 73737,3656,73737
ZCTA5 73757,175,73757
ZCTA5 73758,135,73758
ZCTA5 73801,15285,73801
ZCTA5 73838,348,73838
ZCTA5 73842,606,73842
ZCTA5 73937,188,73937
ZCTA5 74105,25857,74105
ZCTA5 74110,14882,74110
ZCTA5 74131,2577,74131
ZCTA5 74134,17681,74134
ZCTA5 74331,7456,74331
ZCTA5 74349,287,74349
ZCTA5 74369,1958,74369
ZCTA5 74447,16101,74447
ZCTA5 74720,490,74720
ZCTA5 74750,282,74750
ZCTA5 74756,816,74756
ZCTA5 74006,26660,74006
ZCTA5 74010,10537,74010
ZCTA5 74014,42275,74014
ZCTA5 74016,5779,74016
ZCTA5 74038,2317,74038
ZCTA5 74055,46806,74055
ZCTA5 74060,408,74060
ZCTA5 74068,31,74068
ZCTA5 74072,1807,74072
ZCTA5 74563,2065,74563
ZCTA5 74741,1236,74741
ZCTA5 74745,9512,74745
ZCTA5 74759,1411,74759
ZCTA5 74824,1617,74824
ZCTA5 74827,351,74827
ZCTA5 74839,892,74839
ZCTA5 74854,1894,74854
ZCTA5 74859,6217,74859
ZCTA5 74872,3303,74872
ZCTA5 74881,5358,74881
ZCTA5 74883,2323,74883
ZCTA5 74931,1296,74931
ZCTA5 74963,572,74963
ZCTA5 74084,439,74084
ZCTA5 74103,2092,74103
ZCTA5 74120,4816,74120
ZCTA5 74127,15858,74127
ZCTA5 77538,808,77538
ZCTA5 77546,53148,77546
ZCTA5 77563,11129,77563
ZCTA5 77581,50737,77581
ZCTA5 77583,41305,77583
ZCTA5 77587,17162,77587
ZCTA5 77616,157,77616
ZCTA5 77624,793,77624
ZCTA5 77640,16549,77640
ZCTA5 77662,27587,77662
ZCTA5 77665,5857,77665
ZCTA5 77702,3334,77702
ZCTA5 77705,40224,77705
ZCTA5 77706,29707,77706
ZCTA5 77802,25257,77802
ZCTA5 77836,12516,77836
ZCTA5 77856,5492,77856
ZCTA5 77879,5357,77879
ZCTA5 77961,138,77961
ZCTA5 77962,3309,77962
ZCTA5 21672,149,21672
ZCTA5 21811,24356,21811
ZCTA5 21849,3659,21849
ZCTA5 21851,7237,21851
ZCTA5 21862,86,21862
ZCTA5 21875,7084,21875
ZCTA5 21904,6484,21904
ZCTA5 21542,678,21542
ZCTA5 21543,229,21543
ZCTA5 21562,3426,21562
ZCTA5 03832,291,03832
ZCTA5 03269,2920,03269
ZCTA5 03276,8289,03276
ZCTA5 03303,15984,03303
ZCTA5 03441,163,03441
ZCTA5 03461,6100,03461
ZCTA5 03470,5138,03470
ZCTA5 03446,6375,03446
ZCTA5 03450,882,03450
ZCTA5 03465,1734,03465
ZCTA5 03581,3190,03581
ZCTA5 62695,256,62695
ZCTA5 62806,3467,62806
ZCTA5 62828,1580,62828
ZCTA5 62867,533,62867
ZCTA5 62875,1146,62875
ZCTA5 62879,108,62879
ZCTA5 62880,724,62880
ZCTA5 62884,2679,62884
ZCTA5 62889,1032,62889
ZCTA5 62908,619,62908
ZCTA5 62367,1154,62367
ZCTA5 62373,202,62373
ZCTA5 62375,568,62375
ZCTA5 62425,468,62425
ZCTA5 62433,957,62433
ZCTA5 62443,1618,62443
ZCTA5 62445,1143,62445
ZCTA5 62458,2266,62458
ZCTA5 62460,1030,62460
ZCTA5 62521,34716,62521
ZCTA5 62537,99,62537
ZCTA5 62539,1178,62539
ZCTA5 62540,1449,62540
ZCTA5 62546,1589,62546
ZCTA5 62325,421,62325
ZCTA5 62336,26,62336
ZCTA5 62347,1726,62347
ZCTA5 62354,1486,62354
ZCTA5 62357,335,62357
ZCTA5 62374,302,62374
ZCTA5 62378,928,62378
ZCTA5 62422,1032,62422
ZCTA5 62426,853,62426
ZCTA5 62431,903,62431
ZCTA5 62434,283,62434
ZCTA5 62436,600,62436
ZCTA5 62241,855,62241
ZCTA5 34773,3883,34773
ZCTA5 34785,37555,34785
ZCTA5 34987,10816,34987
ZCTA5 34996,11287,34996
ZCTA5 34491,29998,34491
ZCTA5 34695,18442,34695
ZCTA5 34737,3016,34737
ZCTA5 34242,7643,34242
ZCTA5 34266,31733,34266
ZCTA5 34287,27620,34287
ZCTA5 34431,8116,34431
ZCTA5 34433,6998,34433
ZCTA5 34434,8233,34434
ZCTA5 34446,17878,34446
ZCTA5 34465,16652,34465
ZCTA5 34481,21462,34481
ZCTA5 34484,3361,34484
ZCTA5 34652,24549,34652
ZCTA5 34669,14022,34669
ZCTA5 34681,589,34681
ZCTA5 34684,28058,34684
ZCTA5 34691,20473,34691
ZCTA5 34114,17856,34114
ZCTA5 34141,110,34141
ZCTA5 34698,39317,34698
ZCTA5 34734,4529,34734
ZCTA5 34235,14269,34235
ZCTA5 34448,10140,34448
ZCTA5 34202,23759,34202
ZCTA5 34432,12793,34432
ZCTA5 34450,11074,34450
ZCTA5 34461,12154,34461
ZCTA5 34472,31271,34472
ZCTA5 34476,22857,34476
ZCTA5 34609,43374,34609
ZCTA5 34667,32360,34667
ZCTA5 34679,33,34679
ZCTA5 34689,27428,34689
ZCTA5 34705,3010,34705
ZCTA5 34739,551,34739
ZCTA5 34104,24106,34104
ZCTA5 34112,28702,34112
ZCTA5 34116,37138,34116
ZCTA5 34142,33029,34142
ZCTA5 34210,16799,34210
ZCTA5 34215,633,34215
ZCTA5 34216,1092,34216
ZCTA5 34223,18500,34223
ZCTA5 34239,15178,34239
ZCTA5 62074,1223,62074
ZCTA5 62079,267,62079
ZCTA5 62089,392,62089
ZCTA5 62094,882,62094
ZCTA5 62242,1292,62242
ZCTA5 62260,6845,62260
ZCTA5 62263,4785,62263
ZCTA5 62265,4019,62265
ZCTA5 62912,1475,62912
ZCTA5 62921,269,62921
ZCTA5 62923,469,62923
ZCTA5 62940,714,62940
ZCTA5 62946,12225,62946
ZCTA5 62950,131,62950
ZCTA5 62966,14881,62966
ZCTA5 62969,404,62969
ZCTA5 62642,1346,62642
ZCTA5 62661,1512,62661
ZCTA5 62666,487,62666
ZCTA5 62668,1418,62668
ZCTA5 62671,519,62671
ZCTA5 62672,188,62672
ZCTA5 62693,1639,62693
ZCTA5 62701,1080,62701
ZCTA5 62093,292,62093
ZCTA5 62206,15157,62206
ZCTA5 62207,9561,62207
ZCTA5 62014,3918,62014
ZCTA5 98584,37698,98584
ZCTA5 98154,0,98154
ZCTA5 98028,22953,98028
ZCTA5 98037,29977,98037
ZCTA5 98039,3283,98039
ZCTA5 98059,40693,98059
ZCTA5 98105,52290,98105
ZCTA5 98109,31011,98109
ZCTA5 98146,27622,98146
ZCTA5 98647,256,98647
ZCTA5 98621,309,98621
ZCTA5 98625,6516,98625
ZCTA5 98626,25366,98626
ZCTA5 98639,855,98639
ZCTA5 98660,12305,98660
ZCTA5 98663,15406,98663
ZCTA5 98674,14869,98674
ZCTA5 98815,7210,98815
ZCTA5 98819,233,98819
ZCTA5 98831,3529,98831
ZCTA5 98841,9335,98841
ZCTA5 98845,266,98845
ZCTA5 98846,1317,98846
ZCTA5 98859,137,98859
ZCTA5 98901,31425,98901
ZCTA5 98902,46728,98902
ZCTA5 98908,37004,98908
ZCTA5 98944,24949,98944
ZCTA5 98948,12601,98948
ZCTA5 98950,33,98950
ZCTA5 98952,2125,98952
ZCTA5 98248,26552,98248
ZCTA5 98166,21772,98166
ZCTA5 98237,4762,98237
ZCTA5 98251,4084,98251
ZCTA5 98252,9993,98252
ZCTA5 98256,369,98256
ZCTA5 44608,1735,44608
ZCTA5 44618,6768,44618
ZCTA5 44624,5712,44624
ZCTA5 44883,28326,44883
ZCTA5 44643,4182,44643
ZCTA5 44654,20376,44654
ZCTA5 44675,2046,44675
ZCTA5 44677,2338,44677
ZCTA5 44251,914,44251
ZCTA5 44423,2864,44423
ZCTA5 44234,4016,44234
ZCTA5 44281,32569,44281
ZCTA5 44010,1632,44010
ZCTA5 44017,18714,44017
ZCTA5 44039,34038,44039
ZCTA5 44052,28586,44052
ZCTA5 44065,4298,44065
ZCTA5 44089,15570,44089
ZCTA5 44090,12005,44090
ZCTA5 44103,15711,44103
ZCTA5 44119,13378,44119
ZCTA5 44301,15431,44301
ZCTA5 44305,22130,44305
ZCTA5 44306,21281,44306
ZCTA5 44307,6111,44307
ZCTA5 44312,31887,44312
ZCTA5 44319,22635,44319
ZCTA5 44333,18669,44333
ZCTA5 44404,1720,44404
ZCTA5 44644,5114,44644
ZCTA5 44682,988,44682
ZCTA5 44822,3306,44822
ZCTA5 44095,33075,44095
ZCTA5 44116,20144,44116
ZCTA5 44651,1019,44651
ZCTA5 44699,616,44699
ZCTA5 44401,2737,44401
ZCTA5 44470,4031,44470
ZCTA5 44511,19605,44511
ZCTA5 44645,2816,44645
ZCTA5 44702,930,44702
ZCTA5 44843,2334,44843
ZCTA5 44907,14896,44907
ZCTA5 44844,543,44844
ZCTA5 44864,3804,44864
ZCTA5 44874,305,44874
ZCTA5 44045,604,44045
ZCTA5 44101,643,44101
ZCTA5 44149,19662,44149
ZCTA5 44265,0,44265
ZCTA5 44274,209,44274
ZCTA5 44285,36,44285
ZCTA5 44439,116,44439
ZCTA5 62060,3881,62060
ZCTA5 62022,974,62022
ZCTA5 62036,644,62036
ZCTA5 62054,470,62054
ZCTA5 46766,883,46766
ZCTA5 46767,8474,46767
ZCTA5 46011,17619,46011
ZCTA5 46013,16458,46013
ZCTA5 46041,22043,46041
ZCTA5 46044,3116,46044
ZCTA5 46075,7098,46075
ZCTA5 46111,219,46111
ZCTA5 46115,1930,46115
ZCTA5 46125,45,46125
ZCTA5 46127,324,46127
ZCTA5 46149,2287,46149
ZCTA5 46157,3844,46157
ZCTA5 46171,2126,46171
ZCTA5 46806,24821,46806
ZCTA5 46807,16681,46807
ZCTA5 46910,3131,46910
ZCTA5 46919,2205,46919
ZCTA5 46931,150,46931
ZCTA5 46953,23235,46953
ZCTA5 46040,14520,46040
ZCTA5 46048,2396,46048
ZCTA5 46055,12335,46055
ZCTA5 98650,1144,98650
ZCTA5 98673,544,98673
ZCTA5 98802,31626,98802
ZCTA5 98812,5227,98812
ZCTA5 98823,11740,98823
ZCTA5 98826,7624,98826
ZCTA5 98843,2185,98843
ZCTA5 98850,1688,98850
ZCTA5 98858,1838,98858
ZCTA5 98862,2605,98862
ZCTA5 98923,1017,98923
ZCTA5 98933,1018,98933
ZCTA5 98938,2178,98938
ZCTA5 98951,13473,98951
ZCTA5 98953,6461,98953
ZCTA5 98003,49445,98003
ZCTA5 98021,33382,98021
ZCTA5 98032,38478,98032
ZCTA5 98038,36157,98038
ZCTA5 98053,22911,98053
ZCTA5 98068,497,98068
ZCTA5 98249,4458,98249
ZCTA5 98272,30801,98272
ZCTA5 98033,39802,98033
ZCTA5 98040,25820,98040
ZCTA5 98164,200,98164
ZCTA5 98240,2934,98240
ZCTA5 98136,17083,98136
ZCTA5 98116,28705,98116
ZCTA5 98118,49702,98118
ZCTA5 98134,779,98134
ZCTA5 98174,0,98174
ZCTA5 98222,89,98222
ZCTA5 98233,16324,98233
ZCTA5 46941,1238,46941
ZCTA5 46946,78,46946
ZCTA5 46959,714,46959
ZCTA5 46961,133,46961
ZCTA5 46962,9122,46962
ZCTA5 46978,2205,46978
ZCTA5 55024,36897,55024
ZCTA5 55025,25709,55025
ZCTA5 55026,426,55026
ZCTA5 55036,59,55036
ZCTA5 55038,22921,55038
ZCTA5 55053,957,55053
ZCTA5 55065,1328,55065
ZCTA5 55066,18679,55066
ZCTA5 55072,4543,55072
ZCTA5 55085,477,55085
ZCTA5 55089,1544,55089
ZCTA5 55092,10925,55092
ZCTA5 55103,13483,55103
ZCTA5 55110,40302,55110
ZCTA5 55307,3441,55307
ZCTA5 55113,42242,55113
ZCTA5 55118,27767,55118
ZCTA5 55127,19037,55127
ZCTA5 55150,143,55150
ZCTA5 55320,5755,55320
ZCTA5 55324,1085,55324
ZCTA5 55331,19696,55331
ZCTA5 55342,1761,55342
ZCTA5 55785,256,55785
ZCTA5 55792,9689,55792
ZCTA5 55733,5032,55733
ZCTA5 55735,1744,55735
ZCTA5 55736,1340,55736
ZCTA5 55756,331,55756
ZCTA5 55757,690,55757
ZCTA5 55783,2330,55783
ZCTA5 55786,308,55786
ZCTA5 55803,17804,55803
ZCTA5 55808,5746,55808
ZCTA5 55918,926,55918
ZCTA5 55926,823,55926
ZCTA5 55927,4286,55927
ZCTA5 55934,3552,55934
ZCTA5 55944,7552,55944
ZCTA5 55946,3315,55946
ZCTA5 55975,4475,55975
ZCTA5 55449,28947,55449
ZCTA5 75503,26843,75503
ZCTA5 75555,1477,75555
ZCTA5 75568,2350,75568
ZCTA5 75975,4052,75975
ZCTA5 98385,362,98385
ZCTA5 98408,20670,98408
ZCTA5 98409,27918,98409
ZCTA5 98444,35604,98444
ZCTA5 98445,31973,98445
ZCTA5 98506,18404,98506
ZCTA5 73705,331,73705
ZCTA5 73841,1311,73841
ZCTA5 78728,21857,78728
ZCTA5 78736,10010,78736
ZCTA5 78750,33860,78750
ZCTA5 78753,60035,78753
ZCTA5 78827,1030,78827
ZCTA5 78832,3674,78832
ZCTA5 78839,8790,78839
ZCTA5 78861,14318,78861
ZCTA5 78938,314,78938
ZCTA5 78943,269,78943
ZCTA5 78945,10388,78945
ZCTA5 78963,868,78963
ZCTA5 78837,212,78837
ZCTA5 78941,3046,78941
ZCTA5 78944,614,78944
ZCTA5 78950,1863,78950
ZCTA5 78248,13822,78248
ZCTA5 78207,57700,78207
ZCTA5 78233,48060,78233
ZCTA5 78242,35159,78242
ZCTA5 78251,65885,78251
ZCTA5 04760,640,04760
ZCTA5 04766,387,04766
ZCTA5 04776,973,04776
ZCTA5 04841,7172,04841
ZCTA5 04847,1729,04847
ZCTA5 04912,813,04912
ZCTA5 04915,8943,04915
ZCTA5 04925,54,04925
ZCTA5 04937,6473,04937
ZCTA5 04949,786,04949
ZCTA5 04962,225,04962
ZCTA5 04965,2159,04965
ZCTA5 04974,2575,04974
ZCTA5 28383,7651,28383
ZCTA5 28386,5936,28386
ZCTA5 28398,8856,28398
ZCTA5 28425,11433,28425
ZCTA5 28429,8116,28429
ZCTA5 28544,6187,28544
ZCTA5 28470,12271,28470
ZCTA5 28524,226,28524
ZCTA5 28530,6455,28530
ZCTA5 28556,982,28556
ZCTA5 28573,1719,28573
ZCTA5 28621,9583,28621
ZCTA5 28631,1175,28631
ZCTA5 28405,33344,28405
ZCTA5 28644,1045,28644
ZCTA5 28675,7134,28675
ZCTA5 28684,1989,28684
ZCTA5 28442,1469,28442
ZCTA5 28444,2352,28444
ZCTA5 28466,9172,28466
ZCTA5 28718,468,28718
ZCTA5 28722,6587,28722
ZCTA5 44676,5083,44676
ZCTA5 33573,25132,33573
ZCTA5 33602,15860,33602
ZCTA5 33624,39750,33624
ZCTA5 33710,35695,33710
ZCTA5 33759,18303,33759
ZCTA5 33762,8542,33762
ZCTA5 33771,29868,33771
ZCTA5 33773,17290,33773
ZCTA5 33774,19270,33774
ZCTA5 33810,51595,33810
ZCTA5 33813,38080,33813
ZCTA5 33830,30242,33830
ZCTA5 33834,7451,33834
ZCTA5 33837,32185,33837
ZCTA5 33838,4552,33838
ZCTA5 33908,35798,33908
ZCTA5 33922,4057,33922
ZCTA5 33931,10984,33931
ZCTA5 33935,23872,33935
ZCTA5 33945,6,33945
ZCTA5 33952,35285,33952
ZCTA5 33980,13461,33980
ZCTA5 33027,66467,33027
ZCTA5 33013,30524,33013
ZCTA5 33033,58869,33033
ZCTA5 33050,9530,33050
ZCTA5 33063,54916,33063
ZCTA5 33067,26294,33067
ZCTA5 33069,29321,33069
ZCTA5 33125,60347,33125
ZCTA5 33127,30795,33127
ZCTA5 17268,29153,17268
ZCTA5 17271,292,17271
ZCTA5 17094,2569,17094
ZCTA5 17102,7531,17102
ZCTA5 17223,288,17223
ZCTA5 17224,2077,17224
ZCTA5 17236,8084,17236
ZCTA5 17240,3981,17240
ZCTA5 17244,2113,17244
ZCTA5 17254,73,17254
ZCTA5 17255,1181,17255
ZCTA5 17257,29164,17257
ZCTA5 17262,1494,17262
ZCTA5 17304,2795,17304
ZCTA5 17307,6259,17307
ZCTA5 17317,565,17317
ZCTA5 17325,28563,17325
ZCTA5 17344,3515,17344
ZCTA5 17345,7737,17345
ZCTA5 17352,1628,17352
ZCTA5 17004,5016,17004
ZCTA5 17080,297,17080
ZCTA5 17084,4580,17084
ZCTA5 17360,7072,17360
ZCTA5 17361,6544,17361
ZCTA5 17366,5974,17366
ZCTA5 12483,205,12483
ZCTA5 12490,39,12490
ZCTA5 12504,1490,12504
ZCTA5 12512,244,12512
ZCTA5 12527,0,12527
ZCTA5 12530,47,12530
ZCTA5 12574,502,12574
ZCTA5 12604,594,12604
ZCTA5 12722,21,12722
ZCTA5 12745,247,12745
ZCTA5 12750,233,12750
ZCTA5 12767,250,12767
ZCTA5 12769,229,12769
ZCTA5 12781,242,12781
ZCTA5 12811,108,12811
ZCTA5 12862,0,12862
ZCTA5 12864,13,12864
ZCTA5 12872,91,12872
ZCTA5 12884,593,12884
ZCTA5 12151,1302,12151
ZCTA5 12205,26039,12205
ZCTA5 12464,958,12464
ZCTA5 12486,1874,12486
ZCTA5 12522,4918,12522
ZCTA5 12575,1930,12575
ZCTA5 12924,59,12924
ZCTA5 12929,4103,12929
ZCTA5 12933,65,12933
ZCTA5 12939,155,12939
ZCTA5 12973,104,12973
ZCTA5 12975,217,12975
ZCTA5 12976,228,12976
ZCTA5 12977,1763,12977
