name,url,letter,height,height_display,height_cm,height_inches,name_gender,rank_for_gender
Aggy K. Adams,https://www.celebheights.com/s/Aggy-K-Adams-51803.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,unknown,840.0
Amy Adams,https://www.celebheights.com/s/Amy-Adams-2324.html,A,5ft 3 ½ (161cm),5ft 3 ½ ,161.0,63.39,female,1490.0
Brian Adams,https://www.celebheights.com/s/Brian-Adams-47140.html,A,6ft 5 (196cm),6ft 5 ,196.0,77.17,male,5386.0
Brooke Adams,https://www.celebheights.com/s/Brooke-Adams-48238.html,A,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Bryan Adams,https://www.celebheights.com/s/Bryan-Adams-1134.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
Christine Adams,https://www.celebheights.com/s/Christine-Adams-48862.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Don Adams,https://www.celebheights.com/s/Don-Adams-47255.html,A,5ft 8 ¾ (175cm),5ft 8 ¾ ,175.0,68.9,male,1812.0
Douglas Adams,https://www.celebheights.com/s/Douglas-Adams-3101.html,A,6ft 5 (196cm),6ft 5 ,196.0,77.17,male,5386.0
Emelina Adams,https://www.celebheights.com/s/Emelina-Adams-53189.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Frankie Adams,https://www.celebheights.com/s/Frankie-Adams-50086.html,A,5ft 11 (180cm),5ft 11 ,180.0,70.87,andy,164.0
Gerry Adams,https://www.celebheights.com/s/Gerry-Adams-53025.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,mostly_male,486.0
Jane Adams,https://www.celebheights.com/s/Jane-Adams-2750.html,A,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Jenna Lyng Adams,https://www.celebheights.com/s/Jenna-Lyng-Adams-7414.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Joey Lauren Adams,https://www.celebheights.com/s/Joey-Lauren-Adams-4980.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,male,218.0
Kay Adams,https://www.celebheights.com/s/Kay-Adams-51544.html,A,5ft  ⅞ in (155cm),5ft  ⅞ in ,155.0,61.02,male,50.0
Kaye Adams,https://www.celebheights.com/s/Kaye-Adams-4477.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Kelly Adams,https://www.celebheights.com/s/Kelly-Adams-5888.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,mostly_female,201.0
Maud Adams,https://www.celebheights.com/s/Maud-Adams-7891.html,A,5ft 9 (175cm),5ft 9 ,175.0,68.9,female,5184.0
Patrick J. Adams,https://www.celebheights.com/s/Patrick-J-Adams-49157.html,A,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Ryan Adams,https://www.celebheights.com/s/Ryan-Adams-3415.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,mostly_male,210.0
Yolanda Adams,https://www.celebheights.com/s/Yolanda-Adams-4303.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,female,5580.0
Cynthia Addai Robinson,https://www.celebheights.com/s/Cynthia-Addai-Robinson-5881.html,A,5ft 6 ¼ (168cm),5ft 6 ¼ ,168.0,66.14,female,3683.0
Ava Addams,https://www.celebheights.com/s/Ava-Addams-6396.html,A,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Chris Addison,https://www.celebheights.com/s/Chris-Addison-48086.html,A,6ft 2 (188cm),6ft 2 ,188.0,74.02,mostly_male,531.0
Mark Addy,https://www.celebheights.com/s/Mark-Addy-972.html,A,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,male,2668.0
Rachel Adedeji,https://www.celebheights.com/s/Rachel-Adedeji-50618.html,A,5ft 6 ¾ (170cm),5ft 6 ¾ ,170.0,66.93,female,4377.0
Lolly Adefope,https://www.celebheights.com/s/Lolly-Adefope-52150.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
Adele,https://www.celebheights.com/s/-Adele-47184.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Zuri Adele,https://www.celebheights.com/s/Zuri-Adele-52709.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,unknown,840.0
Paul Adelstein,https://www.celebheights.com/s/Paul-Adelstein-3739.html,A,6ft 1 ¼ (186cm),6ft 1 ¼ ,186.0,73.23,male,4304.0
Jovan Adepo,https://www.celebheights.com/s/Jovan-Adepo-50020.html,A,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,male,2668.0
Israel Adesanya,https://www.celebheights.com/s/Israel-Adesanya-51571.html,A,6ft 2 ¾ (190cm),6ft 2 ¾ ,190.0,74.8,male,4902.0
Isabelle Adjani,https://www.celebheights.com/s/Isabelle-Adjani-1815.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Scott Adkins,https://www.celebheights.com/s/Scott-Adkins-47250.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Trace Adkins,https://www.celebheights.com/s/Trace-Adkins-2976.html,A,6ft 6 (198cm),6ft 6 ,198.0,77.95,male,5446.0
Max Adler,https://www.celebheights.com/s/Max-Adler-47618.html,A,5ft 11 ¾ (182cm),5ft 11 ¾ ,182.0,71.65,male,3373.0
Rebecca Adlington,https://www.celebheights.com/s/Rebecca-Adlington-49590.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
Gideon Adlon,https://www.celebheights.com/s/Gideon-Adlon-51753.html,A,4ft 11 (150cm),4ft 11 ,150.0,59.06,male,19.0
Pamela Adlon,https://www.celebheights.com/s/Pamela-Adlon-6686.html,A,4ft 11 ½ (151cm),4ft 11 ½ ,151.0,59.45,female,74.0
Razaaq Adoti,https://www.celebheights.com/s/Razaaq-Adoti-3007.html,A,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,unknown,1482.0
Uzo Aduba,https://www.celebheights.com/s/Uzo-Aduba-6263.html,A,5ft 3 (160cm),5ft 3 ,160.0,62.99,unknown,234.0
Dwayne Adway,https://www.celebheights.com/s/Dwayne-Adway-2484.html,A,6ft 4 (193cm),6ft 4 ,193.0,75.98,male,5270.0
Ben Affleck,https://www.celebheights.com/s/Ben-Affleck-454.html,A,6ft 2 ¼ (189cm),6ft 2 ¼ ,189.0,74.41,male,4871.0
Casey Affleck,https://www.celebheights.com/s/Casey-Affleck-1070.html,A,5ft 9 (175cm),5ft 9 ,175.0,68.9,andy,143.0
Afrojack,https://www.celebheights.com/s/-Afrojack-47944.html,A,6ft 7 ½ (202cm),6ft 7 ½ ,202.0,79.53,unknown,1588.0
Andre Agassi,https://www.celebheights.com/s/Andre-Agassi-4215.html,A,5ft 10 ¾ (180cm),5ft 10 ¾ ,180.0,70.87,male,3053.0
Nina Agdal,https://www.celebheights.com/s/Nina-Agdal-48430.html,A,5ft 8 ¾ (175cm),5ft 8 ¾ ,175.0,68.9,female,5184.0
Steve Agee,https://www.celebheights.com/s/Steve-Agee-52945.html,A,6ft 6 ½ (199cm),6ft 6 ½ ,199.0,78.35,male,5462.0
Keiko Agena,https://www.celebheights.com/s/Keiko-Agena-2489.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Shohreh Aghdashloo,https://www.celebheights.com/s/Shohreh-Aghdashloo-2002.html,A,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,unknown,415.0
Dianna Agron,https://www.celebheights.com/s/Dianna-Agron-47594.html,A,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Siena Agudong,https://www.celebheights.com/s/Siena-Agudong-53104.html,A,5ft 3 (160cm),5ft 3 ,160.0,62.99,unknown,234.0
Sergio AgÃ¼ero,https://www.celebheights.com/s/Sergio-Aguero-50414.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
Christina Aguilera,https://www.celebheights.com/s/Christina-Aguilera-163.html,A,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,female,484.0
Jenny Agutter,https://www.celebheights.com/s/Jenny-Agutter-472.html,A,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Freema Agyeman,https://www.celebheights.com/s/Freema-Agyeman-4753.html,A,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,unknown,91.0
Brian Aherne,https://www.celebheights.com/s/Brian-Aherne-49894.html,A,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Caroline Aherne,https://www.celebheights.com/s/Caroline-Aherne-6489.html,A,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Zahra Ahmadi,https://www.celebheights.com/s/Zahra-Ahmadi-6199.html,A,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Riz Ahmed,https://www.celebheights.com/s/Riz-Ahmed-6249.html,A,5ft 7 ¾ (172cm),5ft 7 ¾ ,172.0,67.72,unknown,896.0
Ali Ahn,https://www.celebheights.com/s/Ali-Ahn-7445.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,male,50.0
Jouko Ahola,https://www.celebheights.com/s/Jouko-Ahola-6725.html,A,6ft  ¾ in (185cm),6ft  ¾ in ,185.0,72.83,male,4265.0
Danny Aiello,https://www.celebheights.com/s/Danny-Aiello-3997.html,A,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Clay Aiken,https://www.celebheights.com/s/Clay-Aiken-1367.html,A,6ft  ½ in (184cm),6ft  ½ in ,184.0,72.44,male,3911.0
Liam Aiken,https://www.celebheights.com/s/Liam-Aiken-706.html,A,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Laura Aikman,https://www.celebheights.com/s/Laura-Aikman-5621.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Troy Aikman,https://www.celebheights.com/s/Troy-Aikman-49787.html,A,6ft 3 ½ (192cm),6ft 3 ½ ,192.0,75.59,male,5157.0
Jhene Aiko,https://www.celebheights.com/s/Jhene-Aiko-48243.html,A,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,unknown,91.0
Anthony Ainley,https://www.celebheights.com/s/Anthony-Ainley-50327.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Kacey Ainsworth,https://www.celebheights.com/s/Kacey-Ainsworth-4347.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Lexi Ainsworth,https://www.celebheights.com/s/Lexi-Ainsworth-49080.html,A,5ft  ½ in (154cm),5ft  ½ in ,154.0,60.63,female,223.0
Donna Air,https://www.celebheights.com/s/Donna-Air-48321.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Holly Aird,https://www.celebheights.com/s/Holly-Aird-52226.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Alan Aisenberg,https://www.celebheights.com/s/Alan-Aisenberg-50202.html,A,6ft 1 ½ (187cm),6ft 1 ½ ,187.0,73.62,male,4473.0
Maria Aitken,https://www.celebheights.com/s/Maria-Aitken-48467.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
David Ajala,https://www.celebheights.com/s/David-Ajala-7225.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Anna Akana,https://www.celebheights.com/s/Anna-Akana-50215.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Moyo Akande,https://www.celebheights.com/s/Moyo-Akande-53266.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,unknown,1355.0
TarÅ Akebono,https://www.celebheights.com/s/Taro-Akebono-50739.html,A,6ft 7 ¾ (203cm),6ft 7 ¾ ,203.0,79.92,unknown,1593.0
Malin Akerman,https://www.celebheights.com/s/Malin-Akerman-3841.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Adeel Akhtar,https://www.celebheights.com/s/Adeel-Akhtar-52656.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Jimmy Akingbola,https://www.celebheights.com/s/Jimmy-Akingbola-5878.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Gbenga Akinnagbe,https://www.celebheights.com/s/Gbenga-Akinnagbe-53136.html,A,5ft 9 (175cm),5ft 9 ,175.0,68.9,unknown,1085.0
Adewale Akinnuoye Agbaje,https://www.celebheights.com/s/Adewale-Akinnuoye-Agbaje-3323.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,unknown,1409.0
Claude Akins,https://www.celebheights.com/s/Claude-Akins-3834.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,mostly_male,486.0
Asa Akira,https://www.celebheights.com/s/Asa-Akira-5981.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,male,50.0
Akon,https://www.celebheights.com/s/-Akon-1389.html,A,5ft 10 ¼ (178cm),5ft 10 ¼ ,178.0,70.08,unknown,1187.0
Chizzy Akudolu,https://www.celebheights.com/s/Chizzy-Akudolu-6703.html,A,5ft 5 ¾ (167cm),5ft 5 ¾ ,167.0,65.75,unknown,588.0
Yasmine Al Massri,https://www.celebheights.com/s/Yasmine-Al-Massri-5927.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Yasmine Al-Bustami,https://www.celebheights.com/s/Yasmine-Al-Bustami-53221.html,A,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Marc Alaimo,https://www.celebheights.com/s/Marc-Alaimo-2450.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Lauren Alaina,https://www.celebheights.com/s/Lauren-Alaina-47932.html,A,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,mostly_female,290.0
Jessica Alba,https://www.celebheights.com/s/Jessica-Alba-402.html,A,5ft 6 ¼ (168cm),5ft 6 ¼ ,168.0,66.14,female,3683.0
Jordi Alba,https://www.celebheights.com/s/Jordi-Alba-50706.html,A,5ft 6 ¾ (170cm),5ft 6 ¾ ,170.0,66.93,male,867.0
Damon Albarn,https://www.celebheights.com/s/Damon-Albarn-2388.html,A,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Jodi Albert,https://www.celebheights.com/s/Jodi-Albert-4900.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Lola Albright,https://www.celebheights.com/s/Lola-Albright-49459.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Carlos Alcaraz,https://www.celebheights.com/s/Carlos-Alcaraz-53144.html,A,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Milly Alcock,https://www.celebheights.com/s/Milly-Alcock-53008.html,A,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Alan Alda,https://www.celebheights.com/s/Alan-Alda-803.html,A,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Rutanya Alda,https://www.celebheights.com/s/Rutanya-Alda-52679.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,unknown,523.0
Chelsea Alden,https://www.celebheights.com/s/Chelsea-Alden-51033.html,A,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Kristen Alderson,https://www.celebheights.com/s/Kristen-Alderson-48520.html,A,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
John Alderton,https://www.celebheights.com/s/John-Alderton-51916.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Sophie Aldred,https://www.celebheights.com/s/Sophie-Aldred-6946.html,A,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Ben Aldridge,https://www.celebheights.com/s/Ben-Aldridge-7341.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Lily Aldridge,https://www.celebheights.com/s/Lily-Aldridge-5074.html,A,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Kevin Alejandro,https://www.celebheights.com/s/Kevin-Alejandro-5877.html,A,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Frank Aletter,https://www.celebheights.com/s/Frank-Aletter-52240.html,A,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,male,2107.0
AleXa,https://www.celebheights.com/s/-AleXa-53002.html,A,4ft 10 ½ (149cm),4ft 10 ½ ,149.0,58.66,unknown,6.0
Flex Alexander,https://www.celebheights.com/s/Flex-Alexander-487.html,A,6ft 3 ½ (192cm),6ft 3 ½ ,192.0,75.59,unknown,1528.0
Ian Alexander,https://www.celebheights.com/s/Ian-Alexander-52456.html,A,5ft 0 (152cm),5ft 0 ,152.0,59.84,male,31.0
Jaimie Alexander,https://www.celebheights.com/s/Jaimie-Alexander-46967.html,A,5ft 8 ¼ (173cm),5ft 8 ¼ ,173.0,68.11,female,4873.0
Jane Alexander,https://www.celebheights.com/s/Jane-Alexander-4090.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Jason Alexander,https://www.celebheights.com/s/Jason-Alexander-47.html,A,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,male,258.0
Jessica Alexander,https://www.celebheights.com/s/Jessica-Alexander-7960.html,A,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Kae Alexander,https://www.celebheights.com/s/Kae-Alexander-49595.html,A,5ft 1 ¾ (157cm),5ft 1 ¾ ,157.0,61.81,female,813.0
Keon Alexander,https://www.celebheights.com/s/Keon-Alexander-52564.html,A,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,andy,133.0
Khandi Alexander,https://www.celebheights.com/s/Khandi-Alexander-2427.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
Nadia Alexander,https://www.celebheights.com/s/Nadia-Alexander-51036.html,A,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Olly Alexander,https://www.celebheights.com/s/Olly-Alexander-52854.html,A,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,mostly_female,468.0
Pico Alexander,https://www.celebheights.com/s/Pico-Alexander-51047.html,A,6ft 1 (185cm),6ft 1 ,185.0,72.83,unknown,1409.0
Sarah Alexander,https://www.celebheights.com/s/Sarah-Alexander-4382.html,A,5ft 3 ¾ (162cm),5ft 3 ¾ ,162.0,63.78,female,1536.0
Sasha Alexander,https://www.celebheights.com/s/Sasha-Alexander-2485.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,mostly_male,90.0
Terence Alexander,https://www.celebheights.com/s/Terence-Alexander-53326.html,A,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
Trent Alexander-Arnold,https://www.celebheights.com/s/Trent-Alexander-Arnold-52034.html,A,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,male,2668.0
Ashley Alexiss,https://www.celebheights.com/s/Ashley-Alexiss-49722.html,A,5ft 2 (157cm),5ft 2 ,157.0,61.81,mostly_female,82.0
Ajiona Alexus,https://www.celebheights.com/s/Ajiona-Alexus-6497.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
Gillian Alexy,https://www.celebheights.com/s/Gillian-Alexy-6188.html,A,5ft 1 ½ (156cm),5ft 1 ½ ,156.0,61.42,female,484.0
Kristian Alfonso,https://www.celebheights.com/s/Kristian-Alfonso-2649.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,male,218.0
Niamh Algar,https://www.celebheights.com/s/Niamh-Algar-52487.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Arsher Ali,https://www.celebheights.com/s/Arsher-Ali-52624.html,A,6ft 1 ¾ (187cm),6ft 1 ¾ ,187.0,73.62,unknown,1438.0
Jay Ali,https://www.celebheights.com/s/Jay-Ali-7116.html,A,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Mahershala Ali,https://www.celebheights.com/s/Mahershala-Ali-5847.html,A,6ft 1 ¾ (187cm),6ft 1 ¾ ,187.0,73.62,unknown,1438.0
Muhammad Ali,https://www.celebheights.com/s/Muhammad-Ali-3268.html,A,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,male,4871.0
Sophia Taylor Ali,https://www.celebheights.com/s/Sophia-Taylor-Ali-50950.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Tatyana Ali,https://www.celebheights.com/s/Tatyana-Ali-47500.html,A,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Ana Alicia,https://www.celebheights.com/s/Ana-Alicia-50871.html,A,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Bianca Allaine,https://www.celebheights.com/s/Bianca-Allaine-52373.html,A,5ft 9 ¾ (177cm),5ft 9 ¾ ,177.0,69.69,female,5304.0
Roger Allam,https://www.celebheights.com/s/Roger-Allam-49181.html,A,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Freya Allan,https://www.celebheights.com/s/Freya-Allan-7396.html,A,5ft 3 ½ (161cm),5ft 3 ½ ,161.0,63.39,female,1490.0
Keith Allan,https://www.celebheights.com/s/Keith-Allan-5954.html,A,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Louise Allbritton,https://www.celebheights.com/s/Louise-Allbritton-5686.html,A,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,female,4529.0
Alfie Allen,https://www.celebheights.com/s/Alfie-Allen-5065.html,A,5ft 7 (170cm),5ft 7 ,170.0,66.93,unknown,840.0
