,stock_number,item,quantity,value,year
55,5120-01-589-8639,"SOCKET,SOCKET WRENCH",3,23.0,2020
46,5120-01-399-9747,"EXTENSION,SOCKET WRENCH",3,22.0,2020
47,5120-01-399-9756,"ADAPTER,SOCKET WRENCH",3,20.0,2020
92,8420-01-040-3148,"UNDERSHIRT,MANS",56,15.0,4040
49,5120-01-399-9811,"SCREWDRIVER ATTACHMENT,SOCKET WRENCH",3,13.0,2020
37,5120-01-399-9576,"SOCKET,SOCKET WRENCH",3,10.0,2020
53,5120-01-428-4778,"SOCKET,SOCKET WRENCH",3,10.0,2020
52,5120-01-428-4774,"SOCKET,SOCKET WRENCH",3,9.0,2020
39,5120-01-399-9622,"SOCKET,SOCKET WRENCH",3,8.0,2020
31,5120-01-399-9504,"SOCKET,SOCKET WRENCH",3,8.0,2020
93,8420-01-040-3149,"UNDERSHIRT,MANS",19,7.0,2020
59,5340-01-446-4349,"HASP,HINGED",4,7.0,2020
56,5120-01-610-6015,"SOCKET,SOCKET WRENCH",3,7.0,2020
20,5120-01-335-0701,"ADAPTER,SOCKET WRENCH",3,7.0,2020
38,5120-01-399-9577,"SOCKET,SOCKET WRENCH",3,7.0,2020
91,8420-01-040-3147,"UNDERSHIRT,MANS",10,7.0,2020
24,5120-01-399-9482,"SOCKET,SOCKET WRENCH",3,6.0,2020
51,5120-01-428-4762,"SOCKET,SOCKET WRENCH",3,6.0,2020
83,7530-01-600-6970,"INDEX SHEET SET,LOOSE-LEAF BINDER",10,6.0,2019
34,5120-01-399-9538,"SOCKET,SOCKET WRENCH",3,6.0,2020
48,5120-01-399-9760,"SOCKET,SOCKET WRENCH",3,6.0,2020
33,5120-01-399-9537,"SOCKET,SOCKET WRENCH",3,6.0,2020
50,5120-01-428-4522,"SOCKET,SOCKET WRENCH",3,5.0,2020
21,5120-01-399-9470,"SOCKET,SOCKET WRENCH",3,5.0,2020
22,5120-01-399-9475,"SOCKET,SOCKET WRENCH",3,5.0,2020
29,5120-01-399-9489,"SOCKET,SOCKET WRENCH",3,5.0,2020
30,5120-01-399-9501,"SOCKET,SOCKET WRENCH",3,5.0,2020
82,7520-01-315-9854,"STAPLER,PAPER FASTENING,OFFICE",14,5.0,2019
35,5120-01-399-9540,"SOCKET,SOCKET WRENCH",3,4.0,2020
32,5120-01-399-9533,"ADAPTER,SOCKET WRENCH",3,4.0,2020
28,5120-01-399-9486,"SOCKET,SOCKET WRENCH",3,3.0,2020
26,5120-01-399-9484,"SOCKET,SOCKET WRENCH",3,3.0,2020
27,5120-01-399-9485,"SOCKET,SOCKET WRENCH",3,3.0,2020
23,5120-01-399-9480,"SOCKET,SOCKET WRENCH",3,2.0,2020
61,5340-01-642-5819,"STRAP,LINE SUPPORTING",750,2.0,2020
54,5120-01-430-0671,"SOCKET,SOCKET WRENCH",3,2.0,2020
25,5120-01-399-9483,"SOCKET,SOCKET WRENCH",3,0.0,2020
36,5120-01-399-9571,"SOCKET,SOCKET WRENCH",3,0.0,2020
67,6760-01-497-3243,"FLASH UNIT,PHOTOGRAPHIC,REPEATING",1,0.0,2020
