name,party,start,end,url,image
"Arthur Wellesley, 1st Duke of Wellington",Tory,1834,1834,https://www.gov.uk/government/history/past-prime-ministers/arthur-wellesley-1st-duke-of-wellington,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1006/s216_Duke-Wellington.jpg
"Charles Grey, 2nd Earl Grey",Whig,1830,1834,https://www.gov.uk/government/history/past-prime-ministers/charles-grey-2nd-earl-grey,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1010/s216_Earl-Grey.jpg
"Frederick Robinson, Viscount Goderich",Tory,1827,1828,https://www.gov.uk/government/history/past-prime-ministers/frederick-robinson-viscount-goderich,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1011/s216_Viscount-Goderich.jpg
George Canning,Tory,1827,1827,https://www.gov.uk/government/history/past-prime-ministers/george-canning,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1012/s216_George-Canning.jpg
Robert Banks Jenkinson Earl of Liverpool,Conservative,1812,1827,https://www.gov.uk/government/history/past-prime-ministers/robert-banks-jenkinson-earl-of-liverpool,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1014/s216_Earl-Liverpool.jpg
Spencer Perceval,Tory,1809,1812,https://www.gov.uk/government/history/past-prime-ministers/spencer-perceval,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1013/s216_Spencer-Perceval.jpg
William Cavendish-Bentinck Duke of Portland,Whig,1807,1809,https://www.gov.uk/government/history/past-prime-ministers/william-bentinck-duke-of-portland,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1015/s216_Duke-Portland.jpg
"William Wyndham Grenville, 1st Baron Grenville",Whig,1806,1807,https://www.gov.uk/government/history/past-prime-ministers/william-wyndham-grenville-1st-baron-grenville,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1016/s216_Lord-Grenville.jpg
William Pitt 'The Younger',Tory/Whig,1804,1806,https://www.gov.uk/government/history/past-prime-ministers/william-pitt,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1018/s216_William-Pitt-younger.jpg
Henry Addington 1st Viscount Sidmouth,Tory,1801,1804,https://www.gov.uk/government/history/past-prime-ministers/henry-addington-1st-viscount-sidmouth,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1019/s216_Henry-Addington.jpg
"William Petty, 2nd Earl of Shelburne",Whig,1782,1783,https://www.gov.uk/government/history/past-prime-ministers/william-petty-2nd-earl-of-shelburne,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1021/s216_Earl-Shelburne.jpg
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",Whig,1782,1782,https://www.gov.uk/government/history/past-prime-ministers/charles-watson-wentworth-2nd-marquess-of-rockingham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1025/s216_Marquess-Rockingham.jpg
Lord Frederick North,Tory,1770,1782,https://www.gov.uk/government/history/past-prime-ministers/frederick-north,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1023/s216_Lord-North.jpg
"Augustus Henry Fitzroy, 3rd Duke of Grafton",Whig,1768,1770,https://www.gov.uk/government/history/past-prime-ministers/augustus-henry-fitzroy-3rd-duke-of-grafton,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1022/s216_Duke-Grafton.jpg
"William Pitt 'The Elder', 1st Earl of Chatham",Whig,1766,1768,https://www.gov.uk/government/history/past-prime-ministers/william-pitt-1st-earl-of-chatham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1024/s216_Earl-Chatham.jpg
George Grenville,Whig,1763,1765,https://www.gov.uk/government/history/past-prime-ministers/george-grenville,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1026/s216_George-Grenville.jpg
"John Stuart, 3rd Earl of Bute",Tory,1762,1763,https://www.gov.uk/government/history/past-prime-ministers/john-stuart-3rd-earl-of-bute,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1027/s216_Earl-Bute.jpg
Thomas Pelham-Holles 1st Duke of Newcastle,Whig,1757,1762,https://www.gov.uk/government/history/past-prime-ministers/thomas-pelham-holles-1st-duke-of-newcastle,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1029/s216_Duke-Newcastle.jpg
William Cavendish Duke of Devonshire,Whig,1756,1757,https://www.gov.uk/government/history/past-prime-ministers/william-cavendish-duke-of-devonshire,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1028/s216_Duke-Devonshire.jpg
Henry Pelham,Whig,1743,1754,https://www.gov.uk/government/history/past-prime-ministers/henry-pelham,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1030/s216_Henry-Pelham.jpg
"Spencer Compton, 1st Earl of Wilmington",Whig,1742,1743,https://www.gov.uk/government/history/past-prime-ministers/spencer-compton-1st-earl-of-wilmington,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1031/s216_Earl-of-Wilmington.jpg
Sir Robert Walpole,Whig,1721,1742,https://www.gov.uk/government/history/past-prime-ministers/robert-walpole,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1032/s216_Sir-Robert-Walpole.jpg
