dish,phonetic,korean,slug,thumbnail
Braised black beans,Geomeun-kongjorim,검은콩조림,geomeun-kongjorim,2018/05/braised-black-beans-150x150.jpg
Sautéed zucchini and shrimp,Aehobak-saeu-bokkeum,애호박새우볶음,aehobak-saeu-bokkeum,2018/04/zucchini-shrimp-bokkeum-150x150.jpg
Spicy stir-fried octopus,Nakji-bokkeum,낙지볶음,nakji-bokkeum,2018/03/nakjibokkeum-150x150.jpg
Spicy steamed eggs in an earthenware bowl,Maeun ttukbaegi gyeranjjim,매운 뚝배기 계란찜,maeun-ttukbaegi-gyeranjjim,2018/03/spicy-steamed-eggs-150x150.jpg
Spicy braised potatoes,Maeun-gamja-jorim,매운감자조림,maeun-gamja-jorim,2018/02/maeungamjajorim-150x150.jpg
Braised semi-dried pollock,Kodari-jorim,코다리조림,kodari-jorim,2018/01/kodarijorim-150x150.jpg
Braised pig's trotters,Jokbal,족발,jokbal,2017/12/jokbal-tube1-150x150.jpg
Seasoned fresh oysters,Gulmuchim,굴무침,gulmuchim,2017/11/oysters-150x150.jpg
Soybean sprout soup with rice,Kongnamul-gukbap,콩나물국밥,kongnamul-gukbap,2017/11/kongnamulgukbap-youtube-150x150.jpg
Vegetable and fruit water kimchi,Nabak-kimchi,나박김치,nabak-kimchi,2017/10/nabak-kimchi-150x150.jpg
Spicy stuffed steamed eggplant,Gochujang gaji-jjim,고추장 가지찜,gochujang-gaji-jjim,2017/09/steamedspicyeggplant-150x150.jpg
Thick soybean paste stew,Gang-doenjang,강된장,gang-doenjang,2017/08/gangdoenjang-youtube-150x150.jpg
Pan-fried perilla leaves with fillings,Kkaennip-jeon,깻잎전,kkaennip-jeon,2017/08/kkaennip-jeon-150x150.jpg
Braised lotus roots,Yeon-geun-jorim,연근조림,yeon-geun-jorim,2017/03/yeon-geun-jorim-150x150.jpg
Fried seaweed paper coated with glutinous rice paste,Gim-bugak,김부각,gim-bugak,2017/01/gim-bugak-insta-1-150x150.jpg
Braised octopus,Muneo-jorim,문어조림,muneo-jorim,2017/01/muneo-jorim-1-150x150.jpg
Asian chive kimchi,Buchu-kimchi,부추김치,buchu-kimchi,2016/12/chive-kimchi-insta-150x150.jpg
Bulgogi stew in an earthenware pot,Ttukbaegi-bulgogi,뚝배기불고기,ttukbaegi-bulgogi,2016/11/ttukbaegi-bulgogi-insta-1-150x150.jpg
Simple potato pancake,Gamjajeon,감자전,simple-gamjajeon,2016/11/potato-pancake-piece-150x150.jpg
Seasoned pan fried flatfish,Gajami yangnyeom-twigim,가자미 양념튀김,gajami-yangnyeom-twigim,2016/11/pan-fried-fluke-insta-150x150.jpg
Fermented soybean paste stew with scallops,Paeju-doenjang-jjigae,패주된장찌개,paeju-doenjang-jjigae,2016/10/scallop-deonjangjjigae-150x150.jpg
Spicy stuffed green chili pepper kimchi,Gochu-sobagi,고추소박이,gochu-sobagi,2016/09/pepper-kimchi-150x150.jpg
Crunchy squid threads,Ojingeo-silchae-bokkeum,오징어실채볶음,ojingeo-silchae-bokkeum,2016/09/ojingeosilchaebokkeum-insta-150x150.jpg
Mushroom soup,Beoseot-deulkkae-tang,버섯들깨탕,beoseot-deulkkae-tang,2016/07/mushroomsoup-150x150.jpg
Ox bone hangover soup,Ppyeo-haejangguk,뼈해장국,ppyeo-haejangguk,2016/06/haejangguk-150x150.jpg
Stir-fried garlic scapes,Maneuljjong-bokkeum,마늘쫑볶음,maneuljjong-bokkeum,2016/06/maneuljjong-bokkeum-150x150.jpg
Grilled salted & dried yellow corvina,Gulbi-gui,굴비구이,gulbi-gui,2016/05/gulbi-gui-150x150.jpg
Pan-fried meat and tofu patties,Wanja-jeon,완자전,wanja-jeon,2016/04/wanjajeon-basket-150x150.jpg
Spicy braised tofu,Dubu-jorim,두부조림,dubu-jorim,2016/02/dubujorim-insta-150x150.jpg
Fermented soybean paste stew,Doenjang-jjigae,된장찌개,doenjang-jjigae,2016/01/jjigae-150x150.jpg
Korean lettuce salad,Sangchu-geotjeori,상추겉절이,sangchu-geotjeori,2015/10/geotjeori-closeup-150x150.jpg
Mung bean pancakes,Bindaetteok,빈대떡,bindaetteok,2015/10/bindaetteok-closeup-150x150.jpg
Mung bean sprout side dish,Sukjunamul-muchim,숙주나물무침,sukjunamul-muchim,2015/10/sukjunamul-150x150.jpg
Beef pancakes,Soegogi-jeon,쇠고기전,soegogi-jeon,2015/08/soegogijeon-150x150.jpg
Braised kimchi & pork,Kimchijjim,김치찜,kimchijjim,2015/07/kiimchijjim-long-150x150.jpg
Shrimp Pancakes,Saeujeon,새우전,saeujeon,2015/06/shrimp1-150x150.jpg
Spicy cucumber side dish,Oi-muchim,오이무침,oi-muchim,2015/04/oimuchim_plate-150x150.jpg
Yellow pickled radish,Danmuji,단무지,danmuji,2015/04/danmuji-cut-150x150.jpg
Braised baby potatoes,Algamja-jorim,알감자조림,algamja-jorim,2015/03/algamjajorim1-150x150.jpg
Eggs in soy broth,Gyeran-jangjorim,계란장조림,gyeran-jangjorim,2015/03/jangjorim-150x150.jpg
Spicy soft tofu stew with kimchi and pork belly,Kimchi sundubu-jjigae,김치순두부찌개,sundubu-jjigae,2015/01/soondubujjigae-150x150.jpg
Clam stew,Jogaetang,조개탕,jogaetang,2014/12/jogaetang-150x150.jpg
Spicy grilled squid,Ojingeo-tonggui,오징어통구이,ojingeo-tonggui,2014/12/ojingeogui-150x150.jpg
Bok choy seasoned with soybean paste,Cheonggyeongchae doenjang-muchim,청경채 된장무침,bok-choy-muchim,2014/11/bokchoy_muchim-150x150.jpg
Green chili pepper pickles,Gochu-jangajji,고추장아찌,gochu-jangajji,2014/09/Korean-green-chili-pepper-pickles-150x150.jpg
"Minced, seasoned, and grilled beef ribs",Tteokgalbi,떡갈비,tteokgalbi,2014/08/tteokgalbi_pan1-150x150.jpg
"Sweet, sour, and spicy mushrooms with water dropwort",Beoseot minari chomuchim,버섯 미나리 초무침,beoseot-minari-chomuchim,2014/08/sweet-sour-spicy-mushrooms-and-water-dropwort-web-150x150.jpg
Kale Pancakes,Kaeil-jangtteok,케일장떡,kale-jangtteok,2014/07/kale_jangtteok-150x150.jpg
Napa cabbage kimchi,Tongbaechu-kimchi,통배추김치,tongbaechu-kimchi,2014/06/whole-cabbage-kimchi-150x150.jpg
Potato salad,Gamja-salad,감자샐러드,gamja-salad,2014/06/gamja_salad1-150x150.jpg
Ramp pancakes,Sanmaneul-jeon,산마늘전,sanmaneul-jeon,2014/05/ramp_pancake-150x150.jpg
Fish cakes,Eomuk,어묵,eomuk,2014/04/eomuk-150x150.jpg
Roasted seaweed sheets,Gim-gui,김구이,gim-gui,2014/03/roasted-gim-150x150.jpg
Kimchi and mackerel camping stew,Kimchi godeungeo-tongjorim jjigae,김치 고등어통조림 찌개,kimchi-camping-stew,2014/02/kimchi-stew-with-canned-fish-150x150.jpg
Seasoned dried anchovies,Myeolchi-muchim,멸치무침,myeolchi-muchim,2014/02/seasoned-anchovies-150x150.jpg
Fried Gochujang,yak-gochujang,약고추장,yak-gochujang,2014/01/yakgochujang_1-150x150.jpg
White Kimchi,Baek-kimchi,백김치,baekkimchi,2013/12/baekkimchi-150x150.jpg
Doenjang pork skewers,Maekjeok,맥적,maekjeok,2013/10/maekjeok-150x150.jpg
Cold salad with spicy mustard sauce,Gyeoja-naengchae,겨자냉채,gyeoja-naengchae,2013/09/plate-150x150.jpg
Beef and radish soup,Soegogi-muguk,쇠고기무국,soegogi-muguk,2013/09/beef-and-radish-soup-150x150.jpg
Raw crabs marinated in soy sauce,Ganjang-gejang,간장게장,ganjang-gejang,2013/07/ganjanggejang-150x150.jpg
Lamb's Quarters side dish,Myeongaju-muchim,명아주무침,myeongaju-muchim,2013/07/lambsquarters_seasoned-150x150.jpg
Seasoned dried radish strips,Mumallaengi-muchim,무말랭이무침,mumallaengi-muchim,2013/05/mumallaengimuchim_bowl-150x150.jpg
Korean style fried snapper with seasoning sauce,Domi-yangnyeom-gui,도미양념구이,domiyangnyeomgui,2013/04/fried-snapper-150x150.jpg
Broccoli salad,,,broccoli-salad,2013/04/broccolisalad-150x150.jpg
Beef short ribs soup,Galbitang,갈비탕,galbitang,2013/03/galbitang-150x150.jpg
Potato pancakes,Gamjajeon,감자전,gamjajeon,2013/03/gamjajeon_plate-150x150.jpg
Kimchi soup,Kimchi-guk,김치국,kimchi-guk,2013/02/kimchiguk-150x150.jpg
Korean Royal court stir fried rice cakes,Gungjung-tteokbokki,궁중떡볶이,gungjung-tteokbokki,2013/02/gungjungddeokbokki-150x150.jpg
Tofu pickles,Dubu-jangajji,두부장아찌,dubu-jangajji,2012/11/tofu-pickles-150x150.jpg
Spicy pork bulgogi BBQ,Dwaeji bulgogi,돼지불고기,dwaeji-bulgogi,2012/11/spicy-pork_plate-150x150.jpg
Korean spicy dipping sauce,Ssamjang,쌈장,ssamjang,2012/10/ssamjang-bowl-150x150.jpg
Sweet potato rice,Goguma-bap,고구마밥,gogumabap,2012/10/sweetpoato-rice-bowl-150x150.jpg
Braised saury,Kkongchi-jorim,꽁치조림,kkongchi-jorim,2012/09/kkongchijorim-pot1-150x150.jpg
Spicy bellflower root side dish,Doraji-muchim,도라지무침,doraji-muchim,2012/08/spicy-bellflower-roots-150x150.jpg
Cold eggplant side dish,Gaji-naengguk,가지냉국,gajinaengguk,2012/08/bowl1-150x150.jpg
Easy braised beef short ribs,Makgalbi-jjim,막갈비찜,makgalbi-jjim,2012/06/galbijjim-150x150.jpg
Seasoned acorn jelly,Dotorimuk-muchim,도토리묵무침,dotorimuk-muchim,2012/06/bowl-150x150.jpg
Radish water kimchi,Dongchimi,동치미,dongchimi,2012/05/dongchimisticks-150x150.jpg
Squid soup,Ojingeo-guk,오징어국,ojingeo-guk,2012/03/squidsoupbowl-150x150.jpg
Ponytail kimchi,Chonggak-kimchi,총각김치,chonggak-kimchi,2012/02/chonggak-kimchi-150x150.jpg
Spicy radish and beef soup,Maeun muguk,매운 무국,maeun-muguk,2012/01/closeup-150x150.jpg
Traditional-style spicy braised chicken,Dakbokkeumtang,닭볶음탕,traditional-dakbokkeumtang,2011/12/chicken21-150x150.jpg
Steamed egg in an earthenware bowl,Ttukbaegi gyeranjjim,뚝배기 계란찜,ttukbaegi-gyeranjjim,2011/11/steamed-eggs-1-150x150.jpg
Mapa tofu,Mapadubu,마파두부,mapadubu,2011/09/closeup12-150x150.jpg
Braised mackerel with radish,Godeungeo-mujorim,고등어무조림,godeungeo-jorim,2011/08/plate21-150x150.jpg
Cubed radish kimchi,Kkakdugi,깍두기,kkakdugi,2011/08/1plate-150x150.jpg
Steamed shishito peppers,Kkwarigochu-jjim,꽈리고추찜,kkwarigochu-jjim,2011/07/kkwarigochu-150x150.jpg
Seasoned seaweed,Doljaban-muchim,돌자반무침,doljaban-muchim,2011/07/a-plate-of-gimjaban-150x150.jpg
Pollock pancake,Dongtaejeon,동태전,dongtaejeon,2011/06/pollock_pancake-150x150.jpg
Tuna pancake,Chamchijeon,참치전,tuna-pancakes,2011/05/plate2-150x150.jpg
Mung bean sprout and cucumber side dish,Sukju-oi-namul,숙주오이나물,sukju-oi-namul,2011/05/plate-150x150.jpg
Mugwort soup,Ssukguk,쑥국,ssukguk,2011/04/ssukguk-150x150.jpg
Spicy raw fish soup,Mulhoe,물회,mulhoe,2011/03/chopsticks-150x150.jpg
Emergency kimchi,Yangbaechu-kimchi,양배추김치,yangbaechu-kimchi,2011/03/emergency-kimchi2-150x150.jpg
Green chili pepper pancake,Gochujeon,고추전,gochujeon,2011/02/gochujeoncircle-150x150.jpg
Aster scaber side dish,Chwinamul,취나물,chwinamul,2011/01/plate-150x150.jpg
Soybean paste based dipping sauce for raw fish,Doenjang-banga,된장방아,doenjang-banga,2010/12/rawfish-with-sauce-150x150.jpg
Ox-bone soup,Seolleongtang,설렁탕,seolleongtang,2010/11/bone-soup1-150x150.jpg
Fermented squid side dish,Ojingeojeot,오징어젓,ojingeojeot,2010/11/ojingeojeot-tube-150x150.jpg
Collard greens side dish,Collard greens banchan,콜라드그린 반찬,collard-greens-side-dish,2010/09/2-in-a-plate-150x150.jpg
Radish salad,Musaengchae,무생채,musaengchae,2010/09/plate-1-150x150.jpg
Spicy stir-fried pork,Dwaejigogi-bokkeum,돼지고기볶음,dwaejigogi-bokkeum,2010/09/spicy-stir-fried-pork-youtube-150x150.jpg
Grilled mackerel,Godeungeo-gui,고등어구이,godeungeo-gui,2010/07/grilledM1-150x150.jpg
Grandma-style kimchi pancake,Kimchijeon,김치전,grandma-kimchijeon,2015/05/kimchi-pancake-150x150.jpg
Dried pollock soup,Bugeoguk,북어국,bugeoguk,2010/06/bugeokguk-youtube-150x150.jpg
Sautéed sea plant,Miyeokjulgi-bokkeum,미역줄기볶음,miyeok-julgi-bokkeum,2010/05/plate21-150x150.jpg
Seasoned dried shredded squid,Ojingeochae-muchim,오징어채무침,ojingeochae-muchim,2010/04/ojingeochaemuchim-youtube-150x150.jpg
Soybean sprout side dish,Kongnamul-muchim,콩나물무침,kongnamul-muchim,2010/04/kongnamulmuchim_plate-150x150.jpg
Seasoned raw beef,Yukhoe,육회,yukhoe,2010/04/seasoned-rawbeef-150x150.jpg
Ground soybean stew,Kongbiji-jjigae,콩비지찌개,kongbiji-jjigae,2010/02/kongbijijjigae-youtube-150x150.jpg
Mung bean jelly side dishes,Cheongpomuk-muchim,청포묵무침,cheongpomuk-muchim,2010/01/bigplate-150x150.jpg
Soybean paste soup with cabbage,Baechu-doenjangguk,배추된장국,baechu-doenjang-guk,2024/02/cabbage-doenjangguk-150x150.jpg
Pan fried tofu with spicy sauce,Dububuchim-yangnyeomjang,두부부침양념장,dububuchim-yangnyeomjang,2009/09/dububuchim-150x150.jpg
Cucumber pickles,Oijangajji,오이장아찌,oijangajji,2009/08/oijangajjimuchim2-150x150.jpg
Perilla leaf kimchi,Kkaenip-kimchi,깻잎김치,kkaennip-kimchi,2009/08/kimchi-in-container-150x150.jpg
Perilla leaf pickles,Kkaennip-jangajji,깻잎장아찌,kkaennip-jangajji,2009/08/pickle-150x150.jpg
Braised beef with eggs & peppers in soy sauce ,Jangjorim,장조림,jangjorim-with-eggs,2013/04/jangjorim-150x150.jpg
Broccoli pickles,Brokoli pikeul,"브로콜리 피클, 브로콜리 장아찌",broccoli-pickles,2009/05/jar-150x150.jpg
Spicy stir-fried fish cakes,Eomuk-bokkeum,어묵볶음,uhmook-bokkeum,2009/04/eomukbokkeum_plate-150x150.jpg
Non spicy soybean sprout soup,An-maeun kongnamulguk,안매운 콩나물국,an-maeun-kongnamulguk,2009/03/kongnamulgook-notspicy-150x150.jpg
Soybean sprout soup,Kongnamulguk,콩나물국,kongnamulguk,2009/03/kongnamulguk-tube-150x150.jpg
Cooked radish side dish,Muwoonamul,"무우나물, 무나물",muwoonamul,2009/01/muwoonamul-150x150.jpg
Spicy mixed-up seafood noodle soup,Jjamppong,짬뽕,jjamppong,2008/11/jjamppong-youtube-150x150.jpg
Eggplant sidedish,Gaji-namul,가지나물,gaji-namul,2008/10/gajinamul1-150x150.jpg
Spicy fish stew,Maeuntang,매운탕,maeuntang,2008/09/maeuntang-1-150x150.jpg
Braised beef short ribs,Galbi-jjim,갈비찜,galbi-jjim,2008/09/galbijjim-scaled-150x150.jpg
Cold cucumber soup side dish,Oi-naengguk,오이냉국,oi-naengguk,2008/08/oi-naengguk-150x150.jpg
Steamed egg side dish,Gyeranjjim,계란찜,gyeranjjim,2008/07/gyeranjjim-150x150.jpg
Rolled omelette,Gyeran-mari,계란말이,gyeran-mari,2008/07/gyeranmari-1-150x150.jpg
Stir-fried dried anchovies and peanuts ,Myeolchi-ttangkong-bokkeum,멸치땅콩볶음,myeolchi-bokkeum,2008/06/myeolchi-bokkeum-150x150.jpg
Young summer radish water kimchi,Yeolmu mulkimchi,열무 물김치,yeolmu-mulkimchi,2008/05/yeolmukimchi-bowl-728922-150x150.jpg
Stir-fried shredded potato ,Gamjachae-bokkeum,감자채볶음,gamjachae-bokkeum,2008/04/potatosidedish-150x150.jpg
Potato & soy sauce side dish,Gamja-bokkeum,감자조림,gamja-bokkeum,2008/04/gamjaweb-150x150.jpg
Easy bulgogi,Mak-bulgogi,막불고기,easy-bulgogi,2008/03/easybulgogi-150x150.jpg
Spicy soft tofu stew with seafood,Haemul sundubu-jjigae,해물 순두부찌개,haemul-sundubu-jjigae,2008/02/sundubujjigae-seafood-150x150.jpg
Braised soybeans,Kongjorim,콩조림,kongjorim,2008/02/kongjorimweb-150x150.jpg
Chive pancake,Buchujeon,부추전,buchujeon,2008/02/buchujeon-1-150x150.jpg
Spicy stuffed cucumber kimchi,Oisobagi kimchi,오이소박이 김치,oisobagi-kimchi,2008/01/oisobagi6-150x150.jpg
Sweet & sour seaweed salad,Miyeok-muchim,미역무침,miyeok-muchim,2007/12/miyeok-naengchae-150x150.jpg
Seaweed soup with beef,Soegogi miyeokguk,쇠고기 미역국,miyeokguk,2007/12/miyeokguk-soup-150x150.jpg
Kimchi stew,Kimchi-jjigae,김치찌개,kimchi-jjigae,2007/11/kimchijjigae1-150x150.jpg
Spicy beef and vegetable soup,Yukgaejang,육개장,yukgaejang,2007/11/yukgaejang-1-150x150.jpg
Spinach side dish,Sigeumchi-namul,시금치나물,sigumchi-namul,2007/09/spinach-side-dish-1-150x150.jpg
Vegetable pancake,Yachaejeon,야채전,yachaejeon,2007/08/yachaejeon-1-150x150.jpg
Sweet potato starch noodles stir fried with vegetables,Japchae,잡채,japchae,2007/07/japchae_plate-150x150.jpg
Napa cabbage kimchi and radish kimchi,"Baechu-kimchi, kkakdugi","배추김치, 깍두기",napa-cabbage-kimchi,2013/03/baechukimchi-150x150.jpg
Breaded cod fillets,Daegujeon,대구전,daegu-jeon,2007/07/codjeonweb-150x150.jpg
Mixed green salad,Gutjuli,겉절이,gutjuli,
Fermented soybean paste stew mixed with fresh salad,Doenjang-jjigae geotjeori bibimbap,된장찌개 겉절이 비빔밥,doenjang-jjigae-geotjeori-bibimbap,2007/07/doenjangjjigaepot-150x150.jpg
Spicy stir fried squid,Ojingeo-bokkeum,오징어볶음,ojingeo-bokkeum,2007/04/ojingeo-bokkeum-150x150.jpg
