NAME,pct_change
La Verne,298.21
Ladera Heights,525.0
Lake Hughes,
Lake Los Angeles,357.15
Lake Manor,
Lakewood,845.3
Lakewood,845.3
Lennox,602.19
Leona Valley,
Littlerock,566.65
Littlerock/Juniper Hills,
Littlerock/Pearblossom,
Artesia,466.68
Hawaiian Gardens,586.65
Hermosa Beach,252.39
Hidden Hills,
Huntington Park,518.31
Industry,
Inglewood,606.7
Irwindale,
La Canada Flintridge,650.0
La Mirada,543.73
La Puente,510.97
Lancaster,300.97
Lawndale,604.33
Lomita,585.02
Long Beach,
Long Beach,
Adams-Normandie,335.29
Alsace,
Angelino Heights,
Arleta,374.57
Atwater Village,433.33
Baldwin Hills,
Bel Air,
Beverly Crest,322.2
Llano,
Marina del Rey,419.99
Monrovia,454.71
Monrovia,454.71
Newhall,
North Lancaster,
North Whittier,257.14
Northeast San Gabriel,
Padua Hills,
Palos Verdes Peninsula,
Pearblossom/Llano,
Pellissier Village,
Placerita Canyon,
Pomona,271.42
Pomona,271.42
Quartz Hill,312.0
Rancho Dominguez,
Roosevelt,
Rosewood,
Rosewood/East Gardena,
Rosewood/West Rancho Dominguez,
Rowland Heights,516.31
San Francisquito Canyon/Bouquet Canyon,
San Jose Hills,
San Pasqual,
Sand Canyon,
Santa Monica Mountains,
Saugus,
Saugus/Canyon Country,
South Antelope Valley,
South Edwards,
South San Gabriel,1049.94
South Whittier,418.09
Southeast Antelope Valley,
Stevenson Ranch,389.49
Sun Village,414.29
Sunrise Village,
Twin Lakes/Oat Mountain,
Universal City,
Val Verde,425.01
Valinda,356.52
View Park/Windsor Hills,
Walnut Park,851.63
West Antelope Valley,
West Carson,659.1
West Chatsworth,
West LA,
West Puente Valley,825.02
West Rancho Dominguez,
West Whittier/Los Nietos,
Westfield/Academy Hills,
Westhills,
White Fence Farms,
Whittier Narrows,
Willowbrook,594.22
Wiseburn,
View Heights,
Valencia,
Diamond Bar,314.05
Baldwin Park,515.22
Bell,593.84
Bell Gardens,520.78
Beverlywood,914.26
Boyle Heights,474.59
Brentwood,200.0
Brookside,
Cadillac-Corning,
Canoga Park,596.41
Carthay,293.32
Central,
Century City,308.33
Century Palms/Cove,
Chatsworth,486.78
Cheviot Hills,650.05
Chinatown,283.32
Cloverdale/Cochran,
Country Club Park,
Crenshaw District,
Crestview,
Downtown,250.0
Eagle Rock,632.54
East Hollywood,536.36
Echo Park,538.08
El Sereno,385.71
Elysian Park,330.0
Elysian Valley,588.9
Encino,169.24
Exposition,
Exposition Park,686.59
Faircrest Heights,
Figueroa Park Square,
Glassell Park,589.14
Gramercy Place,
Granada Hills,450.99
Green Meadows,639.14
Hancock Park,769.98
Harbor City,831.8
Harbor Pines,
Harvard Heights,766.66
Harvard Park,750.74
Highland Park,416.83
Historic Filipinotown,
Hollywood,263.34
