date,value,variable
2021-05-06,disapprove,41.6
2021-05-04,disapprove,42.2
2021-04-30,disapprove,42.1
2021-04-29,disapprove,42.0
2021-04-29,disapprove,42.0
2021-04-28,disapprove,42.1
2021-04-27,disapprove,41.8
2021-04-26,disapprove,41.5
2021-04-25,disapprove,41.5
2021-04-21,disapprove,41.4
2021-04-17,disapprove,41.4
2021-04-08,disapprove,40.5
2021-04-06,disapprove,41.2
2021-04-04,disapprove,42.2
2021-04-01,disapprove,42.2
2021-03-27,disapprove,43.0
2021-03-26,disapprove,43.1
2021-03-23,disapprove,41.4
2021-03-18,disapprove,41.7
2021-03-17,disapprove,42.0
2021-03-14,disapprove,42.0
2021-03-13,disapprove,42.0
2021-03-12,disapprove,40.3
2021-03-11,disapprove,39.9
2021-03-10,disapprove,39.9
2021-03-09,disapprove,39.9
2021-03-08,disapprove,40.0
2021-03-06,disapprove,39.9
2021-03-03,disapprove,39.8
2021-03-02,disapprove,38.9
2021-02-26,disapprove,40.2
2021-02-26,disapprove,40.2
2021-02-24,disapprove,39.5
2021-02-23,disapprove,39.5
2021-02-20,disapprove,39.4
2021-02-19,disapprove,39.3
2021-02-17,disapprove,39.3
2021-02-14,disapprove,36.8
2021-02-14,disapprove,36.8
2021-02-11,disapprove,36.9
2021-02-10,disapprove,36.5
2021-02-08,disapprove,36.6
2021-02-06,disapprove,36.7
2021-02-05,disapprove,36.3
2021-02-04,disapprove,36.0
2021-02-03,disapprove,36.1
2021-02-01,disapprove,35.7
2021-01-30,disapprove,35.5
2021-01-29,disapprove,36.0
2021-01-27,disapprove,36.8
2021-12-28,spread,-10.4
2021-12-20,spread,-8.0
2021-12-19,spread,-6.199999999999996
2021-12-18,spread,-6.199999999999996
2021-12-17,spread,-6.5
2021-12-16,spread,-6.5
2021-12-15,spread,-7.5
2021-12-14,spread,-7.5
2021-12-13,spread,-7.199999999999996
2021-12-10,spread,-9.5
2021-12-08,spread,-9.700000000000005
2021-12-07,spread,-8.600000000000001
2021-12-06,spread,-8.800000000000004
2021-12-05,spread,-9.900000000000006
2021-12-04,spread,-9.900000000000006
2021-12-03,spread,-9.900000000000006
2021-12-02,spread,-9.9
2021-12-01,spread,-10.5
2021-11-30,spread,-10.700000000000005
2021-11-29,spread,-10.700000000000005
2021-11-28,spread,-10.799999999999995
2021-11-27,spread,-11.5
2021-11-25,spread,-11.5
2021-11-24,spread,-11.5
2021-11-22,spread,-12.1
2021-11-21,spread,-12.1
2021-11-20,spread,-12.1
2021-11-19,spread,-12.1
2021-11-18,spread,-12.1
2021-11-17,spread,-11.700000000000005
2021-11-16,spread,-10.800000000000004
2021-11-14,spread,-10.700000000000005
2021-11-13,spread,-9.800000000000004
2021-11-12,spread,-9.800000000000004
2021-11-11,spread,-10.0
2021-11-10,spread,-8.700000000000003
2021-11-09,spread,-9.199999999999996
2021-11-08,spread,-8.900000000000006
2021-11-07,spread,-7.5
2021-11-06,spread,-7.5
2021-11-05,spread,-7.5
2021-11-03,spread,-8.100000000000001
2021-11-02,spread,-8.100000000000001
2021-11-01,spread,-8.100000000000001
2021-10-31,spread,-9.299999999999995
2021-10-29,spread,-9.9
2021-10-28,spread,-9.700000000000005
2021-10-27,spread,-9.800000000000004
2021-10-26,spread,-9.9
2021-10-25,spread,-9.800000000000004
2021-10-23,spread,-9.800000000000004
2021-10-22,spread,-8.599999999999994
2021-10-21,spread,-8.5
2021-10-20,spread,-8.5
2021-10-19,spread,-8.199999999999996
2021-10-18,spread,-8.399999999999999
2021-10-17,spread,-8.200000000000003
2021-10-16,spread,-8.200000000000003
2021-10-15,spread,-8.200000000000003
2021-10-14,spread,-7.899999999999999
2021-10-13,spread,-7.899999999999999
2021-10-12,spread,-9.299999999999995
2021-10-11,spread,-9.5
2021-10-10,spread,-8.700000000000003
2021-10-08,spread,-6.899999999999999
2021-10-07,spread,-4.600000000000001
2021-10-06,spread,-4.100000000000001
2021-10-04,spread,-2.799999999999997
2021-10-01,spread,-4.0
2021-09-30,spread,-4.100000000000001
2021-09-29,spread,-4.799999999999997
2021-09-27,spread,-5.200000000000003
2021-09-26,spread,-4.599999999999994
2021-09-25,spread,-4.599999999999994
2021-09-24,spread,-4.599999999999994
2021-09-23,spread,-4.0
2021-09-22,spread,-4.100000000000001
2021-09-21,spread,-3.899999999999999
2021-09-20,spread,-3.9000000000000057
2021-09-17,spread,-4.5
2021-09-16,spread,-4.100000000000001
2021-09-15,spread,-4.599999999999994
2021-09-14,spread,-4.599999999999994
2021-09-13,spread,-4.599999999999994
2021-09-12,spread,-4.5
2021-09-11,spread,-3.700000000000003
2021-09-10,spread,-3.700000000000003
2021-09-09,spread,-4.100000000000001
2021-09-08,spread,-4.200000000000003
2021-09-07,spread,-2.700000000000003
2021-09-06,spread,-3.5
2021-09-05,spread,-4.099999999999994
2021-09-04,spread,-4.099999999999994
2021-09-03,spread,-4.099999999999994
2021-09-02,spread,-4.0
2021-09-01,spread,-3.4000000000000057
2021-08-31,spread,-1.9000000000000057
2021-08-30,spread,-1.2000000000000028
2021-08-28,spread,-1.0
2021-08-27,spread,-1.0
2021-08-26,spread,-2.200000000000003
2021-08-25,spread,-2.200000000000003
2021-08-24,spread,-2.299999999999997
2021-08-23,spread,1.0
2021-08-22,spread,0.2000000000000028
2021-08-20,spread,0.3999999999999986
2021-08-19,spread,2.6000000000000014
2021-08-18,spread,2.3999999999999986
2021-08-17,spread,3.799999999999997
2021-08-16,spread,4.0
2021-08-13,spread,4.200000000000003
2021-08-11,spread,4.5
2021-08-10,spread,6.599999999999994
2021-08-09,spread,6.599999999999994
2021-08-08,spread,6.300000000000004
2021-08-07,spread,6.300000000000004
2021-08-06,spread,6.800000000000004
2021-08-05,spread,6.800000000000004
2021-08-04,spread,7.0
2021-08-03,spread,8.200000000000003
2021-07-31,spread,6.399999999999999
2021-07-30,spread,6.699999999999996
2021-07-29,spread,6.699999999999996
2021-07-27,spread,8.400000000000006
2021-07-24,spread,9.0
2021-07-23,spread,10.0
2021-07-20,spread,9.299999999999995
2021-07-16,spread,8.600000000000001
2021-07-14,spread,8.600000000000001
2021-07-13,spread,9.4
2021-07-10,spread,9.700000000000005
2021-07-09,spread,9.6
2021-07-07,spread,9.6
2021-07-06,spread,7.299999999999997
2021-07-05,spread,7.299999999999997
2021-07-04,spread,7.299999999999997
2021-07-02,spread,7.200000000000003
2021-07-01,spread,9.700000000000005
2021-06-28,spread,10.5
2021-06-27,spread,9.9
2021-06-25,spread,9.9
2021-06-24,spread,9.700000000000005
2021-06-23,spread,9.200000000000005
2021-06-21,spread,9.0
2021-06-18,spread,8.599999999999994
2021-06-11,spread,12.699999999999996
2021-06-08,spread,11.300000000000004
2021-06-07,spread,11.6
2021-06-05,spread,11.6
2021-06-04,spread,11.6
2021-06-03,spread,10.9
2021-06-01,spread,12.0
2021-05-31,spread,12.299999999999995
2021-05-22,spread,11.200000000000005
2021-05-21,spread,11.200000000000005
2021-05-20,spread,10.599999999999994
2021-05-19,spread,11.0
2021-05-15,spread,12.400000000000006
2021-05-14,spread,12.599999999999994
2021-05-13,spread,12.200000000000005
2021-05-11,spread,12.1
2021-05-11,spread,12.299999999999995
2021-05-07,spread,12.5
2021-05-06,spread,12.4
2021-05-04,spread,11.599999999999994
2021-04-30,spread,11.0
2021-04-29,spread,11.1
2021-04-29,spread,11.1
2021-04-28,spread,11.0
2021-04-27,spread,11.300000000000004
2021-04-26,spread,11.6
2021-04-25,spread,11.6
2021-04-21,spread,11.4
2021-04-17,spread,11.300000000000004
2021-04-08,spread,15.200000000000005
2021-04-06,spread,13.599999999999994
2021-04-04,spread,11.599999999999994
2021-04-01,spread,11.5
2021-03-27,spread,10.299999999999995
2021-03-26,spread,10.0
2021-03-23,spread,12.5
2021-03-18,spread,11.9
2021-03-17,spread,10.799999999999995
2021-03-14,spread,10.799999999999995
2021-03-13,spread,10.799999999999995
2021-03-12,spread,12.700000000000005
2021-03-11,spread,13.800000000000004
2021-03-10,spread,14.700000000000005
2021-03-09,spread,14.700000000000005
2021-03-08,spread,14.4
2021-03-06,spread,15.4
2021-03-03,spread,15.6
2021-03-02,spread,15.5
2021-02-26,spread,13.799999999999995
2021-02-26,spread,13.799999999999995
2021-02-24,spread,14.5
2021-02-23,spread,15.1
2021-02-20,spread,14.9
2021-02-19,spread,15.1
2021-02-17,spread,16.200000000000003
2021-02-14,spread,17.6
2021-02-14,spread,17.6
2021-02-11,spread,17.4
2021-02-10,spread,17.6
2021-02-08,spread,17.299999999999997
2021-02-06,spread,17.099999999999994
2021-02-05,spread,18.300000000000004
2021-02-04,spread,18.3
2021-02-03,spread,18.1
2021-02-01,spread,19.2
2021-01-30,spread,20.3
2021-01-29,spread,19.700000000000003
2021-01-27,spread,18.0
