wayback_date,wayback_time,approve,disapprove,spread,date
2021-06-01,12:00:09,53.9,41.9,12.0,2021-06-01
2021-06-03,04:56:14,53.3,42.4,10.899999999999999,2021-06-03
2021-06-04,02:10:32,53.0,41.4,11.600000000000001,2021-06-04
2021-06-05,04:01:54,53.0,41.4,11.600000000000001,2021-06-05
2021-06-07,08:22:02,53.0,41.4,11.600000000000001,2021-06-07
2021-06-08,04:52:47,52.7,41.4,11.300000000000004,2021-06-08
2021-06-11,20:05:16,53.8,41.1,12.699999999999996,2021-06-11
2021-06-18,11:23:12,52.3,43.7,8.599999999999994,2021-06-18
2021-06-21,21:44:19,52.4,43.4,9.0,2021-06-21
2021-06-23,18:37:21,52.5,43.3,9.200000000000003,2021-06-23
2021-06-24,16:11:58,53.0,43.3,9.700000000000003,2021-06-24
2021-06-25,04:47:48,53.0,43.1,9.899999999999999,2021-06-25
2021-06-27,15:04:20,53.0,43.1,9.899999999999999,2021-06-27
2021-06-28,22:27:45,53.1,42.6,10.5,2021-06-28
2021-07-01,04:32:07,52.7,43.0,9.700000000000003,2021-07-01
2021-07-02,13:36:52,51.7,44.5,7.200000000000003,2021-07-02
2021-07-04,11:31:09,51.4,44.1,7.299999999999997,2021-07-04
2021-07-05,14:19:49,51.4,44.1,7.299999999999997,2021-07-05
2021-07-06,08:10:43,51.4,44.1,7.299999999999997,2021-07-06
2021-07-07,10:53:32,52.5,42.9,9.600000000000001,2021-07-07
2021-07-09,19:43:39,52.5,42.9,9.600000000000001,2021-07-09
2021-07-10,18:25:37,52.6,42.9,9.700000000000003,2021-07-10
2021-07-13,12:29:37,52.4,43.0,9.399999999999999,2021-07-13
2021-07-14,23:22:27,52.0,43.4,8.600000000000001,2021-07-14
2021-07-16,04:30:24,52.0,43.4,8.600000000000001,2021-07-16
2021-07-20,11:51:31,52.4,43.1,9.299999999999997,2021-07-20
2021-07-23,14:07:28,52.5,42.5,10.0,2021-07-23
2021-07-24,11:50:27,52.5,43.5,9.0,2021-07-24
2021-07-27,08:01:48,52.2,43.8,8.400000000000006,2021-07-27
2021-07-29,15:09:06,51.3,44.6,6.699999999999996,2021-07-29
2021-07-30,09:09:09,51.3,44.6,6.699999999999996,2021-07-30
2021-07-31,14:05:10,51.3,44.9,6.399999999999999,2021-07-31
2021-08-03,12:21:52,51.6,43.4,8.200000000000003,2021-08-03
2021-08-04,19:48:45,50.7,43.7,7.0,2021-08-04
2021-08-05,13:21:09,50.6,43.8,6.800000000000004,2021-08-05
2021-08-06,07:49:36,50.6,43.8,6.800000000000004,2021-08-06
2021-08-07,09:46:33,50.2,43.9,6.300000000000004,2021-08-07
2021-08-08,10:47:12,50.2,43.9,6.300000000000004,2021-08-08
2021-08-09,12:17:12,50.3,43.7,6.599999999999994,2021-08-09
2021-08-10,11:51:33,50.3,43.7,6.599999999999994,2021-08-10
2021-08-11,19:54:57,50.1,45.6,4.5,2021-08-11
2021-08-13,12:39:56,50.1,45.9,4.200000000000003,2021-08-13
2021-08-16,17:43:03,50.0,46.0,4.0,2021-08-16
2021-08-17,17:57:41,49.9,46.1,3.799999999999997,2021-08-17
2021-08-18,16:19:41,49.6,47.2,2.3999999999999986,2021-08-18
2021-08-19,15:56:17,49.6,47.0,2.6000000000000014,2021-08-19
2021-08-20,17:33:00,48.6,48.2,0.3999999999999986,2021-08-20
2021-08-22,14:04:39,48.2,48.0,0.20000000000000284,2021-08-22
2021-08-23,16:57:38,48.3,47.3,1.0,2021-08-23
2021-08-24,19:22:40,46.6,48.9,-2.299999999999997,2021-08-24
2021-08-25,19:06:19,46.9,49.1,-2.200000000000003,2021-08-25
2021-08-26,13:50:41,46.9,49.1,-2.200000000000003,2021-08-26
2021-08-27,16:06:25,47.4,48.4,-1.0,2021-08-27
2021-08-28,12:19:27,47.4,48.4,-1.0,2021-08-28
2021-08-30,18:11:50,47.4,48.6,-1.2000000000000028,2021-08-30
2021-08-31,13:38:32,46.8,48.7,-1.9000000000000057,2021-08-31
2021-09-01,19:49:54,45.8,49.2,-3.4000000000000057,2021-09-01
2021-09-02,19:09:11,45.4,49.4,-4.0,2021-09-02
2021-09-03,14:36:01,45.2,49.3,-4.099999999999994,2021-09-03
2021-09-04,14:37:43,45.2,49.3,-4.099999999999994,2021-09-04
2021-09-05,10:07:07,45.2,49.3,-4.099999999999994,2021-09-05
2021-09-06,13:36:28,45.6,49.1,-3.5,2021-09-06
2021-09-07,19:32:47,45.9,48.6,-2.700000000000003,2021-09-07
2021-09-08,18:35:42,45.3,49.5,-4.200000000000003,2021-09-08
2021-09-09,19:25:38,45.3,49.4,-4.100000000000001,2021-09-09
2021-09-10,18:34:20,45.4,49.1,-3.700000000000003,2021-09-10
2021-09-11,19:17:55,45.4,49.1,-3.700000000000003,2021-09-11
2021-09-12,16:07:21,45.2,49.7,-4.5,2021-09-12
2021-09-13,17:09:59,45.2,49.8,-4.599999999999994,2021-09-13
2021-09-14,07:53:58,45.2,49.8,-4.599999999999994,2021-09-14
2021-09-15,16:08:51,45.2,49.8,-4.599999999999994,2021-09-15
2021-09-16,17:21:14,45.4,49.5,-4.100000000000001,2021-09-16
2021-09-17,19:37:30,45.3,49.8,-4.5,2021-09-17
2021-09-20,03:37:55,45.8,49.7,-3.9000000000000057,2021-09-20
2021-09-21,11:16:44,46.1,50.0,-3.8999999999999986,2021-09-21
2021-09-22,18:40:40,46.0,50.1,-4.100000000000001,2021-09-22
2021-09-23,18:09:17,46.0,50.0,-4.0,2021-09-23
2021-09-24,16:05:50,45.7,50.3,-4.599999999999994,2021-09-24
2021-09-25,12:40:09,45.7,50.3,-4.599999999999994,2021-09-25
2021-09-26,19:43:30,45.7,50.3,-4.599999999999994,2021-09-26
2021-09-27,19:08:36,45.4,50.6,-5.200000000000003,2021-09-27
2021-09-29,11:34:02,45.2,50.0,-4.799999999999997,2021-09-29
2021-09-30,15:52:42,45.3,49.4,-4.100000000000001,2021-09-30
2021-10-01,14:23:46,45.2,49.2,-4.0,2021-10-01
2021-10-04,18:49:46,45.1,47.9,-2.799999999999997,2021-10-04
2021-10-06,18:09:38,44.6,48.7,-4.100000000000001,2021-10-06
2021-10-07,19:22:54,44.3,48.9,-4.600000000000001,2021-10-07
2021-10-08,19:36:05,43.4,50.3,-6.899999999999999,2021-10-08
2021-10-10,16:05:28,43.3,52.0,-8.700000000000003,2021-10-10
2021-10-11,17:19:19,43.0,52.5,-9.5,2021-10-11
2021-10-12,16:19:20,43.0,52.3,-9.299999999999997,2021-10-12
2021-10-13,13:01:07,44.1,52.0,-7.899999999999999,2021-10-13
2021-10-14,19:21:32,44.1,52.0,-7.899999999999999,2021-10-14
2021-10-15,19:07:04,43.9,52.1,-8.200000000000003,2021-10-15
2021-10-16,16:05:45,43.9,52.1,-8.200000000000003,2021-10-16
2021-10-17,12:53:09,43.9,52.1,-8.200000000000003,2021-10-17
2021-10-18,18:20:48,43.7,52.1,-8.399999999999999,2021-10-18
2021-10-19,19:54:04,43.7,51.9,-8.199999999999996,2021-10-19
2021-10-20,19:05:31,42.9,51.4,-8.5,2021-10-20
2021-10-21,17:53:42,42.8,51.3,-8.5,2021-10-21
2021-10-22,19:00:08,42.7,51.3,-8.599999999999994,2021-10-22
2021-10-23,16:28:01,42.3,52.1,-9.800000000000004,2021-10-23
2021-10-25,08:59:47,42.3,52.1,-9.800000000000004,2021-10-25
2021-10-26,18:20:37,42.2,52.1,-9.899999999999999,2021-10-26
2021-10-27,19:53:53,42.3,52.1,-9.800000000000004,2021-10-27
2021-10-28,11:21:54,42.4,52.1,-9.700000000000003,2021-10-28
2021-10-29,10:54:12,42.5,52.4,-9.899999999999999,2021-10-29
2021-10-31,16:49:36,42.6,51.9,-9.299999999999997,2021-10-31
2021-11-01,17:19:10,43.0,51.1,-8.100000000000001,2021-11-01
2021-11-02,16:29:43,43.0,51.1,-8.100000000000001,2021-11-02
2021-11-03,18:53:06,43.0,51.1,-8.100000000000001,2021-11-03
2021-11-05,17:09:17,43.1,50.6,-7.5,2021-11-05
2021-11-06,16:49:34,43.1,50.6,-7.5,2021-11-06
2021-11-07,14:18:26,43.1,50.6,-7.5,2021-11-07
2021-11-08,16:38:25,42.8,51.7,-8.900000000000006,2021-11-08
2021-11-09,17:37:08,42.6,51.8,-9.199999999999996,2021-11-09
2021-11-10,16:38:44,42.8,51.5,-8.700000000000003,2021-11-10
2021-11-11,11:37:57,42.3,52.3,-10.0,2021-11-11
2021-11-12,11:19:07,42.4,52.2,-9.800000000000004,2021-11-12
2021-11-13,15:38:00,42.4,52.2,-9.800000000000004,2021-11-13
2021-11-14,13:30:38,42.0,52.7,-10.700000000000003,2021-11-14
2021-11-16,15:18:29,41.9,52.7,-10.800000000000004,2021-11-16
2021-11-17,18:10:24,41.5,53.2,-11.700000000000003,2021-11-17
2021-11-18,17:39:12,41.3,53.4,-12.100000000000001,2021-11-18
2021-11-19,18:07:46,41.3,53.4,-12.100000000000001,2021-11-19
2021-11-20,17:21:55,41.3,53.4,-12.100000000000001,2021-11-20
2021-11-21,17:50:53,41.3,53.4,-12.100000000000001,2021-11-21
2021-11-22,14:51:47,41.3,53.4,-12.100000000000001,2021-11-22
2021-11-24,17:54:51,41.6,53.1,-11.5,2021-11-24
2021-11-25,02:26:31,41.6,53.1,-11.5,2021-11-25
2021-11-27,09:03:07,41.6,53.1,-11.5,2021-11-27
2021-11-28,09:52:32,41.7,52.5,-10.799999999999997,2021-11-28
2021-11-29,17:19:10,41.8,52.5,-10.700000000000003,2021-11-29
2021-11-30,05:50:50,41.8,52.5,-10.700000000000003,2021-11-30
2021-12-01,00:01:28,41.9,52.4,-10.5,2021-12-01
2021-12-02,18:36:18,42.2,52.1,-9.899999999999999,2021-12-02
2021-12-03,17:21:40,42.3,52.2,-9.900000000000006,2021-12-03
2021-12-04,16:36:57,42.3,52.2,-9.900000000000006,2021-12-04
2021-12-05,02:33:37,42.3,52.2,-9.900000000000006,2021-12-05
2021-12-06,16:34:13,42.4,51.2,-8.800000000000004,2021-12-06
2021-12-07,15:50:45,42.9,51.5,-8.600000000000001,2021-12-07
2021-12-08,11:46:37,42.3,52.0,-9.700000000000003,2021-12-08
2021-12-10,12:35:38,42.3,51.8,-9.5,2021-12-10
2021-12-13,17:24:22,43.1,50.3,-7.199999999999996,2021-12-13
2021-12-14,11:32:47,42.9,50.4,-7.5,2021-12-14
2021-12-15,07:12:28,42.9,50.4,-7.5,2021-12-15
2021-12-16,16:16:54,44.0,50.5,-6.5,2021-12-16
2021-12-17,04:38:30,44.0,50.5,-6.5,2021-12-17
2021-12-18,05:02:13,44.1,50.3,-6.199999999999996,2021-12-18
2021-12-19,17:49:08,44.1,50.3,-6.199999999999996,2021-12-19
2021-12-20,16:36:32,44.1,52.1,-8.0,2021-12-20
2021-12-21,14:37:34,44.1,52.0,-7.899999999999999,2021-12-21
2021-12-22,03:32:30,44.1,52.0,-7.899999999999999,2021-12-22
