OBJECTID,GbCity,City_CH,City_EN,A100008_00,A100008_10,A100009_00,A100009_10,A101001_00,A101001_10,A101002_00,A101002_10,A101003_00,A101003_10,A101004_00,A101004_10,A101005_00,A101005_10,A101006_00,A101006_10,A103001_00,A103001_10,A104001_00,A104001_10,A104004_00,A104004_10,A104007_00,A104007_10,A104010_00,A104010_10,A105004_00,A105004_10,A105007_00,A105007_10,GbProv,Prov_CH,Prov_EN,Shape_Leng,Shape_Area,count
"118","3501",福州市,Fuzhou,3359051,4408076,3026964,2707293,1777855,2324249,1668974,2177300,108881,146949,6386015,7115369,3290152,3630096,3095863,3485273,5336764,6462516,1432946,2374956,233745,612468,436072,972824,395482,789664,4552056,4770466,1676888,2238010,35,福建省,Fujian,16.4514728158,1.03347078396,"2"
"303","6201",兰州市,Lanzhou,2070949,2758558,1071574,857605,919090,1200381,868254,1112369,50836,88012,3142523,3616163,1635825,1849819,1506698,1766344,2651559,3214127,651028,1155324,35375,372634,213875,576533,104967,206157,1487983,1487979,1625895,2090542,62,甘肃省,Gansu,7.01463665924,1.33027870042,"1"
"314","6228",庆阳地区,Qingyangdiqu,316923,522780,2104037,1688411,580511,611917,568168,595445,12343,16472,2420960,2211191,1251582,1122421,1169378,1088770,2473845,2600422,55047,224441,30828,135982,15473,71643,7108,16816,2153239,1896328,263586,293042,62,甘肃省,Gansu,9.67693591401,2.72096062799,"1"
"200","4401",广州市,Guangzhou,8090976,10641408,1851046,2060540,2820647,4330407,2374086,3785278,446561,545129,9942022,12701948,5175742,6639745,4766280,6062203,6096252,8077303,4281782,6147448,70275,729256,1162909,2415676,2149978,3002516,5232957,6144111,4582706,6492524,44,广东省,Guangdong,5.86459678617,0.62169026726,"1"
"219","4452",揭阳市,Jieyang,1985790,2783996,3251615,3100351,1072602,1197952,1053510,1178425,19092,19527,5237405,5884347,2684258,2994460,2553147,2889887,5195946,6585347,265619,281956,87375,163513,21390,34839,133652,83604,4414895,4849375,729488,932261,44,广东省,Guangdong,5.03610908783,0.46180141391,"1"
"204","4405",汕头市,Shantou,3129771,3689655,1541508,1699673,997057,1207760,965828,1169534,31229,38226,4671279,5389328,2356424,2703834,2314855,2685494,4321118,5261879,475120,768999,58286,252845,88588,194730,155342,321424,3191936,3703793,1378422,1548726,44,广东省,Guangdong,4.67692121826,0.18559283628,"1"
"202","4403",深圳市,Shenzhen,6480340,10358381,528491,0,1969621,4535427,1188738,3587005,780883,948422,7008831,10358381,3454392,5613545,3554439,4744836,997996,2510145,6070670,8514958,9087,236683,1792934,2482178,4055605,5796097,4992729,6627292,1991327,3641553,44,广东省,Guangdong,3.28932552962,0.1633091003,"3"
"207","4408",湛江市,Zhanjiang,2337362,2565740,3733340,4429092,1437359,1828581,1417168,1784361,20191,44220,6070702,6994832,3202665,3651062,2868037,3343770,6306558,7768143,440788,741779,153668,432136,72687,235825,80303,73818,4680751,5172137,1294235,1644839,44,广东省,Guangdong,16.1632741845,1.05796754594,"1"
"217","4420",中山市,Zhongshan,1434251,2740994,929071,380281,556985,1095857,433293,915156,123692,180701,2363322,3121275,1175587,1656632,1187735,1464643,1303138,1498598,1099304,1761501,54443,109035,183591,328937,861270,1323529,1878836,2466087,471635,634965,44,广东省,Guangdong,1.80664304942,0.14329327946,"1"
"225","4505",北海市,Beihai,651401,727918,771835,811333,358205,420119,350932,407284,7273,12835,1423236,1539251,752484,800856,670752,738395,1351370,1617453,166075,264713,24009,105506,62897,101082,30091,58125,1028614,1056225,387621,460768,45,广西省,Guangxi,5.45626434722,0.29111525126,"1"
"230","4521",南宁地区,Nanningdiqu,884522,554578,3955014,1439707,1269617,593044,1260574,582867,9043,10177,4839536,1994285,2550567,1043139,2288969,951146,5357807,2347699,180039,196613,110994,100019,51722,72627,17323,23967,4209009,1653540,622221,305309,45,广西省,Guangxi,15.6460086067,2.61233737315,"1"
"223","4503",桂林市,Guilin,1256036,1840230,3358634,2907733,1336552,1487410,1309925,1448445,26627,38965,4614670,4747963,2437613,2456581,2177057,2291382,4594053,4988397,370620,761757,55801,267825,159317,348755,75788,145177,3635429,3610283,964819,1079300,45,广西省,Guangxi,9.47042066443,2.47963762569,"5"
"222","4502",柳州市,Liuzhou,1255841,2166882,843999,1591822,603431,1156540,573829,1116423,29602,40117,2099840,3758704,1102934,1960125,996906,1798579,1678357,3554441,569760,994176,43730,278431,325598,590517,76352,125228,1155578,2444617,933447,1263540,45,广西省,Guangxi,4.09173922016,0.46862738076,"2"
"221","4501",南宁市,Nanning,1785749,3578333,1435941,3080409,918964,2147950,856981,2040955,61983,106995,3221690,6658742,1706813,3452717,1514877,3206025,2761932,6865488,677794,1664205,36681,382004,394670,1060885,68492,221316,1926866,4667886,1279613,1899577,45,广西省,Guangxi,5.54576262612,0.86474362308,"9"
"227","4507",钦州市,Qinzhou,631792,903521,2262615,2176200,705071,837487,699917,824829,5154,12658,2894407,3079721,1588034,1638285,1306373,1441436,3139923,3791093,133095,282337,41534,169674,29371,74981,10712,37682,2581480,2624585,302716,361133,45,广西省,Guangxi,8.11998893987,0.9269596055,"1"
"224","4504",梧州市,Wuzhou,841034,1238723,1955053,1643477,702803,803722,695051,790220,7752,13502,2796087,2882200,1478118,1494853,1317969,1387347,2794393,3273292,158290,275369,34688,130821,52400,113753,18378,30795,2278363,2226388,510881,558140,45,广西省,Guangxi,7.88659511712,1.10896343433,"1"
"229","4509",玉林市,Yulin,1337125,2172918,3749090,3314450,1276139,1524260,1260365,1505095,15774,19165,5086215,5487368,2714479,2857653,2371736,2629715,5552794,6712331,159291,436552,59778,291384,57405,107786,24887,37382,4544382,4750082,536358,586498,45,广西省,Guangxi,7.0572031322,1.12796611115,"2"
"261","5201",贵阳市,Guiyang,2274712,2932285,1443737,1390326,1109413,1434249,1064903,1370555,44510,63694,3718449,4322611,1954819,2221896,1763630,2100715,3076270,3735364,928437,1513342,49095,336108,414544,904609,169188,272625,2087101,2340485,1570267,1898515,52,贵州省,Guizhou,5.44286664802,0.72957377261,"2"
"10","1306",保定市,Baoding,2419839,4340339,8051284,6854043,2760205,3108674,2708057,3039158,52148,69516,10471123,11194382,5302641,5650947,5168482,5543435,9921763,11280217,746244,1117253,269457,546788,170532,362953,160137,207512,8961843,9385546,1485271,1744756,13,河北省,Hebei,8.60900503627,2.31884350192,"3"
"13","1309",沧州市,Cangzhou,1435714,2912542,5203787,4221520,1827396,2083216,1803085,2056649,24311,26567,6639501,7134062,3380277,3647202,3259224,3486860,6342024,7161336,380411,592100,136701,347392,81844,143711,86099,100997,5568516,5851526,1057420,1203641,13,河北省,Hebei,7.91448166567,1.45254288765,"1"
"12","1308",承德市,Chengde,834121,1343103,2490000,2130098,979006,1046297,964964,1024783,14042,21514,3324121,3473201,1718138,1782914,1605983,1690287,3331749,3716445,201188,440390,84048,276477,44454,114161,16923,49752,2683646,2724709,630807,727807,13,河北省,Hebei,13.6357645659,4.25741578577,"1"
"8","1304",邯郸市,Handan,1964038,3985686,6422776,5188997,2102555,2389789,2055109,2359454,47446,30335,8386814,9174683,4266539,4617598,4120275,4557085,8049006,9376651,440310,718207,108644,421511,119577,250943,61095,45753,7011600,7352216,1357411,1676941,13,河北省,Hebei,6.45672993926,1.21455724337,"1"
"14","1310",廊坊市,Langfang,1124617,2115141,2708827,2243698,1006490,1250396,983505,1204601,22985,45795,3833444,4358839,1950254,2233100,1883190,2125739,3594464,4132357,285272,684626,64178,248082,49374,116890,121785,319654,3199570,3391063,625534,917660,13,河北省,Hebei,6.24731446224,0.66986874138,"5"
"5","1301",石家庄市,Shijiazhuang,3238859,5145133,6002327,5018655,2431040,2795346,2351008,2720331,80032,75015,9241186,10163788,4691030,5087913,4550156,5075875,8377647,9810454,1020503,1542493,185959,633436,299955,707898,168954,201159,7109438,7070053,2113762,3063344,13,河北省,Hebei,6.54598339391,1.44466958468,"6"
"9","1305",邢台市,Xingtai,1331530,2842785,5314236,4261318,1689376,1941607,1659042,1916890,30334,24717,6645766,7104103,3374805,3606588,3270961,3497515,6369263,7222603,337861,515579,112301,309577,89771,173341,38608,32661,5768490,6115163,868639,932642,13,河北省,Hebei,6.13577259387,1.26640819538,"3"
"11","1307",张家口市,Zhangjiakou,1218144,1962450,2972891,2383035,1394030,1504873,1374172,1481690,19858,23183,4191035,4345485,2162852,2225425,2028183,2120060,3925234,4637341,511634,941060,154964,534186,135477,322109,50810,84765,3147579,3115745,1027670,1186796,13,河北省,Hebei,12.3996370852,3.92034423133,"2"
"159","4105",安阳市,Anyang,1324381,1985666,3836725,3187522,1370845,1503594,1353012,1486536,17833,17058,5161106,5173188,2616008,2502912,2545098,2670276,4947435,5682720,313407,475407,67215,266307,92564,179906,29401,29194,4259492,3985397,879812,1065827,41,河南省,Henan,6.82958892047,0.72431968825,"2"
"156","4102",开封市,Kaifeng,881176,1658481,3705357,3018002,1165201,1258762,1153644,1241002,11557,17760,4586533,4676483,2340547,2370764,2245986,2305719,4506833,5034485,197187,326967,35517,156401,47592,154198,15935,16368,3765083,3863163,811303,795513,41,河南省,Henan,4.88153680584,0.61463560733,"3"
"157","4103",洛阳市,Luoyang,1870406,2888355,4357259,3661586,1656657,1843466,1621298,1806277,35359,37189,6227665,6549941,3206614,3306567,3021051,3243374,5964037,6803931,496335,845615,116115,395312,141557,390495,47035,59808,4754556,4831096,1431179,1650244,41,河南省,Henan,7.28591216898,1.48022294875,"1"
"165","4111",漯河市,Luohe,533706,994586,1728698,1549680,628398,674464,619414,662051,8984,12413,2262404,2544266,1156563,1299682,1105841,1244584,2284578,2712381,124281,188830,32325,107764,41304,74469,6997,6597,1820248,1972819,433219,564420,41,河南省,Henan,2.9972167267,0.25722579406,"1"
"167","4113",南阳市,Nanyang,1930773,3333599,7646998,6930061,2794458,2797286,2765001,2747972,29457,49314,9577771,10263660,5006444,5280744,4571327,4982916,9920708,11574387,408040,876767,122810,673541,120151,176672,23297,26554,8262133,8727250,1289804,1437677,41,河南省,Henan,9.81205078929,2.55561647843,"3"
"168","4114",商丘市,Shangqiu,1023886,2171557,6729958,5191418,2074220,2217939,2065041,2198804,9179,19135,7753844,7362975,3993289,3683893,3760555,3679082,7845853,8853505,160156,322939,59667,237152,28413,70276,12155,15511,6918012,6273513,811555,1043185,41,河南省,Henan,6.43177926955,1.04789442811,"2"
"161","4107",新乡市,Xinxiang,1274302,2328848,4133131,3379343,1345629,1451623,1327765,1435177,17864,16446,5407433,5708191,2750596,2873482,2656837,2834709,5184887,5894761,310558,447945,105004,236168,77210,191375,23750,20402,4399882,4685469,981671,976218,41,河南省,Henan,5.29939431397,0.817335564,"2"
"155","4101",郑州市,Zhengzhou,3664517,5477495,2992242,3149594,1831813,2606648,1733410,2436665,98403,169983,6656759,8627089,3448942,4422318,3207817,4204771,5753046,7309348,1154627,2704542,147444,709306,476824,1749758,141050,245478,4428338,5692014,2183913,2879871,41,河南省,Henan,4.87210344418,0.73924190487,"1"
"164","4110",许昌市,Xuchang,839419,1656644,3284667,2650844,1124036,1175451,1111399,1156026,12637,19425,4124086,4307488,2133494,2206634,1990592,2100854,4163108,4767581,189784,466982,59520,318574,63895,118192,11436,30216,3511857,3208134,597565,1070090,41,河南省,Henan,4.25084548607,0.48799336475,"2"
"155","4101",郑州市,Zhengzhou,3664517,5477495,2992242,3149594,1831813,2606648,1733410,2436665,98403,169983,6656759,8627089,3448942,4422318,3207817,4204771,5753046,7309348,1154627,2704542,147444,709306,476824,1749758,141050,245478,4428338,5692014,2183913,2879871,41,河南省,Henan,4.87210344418,0.73924190487,"43"
"170","4116",周口市,Zhoukou,1264706,2637555,8476577,6316238,2501231,2529876,2492569,2505505,8662,24371,9741283,8953793,5056050,4425662,4685233,4528131,10113125,11143370,138505,392062,73654,305757,31199,76893,6156,9412,8878583,7947515,847584,941579,41,河南省,Henan,6.55090942969,1.16906581965,"1"
"171","4117",驻马店市,Zhumadian,902866,2130450,6549886,5100784,2055884,2076185,2046616,2056880,9268,19305,7452752,7231234,3847370,3641356,3605382,3589878,7774667,8823380,176507,506119,61196,414653,53774,75939,10068,15527,6692716,6128931,730543,1061472,41,河南省,Henan,7.48788564339,1.45587846096,"5"
"177","4207",鄂州市,Ezhou,551876,607739,471409,440929,267695,300204,261852,294451,5843,5753,1023285,1048668,533940,551366,489345,497302,943142,1082655,106436,126680,3381,80377,21777,36617,4502,9686,730051,669590,283928,366079,42,湖北省,Hubei,2.37534515164,0.15296959224,"3"
"178","4208",荆门市,Jingmen,1257509,1307473,1713339,1566214,806252,835995,781857,818037,24395,17958,2970848,2873687,1529692,1461065,1441156,1412622,2781911,2994476,262475,388161,81914,194157,69530,156943,33975,37061,2221253,2086606,736871,772053,42,湖北省,Hubei,5.98829763847,1.16684433789,"1"
"183","4213",随州市,Suizhou,856047,827316,1628641,1334906,654002,630362,628682,622578,25320,7784,2484688,2162222,1277543,1096250,1207145,1065972,2401109,2571219,106268,194790,33318,151061,7464,32258,4591,11471,2042976,1737371,434703,409243,42,湖北省,Hubei,5.49039611203,0.91408590294,"1"
"172","4201",武汉市,Wuhan,6787482,7541527,1525218,2243861,2448665,3246053,2288097,2932764,160568,313289,8312700,9785388,4306729,5033091,4005971,4752297,6673376,8383650,2205600,3835009,20292,1069207,734565,2239768,250079,526034,3739816,4057820,4521813,5662825,42,湖北省,Hubei,5.92444597206,0.80026809424,"14"
"182","4212",咸宁市,Xianning,1009571,1051470,1691107,1411113,680893,708039,659982,693808,20911,14231,2700678,2462583,1411508,1264784,1289170,1197799,2643805,2964114,202271,338978,102225,258935,29477,56367,17194,23676,1993949,1752165,696367,655840,42,湖北省,Hubei,5.96745429903,0.90667037956,"3"
"176","4206",襄樊市,Xiangfan,2428857,2752370,3229866,2747937,1557403,1599059,1506314,1572191,51089,26868,5658723,5500307,2903797,2783478,2754926,2716829,5179888,5923797,594197,779460,215551,498705,169646,228285,40178,52470,4132247,3899492,1503125,1554371,42,湖北省,Hubei,8.06974454965,1.88092602667,"2"
"179","4209",孝感市,Xiaogan,1548589,2214781,3443948,2599761,1267135,1377391,1242362,1348768,24773,28623,4992537,4814542,2603441,2479051,2389096,2335491,4954935,5246783,163872,480060,82977,368350,38019,82742,13076,28968,4124687,3682882,854160,1093329,42,湖北省,Hubei,6.2118743097,0.8398733091,"1"
"192","4307",常德市,Changde,1526358,2221292,4214517,3493331,1692934,1731463,1668791,1702266,24143,29197,5740875,5714623,2964217,2881031,2776658,2833592,5624316,6225913,387918,550003,160089,365409,82471,151820,19200,32774,4636015,4250717,1078465,1431364,43,湖南省,Hunan,8.75955647876,1.69656706385,"1"
"195","4310",郴州市,Chenzhou,901992,1911405,3422820,2672126,1247988,1362727,1232524,1344046,15464,18681,4324812,4583531,2263545,2375678,2061267,2207853,4173790,5012400,285369,587408,111640,328702,83087,198923,19979,59783,3532854,3512433,777209,935241,43,湖南省,Hunan,10.2145064537,1.7475701632,"1"
"189","4304",衡阳市,Hengyang,1811187,3180864,4973704,3967480,1901777,1983583,1864647,1942855,37130,40728,6784891,7148344,3583138,3707589,3201753,3440755,6791433,7902022,398776,749818,109347,421204,127578,278233,27584,50381,5408058,5423566,1352852,1664578,43,湖南省,Hunan,7.85684714159,1.39470858525,"1"
"189","4304",衡阳市,Hengyang,1811187,3180864,4973704,3967480,1901777,1983583,1864647,1942855,37130,40728,6784891,7148344,3583138,3707589,3201753,3440755,6791433,7902022,398776,749818,109347,421204,127578,278233,27584,50381,5408058,5423566,1352852,1664578,43,湖南省,Hunan,7.85684714159,1.39470858525,"1"
"197","4312",怀化市,Huaihua,1064136,1711423,3575602,3030250,1294390,1379302,1279357,1359814,15033,19488,4639738,4741673,2416643,2447003,2223095,2294670,4600407,5092480,290344,548360,137323,312116,91824,167129,21683,69115,3829570,3782283,799721,936854,43,湖南省,Hunan,14.4546759243,2.5168621889,"2"
"186","4301",长沙市,Changsha,2743826,4765918,3394893,2275034,1806981,2226693,1705895,2072002,101086,154691,6138719,7040952,3185555,3579624,2953164,3461328,5483204,6512131,901406,1978314,100445,558309,439362,1188798,80116,231207,4172678,4555530,1945483,2452919,43,湖南省,Hunan,7.67681347122,1.08218768007,"1"
"190","4305",邵阳市,Shaoyang,1340260,2322211,5623359,4749524,1954334,1964747,1933227,1950605,21107,14142,6963619,7071735,3645707,3671019,3317912,3400716,6983502,7927558,274418,365935,124934,250810,47111,93380,11382,21745,6009231,5843473,942554,1137483,43,湖南省,Hunan,8.96116755353,1.89600831607,"1"
"188","4303",湘潭市,Xiangtan,959924,1379021,1712145,1373150,795460,830337,775025,813460,20435,16877,2672069,2752171,1374428,1403112,1297641,1349059,2633147,2888294,253284,451965,55996,270761,83943,146101,17265,35103,1928418,1856913,734588,877712,43,湖南省,Hunan,4.62842686602,0.46295352351,"4"
"196","4311",永州市,Yongzhou,1162257,1837863,4204849,3356412,1463041,1440722,1450572,1428723,12469,11999,5367106,5194275,2843142,2705361,2523964,2488914,5502751,6097782,178115,399472,84002,295993,32061,80038,11910,23441,4577114,4296115,779440,841645,43,湖南省,Hunan,10.0844707795,2.01127113965,"2"
"191","4306",岳阳市,Yueyang,1558954,2519587,3452462,2956497,1433069,1529904,1411611,1504946,21458,24958,5011416,5476084,2618697,2833087,2392719,2642997,4828906,5648840,430753,553315,124897,376754,140261,124180,52079,52381,4022896,3969130,958066,1462032,43,湖南省,Hunan,8.90766441635,1.37393719893,"1"
"186","4301",长沙市,Changsha,2743826,4765918,3394893,2275034,1806981,2226693,1705895,2072002,101086,154691,6138719,7040952,3185555,3579624,2953164,3461328,5483204,6512131,901406,1978314,100445,558309,439362,1188798,80116,231207,4172678,4555530,1945483,2452919,43,湖南省,Hunan,7.67681347122,1.08218768007,"11"
"187","4302",株洲市,Zhuzhou,1367609,2178616,2214211,1678484,1020476,1088582,994177,1064120,26299,24462,3581820,3857100,1844915,1969989,1736905,1887111,3483434,3898444,349237,605203,89994,278920,139845,243175,48162,83108,2664168,2787853,909579,1042404,43,湖南省,Hunan,7.29427045076,1.02550909492,"7"
"55","2203",四平市,Siping,1178496,1407104,2113830,1978052,962984,1047574,954467,1036741,8517,10833,3292326,3385156,1684139,1715479,1608187,1669677,3187708,3380732,164463,278703,69539,207882,25629,53904,17079,16917,2187992,2221282,1087956,1152929,22,吉林省,Jilin,8.71622229148,1.60024571798,"1"
"80","3204",常州市,Changzhou,2037352,2900970,1738918,1691461,1224682,1631663,1166071,1553508,58611,78155,3776270,4592431,1904542,2341100,1871728,2251331,3148577,3605655,894560,1669787,121317,243220,266695,619899,330704,806668,2500599,3054586,1230222,1507345,32,江苏省,Jiangsu,4.57942812546,0.41342321997,"1"
"83","3207",连云港市,Lianyungang,1280345,2273872,3289568,2119610,1210470,1312471,1191434,1286515,19036,25956,4569913,4393482,2371943,2225490,2197970,2167992,4408610,4982954,273499,529029,91086,258736,71364,213254,28744,57039,3474844,2876438,1045519,1479747,32,江苏省,Jiangsu,5.86507512183,0.72723621712,"1"
"77","3201",南京市,Nanjing,4355280,6238186,1770885,1765558,2004390,2645825,1885221,2369147,119169,276678,6126165,8003744,3210542,4142501,2915623,3861243,5086775,6364200,1398218,2742657,94664,494558,405933,1380646,389814,867453,2785606,3176261,3288876,4797251,32,江苏省,Jiangsu,5.98260535261,0.62915092726,"1"
"82","3206",南通市,Nantong,2519791,4064388,4993128,3219234,2557062,2659552,2513094,2588400,43968,71152,7512919,7283622,3594099,3443092,3918820,3840530,7519634,7659001,691603,1017157,251700,382239,147681,305079,141464,329839,5928749,5449945,1532548,1801259,32,江苏省,Jiangsu,5.77978530463,0.81681066621,"1"
"81","3205",苏州市,Suzhou,3877281,7329514,2914958,3130376,2086704,3348834,1949249,2922797,137455,426037,6792239,10459890,3364085,5334473,3428154,5125417,5502349,6377730,1513048,4931025,179428,409355,443554,1367532,711091,3154138,4316617,6667714,2434173,3769447,32,江苏省,Jiangsu,5.3718895273,0.79976511584,"2"
"89","3213",宿迁市,Suqian,1289682,2278812,3771894,2440366,1262454,1322388,1253271,1304062,9183,18326,5061576,4719178,2607175,2380357,2454401,2338821,4987655,5550042,182260,395957,95746,279687,41400,79352,15680,36918,3888716,3633334,1146942,1023986,32,江苏省,Jiangsu,5.38845580323,0.83558059567,"1"
"88","3212",泰州市,Taizhou,1886081,2570087,2899678,2048850,1511264,1555643,1495752,1527619,15512,28024,4785759,4618937,2403310,2308945,2382449,2309992,4798770,5011125,365131,653565,171194,340074,68705,163417,64661,150074,3569774,3360704,1172963,1220436,32,江苏省,Jiangsu,4.9980112158,0.55557204147,"1"
"78","3202",无锡市,Wuxi,2962969,4481903,2123617,1892496,1613022,2201293,1534611,2050680,78411,150613,5086586,6374399,2589585,3306295,2497001,3068104,4127977,4673509,1189100,2474853,161467,333654,372145,850386,484500,1290813,3286843,3998375,1758613,2354367,32,江苏省,Jiangsu,4.39469547849,0.44105383332,"1"
"86","3210",扬州市,Yangzhou,1959025,2530918,2629529,1929148,1391316,1443832,1342103,1402301,49213,41531,4588554,4460066,2283655,2196448,2304899,2263618,4359888,4631225,551708,742234,176258,308496,175474,293142,90787,140596,3204167,3079602,1333078,1349415,32,江苏省,Jiangsu,4.8847426635,0.63606008821,"1"
"87","3211",镇江市,Zhenjiang,1434466,1929892,1410390,1184213,910277,1009905,874022,974874,36255,35031,2844856,3114105,1448120,1595880,1396736,1518225,2485687,2719759,508438,838730,124759,270991,145325,281841,123091,285898,1880749,2029695,921612,1065487,32,江苏省,Jiangsu,3.94120723214,0.36526962864,"2"
"133","3607",赣州市,Ganzhou,1518184,3141592,5878689,5226855,1910700,2129788,1823897,2079574,86803,50214,7396873,8368447,3785456,4257863,3611417,4110584,7540925,9132828,532657,887388,317583,671396,106948,146962,36449,69030,6074242,6539838,1240979,1679224,36,江西省,Jiangxi,12.9517053285,3.54776302622,"2"
"128","3602",景德镇市,Jingdezhen,666135,893938,787232,693539,386848,439655,378727,431567,8121,8088,1453367,1587477,754574,826128,698793,761349,1344674,1569721,170330,203044,29980,101366,58226,75891,11071,25787,931831,986260,504935,587957,36,江西省,Jiangxi,4.31041574644,0.48854393884,"3"
"127","3601",南昌市,Nanchang,2115437,3313235,2216231,1729331,1130281,1404201,1088664,1299903,41617,104298,4331668,5042566,2261789,2633846,2069879,2408720,3775664,4986832,822589,1399073,116170,482796,283202,721952,47182,194325,2522224,2531446,1724346,2422044,36,江西省,Jiangxi,4.65675788055,0.68154070193,"5"
"129","3603",萍乡市,Pingxiang,675093,1097352,1049639,757163,435547,487720,425692,481518,9855,6202,1724732,1854515,891787,938753,832945,915762,1701274,1909089,125061,189705,34389,108684,18966,55087,10908,25934,1269534,1205058,443238,613384,36,江西省,Jiangxi,3.67215484821,0.34676201401,"2"
"131","3605",新余市,Xinyu,457260,701198,614560,437676,322413,355063,309092,344441,13321,10622,1071820,1138874,563266,598003,508554,540871,1010279,1162584,115509,279203,17497,189294,29441,48015,11221,41894,746003,741170,323595,394034,36,江西省,Jiangxi,2.94874547025,0.29296528871,"1"
"135","3609",宜春市,Yichun,1260043,1928705,3819749,3490886,1318127,1450918,1292888,1423419,25239,27499,5079792,5419591,2666525,2824148,2413267,2595443,4938853,5630085,343896,484279,177666,369447,48506,67428,26388,47404,3937324,4034822,1107272,1277622,36,江西省,Jiangxi,9.51117920225,1.71742411559,"1"
"40","2102",大连市,Dalian,3734718,4979140,2158974,1711292,1901141,2436574,1844255,2324622,56886,111952,5893692,6690432,2990856,3375745,2902836,3314687,4891194,5852317,1311383,2191176,167899,544023,230065,863325,404533,783828,3017795,2909503,2843835,3770407,21,辽宁省,Liaoning,18.5315459699,1.34143924895,"3"
"39","2101",沈阳市,Shenyang,5066072,6247700,2137645,1858471,2307909,2946502,2258706,2839413,49203,107089,7203717,8106171,3673572,4095172,3530145,4010999,5810170,7183908,1599928,2415071,107367,727862,281321,1254594,239009,432615,2758996,2950578,4392829,5133802,21,辽宁省,Liaoning,8.22157863133,1.39817238648,"6"
