country,cia-slug,growth_rate,date,rank,region,oecd,econ_top
Antigua and Barbuda,antigua-and-barbuda,1.17,2021 est.,83,Central America,False,False
Aruba,aruba,1.17,2021 est.,84,Central America,False,False
Ecuador,ecuador,1.16,2021 est.,85,South America,False,False
Panama,panama,1.16,2021 est.,86,Central America,False,False
Paraguay,paraguay,1.15,2021 est.,87,South America,False,False
Cyprus,cyprus,1.11,2021 est.,88,Europe,False,False
Christmas Island,christmas-island,1.11,2014 est.,89,Australia - Oceania,False,False
Malaysia,malaysia,1.06,2021 est.,90,East Asia/Southeast Asia,False,False
Kiribati,kiribati,1.05,2021 est.,91,Australia - Oceania,False,False
Costa Rica,costa-rica,1.04,2021 est.,92,Central America,True,False
Mexico,mexico,1.04,2021 est.,93,North America,True,False
India,india,1.04,2021 est.,94,South Asia,False,True
Colombia,colombia,1.04,2021 est.,95,South America,True,False
Iran,iran,1.03,2021 est.,96,Middle East,False,False
Turkmenistan,turkmenistan,1.02,2021 est.,97,Central Asia,False,False
Vietnam,vietnam,1.0,2021 est.,98,East Asia/Southeast Asia,False,False
Bhutan,bhutan,0.99,2021 est.,99,South Asia,False,False
Eritrea,eritrea,0.98,2021 est.,100,Africa,False,False
Ireland,ireland,0.97,2021 est.,101,Europe,True,False
Iceland,iceland,0.97,2021 est.,102,Europe,True,False
Bangladesh,bangladesh,0.95,2021 est.,103,South Asia,False,False
South Africa,south-africa,0.95,2021 est.,104,Africa,False,False
Singapore,singapore,0.95,2021 est.,105,East Asia/Southeast Asia,False,False
Nicaragua,nicaragua,0.93,2021 est.,106,Central America,False,False
Mongolia,mongolia,0.93,2021 est.,107,East Asia/Southeast Asia,False,False
Dominican Republic,dominican-republic,0.92,2021 est.,108,Central America,False,False
Morocco,morocco,0.92,2021 est.,109,Africa,False,False
Suriname,suriname,0.91,2021 est.,110,South America,False,False
Bahrain,bahrain,0.9,2021 est.,111,Middle East,False,False
Kyrgyzstan,kyrgyzstan,0.9,2021 est.,112,Central Asia,False,False
Peru,peru,0.88,2021 est.,113,South America,False,False
Uzbekistan,uzbekistan,0.86,2021 est.,114,Central Asia,False,False
Tuvalu,tuvalu,0.85,2021 est.,115,Australia - Oceania,False,False
"Bahamas, The",bahamas-the,0.84,2021 est.,116,Central America,False,False
Argentina,argentina,0.84,2021 est.,117,South America,False,False
Jordan,jordan,0.82,2021 est.,118,Middle East,False,False
Burma,burma,0.81,2021 est.,119,East Asia/Southeast Asia,False,False
Indonesia,indonesia,0.81,2021 est.,120,East Asia/Southeast Asia,False,False
Kazakhstan,kazakhstan,0.81,2021 est.,121,Central Asia,False,False
Nepal,nepal,0.81,2021 est.,122,South Asia,False,False
Norway,norway,0.8,2021 est.,123,Europe,True,False
Macau,macau,0.79,2021 est.,124,East Asia/Southeast Asia,False,False
Eswatini,eswatini,0.77,2021 est.,125,Africa,False,False
Canada,canada,0.77,2021 est.,126,North America,True,True
French Polynesia,french-polynesia,0.75,2021 est.,127,Australia - Oceania,False,False
Tunisia,tunisia,0.75,2021 est.,128,Africa,False,False
Malta,malta,0.75,2021 est.,129,Europe,False,False
Paracel Islands,paracel-islands,0.75,2021 est.,130,East Asia/Southeast Asia,False,False
Sweden,sweden,0.74,2021 est.,131,Europe,True,False
Liechtenstein,liechtenstein,0.73,2021 est.,132,Europe,False,False
Lesotho,lesotho,0.73,2021 est.,133,Africa,False,False
Azerbaijan,azerbaijan,0.71,2021 est.,134,Middle East,False,False
United States,united-states,0.7,2021 est.,135,North America,True,True
Turkey,turkey,0.7,2021 est.,136,Middle East,True,False
Lebanon,lebanon,0.68,2021 est.,137,Middle East,False,False
Chile,chile,0.68,2021 est.,138,South America,True,False
El Salvador,el-salvador,0.67,2021 est.,139,Central America,False,False
Jersey,jersey,0.67,2021 est.,140,Europe,False,False
Seychelles,seychelles,0.67,2021 est.,141,Africa,False,False
Kosovo,kosovo,0.67,2021 est.,142,Europe,False,False
Brazil,brazil,0.65,2021 est.,143,South America,False,False
Switzerland,switzerland,0.65,2021 est.,144,Europe,True,False
Saint Kitts and Nevis,saint-kitts-and-nevis,0.64,2021 est.,145,Central America,False,False
Sri Lanka,sri-lanka,0.63,2021 est.,146,South Asia,False,False
San Marino,san-marino,0.63,2021 est.,147,Europe,False,False
Faroe Islands,faroe-islands,0.62,2021 est.,148,Europe,False,False
United Arab Emirates,united-arab-emirates,0.62,2021 est.,149,Middle East,False,False
Samoa,samoa,0.61,2021 est.,150,Australia - Oceania,False,False
Belgium,belgium,0.59,2021 est.,151,Europe,True,False
Isle of Man,isle-of-man,0.55,2021 est.,152,Europe,False,False
Monaco,monaco,0.53,2021 est.,153,Europe,False,False
Mauritius,mauritius,0.52,2021 est.,154,Africa,False,False
Montserrat,montserrat,0.52,2021 est.,155,Central America,False,False
"Korea, North",korea-north,0.49,2021 est.,156,East Asia/Southeast Asia,False,False
United Kingdom,united-kingdom,0.48,2021 est.,157,Europe,True,True
Fiji,fiji,0.46,2021 est.,158,Australia - Oceania,False,False
Denmark,denmark,0.44,2021 est.,159,Europe,True,False
Nauru,nauru,0.42,2021 est.,160,Australia - Oceania,False,False
Palau,palau,0.38,2021 est.,161,Australia - Oceania,False,False
Netherlands,netherlands,0.37,2021 est.,162,Europe,True,False
Bermuda,bermuda,0.36,2021 est.,163,North America,False,False
Saint Martin,saint-martin,0.36,2021 est.,164,Central America,False,False
Grenada,grenada,0.35,2021 est.,165,Central America,False,False
Curacao,curacao,0.33,2021 est.,166,Central America,False,False
France,france,0.33,2021 est.,167,Europe,True,True
Ashmore and Cartier Islands,ashmore-and-cartier-islands,0.32,2021 est.,168,Australia - Oceania,False,False
Austria,austria,0.32,2021 est.,169,Europe,True,False
Saint Lucia,saint-lucia,0.3,2021 est.,170,Central America,False,False
Barbados,barbados,0.28,2021 est.,171,Central America,False,False
Uruguay,uruguay,0.26,2021 est.,172,South America,False,False
Finland,finland,0.26,2021 est.,173,Europe,True,False
China,china,0.26,2021 est.,174,East Asia/Southeast Asia,False,True
Wallis and Futuna,wallis-and-futuna,0.26,2021 est.,175,Australia - Oceania,False,False
"Korea, South",korea-south,0.26,2021 est.,176,East Asia/Southeast Asia,False,False
Thailand,thailand,0.26,2021 est.,177,East Asia/Southeast Asia,False,False
Guernsey,guernsey,0.24,2021 est.,178,Europe,False,False
Albania,albania,0.24,2021 est.,179,Europe,False,False
Hong Kong,hong-kong,0.2,2021 est.,180,East Asia/Southeast Asia,False,False
Guyana,guyana,0.19,2021 est.,181,South America,False,False
Gibraltar,gibraltar,0.19,2021 est.,182,Europe,False,False
Guam,guam,0.18,2021 est.,183,Australia - Oceania,False,False
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,0.14,2021 est.,184,Africa,False,False
Italy,italy,0.09,2021 est.,186,Europe,True,True
Dominica,dominica,0.07,2021 est.,187,Central America,False,False
Jamaica,jamaica,0.06,2021 est.,188,Central America,False,False
Georgia,georgia,0.05,2021 est.,189,Middle East,False,False
Taiwan,taiwan,0.04,2021 est.,190,East Asia/Southeast Asia,False,False
Czechia,czechia,0.04,2021 est.,191,Europe,False,False
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,0.01,2014 est.,192,South America,False,False
Norfolk Island,norfolk-island,0.01,2014 est.,193,Australia - Oceania,False,False
Holy See (Vatican City),holy-see-vatican-city,0.0,2014 est.,194,Europe,False,False
Pitcairn Islands,pitcairn-islands,0.0,2014 est.,195,Australia - Oceania,False,False
Greenland,greenland,-0.01,2021 est.,196,North America,False,False
Tokelau,tokelau,-0.01,2019 est.,197,Australia - Oceania,False,False
Niue,niue,-0.03,2021 est.,198,Australia - Oceania,False,False
Slovenia,slovenia,-0.03,2021 est.,199,Europe,True,False
Svalbard,svalbard,-0.03,2019 est.,200,Europe,False,False
Spain,spain,-0.03,2021 est.,201,Europe,True,False
Slovakia,slovakia,-0.08,2021 est.,202,Europe,False,False
Andorra,andorra,-0.1,2021 est.,203,Europe,False,False
Maldives,maldives,-0.12,2021 est.,204,South Asia,False,False
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,-0.18,2021 est.,205,Central America,False,False
Saint Barthelemy,saint-barthelemy,-0.2,2021 est.,206,Central America,False,False
Russia,russia,-0.2,2021 est.,207,Central Asia,False,False
Germany,germany,-0.21,2021 est.,208,Europe,True,True
Bosnia and Herzegovina,bosnia-and-herzegovina,-0.21,2021 est.,209,Europe,False,False
Portugal,portugal,-0.23,2021 est.,210,Europe,True,False
Cuba,cuba,-0.23,2021 est.,211,Central America,False,False
Poland,poland,-0.23,2021 est.,212,Europe,True,False
Tonga,tonga,-0.23,2021 est.,213,Australia - Oceania,False,False
Trinidad and Tobago,trinidad-and-tobago,-0.28,2021 est.,214,Central America,False,False
Hungary,hungary,-0.29,2021 est.,215,Europe,True,False
Belarus,belarus,-0.29,2021 est.,216,Europe,False,False
Greece,greece,-0.34,2021 est.,217,Europe,True,False
Armenia,armenia,-0.35,2021 est.,218,Middle East,False,False
Northern Mariana Islands,northern-mariana-islands,-0.36,2021 est.,219,Australia - Oceania,False,False
Japan,japan,-0.37,2021 est.,220,East Asia/Southeast Asia,True,True
Romania,romania,-0.38,2021 est.,221,Europe,False,False
Montenegro,montenegro,-0.4,2021 est.,222,Europe,False,False
Virgin Islands,virgin-islands,-0.42,2021 est.,223,Central America,False,False
Serbia,serbia,-0.48,2021 est.,224,Europe,False,False
Croatia,croatia,-0.48,2021 est.,225,Europe,False,False
Ukraine,ukraine,-0.49,2021 est.,226,Europe,False,False
"Micronesia, Federated States of",micronesia-federated-states-of,-0.64,2021 est.,227,Australia - Oceania,False,False
Bulgaria,bulgaria,-0.67,2021 est.,228,Europe,False,False
Estonia,estonia,-0.69,2021 est.,229,Europe,True,False
Lithuania,lithuania,-1.04,2021 est.,230,Europe,True,False
Moldova,moldova,-1.1,2021 est.,231,Europe,False,False
Latvia,latvia,-1.1,2021 est.,232,Europe,True,False
Saint Pierre and Miquelon,saint-pierre-and-miquelon-2,-1.2,2021 est.,233,North America,False,False
Puerto Rico,puerto-rico,-1.46,2021 est.,234,Central America,False,False
American Samoa,american-samoa,-2.1,2021 est.,235,Australia - Oceania,False,False
Cook Islands,cook-islands,-2.46,2021 est.,236,Australia - Oceania,False,False
