year,commodity_code,commodity_chapter,commodity_chapter_desc,commodity_chapter_four,commodity_chapter_four_desc,us_dollar,exported_to,exported_from
2017,40103200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",449906,Kazakhstan,Xingjiang Uygur
2017,40103300,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",188902,Kazakhstan,Xingjiang Uygur
2017,40103400,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",200,Kazakhstan,Xingjiang Uygur
2017,40103500,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",1442282,Kazakhstan,Xingjiang Uygur
2017,40103600,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",13645,Kazakhstan,Xingjiang Uygur
2017,40103900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",123248,Kazakhstan,Xingjiang Uygur
2020,40101100,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",493499,Kazakhstan,Xingjiang Uygur
2020,40101200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",302481,Kazakhstan,Xingjiang Uygur
2020,40101900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",447635,Kazakhstan,Xingjiang Uygur
2020,40103100,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",480327,Kazakhstan,Xingjiang Uygur
2020,40103200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",333740,Kazakhstan,Xingjiang Uygur
2020,40103400,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",8333,Kazakhstan,Xingjiang Uygur
2020,40103500,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",1375625,Kazakhstan,Xingjiang Uygur
2020,40103600,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",16201,Kazakhstan,Xingjiang Uygur
2020,40103900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",289622,Kazakhstan,Xingjiang Uygur
2021,40101100,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",247234,Kazakhstan,Xingjiang Uygur
2021,40101200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",303442,Kazakhstan,Xingjiang Uygur
2021,40101900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",343443,Kazakhstan,Xingjiang Uygur
2021,40103100,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",530208,Kazakhstan,Xingjiang Uygur
2021,40103200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",626736,Kazakhstan,Xingjiang Uygur
2021,40103300,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",83273,Kazakhstan,Xingjiang Uygur
2021,40103400,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",2549,Kazakhstan,Xingjiang Uygur
2021,40103500,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",1605003,Kazakhstan,Xingjiang Uygur
2021,40103600,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",41000,Kazakhstan,Xingjiang Uygur
2021,40103900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",241795,Kazakhstan,Xingjiang Uygur
2019,40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",2048584,Kazakhstan,Xingjiang Uygur
2019,40112000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",2485831,Kazakhstan,Xingjiang Uygur
2019,40114000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",654090,Kazakhstan,Xingjiang Uygur
2019,40115000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",2833974,Kazakhstan,Xingjiang Uygur
2019,40117010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",138118,Kazakhstan,Xingjiang Uygur
2019,40118011,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",41400,Kazakhstan,Xingjiang Uygur
2019,40118012,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",85124,Kazakhstan,Xingjiang Uygur
2019,40118091,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",3583720,Kazakhstan,Xingjiang Uygur
2019,40118092,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",329430,Kazakhstan,Xingjiang Uygur
2019,40119090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",141585,Kazakhstan,Xingjiang Uygur
2018,40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",1575830,Kazakhstan,Xingjiang Uygur
2018,40112000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",3677991,Kazakhstan,Xingjiang Uygur
2018,40114000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",874144,Kazakhstan,Xingjiang Uygur
2018,40115000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",6088747,Kazakhstan,Xingjiang Uygur
2018,40117010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",12293,Kazakhstan,Xingjiang Uygur
2018,40117090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",9869,Kazakhstan,Xingjiang Uygur
2018,40118011,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",109461,Kazakhstan,Xingjiang Uygur
2018,40118012,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",6630,Kazakhstan,Xingjiang Uygur
2018,40118091,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",13261,Kazakhstan,Xingjiang Uygur
2018,40118092,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",121879,Kazakhstan,Xingjiang Uygur
2018,40119090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",19850,Kazakhstan,Xingjiang Uygur
2017,40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",2382383,Kazakhstan,Xingjiang Uygur
2017,40112000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",3811844,Kazakhstan,Xingjiang Uygur
2017,40114000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",604216,Kazakhstan,Xingjiang Uygur
2017,40115000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",4276158,Kazakhstan,Xingjiang Uygur
2017,40117010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",6114,Kazakhstan,Xingjiang Uygur
2017,40118011,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",70893,Kazakhstan,Xingjiang Uygur
2017,40118012,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",20040,Kazakhstan,Xingjiang Uygur
2017,40118091,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",61504,Kazakhstan,Xingjiang Uygur
2017,40118092,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",74171,Kazakhstan,Xingjiang Uygur
2017,40119090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",107038,Kazakhstan,Xingjiang Uygur
2020,40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",834608,Kazakhstan,Xingjiang Uygur
2020,40112000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",647385,Kazakhstan,Xingjiang Uygur
2020,40114000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",560130,Kazakhstan,Xingjiang Uygur
2020,40115000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",1427965,Kazakhstan,Xingjiang Uygur
2020,40118011,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",119373,Kazakhstan,Xingjiang Uygur
2020,40118012,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",58010,Kazakhstan,Xingjiang Uygur
2020,40118091,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",155103,Kazakhstan,Xingjiang Uygur
2020,40118092,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",155442,Kazakhstan,Xingjiang Uygur
2020,40119010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",6868,Kazakhstan,Xingjiang Uygur
2020,40119090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",166284,Kazakhstan,Xingjiang Uygur
2021,40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",537750,Kazakhstan,Xingjiang Uygur
2021,40112000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",3120553,Kazakhstan,Xingjiang Uygur
2021,40114000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",202807,Kazakhstan,Xingjiang Uygur
2021,40115000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",1372690,Kazakhstan,Xingjiang Uygur
2021,40117010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",8000,Kazakhstan,Xingjiang Uygur
2021,40117090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",44580,Kazakhstan,Xingjiang Uygur
2021,40118011,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",172821,Kazakhstan,Xingjiang Uygur
2021,40118012,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",106765,Kazakhstan,Xingjiang Uygur
2021,40118091,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",146009,Kazakhstan,Xingjiang Uygur
2021,40118092,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",381543,Kazakhstan,Xingjiang Uygur
2021,40119010,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",8400,Kazakhstan,Xingjiang Uygur
2021,40119090,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",99737,Kazakhstan,Xingjiang Uygur
2019,40121100,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",1835178,Kazakhstan,Xingjiang Uygur
2019,40121200,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",8180,Kazakhstan,Xingjiang Uygur
2019,40121300,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",500,Kazakhstan,Xingjiang Uygur
2019,40121900,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",4965,Kazakhstan,Xingjiang Uygur
2019,40122010,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",91620,Kazakhstan,Xingjiang Uygur
2019,40122090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",2000,Kazakhstan,Xingjiang Uygur
2019,40129020,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",118835,Kazakhstan,Xingjiang Uygur
2019,40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",117577,Kazakhstan,Xingjiang Uygur
2018,40121100,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",3154360,Kazakhstan,Xingjiang Uygur
2018,40121200,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",184660,Kazakhstan,Xingjiang Uygur
2018,40121900,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",29550,Kazakhstan,Xingjiang Uygur
2018,40122010,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",28435,Kazakhstan,Xingjiang Uygur
2018,40122090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",2240,Kazakhstan,Xingjiang Uygur
2018,40129020,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",96490,Kazakhstan,Xingjiang Uygur
2018,40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",77070,Kazakhstan,Xingjiang Uygur
2017,40121100,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",3472393,Kazakhstan,Xingjiang Uygur
2017,40121200,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",50831,Kazakhstan,Xingjiang Uygur
2017,40121900,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",2842,Kazakhstan,Xingjiang Uygur
2017,40122010,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",1625,Kazakhstan,Xingjiang Uygur
2017,40122090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",562,Kazakhstan,Xingjiang Uygur
2017,40129020,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",164792,Kazakhstan,Xingjiang Uygur
2017,40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",50162,Kazakhstan,Xingjiang Uygur
2020,40121100,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",50050,Kazakhstan,Xingjiang Uygur
2020,40121200,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",39750,Kazakhstan,Xingjiang Uygur
2020,40121900,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",1260,Kazakhstan,Xingjiang Uygur
2020,40129020,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",98104,Kazakhstan,Xingjiang Uygur
2020,40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",91146,Kazakhstan,Xingjiang Uygur
2021,40121100,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",74460,Kazakhstan,Xingjiang Uygur
2021,40121200,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",1600,Kazakhstan,Xingjiang Uygur
2021,40129020,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",4680,Kazakhstan,Xingjiang Uygur
2021,40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",49887,Kazakhstan,Xingjiang Uygur
2019,40131000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",1136841,Kazakhstan,Xingjiang Uygur
2019,40132000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",1577852,Kazakhstan,Xingjiang Uygur
2019,40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",253359,Kazakhstan,Xingjiang Uygur
2018,40131000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",772271,Kazakhstan,Xingjiang Uygur
2018,40132000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",4529299,Kazakhstan,Xingjiang Uygur
2018,40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",473453,Kazakhstan,Xingjiang Uygur
2017,40131000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",697962,Kazakhstan,Xingjiang Uygur
2017,40132000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",3128734,Kazakhstan,Xingjiang Uygur
2017,40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",981721,Kazakhstan,Xingjiang Uygur
2020,40131000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",787090,Kazakhstan,Xingjiang Uygur
2020,40132000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",1107130,Kazakhstan,Xingjiang Uygur
2020,40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",312144,Kazakhstan,Xingjiang Uygur
2021,40131000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",442183,Kazakhstan,Xingjiang Uygur
2021,40132000,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",907089,Kazakhstan,Xingjiang Uygur
2021,40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",255160,Kazakhstan,Xingjiang Uygur
2019,40141000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",30795,Kazakhstan,Xingjiang Uygur
2019,40149000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",132569,Kazakhstan,Xingjiang Uygur
2018,40141000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",161690,Kazakhstan,Xingjiang Uygur
2018,40149000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",156895,Kazakhstan,Xingjiang Uygur
2017,40141000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",270859,Kazakhstan,Xingjiang Uygur
2017,40149000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",147975,Kazakhstan,Xingjiang Uygur
2020,40149000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",338905,Kazakhstan,Xingjiang Uygur
2021,40141000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",43639,Kazakhstan,Xingjiang Uygur
2021,40149000,40,Rubber and articles thereof,4014,"Hygienic or pharmaceutical articles (including teats), of vulcanised rubber other than hard rubber, with or without fittings of hard rubber",169711,Kazakhstan,Xingjiang Uygur
2019,40151100,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",62650,Kazakhstan,Xingjiang Uygur
2019,40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",5258801,Kazakhstan,Xingjiang Uygur
2019,40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",230582,Kazakhstan,Xingjiang Uygur
2018,40151100,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",36424,Kazakhstan,Xingjiang Uygur
2018,40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",6271969,Kazakhstan,Xingjiang Uygur
2018,40159010,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",12500,Kazakhstan,Xingjiang Uygur
2018,40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",91820,Kazakhstan,Xingjiang Uygur
2017,40151100,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",618669,Kazakhstan,Xingjiang Uygur
2017,40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",6938636,Kazakhstan,Xingjiang Uygur
2017,40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",175377,Kazakhstan,Xingjiang Uygur
2020,40151100,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",3190,Kazakhstan,Xingjiang Uygur
2020,40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",2782531,Kazakhstan,Xingjiang Uygur
2020,40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",267688,Kazakhstan,Xingjiang Uygur
2021,40151100,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",2860,Kazakhstan,Xingjiang Uygur
2021,40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",2905347,Kazakhstan,Xingjiang Uygur
2021,40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",243945,Kazakhstan,Xingjiang Uygur
2019,40161010,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",9506,Kazakhstan,Xingjiang Uygur
2019,40161090,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1151602,Kazakhstan,Xingjiang Uygur
2019,40169100,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",3506328,Kazakhstan,Xingjiang Uygur
2019,40169200,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",148743,Kazakhstan,Xingjiang Uygur
2019,40169310,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1667649,Kazakhstan,Xingjiang Uygur
2019,40169390,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1808491,Kazakhstan,Xingjiang Uygur
2019,40169500,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",808449,Kazakhstan,Xingjiang Uygur
2019,40169910,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",467406,Kazakhstan,Xingjiang Uygur
2019,40169990,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",3734101,Kazakhstan,Xingjiang Uygur
2018,40161010,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",13516,Kazakhstan,Xingjiang Uygur
2018,40161090,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",535160,Kazakhstan,Xingjiang Uygur
2018,40169100,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",5820592,Kazakhstan,Xingjiang Uygur
2018,40169200,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",230555,Kazakhstan,Xingjiang Uygur
2018,40169310,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1628558,Kazakhstan,Xingjiang Uygur
2018,40169390,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1193230,Kazakhstan,Xingjiang Uygur
2018,40169500,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",580193,Kazakhstan,Xingjiang Uygur
2018,40169910,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",446541,Kazakhstan,Xingjiang Uygur
2018,40169990,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",4622423,Kazakhstan,Xingjiang Uygur
2017,40161010,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",6460,Kazakhstan,Xingjiang Uygur
2017,40161090,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",362325,Kazakhstan,Xingjiang Uygur
2017,40169100,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",5590007,Kazakhstan,Xingjiang Uygur
2017,40169200,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",283543,Kazakhstan,Xingjiang Uygur
2017,40169310,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",2142452,Kazakhstan,Xingjiang Uygur
2017,40169390,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1164897,Kazakhstan,Xingjiang Uygur
2017,40169500,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",589974,Kazakhstan,Xingjiang Uygur
2017,40169910,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",412713,Kazakhstan,Xingjiang Uygur
2017,40169990,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",4201620,Kazakhstan,Xingjiang Uygur
2020,40161010,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",9495,Kazakhstan,Xingjiang Uygur
2020,40161090,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1260961,Kazakhstan,Xingjiang Uygur
2020,40169100,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",2676599,Kazakhstan,Xingjiang Uygur
2020,40169200,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",60443,Kazakhstan,Xingjiang Uygur
2020,40169310,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1600753,Kazakhstan,Xingjiang Uygur
2020,40169390,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",1204669,Kazakhstan,Xingjiang Uygur
