commodity_code,commodity_chapter,commodity_chapter_desc,commodity_chapter_four,commodity_chapter_four_desc,first_unit_of_measure,second_quantity,second_unit_of_measure,us_dollar,exported_to
20081190,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",千克,0,?,940,Russian Federation
20081999,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",千克,0,?,213503,Russian Federation
20089990,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",千克,0,?,534,Russian Federation
20091200,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,13157,Russian Federation
20093190,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,910,Russian Federation
20094100,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,4320,Russian Federation
20097100,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,42152,Russian Federation
20097900,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,2736,Russian Federation
20098915,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,4706,Russian Federation
20098919,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,317801,Russian Federation
20098920,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,1570,Russian Federation
20099010,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,126287,Russian Federation
20099090,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",千克,0,?,1096,Russian Federation
30019010,30,Pharmaceutical products,3001,"Glands and other organs (extracts, secretions thereof) for organo-therapeutic uses, dried, powdered or not; heparin and its salts; other human or animal substances for therapeutic or prophylactic uses n.e.c.",千克,0,?,1974053,Russian Federation
30019090,30,Pharmaceutical products,3001,"Glands and other organs (extracts, secretions thereof) for organo-therapeutic uses, dried, powdered or not; heparin and its salts; other human or animal substances for therapeutic or prophylactic uses n.e.c.",千克,0,?,673,Russian Federation
30021200,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,19088,Russian Federation
30021300,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,49628,Russian Federation
30021400,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,1249,Russian Federation
30021500,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,149439,Russian Federation
30021900,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,19622,Russian Federation
30029030,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,626,株,730434,Russian Federation
30029040,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,2928,Russian Federation
30029090,30,Pharmaceutical products,3002,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",千克,0,?,27256,Russian Federation
30049090,30,Pharmaceutical products,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",千克,0,?,13469,Russian Federation
30064000,30,Pharmaceutical products,3006,Pharmaceutical goods,千克,0,?,2685,Russian Federation
30067000,30,Pharmaceutical products,3006,Pharmaceutical goods,千克,0,?,6,Russian Federation
4012000,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",千克,0,?,397205,Russian Federation
40129090,40,Rubber and articles thereof,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",千克,0,?,693,Russian Federation
4015000,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",千克,0,?,648,Russian Federation
40151900,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",千克,15,双,60,Russian Federation
40159090,40,Rubber and articles thereof,4015,"Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber",千克,0,?,76533,Russian Federation
40021190,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,508,Russian Federation
40021912,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,5448181,Russian Federation
40021913,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,1746008,Russian Federation
40021916,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,4682626,Russian Federation
40021990,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,32775429,Russian Federation
40022010,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,5605082,Russian Federation
40022090,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,10352614,Russian Federation
40023110,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,1375983,Russian Federation
40023190,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,67647425,Russian Federation
40023910,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,24531,Russian Federation
40023990,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,45356373,Russian Federation
40025100,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,330,Russian Federation
40025910,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,28103162,Russian Federation
40025990,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,7553248,Russian Federation
40026010,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,5116138,Russian Federation
40026090,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,37018383,Russian Federation
40027010,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,2723,Russian Federation
40029911,40,Rubber and articles thereof,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of heading no. 4001 and 4002, in primary forms or in plates, sheets or strip",千克,0,?,102424,Russian Federation
40051000,40,Rubber and articles thereof,4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip",千克,0,?,37,Russian Federation
40059100,40,Rubber and articles thereof,4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip",千克,0,?,61082,Russian Federation
40069020,40,Rubber and articles thereof,4006,"Unvulcanised rubber in other forms (e.g. rods, tubes and profile shapes) and articles (e.g. discs and rings)",千克,0,?,12,Russian Federation
40082100,40,Rubber and articles thereof,4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber",千克,0,?,563,Russian Federation
40091100,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,619,Russian Federation
40091200,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,12544,Russian Federation
40092200,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,591,Russian Federation
40093100,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,2349,Russian Federation
40093200,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,24600,Russian Federation
40094100,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,3448,Russian Federation
40094200,40,Rubber and articles thereof,4009,"Tubes, pipes and hoses, of vulcanised rubber (other than hard rubber), with or without their fittings (e.g. joints, elbows, flanges)",千克,0,?,84930,Russian Federation
40103100,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",千克,0,?,7,Russian Federation
40103200,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",千克,0,?,147,Russian Federation
40103900,40,Rubber and articles thereof,4010,"Conveyor or transmission belts or belting, of vulcanised rubber",千克,0,?,41859,Russian Federation
40111000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",千克,85943,条,3899970,Russian Federation
40113000,40,Rubber and articles thereof,4011,"New pneumatic tyres, of rubber",千克,15,条,25826,Russian Federation
40139090,40,Rubber and articles thereof,4013,"Inner tubes, of rubber",千克,82,条,3346,Russian Federation
40161090,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,504,Russian Federation
40169100,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,128,Russian Federation
40169310,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,271452,Russian Federation
40169390,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,13041,Russian Federation
40169910,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,33647,Russian Federation
40169990,40,Rubber and articles thereof,4016,"Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40",千克,0,?,42807,Russian Federation
40170020,40,Rubber and articles thereof,4017,"Hard rubber (e.g. ebonite) in all forms, including waste and scrap; articles of hard rubber",千克,0,?,62,Russian Federation
41044100,41,Raw hides and skins (other than furskins) and leather,4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",千克,0,?,9051833,Russian Federation
41071210,41,Raw hides and skins (other than furskins) and leather,4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",千克,9230,张,91501,Russian Federation
41079200,41,Raw hides and skins (other than furskins) and leather,4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",千克,0,?,4780412,Russian Federation
41079990,41,Raw hides and skins (other than furskins) and leather,4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 41.14",千克,0,?,2819,Russian Federation
51012100,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5101,"Wool, not carded or combed",千克,0,?,3851556,Russian Federation
51022000,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5102,"Fine or coarse animal hair, not carded or combed",千克,0,?,222162,Russian Federation
51082090,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5108,"Yarn of fine animal hair (carded or combed), not put up for retail sale",千克,0,?,590,Russian Federation
51111119,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5111,Woven fabrics of carded wool or of carded fine animal hair,米,5,千克,108,Russian Federation
51121100,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5112,Woven fabrics of combed wool or of combed fine animal hair,米,8,千克,396,Russian Federation
51121900,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5112,Woven fabrics of combed wool or of combed fine animal hair,米,1,千克,45,Russian Federation
51123000,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5112,Woven fabrics of combed wool or of combed fine animal hair,米,1,千克,90,Russian Federation
60012200,60,Fabrics; knitted or crocheted,6001,"Fabrics; pile fabrics, including long pile fabrics and terry fabrics, knitted or crocheted",米,0,千克,19,Russian Federation
60019200,60,Fabrics; knitted or crocheted,6001,"Fabrics; pile fabrics, including long pile fabrics and terry fabrics, knitted or crocheted",米,2,千克,13,Russian Federation
60063400,60,Fabrics; knitted or crocheted,6006,"Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04",米,25,千克,586,Russian Federation
71012210,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7101,"Pearls; natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for the convenience of transport",千克,0,?,6142,Russian Federation
71022100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7102,"Diamonds, whether or not worked, but not mounted or set",克拉,0,?,422961,Russian Federation
71023100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7102,"Diamonds, whether or not worked, but not mounted or set",克拉,0,?,31229644,Russian Federation
71023900,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7102,"Diamonds, whether or not worked, but not mounted or set",克拉,0,?,10684872,Russian Federation
71031000,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",千克,0,?,12366635,Russian Federation
71039100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,2139817,Russian Federation
71039910,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,767182,Russian Federation
71039920,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,246105,Russian Federation
71039930,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,20949,Russian Federation
71039940,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,5649,Russian Federation
71039990,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7103,"Precious (excluding diamond) and semi-precious stone; worked, graded, not strung, mounted, set; ungraded precious (excluding diamond) and semi-precious stone, temporarily strung for convenience of transport",克拉,0,?,3046735,Russian Federation
71041000,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,5440325,Russian Federation
71042010,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,1433844,Russian Federation
71042090,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,4427,Russian Federation
71049011,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,14834,Russian Federation
71049012,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,32683652,Russian Federation
71049019,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,927186,Russian Federation
71049091,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,1325,Russian Federation
71049099,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7104,"Synthetic, reconstructed precious, semi-precious stone worked, graded or not, not strung or mounted, set; ungraded synthetic, reconstructed precious, semi-precious stones, temporarily strung for transport",克,0,?,78448,Russian Federation
71051010,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7105,Dust and powder of natural or synthetic precious or semi-precious stone,克拉,0,?,308068,Russian Federation
71051020,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7105,Dust and powder of natural or synthetic precious or semi-precious stone,克拉,0,?,9825,Russian Federation
71069190,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7106,"Silver (including silver plated with gold or platinum); unwrought or in semi-manufactured forms, or in powder form",克,0,?,1553351,Russian Federation
71081200,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",克,0,?,165756087,Russian Federation
71081300,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",克,0,?,71128187,Russian Federation
71101100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,469310752,Russian Federation
71101910,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,26482015,Russian Federation
71101990,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,56192,Russian Federation
71102100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,437223041,Russian Federation
71102910,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,35329720,Russian Federation
71103100,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",7110,"Platinum; unwrought or in semi-manufactured forms, or in powder form",克,0,?,211404524,Russian Federation
