OBJECTID,GbCity,City_CH,City_EN,GbProv,Prov_CH,Prov_EN,count,longitude,latitude
"7","1303",秦皇岛市,Qinhuangdao,13.00000000000,河北省,Hebei,"0",,
"15","1311",衡水市,Hengshui,13.00000000000,河北省,Hebei,"0",,
"17","1402",大同市,Datong,14.00000000000,山西省,Shanxi,"0",,
"18","1403",阳泉市,Yangquan,14.00000000000,山西省,Shanxi,"0",,
"19","1404",长治市,Changzhi,14.00000000000,山西省,Shanxi,"0",,
"20","1405",晋城市,Jincheng,14.00000000000,山西省,Shanxi,"0",,
"21","1406",朔州市,Shuozhou,14.00000000000,山西省,Shanxi,"0",,
"22","1407",晋中市,Jinzhong,14.00000000000,山西省,Shanxi,"0",,
"23","1408",运城市,Yuncheng,14.00000000000,山西省,Shanxi,"0",,
"24","1409",忻州市,Xinzhou,14.00000000000,山西省,Shanxi,"0",,
"25","1410",临汾市,Linfen,14.00000000000,山西省,Shanxi,"0",,
"26","1423",吕梁地区,Lvliangdiqu,14.00000000000,山西省,Shanxi,"0",,
"28","1502",包头市,Baotou,15.00000000000,内蒙古,Neimenggu,"0",,
"29","1503",乌海市,Wuhai,15.00000000000,内蒙古,Neimenggu,"0",,
"30","1504",赤峰市,Chifeng,15.00000000000,内蒙古,Neimenggu,"0",,
"31","1505",通辽市,Tongliao,15.00000000000,内蒙古,Neimenggu,"0",,
"32","1521",呼伦贝尔盟,Hulunbeier,15.00000000000,内蒙古,Neimenggu,"0",,
"33","1522",兴安盟,Xingan,15.00000000000,内蒙古,Neimenggu,"0",,
"34","1525",锡林郭勒盟,Xilinguole,15.00000000000,内蒙古,Neimenggu,"0",,
"35","1526",乌兰察布盟,Wulanchabu,15.00000000000,内蒙古,Neimenggu,"0",,
"36","1527",伊克昭盟,Yikezhao,15.00000000000,内蒙古,Neimenggu,"0",,
"37","1528",巴彦淖尔盟,Bayannaoer,15.00000000000,内蒙古,Neimenggu,"0",,
"38","1529",阿拉善盟,Alashan,15.00000000000,内蒙古,Neimenggu,"0",,
"41","2103",鞍山市,Anshan,21.00000000000,辽宁省,Liaoning,"0",,
"42","2104",抚顺市,Fushun,21.00000000000,辽宁省,Liaoning,"0",,
"43","2105",本溪市,Benxi,21.00000000000,辽宁省,Liaoning,"0",,
"44","2106",丹东市,Dandong,21.00000000000,辽宁省,Liaoning,"0",,
"45","2107",锦州市,Jinzhou,21.00000000000,辽宁省,Liaoning,"0",,
"46","2108",营口市,Yingkou,21.00000000000,辽宁省,Liaoning,"0",,
"47","2109",阜新市,Fuxin,21.00000000000,辽宁省,Liaoning,"0",,
"48","2110",辽阳市,Liaoyang,21.00000000000,辽宁省,Liaoning,"0",,
"49","2111",盘锦市,Panjin,21.00000000000,辽宁省,Liaoning,"0",,
"50","2112",铁岭市,Tieling,21.00000000000,辽宁省,Liaoning,"0",,
"51","2113",朝阳市,Chaoyang,21.00000000000,辽宁省,Liaoning,"0",,
"52","2114",葫芦岛市,Huludao,21.00000000000,辽宁省,Liaoning,"0",,
"53","2201",长春市,Changchun,22.00000000000,吉林省,Jilin,"0",,
"54","2202",吉林市,Jilin,22.00000000000,吉林省,Jilin,"0",,
"56","2204",辽源市,Liaoyuan,22.00000000000,吉林省,Jilin,"0",,
"57","2205",通化市,Tonghua,22.00000000000,吉林省,Jilin,"0",,
"58","2206",白山市,Baishan,22.00000000000,吉林省,Jilin,"0",,
"59","2207",松原市,Songyuan,22.00000000000,吉林省,Jilin,"0",,
"60","2208",白城市,Baicheng,22.00000000000,吉林省,Jilin,"0",,
"61","2224",延边朝鲜族自治州,Yanbianchaoxianzu,22.00000000000,吉林省,Jilin,"0",,
"62","2301",哈尔滨市,Haerbin,23.00000000000,黑龙江省,Heilongjiang,"0",,
"63","2302",齐齐哈尔市,Qiqihaer,23.00000000000,黑龙江省,Heilongjiang,"0",,
"64","2303",鸡西市,Jixi,23.00000000000,黑龙江省,Heilongjiang,"0",,
"65","2304",鹤岗市,Hegang,23.00000000000,黑龙江省,Heilongjiang,"0",,
"66","2305",双鸭山市,Shuangyashan,23.00000000000,黑龙江省,Heilongjiang,"0",,
"67","2306",大庆市,Daqing,23.00000000000,黑龙江省,Heilongjiang,"0",,
"69","2308",佳木斯市,Jiamusi,23.00000000000,黑龙江省,Heilongjiang,"0",,
"70","2309",七台河市,Qitaihe,23.00000000000,黑龙江省,Heilongjiang,"0",,
"71","2310",牡丹江市,Mudanjiang,23.00000000000,黑龙江省,Heilongjiang,"0",,
"72","2311",黑河市,Heihe,23.00000000000,黑龙江省,Heilongjiang,"0",,
"73","2312",绥化市,Suihua,23.00000000000,黑龙江省,Heilongjiang,"0",,
"74","2327",大兴安岭地区,Daxinganlingdiqu,23.00000000000,黑龙江省,Heilongjiang,"0",,
"79","3203",徐州市,Xuzhou,32.00000000000,江苏省,Jiangsu,"0",,
"84","3208",淮阴市,Huaiyin,32.00000000000,江苏省,Jiangsu,"0",,
"85","3209",盐城市,Yancheng,32.00000000000,江苏省,Jiangsu,"0",,
"91","3302",宁波市,Ningbo,33.00000000000,浙江省,Zhejiang,"0",,
