date,cases,rate_per_million,three-week-change
2020-04-23,83884,59.917142857142856,1.66
2020-04-24,83899,59.92785714285714,1.64
2020-04-25,83909,59.935,1.58
2020-04-26,83912,59.93714285714285,1.51
2020-04-27,83918,59.94142857142857,1.45
2020-04-28,83940,59.957142857142856,1.37
2020-04-29,83944,59.96,1.28
2020-04-30,83956,59.96857142857143,1.22
2020-05-01,83959,59.97071428571429,1.14
2020-05-02,83959,59.97071428571429,0.99
2020-05-03,83964,59.97428571428571,0.9
2020-05-04,83966,59.97571428571428,0.79
2020-05-05,83968,59.97714285714285,0.73
2020-05-06,83970,59.97857142857143,0.68
2020-05-07,83975,59.98214285714286,0.26
2020-05-08,83976,59.98285714285714,0.23
2020-05-09,83990,59.99285714285714,0.22
2020-05-10,84010,60.00714285714286,0.23
2020-05-11,84011,60.00785714285714,0.19
2020-05-12,84018,60.012857142857136,0.18
2020-05-13,84024,60.01714285714286,0.17
2020-05-14,84029,60.020714285714284,0.15
2020-05-15,84038,60.027142857142856,0.15
2020-05-16,84044,60.03142857142857,0.16
2020-05-17,84054,60.03857142857143,0.16
2020-05-18,84063,60.045,0.15
2020-05-19,84063,60.045,0.14
2020-05-20,84063,60.045,0.13
2020-05-21,84063,60.045,0.12
2020-05-22,84081,60.057857142857145,0.15
2020-05-23,84084,60.059999999999995,0.14
2020-05-24,84095,60.06785714285714,0.15
2020-05-25,84102,60.072857142857146,0.16
2020-05-26,84103,60.073571428571434,0.16
2020-05-27,84106,60.075714285714284,0.16
2020-05-28,84106,60.075714285714284,0.15
2020-05-29,84123,60.08785714285714,0.16
2020-05-30,84128,60.09142857142857,0.14
2020-05-31,84146,60.10428571428571,0.16
2020-06-01,84154,60.11,0.16
2020-06-02,84161,60.115,0.16
2020-06-03,84160,60.114285714285714,0.16
2020-06-04,84171,60.122142857142855,0.16
2020-06-05,84177,60.12642857142857,0.16
2020-06-06,84186,60.13285714285715,0.16
2020-06-07,84191,60.136428571428574,0.15
2020-06-08,84195,60.13928571428571,0.16
2020-06-09,84198,60.14142857142857,0.16
2020-06-10,84209,60.14928571428572,0.17
2020-06-11,84216,60.15428571428571,0.16
2020-06-12,84228,60.16285714285714,0.17
2020-06-13,84286,60.20428571428572,0.23
2020-06-14,84335,60.239285714285714,0.28
2020-06-15,84378,60.269999999999996,0.33
2020-06-16,84422,60.30142857142857,0.38
2020-06-17,84458,60.32714285714286,0.42
2020-06-18,84494,60.35285714285714,0.44
2020-06-19,84494,60.35285714285714,0.44
2020-06-20,84553,60.395,0.48
2020-06-21,84572,60.40857142857143,0.5
2020-06-22,84624,60.44571428571428,0.55
2020-06-23,84653,60.46642857142857,0.59
2020-06-24,84673,60.480714285714285,0.6
2020-06-25,84701,60.50071428571428,0.62
2020-06-26,84725,60.517857142857146,0.64
2020-06-27,84743,60.53071428571429,0.66
2020-06-28,84757,60.54071428571429,0.67
2020-06-29,84780,60.55714285714286,0.69
2020-06-30,84785,60.56071428571428,0.68
2020-07-01,84816,60.582857142857144,0.71
2020-07-02,84830,60.59285714285714,0.71
2020-07-03,84838,60.59857142857143,0.65
2020-07-04,84857,60.61214285714286,0.62
2020-07-05,84871,60.62214285714286,0.58
2020-07-06,84889,60.635,0.55
2020-07-07,84917,60.655,0.54
2020-07-08,84950,60.67857142857143,0.54
2020-07-09,84992,60.708571428571425,0.59
2020-07-10,84992,60.708571428571425,0.52
2020-07-11,85071,60.765,0.59
2020-07-12,85117,60.79785714285714,0.58
2020-07-13,85117,60.79785714285714,0.55
2020-07-14,85226,60.87571428571429,0.65
2020-07-15,85246,60.89,0.64
2020-07-16,85327,60.947857142857146,0.71
2020-07-17,85402,61.00142857142857,0.78
2020-07-18,85418,61.01285714285714,0.78
2020-07-19,85503,61.07357142857143,0.85
2020-07-20,85622,61.15857142857143,0.99
2020-07-21,85708,61.22,1.05
2020-07-22,85906,61.361428571428576,1.27
2020-07-23,86045,61.46071428571429,1.42
2020-07-24,86202,61.57285714285714,1.59
2020-07-25,86381,61.700714285714284,1.78
2020-07-26,86570,61.83571428571428,1.98
2020-07-27,86783,61.98785714285714,2.2
2020-07-28,86990,62.13571428571429,2.4
2020-07-29,87213,62.295,2.61
2020-07-30,87489,62.49214285714286,2.94
2020-07-31,87655,62.61071428571429,3.04
2020-08-01,87827,62.73357142857142,3.18
2020-08-02,87985,62.846428571428575,3.37
2020-08-03,88099,62.92785714285714,3.37
2020-08-04,88206,63.00428571428571,3.47
2020-08-05,88328,63.09142857142857,3.52
2020-08-06,88460,63.18571428571429,3.58
2020-08-07,88580,63.27142857142857,3.7
2020-08-08,88672,63.33714285714286,3.71
2020-08-09,88793,63.423571428571435,3.7
2020-08-10,88906,63.50428571428572,3.73
2020-08-11,88958,63.54142857142857,3.55
2020-08-12,89045,63.603571428571435,3.49
2020-08-13,89144,63.674285714285716,3.41
2020-08-14,89214,63.72428571428571,3.28
2020-08-15,89279,63.770714285714284,3.13
2020-08-16,89375,63.83928571428571,2.99
2020-08-17,89441,63.88642857142857,2.82
2020-08-18,89494,63.924285714285716,2.62
2020-08-19,89527,63.94785714285714,2.33
2020-08-20,89567,63.97642857142858,2.18
2020-08-21,89616,64.01142857142857,2.04
2020-08-22,89654,64.03857142857143,1.9
2020-08-23,89695,64.06785714285715,1.81
2020-08-24,89718,64.08428571428571,1.71
2020-08-25,89752,64.10857142857142,1.61
2020-08-26,89784,64.13142857142857,1.5
2020-08-27,89814,64.15285714285714,1.39
2020-08-28,89836,64.16857142857143,1.31
2020-08-29,89863,64.18785714285714,1.21
2020-08-30,89895,64.21071428571429,1.11
2020-08-31,89914,64.22428571428571,1.07
2020-09-01,89933,64.23785714285714,1.0
2020-09-02,89953,64.25214285714286,0.91
2020-09-03,89986,64.27571428571427,0.87
2020-09-04,90008,64.29142857142857,0.82
2020-09-05,90025,64.30357142857142,0.73
2020-09-06,90058,64.32714285714286,0.69
2020-09-07,90078,64.34142857142858,0.65
2020-09-08,90087,64.34785714285714,0.63
2020-09-09,90100,64.35714285714286,0.6
2020-09-10,90127,64.37642857142858,0.57
2020-09-11,90145,64.3892857142857,0.55
2020-09-12,90168,64.40571428571428,0.53
2020-09-13,90197,64.42642857142857,0.53
2020-09-14,90219,64.44214285714285,0.52
2020-09-15,90235,64.45357142857142,0.5
2020-09-16,90253,64.46642857142857,0.49
2020-09-17,90294,64.49571428571429,0.51
2020-09-18,90311,64.50785714285713,0.5
2020-09-19,90334,64.52428571428572,0.49
2020-09-20,90369,64.5492857142857,0.51
2020-09-21,90381,64.55785714285713,0.5
2020-09-22,90399,64.57071428571429,0.5
2020-09-23,90409,64.57785714285714,0.47
2020-09-24,90424,64.58857142857143,0.46
2020-09-25,90441,64.60071428571429,0.46
2020-09-26,90456,64.61142857142858,0.44
2020-09-27,90483,64.63071428571429,0.45
2020-09-28,90505,64.64642857142857,0.46
2020-09-29,90528,64.66285714285713,0.48
2020-09-30,90545,64.675,0.46
2020-10-01,90567,64.69071428571428,0.47
2020-10-02,90584,64.70285714285714,0.46
2020-10-03,90604,64.71714285714286,0.45
2020-10-04,90629,64.735,0.45
2020-10-05,90652,64.75142857142856,0.46
2020-10-06,90667,64.76214285714285,0.46
2020-10-07,90687,64.77642857142857,0.44
2020-10-08,90728,64.80571428571429,0.46
2020-10-09,90751,64.82214285714286,0.46
2020-10-10,90778,64.84142857142858,0.45
2020-10-11,90812,64.86571428571429,0.48
2020-10-12,90830,64.87857142857142,0.48
2020-10-13,90858,64.89857142857143,0.5
2020-10-14,90869,64.90642857142856,0.49
2020-10-15,90905,64.93214285714286,0.51
2020-10-16,90925,64.94642857142857,0.52
2020-10-17,90955,64.96785714285714,0.52
2020-10-18,90972,64.98,0.52
2020-10-19,91006,65.00428571428571,0.53
2020-10-20,91022,65.0157142857143,0.53
2020-10-21,91044,65.03142857142858,0.53
2020-10-22,91073,65.05214285714287,0.54
2020-10-23,91108,65.07714285714286,0.56
2020-10-24,91128,65.09142857142857,0.55
2020-10-25,91151,65.10785714285714,0.55
2020-10-26,91175,65.125,0.56
2020-10-27,91222,65.15857142857143,0.59
2020-10-28,91271,65.19357142857142,0.6
2020-10-29,91299,65.21357142857143,0.6
2020-10-30,91339,65.24214285714287,0.62
2020-10-31,91366,65.26142857142857,0.61
2020-11-01,91397,65.28357142857143,0.62
2020-11-02,91452,65.32285714285715,0.65
2020-11-03,91478,65.34142857142858,0.67
2020-11-04,91509,65.36357142857143,0.66
2020-11-05,91552,65.39428571428572,0.69
2020-11-06,91591,65.42214285714286,0.7
2020-11-07,91622,65.44428571428571,0.71
2020-11-08,91665,65.47500000000001,0.72
2020-11-09,91693,65.49499999999999,0.74
2020-11-10,91719,65.51357142857144,0.74
2020-11-11,91752,65.53714285714285,0.75
2020-11-12,91783,65.5592857142857,0.74
2020-11-13,91807,65.57642857142858,0.75
2020-11-14,91828,65.59142857142857,0.74
2020-11-15,91850,65.60714285714286,0.74
2020-11-16,91872,65.62285714285714,0.71
2020-11-17,91885,65.63214285714287,0.67
2020-11-18,91906,65.64714285714285,0.66
2020-11-19,91935,65.66785714285714,0.65
2020-11-20,91977,65.69785714285715,0.67
2020-11-21,92037,65.74071428571428,0.7
2020-11-22,92116,65.79714285714286,0.73
2020-11-23,92211,65.865,0.8
2020-11-24,92296,65.92571428571429,0.86
2020-11-25,92402,66.00142857142858,0.93
2020-11-26,92488,66.06285714285714,0.98
2020-11-27,92586,66.13285714285715,1.05
2020-11-28,92681,66.20071428571428,1.11
2020-11-29,92814,66.2957142857143,1.22
2020-11-30,92902,66.35857142857142,1.29
2020-12-01,92993,66.42357142857142,1.35
2020-12-02,93113,66.50928571428571,1.45
2020-12-03,93221,66.58642857142857,1.54
2020-12-04,93348,66.67714285714287,1.66
2020-12-05,93467,66.76214285714286,1.76
2020-12-06,93577,66.84071428571428,1.86
2020-12-07,93670,66.90714285714286,1.94
2020-12-08,93782,66.98714285714286,2.04
2020-12-09,93898,67.07000000000001,2.14
2020-12-10,94025,67.16071428571429,2.23
2020-12-11,94124,67.23142857142857,2.27
2020-12-12,94217,67.29785714285714,2.28
2020-12-13,94328,67.37714285714286,2.3
2020-12-14,94427,67.44785714285715,2.31
2020-12-15,94537,67.52642857142857,2.31
2020-12-16,94626,67.58999999999999,2.31
2020-12-17,94734,67.66714285714285,2.32
2020-12-18,94821,67.72928571428571,2.31
2020-12-19,94953,67.82357142857143,2.3
2020-12-20,95050,67.89285714285714,2.31
2020-12-21,95150,67.96428571428571,2.32
2020-12-22,95228,68.02,2.27
2020-12-23,95298,68.07000000000001,2.23
2020-12-24,95383,68.13071428571429,2.18
2020-12-25,95460,68.18571428571428,2.13
2020-12-26,95541,68.24357142857143,2.1
2020-12-27,95632,68.30857142857143,2.09
2020-12-28,95720,68.37142857142858,2.07
2020-12-29,95797,68.42642857142857,2.02
2020-12-30,95876,68.48285714285714,1.97
2020-12-31,95963,68.545,1.95
2021-01-01,96023,68.58785714285713,1.92
2021-01-02,96086,68.63285714285715,1.86
2021-01-03,96160,68.68571428571428,1.84
2021-01-04,96246,68.74714285714286,1.81
2021-01-05,96310,68.79285714285714,1.78
2021-01-06,96398,68.85571428571428,1.76
2021-01-07,96484,68.91714285714285,1.75
2021-01-08,96562,68.97285714285714,1.69
2021-01-09,96690,69.06428571428572,1.73
2021-01-10,96824,69.16,1.76
2021-01-11,96920,69.22857142857143,1.78
2021-01-12,97095,69.35357142857143,1.89
2021-01-13,97275,69.48214285714286,1.98
2021-01-14,97448,69.60571428571428,2.08
2021-01-15,97616,69.72571428571429,2.17
2021-01-16,97775,69.83928571428572,2.24
2021-01-17,97939,69.95642857142857,2.32
2021-01-18,98164,70.11714285714285,2.47
2021-01-19,98323,70.23071428571428,2.55
2021-01-20,98544,70.38857142857142,2.69
2021-01-21,98786,70.56142857142856,2.88
2021-01-22,98886,70.63285714285713,2.91
2021-01-23,99047,70.74785714285714,3.0
2021-01-24,99247,70.89071428571428,3.12
2021-01-25,99402,71.00142857142858,3.21
2021-01-26,99541,71.10071428571429,3.26
2021-01-27,99655,71.18214285714286,3.29
2021-01-28,99746,71.24714285714285,3.3
2021-01-29,99848,71.32000000000001,3.27
2021-01-30,99968,71.40571428571428,3.25
2021-01-31,100063,71.47357142857142,3.24
2021-02-01,100127,71.51928571428572,3.12
2021-02-02,100177,71.555,2.98
2021-02-03,100226,71.59,2.85
2021-02-04,100268,71.61999999999999,2.72
2021-02-05,100318,71.65571428571428,2.6
2021-02-06,100348,71.67714285714287,2.46
2021-02-07,100389,71.70642857142857,2.27
2021-02-08,100435,71.73928571428571,2.15
2021-02-09,100475,71.76785714285714,1.96
2021-02-10,100494,71.78142857142858,1.73
2021-02-11,100527,71.80499999999999,1.66
2021-02-12,100559,71.82785714285714,1.53
2021-02-13,100578,71.84142857142857,1.34
2021-02-14,100599,71.85642857142858,1.2
2021-02-15,100624,71.8742857142857,1.09
2021-02-16,100639,71.88499999999999,0.99
2021-02-17,100666,71.9042857142857,0.92
2021-02-18,100684,71.91714285714286,0.84
2021-02-19,100705,71.93214285714285,0.74
2021-02-20,100727,71.94785714285715,0.66
2021-02-21,100758,71.97,0.63
2021-02-22,100784,71.98857142857143,0.61
2021-02-23,100807,72.005,0.58
2021-02-24,100832,72.02285714285715,0.56
2021-02-25,100851,72.03642857142857,0.53
2021-02-26,100885,72.06071428571428,0.54
2021-02-27,100924,72.08857142857143,0.53
2021-02-28,100965,72.11785714285713,0.53
2021-03-01,100990,72.13571428571429,0.51
2021-03-02,101013,72.15214285714286,0.52
2021-03-03,101037,72.16928571428572,0.51
2021-03-04,101055,72.18214285714286,0.49
2021-03-05,101074,72.19571428571429,0.49
2021-03-06,101097,72.21214285714285,0.5
2021-03-07,101132,72.23714285714286,0.5
2021-03-08,101149,72.24928571428572,0.51
2021-03-09,101175,72.26785714285714,0.51
2021-03-10,101194,72.28142857142858,0.51
2021-03-11,101225,72.30357142857143,0.52
2021-03-12,101292,72.35142857142857,0.56
2021-03-13,101349,72.39214285714286,0.59
2021-03-14,101378,72.41285714285713,0.59
2021-03-15,101421,72.44357142857142,0.61
2021-03-16,101443,72.45928571428571,0.61
2021-03-17,101460,72.47142857142856,0.6
2021-03-18,101481,72.48642857142858,0.59
2021-03-19,101498,72.49857142857142,0.57
2021-03-20,101518,72.51285714285714,0.55
2021-03-21,101533,72.52357142857143,0.54
2021-03-22,101560,72.54285714285713,0.54
2021-03-23,101582,72.55857142857143,0.54
2021-03-24,101603,72.57357142857143,0.54
2021-03-25,101623,72.58785714285715,0.54
2021-03-26,101646,72.60428571428571,0.54
2021-03-27,101663,72.61642857142857,0.53
2021-03-28,101675,72.625,0.52
2021-03-29,101692,72.63714285714285,0.51
2021-03-30,101710,72.65,0.51
2021-03-31,101732,72.66571428571429,0.5
2021-04-01,101753,72.68071428571429,0.46
2021-04-02,101799,72.71357142857143,0.44
2021-04-03,101821,72.72928571428571,0.44
2021-04-04,101861,72.75785714285715,0.43
2021-04-05,101901,72.78642857142857,0.45
2021-04-06,101920,72.8,0.45
2021-04-07,101953,72.82357142857143,0.47
2021-04-08,101984,72.8457142857143,0.48
2021-04-09,102012,72.86571428571429,0.49
2021-04-10,102027,72.87642857142858,0.49
2021-04-11,102056,72.89714285714285,0.49
2021-04-12,102078,72.91285714285715,0.49
2021-04-13,102103,72.93071428571429,0.49
2021-04-14,102118,72.94142857142857,0.49
2021-04-15,102135,72.95357142857144,0.48
2021-04-16,102167,72.97642857142857,0.5
2021-04-17,102201,73.0007142857143,0.52
2021-04-18,102242,73.03,0.54
2021-04-19,102264,73.0457142857143,0.54
2021-04-20,102293,73.06642857142857,0.55
2021-04-21,102300,73.07142857142857,0.54
2021-04-22,102333,73.095,0.52
2021-04-23,102351,73.10785714285714,0.52
2021-04-24,102367,73.11928571428571,0.5
2021-04-25,102384,73.13142857142857,0.47
2021-04-26,102399,73.14214285714286,0.47
2021-04-27,102419,73.15642857142856,0.46
2021-04-28,102446,73.17571428571428,0.45
2021-04-29,102474,73.19571428571429,0.45
2021-04-30,102494,73.21,0.46
2021-05-01,102517,73.22642857142857,0.45
2021-05-02,102530,73.2357142857143,0.44
2021-05-03,102549,73.24928571428572,0.44
2021-05-04,102560,73.25714285714285,0.43
2021-05-05,102571,73.265,0.43
2021-05-06,102586,73.27571428571429,0.41
2021-05-07,102596,73.28285714285714,0.39
2021-05-08,102613,73.295,0.36
2021-05-09,102625,73.30357142857143,0.35
2021-05-10,102643,73.31642857142857,0.34
2021-05-11,102660,73.32857142857142,0.35
2021-05-12,102671,73.33642857142857,0.33
2021-05-13,102681,73.34357142857144,0.32
2021-05-14,102696,73.35428571428571,0.32
2021-05-15,102717,73.36928571428571,0.33
2021-05-16,102746,73.39,0.34
2021-05-17,102769,73.40642857142858,0.34
2021-05-18,102782,73.41571428571429,0.33
2021-05-19,102797,73.42642857142857,0.32
2021-05-20,102822,73.44428571428571,0.32
2021-05-21,102833,73.45214285714285,0.31
2021-05-22,102853,73.46642857142857,0.32
2021-05-23,102873,73.48071428571428,0.32
2021-05-24,102890,73.49285714285715,0.32
2021-05-25,102905,73.50357142857143,0.33
2021-05-26,102925,73.51785714285715,0.33
2021-05-27,102932,73.52285714285715,0.33
2021-05-28,102948,73.53428571428572,0.33
2021-05-29,102960,73.54285714285714,0.33
2021-05-30,102987,73.56214285714286,0.34
2021-05-31,103014,73.58142857142857,0.34
2021-06-01,103045,73.60357142857143,0.36
2021-06-02,103069,73.62071428571429,0.38
2021-06-03,103094,73.63857142857142,0.39
2021-06-04,103119,73.65642857142858,0.39
2021-06-05,103150,73.67857142857143,0.39
2021-06-06,103176,73.69714285714286,0.4
2021-06-07,103216,73.72571428571429,0.42
2021-06-08,103235,73.73928571428571,0.43
2021-06-09,103261,73.75785714285715,0.43
2021-06-10,103285,73.775,0.44
2021-06-11,103320,73.80000000000001,0.45
2021-06-12,103357,73.82642857142856,0.47
2021-06-13,103380,73.84285714285714,0.48
2021-06-14,103401,73.85785714285714,0.48
2021-06-15,103424,73.87428571428572,0.48
2021-06-16,103444,73.88857142857144,0.5
2021-06-17,103467,73.905,0.5
2021-06-18,103501,73.92928571428571,0.53
2021-06-19,103525,73.94642857142857,0.52
2021-06-20,103543,73.95928571428571,0.51
2021-06-21,103571,73.97928571428572,0.51
2021-06-22,103602,74.00142857142858,0.52
2021-06-23,103620,74.01428571428572,0.51
2021-06-24,103651,74.03642857142857,0.52
2021-06-25,103680,74.05714285714286,0.51
2021-06-26,103696,74.06857142857142,0.5
2021-06-27,103724,74.08857142857143,0.49
2021-06-28,103745,74.10357142857143,0.49
2021-06-29,103755,74.11071428571428,0.48
2021-06-30,103769,74.12071428571429,0.47
2021-07-01,103791,74.13642857142857,0.46
2021-07-02,103825,74.16071428571428,0.45
2021-07-03,103841,74.17214285714286,0.45
2021-07-04,103866,74.19000000000001,0.45
2021-07-05,103890,74.20714285714286,0.45
2021-07-06,103948,74.24857142857142,0.49
2021-07-07,103966,74.26142857142858,0.48
2021-07-08,103992,74.28,0.47
2021-07-09,104019,74.29928571428572,0.48
2021-07-10,104020,74.3,0.46
2021-07-11,104072,74.33714285714285,0.48
2021-07-12,104101,74.35785714285714,0.48
2021-07-13,104126,74.37571428571428,0.49
2021-07-14,104157,74.39785714285713,0.49
2021-07-15,104193,74.42357142857144,0.49
2021-07-16,104224,74.44571428571429,0.51
2021-07-17,104257,74.4692857142857,0.51
2021-07-18,104290,74.49285714285715,0.53
2021-07-19,104355,74.53928571428571,0.58
2021-07-20,104362,74.5442857142857,0.57
2021-07-21,104440,74.6,0.63
2021-07-22,104489,74.635,0.64
2021-07-23,104526,74.66142857142857,0.66
2021-07-24,104562,74.68714285714286,0.67
2021-07-25,104642,74.74428571428571,0.72
2021-07-26,104713,74.795,0.74
2021-07-27,104800,74.85714285714286,0.8
2021-07-28,104850,74.89285714285714,0.83
2021-07-29,104918,74.94142857142857,0.86
2021-07-30,104973,74.98071428571428,0.92
2021-07-31,105050,75.03571428571429,0.94
2021-08-01,105149,75.10642857142857,1.01
2021-08-02,105242,75.17285714285714,1.07
2021-08-03,105346,75.24714285714286,1.14
2021-08-04,105433,75.30928571428572,1.19
2021-08-05,105563,75.40214285714286,1.28
2021-08-06,105672,75.48,1.36
2021-08-07,105775,75.55357142857143,1.42
2021-08-08,105902,75.64428571428572,1.48
2021-08-09,106047,75.74785714285714,1.61
2021-08-10,106162,75.83,1.65
2021-08-11,106244,75.88857142857142,1.68
2021-08-12,106348,75.96285714285715,1.74
2021-08-13,106419,76.01357142857144,1.78
2021-08-14,106474,76.05285714285715,1.75
2021-08-15,106526,76.09,1.73
2021-08-16,106571,76.12214285714286,1.69
2021-08-17,106602,76.1442857142857,1.67
2021-08-18,106651,76.17928571428571,1.65
2021-08-19,106689,76.20642857142857,1.63
2021-08-20,106711,76.22214285714286,1.58
2021-08-21,106746,76.24714285714285,1.52
2021-08-22,106772,76.2657142857143,1.45
2021-08-23,106812,76.2942857142857,1.39
2021-08-24,106839,76.31357142857142,1.33
2021-08-25,106870,76.33571428571429,1.24
2021-08-26,106905,76.36071428571428,1.17
2021-08-27,106943,76.38785714285714,1.1
2021-08-28,106982,76.41571428571429,1.02
2021-08-29,107012,76.43714285714286,0.91
2021-08-30,107052,76.46571428571428,0.84
2021-08-31,107073,76.48071428571428,0.78
2021-09-01,107102,76.50142857142856,0.71
2021-09-02,107130,76.52142857142857,0.67
2021-09-03,107157,76.54071428571429,0.64
2021-09-04,107186,76.56142857142858,0.62
2021-09-05,107212,76.58,0.6
2021-09-06,107250,76.60714285714286,0.61
2021-09-07,107275,76.625,0.59
2021-09-08,107305,76.64642857142857,0.58
2021-09-09,107324,76.66,0.57
2021-09-10,107354,76.68142857142857,0.57
2021-09-11,107404,76.71714285714286,0.59
2021-09-12,107456,76.75428571428571,0.6
2021-09-13,107549,76.82071428571429,0.66
2021-09-14,107624,76.8742857142857,0.71
2021-09-15,107705,76.93214285714285,0.75
2021-09-16,107789,76.99214285714287,0.79
2021-09-17,107838,77.02714285714286,0.8
2021-09-18,107909,77.07785714285714,0.84
2021-09-19,107961,77.115,0.85
2021-09-20,108038,77.17,0.9
2021-09-21,108080,77.2,0.91
2021-09-22,108124,77.23142857142857,0.93
2021-09-23,108180,77.27142857142857,0.95
2021-09-24,108227,77.305,0.97
2021-09-25,108266,77.33285714285714,0.98
2021-09-26,108309,77.36357142857142,0.99
2021-09-27,108344,77.38857142857142,1.0
2021-09-28,108386,77.41857142857143,1.01
2021-09-29,108413,77.43785714285714,1.01
2021-09-30,108450,77.46428571428572,1.02
2021-10-01,108495,77.49642857142857,1.02
2021-10-02,108528,77.52000000000001,1.0
2021-10-03,108555,77.53928571428571,0.94
2021-10-04,108588,77.56285714285714,0.9
2021-10-05,108622,77.58714285714285,0.85
2021-10-06,108654,77.61,0.8
2021-10-07,108683,77.63071428571429,0.78
2021-10-08,108704,77.64571428571428,0.74
2021-10-09,108736,77.66857142857143,0.72
2021-10-10,108761,77.68642857142858,0.67
2021-10-11,108780,77.7,0.65
2021-10-12,108806,77.71857142857142,0.63
2021-10-13,108835,77.73928571428571,0.61
2021-10-14,108841,77.74357142857143,0.57
2021-10-15,108864,77.76,0.55
2021-10-16,108891,77.77928571428572,0.54
2021-10-17,108921,77.80071428571428,0.53
2021-10-18,108947,77.81928571428571,0.52
2021-10-19,108979,77.84214285714286,0.52
2021-10-20,109004,77.86,0.51
2021-10-21,109058,77.89857142857143,0.52
2021-10-22,109105,77.93214285714286,0.53
2021-10-23,109155,77.96785714285714,0.55
2021-10-24,109197,77.99785714285714,0.56
2021-10-25,109244,78.03142857142858,0.57
2021-10-26,109306,78.07571428571428,0.6
2021-10-27,109350,78.10714285714285,0.61
2021-10-28,109416,78.1542857142857,0.65
2021-10-29,109499,78.21357142857143,0.7
2021-10-30,109574,78.26714285714286,0.75
