,province,city,pos,count,district,longitude,latitude
70,江苏省,南京市,"{'lng': 118.796682, 'lat': 32.05957}",1,,118.796682,32.05957
71,江苏省,南通市,"{'lng': 120.894676, 'lat': 31.981143}",1,,120.894676,31.981143
72,江苏省,苏州市,"{'lng': 120.585728, 'lat': 31.2974}",2,,120.585728,31.2974
73,江苏省,宿迁市,"{'lng': 118.275198, 'lat': 33.963232}",1,,118.275198,33.963232
74,江苏省,泰州市,"{'lng': 119.922933, 'lat': 32.455536}",1,,119.922933,32.455536
75,江苏省,无锡市,"{'lng': 120.31191, 'lat': 31.491169}",1,,120.31191,31.491169
76,江苏省,扬州市,"{'lng': 119.412939, 'lat': 32.394209}",1,,119.412939,32.394209
77,江苏省,镇江市,"{'lng': 119.425836, 'lat': 32.187849}",2,,119.425836,32.187849
78,江西省,赣州市,"{'lng': 114.933546, 'lat': 25.830694}",2,,114.933546,25.830694
79,江西省,景德镇市,"{'lng': 117.178222, 'lat': 29.268945}",3,,117.178222,29.268945
80,江西省,南昌市,"{'lng': 115.858198, 'lat': 28.682892}",6,,115.858198,28.682892
81,江西省,萍乡市,"{'lng': 113.887083, 'lat': 27.658373}",2,,113.887083,27.658373
82,江西省,新余市,"{'lng': 114.917346, 'lat': 27.817808}",1,,114.917346,27.817808
83,江西省,宜春市,"{'lng': 114.416785, 'lat': 27.815743}",1,,114.416785,27.815743
84,辽宁省,大连市,"{'lng': 121.614848, 'lat': 38.914086}",3,,121.614848,38.914086
85,辽宁省,沈阳市,"{'lng': 123.465035, 'lat': 41.677284}",6,,123.465035,41.677284
86,内蒙古自治区,呼和浩特市,"{'lng': 111.749995, 'lat': 40.842356}",1,,111.749995,40.842356
87,宁夏回族自治区,银川市,"{'lng': 106.230909, 'lat': 38.487193}",1,,106.230909,38.487193
88,山东省,济南市,"{'lng': 117.120098, 'lat': 36.6512}",2,,117.120098,36.6512
89,山东省,青岛市,"{'lng': 120.382621, 'lat': 36.067131}",7,,120.382621,36.067131
90,山东省,烟台市,"{'lng': 121.447852, 'lat': 37.464539}",1,,121.447852,37.464539
91,山西省,太原市,"{'lng': 112.548879, 'lat': 37.87059}",10,,112.548879,37.87059
92,陕西省,西安市,"{'lng': 108.93977, 'lat': 34.341574}",20,,108.93977,34.341574
93,陕西省,咸阳市,"{'lng': 108.709136, 'lat': 34.32987}",1,,108.709136,34.32987
94,陕西省,延安市,"{'lng': 109.494112, 'lat': 36.651381}",1,,109.494112,36.651381
95,上海市,上海城区,"{'lng': 121.397421, 'lat': 31.623728}",1,崇明区,121.397421,31.623728
96,上海市,上海城区,"{'lng': 121.474055, 'lat': 30.917766}",1,奉贤区,121.474055,30.917766
97,上海市,上海城区,"{'lng': 121.265374, 'lat': 31.375869}",2,嘉定区,121.265374,31.375869
98,上海市,上海城区,"{'lng': 121.544379, 'lat': 31.221517}",3,浦东新区,121.544379,31.221517
99,四川省,巴中市,"{'lng': 106.747477, 'lat': 31.867903}",1,,106.747477,31.867903
100,四川省,成都市,"{'lng': 104.066794, 'lat': 30.572893}",9,,104.066794,30.572893
101,四川省,德阳市,"{'lng': 104.397894, 'lat': 31.126855}",1,,104.397894,31.126855
102,四川省,成都市,"{'lng': 103.647153, 'lat': 30.988767}",1,都江堰市,103.647153,30.988767
103,四川省,广安市,"{'lng': 106.633088, 'lat': 30.456224}",1,,106.633088,30.456224
104,四川省,泸州市,"{'lng': 105.442285, 'lat': 28.871805}",1,,105.442285,28.871805
105,四川省,眉山市,"{'lng': 103.848403, 'lat': 30.076994}",2,,103.848403,30.076994
106,四川省,南充市,"{'lng': 106.110698, 'lat': 30.837793}",2,,106.110698,30.837793
107,天津市,天津城区,"{'lng': 117.309874, 'lat': 39.717564}",1,宝坻区,117.309874,39.717564
108,天津市,天津城区,"{'lng': 117.135488, 'lat': 39.224791}",2,北辰区,117.135488,39.224791
109,天津市,天津城区,"{'lng': 117.35726, 'lat': 38.937928}",1,津南区,117.35726,38.937928
110,天津市,天津城区,"{'lng': 117.200983, 'lat': 39.084158}",4,,117.200983,39.084158
111,天津市,天津城区,"{'lng': 117.044387, 'lat': 39.384119}",1,武清区,117.044387,39.384119
112,云南省,昆明市,"{'lng': 102.832891, 'lat': 24.880095}",6,,102.832891,24.880095
113,云南省,玉溪市,"{'lng': 102.527197, 'lat': 24.347324}",1,,102.527197,24.347324
114,云南省,大理白族自治州,"{'lng': 100.267638, 'lat': 25.606486}",1,,100.267638,25.606486
115,浙江省,杭州市,"{'lng': 120.209789, 'lat': 30.24692}",4,,120.209789,30.24692
