season,team,gp,w,l,wl%,bat#,pa,ab,r,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gidp,hbp,sh,sf,ibb,lob,r/gm,decade,series_win,hr/gm,h/gm,bb/gm,sb/gm
2002,Los Angeles Dodgers,162,92,70,0.568,41,6146,5554,713,1464,994,286,29,155,693.0,96.0,37.0,428,940.0,0.264,0.32,0.409,0.729,98,2273,140.0,53,67.0,44.0,50.0,1087.0,4.4,2000s,No win,0.96,9.04,2.64,0.59
2001,Los Angeles Dodgers,162,86,76,0.531,41,6169,5493,758,1399,902,264,27,206,714.0,89.0,42.0,519,1062.0,0.255,0.323,0.425,0.748,99,2335,115.0,56,57.0,44.0,45.0,1075.0,4.7,2000s,No win,1.27,8.64,3.2,0.55
2000,Los Angeles Dodgers,162,86,76,0.531,46,6312,5481,798,1408,904,265,28,211,756.0,95.0,42.0,668,1083.0,0.257,0.341,0.431,0.771,99,2362,129.0,51,66.0,46.0,42.0,1188.0,4.9,2000s,No win,1.3,8.69,4.12,0.59
1999,Los Angeles Dodgers,162,77,85,0.475,43,6338,5567,793,1480,1017,253,23,187,761.0,167.0,68.0,594,1030.0,0.266,0.339,0.42,0.76,96,2340,109.0,52,74.0,51.0,34.0,1173.0,4.9,1990s,No win,1.15,9.14,3.67,1.03
1998,Los Angeles Dodgers,162,83,79,0.512,53,6077,5459,669,1374,979,209,27,159,630.0,137.0,53.0,447,1056.0,0.252,0.31,0.387,0.698,87,2114,98.0,36,91.0,43.0,31.0,1069.0,4.1,1990s,No win,0.98,8.48,2.76,0.85
1997,Los Angeles Dodgers,162,88,74,0.543,44,6216,5544,742,1488,1039,242,33,174,706.0,131.0,64.0,498,1079.0,0.268,0.33,0.418,0.748,101,2318,109.0,33,105.0,36.0,46.0,1120.0,4.6,1990s,No win,1.07,9.19,3.07,0.81
1996,Los Angeles Dodgers,162,90,72,0.556,40,6185,5538,703,1396,998,215,33,150,661.0,124.0,40.0,516,1190.0,0.252,0.316,0.384,0.701,90,2127,112.0,22,74.0,35.0,59.0,1113.0,4.3,1990s,No win,0.93,8.62,3.19,0.77
1995,Los Angeles Dodgers,144,78,66,0.542,49,5544,4942,634,1303,941,191,31,140,593.0,127.0,45.0,468,1023.0,0.264,0.329,0.4,0.729,99,1976,99.0,30,68.0,35.0,46.0,1049.0,4.4,1990s,No win,0.97,9.05,3.25,0.88
1994,Los Angeles Dodgers,114,58,56,0.509,35,4371,3904,532,1055,751,160,29,115,505.0,74.0,37.0,366,687.0,0.27,0.333,0.414,0.748,99,1618,89.0,19,51.0,31.0,33.0,789.0,4.7,1990s,No win,1.01,9.25,3.21,0.65
1993,Los Angeles Dodgers,162,81,81,0.5,35,6261,5588,675,1458,1066,234,28,130,639.0,126.0,61.0,492,937.0,0.261,0.321,0.383,0.704,93,2138,105.0,27,107.0,47.0,48.0,1162.0,4.2,1990s,No win,0.8,9.0,3.04,0.78
1992,Los Angeles Dodgers,162,63,99,0.389,36,6038,5368,548,1333,1026,201,34,72,499.0,142.0,78.0,503,899.0,0.248,0.313,0.339,0.652,86,1818,111.0,24,102.0,40.0,36.0,1138.0,3.4,1990s,No win,0.44,8.23,3.1,0.88
1991,Los Angeles Dodgers,162,93,69,0.574,39,6159,5408,665,1366,1038,191,29,108,605.0,126.0,68.0,583,957.0,0.253,0.326,0.359,0.685,95,1939,109.0,28,94.0,46.0,50.0,1151.0,4.1,1990s,No win,0.67,8.43,3.6,0.78
1990,Los Angeles Dodgers,162,86,76,0.531,46,6179,5491,728,1436,1058,222,27,129,669.0,141.0,65.0,538,952.0,0.262,0.328,0.382,0.711,98,2099,110.0,31,71.0,48.0,78.0,1132.0,4.5,1990s,No win,0.8,8.86,3.32,0.87
1989,Los Angeles Dodgers,160,77,83,0.481,40,6124,5465,554,1313,966,241,17,89,513.0,81.0,54.0,507,885.0,0.24,0.306,0.339,0.645,86,1855,98.0,27,83.0,41.0,77.0,1171.0,3.5,1980s,No win,0.56,8.21,3.17,0.51
1988,Los Angeles Dodgers,162,94,67,0.584,38,6045,5431,628,1346,1005,217,25,99,587.0,131.0,46.0,437,947.0,0.248,0.305,0.352,0.657,90,1910,118.0,32,95.0,50.0,65.0,1075.0,3.9,1980s,World Series win,0.61,8.31,2.7,0.81
1987,Los Angeles Dodgers,162,73,89,0.451,48,6114,5517,635,1389,1005,236,23,125,594.0,128.0,59.0,445,923.0,0.252,0.309,0.371,0.68,81,2046,126.0,31,82.0,39.0,70.0,1094.0,3.9,1980s,No win,0.77,8.57,2.75,0.79
1986,Los Angeles Dodgers,162,73,89,0.451,38,6101,5471,638,1373,997,232,14,130,599.0,155.0,67.0,478,966.0,0.251,0.313,0.37,0.683,94,2023,109.0,32,81.0,39.0,58.0,1083.0,3.9,1980s,No win,0.8,8.48,2.95,0.96
1985,Los Angeles Dodgers,162,95,67,0.586,41,6224,5502,682,1434,1051,226,28,129,632.0,136.0,58.0,539,846.0,0.261,0.328,0.382,0.71,102,2103,108.0,31,104.0,46.0,69.0,1187.0,4.2,1980s,No win,0.8,8.85,3.33,0.84
1984,Los Angeles Dodgers,162,79,83,0.488,38,6042,5399,580,1316,978,213,23,102,530.0,109.0,69.0,488,829.0,0.244,0.306,0.348,0.654,86,1881,120.0,14,92.0,48.0,56.0,1075.0,3.6,1980s,No win,0.63,8.12,3.01,0.67
1983,Los Angeles Dodgers,163,91,71,0.562,40,6130,5440,654,1358,981,197,34,146,613.0,166.0,76.0,541,925.0,0.25,0.318,0.379,0.697,94,2061,112.0,22,86.0,40.0,61.0,1104.0,4.0,1980s,No win,0.9,8.33,3.32,1.02
1982,Los Angeles Dodgers,162,88,74,0.543,39,6361,5642,691,1487,1095,222,32,138,661.0,151.0,56.0,528,804.0,0.264,0.327,0.388,0.715,102,2187,98.0,30,106.0,55.0,83.0,1223.0,4.3,1980s,No win,0.85,9.18,3.26,0.93
1981,Los Angeles Dodgers,110,63,47,0.573,37,4189,3751,450,984,749,133,20,82,427.0,73.0,46.0,331,550.0,0.262,0.323,0.374,0.697,101,1403,83.0,17,62.0,27.0,38.0,776.0,4.1,1980s,World Series win,0.75,8.95,3.01,0.66
1980,Los Angeles Dodgers,163,92,71,0.564,35,6221,5568,663,1462,1081,209,24,148,638.0,123.0,72.0,492,846.0,0.263,0.323,0.388,0.711,99,2163,108.0,24,96.0,41.0,52.0,1173.0,4.1,1980s,No win,0.91,8.97,3.02,0.75
1979,Los Angeles Dodgers,162,79,83,0.488,35,6188,5490,739,1443,1016,220,24,183,713.0,106.0,46.0,556,834.0,0.263,0.331,0.412,0.743,103,2260,145.0,23,83.0,36.0,62.0,1111.0,4.6,1970s,No win,1.13,8.91,3.43,0.65
1978,Los Angeles Dodgers,162,95,67,0.586,38,6225,5437,727,1435,1008,251,27,149,686.0,137.0,52.0,610,818.0,0.264,0.338,0.402,0.74,108,2187,101.0,20,111.0,47.0,76.0,1214.0,4.5,1970s,No win,0.92,8.86,3.77,0.85
1977,Los Angeles Dodgers,162,98,64,0.605,37,6328,5589,769,1484,1042,223,28,191,729.0,114.0,62.0,588,896.0,0.266,0.336,0.418,0.753,102,2336,103.0,23,83.0,44.0,67.0,1183.0,4.7,1970s,No win,1.18,9.16,3.63,0.7
1976,Los Angeles Dodgers,162,92,70,0.568,37,6125,5472,608,1371,1046,200,34,91,561.0,144.0,55.0,486,744.0,0.251,0.313,0.349,0.662,90,1912,129.0,29,91.0,47.0,71.0,1138.0,3.8,1970s,No win,0.56,8.46,3.0,0.89
1975,Los Angeles Dodgers,162,88,74,0.543,37,6246,5453,648,1355,989,217,31,118,606.0,138.0,52.0,611,825.0,0.248,0.325,0.365,0.69,96,1988,123.0,31,104.0,47.0,72.0,1208.0,4.0,1970s,No win,0.73,8.36,3.77,0.85
1974,Los Angeles Dodgers,162,102,60,0.63,35,6332,5557,798,1511,1107,231,34,139,744.0,149.0,75.0,597,820.0,0.272,0.342,0.401,0.743,112,2227,117.0,28,86.0,64.0,95.0,1192.0,4.9,1970s,No win,0.86,9.33,3.69,0.92
1973,Los Angeles Dodgers,162,95,66,0.59,33,6267,5604,675,1473,1115,219,29,110,623.0,109.0,50.0,497,795.0,0.263,0.323,0.371,0.694,96,2080,123.0,28,81.0,57.0,92.0,1163.0,4.2,1970s,No win,0.68,9.09,3.07,0.67
1972,Los Angeles Dodgers,155,85,70,0.548,36,5904,5270,584,1349,1034,178,39,98,543.0,82.0,39.0,480,786.0,0.256,0.319,0.36,0.679,95,1899,121.0,24,89.0,40.0,53.0,1124.0,3.8,1970s,No win,0.63,8.7,3.1,0.53
1971,Los Angeles Dodgers,162,89,73,0.549,34,6156,5523,663,1469,1123,213,38,95,631.0,76.0,40.0,489,755.0,0.266,0.325,0.37,0.695,102,2043,140.0,21,72.0,50.0,62.0,1165.0,4.1,1970s,No win,0.59,9.07,3.02,0.47
1970,Los Angeles Dodgers,161,87,74,0.54,37,6293,5606,749,1515,1128,233,67,87,695.0,138.0,57.0,541,841.0,0.27,0.334,0.382,0.717,96,2143,113.0,24,72.0,50.0,67.0,1185.0,4.7,1970s,No win,0.54,9.41,3.36,0.86
1969,Los Angeles Dodgers,162,85,77,0.525,38,6167,5532,645,1405,1071,185,52,97,584.0,80.0,51.0,484,823.0,0.254,0.315,0.359,0.673,95,1985,110.0,21,96.0,33.0,63.0,1160.0,4.0,1960s,No win,0.6,8.67,2.99,0.49
1968,Los Angeles Dodgers,162,76,86,0.469,35,5935,5354,470,1234,929,202,36,67,434.0,57.0,43.0,439,980.0,0.23,0.289,0.319,0.608,90,1709,89.0,18,79.0,45.0,61.0,1093.0,2.9,1960s,No win,0.41,7.62,2.71,0.35
1967,Los Angeles Dodgers,162,73,89,0.451,34,6110,5456,519,1285,962,203,38,82,465.0,56.0,47.0,485,881.0,0.236,0.301,0.332,0.633,89,1810,133.0,43,91.0,35.0,75.0,1142.0,3.2,1960s,No win,0.51,7.93,2.99,0.35
1966,Los Angeles Dodgers,162,95,67,0.586,35,6067,5471,606,1399,1063,201,27,108,565.0,94.0,64.0,430,830.0,0.256,0.314,0.362,0.675,95,1978,117.0,49,84.0,32.0,54.0,1116.0,3.7,1960s,No win,0.67,8.64,2.65,0.58
1965,Los Angeles Dodgers,162,97,65,0.599,33,6108,5425,608,1329,1026,193,32,78,548.0,172.0,77.0,492,891.0,0.245,0.312,0.335,0.647,89,1820,79.0,52,103.0,35.0,57.0,1118.0,3.8,1960s,World Series win,0.48,8.2,3.04,1.06
1964,Los Angeles Dodgers,164,80,82,0.494,33,6121,5499,614,1375,1077,180,39,79,555.0,141.0,60.0,438,893.0,0.25,0.305,0.34,0.645,88,1870,105.0,19,120.0,44.0,55.0,1062.0,3.7,1960s,No win,0.48,8.38,2.67,0.86
1963,Los Angeles Dodgers,163,99,63,0.611,35,6045,5428,640,1361,1039,178,34,110,584.0,124.0,70.0,453,867.0,0.251,0.309,0.357,0.666,99,1937,121.0,26,85.0,53.0,47.0,1034.0,3.9,1960s,World Series win,0.67,8.35,2.78,0.76
1962,Los Angeles Dodgers,165,102,63,0.618,30,6363,5628,842,1510,1113,192,65,140,781.0,198.0,43.0,572,886.0,0.268,0.337,0.4,0.737,103,2252,126.0,32,83.0,47.0,65.0,1104.0,5.1,1960s,No win,0.85,9.15,3.47,1.2
1961,Los Angeles Dodgers,154,89,65,0.578,34,5940,5189,735,1358,968,193,40,157,673.0,86.0,45.0,596,796.0,0.262,0.338,0.405,0.743,91,2102,117.0,23,96.0,36.0,53.0,1095.0,4.8,1960s,No win,1.02,8.82,3.87,0.56
1960,Los Angeles Dodgers,154,82,72,0.532,37,5936,5227,662,1333,953,216,38,126,606.0,95.0,53.0,529,837.0,0.255,0.324,0.383,0.707,89,2003,108.0,27,102.0,50.0,46.0,1095.0,4.3,1960s,No win,0.82,8.66,3.44,0.62
1959,Los Angeles Dodgers,156,88,68,0.564,38,6034,5282,705,1360,970,196,46,148,667.0,84.0,51.0,591,891.0,0.257,0.334,0.396,0.73,89,2092,115.0,28,100.0,32.0,61.0,1122.0,4.5,1950s,World Series win,0.95,8.72,3.79,0.54
1958,Los Angeles Dodgers,154,71,83,0.461,43,5804,5173,668,1297,909,166,50,172,627.0,73.0,47.0,495,850.0,0.251,0.317,0.402,0.719,86,2079,132.0,25,68.0,43.0,22.0,1014.0,4.3,1950s,No win,1.12,8.42,3.21,0.47
1957,Brooklyn Dodgers,154,84,70,0.545,35,5945,5242,690,1325,952,188,38,147,648.0,60.0,34.0,550,848.0,0.253,0.325,0.387,0.713,84,2030,131.0,33,78.0,41.0,46.0,1077.0,4.5,1950s,No win,0.95,8.6,3.57,0.39
1956,Brooklyn Dodgers,154,93,61,0.604,35,5885,5098,720,1315,888,212,36,179,680.0,65.0,37.0,649,738.0,0.258,0.342,0.419,0.761,97,2136,146.0,17,86.0,34.0,91.0,1100.0,4.7,1950s,No win,1.16,8.54,4.21,0.42
1955,Brooklyn Dodgers,154,98,55,0.641,32,6037,5193,857,1406,931,230,44,201,800.0,79.0,56.0,674,718.0,0.271,0.356,0.448,0.804,109,2327,132.0,41,75.0,54.0,62.0,1112.0,5.6,1950s,World Series win,1.31,9.13,4.38,0.51
1954,Brooklyn Dodgers,154,92,62,0.597,35,6059,5251,778,1418,930,246,56,186,741.0,46.0,39.0,634,625.0,0.27,0.349,0.444,0.794,103,2334,137.0,35,79.0,59.0,61.0,1149.0,5.1,1950s,No win,1.21,9.21,4.12,0.3
1953,Brooklyn Dodgers,155,105,49,0.682,32,6138,5373,955,1529,988,274,59,208,887.0,90.0,47.0,655,686.0,0.285,0.366,0.474,0.84,114,2545,115.0,35,75.0,,75.0,1123.0,6.2,1950s,No win,1.34,9.86,4.23,0.58
1952,Brooklyn Dodgers,155,96,57,0.627,35,6068,5266,775,1380,996,199,32,153,725.0,90.0,49.0,663,699.0,0.262,0.348,0.399,0.748,105,2102,151.0,35,104.0,,68.0,1153.0,5.0,1950s,No win,0.99,8.9,4.28,0.58
1951,Brooklyn Dodgers,158,97,60,0.618,36,6214,5492,855,1511,1041,249,37,184,794.0,89.0,70.0,603,649.0,0.275,0.352,0.434,0.786,108,2386,147.0,44,75.0,,59.0,1131.0,5.4,1950s,No win,1.16,9.56,3.82,0.56
1950,Brooklyn Dodgers,155,89,65,0.578,37,6086,5364,847,1461,974,247,46,194,774.0,77.0,45.0,607,632.0,0.272,0.349,0.444,0.793,105,2382,139.0,27,88.0,,68.0,1109.0,5.5,1950s,No win,1.25,9.43,3.92,0.5
1949,Brooklyn Dodgers,156,97,57,0.63,34,6175,5400,879,1477,1042,236,47,152,816.0,117.0,51.0,638,570.0,0.274,0.354,0.419,0.773,103,2263,127.0,33,102.0,,65.0,1131.0,5.6,1940s,No win,0.97,9.47,4.09,0.75
1948,Brooklyn Dodgers,155,84,70,0.545,40,6058,5328,744,1393,992,256,54,91,671.0,114.0,47.0,604,685.0,0.261,0.339,0.381,0.72,91,2030,100.0,18,100.0,,76.0,1150.0,4.8,1940s,No win,0.59,8.99,3.9,0.74
1947,Brooklyn Dodgers,155,94,60,0.61,43,6127,5249,774,1428,1054,241,50,83,719.0,88.0,62.0,732,561.0,0.272,0.364,0.384,0.749,97,2018,87.0,29,115.0,,139.0,1277.0,5.0,1940s,No win,0.54,9.21,4.72,0.57
1946,Brooklyn Dodgers,157,96,60,0.615,45,6141,5285,701,1376,1022,233,66,55,642.0,100.0,59.0,693,575.0,0.26,0.348,0.361,0.709,100,1906,103.0,17,141.0,,102.0,1244.0,4.5,1940s,No win,0.35,8.76,4.41,0.64
1945,Brooklyn Dodgers,155,87,67,0.565,42,6191,5418,795,1468,1083,257,71,57,722.0,77.0,40.0,630,433.0,0.271,0.35,0.376,0.726,103,2038,87.0,25,111.0,,80.0,1249.0,5.1,1940s,No win,0.37,9.47,4.06,0.5
1944,Brooklyn Dodgers,155,63,91,0.409,53,6014,5393,690,1450,1088,255,51,56,631.0,45.0,32.0,485,453.0,0.269,0.331,0.366,0.697,98,1975,109.0,14,117.0,,49.0,1183.0,4.5,1940s,No win,0.36,9.35,3.13,0.29
1943,Brooklyn Dodgers,153,81,72,0.529,45,6013,5309,715,1444,1107,263,35,39,658.0,58.0,46.0,581,420.0,0.272,0.346,0.357,0.703,102,1894,115.0,21,100.0,,53.0,1193.0,4.7,1940s,No win,0.25,9.44,3.8,0.38
1942,Brooklyn Dodgers,155,104,50,0.675,32,5995,5286,742,1398,1039,263,34,62,678.0,81.0,43.0,572,485.0,0.264,0.338,0.362,0.7,103,1915,95.0,14,119.0,,51.0,1143.0,4.8,1940s,No win,0.4,9.02,3.69,0.52
1941,Brooklyn Dodgers,157,100,54,0.649,39,6218,5485,800,1494,1038,286,69,101,747.0,36.0,48.0,600,535.0,0.272,0.347,0.405,0.752,107,2221,103.0,27,106.0,,46.0,1224.0,5.1,1940s,No win,0.64,9.52,3.82,0.23
1940,Brooklyn Dodgers,156,88,65,0.575,40,6093,5470,697,1421,1002,256,70,93,653.0,56.0,63.0,522,570.0,0.26,0.327,0.383,0.71,90,2096,112.0,20,77.0,,50.0,1128.0,4.5,1940s,No win,0.6,9.11,3.35,0.36
1939,Brooklyn Dodgers,157,84,69,0.549,37,6052,5350,708,1420,1020,265,57,78,653.0,59.0,46.0,564,639.0,0.265,0.338,0.38,0.718,89,2033,130.0,26,107.0,,43.0,1131.0,4.5,1930s,No win,0.5,9.04,3.59,0.38
1938,Brooklyn Dodgers,151,69,80,0.463,43,5858,5142,704,1322,957,225,79,61,647.0,66.0,57.0,611,615.0,0.257,0.338,0.367,0.705,92,1888,118.0,20,80.0,,45.0,1137.0,4.7,1930s,No win,0.4,8.75,4.05,0.44
1937,Brooklyn Dodgers,155,62,91,0.405,43,5896,5295,616,1401,1053,258,53,37,554.0,69.0,72.0,469,583.0,0.265,0.327,0.354,0.681,84,1876,130.0,20,109.0,,42.0,1132.0,4.0,1930s,No win,0.24,9.04,3.03,0.45
1936,Brooklyn Dodgers,156,67,87,0.435,34,6077,5574,662,1518,1179,263,43,33,596.0,55.0,46.0,390,458.0,0.272,0.323,0.353,0.675,81,1966,114.0,25,79.0,,36.0,1181.0,4.2,1930s,No win,0.21,9.73,2.5,0.35
1935,Brooklyn Dodgers,154,70,83,0.458,38,5938,5410,711,1496,1140,235,62,59,666.0,60.0,48.0,430,520.0,0.277,0.333,0.376,0.708,92,2032,120.0,27,70.0,,44.0,1131.0,4.6,1930s,No win,0.38,9.71,2.79,0.39
1934,Brooklyn Dodgers,153,71,81,0.467,33,6075,5427,748,1526,1111,284,52,79,699.0,55.0,48.0,548,555.0,0.281,0.35,0.396,0.746,104,2151,112.0,22,77.0,,37.0,1248.0,4.9,1930s,No win,0.52,9.97,3.58,0.36
1933,Brooklyn Dodgers,157,65,88,0.425,33,5873,5367,617,1413,1076,224,51,62,566.0,82.0,56.0,397,453.0,0.263,0.316,0.359,0.675,96,1925,139.0,18,90.0,,24.0,1067.0,3.9,1930s,No win,0.39,9.0,2.53,0.52
1932,Brooklyn Dodgers,154,81,73,0.526,35,5948,5433,752,1538,1073,296,59,110,703.0,61.0,55.0,388,574.0,0.283,0.334,0.42,0.754,103,2282,,24,99.0,,24.0,1054.0,4.9,1930s,No win,0.71,9.99,2.52,0.4
1931,Brooklyn Robins,153,79,73,0.52,35,5815,5309,681,1464,1076,240,77,71,633.0,45.0,52.0,409,512.0,0.276,0.331,0.39,0.721,93,2071,,27,69.0,,23.0,1067.0,4.5,1930s,No win,0.46,9.57,2.67,0.29
1930,Brooklyn Robins,154,86,68,0.558,30,6089,5433,871,1654,1156,303,73,122,836.0,53.0,47.0,481,541.0,0.304,0.364,0.454,0.818,96,2469,,27,147.0,,20.0,1135.0,5.7,1930s,No win,0.79,10.74,3.12,0.34
1929,Brooklyn Robins,153,70,83,0.458,36,5955,5273,755,1535,1085,282,69,99,705.0,80.0,73.0,504,454.0,0.291,0.355,0.427,0.782,95,2252,,22,155.0,,23.0,1113.0,4.9,1920s,No win,0.65,10.03,3.29,0.52
1928,Brooklyn Robins,155,77,76,0.503,30,5999,5243,665,1393,1028,229,70,66,621.0,81.0,66.0,557,510.0,0.266,0.34,0.374,0.714,88,1960,,32,160.0,,30.0,1143.0,4.3,1920s,No win,0.43,8.99,3.59,0.52
1927,Brooklyn Robins,154,65,88,0.425,31,5755,5193,541,1314,1006,195,74,39,499.0,106.0,,368,494.0,0.253,0.306,0.342,0.647,73,1774,,25,166.0,,,1055.0,3.5,1920s,No win,0.25,8.53,2.39,0.69
1926,Brooklyn Robins,155,71,82,0.464,31,5791,5130,623,1348,1000,246,62,40,568.0,76.0,,475,464.0,0.263,0.328,0.358,0.687,86,1838,,27,158.0,,,1063.0,4.0,1920s,No win,0.26,8.7,3.06,0.49
1925,Brooklyn Robins,153,68,85,0.444,35,6046,5468,786,1617,1223,250,80,64,722.0,37.0,30.0,437,383.0,0.296,0.351,0.406,0.757,95,2219,,26,114.0,,,1186.0,5.1,1920s,No win,0.42,10.57,2.86,0.24
1924,Brooklyn Robins,154,92,62,0.597,33,5951,5339,717,1534,1181,227,54,72,662.0,34.0,46.0,447,357.0,0.287,0.345,0.391,0.735,99,2085,,22,143.0,,,1134.0,4.7,1920s,No win,0.47,9.96,2.9,0.22
1923,Brooklyn Robins,155,76,78,0.494,33,6084,5476,753,1559,1202,214,81,62,674.0,71.0,50.0,425,382.0,0.285,0.34,0.387,0.727,93,2121,,33,148.0,,,1151.0,4.9,1920s,No win,0.4,10.06,2.74,0.46
1922,Brooklyn Robins,155,76,78,0.494,31,5961,5413,743,1569,1202,235,76,56,674.0,79.0,60.0,339,318.0,0.29,0.335,0.392,0.727,87,2124,,25,178.0,,,1065.0,4.8,1920s,No win,0.36,10.12,2.19,0.51
1921,Brooklyn Robins,152,77,75,0.507,30,5776,5263,667,1476,1123,209,85,59,584.0,91.0,73.0,325,400.0,0.28,0.325,0.386,0.711,84,2032,,21,164.0,,,1023.0,4.4,1920s,No win,0.39,9.71,2.14,0.6
