team,attendance,avg_attend,year
Milwaukee Brewers,1918343.0,23683.0,1979
Minnesota Twins,1070521.0,13216.0,1979
Montreal Expos,2102173.0,25953.0,1979
New York Mets,788905.0,9621.0,1979
New York Yankees,2537765.0,31330.0,1979
Oakland Athletics,306763.0,3787.0,1979
Philadelphia Phillies,2775011.0,34259.0,1979
Pittsburgh Pirates,1435454.0,17722.0,1979
San Diego Padres,1456967.0,17987.0,1979
Seattle Mariners,844447.0,10425.0,1979
San Francisco Giants,1456402.0,17980.0,1979
St. Louis Cardinals,1627256.0,19845.0,1979
Texas Rangers,1519671.0,18761.0,1979
Toronto Blue Jays,1431651.0,17675.0,1979
Atlanta Braves,1048411.0,13105.0,1980
Baltimore Orioles,1797438.0,22191.0,1980
Boston Red Sox,1956092.0,24149.0,1980
Los Angeles Angels,2297327.0,28362.0,1980
Chicago Cubs,1206776.0,14898.0,1980
Chicago White Sox,1200365.0,14819.0,1980
Cincinnati Reds,2022450.0,24664.0,1980
Cleveland Guardians,1033827.0,13086.0,1980
Detroit Tigers,1785293.0,21772.0,1980
Houston Astros,2278217.0,28126.0,1980
Kansas City Royals,2288714.0,28256.0,1980
Los Angeles Dodgers,3249287.0,39625.0,1980
Milwaukee Brewers,1857408.0,22651.0,1980
Minnesota Twins,769206.0,9615.0,1980
Montreal Expos,2208175.0,27602.0,1980
New York Mets,1192073.0,14537.0,1980
New York Yankees,2627417.0,32437.0,1980
Oakland Athletics,842259.0,10398.0,1980
Philadelphia Phillies,2651650.0,32736.0,1980
Pittsburgh Pirates,1646757.0,20330.0,1980
San Diego Padres,1139026.0,14062.0,1980
Seattle Mariners,836204.0,10324.0,1980
San Francisco Giants,1096115.0,13532.0,1980
St. Louis Cardinals,1385147.0,17101.0,1980
Texas Rangers,1198175.0,14977.0,1980
Toronto Blue Jays,1400327.0,17288.0,1980
Atlanta Braves,535418.0,10708.0,1981
Baltimore Orioles,1024247.0,18623.0,1981
Boston Red Sox,1060379.0,20007.0,1981
Los Angeles Angels,1441545.0,26695.0,1981
Chicago Cubs,565637.0,9752.0,1981
Chicago White Sox,946651.0,19319.0,1981
Cincinnati Reds,1093730.0,20254.0,1981
Cleveland Guardians,661395.0,12248.0,1981
Detroit Tigers,1149144.0,20894.0,1981
Houston Astros,1321282.0,25907.0,1981
Kansas City Royals,1279403.0,27221.0,1981
Los Angeles Dodgers,2381292.0,42523.0,1981
Milwaukee Brewers,874292.0,17843.0,1981
Minnesota Twins,469090.0,7690.0,1981
Montreal Expos,1534564.0,27403.0,1981
New York Mets,704244.0,13543.0,1981
New York Yankees,1614353.0,31654.0,1981
Oakland Athletics,1304052.0,23287.0,1981
Philadelphia Phillies,1638752.0,29795.0,1981
Pittsburgh Pirates,541789.0,10623.0,1981
San Diego Padres,519161.0,9439.0,1981
Seattle Mariners,636276.0,11163.0,1981
San Francisco Giants,632274.0,11930.0,1981
St. Louis Cardinals,1010247.0,19061.0,1981
Texas Rangers,850076.0,15180.0,1981
Toronto Blue Jays,755083.0,14247.0,1981
Atlanta Braves,1801985.0,22247.0,1982
Baltimore Orioles,1613031.0,19671.0,1982
Boston Red Sox,1950124.0,24076.0,1982
Los Angeles Angels,2807360.0,34659.0,1982
Chicago Cubs,1249278.0,15423.0,1982
Chicago White Sox,1567787.0,19597.0,1982
Cincinnati Reds,1326528.0,16377.0,1982
Cleveland Guardians,1044021.0,12889.0,1982
Detroit Tigers,1636058.0,20198.0,1982
Houston Astros,1558555.0,19241.0,1982
Kansas City Royals,2284464.0,28203.0,1982
Los Angeles Dodgers,3608881.0,44554.0,1982
Milwaukee Brewers,1978896.0,24133.0,1982
Minnesota Twins,921186.0,11373.0,1982
Montreal Expos,2318292.0,28621.0,1982
New York Mets,1323036.0,16334.0,1982
New York Yankees,2041219.0,25200.0,1982
Oakland Athletics,1735489.0,21426.0,1982
Philadelphia Phillies,2376394.0,29338.0,1982
Pittsburgh Pirates,1024106.0,12643.0,1982
San Diego Padres,1607516.0,19846.0,1982
Seattle Mariners,1070404.0,13215.0,1982
San Francisco Giants,1200948.0,14827.0,1982
St. Louis Cardinals,2111906.0,26073.0,1982
Texas Rangers,1154432.0,14252.0,1982
Toronto Blue Jays,1275978.0,15753.0,1982
Atlanta Braves,2119935.0,26499.0,1983
Baltimore Orioles,2042071.0,25211.0,1983
Boston Red Sox,1782285.0,22004.0,1983
Los Angeles Angels,2555016.0,31543.0,1983
Chicago Cubs,1479717.0,18268.0,1983
Chicago White Sox,2132821.0,26331.0,1983
Cincinnati Reds,1190419.0,14697.0,1983
Cleveland Guardians,768941.0,9493.0,1983
Detroit Tigers,1829636.0,22588.0,1983
Houston Astros,1351962.0,16487.0,1983
Kansas City Royals,1963875.0,23950.0,1983
Los Angeles Dodgers,3510313.0,43879.0,1983
Milwaukee Brewers,2397131.0,29594.0,1983
Minnesota Twins,858939.0,10604.0,1983
Montreal Expos,2320651.0,28650.0,1983
New York Mets,1112774.0,13570.0,1983
New York Yankees,2257976.0,27876.0,1983
Oakland Athletics,1294941.0,15987.0,1983
Philadelphia Phillies,2128339.0,25955.0,1983
Pittsburgh Pirates,1225916.0,15135.0,1983
San Diego Padres,1539815.0,18778.0,1983
Seattle Mariners,813537.0,10044.0,1983
San Francisco Giants,1251530.0,15451.0,1983
St. Louis Cardinals,2317914.0,28616.0,1983
Texas Rangers,1363469.0,16833.0,1983
Toronto Blue Jays,1930415.0,23832.0,1983
Atlanta Braves,1724892.0,21295.0,1984
Baltimore Orioles,2045784.0,25257.0,1984
Boston Red Sox,1661618.0,20514.0,1984
Los Angeles Angels,2402997.0,29667.0,1984
Chicago Cubs,2107655.0,26346.0,1984
Chicago White Sox,2136988.0,26383.0,1984
Cincinnati Reds,1275887.0,15752.0,1984
Cleveland Guardians,734079.0,9063.0,1984
Detroit Tigers,2704794.0,32985.0,1984
Houston Astros,1229862.0,15183.0,1984
Kansas City Royals,1810018.0,22346.0,1984
Los Angeles Dodgers,3134824.0,38702.0,1984
Milwaukee Brewers,1608509.0,19858.0,1984
Minnesota Twins,1598692.0,19737.0,1984
Montreal Expos,1606531.0,19834.0,1984
New York Mets,1842695.0,22749.0,1984
New York Yankees,1821815.0,22492.0,1984
Oakland Athletics,1353281.0,16707.0,1984
Philadelphia Phillies,2062693.0,25465.0,1984
Pittsburgh Pirates,773500.0,9549.0,1984
San Diego Padres,1983904.0,24493.0,1984
Seattle Mariners,870372.0,10745.0,1984
San Francisco Giants,1001545.0,12365.0,1984
St. Louis Cardinals,2037448.0,25154.0,1984
Texas Rangers,1102471.0,13781.0,1984
Toronto Blue Jays,2110009.0,26049.0,1984
Atlanta Braves,1350137.0,16668.0,1985
Baltimore Orioles,2132387.0,26326.0,1985
Boston Red Sox,1786633.0,22057.0,1985
Los Angeles Angels,2567427.0,32499.0,1985
Chicago Cubs,2161534.0,26686.0,1985
Chicago White Sox,1669888.0,20616.0,1985
Cincinnati Reds,1834619.0,22650.0,1985
Cleveland Guardians,655181.0,8089.0,1985
Detroit Tigers,2286609.0,28230.0,1985
Houston Astros,1184314.0,14621.0,1985
Kansas City Royals,2162717.0,26375.0,1985
Los Angeles Dodgers,3264593.0,40304.0,1985
Milwaukee Brewers,1360265.0,17003.0,1985
Minnesota Twins,1651814.0,19664.0,1985
Montreal Expos,1502494.0,18549.0,1985
New York Mets,2761601.0,34094.0,1985
New York Yankees,2214587.0,27682.0,1985
Oakland Athletics,1334599.0,16894.0,1985
Philadelphia Phillies,1830350.0,22597.0,1985
Pittsburgh Pirates,735900.0,9199.0,1985
San Diego Padres,2210352.0,27288.0,1985
Seattle Mariners,1128696.0,13599.0,1985
San Francisco Giants,818697.0,10107.0,1985
St. Louis Cardinals,2637563.0,32563.0,1985
Texas Rangers,1112497.0,13906.0,1985
Toronto Blue Jays,2468925.0,30862.0,1985
Atlanta Braves,1387181.0,17126.0,1986
Baltimore Orioles,1973176.0,24977.0,1986
Boston Red Sox,2147641.0,26514.0,1986
Los Angeles Angels,2655872.0,32389.0,1986
Chicago Cubs,1859102.0,23239.0,1986
Chicago White Sox,1424313.0,17584.0,1986
Cincinnati Reds,1692432.0,20894.0,1986
Cleveland Guardians,1471805.0,18170.0,1986
Detroit Tigers,1899437.0,23450.0,1986
Houston Astros,1734276.0,21411.0,1986
Kansas City Royals,2320794.0,28652.0,1986
Los Angeles Dodgers,3023208.0,37324.0,1986
Milwaukee Brewers,1265041.0,15813.0,1986
Minnesota Twins,1255453.0,15499.0,1986
Montreal Expos,1128981.0,14112.0,1986
New York Mets,2767601.0,34168.0,1986
New York Yankees,2268030.0,28350.0,1986
Oakland Athletics,1314646.0,15839.0,1986
Philadelphia Phillies,1933335.0,24167.0,1986
Pittsburgh Pirates,1000917.0,12357.0,1986
San Diego Padres,1805716.0,22293.0,1986
Seattle Mariners,1029045.0,12549.0,1986
San Francisco Giants,1528748.0,18873.0,1986
St. Louis Cardinals,2471974.0,30518.0,1986
Texas Rangers,1692002.0,20889.0,1986
Toronto Blue Jays,2455477.0,30315.0,1986
Atlanta Braves,1217402.0,15030.0,1987
Baltimore Orioles,1835692.0,22386.0,1987
Boston Red Sox,2231551.0,27894.0,1987
Los Angeles Angels,2696299.0,33288.0,1987
Chicago Cubs,2035130.0,25439.0,1987
Chicago White Sox,1208060.0,14914.0,1987
Cincinnati Reds,2185205.0,26978.0,1987
Cleveland Guardians,1077898.0,13307.0,1987
Detroit Tigers,2061830.0,25455.0,1987
Houston Astros,1909902.0,23579.0,1987
Kansas City Royals,2392471.0,29537.0,1987
Los Angeles Dodgers,2797409.0,34536.0,1987
Milwaukee Brewers,1909244.0,23571.0,1987
Minnesota Twins,2081976.0,25703.0,1987
Montreal Expos,1850324.0,22844.0,1987
New York Mets,3034129.0,37458.0,1987
New York Yankees,2427672.0,29971.0,1987
Oakland Athletics,1678921.0,20727.0,1987
Philadelphia Phillies,2100110.0,25927.0,1987
Pittsburgh Pirates,1161193.0,14336.0,1987
San Diego Padres,1454061.0,17951.0,1987
Seattle Mariners,1134255.0,14003.0,1987
San Francisco Giants,1917168.0,23669.0,1987
St. Louis Cardinals,3072122.0,37927.0,1987
Texas Rangers,1763053.0,21766.0,1987
Toronto Blue Jays,2778429.0,34302.0,1987
Atlanta Braves,848089.0,10735.0,1988
Baltimore Orioles,1660738.0,20759.0,1988
Boston Red Sox,2464851.0,30430.0,1988
Los Angeles Angels,2340925.0,28900.0,1988
Chicago Cubs,2089034.0,25476.0,1988
Chicago White Sox,1115749.0,13775.0,1988
Cincinnati Reds,2072528.0,25907.0,1988
Cleveland Guardians,1411610.0,17427.0,1988
Detroit Tigers,2081162.0,25693.0,1988
Houston Astros,1933505.0,23870.0,1988
Kansas City Royals,2350181.0,29377.0,1988
Los Angeles Dodgers,2980262.0,36793.0,1988
Milwaukee Brewers,1923238.0,23744.0,1988
Minnesota Twins,3030672.0,37416.0,1988
Montreal Expos,1478659.0,18255.0,1988
New York Mets,3055445.0,38193.0,1988
New York Yankees,2633701.0,32921.0,1988
Oakland Athletics,2287335.0,28239.0,1988
Philadelphia Phillies,1990041.0,24568.0,1988
Pittsburgh Pirates,1866713.0,23046.0,1988
San Diego Padres,1506896.0,18604.0,1988
Seattle Mariners,1022398.0,12622.0,1988
San Francisco Giants,1785297.0,22041.0,1988
St. Louis Cardinals,2892799.0,35714.0,1988
Texas Rangers,1581901.0,19530.0,1988
Toronto Blue Jays,2595175.0,32039.0,1988
Atlanta Braves,984930.0,12467.0,1989
Baltimore Orioles,2535208.0,31299.0,1989
Boston Red Sox,2510012.0,30988.0,1989
Los Angeles Angels,2647291.0,32683.0,1989
Chicago Cubs,2491942.0,30765.0,1989
Chicago White Sox,1045651.0,13071.0,1989
Cincinnati Reds,1979320.0,24436.0,1989
Cleveland Guardians,1285542.0,15871.0,1989
Detroit Tigers,1543656.0,19057.0,1989
Houston Astros,1834908.0,22377.0,1989
Kansas City Royals,2477700.0,30589.0,1989
Los Angeles Dodgers,2944653.0,36354.0,1989
Milwaukee Brewers,1970735.0,24330.0,1989
Minnesota Twins,2277438.0,28117.0,1989
Montreal Expos,1783533.0,22019.0,1989
New York Mets,2918710.0,36033.0,1989
New York Yankees,2170485.0,26796.0,1989
Oakland Athletics,2667225.0,32929.0,1989
Philadelphia Phillies,1861985.0,22987.0,1989
Pittsburgh Pirates,1374141.0,16965.0,1989
San Diego Padres,2009031.0,24803.0,1989
Seattle Mariners,1298443.0,16030.0,1989
San Francisco Giants,2059701.0,25428.0,1989
St. Louis Cardinals,3080980.0,37120.0,1989
Texas Rangers,2043993.0,25234.0,1989
Toronto Blue Jays,3375883.0,41678.0,1989
Atlanta Braves,980129.0,12100.0,1990
Baltimore Orioles,2415189.0,30190.0,1990
Boston Red Sox,2528986.0,31222.0,1990
Los Angeles Angels,2555688.0,31552.0,1990
Chicago Cubs,2243791.0,27701.0,1990
Chicago White Sox,2002357.0,25029.0,1990
Cincinnati Reds,2400892.0,29641.0,1990
Cleveland Guardians,1225240.0,15126.0,1990
Detroit Tigers,1495785.0,18466.0,1990
Houston Astros,1310927.0,16184.0,1990
Kansas City Royals,2244956.0,27716.0,1990
Los Angeles Dodgers,3002396.0,37067.0,1990
Milwaukee Brewers,1752900.0,21641.0,1990
Minnesota Twins,1751584.0,21624.0,1990
Montreal Expos,1373087.0,16952.0,1990
New York Mets,2732745.0,33738.0,1990
New York Yankees,2006436.0,24771.0,1990
Oakland Athletics,2900217.0,35805.0,1990
Philadelphia Phillies,1992484.0,24599.0,1990
Pittsburgh Pirates,2049908.0,25308.0,1990
San Diego Padres,1856396.0,22918.0,1990
Seattle Mariners,1509727.0,18639.0,1990
San Francisco Giants,1975528.0,24389.0,1990
St. Louis Cardinals,2573225.0,31768.0,1990
Texas Rangers,2057911.0,25096.0,1990
Toronto Blue Jays,3885284.0,47966.0,1990
Atlanta Braves,2140217.0,26422.0,1991
Baltimore Orioles,2552753.0,31515.0,1991
Boston Red Sox,2562435.0,31635.0,1991
Los Angeles Angels,2416236.0,29830.0,1991
Chicago Cubs,2314250.0,27883.0,1991
Chicago White Sox,2934154.0,36224.0,1991
Cincinnati Reds,2372377.0,29289.0,1991
Cleveland Guardians,1051863.0,12828.0,1991
Detroit Tigers,1641661.0,20267.0,1991
Houston Astros,1196152.0,14767.0,1991
Kansas City Royals,2161537.0,26686.0,1991
Los Angeles Dodgers,3348170.0,41335.0,1991
Milwaukee Brewers,1478729.0,18484.0,1991
Minnesota Twins,2293842.0,28319.0,1991
Montreal Expos,934742.0,13746.0,1991
New York Mets,2284484.0,27860.0,1991
New York Yankees,1863733.0,23009.0,1991
Oakland Athletics,2713493.0,33500.0,1991
Philadelphia Phillies,2050012.0,24699.0,1991
Pittsburgh Pirates,2065302.0,24587.0,1991
San Diego Padres,1804289.0,22275.0,1991
Seattle Mariners,2147905.0,26517.0,1991
San Francisco Giants,1737478.0,21450.0,1991
St. Louis Cardinals,2448699.0,29151.0,1991
Texas Rangers,2297720.0,28367.0,1991
Toronto Blue Jays,4001527.0,49402.0,1991
Atlanta Braves,3077400.0,37993.0,1992
Baltimore Orioles,3567819.0,44047.0,1992
Boston Red Sox,2468574.0,30476.0,1992
Los Angeles Angels,2065444.0,25499.0,1992
Chicago Cubs,2126720.0,26256.0,1992
Chicago White Sox,2681156.0,32697.0,1992
Cincinnati Reds,2315946.0,28592.0,1992
Cleveland Guardians,1224094.0,15112.0,1992
Detroit Tigers,1423963.0,17800.0,1992
Houston Astros,1211412.0,14956.0,1992
Kansas City Royals,1867689.0,23058.0,1992
Los Angeles Dodgers,2473266.0,30534.0,1992
Milwaukee Brewers,1857351.0,22930.0,1992
Minnesota Twins,2482428.0,30647.0,1992
Montreal Expos,1669127.0,20607.0,1992
New York Mets,1779534.0,21970.0,1992
New York Yankees,1748737.0,21589.0,1992
Oakland Athletics,2494160.0,30792.0,1992
Philadelphia Phillies,1927448.0,23796.0,1992
Pittsburgh Pirates,1829395.0,22585.0,1992
San Diego Padres,1721406.0,21252.0,1992
Seattle Mariners,1651367.0,20387.0,1992
San Francisco Giants,1560998.0,19272.0,1992
St. Louis Cardinals,2418483.0,29858.0,1992
Texas Rangers,2198231.0,27139.0,1992
Toronto Blue Jays,4028318.0,49732.0,1992
Atlanta Braves,3884720.0,47960.0,1993
Baltimore Orioles,3644965.0,45000.0,1993
Boston Red Sox,2422021.0,29901.0,1993
Los Angeles Angels,2057460.0,25401.0,1993
Chicago Cubs,2653763.0,32363.0,1993
Chicago White Sox,2581091.0,31865.0,1993
Cincinnati Reds,2453232.0,30287.0,1993
Cleveland Guardians,2177908.0,26888.0,1993
Colorado Rockies,4483350.0,55350.0,1993
Detroit Tigers,1971421.0,24339.0,1993
Miami Marlins,3064847.0,37838.0,1993
Houston Astros,2084618.0,25736.0,1993
Kansas City Royals,1934578.0,23884.0,1993
Los Angeles Dodgers,3170393.0,39141.0,1993
Milwaukee Brewers,1688080.0,20840.0,1993
Minnesota Twins,2048673.0,25292.0,1993
Montreal Expos,1641437.0,20265.0,1993
New York Mets,1873183.0,23126.0,1993
New York Yankees,2416942.0,29839.0,1993
Oakland Athletics,2035025.0,25124.0,1993
Philadelphia Phillies,3137674.0,38737.0,1993
Pittsburgh Pirates,1650593.0,20378.0,1993
San Diego Padres,1375432.0,16981.0,1993
Seattle Mariners,2052638.0,25341.0,1993
San Francisco Giants,2606354.0,32177.0,1993
St. Louis Cardinals,2844977.0,35123.0,1993
Texas Rangers,2244616.0,27711.0,1993
Toronto Blue Jays,4057947.0,50098.0,1993
Atlanta Braves,2539240.0,46168.0,1994
Baltimore Orioles,2535359.0,46097.0,1994
Boston Red Sox,1775818.0,27747.0,1994
Los Angeles Angels,1512622.0,24010.0,1994
Chicago Cubs,1845208.0,31275.0,1994
Chicago White Sox,1697398.0,32026.0,1994
Cincinnati Reds,1897681.0,31628.0,1994
Cleveland Guardians,1995174.0,39121.0,1994
Colorado Rockies,3281511.0,57570.0,1994
Detroit Tigers,1184783.0,20427.0,1994
Miami Marlins,1937467.0,32838.0,1994
Houston Astros,1561136.0,26460.0,1994
Kansas City Royals,1400494.0,23737.0,1994
Los Angeles Dodgers,2279355.0,41443.0,1994
Milwaukee Brewers,1268399.0,22650.0,1994
Minnesota Twins,1398565.0,23704.0,1994
Montreal Expos,1276250.0,24543.0,1994
New York Mets,1151471.0,21726.0,1994
New York Yankees,1675556.0,29396.0,1994
Oakland Athletics,1242692.0,22191.0,1994
Philadelphia Phillies,2290971.0,38183.0,1994
Pittsburgh Pirates,1222520.0,20041.0,1994
San Diego Padres,953857.0,16734.0,1994
Seattle Mariners,1104206.0,25096.0,1994
San Francisco Giants,1704608.0,28410.0,1994
St. Louis Cardinals,1866544.0,33331.0,1994
Texas Rangers,2503198.0,39733.0,1994
Toronto Blue Jays,2907933.0,49287.0,1994
Atlanta Braves,2561831.0,35581.0,1995
Baltimore Orioles,3098475.0,43034.0,1995
Boston Red Sox,2164410.0,30061.0,1995
Los Angeles Angels,1748680.0,24287.0,1995
Chicago Cubs,1918265.0,26643.0,1995
Chicago White Sox,1609773.0,22358.0,1995
Cincinnati Reds,1837649.0,25523.0,1995
Cleveland Guardians,2842745.0,39483.0,1995
Colorado Rockies,3390037.0,47084.0,1995
Detroit Tigers,1180979.0,16402.0,1995
Miami Marlins,1700466.0,23950.0,1995
Houston Astros,1363801.0,18942.0,1995
Kansas City Royals,1233530.0,17132.0,1995
Los Angeles Dodgers,2766251.0,38420.0,1995
Milwaukee Brewers,1087560.0,15105.0,1995
Minnesota Twins,1057667.0,14690.0,1995
Montreal Expos,1309618.0,18189.0,1995
New York Mets,1273183.0,17683.0,1995
New York Yankees,1705263.0,23360.0,1995
Oakland Athletics,1174310.0,16310.0,1995
Philadelphia Phillies,2043598.0,28383.0,1995
Pittsburgh Pirates,905517.0,12577.0,1995
San Diego Padres,1041805.0,14470.0,1995
Seattle Mariners,1643203.0,22510.0,1995
San Francisco Giants,1241500.0,17243.0,1995
St. Louis Cardinals,1756727.0,24399.0,1995
Texas Rangers,1985910.0,27582.0,1995
Toronto Blue Jays,2826483.0,39257.0,1995
Atlanta Braves,2901242.0,35818.0,1996
Baltimore Orioles,3646950.0,44475.0,1996
Boston Red Sox,2315231.0,28583.0,1996
Los Angeles Angels,1820521.0,22476.0,1996
Chicago Cubs,2219110.0,27396.0,1996
Chicago White Sox,1676403.0,20696.0,1996
Cincinnati Reds,1861428.0,22981.0,1996
Cleveland Guardians,3318174.0,41477.0,1996
Colorado Rockies,3891014.0,48037.0,1996
Detroit Tigers,1168610.0,14427.0,1996
Miami Marlins,1746767.0,21565.0,1996
Houston Astros,1975888.0,24394.0,1996
Kansas City Royals,1435997.0,17950.0,1996
Los Angeles Dodgers,3188454.0,39364.0,1996
Milwaukee Brewers,1327155.0,16385.0,1996
Minnesota Twins,1437352.0,17529.0,1996
Montreal Expos,1616709.0,19959.0,1996
New York Mets,1588323.0,19609.0,1996
New York Yankees,2250877.0,28136.0,1996
Oakland Athletics,1148380.0,14178.0,1996
Philadelphia Phillies,1801677.0,22243.0,1996
Pittsburgh Pirates,1332150.0,16652.0,1996
San Diego Padres,2187886.0,27011.0,1996
Seattle Mariners,2723850.0,33628.0,1996
San Francisco Giants,1413922.0,17243.0,1996
St. Louis Cardinals,2654718.0,32774.0,1996
Texas Rangers,2889020.0,35667.0,1996
Toronto Blue Jays,2559573.0,31600.0,1996
Los Angeles Angels,1767330.0,21553.0,1997
Atlanta Braves,3464488.0,42771.0,1997
Baltimore Orioles,3711132.0,45816.0,1997
Boston Red Sox,2226136.0,27483.0,1997
Chicago Cubs,2190308.0,27041.0,1997
Chicago White Sox,1864782.0,23022.0,1997
Cincinnati Reds,1785788.0,22047.0,1997
Cleveland Guardians,3404750.0,42034.0,1997
Colorado Rockies,3888453.0,48006.0,1997
Detroit Tigers,1365157.0,16854.0,1997
Miami Marlins,2364387.0,29190.0,1997
Houston Astros,2046781.0,25269.0,1997
Kansas City Royals,1517638.0,18970.0,1997
Los Angeles Dodgers,3319504.0,40982.0,1997
Milwaukee Brewers,1444027.0,18050.0,1997
Minnesota Twins,1411064.0,17421.0,1997
Montreal Expos,1497609.0,18489.0,1997
New York Mets,1766174.0,21805.0,1997
New York Yankees,2580325.0,32254.0,1997
Oakland Athletics,1264218.0,15608.0,1997
Philadelphia Phillies,1490638.0,18403.0,1997
Pittsburgh Pirates,1657022.0,20457.0,1997
San Diego Padres,2089333.0,25794.0,1997
Seattle Mariners,3192237.0,39410.0,1997
San Francisco Giants,1690869.0,20875.0,1997
St. Louis Cardinals,2634014.0,32519.0,1997
Texas Rangers,2945228.0,36361.0,1997
Toronto Blue Jays,2589297.0,31967.0,1997
Los Angeles Angels,2519280.0,31102.0,1998
Arizona Diamondbacks,3610290.0,44571.0,1998
Atlanta Braves,3360860.0,41492.0,1998
Baltimore Orioles,3684650.0,45490.0,1998
Boston Red Sox,2314704.0,28577.0,1998
Chicago Cubs,2623194.0,31990.0,1998
Chicago White Sox,1391146.0,16965.0,1998
Cincinnati Reds,1793649.0,22144.0,1998
Cleveland Guardians,3467299.0,42806.0,1998
Colorado Rockies,3792683.0,46823.0,1998
Detroit Tigers,1409391.0,17400.0,1998
Miami Marlins,1730384.0,21363.0,1998
Houston Astros,2458451.0,30351.0,1998
Kansas City Royals,1494875.0,18686.0,1998
Los Angeles Dodgers,3089222.0,38139.0,1998
Milwaukee Brewers,1811593.0,22365.0,1998
Minnesota Twins,1165976.0,14395.0,1998
Montreal Expos,914909.0,11295.0,1998
New York Mets,2287948.0,28246.0,1998
New York Yankees,2955193.0,36484.0,1998
Oakland Athletics,1232343.0,15214.0,1998
Philadelphia Phillies,1715722.0,21182.0,1998
