State,Candidate,Office,"Currently holds 
state/federal office",Party,Active?,"Trump 
endorsed?","State party
endorsement?","Local party
funding?","State party
funding?",Source 1,Source 2,Twitter,Twitter 2,Facebook,Gab,Gettr,Instagram,Telegram,,
MI,Daire Rendon,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
NH,Paul Terry,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
NJ,Edward Durr,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
TN,Susan Lynn,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
WA,Rob Chase,State legislature,Y,,,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-serving-state-legislatures,,.,,,,,,,,
AL,Sid Hill,U.S. Senate,,Independent,Y,,,,,https://twitter.com/TheDeprogrammer/status/933216189228056576,,.,,,,,,,,
AZ,Josh Barnett,U.S. House,,Republican,Y,,,,,https://www.nbcnews.com/tech/tech-news/twitter-bans-7-000-qanon-accounts-limits-150-000-others-n1234541,,.,,,,,,,,
AZ,Ron Watkins,U.S. House,,Republican,Y,,,,,https://twitter.com/QOrigins/status/1448838394839244800,,.,,,,,,,,
AZ,Daniel Wood,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/qanon-conspiracy-theory/arizona-gop-and-chair-kelli-ward-are-boosting-self-described-qanon,,.,,,,,,,,
CA,Jamie Byers,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2021/06/14/Jamie%20Byers%20QAnon%20Twitter.png?VersionId=5lK885CWXgV6jNy8Czdidu5JuGs0eHEQ&itok=9WKBiPj_,,.,,,,,,,,
CA,Mike Cargile,U.S. House ,,Republican,Y,,,,,https://www.mediamatters.org/media/3872631,,.,,,,,,,,
CA,Ignacio Cruz,U.S. House,,Republican,N,,,,,https://www.mediamatters.org/media/3846566,,.,,,,,,,,
CA,Paul Gutierrez,U.S. Senate,,Republican,Y,,,,,https://twitter.com/PGutierrez630/status/1090425589465378817,,.,,,,,,,,
CA,Alison Hayden,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/media/3866356,,.,,,,,,,,
CA,Peter Liu,U.S. Senate,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/11/02/2020-11-02_17-27-27.png?VersionId=GXTVDz5eSVoiZp46H9Gs9g.eArUU1rMy&itok=b_-fziql,,.,,,,,,,,
CA,Omar Navarro,U.S. House,,Republican,Y,,,,,https://www.businessinsider.com/the-36-qanon-supporters-running-congress-in-the-2022-midterms-2021-6,,.,,,,,,,,
CA,Cordie Williams,U.S. Senate,,Republican,Y,,,,,https://www.mediamatters.org/facebook/qanon-shows-and-their-hosts-remain-facebook-and-instagram-despite-facebooks-supposed,,.,,,,,,,,
CO,Lauren Boebert,U.S. House,,Republican,Y,,,,,https://www.rightwingwatch.org/post/ann-vandersteel-the-fact-that-trump-has-not-denounced-qanon-is-proof-qanon-is-legitimate/,,.,,,,,,,,
FL,Darren Aquino,U.S. House,,Republican,Y,,,,,https://twitter.com/aquino4congress/status/1272345741739114496,,.,,,,,,,,
FL,Vic DeGrammont ,U.S. House,,Republican,N,,,,,https://www.mediamatters.org/media/3879971,,.,,,,,,,,
FL,Jake Philip Loubriel,U.S. Senate,,Republican,Y,,,,,https://twitter.com/search?q=from%3AAmericanRogue5%20%22qanon%22&src=typed_query&f=live,,.,,,,,,,,
FL,Luis Miguel,U.S. Senate,,Republican,Y,,,,,https://twitter.com/LuisMiguelUS/status/1285939825569411079,,.,,,,,,,,
FL,Brian Perras,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/media/3984892,,.,,,,,,,,
FL,Christine Quinn,U.S. House,,Republican,Y,,,,,https://web.archive.org/web/20201004002730/https://twitter.com/ElectQuinn/status/1312464392588460033,,.,,,,,,,,
FL,Anthony Sabatini,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/07/27/2020-07-27_10-02-42.png?VersionId=U4h7CCMx6RbdjBibJTNNal8I.5TaTKJE&itok=M0k6v5SF,,.,,,,,,,,
FL,Christine Scott,U.S. House,,Independent,Y,,,,,https://archive.is/XSCw3,,.,,,,,,,,
FL,Reba Sherrill,U.S. Senate,,Republican,Y,,,,,https://www.mediamatters.org/media/3855236,,.,,,,,,,,
FL,Carla Spalding,U.S. House,,Republican,Y,,,,,https://twitter.com/carla_spalding/status/1023197234161217536,,.,,,,,,,,
FL,Lavern Spicer,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/10/13/2020-10-13_17-01-58.png?VersionId=VROoDNQsF8vq.vyfqdVcSecwx7Pkccf8&itok=WFexScd5,,.,,,,,,,,
FL,Darlene Swaffar,U.S. House,,Republican,Y,,,,,https://twitter.com/search?q=%22wwg1wga%22%20from%3Aswaffarcongress&src=typed_query&f=live,,.,,,,,,,,
GA,Marjorie Taylor Greene,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/media/3846096,,.,,,,,,,,
IL,Bobby Piton,U.S. Senate,,Republican,Y,,,,,https://www.facebook.com/rcpiton/posts/10224161802170545,,.,,,,,,,,
IL,Philanise White,U.S. House,,Republican,Y,,,,,https://twitter.com/search?q=%22wwg1wga%22%20from%3APhilaniseforco1&src=typed_query&f=live,,.,,,,,,,,
MD,Jon McGreevey,U.S. Senate,,Republican,Y,,,,,https://twitter.com/Johnheretohelp/status/1177005673168736257,,.,,,,,,,,
MN,Danielle Stella,U.S. House,,Republican,Y,,,,,https://twitter.com/travis_view/status/1153704331096444930,,.,,,,,,,,
NV,Sam Peters,U.S. House,,Republican,Y,,,,,https://twitter.com/SamPetersNevada/status/1290044418636935169,,.,,,,,,,,
NV,Mindy Robinson,U.S. House,,Independent,Y,,,,,https://www.newsweek.com/qanon-congressional-candidates-2022-1598897,,.,,,,,,,,
NJ,Nicholas Ferrara,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2022/01/07/2022-01-07_16-18-36_0.png?VersionId=w51abCFfhZZ35O6dyqRh6U.NWgROe75G&itok=31snOFf1,,.,,,,,,,,
NJ,Tricia Flanagan,U.S. House,,Republican,Y,,,,,https://twitter.com/NewDayForNJ/status/1246463861059919872,,.,,,,,,,,
NJ,Billy Prempeh,U.S. House,,Republican,Y,,,,,https://web.archive.org/web/20200303075211/https://twitter.com/BillyPrempeh/status/1234744268763418624,,.,,,,,,,,
NY,Joel Anabilah-Azumah,U.S. Senate,,Republican,Y,,,,,https://twitter.com/JoelAzumah/status/1326027065817239552,,.,,,,,,,,
NY,Tina Forte,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2021/08/30/2021-08-30_12-45-27_0.png?VersionId=Cm1X0iFum61IYrJmjRZ9k7mmi9yfZ4Pp&itok=6SOc0SCI,,.,,,,,,,,
NY,Antoine Tucker,U.S. Senate,,Republican,Y,,,,,https://twitter.com/AlKapDC/status/1278521925346693120,,.,,,,,,,,
NC,Steve Von Loor,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/01/07/Steve%20Von%20Loor%20Twitter%20QAnon.png?VersionId=o4mLyYXSDuDBRjbgMzRz_C8KHaKyTMtL&itok=tdONW2mD,,.,,,,,,,,
OH,J.R. Majewski,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/media/3936271,,.,,,,,,,,
OH,Mark Pukita,U.S. Senate,,Republican,Y,,,,,https://www.mediamatters.org/media/3947056,,.,,,,,,,,
OR,Jo Rae Perkins,U.S. Senate,,Republican,Y,,,,,https://twitter.com/search?q=%22qanon%22%20from%3APerkinsforUSSen&src=typed_query&f=live,,.,,,,,,,,
OR,Darrin Harbick,U.S. Senate,,Republican,Y,,,,,https://www.alternet.org/2022/03/johnny-enlow-blesses-gop-candidates/?share_id=6977085,https://ballotpedia.org/Darin_Harbick,.,,,,,,,,
PA,Vincent Fusca,U.S. Senate,,Republican,Y,,,,,https://twitter.com/travis_view/status/1328379001929252870,,.,,,,,,,,
PA,Bobby Jeffries,U.S. Senate,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/01/15/Bobby%20Jeffries%20QAnon%20tweet.png?VersionId=JPE4blkeq8FYy87ufvkwg3yR2fuAcmKP&itok=tn3w8SX6,,.,,,,,,,,
RI,Robert Lancia,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/media/3949366,,.,,,,,,,,
TN,Matt Makrom,U.S. House,,Independent,N,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2022/01/11/2022-01-11_16-07-49_0.png?VersionId=A_dVJVUu.GJls78mhsz2AwZBs5Pd.7YB&itok=o0doKOq3,,.,,,,,,,,
TX,Jake Armstrong,U.S. House,,Independent,Y,,,,,https://www.mediamatters.org/media/3983171,,.,,,,,,,,
TX,Ruben Landon Dante,U.S. House,,Republican,Y,,,,,https://archive.is/bEwBb,,.,,,,,,,,
TX,Mayra Flores,U.S. House,,Republican,Y,,,,,https://twitter.com/search?q=%22qanon%22%20from%3AMayraFlores2022&src=typed_query&f=live,,.,,,,,,,,
TX,Jason Nelson,U.S. House,,Republican,Y,,,,,https://www.mediamatters.org/facebook/qanon-shows-and-their-hosts-remain-facebook-and-instagram-despite-facebooks-supposed,,.,,,,,,,,
TX,Johnny Teague,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2020/06/30/2020-06-29_22-49-12.png?VersionId=m.LcY6kl2JUfcJsFDQMaz5PtCk__KZRE&itok=T82UBwHa,,.,,,,,,,,
TX,Samuel Williams,U.S. House,,Republican,Y,,,,,https://cloudfront.mediamatters.org/styles/scale_w1024/s3/static/D8Image/2021/06/28/2021-06-28_15-12-20.png?VersionId=9Ktb5o47wJnNp4VW694ZEY5eKJPqBsdv&itok=-57PefnV,,.,,,,,,,,
VT,Mark Coester,U.S. Senate,,Independent,Y,,,,,https://www.mediamatters.org/voter-fraud-and-suppression/qanon-grifters-jim-and-ron-watkins-now-turn-voter-fraud-conspiracy,,.,,,,,,,,
